ID;TypeOfDelivery;Periods;TotalTransport_1;TotalRoadTransport_2;AutomotiveLPG_3;TotalMotorGasoline_4;Unleaded95_5;SuperUnleaded98_6;NormalLeaded_7;SuperLeaded_8;TotalTransportDiesel_9;LowSulphurDiesel_10;HighSulphurDiesel_11;NaturalGas_12;Electricity_13;TotalWaterTransport_14;TotalHeatingAndOtherGasoil_15;DeliveriesToInlandWaterTransport_16;DeliveriesToSeaTransport_17;DeliveriesToWaterTransportTraders_18;TotalFuelOil_19;LowSulphurFuelOil_20;HighSulphurFuelOil_21;TotalAirTransport_22;KeroseneTypeJetFuel_23;AviationGasoline_24;GasolineTypeJetFuel_25;TotalRailTransport_26;HeatingAndOtherGasoil_27;Electricity_28;AutomotiveLPG_29;TotalMotorGasoline_30;Unleaded95_31;SuperUnleaded98_32;NormalLeaded_33;SuperLeaded_34;TotalTransportDiesel_35;LowSulphurDiesel_36;HighSulphurDiesel_37;NaturalGas_38;Electricity_39;TotalHeatingAndOtherGasoil_40;DeliveriesToInlandWaterTransport_41;DeliveriesToSeaTransport_42;DeliveriesToWaterTransportTraders_43;TotalFuelOil_44;LowSulphurFuelOil_45;HighSulphurFuelOil_46;KeroseneTypeJetFuel_47;AviationGasoline_48;GasolineTypeJetFuel_49;HeatingOilAndOtherGasoil_50;Electricity_51;AutomotiveLPG_52;TotalMotorGasoline_53;Unleaded95_54;SuperUnleaded98_55;NormalLeaded_56;SuperLeaded_57;TotalTransportDiesel_58;LowSulphurDiesel_59;HighSulphurDiesel_60
415;Deliveries for final consumption;2001 July;36.7;34.8;1.9;14.3;13.0;1.3;;;18.7;18.7;0.0;;;1.0;1.0;1.0;;;;;;0.3;0.3;0.0;;;;;41.0;325.0;296.0;29.0;;;438.0;438.0;0.0;;;24.0;24.0;;;;;;7.0;0.0;;;;78.0;432.0;394.0;38.0;;;524.0;524.0;0.0
416;Deliveries for final consumption;2001 August;36.4;34.7;1.9;14.9;13.6;1.3;;;17.9;17.9;0.0;;;1.0;1.0;1.0;;;;;;0.2;0.2;0.0;;;;;41.0;339.0;309.0;29.0;;;419.0;419.0;0.0;;;24.0;24.0;;;;;;4.0;0.0;;;;77.0;450.0;411.0;39.0;;;501.0;501.0;0.0
417;Deliveries for final consumption;2001 September;37.5;35.6;1.8;14.4;13.2;1.3;;;19.4;19.4;0.0;;;1.1;1.1;1.1;;;;;;0.2;0.2;0.0;;;;;40.0;328.0;299.0;28.0;;;455.0;455.0;0.0;;;26.0;26.0;;;;;;4.0;0.0;;;;76.0;436.0;398.0;38.0;;;544.0;544.0;0.0
418;Deliveries for final consumption;2001 3rd quarter;110.7;105.1;5.5;43.6;39.8;3.8;;;56.0;56.0;0.0;0.0;0.0;3.2;3.2;3.2;;;;;;0.7;0.7;0.0;;1.6;0.4;1.3;122.0;991.0;905.0;87.0;;;1312.0;1312.0;0.0;0.0;1.0;74.0;74.0;;;;;;15.0;1.0;;9.0;357.0;230.0;1318.0;1203.0;115.0;;;1568.0;1568.0;0.0
419;Deliveries for final consumption;2001 October;42.9;40.8;2.1;16.4;15.1;1.3;;;22.3;22.3;0.0;;;1.2;1.2;1.2;;;;;;0.3;0.3;0.0;;;;;47.0;373.0;342.0;30.0;;;522.0;522.0;0.0;;;28.0;28.0;;;;;;7.0;0.0;;;;88.0;496.0;455.0;40.0;;;624.0;624.0;0.0
420;Deliveries for final consumption;2001 November;41.6;39.6;2.1;16.1;14.8;1.3;;;21.5;21.5;0.0;;;1.1;1.1;1.1;;;;;;0.2;0.2;0.0;;;;;46.0;365.0;336.0;29.0;;;503.0;503.0;0.0;;;26.0;26.0;;;;;;5.0;0.0;;;;86.0;486.0;447.0;39.0;;;602.0;602.0;0.0
421;Deliveries for final consumption;2001 December;37.9;36.0;1.9;15.7;14.4;1.3;;;18.4;18.4;0.0;;;1.2;1.2;1.2;;;;;;0.2;0.2;0.0;;;;;43.0;357.0;328.0;28.0;;;430.0;430.0;0.0;;;27.0;27.0;;;;;;4.0;0.0;;;;81.0;474.0;436.0;38.0;;;514.0;514.0;0.0
422;Deliveries for final consumption;2001 4th quarter;122.4;116.4;6.1;48.2;44.3;3.9;;;62.1;62.1;0.0;0.0;0.0;3.5;3.5;3.5;;;;;;0.7;0.7;0.0;;1.8;0.4;1.5;135.0;1095.0;1007.0;88.0;;;1455.0;1455.0;0.0;0.0;1.0;81.0;81.0;;;;;;16.0;0.0;;9.0;408.0;254.0;1455.0;1338.0;117.0;;;1739.0;1739.0;0.0
423;Deliveries for final consumption;2001;464.1;441.0;23.5;181.3;165.7;15.5;;;236.1;236.1;0.0;0.0;0.0;13.3;13.3;13.3;;;;;;2.7;2.6;0.1;;7.1;1.5;5.7;521.0;4120.0;3767.0;353.0;;;5530.0;5530.0;0.0;0.0;5.0;311.0;311.0;;;;;;59.0;3.0;;34.0;1572.0;982.0;5481.0;5012.0;469.0;;;6611.0;6611.0;0.0
424;Deliveries for final consumption;2002 January;37.6;35.8;1.9;14.9;13.7;1.2;;;19.0;19.0;0.0;;;1.0;1.0;1.0;;;;;;0.2;0.2;0.0;;;;;43.0;338.0;311.0;27.0;;;445.0;445.0;0.0;;;23.0;23.0;;;;;;5.0;0.0;;;;80.0;452.0;417.0;36.0;;;536.0;536.0;0.0
425;Deliveries for final consumption;2002 February;36.9;35.0;1.8;14.0;12.9;1.1;;;19.2;19.2;0.0;;;0.9;0.9;0.9;;;;;;0.3;0.3;0.0;;;;;41.0;318.0;292.0;26.0;;;450.0;450.0;0.0;;;21.0;21.0;;;;;;6.0;0.0;;;;77.0;427.0;392.0;35.0;;;539.0;539.0;0.0
426;Deliveries for final consumption;2002 March;40.6;38.6;1.8;15.6;14.4;1.2;;;21.2;21.2;0.0;;;1.0;1.0;1.0;;;;;;0.3;0.2;0.0;;;;;39.0;355.0;328.0;28.0;;;497.0;497.0;0.0;;;24.0;24.0;;;;;;6.0;0.0;;;;74.0;474.0;437.0;37.0;;;593.0;593.0;0.0
427;Deliveries for final consumption;2002 1st quarter;115.1;109.4;5.5;44.5;41.0;3.5;;;59.4;59.4;0.0;0.0;0.0;2.9;2.9;2.9;;;;;;0.8;0.7;0.0;;1.9;0.4;1.6;122.0;1011.0;931.0;80.0;;;1391.0;1391.0;0.0;0.0;1.0;68.0;68.0;;;;;;17.0;1.0;;8.0;443.0;231.0;1354.0;1246.0;108.0;;;1668.0;1668.0;0.0
428;Deliveries for final consumption;2002 April;39.5;37.5;2.1;15.2;13.9;1.2;;;20.3;20.3;0.0;;;1.1;1.1;1.1;;;;;;0.3;0.2;0.0;;;;;46.0;345.0;316.0;28.0;;;475.0;475.0;0.0;;;26.0;26.0;;;;;;6.0;0.0;;;;87.0;462.0;424.0;39.0;;;567.0;567.0;0.0
429;Deliveries for final consumption;2002 May;41.1;39.2;2.0;16.2;14.9;1.3;;;20.9;20.9;0.0;;;1.1;1.1;1.1;;;;;;0.3;0.3;0.0;;;;;45.0;369.0;338.0;31.0;;;489.0;489.0;0.0;;;25.0;25.0;;;;;;7.0;0.0;;;;85.0;494.0;452.0;41.0;;;585.0;585.0;0.0
430;Deliveries for final consumption;2002 June;38.3;36.5;1.7;14.7;13.4;1.3;;;20.0;20.0;0.0;;;1.0;1.0;1.0;;;;;;0.2;0.2;0.0;;;;;38.0;334.0;305.0;29.0;;;469.0;469.0;0.0;;;23.0;23.0;;;;;;5.0;0.0;;;;72.0;448.0;409.0;39.0;;;560.0;560.0;0.0
431;Deliveries for final consumption;2002 2nd quarter;118.8;113.1;5.9;46.1;42.2;3.9;;;61.2;61.2;0.0;0.0;0.0;3.2;3.2;3.2;;;;;;0.8;0.7;0.0;;1.7;0.4;1.4;130.0;1048.0;960.0;88.0;;;1433.0;1433.0;0.0;0.0;1.0;74.0;74.0;;;;;;17.0;1.0;;8.0;379.0;244.0;1404.0;1285.0;119.0;;;1712.0;1712.0;0.0
432;Deliveries for final consumption;2002 July;39.4;37.7;1.8;15.7;14.5;1.2;;;20.2;20.2;0.0;;;0.9;0.9;0.9;;;;;;0.2;0.2;0.0;;;;;40.0;357.0;330.0;27.0;;;474.0;474.0;0.0;;;21.0;21.0;;;;;;5.0;0.0;;;;76.0;475.0;439.0;36.0;;;566.0;566.0;0.0
433;Deliveries for final consumption;2002 August;36.7;35.0;1.7;14.4;13.3;1.2;;;18.8;18.8;0.0;;;1.0;1.0;1.0;;;;;;0.2;0.2;0.0;;;;;38.0;328.0;302.0;27.0;;;441.0;441.0;0.0;;;24.0;24.0;;;;;;5.0;0.0;;;;71.0;439.0;403.0;36.0;;;526.0;526.0;0.0
434;Deliveries for final consumption;2002 September;39.1;37.0;1.8;14.7;13.6;1.1;;;20.5;20.5;0.0;;;1.2;1.2;1.2;;;;;;0.3;0.3;0.0;;;;;40.0;334.0;310.0;24.0;;;481.0;481.0;0.0;;;29.0;29.0;;;;;;6.0;0.0;;;;76.0;448.0;415.0;33.0;;;574.0;574.0;0.0
435;Deliveries for final consumption;2002 3rd quarter;115.2;109.7;5.3;44.8;41.4;3.4;;;59.6;59.6;0.0;0.0;0.0;3.1;3.1;3.1;;;;;;0.7;0.7;0.0;;1.6;0.4;1.3;118.0;1019.0;941.0;77.0;;;1395.0;1395.0;0.0;0.0;1.0;73.0;73.0;;;;;;16.0;1.0;;8.0;351.0;222.0;1361.0;1257.0;104.0;;;1666.0;1666.0;0.0
436;Deliveries for final consumption;2002 October;43.3;41.3;2.0;16.3;15.2;1.1;;;23.0;23.0;0.0;;;1.2;1.2;1.2;;;;;;0.3;0.2;0.0;;;;;43.0;370.0;345.0;25.0;;;540.0;540.0;0.0;;;29.0;29.0;;;;;;6.0;0.0;;;;82.0;495.0;461.0;34.0;;;645.0;645.0;0.0
437;Deliveries for final consumption;2002 November;40.7;38.7;1.8;15.9;14.8;1.0;;;21.1;21.1;0.0;;;1.2;1.2;1.2;;;;;;0.3;0.3;0.0;;;;;39.0;361.0;337.0;24.0;;;494.0;494.0;0.0;;;27.0;27.0;;;;;;6.0;0.0;;;;74.0;481.0;449.0;32.0;;;589.0;589.0;0.0
438;Deliveries for final consumption;2002 December;39.7;37.8;1.7;15.9;14.8;1.0;;;20.3;20.3;0.0;;;1.1;1.1;1.1;;;;;;0.3;0.3;0.0;;;;;37.0;361.0;337.0;24.0;;;475.0;475.0;0.0;;;25.0;25.0;;;;;;6.0;0.0;;;;69.0;484.0;452.0;32.0;;;568.0;568.0;0.0
439;Deliveries for final consumption;2002 4th quarter;123.8;117.8;5.4;48.0;44.8;3.2;;;64.4;64.4;0.0;0.0;0.0;3.5;3.5;3.5;;;;;;0.8;0.8;0.0;;1.7;0.4;1.4;120.0;1091.0;1019.0;72.0;;;1508.0;1508.0;0.0;0.0;1.0;81.0;81.0;;;;;;17.0;0.0;;8.0;379.0;226.0;1460.0;1362.0;98.0;;;1802.0;1802.0;0.0
440;Deliveries for final consumption;2002;472.9;450.1;22.1;183.4;169.4;14.0;;;244.6;244.6;0.0;0.0;0.0;12.7;12.7;12.7;;;;;;3.1;2.9;0.1;;7.0;1.4;5.6;489.0;4169.0;3851.0;318.0;;;5727.0;5727.0;0.0;1.0;6.0;298.0;298.0;;;;;;68.0;3.0;;33.0;1551.0;923.0;5579.0;5150.0;429.0;;;6848.0;6848.0;0.0
441;Deliveries for final consumption;2003 January;37.5;35.8;1.7;14.8;13.9;0.9;;;19.4;19.4;0.0;;;0.9;0.9;0.9;;;;;;0.2;0.2;0.0;;;;;37.0;336.0;315.0;20.0;;;454.0;454.0;0.0;;;21.0;21.0;;;;;;4.0;0.0;;;;70.0;447.0;420.0;27.0;;;542.0;542.0;0.0
442;Deliveries for final consumption;2003 February;38.1;36.3;1.7;14.4;13.5;0.9;;;20.2;20.2;0.0;;;1.0;1.0;1.0;;;;;;0.2;0.2;0.0;;;;;38.0;326.0;306.0;20.0;;;473.0;473.0;0.0;;;23.0;23.0;;;;;;4.0;0.0;;;;71.0;435.0;408.0;27.0;;;565.0;565.0;0.0
443;Deliveries for final consumption;2003 March;39.3;37.3;1.6;14.7;13.8;1.0;;;21.0;21.0;0.0;;;1.1;1.1;1.1;;;;;;0.2;0.2;0.0;;;;;36.0;335.0;313.0;22.0;;;491.0;491.0;0.0;;;26.0;26.0;;;;;;5.0;0.0;;;;68.0;447.0;418.0;29.0;;;587.0;587.0;0.0
444;Deliveries for final consumption;2003 1st quarter;114.9;109.4;5.0;43.8;41.1;2.7;;;60.6;60.6;0.0;0.0;0.0;3.0;3.0;3.0;;;;;;0.6;0.6;0.0;;1.8;0.3;1.5;111.0;996.0;934.0;62.0;;;1418.0;1418.0;0.0;0.0;1.0;70.0;70.0;;;;;;14.0;1.0;;8.0;417.0;209.0;1329.0;1246.0;83.0;;;1694.0;1694.0;0.0
445;Deliveries for final consumption;2003 April;40.6;38.7;1.7;15.6;14.5;1.0;;;21.5;21.5;0.0;;;1.0;1.0;1.0;;;;;;0.3;0.3;0.0;;;;;37.0;354.0;330.0;24.0;;;503.0;503.0;0.0;;;24.0;24.0;;;;;;6.0;0.0;;;;70.0;472.0;440.0;32.0;;;601.0;601.0;0.0
446;Deliveries for final consumption;2003 May;42.1;40.1;1.8;16.0;14.9;1.1;;;22.3;22.3;0.0;;;1.1;1.1;1.1;;;;;;0.4;0.3;0.0;;;;;40.0;363.0;339.0;24.0;;;523.0;523.0;0.0;;;25.0;25.0;;;;;;8.0;0.0;;;;76.0;484.0;452.0;32.0;;;624.0;624.0;0.0
447;Deliveries for final consumption;2003 June;39.3;37.6;1.7;15.5;14.4;1.1;;;20.4;20.4;0.0;;;0.9;0.9;0.9;;;;;;0.2;0.2;0.0;;;;;37.0;352.0;328.0;24.0;;;479.0;479.0;0.0;;;22.0;22.0;;;;;;5.0;0.0;;;;70.0;470.0;437.0;32.0;;;572.0;572.0;0.0
448;Deliveries for final consumption;2003 2nd quarter;122.0;116.4;5.2;47.0;43.8;3.2;;;64.2;64.2;0.0;0.0;0.0;3.0;3.0;3.0;;;;;;0.8;0.8;0.0;;1.7;0.3;1.4;115.0;1068.0;996.0;72.0;;;1504.0;1504.0;0.0;0.0;1.0;71.0;71.0;;;;;;18.0;1.0;;8.0;378.0;217.0;1425.0;1329.0;96.0;;;1797.0;1797.0;0.0
449;Deliveries for final consumption;2003 July;39.2;37.6;1.6;15.6;14.5;1.1;;;20.5;20.5;0.0;;;0.8;0.8;0.8;;;;;;0.2;0.2;0.0;;;;;36.0;353.0;329.0;25.0;;;479.0;479.0;0.0;;;20.0;20.0;;;;;;4.0;0.0;;;;69.0;472.0;438.0;33.0;;;572.0;572.0;0.0
450;Deliveries for final consumption;2003 August;36.1;34.5;1.4;14.3;13.3;1.0;;;18.8;18.8;0.0;;;0.8;0.8;0.8;;;;;;0.3;0.2;0.0;;;;;31.0;325.0;303.0;22.0;;;439.0;439.0;0.0;;;19.0;19.0;;;;;;5.0;0.0;;;;59.0;434.0;404.0;30.0;;;525.0;525.0;0.0
451;Deliveries for final consumption;2003 September;41.9;40.0;1.7;15.8;14.8;1.0;;;22.6;22.6;0.0;;;1.1;1.1;1.1;;;;;;0.2;0.2;0.0;;;;;37.0;358.0;335.0;23.0;;;529.0;529.0;0.0;;;26.0;26.0;;;;;;4.0;0.0;;;;69.0;478.0;447.0;31.0;;;632.0;632.0;0.0
452;Deliveries for final consumption;2003 3rd quarter;117.2;112.1;4.7;45.6;42.5;3.1;;;61.8;61.8;0.0;0.0;0.0;2.7;2.7;2.7;;;;;;0.6;0.6;0.0;;1.6;0.3;1.3;104.0;1037.0;967.0;70.0;;;1447.0;1447.0;0.0;0.0;1.0;64.0;64.0;;;;;;14.0;1.0;;8.0;361.0;197.0;1384.0;1290.0;94.0;;;1729.0;1729.0;0.0
453;Deliveries for final consumption;2003 October;43.4;41.5;1.8;16.4;15.3;1.0;;;23.4;23.4;0.0;;;1.0;1.0;1.0;;;;;;0.2;0.2;0.0;;;;;39.0;372.0;349.0;23.0;;;548.0;548.0;0.0;;;23.0;23.0;;;;;;5.0;0.0;;;;74.0;496.0;465.0;31.0;;;655.0;655.0;0.0
454;Deliveries for final consumption;2003 November;38.9;37.3;1.3;14.5;13.7;0.9;;;21.4;21.4;0.0;;;0.9;0.9;0.9;;;;;;0.2;0.2;0.0;;;;;30.0;331.0;311.0;20.0;;;500.0;500.0;0.0;;;21.0;21.0;;;;;;4.0;0.0;;;;56.0;441.0;415.0;26.0;;;597.0;597.0;0.0
455;Deliveries for final consumption;2003 December;42.7;40.9;1.5;16.8;15.8;1.0;;;22.6;22.6;0.0;;;1.1;1.1;1.1;;;;;;0.2;0.1;0.0;;;;;33.0;382.0;359.0;23.0;;;529.0;529.0;0.0;;;25.0;25.0;;;;;;3.0;0.0;;;;63.0;509.0;479.0;31.0;;;632.0;632.0;0.0
456;Deliveries for final consumption;2003 4th quarter;125.1;119.7;4.6;47.7;44.8;2.9;;;67.3;67.3;0.0;0.0;0.0;2.9;2.9;2.9;;;;;;0.6;0.5;0.0;;1.9;0.3;1.5;103.0;1084.0;1019.0;66.0;;;1577.0;1577.0;0.0;0.0;1.0;69.0;69.0;;;;;;12.0;1.0;;8.0;424.0;193.0;1446.0;1358.0;88.0;;;1884.0;1884.0;0.0
457;Deliveries for final consumption;2003;479.2;457.7;19.5;184.2;172.3;11.9;;;254.0;254.0;0.0;0.0;0.0;11.7;11.7;11.7;;;;;;2.7;2.5;0.1;;7.1;1.4;5.7;433.0;4186.0;3916.0;269.0;;;5947.0;5947.0;0.0;1.0;6.0;274.0;274.0;;;;;;58.0;3.0;;33.0;1579.0;816.0;5584.0;5224.0;360.0;;;7104.0;7104.0;0.0
458;Deliveries for final consumption;2004 January;37.3;35.5;1.5;14.2;13.5;0.7;;;19.8;19.8;0.0;;;0.9;0.9;0.9;;;;;;0.2;0.2;0.0;;;;;34.0;322.0;306.0;16.0;;;464.0;464.0;0.0;;;21.0;21.0;;;;;;4.0;0.0;;;;64.0;430.0;408.0;22.0;;;554.0;554.0;0.0
459;Deliveries for final consumption;2004 February;37.6;35.8;1.5;13.8;12.7;1.1;;;20.6;20.6;0.0;;;0.9;0.9;0.9;;;;;;0.2;0.2;0.0;;;;;32.0;313.0;288.0;25.0;;;482.0;482.0;0.0;;;21.0;21.0;;;;;;4.0;0.0;;;;61.0;417.0;384.0;33.0;;;576.0;576.0;0.0
460;Deliveries for final consumption;2004 March;43.8;41.9;1.7;16.4;15.1;1.2;;;23.8;23.8;0.0;;;1.0;1.0;1.0;;;;;;0.3;0.2;0.0;;;;;38.0;372.0;343.0;28.0;;;557.0;557.0;0.0;;;23.0;23.0;;;;;;6.0;0.0;;;;73.0;496.0;458.0;38.0;;;666.0;666.0;0.0
461;Deliveries for final consumption;2004 1st quarter;118.6;113.2;4.7;44.3;41.2;3.1;;;64.2;64.2;0.0;0.0;0.0;2.8;2.8;2.8;;;;;;0.6;0.6;0.0;;2.0;0.4;1.7;104.0;1007.0;937.0;70.0;;;1503.0;1503.0;0.0;0.0;1.0;65.0;65.0;;;;;;13.0;0.0;;9.0;463.0;197.0;1343.0;1250.0;93.0;;;1796.0;1796.0;0.0
462;Deliveries for final consumption;2004 April;42.1;40.3;1.5;16.7;15.3;1.4;;;22.1;22.1;0.0;;;1.0;1.0;1.0;;;;;;0.2;0.2;0.0;;;;;33.0;379.0;347.0;32.0;;;517.0;517.0;0.0;;;24.0;24.0;;;;;;5.0;0.0;;;;63.0;505.0;463.0;42.0;;;618.0;618.0;0.0
463;Deliveries for final consumption;2004 May;39.0;37.2;1.4;14.9;14.0;0.9;;;20.9;20.9;0.0;;;1.0;1.0;1.0;;;;;;0.2;0.2;0.0;;;;;31.0;338.0;318.0;20.0;;;490.0;490.0;0.0;;;23.0;23.0;;;;;;4.0;0.0;;;;59.0;450.0;424.0;26.0;;;585.0;585.0;0.0
464;Deliveries for final consumption;2004 June;41.7;39.8;1.4;15.6;14.8;0.9;;;22.7;22.7;0.0;;;1.0;1.0;1.0;;;;;;0.2;0.2;0.0;;;;;32.0;356.0;336.0;20.0;;;533.0;533.0;0.0;;;24.0;24.0;;;;;;4.0;0.0;;;;59.0;475.0;448.0;27.0;;;637.0;637.0;0.0
465;Deliveries for final consumption;2004 2nd quarter;122.7;117.3;4.3;47.2;44.0;3.1;;;65.7;65.7;0.0;0.0;0.0;3.1;3.1;3.1;;;;;;0.6;0.6;0.0;;1.8;0.4;1.4;96.0;1072.0;1001.0;71.0;;;1540.0;1540.0;0.0;0.0;1.0;72.0;72.0;;;;;;14.0;1.0;;9.0;393.0;181.0;1430.0;1335.0;95.0;;;1841.0;1841.0;0.0
466;Deliveries for final consumption;2004 July;39.2;37.3;1.3;14.7;13.9;0.8;;;21.3;21.3;0.0;;;1.1;1.1;1.1;;;;;;0.2;0.2;0.0;;;;;30.0;334.0;315.0;19.0;;;498.0;498.0;0.0;;;26.0;26.0;;;;;;5.0;0.0;;;;56.0;445.0;420.0;25.0;;;596.0;596.0;0.0
467;Deliveries for final consumption;2004 August;37.3;35.5;1.2;14.4;13.5;0.9;;;19.9;19.9;0.0;;;1.0;1.0;1.0;;;;;;0.3;0.2;0.0;;;;;26.0;327.0;307.0;20.0;;;467.0;467.0;0.0;;;23.0;23.0;;;;;;6.0;0.0;;;;48.0;436.0;410.0;26.0;;;558.0;558.0;0.0
468;Deliveries for final consumption;2004 September;41.4;39.5;1.2;15.3;14.5;0.8;;;23.0;23.0;0.0;;;1.1;1.1;1.1;;;;;;0.2;0.2;0.0;;;;;27.0;348.0;329.0;19.0;;;538.0;538.0;0.0;;;26.0;26.0;;;;;;4.0;0.0;;;;51.0;464.0;438.0;26.0;;;643.0;643.0;0.0
469;Deliveries for final consumption;2004 3rd quarter;117.9;112.3;3.7;44.4;41.8;2.5;;;64.2;64.2;0.0;0.0;0.0;3.2;3.2;3.2;;;;;;0.7;0.7;0.0;;1.7;0.4;1.3;82.0;1008.0;951.0;57.0;;;1503.0;1503.0;0.0;0.0;1.0;75.0;75.0;;;;;;15.0;1.0;;9.0;372.0;155.0;1345.0;1268.0;77.0;;;1797.0;1797.0;0.0
470;Deliveries for final consumption;2004 October;41.1;39.2;1.4;15.1;14.3;0.7;;;22.8;22.8;0.0;;;1.0;1.0;1.0;;;;;;0.2;0.2;0.0;;;;;30.0;343.0;326.0;17.0;;;534.0;534.0;0.0;;;24.0;24.0;;;;;;4.0;0.0;;;;57.0;457.0;435.0;23.0;;;638.0;638.0;0.0
471;Deliveries for final consumption;2004 November;42.0;40.2;1.5;15.8;15.1;0.7;;;23.0;23.0;0.0;;;0.9;0.9;0.9;;;;;;0.3;0.3;0.0;;;;;32.0;359.0;343.0;16.0;;;538.0;538.0;0.0;;;22.0;22.0;;;;;;6.0;0.0;;;;61.0;478.0;457.0;21.0;;;642.0;642.0;0.0
472;Deliveries for final consumption;2004 December;42.4;40.8;1.5;16.3;15.5;0.8;;;23.0;23.0;0.0;;;0.9;0.9;0.9;;;;;;0.2;0.2;0.0;;;;;33.0;370.0;352.0;18.0;;;538.0;538.0;0.0;;;21.0;21.0;;;;;;4.0;0.0;;;;63.0;494.0;470.0;23.0;;;643.0;643.0;0.0
473;Deliveries for final consumption;2004 4th quarter;125.6;120.2;4.3;47.1;44.9;2.2;;;68.7;68.7;0.0;0.0;0.0;2.8;2.8;2.8;;;;;;0.6;0.6;0.0;;1.9;0.4;1.5;96.0;1071.0;1021.0;50.0;;;1609.0;1609.0;0.0;0.0;1.0;67.0;67.0;;;;;;14.0;1.0;;9.0;414.0;181.0;1429.0;1362.0;67.0;;;1923.0;1923.0;0.0
474;Deliveries for final consumption;2004;484.8;462.9;17.1;183.0;172.0;10.9;;;262.8;262.8;0.0;0.0;0.0;11.9;11.9;11.9;;;;;;2.6;2.4;0.1;;7.4;1.5;5.9;378.0;4158.0;3910.0;248.0;;;6155.0;6155.0;0.0;1.0;6.0;279.0;279.0;;;;;;56.0;3.0;;34.0;1643.0;713.0;5547.0;5215.0;332.0;;;7357.0;7357.0;0.0
475;Deliveries for final consumption;2005 January;37.3;35.8;1.1;14.4;13.8;0.6;;;20.2;20.2;;;;0.6;0.6;0.6;;;;;;0.3;0.3;0.0;;;;;25.0;328.0;314.0;14.0;;;473.0;473.0;;;;14.0;14.0;;;;;;6.0;0.0;;;;48.0;437.0;419.0;18.0;;;565.0;565.0;
476;Deliveries for final consumption;2005 February;36.8;35.2;1.2;13.8;13.2;0.6;;;20.3;20.3;;;;0.6;0.6;0.6;;;;;;0.2;0.2;0.0;;;;;26.0;313.0;300.0;13.0;;;475.0;475.0;;;;15.0;15.0;;;;;;5.0;0.0;;;;49.0;418.0;401.0;17.0;;;568.0;568.0;
477;Deliveries for final consumption;2005 March;42.6;40.9;1.4;15.9;15.3;0.7;;;23.6;23.6;;;;0.8;0.8;0.8;;;;;;0.2;0.2;0.0;;;;;31.0;362.0;347.0;15.0;;;552.0;552.0;;;;19.0;19.0;;;;;;5.0;0.0;;;;58.0;483.0;464.0;20.0;;;659.0;659.0;
478;Deliveries for final consumption;2005 1st quarter;116.6;111.9;3.7;44.1;42.3;1.8;;;64.0;64.0;;0.0;0.0;2.1;2.1;2.1;;;;;;0.8;0.7;0.0;;1.9;0.4;1.6;82.0;1003.0;962.0;41.0;;;1499.0;1499.0;;0.0;1.0;48.0;48.0;;;;;;17.0;0.0;;8.0;438.0;155.0;1338.0;1283.0;55.0;;;1792.0;1792.0;
479;Deliveries for final consumption;2005 April;41.0;39.3;1.4;15.3;14.5;0.7;;;22.6;22.6;;;;0.8;0.8;0.8;;;;;;0.3;0.2;0.0;;;;;32.0;347.0;331.0;16.0;;;530.0;530.0;;;;19.0;19.0;;;;;;6.0;0.0;;;;60.0;463.0;441.0;22.0;;;634.0;634.0;
480;Deliveries for final consumption;2005 May;40.9;39.2;1.4;15.4;14.7;0.7;;;22.4;22.4;;;;0.8;0.8;0.8;;;;;;0.3;0.3;0.0;;;;;31.0;350.0;334.0;16.0;;;525.0;525.0;;;;19.0;19.0;;;;;;7.0;0.0;;;;58.0;468.0;446.0;22.0;;;627.0;627.0;
481;Deliveries for final consumption;2005 June;41.4;39.8;1.3;15.1;14.4;0.7;;;23.4;23.4;;;;0.7;0.7;0.7;;;;;;0.3;0.3;0.0;;;;;28.0;344.0;328.0;16.0;;;548.0;548.0;;;;17.0;17.0;;;;;;7.0;0.0;;;;53.0;459.0;438.0;21.0;;;656.0;656.0;
482;Deliveries for final consumption;2005 2nd quarter;123.3;118.3;4.1;45.8;43.7;2.1;;;68.4;68.4;;0.0;0.0;2.3;2.3;2.3;;;;;;0.9;0.9;0.0;;1.7;0.4;1.4;90.0;1041.0;993.0;48.0;;;1602.0;1602.0;;0.0;1.0;54.0;54.0;;;;;;20.0;1.0;;8.0;385.0;170.0;1389.0;1325.0;65.0;;;1917.0;1917.0;
483;Deliveries for final consumption;2005 July;37.6;36.1;1.2;14.1;13.5;0.6;;;20.8;20.8;;;;0.6;0.6;0.6;;;;;;0.3;0.3;0.0;;;;;27.0;321.0;307.0;14.0;;;487.0;487.0;;;;14.0;14.0;;;;;;7.0;0.0;;;;51.0;429.0;410.0;19.0;;;582.0;582.0;
484;Deliveries for final consumption;2005 August;38.4;36.8;1.3;14.9;14.3;0.6;;;20.6;20.6;;;;0.8;0.8;0.8;;;;;;0.3;0.3;0.0;;;;;28.0;338.0;324.0;14.0;;;483.0;483.0;;;;18.0;18.0;;;;;;6.0;0.0;;;;53.0;451.0;432.0;19.0;;;578.0;578.0;
485;Deliveries for final consumption;2005 September;41.4;40.1;1.5;15.1;14.5;0.6;;;23.5;23.5;;;;0.5;0.5;0.5;;;;;;0.2;0.2;0.0;;;;;34.0;343.0;330.0;13.0;;;550.0;550.0;;;;13.0;13.0;;;;;;5.0;0.0;;;;64.0;458.0;440.0;18.0;;;658.0;658.0;
