ID;Perioden;HypothekenInMlnEuro_1;AantalHypotheken_2;HypothekenInMlnEuro_3;AantalHypotheken_4;HypothekenInMlnEuro_5;AantalHypotheken_6;HypothekenInMlnEuro_7;AantalHypotheken_8;HypothekenInMlnEuro_9;AantalHypotheken_10;Marktaandelen_11;HypothekenInMlnEuro_12;AantalHypotheken_13;Marktaandelen_14;HypothekenInMlnEuro_15;AantalHypotheken_16;Marktaandelen_17;HypothekenInMlnEuro_18;AantalHypotheken_19;Marktaandelen_20;HypothekenInMlnEuro_21;AantalHypotheken_22;Marktaandelen_23;HypothekenInMlnEuro_24;AantalHypotheken_25;Marktaandelen_26;HypothekenInMlnEuro_27;AantalHypotheken_28;Marktaandelen_29;HypothekenInMlnEuro_30;AantalHypotheken_31;HypothekenInMlnEuro_32;AantalHypotheken_33;HypothekenInMlnEuro_34;AantalHypotheken_35;HypothekenInMlnEuro_36;AantalHypotheken_37;HypothekenInMlnEuro_38;AantalHypotheken_39;HypothekenInMlnEuro_40;AantalHypotheken_41;HypothekenInMlnEuro_42;AantalHypotheken_43;HypothekenInMlnEuro_44;AantalHypotheken_45;HypothekenInMlnEuro_46;AantalHypotheken_47;HypothekenInMlnEuro_48;AantalHypotheken_49;HypothekenInMlnEuro_50;AantalHypotheken_51;HypothekenInMlnEuro_52;AantalHypotheken_53;HypothekenInMlnEuro_54;AantalHypotheken_55;HypothekenInMlnEuro_56;AantalHypotheken_57;HypothekenInMlnEuro_58;AantalHypotheken_59;HypothekenInMlnEuro_60;AantalHypotheken_61;HypothekenInMlnEuro_62;AantalHypotheken_63;HypothekenInMlnEuro_64;AantalHypotheken_65;HypothekenInMlnEuro_66;AantalHypotheken_67;HypothekenInMlnEuro_68;AantalHypotheken_69;HypothekenInMlnEuro_70;AantalHypotheken_71;HypothekenInMlnEuro_72;AantalHypotheken_73;HypothekenInMlnEuro_74;AantalHypotheken_75;HypothekenInMlnEuro_76;AantalHypotheken_77;HypothekenInMlnEuro_78;AantalHypotheken_79;HypothekenInMlnEuro_80;AantalHypotheken_81;HypothekenInMlnEuro_82;AantalHypotheken_83;HypothekenInMlnEuro_84;AantalHypotheken_85;HypothekenInMlnEuro_86;AantalHypotheken_87;HypothekenInMlnEuro_88;AantalHypotheken_89;HypothekenInMlnEuro_90;AantalHypotheken_91;HypothekenInMlnEuro_92;AantalHypotheken_93;HypothekenInMlnEuro_94;AantalHypotheken_95;HypothekenInMlnEuro_96;AantalHypotheken_97;HypothekenInMlnEuro_98;AantalHypotheken_99;HypothekenInMlnEuro_100;AantalHypotheken_101;HypothekenInMlnEuro_102;AantalHypotheken_103;HypothekenInMlnEuro_104;AantalHypotheken_105;HypothekenInMlnEuro_106;AantalHypotheken_107;HypothekenInMlnEuro_108;AantalHypotheken_109;HypothekenInMlnEuro_110;AantalHypotheken_111;HypothekenInMlnEuro_112;AantalHypotheken_113;HypothekenInMlnEuro_114;AantalHypotheken_115;HypothekenInMlnEuro_116;AantalHypotheken_117;HypothekenInMlnEuro_118;AantalHypotheken_119;HypothekenInMlnEuro_120;AantalHypotheken_121;HypothekenInMlnEuro_122;AantalHypotheken_123;HypothekenInMlnEuro_124;AantalHypotheken_125;HypothekenInMlnEuro_126;AantalHypotheken_127;HypothekenInMlnEuro_128;AantalHypotheken_129;HypothekenInMlnEuro_130;AantalHypotheken_131;HypothekenInMlnEuro_132;AantalHypotheken_133;HypothekenInMlnEuro_134;AantalHypotheken_135;HypothekenInMlnEuro_136;AantalHypotheken_137;HypothekenInMlnEuro_138;AantalHypotheken_139
70;1998 november;8043;55335;1740;851;6302;54478;1.0;6;2478;17335;31;1331;8854;17;0;0;0;3626;26351;45;352;2179;4;123;350;2;134;266;2;164;525;12;26;153;499;;0;104;311;4;24;0;0;48;161;6;14;3;14;;1;5706;51732;286;268;5420;51458;1.0;6;1684;15671;847;8590;0;0;2805;24902;227;2037;107;286;35;246;432;1014;191;105;242;909;;0;158;504;81;70;0;0;162;378;26;40;1;14;4.0;8;1391;972;1096;404;294;568;;0;410;408;368;44;0;0;459;423;74;64;10;25;70.0;8;349;1092;156;48;193;1044;;0;122;441;31;126;0;0;152;487;19;24;2;11;24.0;3
71;1998 december;13485;87684;3012;1553;10448;86107;25.0;24;4231;28156;31;1611;14865;12;0;0;0;6097;39745;45;923;3869;7;146;601;1;477;448;4;462;898;160;53;302;845;;0;307;541;4;32;0;0;88;268;11;25;51;32;;0;9432;81649;533;510;8895;81118;3.0;21;2876;25380;1454;14409;0;0;4467;37453;479;3540;58;471;98;396;742;1805;280;212;461;1592;;1;338;925;42;113;0;0;268;616;53;97;15;43;24.0;11;2412;1719;1900;722;490;995;;2;531;675;73;68;0;0;1078;742;356;155;20;45;354.0;34;438;1613;138;56;299;1557;;0;179;635;37;243;0;0;196;666;24;52;1;10;1.0;7
72;1999 januari;5823;37035;1375;791;4421;36237;27.0;7;1860;11929;32;724;6534;12;0;0;0;2613;16221;45;322;1878;6;83;276;1;221;197;4;138;332;25;28;113;304;;0;71;199;19;21;0;0;32;91;4;9;12;12;;0;4135;34344;411;253;3723;34086;0.0;5;1289;10724;646;6323;0;0;1848;15194;214;1726;43;211;94;166;328;800;108;91;220;709;;0;137;364;18;43;0;0;142;320;22;52;7;19;;2;1039;831;770;386;242;443;;2;271;333;19;27;0;0;532;361;74;64;21;23;122.0;23;184;728;60;33;124;695;;0;93;309;21;120;0;0;59;255;7;27;3;11;1.0;6
73;1999 februari;7486;46890;1845;825;5585;46055;56.0;10;2244;15790;30;929;8488;12;0;0;0;3425;19728;46;618;2374;8;61;304;1;209;206;3;199;422;36;27;163;395;;0;112;241;3;18;0;0;38;123;45;33;2;7;;0;4944;43591;282;221;4661;43363;1.0;7;1558;14293;832;8200;0;0;2196;18498;297;2192;28;233;32;175;358;907;133;93;225;813;;1;156;423;14;63;0;0;158;342;14;47;5;27;11.0;5;1747;969;1344;442;349;525;;2;310;391;53;50;0;0;942;408;257;74;20;25;166.0;21;239;1001;52;42;187;959;;0;109;442;27;157;0;0;91;357;5;28;6;12;1.0;5
74;1999 maart;8899;64022;1402;1048;7409;62959;89.0;15;3083;22237;35;1106;10379;12;0;0;0;3725;27480;42;564;3265;6;63;357;1;358;304;4;285;608;84;47;201;561;;0;185;396;18;18;0;0;48;142;20;25;14;26;;1;6523;59757;185;311;6338;59438;1.0;8;2193;20208;1022;10031;0;0;2888;25937;324;3041;33;281;63;259;427;1192;128;128;299;1064;;0;189;570;14;85;0;0;178;454;36;66;2;13;8.0;4;1302;1195;910;514;312;675;79.0;6;359;493;21;54;0;0;474;497;166;90;12;27;270.0;34;362;1270;95;48;258;1221;79.0;1;157;570;31;191;0;0;136;450;19;43;3;10;17.0;6
75;1999 april;9576;62686;2083;1054;7481;61622;12.0;10;3145;21292;33;1192;10392;12;0;0;0;4172;27131;44;664;3212;7;81;348;1;323;311;3;264;593;56;48;208;545;;0;152;376;2;16;0;0;73;140;28;32;9;29;;0;7087;58560;668;324;6418;58228;1.0;8;2238;19334;1079;10035;0;0;3140;25658;456;2985;34;264;139;284;616;1270;271;136;345;1134;;0;273;629;22;84;0;0;227;468;36;62;16;22;43.0;5;1317;1130;1002;502;304;627;;1;356;455;50;57;0;0;636;500;116;74;19;24;140.0;20;293;1133;87;44;205;1088;;1;126;498;39;200;0;0;97;365;28;59;3;9;;2
76;1999 mei;9524;59898;2384;828;7134;59063;6.0;7;2791;19535;29;1137;10712;12;0;0;0;4798;25996;50;490;3067;5;47;307;0;261;281;3;242;491;84;31;158;460;;0;118;296;13;17;0;0;53;137;11;22;48;17;;2;6484;56357;271;291;6207;56060;6.0;6;2064;17907;1054;10417;0;0;2927;24641;368;2883;33;249;37;260;704;1091;391;122;313;969;;0;225;544;21;70;0;0;386;391;37;64;6;18;29.0;4;1820;876;1592;362;228;514;;0;254;356;21;35;0;0;1338;403;56;52;5;19;146.0;11;274;1083;46;22;228;1060;;1;130;432;28;173;0;0;94;424;17;46;0;4;4.0;4
77;1999 juni;9688;65852;1626;988;8057;64852;4.0;12;3347;21828;35;1187;10696;12;0;0;0;4282;29544;44;564;3112;6;74;365;1;234;307;2;384;553;196;34;189;519;;0;295;339;7;20;0;0;54;153;23;26;6;15;;0;7408;61686;435;334;6972;61341;1.0;11;2390;19879;1074;10374;0;0;3391;27946;409;2922;44;277;101;288;541;1261;193;136;348;1125;;0;249;619;20;78;0;0;215;462;24;70;33;30;;2;1052;1080;756;443;293;636;;1;290;455;40;42;0;0;502;475;100;60;16;34;105.0;14;302;1272;46;41;256;1231;;0;124;536;47;182;0;0;121;508;9;34;2;9;1.0;3
78;1999 juli;11347;70743;2083;1180;9252;69545;11.0;18;3932;23444;35;1284;10829;11;0;0;0;5115;32703;45;720;3014;6;73;433;1;223;320;2;287;569;59;36;228;533;;0;139;323;8;27;0;0;84;173;51;28;5;17;;1;8363;66259;397;401;7965;65842;2.0;16;2742;21402;1150;10474;0;0;3993;30954;373;2777;51;357;54;295;696;1374;304;158;392;1216;;0;327;686;35;81;0;0;270;504;32;70;9;29;23.0;4;1598;1198;1193;522;396;674;;2;567;494;41;54;0;0;605;520;233;86;7;25;145.0;19;402;1343;130;63;272;1280;;0;157;539;50;193;0;0;163;552;31;53;1;5;;1
79;1999 augustus;9889;64252;1706;847;8175;63393;7.0;12;3113;20166;31;1239;9665;13;0;0;0;4747;30724;48;479;2956;5;99;358;1;212;383;2;181;463;31;25;149;438;;0;106;268;5;16;0;0;55;143;10;20;5;15;;1;7778;60494;528;321;7248;60163;1.0;10;2359;18526;1122;9357;0;0;3777;29172;395;2787;38;299;87;353;507;1130;190;96;316;1034;;0;190;547;25;67;0;0;236;438;28;54;3;16;23.0;8;1122;866;897;358;219;506;;2;331;324;57;40;0;0;561;413;38;51;51;21;84.0;17;302;1299;59;47;242;1252;;0;127;501;30;185;0;0;118;558;8;44;3;7;16.0;4
80;1999 september;9772;61174;1795;859;7974;60302;3.0;13;3170;19627;32;1092;9483;11;0;0;0;4500;28648;46;585;2636;6;67;347;1;358;433;4;219;475;57;23;162;451;;1;97;277;9;25;0;0;71;143;37;17;5;12;;1;7516;57026;674;340;6841;56675;1.0;11;2352;17820;988;9137;0;0;3414;26940;407;2437;46;282;310;410;413;988;85;80;328;908;;0;209;467;22;61;0;0;152;382;22;53;7;20;1.0;5;1148;1057;822;361;324;695;;1;300;417;38;57;0;0;655;474;102;78;10;22;43.0;9;475;1628;157;55;318;1573;;0;212;646;34;203;0;0;208;709;18;51;1;11;2.0;8
81;1999 oktober;9155;56030;1590;896;7435;55122;130.0;12;2932;17974;32;1046;8989;11;0;0;0;4173;26002;46;552;2251;6;103;370;1;349;444;4;173;436;34;26;139;410;;0;103;250;5;22;0;0;48;124;11;26;7;14;;0;6898;52282;441;355;6439;51918;18.0;9;2223;16419;962;8635;0;0;3190;24448;375;2054;74;309;75;417;436;916;180;84;256;832;;0;188;411;20;70;0;0;179;366;23;53;6;11;20.0;5;1218;1026;763;385;344;638;111.0;3;280;358;25;55;0;0;554;495;96;76;8;26;254.0;16;431;1370;172;46;258;1324;111.0;0;138;536;34;207;0;0;203;569;48;42;7;10;1.0;6
82;1999 november;9550;56232;1961;973;7564;55250;26.0;9;3147;18759;33;972;8095;10;0;0;0;4075;26044;43;558;2330;6;94;448;1;703;556;7;228;499;53;34;175;465;;0;134;286;5;22;0;0;59;141;24;27;6;20;1.0;3;7047;52409;475;363;6552;52038;20.0;8;2308;17067;873;7779;0;0;3315;24562;307;2116;57;365;187;520;475;1051;175;116;300;935;;0;189;480;36;74;0;0;178;394;38;74;7;23;27.0;6;1491;1073;1178;416;307;656;;1;396;423;28;58;0;0;384;475;176;68;22;31;484.0;18;310;1200;80;44;230;1156;;0;120;503;29;162;0;0;140;472;14;45;4;9;4.0;9
83;1999 december;17594;72425;6569;1701;10982;70708;44.0;16;4830;24626;27;1701;9902;10;0;0;0;6366;33207;36;2382;3272;14;202;708;1;2112;710;12;745;779;143;67;602;712;;0;179;454;311;25;0;0;140;225;102;50;14;24;;1;10029;66717;1361;654;8667;66053;1.0;10;3182;22135;1118;9451;0;0;4600;31035;744;2916;108;564;277;616;936;1598;378;183;558;1414;;1;339;763;42;105;0;0;297;576;159;94;19;50;80.0;10;4765;1760;3922;701;801;1054;42.0;5;815;666;181;100;0;0;974;730;1320;145;49;52;1425.0;67;1120;1571;766;96;354;1475;42.0;0;316;608;49;221;0;0;355;641;57;67;13;18;330.0;16
84;2000 januari;6316;34204;1630;756;4653;33443;33.0;5;2099;11105;33;588;4592;9;0;0;0;2857;16331;45;315;1514;5;87;360;1;369;302;6;233;320;102;28;131;292;;0;150;184;16;9;0;0;38;92;18;20;11;14;;1;4353;31584;444;273;3909;31308;0.0;3;1426;10012;498;4392;0;0;1987;15262;192;1365;50;279;200;274;360;769;153;102;207;665;;2;111;348;15;36;0;0;138;308;29;47;12;25;55.0;5;1124;798;870;313;254;485;;0;315;296;40;55;0;0;585;345;59;53;15;34;110.0;15;246;733;94;40;152;693;;0;97;265;19;100;0;0;109;324;17;29;2;8;2.0;7
85;2000 februari;7304;42086;1544;949;5742;41129;18.0;8;2294;13092;31;735;5573;10;0;0;0;3433;20803;47;389;1825;5;95;436;1;358;357;5;151;374;20;25;131;349;;0;67;158;3;19;0;0;53;153;17;23;10;19;;2;5358;38798;458;367;4899;38424;1.0;7;1632;11784;628;5310;0;0;2649;19377;238;1649;44;361;167;317;385;867;158;112;227;755;;0;142;368;21;62;0;0;163;368;24;45;14;19;21.0;5;980;920;708;383;256;536;;1;297;353;49;43;0;0;439;412;73;73;24;23;98.0;16;430;1127;201;62;229;1065;;0;155;429;34;139;0;0;128;493;38;35;3;14;72.0;17
86;2000 maart;8628;48306;1671;1074;6917;47222;40.0;10;2847;15526;33;864;6669;10;0;0;0;3972;23375;46;556;1931;6;78;437;1;311;368;4;225;591;27;26;197;565;;0;126;308;7;18;0;0;73;217;15;31;3;16;;1;6163;44548;486;407;5676;44134;1.0;7;2008;13929;751;6415;0;0;2965;21785;282;1728;39;356;118;335;515;995;169;112;346;883;;0;182;448;19;60;0;0;231;391;25;60;8;29;51.0;7;1316;1070;831;468;446;599;39.0;3;347;442;64;54;0;0;525;453;213;79;27;28;140.0;14;411;1102;159;61;252;1041;39.0;0;183;399;23;122;0;0;179;529;22;33;2;8;2.0;11
87;2000 april;7086;41745;1209;894;5846;40838;31.0;13;2325;12905;33;786;6044;11;0;0;0;3221;20392;45;531;1661;7;67;393;1;157;351;2;255;470;56;27;199;443;;0;146;255;14;12;0;0;83;172;7;16;4;13;;2;5274;38709;304;325;4969;38377;1.0;7;1663;11610;700;5842;0;0;2570;19096;223;1510;48;326;70;325;341;822;103;104;238;718;;0;161;398;18;46;0;0;136;315;20;40;6;21;;2;930;831;682;391;218;434;30.0;6;227;288;32;38;0;0;317;399;267;69;6;22;82.0;15;286;914;65;47;221;866;;0;128;354;22;106;0;0;115;410;13;26;4;11;3.0;7
88;2000 mei;9303;51924;1736;1137;7530;50769;37.0;18;3021;15961;32;1016;7795;11;0;0;0;4223;24947;45;396;2124;4;107;528;1;541;569;6;278;601;48;39;230;562;;0;154;343;8;16;0;0;103;206;9;19;4;16;;1;6860;48206;460;427;6396;47763;3.0;16;2191;14402;923;7529;0;0;3218;23365;291;1962;62;425;175;523;457;1039;126;117;331;922;;0;215;471;20;62;0;0;175;420;19;51;13;32;15.0;3;1338;1098;952;488;352;608;;2;342;408;38;51;0;0;529;522;66;57;22;37;341.0;23;370;980;150;66;221;914;;0;120;337;26;137;0;0;198;434;11;35;6;18;10.0;19
89;2000 juni;8349;42535;2008;1039;6227;41484;114.0;12;2594;12889;31;887;6506;11;0;0;0;3515;20362;42;613;1859;7;105;437;1;634;482;8;227;415;47;31;180;384;;0;121;228;4;14;0;0;89;145;5;13;8;15;;0;5713;39219;486;389;5224;38821;3.0;9;1819;11530;787;6228;0;0;2662;18974;277;1694;65;355;105;438;460;967;151;129;310;837;;1;183;440;20;61;0;0;180;388;47;43;6;24;24.0;11;1590;926;1191;422;288;502;;2;332;339;44;52;0;0;436;424;262;65;22;29;495.0;17;357;1008;133;68;224;940;;0;139;352;33;151;0;0;149;431;23;44;4;14;11.0;16
90;2000 juli;9040;47848;1907;1102;7095;46734;38.0;12;2751;14134;30;1028;7510;11;0;0;0;4005;22765;44;834;2174;9;147;523;2;275;742;3;221;439;51;34;170;405;;0;84;200;4;20;0;0;82;150;20;19;30;48;;2;6873;44301;729;407;6137;43883;7.0;11;2051;12710;959;7228;0;0;3067;21304;610;1964;74;401;113;694;447;1006;168;145;280;861;;0;202;461;17;62;0;0;180;394;33;61;6;22;10.0;6;1166;1029;853;459;281;569;;1;291;397;18;41;0;0;534;452;146;83;31;37;147.0;19;333;1073;106;57;228;1016;;0;123;366;30;159;0;0;142;465;26;47;7;15;5.0;21
91;2000 augustus;7704;44898;1026;800;6670;44090;8.0;8;2354;13148;31;1051;7214;14;0;0;0;3631;21390;47;343;1987;4;80;414;1;244;745;3;130;334;10;11;120;323;;0;69;171;4;14;0;0;47;123;2;14;8;11;;1;6014;41762;261;326;5752;41429;1.0;7;1819;11918;935;6929;0;0;2810;20066;260;1811;42;335;146;703;547;880;252;95;295;785;;0;159;372;27;64;0;0;306;354;36;56;7;28;13.0;6;705;785;428;328;269;456;;1;204;291;51;27;0;0;325;370;27;50;22;32;75.0;15;309;1137;76;40;233;1097;;0;104;396;33;180;0;0;143;477;18;56;1;8;10.0;20
92;2000 september;9261;42551;2740;958;6484;41581;37.0;12;2537;12620;27;959;6493;10;0;0;0;4416;20251;48;829;1866;9;118;564;1;401;757;4;202;386;31;33;172;353;;0;84;195;29;16;0;0;61;140;24;22;5;12;;1;5927;39550;406;345;5520;39198;1.0;7;1778;11392;858;6255;0;0;2787;19006;260;1696;88;490;156;711;697;919;405;111;292;808;;0;209;409;17;68;0;0;352;367;102;46;5;19;12.0;10;1900;863;1577;413;287;445;36.0;5;375;323;30;36;0;0;952;390;322;67;16;26;204.0;21;535;833;321;56;213;777;36.0;0;90;301;26;118;0;0;263;348;121;35;5;17;29.0;14
93;2000 oktober;8849;45883;1946;979;6850;44889;53.0;15;2603;13441;29;1041;6995;12;0;0;0;3683;21799;42;516;2156;6;207;560;2;799;932;9;452;366;314;32;137;334;;0;87;189;2;11;0;0;53;128;22;15;9;19;280.0;4;6467;42776;584;397;5881;42368;1.0;11;1881;12185;914;6747;0;0;2940;20505;322;1980;87;468;322;891;438;901;144;108;294;793;;0;176;406;17;54;0;0;180;357;36;47;12;29;17.0;8;1138;912;781;400;305;509;51.0;3;321;319;78;50;0;0;411;419;114;69;36;37;177.0;18;355;928;123;42;232;885;51.0;1;138;342;29;133;0;0;100;390;22;45;64;7;2.0;11
94;2000 november;9140;46148;2273;1032;6865;45108;1.0;8;2641;13617;29;1082;7292;12;0;0;0;3673;21266;40;573;2206;6;149;615;2;1022;1152;11;262;451;57;37;205;414;;0;138;258;9;16;0;0;85;138;16;15;14;22;;2;6513;42790;645;410;5867;42372;1.0;8;1860;12217;980;7022;0;0;2945;19897;418;2039;73;520;237;1095;452;996;136;126;316;870;;0;217;473;18;55;0;0;166;374;31;57;12;28;9.0;9;1541;883;1285;399;256;484;;0;289;311;16;32;0;0;335;428;89;62;48;32;763.0;18;372;1028;151;60;221;968;;0;136;358;60;167;0;0;142;429;19;33;4;13;11.0;28
95;2000 december;15600;69135;3767;2003;11712;67115;120.0;17;5461;22832;35;1690;10428;11;0;0;0;6092;29879;39;1166;3024;7;369;1123;2;823;1849;5;600;865;116;61;485;804;;0;258;495;22;27;0;0;158;232;114;40;47;69;;2;10525;62770;1159;798;9365;61962;1.0;10;3593;20058;1517;9948;0;0;4296;27458;528;2682;228;863;364;1761;979;1714;377;217;603;1496;;1;427;804;25;71;0;0;364;652;124;100;27;73;12.0;14;2694;1812;1791;823;785;983;119.0;6;948;705;53;59;0;0;993;777;223;145;66;85;412.0;41;801;1974;326;104;475;1870;119.0;0;234;770;73;323;0;0;282;760;177;57;12;33;23.0;31
96;2001 januari;7423;32435;2601;995;4822;31433;1.0;7;2268;10243;31;768;4744;10;0;0;0;3058;14723;41;446;1464;6;99;485;1;783;776;11;281;314;106;31;175;283;;0;95;180;11;10;0;0;96;84;71;23;8;16;;1;4540;29674;506;331;4033;29337;1.0;6;1463;9096;609;4549;0;0;2028;13626;185;1288;55;384;201;731;406;851;159;105;247;746;;0;162;372;54;39;0;0;140;343;39;55;5;34;6.0;8;1796;876;1590;471;206;405;;0;449;323;40;30;0;0;660;394;92;69;29;39;526.0;21;400;720;240;57;160;662;;1;99;272;55;116;0;0;134;276;60;29;3;12;50.0;15
97;2001 februari;7975;35071;2120;967;5327;34091;528.0;13;2331;11506;29;799;5265;10;0;0;0;2951;15362;37;544;1660;7;96;472;1;1254;806;16;194;319;53;32;141;287;;0;102;181;3;14;0;0;49;90;26;19;15;13;;2;5100;32526;413;329;4614;32191;72.0;6;1686;10441;695;5092;0;0;2092;14350;353;1509;53;378;221;756;437;770;221;123;216;647;;0;176;328;18;38;0;0;212;321;17;42;8;35;5.0;6;1910;891;1230;435;224;449;456.0;7;279;322;61;42;0;0;395;394;137;70;14;33;1025.0;30;333;565;202;48;131;517;456.0;0;88;234;22;79;0;0;202;207;12;20;8;13;2.0;12
98;2001 maart;8269;42053;1813;1074;6433;40968;22.0;11;2825;13918;34;955;6259;12;0;0;0;3351;18519;41;538;1853;7;137;537;2;463;967;6;288;470;82;50;206;420;;0;134;259;3;11;0;0;83;141;55;30;8;22;5.0;7;5857;38790;400;344;5456;38436;1.0;10;1975;12457;859;6049;0;0;2454;17243;278;1672;77;442;213;927;503;1061;182;137;321;924;;0;226;511;17;59;0;0;166;407;23;52;7;27;64.0;5;1294;1045;994;496;280;548;;1;364;408;31;41;0;0;553;484;151;59;19;33;176.0;20;326;687;156;47;170;640;;0;125;283;45;99;0;0;95;244;31;40;27;13;4.0;8
99;2001 april;8831;40235;2244;1082;6567;39147;21.0;6;3188;13894;36;894;5636;10;0;0;0;3393;17580;38;518;1624;6;128;505;1;711;996;8;314;464;110;43;204;421;;0;141;246;5;25;0;0;123;149;26;21;19;21;;2;5844;37084;346;369;5497;36712;1.0;3;2085;12450;794;5419;0;0;2406;16362;309;1463;64;424;185;966;748;1042;386;134;362;907;;1;270;520;26;68;0;0;229;378;18;46;4;24;201.0;6;1614;1022;1243;491;351;529;;2;580;421;43;34;0;0;496;450;132;69;39;32;323.0;16;312;623;158;45;154;578;;0;112;257;25;90;0;0;139;241;33;25;2;4;1.0;6
100;2001 mei;11294;47235;3768;1177;7404;46042;122.0;16;3433;16452;30;1016;6510;9;0;0;0;3870;20630;34;432;1849;4;185;551;2;2357;1243;21;926;516;740;46;186;470;;0;143;298;6;22;0;0;62;150;26;28;36;14;653.0;4;6849;43674;505;379;6343;43291;0.0;4;2527;14831;894;6296;0;0;2774;19249;246;1665;79;445;330;1188;543;1139;187;135;356;1004;;0;219;555;40;64;0;0;228;421;24;49;10;38;22.0;12;2687;1156;2249;570;316;574;121.0;12;456;463;55;47;0;0;664;496;113;81;54;42;1343.0;27;289;750;86;47;203;703;;0;88;305;21;81;0;0;142;314;22;26;6;12;9.0;12
101;2001 juni;9699;43942;2579;1076;7097;42846;23.0;20;3255;14905;34;989;6058;10;0;0;0;3695;19558;38;995;1664;10;182;578;2;583;1179;6;288;465;91;41;197;424;;0;131;253;5;19;0;0;72;143;32;19;48;30;;1;7054;40533;975;310;6077;40208;3.0;15;2268;13365;834;5805;0;0;2797;18264;786;1516;72;458;297;1125;503;1048;182;141;322;907;;0;248;496;13;56;0;0;216;418;16;49;4;20;7.0;9;1521;1103;1202;532;299;566;20.0;5;492;435;109;57;0;0;515;476;150;57;25;51;231.0;27;332;793;129;52;203;741;;0;116;356;29;121;0;0;95;257;11;23;33;19;48.0;17
102;2001 juli;12373;49404;3733;1254;8328;48133;312.0;17;3719;15999;30;1059;6755;9;0;0;0;5721;22681;46;895;1976;7;182;560;1;798;1433;6;369;456;153;46;216;410;;0;123;237;6;23;0;0;61;151;112;16;66;25;1.0;4;7959;45627;556;410;7100;45202;302.0;15;2611;14365;964;6474;0;0;3461;21174;328;1791;65;443;530;1380;684;1123;293;141;390;981;;1;257;494;21;74;0;0;244;445;150;67;9;35;3.0;8;3007;1195;2642;585;355;609;;1;581;501;25;40;0;0;1827;519;280;70;33;41;260.0;24;355;1003;89;72;266;931;;0;147;402;42;144;0;0;128;392;25;32;9;16;4.0;17
103;2001 augustus;9775;45406;2257;884;7516;44510;3.0;12;3049;14412;31;904;5947;9;0;0;0;4565;21406;47;729;1746;7;101;541;1;428;1354;4;290;413;93;41;197;372;;0;87;195;5;26;0;0;88;152;99;24;10;11;0.0;5;6735;42306;240;270;6494;42025;1.0;11;2202;13132;827;5700;0;0;3116;20119;307;1577;63;456;219;1322;626;980;309;114;318;866;;0;192;439;26;65;0;0;264;391;29;52;6;28;110.0;5;1876;924;1554;428;320;495;;1;452;358;20;41;0;0;1008;412;281;72;19;32;95.0;9;248;783;61;31;187;752;;0;116;288;24;115;0;0;89;332;13;21;3;14;3.0;13
104;2001 september;8294;39888;1925;1481;6308;38398;61.0;9;2716;12998;33;797;4979;10;0;0;0;3764;18791;45;307;1487;4;107;526;1;602;1107;7;318;337;177;68;141;269;;0;90;170;2;9;0;0;83;121;36;19;13;15;94.0;3;5984;37066;412;562;5570;36498;1.0;6;1953;11827;709;4781;0;0;2824;17617;207;1344;63;431;228;1066;485;903;264;252;222;651;;0;263;407;16;55;0;0;163;353;11;46;8;30;24.0;12;1208;892;925;538;223;351;60.0;3;310;328;50;44;0;0;532;409;50;63;12;34;255.0;14;298;690;146;61;152;629;;0;100;266;20;90;0;0;162;291;4;15;10;16;2.0;12
105;2001 oktober;10441;46804;3159;1826;7222;44968;61.0;10;3201;15176;31;979;5842;9;0;0;0;4798;22022;46;442;1828;4;109;623;1;912;1313;9;241;434;80;72;161;362;;0;135;223;2;11;0;0;79;156;16;22;9;20;;2;6851;43223;476;738;6375;42478;1.0;7;2264;13657;837;5580;0;0;3164;20560;299;1646;68;508;219;1272;554;1097;287;297;268;800;;0;270;487;28;74;0;0;219;456;18;47;10;27;10.0;6;2418;1105;2162;644;196;459;;2;374;399;80;51;0;0;1191;505;88;79;19;51;666.0;20;377;945;155;75;222;869;;1;157;410;32;126;0;0;145;345;21;34;6;17;16.0;13
106;2001 november;12804;46290;4941;1744;7441;44535;421.0;11;3412;14909;27;1544;5840;12;0;0;0;5977;21637;47;800;2036;6;167;674;1;903;1194;7;422;482;215;94;206;388;;0;159;279;4;14;0;0;174;143;70;21;15;22;1.0;3;7387;42906;828;618;6558;42279;1.0;9;2383;13405;857;5616;0;0;3501;20351;301;1864;84;526;262;1144;609;1102;359;330;250;772;;0;321;536;17;65;0;0;210;408;43;47;16;40;2.0;6;3581;1118;3333;652;248;465;;1;422;408;645;53;0;0;1898;485;368;82;49;69;198.0;21;806;682;206;50;180;631;;1;127;281;21;92;0;0;194;250;19;22;3;17;441.0;20
107;2001 december;14656;57749;4783;2754;9803;54981;71.0;14;5043;19590;34;1240;7144;8;0;0;0;6100;25532;42;947;2996;6;274;1037;2;1053;1450;7;489;858;158;140;330;718;;0;291;534;12;26;0;0;108;189;38;47;38;58;1.0;4;9518;52862;1026;970;8491;51883;1.0;9;3234;17326;1080;6880;0;0;4346;23743;456;2719;135;801;268;1393;947;1595;505;464;442;1131;;0;467;771;24;76;0;0;348;606;62;68;16;64;30.0;10;3236;1738;2817;1104;349;629;70.0;5;902;690;80;75;0;0;1147;719;289;131;65;90;751.0;33;467;696;275;76;192;620;;0;148;269;43;87;0;0;151;275;102;31;20;24;3.0;10
