ID;Geslacht;Leeftijd;Persoonskenmerken;Perioden;TotaalBevolking15Tot65Jaar_1;TotaalWerkzamePersonen_2;WerkzamePersonen12UurPerWeek_3;WerkzamePersonen12uurPerWeek_4;Beroepsbevolking_5;WerkzameBeroepsbevolking_6;WerklozeBeroepsbevolking_7;NietBeroepsbevolking_8;BrutoArbeidsparticipatie_9;NettoArbeidsparticipatie_10;Werkloosheidspercentage_11;TotaalWerknemers_12;WerknemersVasteArbeidsrelatie_13;WerknemersFlexibeleArbeidsrelatie_14;Zelfstandigen_15;Parttime_16;Fulltime_17;TotaalGeregistreerdeWerklozen_18;KorterDanEenJaarIngeschreven_19;LangerDanEenJaarIngeschreven_20;GeregistreerdWerkloosheidspercentage_21;ElementaireBeroepen_22;LagereBeroepen_23;MiddelbareBeroepen_24;HogereBeroepen_25;WetenschappelijkeBeroepen_26;BeroepsniveauOnbekend_27
63;Mannen en vrouwen;Totaal leeftijd;6;2004;8773.0;6506.0;736.0;5769.0;6091.0;5769.0;321.0;2682.0;69.4;65.8;5.3;5072.0;4730.0;342.0;697.0;2094.0;3675.0;224.0;149.0;75.0;3.7;334.0;1337.0;2241.0;1383.0;455.0;19.0
64;Mannen en vrouwen;Totaal leeftijd;6;2005;8766.0;6481.0;733.0;5748.0;6061.0;5748.0;313.0;2705.0;69.1;65.6;5.2;5054.0;4679.0;375.0;694.0;2152.0;3597.0;213.0;134.0;79.0;3.5;344.0;1303.0;2261.0;1258.0;529.0;53.0
65;Mannen en vrouwen;Totaal leeftijd;6;2006;8786.0;6613.0;733.0;5880.0;6146.0;5880.0;266.0;2639.0;70.0;66.9;4.3;5135.0;4714.0;421.0;745.0;2214.0;3666.0;177.0;104.0;73.0;2.9;360.0;1335.0;2301.0;1306.0;517.0;62.0
66;Mannen en vrouwen;Totaal leeftijd;7;1996;1766.0;959.0;95.0;864.0;1013.0;864.0;149.0;753.0;57.4;48.9;14.8;783.0;670.0;113.0;81.0;248.0;616.0;135.0;61.0;74.0;13.3;103.0;235.0;298.0;142.0;75.0;11.0
67;Mannen en vrouwen;Totaal leeftijd;7;1997;1803.0;1002.0;98.0;904.0;1050.0;904.0;145.0;753.0;58.2;50.2;13.9;819.0;692.0;127.0;85.0;257.0;647.0;122.0;53.0;68.0;11.6;112.0;246.0;307.0;148.0;72.0;18.0
68;Mannen en vrouwen;Totaal leeftijd;7;1998;1847.0;1072.0;101.0;970.0;1083.0;970.0;113.0;765.0;58.6;52.5;10.4;886.0;749.0;137.0;85.0;275.0;695.0;96.0;39.0;57.0;8.9;109.0;266.0;326.0;179.0;75.0;16.0
69;Mannen en vrouwen;Totaal leeftijd;7;1999;1906.0;1132.0;106.0;1026.0;1124.0;1026.0;99.0;782.0;59.0;53.8;8.8;931.0;786.0;144.0;95.0;299.0;726.0;77.0;33.0;44.0;6.8;127.0;284.0;332.0;177.0;82.0;24.0
70;Mannen en vrouwen;Totaal leeftijd;7;2000;1938.0;1183.0;109.0;1074.0;1163.0;1074.0;89.0;775.0;60.0;55.4;7.7;964.0;830.0;133.0;110.0;331.0;742.0;65.0;33.0;32.0;5.6;121.0;275.0;363.0;193.0;94.0;28.0
71;Mannen en vrouwen;Totaal leeftijd;7;2001;2004.0;1244.0;115.0;1129.0;1208.0;1129.0;79.0;797.0;60.2;56.3;6.5;1028.0;892.0;135.0;101.0;358.0;771.0;44.0;26.0;18.0;3.7;139.0;290.0;383.0;203.0;95.0;20.0
72;Mannen en vrouwen;Totaal leeftijd;7;2002;2069.0;1269.0;122.0;1147.0;1244.0;1147.0;96.0;826.0;60.1;55.4;7.8;1043.0;916.0;127.0;105.0;380.0;767.0;50.0;31.0;20.0;4.0;149.0;287.0;399.0;199.0;91.0;22.0
73;Mannen en vrouwen;Totaal leeftijd;7;2003;2119.0;1277.0;118.0;1158.0;1295.0;1158.0;137.0;823.0;61.1;54.7;10.6;1056.0;930.0;126.0;102.0;385.0;773.0;78.0;51.0;27.0;6.1;151.0;288.0;387.0;214.0;95.0;24.0
74;Mannen en vrouwen;Totaal leeftijd;7;2004;2151.0;1275.0;127.0;1149.0;1307.0;1149.0;158.0;844.0;60.8;53.4;12.1;1044.0;915.0;129.0;105.0;400.0;749.0;93.0;55.0;38.0;7.1;153.0;324.0;367.0;222.0;78.0;6.0
75;Mannen en vrouwen;Totaal leeftijd;7;2005;2176.0;1302.0;133.0;1169.0;1339.0;1169.0;170.0;837.0;61.5;53.7;12.7;1048.0;911.0;138.0;121.0;408.0;762.0;96.0;58.0;38.0;7.2;161.0;305.0;390.0;205.0;95.0;13.0
76;Mannen en vrouwen;Totaal leeftijd;7;2006;2177.0;1323.0;130.0;1193.0;1339.0;1193.0;147.0;838.0;61.5;54.8;10.9;1059.0;917.0;143.0;134.0;409.0;784.0;83.0;50.0;33.0;6.2;151.0;312.0;406.0;208.0;94.0;22.0
77;Mannen en vrouwen;Totaal leeftijd;8;1996;973.0;607.0;60.0;546.0;607.0;546.0;61.0;366.0;62.4;56.2;10.0;487.0;433.0;54.0;59.0;156.0;390.0;44.0;20.0;24.0;7.2;41.0;126.0;201.0;110.0;62.0;7.0
78;Mannen en vrouwen;Totaal leeftijd;8;1997;977.0;621.0;57.0;564.0;621.0;564.0;57.0;356.0;63.6;57.8;9.1;502.0;440.0;62.0;62.0;170.0;394.0;42.0;19.0;23.0;6.7;44.0;136.0;209.0;110.0;56.0;9.0
79;Mannen en vrouwen;Totaal leeftijd;8;1998;981.0;651.0;64.0;587.0;627.0;587.0;41.0;354.0;63.9;59.8;6.5;524.0;457.0;67.0;63.0;173.0;414.0;28.0;11.0;17.0;4.5;41.0;136.0;207.0;135.0;60.0;8.0
80;Mannen en vrouwen;Totaal leeftijd;8;1999;989.0;672.0;65.0;608.0;641.0;608.0;33.0;348.0;64.8;61.5;5.1;544.0;483.0;61.0;64.0;185.0;423.0;25.0;10.0;15.0;3.9;49.0;142.0;209.0;129.0;66.0;14.0
