ID;BedrijfstakkenBranchesSBI2008;Perioden;InvesteringenVerwachtingen_1;InvesteringenRealisaties_2
330;22-23 Kunststof- en bouwmateriaalindustr;2019;;
331;22-23 Kunststof- en bouwmateriaalindustr;2020;;
332;22-23 Kunststof- en bouwmateriaalindustr;2021;;
333;22-23 Kunststof- en bouwmateriaalindustr;2022;;
334;22-23 Kunststof- en bouwmateriaalindustr;2023;;
335;22-23 Kunststof- en bouwmateriaalindustr;2024;;
336;22 Rubber- en kunststofproductindustrie;2013;9.0;13.0
337;22 Rubber- en kunststofproductindustrie;2014;-1.0;-9.0
338;22 Rubber- en kunststofproductindustrie;2015;11.0;9.0
339;22 Rubber- en kunststofproductindustrie;2016;34.0;14.0
340;22 Rubber- en kunststofproductindustrie;2017;30.0;14.0
341;22 Rubber- en kunststofproductindustrie;2018;26.0;9.0
342;22 Rubber- en kunststofproductindustrie;2019;20.0;-2.0
343;22 Rubber- en kunststofproductindustrie;2020;40.0;23.0
344;22 Rubber- en kunststofproductindustrie;2021;-2.0;6.0
345;22 Rubber- en kunststofproductindustrie;2022;10.0;-18.0
346;22 Rubber- en kunststofproductindustrie;2023;47.0;13.0
347;22 Rubber- en kunststofproductindustrie;2024;-3.0;
348;23 Bouwmaterialenindustrie;2013;10.0;18.0
349;23 Bouwmaterialenindustrie;2014;-3.0;0.0
350;23 Bouwmaterialenindustrie;2015;-6.0;4.0
351;23 Bouwmaterialenindustrie;2016;-6.0;-10.0
352;23 Bouwmaterialenindustrie;2017;45.0;41.0
353;23 Bouwmaterialenindustrie;2018;-7.0;2.0
354;23 Bouwmaterialenindustrie;2019;42.0;36.0
355;23 Bouwmaterialenindustrie;2020;4.0;-2.0
356;23 Bouwmaterialenindustrie;2021;-15.0;-9.0
357;23 Bouwmaterialenindustrie;2022;16.0;-4.0
358;23 Bouwmaterialenindustrie;2023;31.0;19.0
359;23 Bouwmaterialenindustrie;2024;-23.0;
360;24 Basismetaalindustrie;2013;-8.0;-12.0
361;24 Basismetaalindustrie;2014;-22.0;7.0
362;24 Basismetaalindustrie;2015;-15.0;42.0
363;24 Basismetaalindustrie;2016;-24.0;-4.0
364;24 Basismetaalindustrie;2017;28.0;43.0
365;24 Basismetaalindustrie;2018;-31.0;8.0
366;24 Basismetaalindustrie;2019;1.0;-12.0
367;24 Basismetaalindustrie;2020;-2.0;-33.0
368;24 Basismetaalindustrie;2021;69.0;109.0
369;24 Basismetaalindustrie;2022;19.0;7.0
370;24 Basismetaalindustrie;2023;61.0;79.0
371;24 Basismetaalindustrie;2024;43.0;
372;24-25 Basismetaal, metaalprod.-industrie;2013;-3.0;-4.0
373;24-25 Basismetaal, metaalprod.-industrie;2014;-8.0;10.0
374;24-25 Basismetaal, metaalprod.-industrie;2015;-18.0;18.0
375;24-25 Basismetaal, metaalprod.-industrie;2016;-6.0;10.0
376;24-25 Basismetaal, metaalprod.-industrie;2017;-7.0;16.0
377;24-25 Basismetaal, metaalprod.-industrie;2018;-6.0;11.0
378;24-25 Basismetaal, metaalprod.-industrie;2019;-10.0;9.0
379;24-25 Basismetaal, metaalprod.-industrie;2020;-21.0;-18.0
380;24-25 Basismetaal, metaalprod.-industrie;2021;-4.0;25.0
381;24-25 Basismetaal, metaalprod.-industrie;2022;2.0;9.0
382;24-25 Basismetaal, metaalprod.-industrie;2023;17.0;39.0
383;24-25 Basismetaal, metaalprod.-industrie;2024;12.0;
384;24-30, 33 Metalektro;2013;3.0;-1.0
385;24-30, 33 Metalektro;2014;14.0;-1.0
386;24-30, 33 Metalektro;2015;25.0;21.0
387;24-30, 33 Metalektro;2016;-12.0;2.0
388;24-30, 33 Metalektro;2017;5.0;8.0
389;24-30, 33 Metalektro;2018;9.0;13.0
390;24-30, 33 Metalektro;2019;9.0;11.0
391;24-30, 33 Metalektro;2020;-15.0;-23.0
392;24-30, 33 Metalektro;2021;5.0;31.0
393;24-30, 33 Metalektro;2022;3.0;11.0
394;24-30, 33 Metalektro;2023;9.0;14.0
395;24-30, 33 Metalektro;2024;35.0;
396;25 Metaalproductenindustrie;2013;-1.0;0.0
397;25 Metaalproductenindustrie;2014;-3.0;11.0
398;25 Metaalproductenindustrie;2015;-19.0;8.0
399;25 Metaalproductenindustrie;2016;1.0;17.0
400;25 Metaalproductenindustrie;2017;-12.0;4.0
401;25 Metaalproductenindustrie;2018;3.0;13.0
402;25 Metaalproductenindustrie;2019;-17.0;20.0
403;25 Metaalproductenindustrie;2020;-27.0;-12.0
404;25 Metaalproductenindustrie;2021;-18.0;-2.0
405;25 Metaalproductenindustrie;2022;-2.0;10.0
406;25 Metaalproductenindustrie;2023;8.0;12.0
407;25 Metaalproductenindustrie;2024;-13.0;
408;26 Elektrotechnische industrie;2013;39.0;14.0
409;26 Elektrotechnische industrie;2014;20.0;17.0
410;26 Elektrotechnische industrie;2015;33.0;-21.0
411;26 Elektrotechnische industrie;2016;-23.0;62.0
412;26 Elektrotechnische industrie;2017;-17.0;3.0
413;26 Elektrotechnische industrie;2018;17.0;-26.0
414;26 Elektrotechnische industrie;2019;20.0;5.0
415;26 Elektrotechnische industrie;2020;17.0;-11.0
416;26 Elektrotechnische industrie;2021;33.0;58.0
417;26 Elektrotechnische industrie;2022;49.0;14.0
418;26 Elektrotechnische industrie;2023;20.0;-4.0
419;26 Elektrotechnische industrie;2024;-9.0;
420;26-28 Elektrotechn. en machine-industrie;2013;3.0;-17.0
421;26-28 Elektrotechn. en machine-industrie;2014;39.0;4.0
422;26-28 Elektrotechn. en machine-industrie;2015;54.0;27.0
423;26-28 Elektrotechn. en machine-industrie;2016;-21.0;-5.0
424;26-28 Elektrotechn. en machine-industrie;2017;8.0;-8.0
425;26-28 Elektrotechn. en machine-industrie;2018;36.0;23.0
426;26-28 Elektrotechn. en machine-industrie;2019;32.0;23.0
427;26-28 Elektrotechn. en machine-industrie;2020;1.0;-20.0
428;26-28 Elektrotechn. en machine-industrie;2021;8.0;51.0
429;26-28 Elektrotechn. en machine-industrie;2022;12.0;10.0
430;26-28 Elektrotechn. en machine-industrie;2023;11.0;4.0
431;26-28 Elektrotechn. en machine-industrie;2024;60.0;
432;27 Elektrische apparatenindustrie;2013;-3.0;-44.0
433;27 Elektrische apparatenindustrie;2014;-3.0;29.0
434;27 Elektrische apparatenindustrie;2015;-2.0;-13.0
435;27 Elektrische apparatenindustrie;2016;25.0;20.0
436;27 Elektrische apparatenindustrie;2017;5.0;38.0
437;27 Elektrische apparatenindustrie;2018;1.0;1.0
438;27 Elektrische apparatenindustrie;2019;15.0;16.0
439;27 Elektrische apparatenindustrie;2020;-21.0;17.0
440;27 Elektrische apparatenindustrie;2021;-14.0;-19.0
441;27 Elektrische apparatenindustrie;2022;6.0;-1.0
442;27 Elektrische apparatenindustrie;2023;3.0;25.0
443;27 Elektrische apparatenindustrie;2024;-13.0;
444;28 Machine-industrie;2013;-1.0;-16.0
445;28 Machine-industrie;2014;49.0;-3.0
446;28 Machine-industrie;2015;67.0;48.0
447;28 Machine-industrie;2016;-28.0;-18.0
448;28 Machine-industrie;2017;13.0;-19.0
449;28 Machine-industrie;2018;49.0;48.0
450;28 Machine-industrie;2019;38.0;27.0
451;28 Machine-industrie;2020;2.0;-29.0
452;28 Machine-industrie;2021;9.0;71.0
453;28 Machine-industrie;2022;5.0;11.0
454;28 Machine-industrie;2023;11.0;2.0
455;28 Machine-industrie;2024;83.0;
456;29 Auto- en aanhangwagenindustrie;2013;26.0;99.0
457;29 Auto- en aanhangwagenindustrie;2014;-21.0;-28.0
458;29 Auto- en aanhangwagenindustrie;2015;32.0;20.0
459;29 Auto- en aanhangwagenindustrie;2016;4.0;-25.0
460;29 Auto- en aanhangwagenindustrie;2017;73.0;66.0
461;29 Auto- en aanhangwagenindustrie;2018;-5.0;-23.0
462;29 Auto- en aanhangwagenindustrie;2019;8.0;-39.0
463;29 Auto- en aanhangwagenindustrie;2020;31.0;3.0
464;29 Auto- en aanhangwagenindustrie;2021;124.0;114.0
465;29 Auto- en aanhangwagenindustrie;2022;-20.0;-17.0
466;29 Auto- en aanhangwagenindustrie;2023;-27.0;-1.0
467;29 Auto- en aanhangwagenindustrie;2024;21.0;
468;29-30 Transportmiddelenindustrie;2013;7.0;51.0
469;29-30 Transportmiddelenindustrie;2014;-12.0;-23.0
470;29-30 Transportmiddelenindustrie;2015;22.0;19.0
471;29-30 Transportmiddelenindustrie;2016;9.0;-22.0
472;29-30 Transportmiddelenindustrie;2017;54.0;67.0
473;29-30 Transportmiddelenindustrie;2018;-2.0;-27.0
474;29-30 Transportmiddelenindustrie;2019;18.0;25.0
475;29-30 Transportmiddelenindustrie;2020;1.0;-42.0
