ID;Airports;Periods;CrossCountryFlights_1;LocalFlights_2;TotalFlights_3;Scheduled_4;NonScheduled_5;TotalArrivalsFlights_6;Scheduled_7;NonScheduled_8;TotalDeparturesFlights_9;Scheduled_10;NonScheduled_11;TotalPassengers_12;Scheduled_13;NonScheduled_14;TotalArrivalsPassengers_15;Scheduled_16;NonScheduled_17;TotalDeparturesPassengers_18;Scheduled_19;NonScheduled_20;TotalCountryOfOriginDestination_21;EuropeTotal_22;EUCountries_23;OtherEurope_24;TotalIntercontinentalPassengers_25;Africa_26;NorthAfrica_27;WestAfrica_28;CentralAfrica_29;EastAfrica_30;SouthAfrica_31;America_32;NorthAmerica_33;CentralAmerica_34;SouthAmerica_35;Asia_36;WestAsia_37;SouthEastAsia_38;NorthEastAsia_39;Oceania_40;OtherUnknown_41;Unknown_42;TotalCargo_43;ScheduledCargo_44;NonScheduledCargo_45;TotalUnloadedCargo_46;ScheduledCargo_47;NonScheduledCargo_48;TotalLoadedCargo_49;ScheduledCargo_50;NonScheduledCargo_51;TotalCountryOfOriginDestination_52;EuropeTotalCargo_53;EUCountries_54;OtherEurope_55;TotalIntercontinentalCargo_56;Africa_57;NorthAfrica_58;WestAfrica_59;CentralAfrica_60;EastAfrica_61;SouthAfrica_62;America_63;NorthAmerica_64;CentralAmerica_65;SouthAmerica_66;Asia_67;WestAsia_68;SouthEastAsia_69;NorthEastAsia_70;Oceania_71;OtherUnknown_72;Unknown_73;TotalMail_74;ScheduledMail_75;NonScheduledCargoMail_76;TotalUnloadedMail_77;ScheduledMail_78;NonScheduledMail_79;TotalLoadedMail_80;ScheduledMail_81;NonScheduledMail_82;TotalCountryOfOriginDestination_83;EuropeTotalMail_84;EUCountries_85;OtherEurope_86;TotalIntercontinentalMail_87;Africa_88;NorthAfrica_89;WestAfrica_90;CentralAfrica_91;EastAfrica_92;SouthAfrica_93;America_94;NorthAmerica_95;CentralAmerica_96;SouthAmerica_97;Asia_98;WestAsia_99;SouthEastAsia_100;NorthEastAsia_101;Oceania_102
1075;Rotterdam The Hague Airport;2009 3rd quarter;8141;6876;4031;2965.0;1066;2011;1480.0;531;2020;1485.0;535;286180;199780.0;86400;142703;99885.0;42818;143477;99895.0;43582;286180;286180;261064;25116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1076;Rotterdam The Hague Airport;2009 October;2502;2126;1375;1059.0;316;689;530.0;159;686;529.0;157;85598;65568.0;20030;45817;34104.0;11713;39781;31464.0;8317;85598;85515;78481;7034;83;83;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1077;Rotterdam The Hague Airport;2009 November;1925;1362;1092;896.0;196;546;445.0;101;546;451.0;95;48318;44600.0;3718;25288;23339.0;1949;23030;21261.0;1769;48318;48236;47117;1119;82;82;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1078;Rotterdam The Hague Airport;2009 December;1811;1152;1052;877.0;175;531;436.0;95;521;441.0;80;53317;50859.0;2458;24627;23490.0;1137;28690;27369.0;1321;53317;53317;51563;1754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1079;Rotterdam The Hague Airport;2009 4th quarter;6238;4640;3519;2832.0;687;1766;1411.0;355;1753;1421.0;332;187233;161027.0;26206;95732;80933.0;14799;91501;80094.0;11407;187233;187068;177161;9907;165;165;165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1080;Rotterdam The Hague Airport;2009;29302;23598;15397;12206.0;3191;7691;6101.0;1590;7706;6105.0;1601;921840;736640.0;185200;461927;369656.0;92271;459913;366984.0;92929;921840;921265;860109;61156;575;365;365;0;0;0;0;210;1;209;0;0;0;0;0;0;0;0;5;0;5;0;0;0;5;0;5;5;5;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1081;Rotterdam The Hague Airport;2010 January;1900;1318;1169;998.0;171;580;501.0;79;589;497.0;92;59584;56783.0;2801;30537;29082.0;1455;29047;27701.0;1346;59584;59005;55853;3152;579;0;0;0;0;0;0;0;0;0;0;579;0;318;261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1082;Rotterdam The Hague Airport;2010 February;1899;1338;1104;938.0;166;551;468.0;83;553;470.0;83;62210;57893.0;4317;29903;27751.0;2152;32307;30142.0;2165;62210;62210;59312;2898;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1083;Rotterdam The Hague Airport;2010 March;2841;2468;1246;1068.0;178;623;532.0;91;623;536.0;87;72821;69493.0;3328;37539;35863.0;1676;35282;33630.0;1652;72821;72821;68872;3949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1084;Rotterdam The Hague Airport;2010 1st quarter;6640;5124;3519;3004.0;515;1754;1501.0;253;1765;1503.0;262;194615;184169.0;10446;97979;92696.0;5283;96636;91473.0;5163;194615;194036;184037;9999;579;0;0;0;0;0;0;0;0;0;0;579;0;318;261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1085;Rotterdam The Hague Airport;2010 April;2310;2454;978;791.0;187;491;394.0;97;487;397.0;90;51759;44873.0;6886;23547;21122.0;2425;28212;23751.0;4461;51759;51759;49101;2658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1086;Rotterdam The Hague Airport;2010 May;2772;2406;1373;960.0;413;688;478.0;210;685;482.0;203;96812;65303.0;31509;46976;32582.0;14394;49836;32721.0;17115;96812;96812;85968;10844;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1087;Rotterdam The Hague Airport;2010 June;2977;2612;1437;977.0;460;719;487.0;232;718;490.0;228;91026;62253.0;28773;47096;31610.0;15486;43930;30643.0;13287;91026;91026;81153;9873;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;19;18;0;18;1;0;1;19;19;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1088;Rotterdam The Hague Airport;2010 2nd quarter;8059;7472;3788;2728.0;1060;1898;1359.0;539;1890;1369.0;521;239597;172429.0;67168;117619;85314.0;32305;121978;87115.0;34863;239597;239597;216222;23375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;20;18;0;18;2;0;2;20;20;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1089;Rotterdam The Hague Airport;2010 July;2807;2158;1462;964.0;498;733;480.0;253;729;484.0;245;102749;68315.0;34434;46856;31584.0;15272;55893;36731.0;19162;102749;102049;87688;14361;700;700;0;401;299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1090;Rotterdam The Hague Airport;2010 August;2423;2176;1345;900.0;445;675;451.0;224;670;449.0;221;103361;68625.0;34736;56300;36821.0;19479;47061;31804.0;15257;103361;102519;89362;13157;842;842;4;508;330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1091;Rotterdam The Hague Airport;2010 September;2668;2464;1418;983.0;435;711;489.0;222;707;494.0;213;100099;68819.0;31280;49028;33695.0;15333;51071;35124.0;15947;100099;99696;89862;9834;403;403;225;0;178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1092;Rotterdam The Hague Airport;2010 3rd quarter;7898;6798;4225;2847.0;1378;2119;1420.0;699;2106;1427.0;679;306209;205759.0;100450;152184;102100.0;50084;154025;103659.0;50366;306209;304264;266912;37352;1945;1945;229;909;807;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1093;Rotterdam The Hague Airport;2010 October;2583;2314;1314;968.0;346;657;481.0;176;657;487.0;170;90641;68266.0;22375;48536;35562.0;12974;42105;32704.0;9401;90641;90403;79094;11309;238;238;0;0;238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1094;Rotterdam The Hague Airport;2010 November;1798;1496;922;720.0;202;461;361.0;100;461;359.0;102;46200;41728.0;4472;24728;22477.0;2251;21472;19251.0;2221;46200;46148;45003;1145;52;52;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1095;Rotterdam The Hague Airport;2010 December;1527;928;875;680.0;195;445;337.0;108;430;343.0;87;45307;42660.0;2647;20794;19533.0;1261;24513;23127.0;1386;45307;44859;42790;2069;448;448;163;0;0;285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1096;Rotterdam The Hague Airport;2010 4th quarter;5908;4738;3111;2368.0;743;1563;1179.0;384;1548;1189.0;359;182148;152654.0;29494;94058;77572.0;16486;88090;75082.0;13008;182148;181410;166887;14523;738;738;163;0;290;285;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1097;Rotterdam The Hague Airport;2010;28505;24132;14643;10947.0;3696;7334;5459.0;1875;7309;5488.0;1821;922569;715011.0;207558;461840;357682.0;104158;460729;357329.0;103400;922569;919307;834058;85249;3262;2683;392;909;1097;285;0;0;0;0;0;579;0;318;261;0;0;0;21;0;21;18;0;18;3;0;3;21;21;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1098;Rotterdam The Hague Airport;2011 January;2071;1598;1032;878.0;154;507;437.0;70;525;441.0;84;55386;53180.0;2206;28274;27242.0;1032;27112;25938.0;1174;55386;55386;52809;2577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1099;Rotterdam The Hague Airport;2011 February;2116;1312;1095;882.0;213;546;439.0;107;549;443.0;106;59987;55548.0;4439;28896;26716.0;2180;31091;28832.0;2259;59987;59987;57542;2445;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1100;Rotterdam The Hague Airport;2011 March;2706;2684;1177;985.0;192;588;491.0;97;589;494.0;95;74158;70070.0;4088;38266;36103.0;2163;35892;33967.0;1925;74158;74158;69683;4475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1101;Rotterdam The Hague Airport;2011 1st quarter;6893;5594;3304;2745.0;559;1641;1367.0;274;1663;1378.0;285;189531;178798.0;10733;95436;90061.0;5375;94095;88737.0;5358;189531;189531;180034;9497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1102;Rotterdam The Hague Airport;2011 April;2596;2542;1111;849.0;262;559;423.0;136;552;426.0;126;70982;61470.0;9512;32679;29189.0;3490;38303;32281.0;6022;70982;70982;66335;4647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;1;0;1;2;0;2;3;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1103;Rotterdam The Hague Airport;2011 May;2895;2496;1510;1108.0;402;754;554.0;200;756;554.0;202;112198;86984.0;25214;55129;43206.0;11923;57069;43778.0;13291;112198;112198;100465;11733;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1104;Rotterdam The Hague Airport;2011 June;2705;2184;1452;1014.0;438;722;506.0;216;730;508.0;222;113303;87759.0;25544;57180;44233.0;12947;56123;43526.0;12597;113303;112957;103439;9518;346;346;346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;23;11;0;11;12;0;12;23;1;0;1;22;22;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1105;Rotterdam The Hague Airport;2011 2nd quarter;8196;7222;4073;2971.0;1102;2035;1483.0;552;2038;1488.0;550;296483;236213.0;60270;144988;116628.0;28360;151495;119585.0;31910;296483;296137;270239;25898;346;346;346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;26;12;0;12;14;0;14;26;5;1;4;22;22;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1106;Rotterdam The Hague Airport;2011 July;2650;2318;1412;961.0;451;701;480.0;221;711;481.0;230;126815;96405.0;30410;59745;45501.0;14244;67070;50904.0;16166;126815;126140;114106;12034;675;675;675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1107;Rotterdam The Hague Airport;2011 August;2541;2584;1360;966.0;394;677;484.0;193;683;482.0;201;120374;95501.0;24873;64557;50829.0;13728;55817;44672.0;11145;120374;120017;109719;10298;357;357;357;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;0;0;5;0;5;6;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1108;Rotterdam The Hague Airport;2011 September;2789;2194;1493;1019.0;474;754;508.0;246;739;511.0;228;116872;90553.0;26319;58817;45762.0;13055;58055;44791.0;13264;116872;116872;105353;11519;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;8;6;0;6;3;0;3;8;8;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1109;Rotterdam The Hague Airport;2011 3rd quarter;7980;7096;4265;2946.0;1319;2132;1472.0;660;2133;1474.0;659;364061;282459.0;81602;183119;142092.0;41027;180942;140367.0;40575;364061;363029;329178;33851;1032;1032;1032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;14;6;0;6;8;0;8;14;14;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1110;Rotterdam The Hague Airport;2011 October;2609;2064;1391;1023.0;368;691;510.0;181;700;513.0;187;106423;88026.0;18397;56889;46137.0;10752;49534;41889.0;7645;106423;106423;96087;10336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;3;0;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1111;Rotterdam The Hague Airport;2011 November;1750;1466;921;721.0;200;460;356.0;104;461;365.0;96;55243;50988.0;4255;28614;26345.0;2269;26629;24643.0;1986;55243;55243;54145;1098;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1112;Rotterdam The Hague Airport;2011 December;1689;1340;994;851.0;143;497;426.0;71;497;425.0;72;63461;60303.0;3158;29614;27835.0;1779;33847;32468.0;1379;63461;63199;62023;1176;262;262;262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1113;Rotterdam The Hague Airport;2011 4th quarter;6048;4870;3306;2595.0;711;1648;1292.0;356;1658;1303.0;355;225127;199317.0;25810;115117;100317.0;14800;110010;99000.0;11010;225127;224865;212255;12610;262;262;262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;0;5;0;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1114;Rotterdam The Hague Airport;2011;29117;24782;14948;11257.0;3691;7456;5614.0;1842;7492;5643.0;1849;1075202;896787.0;178415;538660;449098.0;89562;536542;447689.0;88853;1075202;1073562;991706;81856;1640;1640;1640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;47;18;0;18;29;0;29;47;26;21;5;22;22;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1115;Rotterdam The Hague Airport;2012 January;2027;1246;1153;988.0;165;573;494.0;79;580;494.0;86;75066;71750.0;3316;38593;37102.0;1491;36473;34648.0;1825;75066;75066;72628;2438;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
