ID;LandVanLading;LandVanLossing;Perioden;LadingtonkilometersTotaal_1;LadingtonkilometersInNederland_2;LadingtonkilometersInBuitenland_3;TotaalVervoerdGewicht_4;LandbouwproductenDieren_5;VoedingsproductenVeevoeder_6;VasteBrandstoffen_7;AardolienAardolieproducten_8;ErtsenEnMetaalresiduen_9;MetalenMetalenHalffabricaten_10;RuweMineralenEnBouwmaterialen_11;Meststoffen_12;ChemischeProducten_13;OverigeGoederenEnFabricaten_14;Containervervoer_15
128;Nederland;Totaal gelost;2005;50376.0;27076.0;23300.0;218411.0;1984.0;13826.0;22617.0;43916.0;33732.0;4633.0;55550.0;3380.0;15109.0;23663.0;1572.0
129;Nederland;Totaal gelost;2006;50203.0;27086.0;23117.0;223056.0;2398.0;13276.0;24315.0;45418.0;33008.0;4873.0;52395.0;3144.0;15042.0;29183.0;1615.0
130;Nederland;Totaal gelost;2007;49621.0;27820.0;21801.0;226355.0;3222.0;12612.0;25351.0;39077.0;32968.0;5217.0;48970.0;3896.0;34865.0;20177.0;1689.0
131;Nederland;Totaal gelost;2008;49521.0;27896.0;21625.0;219243.0;3663.0;13943.0;24287.0;39683.0;32929.0;4883.0;51364.0;3785.0;25416.0;19289.0;1664.0
132;Nederland;Totaal gelost;2009;38849.0;22121.0;16728.0;179958.0;3109.0;11829.0;16706.0;39681.0;14984.0;3384.0;48888.0;3083.0;22281.0;16012.0;1383.0
133;Nederland;Totaal gelost;2010;;;;236671.0;;;;;;;;;;;
134;Nederland;Totaal gelost;2011;;;;239942.0;;;;;;;;;;;
135;Nederland;Totaal gelost;2012;;;;233122.0;;;;;;;;;;;
136;Nederland;Nederland;1996;6846.0;6846.0;0.0;88416.0;2195.0;9752.0;4463.0;14478.0;1262.0;650.0;46875.0;1655.0;2534.0;4551.0;240.0
137;Nederland;Nederland;1997;8280.0;8280.0;0.0;95589.0;1258.0;7539.0;4847.0;16300.0;592.0;694.0;54840.0;1430.0;3641.0;4449.0;257.0
138;Nederland;Nederland;1998;8877.0;8877.0;0.0;97724.0;1272.0;11399.0;4951.0;13573.0;568.0;709.0;54537.0;1891.0;3352.0;5474.0;316.0
139;Nederland;Nederland;1999;10281.0;10281.0;0.0;99062.0;2559.0;8256.0;3979.0;12704.0;1118.0;564.0;56569.0;1798.0;3479.0;8036.0;526.0
140;Nederland;Nederland;2000;9655.0;9655.0;0.0;102029.0;2568.0;8276.0;2133.0;12369.0;1518.0;522.0;59606.0;1909.0;4128.0;9000.0;598.0
141;Nederland;Nederland;2001;9892.0;9892.0;0.0;108914.0;2579.0;8517.0;2363.0;18494.0;1234.0;698.0;59875.0;1422.0;5857.0;7875.0;652.0
142;Nederland;Nederland;2002;10406.0;10406.0;0.0;101769.0;2733.0;8661.0;2173.0;17106.0;1543.0;877.0;52876.0;1551.0;5385.0;8865.0;670.0
143;Nederland;Nederland;2003;10668.0;10668.0;0.0;95100.0;2390.0;6606.0;3062.0;16287.0;1769.0;958.0;48653.0;1429.0;4881.0;9066.0;694.0
144;Nederland;Nederland;2004;11123.0;11123.0;0.0;99197.0;2632.0;7328.0;3019.0;18195.0;2131.0;1104.0;47467.0;1473.0;5209.0;10639.0;706.0
145;Nederland;Nederland;2005;10519.0;10519.0;0.0;95003.0;1299.0;6817.0;2732.0;19407.0;1619.0;1079.0;42655.0;1271.0;5512.0;12612.0;747.0
146;Nederland;Nederland;2006;10216.0;10216.0;0.0;97451.0;1554.0;6934.0;2725.0;19706.0;1425.0;1286.0;39917.0;1049.0;4994.0;17859.0;816.0
147;Nederland;Nederland;2007;10699.0;10699.0;0.0;102453.0;2023.0;6070.0;3554.0;18259.0;2008.0;1168.0;35334.0;1092.0;22712.0;10233.0;881.0
148;Nederland;Nederland;2008;10800.0;10800.0;0.0;96876.0;2437.0;7054.0;2940.0;18176.0;1736.0;1210.0;38379.0;1186.0;14041.0;9718.0;906.0
149;Nederland;Nederland;2009;9876.0;9876.0;0.0;91621.0;2188.0;6037.0;2573.0;17781.0;1107.0;964.0;38122.0;1144.0;12476.0;9228.0;815.0
150;Nederland;Nederland;2010;;;;103328.0;;;;;;;;;;;
151;Nederland;Nederland;2011;;;;105603.0;;;;;;;;;;;
152;Nederland;Nederland;2012;;;;101670.0;;;;;;;;;;;
