ID;PriceComponents;VATAndTax;Periods;LessThan569M3_1;k_569Until5687M3_2;k_5687M3AndHigher_3;LessThan28433M3_4;k_28433Until284333M3_5;k_284333Until2843332M3_6;k_2843332Until28433324M3_7;k_28433324M3AndHigher_8;LessThan1MWh_9;k_1Until25MWh_10;k_25Until5MWh_11;k_5Until15MWh_12;k_15MWhAndHigher_13;LessThan20MWh_14;k_20Unitl500MWh_15;k_500Until2000MWh_16;k_2000Until20000MWh_17;k_20000Until70000MWh_18;k_70000Until150000MWh_19;k_150000MWhAndHigher_20
259;Supply price;Excluding VAT and tax;2015 2nd semester;0.519;0.345;0.314;0.328;0.319;0.237;0.221;0.196;0.119;0.079;0.069;0.064;0.057;0.077;0.058;0.052;0.049;0.047;0.047;0.046
260;Supply price;Excluding VAT and tax;2015;0.476;0.35;0.323;0.335;0.31;0.25;0.233;0.209;0.117;0.081;0.071;0.067;0.059;0.079;0.059;0.052;0.049;0.048;0.047;0.046
261;Supply price;Excluding VAT and tax;2016 1st semester;0.416;0.311;0.288;0.302;0.269;0.212;0.191;0.148;0.116;0.075;0.066;0.06;0.055;0.066;0.054;0.047;0.044;0.041;0.043;0.04
262;Supply price;Excluding VAT and tax;2016 2nd semester;0.445;0.292;0.268;0.292;0.257;0.209;0.196;0.156;0.116;0.075;0.064;0.059;0.053;0.065;0.053;0.047;0.044;0.042;0.043;0.041
263;Supply price;Excluding VAT and tax;2016;0.428;0.303;0.28;0.297;0.264;0.211;0.194;0.153;0.116;0.075;0.065;0.06;0.054;0.065;0.054;0.047;0.044;0.042;0.043;0.04
264;Supply price;Excluding VAT and tax;2017 1st semester;0.389;0.28;0.245;0.277;0.24;0.195;0.185;0.174;0.114;0.072;0.062;0.056;0.047;0.07;0.049;0.042;0.04;0.039;0.038;0.039
265;Supply price;Excluding VAT and tax;2017 2nd semester;0.455;0.292;0.248;0.271;0.232;0.195;0.185;0.17;0.115;0.072;0.061;0.056;0.047;0.073;0.048;0.042;0.04;0.038;0.038;0.039
266;Supply price;Excluding VAT and tax;2017;0.415;0.285;0.246;0.274;0.236;0.195;0.185;0.172;0.114;0.072;0.062;0.056;0.047;0.071;0.049;0.042;0.04;0.039;0.038;0.039
267;Supply price;Excluding VAT and tax;2018 1st semester;0.399;0.293;0.27;0.261;0.235;0.201;0.19;0.193;0.117;0.074;0.063;0.058;0.049;0.048;0.05;0.043;0.04;0.041;0.04;0.04
268;Supply price;Excluding VAT and tax;2018 2nd semester;0.49;0.303;0.259;0.272;0.225;0.215;0.204;0.239;0.123;0.077;0.065;0.06;0.051;0.067;0.05;0.044;0.043;0.044;0.046;0.044
269;Supply price;Excluding VAT and tax;2018;0.435;0.297;0.266;0.265;0.231;0.207;0.197;0.225;0.12;0.076;0.064;0.059;0.05;0.052;0.05;0.044;0.042;0.042;0.043;0.042
270;Supply price;Excluding VAT and tax;2019 1st semester;0.456;0.328;0.306;0.297;0.244;0.206;0.192;0.186;0.139;0.091;0.078;0.07;0.064;0.056;0.053;0.049;0.048;0.047;0.048;0.046
271;Supply price;Excluding VAT and tax;2019 2nd semester;0.523;0.328;0.284;0.279;0.198;0.195;0.164;0.131;0.142;0.092;0.078;0.07;0.063;0.055;0.054;0.05;0.048;0.046;0.045;0.045
272;Supply price;Excluding VAT and tax;2019;0.486;0.328;0.297;0.289;0.222;0.201;0.179;0.164;0.14;0.092;0.078;0.07;0.064;0.056;0.053;0.05;0.048;0.046;0.047;0.045
273;Supply price;Excluding VAT and tax;2020 1st semester;0.445;0.315;0.287;0.282;0.22;0.174;0.154;0.136;0.147;0.094;0.079;0.069;0.063;0.071;0.054;0.049;0.047;0.047;0.048;0.045
274;Supply price;Excluding VAT and tax;2020 2nd semester;0.5;0.293;0.25;0.253;0.22;0.174;0.154;0.136;0.15;0.093;0.077;0.066;0.06;0.064;0.053;0.05;0.048;0.048;0.05;0.046
275;Supply price;Excluding VAT and tax;2020;0.466;0.306;0.272;0.265;0.22;0.174;0.154;0.136;0.148;0.093;0.078;0.068;0.062;0.067;0.054;0.05;0.047;0.048;0.049;0.046
276;Supply price;Excluding VAT and tax;2021 1st semester;0.388;0.263;0.231;0.243;0.208;0.192;0.185;0.197;0.143;0.088;0.073;0.063;0.057;0.066;0.053;0.051;0.05;0.048;0.045;0.048
277;Supply price;Excluding VAT and tax;2021 2nd semester;0.55;0.336;0.291;0.275;0.258;0.336;0.357;0.457;0.158;0.101;0.086;0.076;0.07;0.076;0.065;0.066;0.073;0.071;0.061;0.087
278;Supply price;Excluding VAT and tax;2021;0.447;0.29;0.255;0.256;0.232;0.262;0.261;0.311;0.15;0.095;0.079;0.069;0.063;0.071;0.059;0.059;0.062;0.06;0.053;0.068
279;Supply price;Excluding VAT and tax;2022 1st semester;0.619;0.513;0.489;0.499;0.401;0.524;0.536;0.74;0.223;0.162;0.145;0.135;0.129;0.133;0.107;0.11;0.117;0.118;0.118;0.132
280;Supply price;Excluding VAT and tax;2022 2nd semester;1.144;1.213;1.069;1.048;0.523;0.562;0.675;1.045;0.333;0.274;0.259;0.251;0.248;0.222;0.145;0.123;0.154;0.145;0.139;0.158
281;Supply price;Excluding VAT and tax;2022;0.85;0.776;0.686;0.672;0.446;0.54;0.591;0.864;0.282;0.218;0.201;0.191;0.186;0.181;0.127;0.117;0.136;0.131;0.129;0.145
282;Supply price;Excluding VAT and tax;2023 1st semester;1.308;1.392;1.28;1.014;0.788;0.629;0.69;0.616;0.453;0.367;0.348;0.339;0.354;0.285;0.171;0.161;0.181;0.175;0.203;0.191
283;Supply price;Excluding VAT and tax;2023 2nd semester;0.764;0.621;0.581;0.686;0.668;0.528;0.522;0.406;0.267;0.2;0.18;0.168;0.156;0.177;0.152;0.139;0.16;0.154;0.213;0.172
284;Supply price;Excluding VAT and tax;2023;1.076;1.088;0.986;0.865;0.739;0.588;0.61;0.509;0.353;0.281;0.263;0.251;0.255;0.232;0.162;0.15;0.17;0.164;0.208;0.18
285;Supply price;Excluding VAT and tax;2024 1st semester;0.702;0.603;0.551;0.626;0.53;0.391;0.411;0.363;0.299;0.21;0.185;0.17;0.156;0.165;0.13;0.115;0.116;0.111;0.145;0.092
286;Supply price;Excluding VAT and tax;2024 2nd semester;0.737;0.573;0.515;0.634;0.534;0.399;0.394;0.298;0.274;0.185;0.153;0.135;0.129;0.145;0.133;0.121;0.118;0.114;0.13;0.084
287;Supply price;Excluding VAT and tax;2024;0.719;0.59;0.538;0.63;0.532;0.395;0.404;0.333;0.286;0.198;0.17;0.153;0.145;0.155;0.131;0.118;0.117;0.112;0.138;0.087
288;Network price;Including VAT and tax;2009 1st semester;0.264;0.075;0.035;0.055;0.041;0.016;0.01;0.008;0.264;0.105;0.06;0.028;0.061;0.034;0.03;0.023;0.018;0.014;0.012;0.01
289;Network price;Including VAT and tax;2009 2nd semester;0.376;0.107;0.05;0.087;0.067;0.022;0.018;0.014;0.268;0.107;0.061;0.028;0.062;0.034;0.03;0.023;0.018;0.014;0.012;0.01
290;Network price;Including VAT and tax;2009;0.31;0.088;0.041;0.068;0.052;0.019;0.014;0.01;0.266;0.106;0.061;0.028;0.062;0.034;0.03;0.023;0.018;0.014;0.012;0.01
291;Network price;Including VAT and tax;2010 1st semester;0.273;0.078;0.033;0.05;0.039;0.015;0.01;0.008;0.253;0.101;0.058;0.026;0.063;0.038;0.03;0.022;0.018;0.014;0.012;0.009
292;Network price;Including VAT and tax;2010 2nd semester;0.366;0.105;0.045;0.075;0.06;0.018;0.014;0.01;0.258;0.103;0.059;0.027;0.065;0.038;0.03;0.022;0.018;0.014;0.012;0.009
293;Network price;Including VAT and tax;2010;0.313;0.089;0.038;0.06;0.048;0.016;0.012;0.009;0.255;0.102;0.058;0.027;0.064;0.038;0.03;0.022;0.018;0.014;0.012;0.009
294;Network price;Including VAT and tax;2011 1st semester;0.268;0.078;0.034;0.044;0.04;0.016;0.012;0.009;0.274;0.11;0.063;0.029;0.071;0.036;0.031;0.023;0.018;0.015;0.014;0.01
295;Network price;Including VAT and tax;2011 2nd semester;0.375;0.109;0.048;0.077;0.045;0.018;0.015;0.01;0.271;0.109;0.063;0.029;0.07;0.039;0.032;0.024;0.019;0.015;0.014;0.01
296;Network price;Including VAT and tax;2011;0.313;0.091;0.04;0.059;0.042;0.017;0.013;0.009;0.272;0.11;0.063;0.029;0.071;0.037;0.032;0.024;0.019;0.015;0.014;0.01
297;Network price;Including VAT and tax;2012 1st semester;0.268;0.079;0.036;0.061;0.043;0.017;0.013;0.005;0.29;0.115;0.066;0.03;0.076;0.045;0.035;0.026;0.02;0.016;0.015;0.01
298;Network price;Including VAT and tax;2012 2nd semester;0.401;0.118;0.054;0.082;0.05;0.022;0.018;0.006;0.311;0.124;0.071;0.032;0.082;0.047;0.036;0.026;0.021;0.016;0.016;0.01
299;Network price;Including VAT and tax;2012;0.321;0.094;0.043;0.069;0.046;0.019;0.015;0.005;0.3;0.12;0.068;0.031;0.079;0.046;0.035;0.026;0.02;0.016;0.016;0.01
300;Network price;Including VAT and tax;2013 1st semester;0.252;0.075;0.036;0.072;0.047;0.013;0.022;0.008;0.314;0.125;0.071;0.032;0.084;0.038;0.032;0.026;0.023;0.02;0.02;0.02
301;Network price;Including VAT and tax;2013 2nd semester;0.478;0.143;0.068;0.091;0.051;0.014;0.025;0.008;0.328;0.13;0.074;0.033;0.088;0.042;0.033;0.028;0.023;0.023;0.024;0.024
302;Network price;Including VAT and tax;2013;0.33;0.099;0.047;0.08;0.049;0.014;0.023;0.008;0.321;0.127;0.072;0.033;0.086;0.04;0.032;0.027;0.023;0.022;0.022;0.022
303;Network price;Including VAT and tax;2014 1st semester;0.287;0.085;0.039;0.073;0.046;0.012;0.014;0.014;0.303;0.121;0.069;0.031;0.084;0.052;0.036;0.025;0.022;0.02;0.025;0.022
304;Network price;Including VAT and tax;2014 2nd semester;0.378;0.111;0.051;0.083;0.046;0.014;0.015;0.014;0.309;0.123;0.07;0.032;0.085;0.045;0.038;0.026;0.023;0.021;0.026;0.023
305;Network price;Including VAT and tax;2014;0.326;0.096;0.044;0.077;0.046;0.013;0.014;0.014;0.306;0.122;0.07;0.032;0.084;0.048;0.037;0.026;0.023;0.021;0.025;0.022
306;Network price;Including VAT and tax;2015 1st semester;0.254;0.073;0.033;0.063;0.039;0.012;0.012;0.012;0.296;0.117;0.067;0.031;0.08;0.062;0.036;0.024;0.021;0.019;0.024;0.022
307;Network price;Including VAT and tax;2015 2nd semester;0.443;0.126;0.058;0.082;0.043;0.013;0.014;0.013;0.293;0.116;0.066;0.03;0.079;0.061;0.036;0.024;0.021;0.019;0.023;0.022
308;Network price;Including VAT and tax;2015;0.323;0.092;0.042;0.071;0.041;0.012;0.013;0.013;0.294;0.117;0.066;0.03;0.08;0.062;0.036;0.024;0.021;0.019;0.024;0.022
309;Network price;Including VAT and tax;2016 1st semester;0.241;0.068;0.031;0.066;0.04;0.013;0.013;0.013;0.292;0.117;0.067;0.03;0.081;0.066;0.033;0.023;0.021;0.019;0.018;0.02
310;Network price;Including VAT and tax;2016 2nd semester;0.42;0.118;0.054;0.08;0.042;0.015;0.016;0.015;0.288;0.116;0.066;0.03;0.081;0.064;0.032;0.022;0.021;0.019;0.018;0.02
311;Network price;Including VAT and tax;2016;0.306;0.086;0.039;0.071;0.04;0.013;0.014;0.014;0.29;0.116;0.066;0.03;0.081;0.065;0.032;0.023;0.021;0.019;0.018;0.02
312;Network price;Including VAT and tax;2017 1st semester;0.317;0.082;0.038;0.078;0.04;0.014;0.015;0.016;0.283;0.112;0.064;0.03;0.068;0.067;0.03;0.023;0.024;0.015;0.015;0.017
313;Network price;Including VAT and tax;2017 2nd semester;0.453;0.117;0.055;0.091;0.045;0.016;0.017;0.016;0.287;0.113;0.065;0.031;0.069;0.065;0.03;0.022;0.024;0.016;0.015;0.017
314;Network price;Including VAT and tax;2017;0.373;0.096;0.045;0.083;0.042;0.015;0.016;0.016;0.285;0.113;0.065;0.03;0.069;0.066;0.03;0.022;0.024;0.016;0.015;0.017
315;Network price;Including VAT and tax;2018 1st semester;0.323;0.093;0.035;0.081;0.042;0.015;0.013;0.014;0.338;0.117;0.067;0.031;0.069;0.077;0.029;0.023;0.022;0.015;0.015;0.016
316;Network price;Including VAT and tax;2018 2nd semester;0.394;0.111;0.043;0.099;0.049;0.016;0.016;0.014;0.297;0.103;0.058;0.027;0.068;0.073;0.027;0.022;0.021;0.015;0.015;0.015
317;Network price;Including VAT and tax;2018;0.352;0.1;0.038;0.088;0.045;0.015;0.014;0.014;0.318;0.11;0.063;0.029;0.069;0.075;0.028;0.022;0.021;0.015;0.015;0.015
318;Network price;Including VAT and tax;2019 1st semester;0.302;0.087;0.033;0.064;0.04;0.014;0.012;0.012;0.3;0.116;0.068;0.031;0.071;0.078;0.031;0.023;0.02;0.015;0.012;0.015
319;Network price;Including VAT and tax;2019 2nd semester;0.434;0.128;0.049;0.105;0.044;0.016;0.014;0.014;0.302;0.117;0.069;0.031;0.069;0.067;0.031;0.023;0.02;0.015;0.012;0.015
320;Network price;Including VAT and tax;2019;0.371;0.107;0.04;0.078;0.042;0.015;0.013;0.013;0.301;0.117;0.069;0.031;0.07;0.072;0.031;0.023;0.02;0.015;0.012;0.015
321;Network price;Including VAT and tax;2020 1st semester;0.357;0.101;0.037;0.094;0.04;0.015;0.013;0.013;0.313;0.126;0.075;0.033;0.07;0.077;0.034;0.023;0.019;0.015;0.012;0.023
322;Network price;Including VAT and tax;2020 2nd semester;0.469;0.135;0.05;0.111;0.044;0.016;0.016;0.016;0.303;0.122;0.072;0.032;0.071;0.075;0.032;0.024;0.02;0.016;0.014;0.012
323;Network price;Including VAT and tax;2020;0.403;0.115;0.042;0.101;0.042;0.015;0.014;0.014;0.308;0.124;0.074;0.033;0.071;0.076;0.033;0.023;0.02;0.015;0.013;0.014
324;Network price;Including VAT and tax;2021 1st semester;0.325;0.096;0.035;0.093;0.042;0.014;0.014;0.014;0.314;0.126;0.075;0.034;0.079;0.09;0.037;0.026;0.023;0.018;0.018;0.021
325;Network price;Including VAT and tax;2021 2nd semester;0.475;0.141;0.052;0.119;0.046;0.015;0.015;0.017;0.321;0.129;0.077;0.035;0.081;0.096;0.036;0.026;0.022;0.018;0.019;0.02
326;Network price;Including VAT and tax;2021;0.386;0.114;0.042;0.104;0.043;0.014;0.014;0.015;0.317;0.128;0.076;0.034;0.08;0.093;0.036;0.026;0.022;0.018;0.019;0.02
327;Network price;Including VAT and tax;2022 1st semester;0.371;0.1;0.037;0.113;0.042;0.013;0.013;0.02;0.379;0.154;0.091;0.04;0.06;0.104;0.04;0.028;0.025;0.021;0.019;0.022
328;Network price;Including VAT and tax;2022 2nd semester;0.467;0.126;0.046;0.114;0.044;0.014;0.014;0.024;0.264;0.107;0.064;0.028;0.041;0.092;0.035;0.025;0.022;0.018;0.017;0.019
329;Network price;Including VAT and tax;2022;0.411;0.111;0.04;0.114;0.043;0.013;0.013;0.022;0.314;0.128;0.076;0.033;0.049;0.098;0.037;0.027;0.024;0.02;0.018;0.02
330;Network price;Including VAT and tax;2023 1st semester;0.359;0.118;0.04;0.155;0.069;0.018;0.022;0.034;0.4;0.169;0.101;0.044;0.072;0.112;0.056;0.041;0.037;0.029;0.032;0.032
331;Network price;Including VAT and tax;2023 2nd semester;0.595;0.196;0.066;0.167;0.073;0.02;0.021;0.037;0.412;0.174;0.104;0.045;0.075;0.11;0.053;0.035;0.037;0.028;0.032;0.026
332;Network price;Including VAT and tax;2023;0.448;0.147;0.05;0.162;0.071;0.019;0.021;0.035;0.406;0.172;0.102;0.044;0.073;0.111;0.055;0.037;0.037;0.028;0.032;0.029
333;Network price;Including VAT and tax;2024 1st semester;0.369;0.153;0.044;0.123;0.059;0.019;0.019;0.03;0.495;0.213;0.127;0.054;0.091;0.134;0.067;0.046;0.046;0.036;0.046;0.039
334;Network price;Including VAT and tax;2024 2nd semester;0.564;0.234;0.067;0.182;0.079;0.025;0.023;0.041;0.481;0.207;0.123;0.053;0.088;0.11;0.068;0.046;0.046;0.036;0.051;0.051
335;Network price;Including VAT and tax;2024;0.446;0.185;0.053;0.147;0.067;0.021;0.021;0.035;0.488;0.21;0.125;0.054;0.09;0.123;0.068;0.046;0.046;0.036;0.048;0.044
336;Network price;Excluding VAT and including tax;2009 1st semester;0.222;0.063;0.029;0.046;0.034;0.013;0.009;0.006;0.221;0.089;0.051;0.023;0.052;0.029;0.025;0.019;0.015;0.012;0.01;0.009
337;Network price;Excluding VAT and including tax;2009 2nd semester;0.316;0.09;0.042;0.073;0.057;0.019;0.015;0.012;0.225;0.09;0.051;0.024;0.052;0.029;0.025;0.019;0.015;0.012;0.01;0.008
338;Network price;Excluding VAT and including tax;2009;0.261;0.074;0.034;0.057;0.044;0.016;0.011;0.009;0.223;0.089;0.051;0.024;0.052;0.029;0.025;0.019;0.015;0.012;0.01;0.009
339;Network price;Excluding VAT and including tax;2010 1st semester;0.229;0.066;0.028;0.042;0.033;0.012;0.009;0.007;0.212;0.085;0.048;0.022;0.053;0.032;0.025;0.019;0.015;0.011;0.01;0.008
340;Network price;Excluding VAT and including tax;2010 2nd semester;0.308;0.088;0.038;0.063;0.051;0.015;0.011;0.009;0.217;0.087;0.049;0.023;0.054;0.032;0.025;0.019;0.015;0.012;0.01;0.008
341;Network price;Excluding VAT and including tax;2010;0.263;0.075;0.032;0.051;0.04;0.013;0.01;0.007;0.214;0.086;0.049;0.022;0.054;0.032;0.025;0.019;0.015;0.012;0.01;0.008
342;Network price;Excluding VAT and including tax;2011 1st semester;0.225;0.065;0.029;0.037;0.033;0.013;0.01;0.007;0.23;0.093;0.053;0.024;0.06;0.03;0.026;0.02;0.015;0.012;0.011;0.008
343;Network price;Excluding VAT and including tax;2011 2nd semester;0.315;0.091;0.04;0.065;0.038;0.016;0.013;0.008;0.227;0.092;0.053;0.024;0.059;0.033;0.027;0.02;0.016;0.013;0.012;0.008
344;Network price;Excluding VAT and including tax;2011;0.263;0.076;0.033;0.049;0.036;0.014;0.011;0.008;0.229;0.092;0.053;0.024;0.059;0.031;0.027;0.02;0.016;0.012;0.011;0.008
345;Network price;Excluding VAT and including tax;2012 1st semester;0.225;0.066;0.03;0.051;0.036;0.015;0.011;0.004;0.244;0.097;0.055;0.025;0.064;0.038;0.03;0.022;0.017;0.013;0.013;0.009
346;Network price;Excluding VAT and including tax;2012 2nd semester;0.334;0.098;0.045;0.068;0.042;0.018;0.015;0.005;0.259;0.103;0.059;0.027;0.068;0.039;0.03;0.022;0.017;0.013;0.013;0.009
347;Network price;Excluding VAT and including tax;2012;0.269;0.079;0.036;0.058;0.038;0.016;0.012;0.004;0.251;0.1;0.057;0.026;0.066;0.038;0.03;0.022;0.017;0.013;0.013;0.009
348;Network price;Excluding VAT and including tax;2013 1st semester;0.208;0.062;0.03;0.059;0.039;0.011;0.018;0.007;0.259;0.103;0.058;0.026;0.069;0.031;0.026;0.021;0.019;0.017;0.016;0.017
349;Network price;Excluding VAT and including tax;2013 2nd semester;0.395;0.118;0.056;0.076;0.042;0.012;0.02;0.007;0.271;0.108;0.061;0.028;0.072;0.034;0.027;0.023;0.019;0.019;0.02;0.02
350;Network price;Excluding VAT and including tax;2013;0.273;0.082;0.039;0.066;0.04;0.011;0.019;0.007;0.265;0.105;0.06;0.027;0.071;0.033;0.027;0.022;0.019;0.018;0.018;0.018
351;Network price;Excluding VAT and including tax;2014 1st semester;0.237;0.07;0.032;0.06;0.038;0.01;0.011;0.011;0.251;0.1;0.057;0.026;0.069;0.043;0.03;0.021;0.018;0.017;0.021;0.018
352;Network price;Excluding VAT and including tax;2014 2nd semester;0.312;0.092;0.042;0.068;0.038;0.012;0.012;0.012;0.255;0.102;0.058;0.026;0.07;0.037;0.032;0.022;0.019;0.017;0.021;0.019
353;Network price;Excluding VAT and including tax;2014;0.27;0.079;0.037;0.063;0.038;0.011;0.012;0.011;0.253;0.101;0.058;0.026;0.07;0.04;0.031;0.021;0.019;0.017;0.021;0.018
354;Network price;Excluding VAT and including tax;2015 1st semester;0.21;0.06;0.028;0.052;0.032;0.01;0.01;0.01;0.245;0.097;0.055;0.025;0.066;0.052;0.03;0.019;0.017;0.015;0.02;0.018
355;Network price;Excluding VAT and including tax;2015 2nd semester;0.366;0.104;0.048;0.068;0.036;0.011;0.012;0.011;0.242;0.096;0.055;0.025;0.065;0.051;0.029;0.019;0.017;0.016;0.019;0.018
356;Network price;Excluding VAT and including tax;2015;0.267;0.076;0.035;0.058;0.034;0.01;0.011;0.01;0.243;0.096;0.055;0.025;0.066;0.051;0.03;0.019;0.017;0.015;0.019;0.018
357;Network price;Excluding VAT and including tax;2016 1st semester;0.199;0.056;0.026;0.054;0.033;0.01;0.01;0.011;0.241;0.097;0.055;0.025;0.067;0.055;0.027;0.019;0.017;0.016;0.015;0.017
358;Network price;Excluding VAT and including tax;2016 2nd semester;0.347;0.097;0.044;0.066;0.034;0.013;0.014;0.013;0.238;0.095;0.054;0.025;0.067;0.053;0.027;0.019;0.017;0.016;0.015;0.017
359;Network price;Excluding VAT and including tax;2016;0.253;0.071;0.032;0.059;0.033;0.011;0.012;0.012;0.24;0.096;0.055;0.025;0.067;0.053;0.027;0.019;0.017;0.016;0.015;0.017
360;Network price;Excluding VAT and including tax;2017 1st semester;0.262;0.068;0.032;0.064;0.033;0.012;0.012;0.013;0.234;0.092;0.053;0.025;0.056;0.055;0.025;0.019;0.02;0.013;0.012;0.014
361;Network price;Excluding VAT and including tax;2017 2nd semester;0.374;0.097;0.045;0.075;0.037;0.013;0.014;0.013;0.237;0.094;0.054;0.025;0.057;0.054;0.024;0.018;0.02;0.013;0.012;0.014
362;Network price;Excluding VAT and including tax;2017;0.308;0.08;0.037;0.068;0.034;0.012;0.013;0.013;0.236;0.093;0.053;0.025;0.057;0.054;0.025;0.019;0.02;0.013;0.012;0.014
363;Network price;Excluding VAT and including tax;2018 1st semester;0.267;0.077;0.029;0.067;0.035;0.012;0.011;0.012;0.28;0.097;0.055;0.025;0.057;0.064;0.024;0.019;0.018;0.012;0.012;0.013
364;Network price;Excluding VAT and including tax;2018 2nd semester;0.325;0.091;0.036;0.082;0.04;0.014;0.013;0.012;0.246;0.085;0.048;0.022;0.057;0.061;0.022;0.018;0.018;0.012;0.012;0.013
365;Network price;Excluding VAT and including tax;2018;0.29;0.083;0.032;0.073;0.037;0.013;0.012;0.012;0.263;0.091;0.052;0.024;0.057;0.063;0.023;0.018;0.018;0.012;0.012;0.013
366;Network price;Excluding VAT and including tax;2019 1st semester;0.249;0.072;0.027;0.053;0.033;0.012;0.01;0.01;0.254;0.098;0.058;0.026;0.059;0.065;0.026;0.019;0.016;0.013;0.01;0.012
367;Network price;Excluding VAT and including tax;2019 2nd semester;0.359;0.106;0.04;0.087;0.036;0.013;0.012;0.012;0.252;0.098;0.058;0.026;0.057;0.056;0.026;0.019;0.016;0.013;0.01;0.012
368;Network price;Excluding VAT and including tax;2019;0.306;0.089;0.033;0.064;0.034;0.012;0.011;0.011;0.253;0.098;0.058;0.026;0.058;0.06;0.026;0.019;0.016;0.013;0.01;0.012
369;Network price;Excluding VAT and including tax;2020 1st semester;0.295;0.084;0.03;0.078;0.033;0.012;0.01;0.01;0.259;0.104;0.062;0.028;0.058;0.064;0.028;0.019;0.016;0.012;0.01;0.019
370;Network price;Excluding VAT and including tax;2020 2nd semester;0.387;0.112;0.041;0.092;0.036;0.013;0.013;0.013;0.25;0.101;0.06;0.027;0.059;0.062;0.026;0.02;0.017;0.013;0.012;0.01
371;Network price;Excluding VAT and including tax;2020;0.333;0.095;0.035;0.084;0.034;0.013;0.011;0.011;0.255;0.103;0.061;0.027;0.058;0.063;0.027;0.019;0.016;0.013;0.011;0.011
372;Network price;Excluding VAT and including tax;2021 1st semester;0.268;0.08;0.029;0.077;0.034;0.011;0.011;0.012;0.259;0.104;0.062;0.028;0.066;0.074;0.03;0.021;0.019;0.015;0.015;0.017
373;Network price;Excluding VAT and including tax;2021 2nd semester;0.392;0.116;0.043;0.098;0.038;0.012;0.013;0.014;0.265;0.107;0.064;0.029;0.067;0.079;0.03;0.021;0.018;0.015;0.016;0.017
374;Network price;Excluding VAT and including tax;2021;0.319;0.094;0.035;0.086;0.036;0.012;0.012;0.013;0.262;0.106;0.063;0.028;0.066;0.077;0.03;0.021;0.018;0.015;0.015;0.017
375;Network price;Excluding VAT and including tax;2022 1st semester;0.307;0.083;0.03;0.093;0.035;0.011;0.011;0.016;0.313;0.128;0.075;0.033;0.049;0.086;0.033;0.023;0.021;0.017;0.016;0.018
376;Network price;Excluding VAT and including tax;2022 2nd semester;0.428;0.116;0.042;0.105;0.041;0.013;0.013;0.022;0.242;0.099;0.058;0.026;0.038;0.084;0.032;0.023;0.02;0.017;0.015;0.018
377;Network price;Excluding VAT and including tax;2022;0.358;0.097;0.035;0.098;0.037;0.012;0.011;0.019;0.273;0.111;0.066;0.029;0.043;0.085;0.033;0.023;0.021;0.017;0.015;0.018
378;Network price;Excluding VAT and including tax;2023 1st semester;0.297;0.098;0.033;0.128;0.057;0.015;0.018;0.028;0.33;0.14;0.083;0.036;0.06;0.093;0.046;0.034;0.03;0.024;0.026;0.026
379;Network price;Excluding VAT and including tax;2023 2nd semester;0.492;0.162;0.055;0.138;0.061;0.016;0.017;0.03;0.34;0.144;0.086;0.037;0.062;0.091;0.044;0.029;0.03;0.023;0.026;0.022
380;Network price;Excluding VAT and including tax;2023;0.37;0.122;0.041;0.134;0.059;0.016;0.017;0.029;0.335;0.142;0.085;0.037;0.061;0.092;0.045;0.031;0.03;0.023;0.026;0.024
381;Network price;Excluding VAT and including tax;2024 1st semester;0.305;0.126;0.036;0.102;0.049;0.015;0.016;0.025;0.409;0.176;0.105;0.045;0.075;0.11;0.056;0.038;0.038;0.03;0.038;0.032
382;Network price;Excluding VAT and including tax;2024 2nd semester;0.466;0.193;0.056;0.15;0.066;0.021;0.019;0.034;0.398;0.171;0.102;0.044;0.073;0.091;0.057;0.038;0.038;0.03;0.042;0.042
383;Network price;Excluding VAT and including tax;2024;0.369;0.153;0.044;0.122;0.056;0.018;0.018;0.029;0.403;0.174;0.103;0.044;0.074;0.101;0.056;0.038;0.038;0.03;0.04;0.036
384;Network price;Excluding VAT and tax;2009 1st semester;0.222;0.063;0.029;0.046;0.034;0.013;0.009;0.006;0.221;0.089;0.051;0.023;0.052;0.029;0.025;0.019;0.015;0.012;0.01;0.009
385;Network price;Excluding VAT and tax;2009 2nd semester;0.316;0.09;0.042;0.073;0.057;0.019;0.015;0.012;0.225;0.09;0.051;0.024;0.052;0.029;0.025;0.019;0.015;0.012;0.01;0.008
386;Network price;Excluding VAT and tax;2009;0.261;0.074;0.034;0.057;0.044;0.016;0.011;0.009;0.223;0.089;0.051;0.024;0.052;0.029;0.025;0.019;0.015;0.012;0.01;0.009
387;Network price;Excluding VAT and tax;2010 1st semester;0.229;0.066;0.028;0.042;0.033;0.012;0.009;0.007;0.212;0.085;0.048;0.022;0.053;0.032;0.025;0.019;0.015;0.011;0.01;0.008
388;Network price;Excluding VAT and tax;2010 2nd semester;0.308;0.088;0.038;0.063;0.051;0.015;0.011;0.009;0.217;0.087;0.049;0.023;0.054;0.032;0.025;0.019;0.015;0.012;0.01;0.008
389;Network price;Excluding VAT and tax;2010;0.263;0.075;0.032;0.051;0.04;0.013;0.01;0.007;0.214;0.086;0.049;0.022;0.054;0.032;0.025;0.019;0.015;0.012;0.01;0.008
390;Network price;Excluding VAT and tax;2011 1st semester;0.225;0.065;0.029;0.037;0.033;0.013;0.01;0.007;0.23;0.093;0.053;0.024;0.06;0.03;0.026;0.02;0.015;0.012;0.011;0.008
