ID;Toepassingsgroepen;SectorenEnGewassen;Perioden;BedrijvenMetGebruik_1;OppervlakteMetGebruik_2;GebruikGeheleJaar_3;GebruikPerHectare_4;GebruikInJanuari_5;GebruikInFebruari_6;GebruikInMaart_7;GebruikInApril_8;GebruikInMei_9;GebruikInJuni_10;GebruikInJuli_11;GebruikInAugustus_12;GebruikInSeptember_13;GebruikInOktober_14;GebruikInNovember_15;GebruikInDecember_16;MinimaalGebruik_17;GemiddeldLaagGebruik_18;GemiddeldGebruik_19;GemiddeldHoogGebruik_20;MaximaalGebruik_21
90;Totaal chemische bestrijdingsmiddelen;Suikerbieten;2000;17098;110981;394753;3.6;1.1;0.0;0.0;23.9;58.8;15.0;0.5;0.4;0.3;0.0;0.0;0.0;0.1;1.7;3.6;6.0;10.3
91;Totaal chemische bestrijdingsmiddelen;Suikerbieten;2004;14001;97736;332614;3.4;4.3;0.0;0.0;32.2;51.0;11.6;0.4;0.2;0.2;0.0;0.0;0.0;0.5;1.7;3.403188;5.5;8.2
92;Totaal chemische bestrijdingsmiddelen;Snijmaïs;1995;39085;219217;680642;3.1;0.0;0.0;0.0;3.2;42.2;51.2;3.0;0.0;0.0;0.4;0.0;0.0;0.0;1.0;3.2;6.2;9.7
93;Totaal chemische bestrijdingsmiddelen;Snijmaïs;1998;35922;219940;431965;2.0;0.1;0.0;0.0;7.3;43.6;40.1;8.4;0.3;0.0;0.1;0.0;0.0;0.0;0.7;2.0;4.1;10.6
94;Totaal chemische bestrijdingsmiddelen;Snijmaïs;2000;31236;205321;162769;0.8;1.2;0.0;0.0;1.1;34.5;61.0;2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.8;1.6;4.2
95;Totaal chemische bestrijdingsmiddelen;Snijmaïs;2004;27976;224468;192624;0.9;3.2;0.0;0.0;1.8;21.1;69.8;2.3;0.0;0.0;1.7;0.0;0.0;0.1;0.5;0.858134;1.3;2.8
96;Totaal chemische bestrijdingsmiddelen;Poot- en plantuien;1995;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
97;Totaal chemische bestrijdingsmiddelen;Poot- en plantuien;1998;1046;4505;98771;21.9;8.2;0.0;0.0;10.0;17.9;35.3;25.8;2.7;0.0;0.0;0.0;0.0;4.9;10.2;21.9;31.3;41.3
98;Totaal chemische bestrijdingsmiddelen;Poot- en plantuien;2000;1116;5282;108661;20.6;3.7;0.0;0.0;11.8;21.6;38.2;22.5;2.2;0.0;0.0;0.0;0.0;3.7;7.1;20.6;32.4;41.0
99;Totaal chemische bestrijdingsmiddelen;Poot- en plantuien;2004;891;5603;108325;19.3;1.7;0.0;0.0;10.9;16.6;46.4;23.7;0.7;0.0;0.0;0.0;0.0;10.0;11.4;19.33336;30.7;36.2
100;Totaal chemische bestrijdingsmiddelen;Zaaiuien;1995;3030;11659;201357;17.3;1.5;0.0;0.0;15.8;11.2;17.0;34.0;19.6;0.8;0.0;0.0;0.0;5.0;10.3;17.5;25.1;33.4
101;Totaal chemische bestrijdingsmiddelen;Zaaiuien;1998;2985;13225;306386;23.2;0.8;0.0;0.0;6.8;9.9;19.8;32.0;27.5;3.1;0.0;0.0;0.0;2.6;13.7;23.2;33.7;43.0
102;Totaal chemische bestrijdingsmiddelen;Zaaiuien;2000;2968;13988;297914;21.3;1.2;0.0;0.0;12.6;8.1;18.6;34.5;24.6;0.5;0.0;0.0;0.0;2.8;9.0;21.3;31.1;42.5
103;Totaal chemische bestrijdingsmiddelen;Zaaiuien;2004;3172;19888;412293;20.7;0.9;0.0;0.0;7.2;4.0;23.8;39.0;25.1;0.0;0.0;0.0;0.0;5.8;9.8;20.73077;29.6;34.1
104;Totaal chemische bestrijdingsmiddelen;Cichorei;1995;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
105;Totaal chemische bestrijdingsmiddelen;Cichorei;1998;918;4196;13716;3.3;6.6;0.0;0.0;35.2;45.9;10.1;1.6;0.6;0.0;0.0;0.0;0.0;0.9;1.5;3.3;4.9;6.8
106;Totaal chemische bestrijdingsmiddelen;Cichorei;2000;913;4756;14199;3.0;6.1;0.0;0.0;62.5;26.6;2.2;0.6;0.0;2.0;0.0;0.0;0.0;0.6;1.6;3.0;4.8;6.9
107;Totaal chemische bestrijdingsmiddelen;Cichorei;2004;932;4917;17009;3.5;7.1;0.0;0.0;42.9;36.4;9.4;2.5;1.0;0.7;0.0;0.0;0.0;0.8;1.3;3.45921;6.5;8.3
108;Totaal chemische bestrijdingsmiddelen;Aardbeien;1995;1491;1763;17237;9.8;0.9;0.0;0.0;6.5;17.7;16.5;14.7;17.3;16.4;9.9;0.0;0.0;0.8;2.9;9.8;26.1;50.4
