ID;Beroep;BeroepVoorgaandePeriode;Persoonskenmerken;Perioden;WerkzameBeroepsbevolking_1
315;Totaal;Totaal;Migratieachtergrond: Nederland;2010 1e kwartaal;6534.0
316;Totaal;Totaal;Migratieachtergrond: Nederland;2010 2e kwartaal;6542.0
317;Totaal;Totaal;Migratieachtergrond: Nederland;2010 3e kwartaal;6516.0
318;Totaal;Totaal;Migratieachtergrond: Nederland;2010 4e kwartaal;6540.0
319;Totaal;Totaal;Migratieachtergrond: Nederland;2010;6382.0
320;Totaal;Totaal;Migratieachtergrond: Nederland;2011 1e kwartaal;6500.0
321;Totaal;Totaal;Migratieachtergrond: Nederland;2011 2e kwartaal;6492.0
322;Totaal;Totaal;Migratieachtergrond: Nederland;2011 3e kwartaal;6508.0
323;Totaal;Totaal;Migratieachtergrond: Nederland;2011 4e kwartaal;6520.0
324;Totaal;Totaal;Migratieachtergrond: Nederland;2011;6281.0
325;Totaal;Totaal;Migratieachtergrond: Nederland;2012 1e kwartaal;6495.0
326;Totaal;Totaal;Migratieachtergrond: Nederland;2012 2e kwartaal;6493.0
327;Totaal;Totaal;Migratieachtergrond: Nederland;2012 3e kwartaal;6503.0
328;Totaal;Totaal;Migratieachtergrond: Nederland;2012 4e kwartaal;6525.0
329;Totaal;Totaal;Migratieachtergrond: Nederland;2012;6249.0
330;Totaal;Totaal;Migratieachtergrond: Nederland;2013 1e kwartaal;6471.0
331;Totaal;Totaal;Migratieachtergrond: Nederland;2013 2e kwartaal;6470.0
332;Totaal;Totaal;Migratieachtergrond: Nederland;2013 3e kwartaal;6468.0
333;Totaal;Totaal;Migratieachtergrond: Nederland;2013 4e kwartaal;6463.0
334;Totaal;Totaal;Migratieachtergrond: Nederland;2013;6242.0
335;Totaal;Totaal;Migratieachtergrond: Nederland;2014 1e kwartaal;6390.0
336;Totaal;Totaal;Migratieachtergrond: Nederland;2014 2e kwartaal;6393.0
337;Totaal;Totaal;Migratieachtergrond: Nederland;2014 3e kwartaal;6402.0
338;Totaal;Totaal;Migratieachtergrond: Nederland;2014 4e kwartaal;6430.0
339;Totaal;Totaal;Migratieachtergrond: Nederland;2014;6165.0
340;Totaal;Totaal;Migratieachtergrond: Nederland;2015 1e kwartaal;6425.0
341;Totaal;Totaal;Migratieachtergrond: Nederland;2015 2e kwartaal;6433.0
342;Totaal;Totaal;Migratieachtergrond: Nederland;2015 3e kwartaal;6468.0
343;Totaal;Totaal;Migratieachtergrond: Nederland;2015 4e kwartaal;6496.0
344;Totaal;Totaal;Migratieachtergrond: Nederland;2015;6188.0
345;Totaal;Totaal;Migratieachtergrond: Nederland;2016 1e kwartaal;6443.0
346;Totaal;Totaal;Migratieachtergrond: Nederland;2016 2e kwartaal;6441.0
347;Totaal;Totaal;Migratieachtergrond: Nederland;2016 3e kwartaal;6489.0
348;Totaal;Totaal;Migratieachtergrond: Nederland;2016 4e kwartaal;6557.0
349;Totaal;Totaal;Migratieachtergrond: Nederland;2016;6224.0
350;Totaal;Totaal;Migratieachtergrond: Nederland;2017 1e kwartaal;6551.0
351;Totaal;Totaal;Migratieachtergrond: Nederland;2017 2e kwartaal;6633.0
352;Totaal;Totaal;Migratieachtergrond: Nederland;2017 3e kwartaal;6645.0
353;Totaal;Totaal;Migratieachtergrond: Nederland;2017 4e kwartaal;6651.0
354;Totaal;Totaal;Migratieachtergrond: Nederland;2017;6294.0
