ID;EnergyCommodities;SectorBranchesSIC2008;Periods;TotalEnergyConsumption_1;FinalEnergyConsumption_2;NonEnergyUse_3;NetEnergyTransformation_4;EnergyTransformationInput_5;EnergyTransformationOutput_6;TotalEnergyConsumption_7;IndigenousProduction_8;SupplyOfEnergy_9;DeliveryOfEnergy_10;StockChange_11
5557;Lpg;Services unknown;2012;1.7;1.7;;;;;1.7;;1.7;;
5558;Lpg;Services unknown;2013;1.6;1.6;;;;;1.6;;1.6;;
5559;Lpg;Services unknown;2014;0.5;0.5;;;;;0.5;;0.5;;
5560;Lpg;Services unknown;2015;2.0;2.0;;;;;2.0;;2.0;;
5561;Lpg;Services unknown;2016;1.7;1.7;;;;;1.7;;1.7;;
5562;Naphtha;A-U All economic activities;2011;46.3;;221.9;-175.6;205.2;380.8;46.3;;1194.2;1148.7;0.8
5563;Naphtha;A-U All economic activities;2012;234.3;;288.2;-53.8;310.7;364.5;234.3;;1501.7;1266.8;-0.6
5564;Naphtha;A-U All economic activities;2013;145.1;;208.5;-63.4;303.8;367.2;145.1;;1413.5;1263.3;-5.0
5565;Naphtha;A-U All economic activities;2014;168.8;;171.6;-2.8;342.0;344.8;168.8;;1357.2;1177.1;-11.3
5566;Naphtha;A-U All economic activities;2015;179.6;;176.4;3.2;425.2;422.0;179.6;;1434.7;1271.1;16.1
5567;Naphtha;A-U All economic activities;2016;154.6;;221.2;-66.7;426.9;493.6;154.6;;1538.9;1383.0;-1.3
5568;Naphtha;A Agriculture, forestry and fishing;2011;;;;;;;;;;;
5569;Naphtha;A Agriculture, forestry and fishing;2012;;;;;;;;;;;
5570;Naphtha;A Agriculture, forestry and fishing;2013;;;;;;;;;;;
5571;Naphtha;A Agriculture, forestry and fishing;2014;;;;;;;;;;;
5572;Naphtha;A Agriculture, forestry and fishing;2015;;;;;;;;;;;
5573;Naphtha;A Agriculture, forestry and fishing;2016;;;;;;;;;;;
5574;Naphtha;01 Agriculture;2011;;;;;;;;;;;
5575;Naphtha;01 Agriculture;2012;;;;;;;;;;;
5576;Naphtha;01 Agriculture;2013;;;;;;;;;;;
5577;Naphtha;01 Agriculture;2014;;;;;;;;;;;
5578;Naphtha;01 Agriculture;2015;;;;;;;;;;;
5579;Naphtha;01 Agriculture;2016;;;;;;;;;;;
5580;Naphtha;02 Forestry and logging;2011;;;;;;;;;;;
5581;Naphtha;02 Forestry and logging;2012;;;;;;;;;;;
5582;Naphtha;02 Forestry and logging;2013;;;;;;;;;;;
5583;Naphtha;02 Forestry and logging;2014;;;;;;;;;;;
5584;Naphtha;02 Forestry and logging;2015;;;;;;;;;;;
5585;Naphtha;02 Forestry and logging;2016;;;;;;;;;;;
5586;Naphtha;03 Fishing and aquaculture;2011;;;;;;;;;;;
5587;Naphtha;03 Fishing and aquaculture;2012;;;;;;;;;;;
5588;Naphtha;03 Fishing and aquaculture;2013;;;;;;;;;;;
5589;Naphtha;03 Fishing and aquaculture;2014;;;;;;;;;;;
5590;Naphtha;03 Fishing and aquaculture;2015;;;;;;;;;;;
5591;Naphtha;03 Fishing and aquaculture;2016;;;;;;;;;;;
5592;Naphtha;B-E Industry (no construction), energy;2011;-33.1;;221.9;-255.0;113.5;368.5;-33.1;;674.9;715.6;7.6
5593;Naphtha;B-E Industry (no construction), energy;2012;65.6;;288.2;-222.5;129.5;352.0;65.6;;788.3;722.3;-0.4
5594;Naphtha;B-E Industry (no construction), energy;2013;-34.6;;208.5;-243.1;104.7;347.8;-34.6;;652.2;685.1;-1.7
5595;Naphtha;B-E Industry (no construction), energy;2014;-81.6;;171.6;-253.1;78.2;331.3;-81.6;;567.5;646.8;-2.3
5596;Naphtha;B-E Industry (no construction), energy;2015;-133.0;;176.4;-309.4;96.8;406.2;-133.0;;589.1;728.5;6.4
5597;Naphtha;B-E Industry (no construction), energy;2016;-151.3;;221.2;-372.5;89.8;462.4;-151.3;;664.8;818.0;1.9
5598;Naphtha;B Mining and quarrying ;2011;;;;;;;;;;;
5599;Naphtha;B Mining and quarrying ;2012;;;;;;;;;;;
5600;Naphtha;B Mining and quarrying ;2013;;;;;;;;;;;
5601;Naphtha;B Mining and quarrying ;2014;;;;;;;;;;;
5602;Naphtha;B Mining and quarrying ;2015;;;;;;;;;;;
5603;Naphtha;B Mining and quarrying ;2016;;;;;;;;;;;
5604;Naphtha;06 Extraction of crude petroleum and gas;2011;;;;;;;;;;;
5605;Naphtha;06 Extraction of crude petroleum and gas;2012;;;;;;;;;;;
5606;Naphtha;06 Extraction of crude petroleum and gas;2013;;;;;;;;;;;
5607;Naphtha;06 Extraction of crude petroleum and gas;2014;;;;;;;;;;;
5608;Naphtha;06 Extraction of crude petroleum and gas;2015;;;;;;;;;;;
5609;Naphtha;06 Extraction of crude petroleum and gas;2016;;;;;;;;;;;
5610;Naphtha;08 Mining and quarrying (no oil and gas);2011;;;;;;;;;;;
5611;Naphtha;08 Mining and quarrying (no oil and gas);2012;;;;;;;;;;;
5612;Naphtha;08 Mining and quarrying (no oil and gas);2013;;;;;;;;;;;
5613;Naphtha;08 Mining and quarrying (no oil and gas);2014;;;;;;;;;;;
5614;Naphtha;08 Mining and quarrying (no oil and gas);2015;;;;;;;;;;;
5615;Naphtha;08 Mining and quarrying (no oil and gas);2016;;;;;;;;;;;
5616;Naphtha;09 Mining support activities;2011;;;;;;;;;;;
5617;Naphtha;09 Mining support activities;2012;;;;;;;;;;;
5618;Naphtha;09 Mining support activities;2013;;;;;;;;;;;
5619;Naphtha;09 Mining support activities;2014;;;;;;;;;;;
5620;Naphtha;09 Mining support activities;2015;;;;;;;;;;;
5621;Naphtha;09 Mining support activities;2016;;;;;;;;;;;
5622;Naphtha;C Manufacturing;2011;-33.1;;221.9;-255.0;113.5;368.5;-33.1;;674.9;715.6;7.6
5623;Naphtha;C Manufacturing;2012;65.6;;288.2;-222.5;129.5;352.0;65.6;;788.3;722.3;-0.4
5624;Naphtha;C Manufacturing;2013;-34.6;;208.5;-243.1;104.7;347.8;-34.6;;652.2;685.1;-1.7
5625;Naphtha;C Manufacturing;2014;-81.6;;171.6;-253.1;78.2;331.3;-81.6;;567.5;646.8;-2.3
5626;Naphtha;C Manufacturing;2015;-133.0;;176.4;-309.4;96.8;406.2;-133.0;;589.1;728.5;6.4
5627;Naphtha;C Manufacturing;2016;-151.3;;221.2;-372.5;89.8;462.4;-151.3;;664.8;818.0;1.9
5628;Naphtha;10-12 Manufacture of food and beverages;2011;;;;;;;;;;;
5629;Naphtha;10-12 Manufacture of food and beverages;2012;;;;;;;;;;;
5630;Naphtha;10-12 Manufacture of food and beverages;2013;;;;;;;;;;;
5631;Naphtha;10-12 Manufacture of food and beverages;2014;;;;;;;;;;;
5632;Naphtha;10-12 Manufacture of food and beverages;2015;;;;;;;;;;;
5633;Naphtha;10-12 Manufacture of food and beverages;2016;;;;;;;;;;;
5634;Naphtha;10 Manufacture of food products;2011;;;;;;;;;;;
5635;Naphtha;10 Manufacture of food products;2012;;;;;;;;;;;
5636;Naphtha;10 Manufacture of food products;2013;;;;;;;;;;;
5637;Naphtha;10 Manufacture of food products;2014;;;;;;;;;;;
5638;Naphtha;10 Manufacture of food products;2015;;;;;;;;;;;
5639;Naphtha;10 Manufacture of food products;2016;;;;;;;;;;;
5640;Naphtha;101 Slaughtering, processing of meat;2011;;;;;;;;;;;
5641;Naphtha;101 Slaughtering, processing of meat;2012;;;;;;;;;;;
5642;Naphtha;101 Slaughtering, processing of meat;2013;;;;;;;;;;;
5643;Naphtha;101 Slaughtering, processing of meat;2014;;;;;;;;;;;
5644;Naphtha;101 Slaughtering, processing of meat;2015;;;;;;;;;;;
5645;Naphtha;101 Slaughtering, processing of meat;2016;;;;;;;;;;;
5646;Naphtha;102 Processing of fish;2011;;;;;;;;;;;
5647;Naphtha;102 Processing of fish;2012;;;;;;;;;;;
5648;Naphtha;102 Processing of fish;2013;;;;;;;;;;;
5649;Naphtha;102 Processing of fish;2014;;;;;;;;;;;
5650;Naphtha;102 Processing of fish;2015;;;;;;;;;;;
5651;Naphtha;102 Processing of fish;2016;;;;;;;;;;;
5652;Naphtha;103  Processing of vegetables and fruit;2011;;;;;;;;;;;
5653;Naphtha;103  Processing of vegetables and fruit;2012;;;;;;;;;;;
5654;Naphtha;103  Processing of vegetables and fruit;2013;;;;;;;;;;;
5655;Naphtha;103  Processing of vegetables and fruit;2014;;;;;;;;;;;
5656;Naphtha;103  Processing of vegetables and fruit;2015;;;;;;;;;;;
5657;Naphtha;103  Processing of vegetables and fruit;2016;;;;;;;;;;;
5658;Naphtha;104 Manufacture of edible oils and fats;2011;;;;;;;;;;;
5659;Naphtha;104 Manufacture of edible oils and fats;2012;;;;;;;;;;;
5660;Naphtha;104 Manufacture of edible oils and fats;2013;;;;;;;;;;;
5661;Naphtha;104 Manufacture of edible oils and fats;2014;;;;;;;;;;;
5662;Naphtha;104 Manufacture of edible oils and fats;2015;;;;;;;;;;;
5663;Naphtha;104 Manufacture of edible oils and fats;2016;;;;;;;;;;;
5664;Naphtha;105 Manufacture of dairy products;2011;;;;;;;;;;;
5665;Naphtha;105 Manufacture of dairy products;2012;;;;;;;;;;;
5666;Naphtha;105 Manufacture of dairy products;2013;;;;;;;;;;;
5667;Naphtha;105 Manufacture of dairy products;2014;;;;;;;;;;;
5668;Naphtha;105 Manufacture of dairy products;2015;;;;;;;;;;;
5669;Naphtha;105 Manufacture of dairy products;2016;;;;;;;;;;;
5670;Naphtha;106 Grain milling and starch products;2011;;;;;;;;;;;
5671;Naphtha;106 Grain milling and starch products;2012;;;;;;;;;;;
5672;Naphtha;106 Grain milling and starch products;2013;;;;;;;;;;;
5673;Naphtha;106 Grain milling and starch products;2014;;;;;;;;;;;
5674;Naphtha;106 Grain milling and starch products;2015;;;;;;;;;;;
5675;Naphtha;106 Grain milling and starch products;2016;;;;;;;;;;;
5676;Naphtha;107 Manufacture of bakery products;2011;;;;;;;;;;;
5677;Naphtha;107 Manufacture of bakery products;2012;;;;;;;;;;;
5678;Naphtha;107 Manufacture of bakery products;2013;;;;;;;;;;;
5679;Naphtha;107 Manufacture of bakery products;2014;;;;;;;;;;;
5680;Naphtha;107 Manufacture of bakery products;2015;;;;;;;;;;;
5681;Naphtha;107 Manufacture of bakery products;2016;;;;;;;;;;;
5682;Naphtha;108 Manufacture of other food;2011;;;;;;;;;;;
5683;Naphtha;108 Manufacture of other food;2012;;;;;;;;;;;
5684;Naphtha;108 Manufacture of other food;2013;;;;;;;;;;;
5685;Naphtha;108 Manufacture of other food;2014;;;;;;;;;;;
5686;Naphtha;108 Manufacture of other food;2015;;;;;;;;;;;
5687;Naphtha;108 Manufacture of other food;2016;;;;;;;;;;;
5688;Naphtha;109 Manufacture of animal foods;2011;;;;;;;;;;;
5689;Naphtha;109 Manufacture of animal foods;2012;;;;;;;;;;;
5690;Naphtha;109 Manufacture of animal foods;2013;;;;;;;;;;;
5691;Naphtha;109 Manufacture of animal foods;2014;;;;;;;;;;;
5692;Naphtha;109 Manufacture of animal foods;2015;;;;;;;;;;;
5693;Naphtha;109 Manufacture of animal foods;2016;;;;;;;;;;;
5694;Naphtha;11 Manufacture of beverages;2011;;;;;;;;;;;
5695;Naphtha;11 Manufacture of beverages;2012;;;;;;;;;;;
5696;Naphtha;11 Manufacture of beverages;2013;;;;;;;;;;;
5697;Naphtha;11 Manufacture of beverages;2014;;;;;;;;;;;
5698;Naphtha;11 Manufacture of beverages;2015;;;;;;;;;;;
5699;Naphtha;11 Manufacture of beverages;2016;;;;;;;;;;;
5700;Naphtha;12 Manufacture of tobacco products;2011;;;;;;;;;;;
5701;Naphtha;12 Manufacture of tobacco products;2012;;;;;;;;;;;
5702;Naphtha;12 Manufacture of tobacco products;2013;;;;;;;;;;;
5703;Naphtha;12 Manufacture of tobacco products;2014;;;;;;;;;;;
5704;Naphtha;12 Manufacture of tobacco products;2015;;;;;;;;;;;
5705;Naphtha;12 Manufacture of tobacco products;2016;;;;;;;;;;;
5706;Naphtha;13-15 Man. of textile-, leatherproducts;2011;;;;;;;;;;;
5707;Naphtha;13-15 Man. of textile-, leatherproducts;2012;;;;;;;;;;;
5708;Naphtha;13-15 Man. of textile-, leatherproducts;2013;;;;;;;;;;;
5709;Naphtha;13-15 Man. of textile-, leatherproducts;2014;;;;;;;;;;;
5710;Naphtha;13-15 Man. of textile-, leatherproducts;2015;;;;;;;;;;;
5711;Naphtha;13-15 Man. of textile-, leatherproducts;2016;;;;;;;;;;;
5712;Naphtha;13 Manufacture of textiles;2011;;;;;;;;;;;
5713;Naphtha;13 Manufacture of textiles;2012;;;;;;;;;;;
5714;Naphtha;13 Manufacture of textiles;2013;;;;;;;;;;;
5715;Naphtha;13 Manufacture of textiles;2014;;;;;;;;;;;
5716;Naphtha;13 Manufacture of textiles;2015;;;;;;;;;;;
5717;Naphtha;13 Manufacture of textiles;2016;;;;;;;;;;;
5718;Naphtha;14 Manufacture of wearing apparel;2011;;;;;;;;;;;
5719;Naphtha;14 Manufacture of wearing apparel;2012;;;;;;;;;;;
5720;Naphtha;14 Manufacture of wearing apparel;2013;;;;;;;;;;;
5721;Naphtha;14 Manufacture of wearing apparel;2014;;;;;;;;;;;
5722;Naphtha;14 Manufacture of wearing apparel;2015;;;;;;;;;;;
5723;Naphtha;14 Manufacture of wearing apparel;2016;;;;;;;;;;;
5724;Naphtha;15 Manufacture of leather and footwear;2011;;;;;;;;;;;
5725;Naphtha;15 Manufacture of leather and footwear;2012;;;;;;;;;;;
5726;Naphtha;15 Manufacture of leather and footwear;2013;;;;;;;;;;;
5727;Naphtha;15 Manufacture of leather and footwear;2014;;;;;;;;;;;
5728;Naphtha;15 Manufacture of leather and footwear;2015;;;;;;;;;;;
5729;Naphtha;15 Manufacture of leather and footwear;2016;;;;;;;;;;;
5730;Naphtha;16+23 Man of wooden and buildingmaterial;2011;;;;;;;;;;;
5731;Naphtha;16+23 Man of wooden and buildingmaterial;2012;;;;;;;;;;;
5732;Naphtha;16+23 Man of wooden and buildingmaterial;2013;;;;;;;;;;;
5733;Naphtha;16+23 Man of wooden and buildingmaterial;2014;;;;;;;;;;;
5734;Naphtha;16+23 Man of wooden and buildingmaterial;2015;;;;;;;;;;;
5735;Naphtha;16+23 Man of wooden and buildingmaterial;2016;;;;;;;;;;;
5736;Naphtha;16 Manufacture of wood products;2011;;;;;;;;;;;
5737;Naphtha;16 Manufacture of wood products;2012;;;;;;;;;;;
5738;Naphtha;16 Manufacture of wood products;2013;;;;;;;;;;;
5739;Naphtha;16 Manufacture of wood products;2014;;;;;;;;;;;
5740;Naphtha;16 Manufacture of wood products;2015;;;;;;;;;;;
5741;Naphtha;16 Manufacture of wood products;2016;;;;;;;;;;;
5742;Naphtha;17-18 Manufacture of paper and printing;2011;;;;;;;;;;;
5743;Naphtha;17-18 Manufacture of paper and printing;2012;;;;;;;;;;;
5744;Naphtha;17-18 Manufacture of paper and printing;2013;;;;;;;;;;;
5745;Naphtha;17-18 Manufacture of paper and printing;2014;;;;;;;;;;;
5746;Naphtha;17-18 Manufacture of paper and printing;2015;;;;;;;;;;;
5747;Naphtha;17-18 Manufacture of paper and printing;2016;;;;;;;;;;;
5748;Naphtha;17 Manufacture of paper ;2011;;;;;;;;;;;
5749;Naphtha;17 Manufacture of paper ;2012;;;;;;;;;;;
5750;Naphtha;17 Manufacture of paper ;2013;;;;;;;;;;;
5751;Naphtha;17 Manufacture of paper ;2014;;;;;;;;;;;
5752;Naphtha;17 Manufacture of paper ;2015;;;;;;;;;;;
5753;Naphtha;17 Manufacture of paper ;2016;;;;;;;;;;;
5754;Naphtha;18 Printing and reproduction;2011;;;;;;;;;;;
5755;Naphtha;18 Printing and reproduction;2012;;;;;;;;;;;
5756;Naphtha;18 Printing and reproduction;2013;;;;;;;;;;;
5757;Naphtha;18 Printing and reproduction;2014;;;;;;;;;;;
5758;Naphtha;18 Printing and reproduction;2015;;;;;;;;;;;
5759;Naphtha;18 Printing and reproduction;2016;;;;;;;;;;;
5760;Naphtha;19-22 Refineries and chemistry;2011;-33.1;;221.9;-255.0;113.5;368.5;-33.1;;674.9;715.6;7.6
5761;Naphtha;19-22 Refineries and chemistry;2012;65.6;;288.2;-222.5;129.5;352.0;65.6;;788.3;722.3;-0.4
5762;Naphtha;19-22 Refineries and chemistry;2013;-34.6;;208.5;-243.1;104.7;347.8;-34.6;;652.2;685.1;-1.7
5763;Naphtha;19-22 Refineries and chemistry;2014;-81.6;;171.6;-253.1;78.2;331.3;-81.6;;567.5;646.8;-2.3
5764;Naphtha;19-22 Refineries and chemistry;2015;-133.0;;176.4;-309.4;96.8;406.2;-133.0;;589.1;728.5;6.4
5765;Naphtha;19-22 Refineries and chemistry;2016;-151.3;;221.2;-372.5;89.8;462.4;-151.3;;664.8;818.0;1.9
5766;Naphtha;19 Manufacture of coke and petroleum ;2011;-323.1;;;-323.1;38.4;361.5;-323.1;;316.3;647.1;7.7
5767;Naphtha;19 Manufacture of coke and petroleum ;2012;-305.3;;;-305.3;34.3;339.7;-305.3;;332.6;638.9;0.9
5768;Naphtha;19 Manufacture of coke and petroleum ;2013;-302.2;;;-302.2;34.2;336.3;-302.2;;305.4;604.1;-3.5
5769;Naphtha;19 Manufacture of coke and petroleum ;2014;-295.8;;;-295.8;18.5;314.3;-295.8;;274.8;568.4;-2.2
5770;Naphtha;19 Manufacture of coke and petroleum ;2015;-354.9;;;-354.9;32.5;387.4;-354.9;;283.0;644.4;6.5
5771;Naphtha;19 Manufacture of coke and petroleum ;2016;-440.6;;;-440.6;5.3;445.9;-440.6;;266.3;710.3;3.5
5772;Naphtha;191 Manufacture of coke oven products;2011;;;;;;;;;;;
5773;Naphtha;191 Manufacture of coke oven products;2012;;;;;;;;;;;
5774;Naphtha;191 Manufacture of coke oven products;2013;;;;;;;;;;;
5775;Naphtha;191 Manufacture of coke oven products;2014;;;;;;;;;;;
5776;Naphtha;191 Manufacture of coke oven products;2015;;;;;;;;;;;
5777;Naphtha;191 Manufacture of coke oven products;2016;;;;;;;;;;;
5778;Naphtha;192 Manufacture of refined petroleum;2011;-323.1;;;-323.1;38.4;361.5;-323.1;;316.3;647.1;7.7
5779;Naphtha;192 Manufacture of refined petroleum;2012;-305.3;;;-305.3;34.3;339.7;-305.3;;332.6;638.9;0.9
5780;Naphtha;192 Manufacture of refined petroleum;2013;-302.2;;;-302.2;34.2;336.3;-302.2;;305.4;604.1;-3.5
5781;Naphtha;192 Manufacture of refined petroleum;2014;-295.8;;;-295.8;18.5;314.3;-295.8;;274.8;568.4;-2.2
5782;Naphtha;192 Manufacture of refined petroleum;2015;-354.9;;;-354.9;32.5;387.4;-354.9;;283.0;644.4;6.5
5783;Naphtha;192 Manufacture of refined petroleum;2016;-440.6;;;-440.6;5.3;445.9;-440.6;;266.3;710.3;3.5
5784;Naphtha;20-21 Chemistry and pharmaceuticals;2011;290.0;;221.9;68.1;75.1;7.0;290.0;;358.6;68.5;-0.1
5785;Naphtha;20-21 Chemistry and pharmaceuticals;2012;371.0;;288.2;82.8;95.2;12.4;371.0;;455.7;83.3;-1.4
5786;Naphtha;20-21 Chemistry and pharmaceuticals;2013;267.6;;208.5;59.0;70.5;11.5;267.6;;346.8;81.0;1.8
5787;Naphtha;20-21 Chemistry and pharmaceuticals;2014;214.2;;171.6;42.6;59.6;17.0;214.2;;292.7;78.4;-0.1
5788;Naphtha;20-21 Chemistry and pharmaceuticals;2015;221.9;;176.4;45.4;64.3;18.8;221.9;;306.1;84.1;-0.1
5789;Naphtha;20-21 Chemistry and pharmaceuticals;2016;289.3;;221.2;68.0;84.6;16.5;289.3;;398.5;107.7;-1.6
5790;Naphtha;20 Manufacture of chemicals;2011;290.0;;221.9;68.1;75.1;7.0;290.0;;358.6;68.5;-0.1
5791;Naphtha;20 Manufacture of chemicals;2012;371.0;;288.2;82.8;95.2;12.4;371.0;;455.7;83.3;-1.4
5792;Naphtha;20 Manufacture of chemicals;2013;267.6;;208.5;59.0;70.5;11.5;267.6;;346.8;81.0;1.8
5793;Naphtha;20 Manufacture of chemicals;2014;214.2;;171.6;42.6;59.6;17.0;214.2;;292.7;78.4;-0.1
5794;Naphtha;20 Manufacture of chemicals;2015;221.9;;176.4;45.4;64.3;18.8;221.9;;306.1;84.1;-0.1
5795;Naphtha;20 Manufacture of chemicals;2016;289.3;;221.2;68.0;84.6;16.5;289.3;;398.5;107.7;-1.6
5796;Naphtha;201 Manufacture of basic chemicals;2011;290.0;;221.9;68.1;75.1;7.0;290.0;;358.6;68.5;-0.1
5797;Naphtha;201 Manufacture of basic chemicals;2012;371.0;;288.2;82.8;95.2;12.4;371.0;;455.7;83.3;-1.4
5798;Naphtha;201 Manufacture of basic chemicals;2013;267.6;;208.5;59.0;70.5;11.5;267.6;;346.8;81.0;1.8
5799;Naphtha;201 Manufacture of basic chemicals;2014;214.2;;171.5;42.6;59.6;17.0;214.2;;292.6;78.4;-0.1
5800;Naphtha;201 Manufacture of basic chemicals;2015;221.9;;176.4;45.4;64.3;18.8;221.9;;306.1;84.1;-0.1
5801;Naphtha;201 Manufacture of basic chemicals;2016;289.3;;221.2;68.0;84.6;16.5;289.3;;398.5;107.7;-1.6
5802;Naphtha;2011 Manufacture of industrial gases;2011;;;;;;;;;;;
5803;Naphtha;2011 Manufacture of industrial gases;2012;;;;;;;;;;;
5804;Naphtha;2011 Manufacture of industrial gases;2013;;;;;;;;;;;
5805;Naphtha;2011 Manufacture of industrial gases;2014;;;;;;;;;;;
5806;Naphtha;2011 Manufacture of industrial gases;2015;;;;;;;;;;;
5807;Naphtha;2011 Manufacture of industrial gases;2016;;;;;;;;;;;
5808;Naphtha;2012 Manufacture of dyes and pigments;2011;;;;;;;;;;;
5809;Naphtha;2012 Manufacture of dyes and pigments;2012;;;;;;;;;;;
5810;Naphtha;2012 Manufacture of dyes and pigments;2013;;;;;;;;;;;
5811;Naphtha;2012 Manufacture of dyes and pigments;2014;;;;;;;;;;;
5812;Naphtha;2012 Manufacture of dyes and pigments;2015;;;;;;;;;;;
5813;Naphtha;2012 Manufacture of dyes and pigments;2016;;;;;;;;;;;
5814;Naphtha;2013 Manuf. other inorganic basic chemic;2011;;;;;;;;;;;
5815;Naphtha;2013 Manuf. other inorganic basic chemic;2012;;;;;;;;;;;
5816;Naphtha;2013 Manuf. other inorganic basic chemic;2013;;;;;;;;;;;
5817;Naphtha;2013 Manuf. other inorganic basic chemic;2014;;;;;;;;;;;
5818;Naphtha;2013 Manuf. other inorganic basic chemic;2015;;;;;;;;;;;
5819;Naphtha;2013 Manuf. other inorganic basic chemic;2016;;;;;;;;;;;
5820;Naphtha;2014 Manufacture organic basic chemicals;2011;290.0;;221.9;68.1;75.1;7.0;290.0;;358.6;68.5;-0.1
5821;Naphtha;2014 Manufacture organic basic chemicals;2012;371.0;;288.2;82.8;95.2;12.4;371.0;;455.7;83.3;-1.4
5822;Naphtha;2014 Manufacture organic basic chemicals;2013;267.6;;208.5;59.0;70.5;11.5;267.6;;346.8;81.0;1.8
5823;Naphtha;2014 Manufacture organic basic chemicals;2014;214.2;;171.5;42.6;59.6;17.0;214.2;;292.6;78.4;-0.1
5824;Naphtha;2014 Manufacture organic basic chemicals;2015;221.9;;176.4;45.4;64.3;18.8;221.9;;306.1;84.1;-0.1
5825;Naphtha;2014 Manufacture organic basic chemicals;2016;289.3;;221.2;68.0;84.6;16.5;289.3;;398.5;107.7;-1.6
5826;Naphtha;2015 Manufacture of fertilisers;2011;;;;;;;;;;;
5827;Naphtha;2015 Manufacture of fertilisers;2012;;;;;;;;;;;
5828;Naphtha;2015 Manufacture of fertilisers;2013;;;;;;;;;;;
5829;Naphtha;2015 Manufacture of fertilisers;2014;;;;;;;;;;;
5830;Naphtha;2015 Manufacture of fertilisers;2015;;;;;;;;;;;
5831;Naphtha;2015 Manufacture of fertilisers;2016;;;;;;;;;;;
5832;Naphtha;2016 Manufacture plastics (primary form);2011;;;;;;;;;;;
5833;Naphtha;2016 Manufacture plastics (primary form);2012;;;;;;;;;;;
5834;Naphtha;2016 Manufacture plastics (primary form);2013;;;;;;;;;;;
5835;Naphtha;2016 Manufacture plastics (primary form);2014;;;;;;;;;;;
5836;Naphtha;2016 Manufacture plastics (primary form);2015;;;;;;;;;;;
5837;Naphtha;2016 Manufacture plastics (primary form);2016;;;;;;;;;;;
5838;Naphtha;2017 Manufacture of synthetic rubber;2011;;;;;;;;;;;
5839;Naphtha;2017 Manufacture of synthetic rubber;2012;;;;;;;;;;;
5840;Naphtha;2017 Manufacture of synthetic rubber;2013;;;;;;;;;;;
5841;Naphtha;2017 Manufacture of synthetic rubber;2014;;;;;;;;;;;
5842;Naphtha;2017 Manufacture of synthetic rubber;2015;;;;;;;;;;;
5843;Naphtha;2017 Manufacture of synthetic rubber;2016;;;;;;;;;;;
5844;Naphtha;202 Manufacture agrochemical products;2011;;;;;;;;;;;
5845;Naphtha;202 Manufacture agrochemical products;2012;;;;;;;;;;;
5846;Naphtha;202 Manufacture agrochemical products;2013;;;;;;;;;;;
5847;Naphtha;202 Manufacture agrochemical products;2014;;;;;;;;;;;
5848;Naphtha;202 Manufacture agrochemical products;2015;;;;;;;;;;;
5849;Naphtha;202 Manufacture agrochemical products;2016;;;;;;;;;;;
5850;Naphtha;203 Manufacture of paints and ink;2011;;;;;;;;;;;
5851;Naphtha;203 Manufacture of paints and ink;2012;;;;;;;;;;;
5852;Naphtha;203 Manufacture of paints and ink;2013;;;;;;;;;;;
5853;Naphtha;203 Manufacture of paints and ink;2014;;;;;;;;;;;
5854;Naphtha;203 Manufacture of paints and ink;2015;;;;;;;;;;;
5855;Naphtha;203 Manufacture of paints and ink;2016;;;;;;;;;;;
5856;Naphtha;204 Manufacture detergents and cosmetics;2011;;;;;;;;;;;
5857;Naphtha;204 Manufacture detergents and cosmetics;2012;;;;;;;;;;;
5858;Naphtha;204 Manufacture detergents and cosmetics;2013;;;;;;;;;;;
5859;Naphtha;204 Manufacture detergents and cosmetics;2014;;;;;;;;;;;
5860;Naphtha;204 Manufacture detergents and cosmetics;2015;;;;;;;;;;;
5861;Naphtha;204 Manufacture detergents and cosmetics;2016;;;;;;;;;;;
5862;Naphtha;205 Manufacture of other chemicals;2011;;;;;;;;;;;
5863;Naphtha;205 Manufacture of other chemicals;2012;;;;;;;;;;;
5864;Naphtha;205 Manufacture of other chemicals;2013;;;;;;;;;;;
5865;Naphtha;205 Manufacture of other chemicals;2014;;;;;;;;;;;
5866;Naphtha;205 Manufacture of other chemicals;2015;;;;;;;;;;;
5867;Naphtha;205 Manufacture of other chemicals;2016;;;;;;;;;;;
5868;Naphtha;206 Manufacture of man-made fibres;2011;;;;;;;;;;;
5869;Naphtha;206 Manufacture of man-made fibres;2012;;;;;;;;;;;
5870;Naphtha;206 Manufacture of man-made fibres;2013;;;;;;;;;;;
5871;Naphtha;206 Manufacture of man-made fibres;2014;;;;;;;;;;;
5872;Naphtha;206 Manufacture of man-made fibres;2015;;;;;;;;;;;
5873;Naphtha;206 Manufacture of man-made fibres;2016;;;;;;;;;;;
5874;Naphtha;21 Manufacture of pharmaceuticals;2011;;;;;;;;;;;
5875;Naphtha;21 Manufacture of pharmaceuticals;2012;;;;;;;;;;;
5876;Naphtha;21 Manufacture of pharmaceuticals;2013;;;;;;;;;;;
5877;Naphtha;21 Manufacture of pharmaceuticals;2014;;;;;;;;;;;
5878;Naphtha;21 Manufacture of pharmaceuticals;2015;;;;;;;;;;;
5879;Naphtha;21 Manufacture of pharmaceuticals;2016;;;;;;;;;;;
5880;Naphtha;22 Manufacture rubber, plastic products;2011;;;;;;;;;;;
5881;Naphtha;22 Manufacture rubber, plastic products;2012;;;;;;;;;;;
