ID;Countries;Periods;TotalEconomy_1;k_0000bAgricultureForestryAndFishery_2;k_1000gIndustryExcludingConstruction_3;DManufacturing_4;FConstruction_5;Services_6;PercentageOfGDP_7;PercentageOfTotalPublicProcurement_8;ToEntrepreneurship_9;ToTradeAndInvestment_10;PriceConvergence_11;FiringCosts_12;DifficultyOfFiringIndex_13;KindsOfDismissalTotal_14;WithRespectToIndividualDismissal_15;WithRespectToTemporaryContracts_16;WithRespectToCollectiveDismissal_17;StateSupport_18
434;United States;2006;1.78;3.25;1.89;1.51;1.72;1.61;;;;;92.7;0.0;0.0;0.7;0.2;0.3;2.9;
435;United States;2007;1.78;3.47;1.92;1.47;1.75;1.61;;;;;85.1;0.0;0.0;0.7;0.2;0.3;2.9;
436;United States;2008;1.76;3.77;1.9;1.4;1.69;1.6;;;1.2;0.2;81.8;0.0;0.0;0.7;0.2;0.3;2.9;
437;United States;2009;1.77;3.18;1.95;1.4;1.78;1.63;;;;;88.8;0.0;0.0;;;;;
438;United States;2010;1.81;;;;;;;;;;92.4;;;;;;;
439;United States;2011;1.81;;;;;;;;;;88.0;;;;;;;
440;EU-15;1990;;;;;;;;;;;;;;;;;;
441;EU-15;1991;1.91;;;;1.48;;;;;;;;;;;;;
442;EU-15;1992;1.91;;;;1.46;;;;;;;;;;;;;
443;EU-15;1993;1.91;;;;1.46;;;;;;;;;;;;;
444;EU-15;1994;1.95;;;;1.5;;;;;;;;;;;;;
445;EU-15;1995;1.97;4.65;1.64;1.58;1.53;1.8;1.4;8.4;;;105.9;;;;;;;
446;EU-15;1996;1.98;4.83;1.64;1.58;1.53;1.8;1.5;9.3;;;106.0;;;;;;;
447;EU-15;1997;1.99;4.72;1.67;1.59;1.56;1.81;1.7;10.0;;;105.7;;;;;;;
448;EU-15;1998;2.0;4.62;1.68;1.61;1.57;1.81;1.8;11.0;;;105.4;;;;;;;
449;EU-15;1999;1.99;4.51;1.67;1.63;1.56;1.79;1.8;11.0;;;105.5;;;;;;;
450;EU-15;2000;1.98;4.48;1.69;1.63;1.57;1.77;2.3;15.0;;;104.9;;;;;;;
451;EU-15;2001;1.97;4.56;1.68;1.68;1.56;1.77;2.4;15.0;;;104.7;;;;;;;
452;EU-15;2002;1.98;4.36;1.68;1.7;1.55;1.78;2.6;16.0;;;104.9;;;;;;;
453;EU-15;2003;1.99;4.33;1.67;1.74;1.55;1.79;3.5;21.0;;;105.3;;;;;;;
454;EU-15;2004;2.01;4.34;1.7;1.78;1.57;1.8;2.7;16.0;;;105.4;;;;;;;
455;EU-15;2005;2.02;3.73;1.73;1.8;1.58;1.8;2.8;16.0;;;104.9;;;;;;;
456;EU-15;2006;2.04;3.59;1.77;1.83;1.61;1.81;3.1;18.0;;;104.8;;;;;;;
457;EU-15;2007;2.05;3.75;1.8;1.83;1.64;1.81;2.8;16.0;;;104.9;;;;;;;
458;EU-15;2008;2.02;3.71;1.75;1.83;1.57;1.81;2.9;16.0;;;104.3;;;;;;;
459;EU-15;2009;1.96;3.32;1.66;1.8;1.48;1.77;;;;;105.1;;;;;;;
460;EU-15;2010;1.99;;;;;;;;;;104.9;;;;;;;
461;EU-15;2011;2.0;;;;;;;;;;105.1;;;;;;;
462;EU-25;1990;;;;;;;;;;;;;;;;;;
463;EU-25;1991;;;;;;;;;;;;;;;;;;
464;EU-25;1992;;;;;;;;;;;;;;;;;;
465;EU-25;1993;;;;;;;;;;;;;;;;;;
466;EU-25;1994;;;;;;;;;;;;;;;;;;
467;EU-25;1995;;;;;;;;;;;101.5;;;;;;;
468;EU-25;1996;;;;;;;;;;;101.6;;;;;;;
469;EU-25;1997;;;;;;;;;;;101.3;;;;;;;
470;EU-25;1998;;;;;;;;;;;101.1;;;;;;;
471;EU-25;1999;;;;;;;;;;;101.1;;;;;;;
472;EU-25;2000;;;;;;;;;;;101.0;;;;;;;
473;EU-25;2001;;;;;;;;;;;101.1;;;;;;;
474;EU-25;2002;;;;;;;;;;;101.1;;;;;;;
475;EU-25;2003;;;;;;;;;;;101.1;;;;;;;
476;EU-25;2004;;;;;;;2.7;16.0;;;101.2;;;;;;;
477;EU-25;2005;;;;;;;2.9;17.0;;;101.1;;;;;;;
478;EU-25;2006;;;;;;;3.3;19.0;;;101.1;;;;;;;
479;EU-25;2007;;;;;;;3.0;17.0;;;101.1;;;;;;;
480;EU-25;2008;;;;;;;3.1;17.0;;;101.1;;;;;;;
481;EU-25;2009;;;;;;;;;;;101.1;;;;;;;
482;EU-25;2010;;;;;;;;;;;101.1;;;;;;;
483;EU-25;2011;;;;;;;;;;;101.1;;;;;;;
484;EU-27;1990;;;;;;;;;;;;;;;;;;
485;EU-27;1991;;;;;;;;;;;;;;;;;;
486;EU-27;1992;;;;;;;;;;;;;;;;;;1.12
487;EU-27;1993;;;;;;;;;;;;;;;;;;1.14
488;EU-27;1994;;;;;;;;;;;;;;;;;;1.06
489;EU-27;1995;1.98;;;;;;;;;;100.0;;;;;;;0.97
490;EU-27;1996;1.99;;;;;;;;;;100.0;;;;;;;0.93
491;EU-27;1997;2.01;4.71;1.67;1.6;1.57;1.82;;;;;100.0;;;;;;;1.15
492;EU-27;1998;2.01;4.58;1.68;1.63;1.58;1.82;;;;;100.0;;;;;;;0.74
493;EU-27;1999;2.01;4.46;1.67;1.66;1.57;1.8;;;;;100.0;;;;;;;0.62
494;EU-27;2000;2.0;4.44;1.7;1.66;1.58;1.79;;;;;100.0;;;;;;;0.65
495;EU-27;2001;1.99;4.53;1.69;1.71;1.57;1.79;;;;;100.0;;;;;;;0.66
496;EU-27;2002;2.0;4.33;1.69;1.73;1.57;1.79;;;;;100.0;;;;;;;0.67
497;EU-27;2003;2.01;4.32;1.69;1.76;1.57;1.8;;;;;100.0;;;;;;;0.63
498;EU-27;2004;2.03;4.38;1.72;1.8;1.59;1.82;;;;;100.0;;;;;;;0.61
499;EU-27;2005;2.04;3.78;1.75;1.83;1.61;1.82;2.9;;;;100.0;;;;;;;0.57
500;EU-27;2006;2.06;3.66;1.8;1.86;1.64;1.82;3.2;18.0;;;100.0;;;;;;;0.76
501;EU-27;2007;2.08;3.76;1.82;1.87;1.67;1.83;3.0;16.0;;;100.0;;;;;;;0.53
502;EU-27;2008;2.05;3.72;1.77;1.88;1.6;1.82;3.1;17.0;;;100.0;;;;;;;0.58
503;EU-27;2009;1.99;3.33;1.7;1.85;1.52;1.79;3.6;18.0;;;100.0;;;;;;;0.63
504;EU-27;2010;2.02;;;;;;3.7;18.0;;;100.0;;;;;;;0.6
505;EU-27;2011;2.03;;;;;;;;;;100.0;;;;;;;
