ID;FruitFarmingRegions;Periods;TotalAppleVarieties_1;CoxSOrangePippin_2;DelbarestivaleDelcorf_3;Elstar_4;GoldenDelicious_5;Jonagold_6;Jonagored_7;Junami_8;Kanzi_9;RodeBoskoopRennetApple_10;Rubens_11;OtherAppleVarieties_12;TotalPearVarieties_13;BeurreAlexandreLucas_14;Conference_15;DoyenneDuComice_16;CookingPears_17;TriompheDeVienne_18;OtherPearVarieties_19;TotalAppleVarieties_20;CoxSOrangePippin_21;DelbarestivaleDelcorf_22;Elstar_23;GoldenDelicious_24;Jonagold_25;Jonagored_26;Junami_27;Kanzi_28;RodeBoskoopRennetApple_29;Rubens_30;OtherAppleVarieties_31;TotalPearVarieties_32;BeurreAlexandreLucas_33;Conference_34;DoyenneDuComice_35;CookingPears_36;TriompheDeVienne_37;OtherPearVarieties_38
40;Region North;2016;40;0;0;19;1;14;1;2.0;1.0;1;;1;57;2.0;47;5;2;0;1;849;3;7;436;24;218;7;60.0;30.0;19;;42;1198;49.0;919;120;45;2;64
41;Region North;2017;32;0;0;16;1;9;1;1.0;0.0;1;;2;49;2.0;42;2;1;0;1;798;5;5;422;19;175;19;38.0;13.0;20;;80;1236;49.0;1006;93;38;1;49
42;Region West;1997;69;8;0;16;8;20;5;;;3;;7;45;;26;8;4;2;5;3510;429;50;1032;315;774;223;;;316;;370;2338;;1303;519;184;80;252
43;Region West;1998;114;11;1;38;8;30;7;;;9;;10;55;;33;10;4;2;7;3316;387;50;1011;281;753;192;;;307;;334;2261;;1276;493;172;80;240
44;Region West;1999;137;11;2;43;11;40;6;;;13;;11;48;;32;8;2;1;5;3176;349;61;989;257;757;169;;;294;;300;2264;;1303;484;167;79;231
45;Region West;2000;105;10;2;30;8;29;5;;;10;;12;75;;47;14;4;1;9;2872;310;64;907;231;709;113;;;265;;273;2296;;1339;474;163;81;239
46;Region West;2001;87;9;1;25;7;23;7;;;7;;7;32;;23;3;1;1;3;2654;268;74;843;201;598;187;;;243;;240;2262;;1340;448;150;83;241
47;Region West;2002;82;6;2;25;8;20;9;;;6;;6;70;;42;13;5;2;9;2551;235;88;817;193;514;265;;;221;;218;2360;;1418;456;149;85;252
48;Region West;2003;79;6;2;24;8;16;11;;;7;;6;57;;43;7;3;1;3;2301;178;86;796;169;466;241;;;185;;180;2420;;1532;459;137;79;213
49;Region West;2004;84;5;3;29;7;21;9;;0.0;6;;4;75;3.0;49;14;4;2;3;2249;155;84;823;175;496;205;;0.0;169;;142;2458;98.0;1631;455;102;66;106
50;Region West;2005;80;4;3;28;7;18;11;0.0;0.0;5;0.0;4;73;3.0;51;11;3;2;3;2127;112;77;844;146;412;256;14.0;2.0;158;4.0;102;2583;131.0;1716;459;98;83;96
51;Region West;2006;76;4;2;26;6;20;10;0.0;0.0;5;0.0;3;75;3.0;56;10;2;2;2;2130;91;60;875;136;426;246;23.0;22.0;141;11.0;99;2583;113.0;1813;427;78;67;85
52;Region West;2007;86;3;2;30;6;21;16;0.0;0.0;5;0.0;3;95;5.0;70;14;2;2;2;2111;84;60;817;137;351;287;83.0;33.0;156;25.0;78;2720;166.0;1914;425;78;69;68
53;Region West;2008;81;2;2;29;5;19;14;0.0;1.0;6;0.0;3;60;3.0;46;8;1;1;1;2129;65;57;825;115;364;259;96.0;38.0;158;25.0;127;2809;167.0;2041;412;69;59;61
54;Region West;2009;89;2;2;37;5;20;14;3.0;1.0;4;0.0;4;103;6.0;75;14;2;2;2;2061;56;58;854;117;346;241;107.0;39.0;129;25.0;89;2891;188.0;2062;426;91;55;69
55;Region West;2010;64;1;1;30;4;11;10;2.0;1.0;2;0.0;0;94;8.0;71;11;2;2;0;1920;43;43;783;118;296;278;115.0;29.0;107;20.0;87;2997;239.0;2080;452;90;61;74
56;Region West;2011;94;2;1;38;7;18;17;3.0;1.0;5;0.0;0;126;12.0;92;14;4;2;0;1820;46;38;746;133;311;226;83.0;29.0;100;1.0;104;3092;248.0;2231;406;97;46;52
57;Region West;2012;62;1;1;25;5;11;9;3.0;1.0;2;1.0;3;76;7.0;60;7;1;0;1;1750;35;36;711;111;299;193;163.0;19.0;77;39.0;67;3053;262.0;2115;387;86;45;149
58;Region West;2013;69;1;1;28;4;10;10;3.0;2.0;3;0.0;5;117;14.0;84;13;3;2;0;1757;38;41;687;115;225;197;142.0;62.0;106;10.0;134;3235;301.0;2239;420;89;47;140
59;Region West;2014;78;1;1;30;5;16;10;3.0;4.0;4;0.0;4;135;11.0;101;14;3;2;5;1736;30;21;668;107;307;173;100.0;109.0;74;6.0;143;3340;277.0;2420;362;99;47;134
60;Region West;2015;80;1;1;29;5;16;12;4.0;3.0;3;0.0;6;134;13.0;100;14;1;2;4;1704;22;34;644;99;282;224;107.0;59.0;76;0.0;157;3637;284.0;2621;443;82;59;148
61;Region West;2016;78;1;1;32;4;16;11;5.0;3.0;3;;3;150;18.0;112;14;2;2;2;1614;25;29;686;89;301;140;133.0;59.0;73;;77;3738;383.0;2700;390;65;55;145
62;Region West;2017;40;0;1;16;3;8;4;2.0;2.0;1;;2;133;16.0;101;8;2;2;4;1522;22;39;675;73;257;103;165.0;72.0;65;;50;3890;506.0;2676;386;69;50;203
63;Region Central;1997;213;23;2;67;18;47;16;;;21;;19;71;;44;15;5;2;4;7014;632;109;2445;477;1610;543;;;608;;589;2561;;1477;494;276;106;208
64;Region Central;1998;229;18;3;86;15;56;20;;;16;;16;58;;35;9;5;2;5;6994;591;109;2533;465;1571;571;;;601;;553;2587;;1521;494;268;108;196
65;Region Central;1999;262;17;4;93;14;62;28;;;26;;18;60;;40;9;4;2;5;6721;516;117;2515;421;1481;579;;;576;;516;2608;;1566;488;259;109;186
66;Region Central;2000;215;10;3;81;13;57;21;;;14;;15;87;;59;14;7;3;5;6129;422;130;2357;381;1396;518;;;503;;422;2617;;1602;469;254;110;182
67;Region Central;2001;197;12;3;79;12;47;16;;;17;;11;26;;18;3;2;1;2;5571;334;145;2216;332;1266;492;;;440;;346;2652;;1669;437;256;112;178
68;Region Central;2002;165;7;3;62;11;47;18;;;9;;7;71;;44;11;8;2;5;5225;275;167;2113;318;1196;485;;;384;;287;2797;;1806;432;268;115;176
69;Region Central;2003;172;7;4;68;10;46;17;;;12;;7;67;;53;6;4;1;2;4884;203;160;2096;266;1122;455;;;331;;251;2766;;1863;405;238;101;159
70;Region Central;2004;214;6;5;89;13;55;26;;0.0;14;;6;91;3.0;63;12;8;2;3;4928;155;150;2261;257;1120;459;;8.0;321;;197;2821;78.0;1978;401;197;83;84
