ID;Sex;Age;Citizenship;Periods;TotalAsylumRequests_1;FirstAsylumRequests_2
5135;Total male and female, including unknown;Total age;147;2010 March;15;10
5136;Total male and female, including unknown;Total age;147;2010 1st Quarter;40;35
5137;Total male and female, including unknown;Total age;147;2010 April;15;15
5138;Total male and female, including unknown;Total age;147;2010 May;15;10
5139;Total male and female, including unknown;Total age;147;2010 June;10;10
5140;Total male and female, including unknown;Total age;147;2010 2nd Quarter;35;35
5141;Total male and female, including unknown;Total age;147;2010 July;5;5
5142;Total male and female, including unknown;Total age;147;2010 August;10;10
5143;Total male and female, including unknown;Total age;147;2010 September;10;10
5144;Total male and female, including unknown;Total age;147;2010 3rd Quarter;30;25
5145;Total male and female, including unknown;Total age;147;2010 October;5;5
5146;Total male and female, including unknown;Total age;147;2010 November;10;10
5147;Total male and female, including unknown;Total age;147;2010 December;15;15
5148;Total male and female, including unknown;Total age;147;2010 4th Quarter;35;25
5149;Total male and female, including unknown;Total age;147;2010;140;115
5150;Total male and female, including unknown;Total age;147;2011 January;15;10
5151;Total male and female, including unknown;Total age;147;2011 February;15;15
5152;Total male and female, including unknown;Total age;147;2011 March;15;15
5153;Total male and female, including unknown;Total age;147;2011 1st Quarter;45;35
5154;Total male and female, including unknown;Total age;147;2011 April;15;10
5155;Total male and female, including unknown;Total age;147;2011 May;10;10
5156;Total male and female, including unknown;Total age;147;2011 June;15;15
5157;Total male and female, including unknown;Total age;147;2011 2nd Quarter;35;30
5158;Total male and female, including unknown;Total age;147;2011 July;20;15
5159;Total male and female, including unknown;Total age;147;2011 August;15;15
5160;Total male and female, including unknown;Total age;147;2011 September;15;15
5161;Total male and female, including unknown;Total age;147;2011 3rd Quarter;50;40
5162;Total male and female, including unknown;Total age;147;2011 October;15;10
5163;Total male and female, including unknown;Total age;147;2011 November;5;5
5164;Total male and female, including unknown;Total age;147;2011 December;15;15
5165;Total male and female, including unknown;Total age;147;2011 4th Quarter;35;30
5166;Total male and female, including unknown;Total age;147;2011;170;135
5167;Total male and female, including unknown;Total age;147;2012 January;15;10
5168;Total male and female, including unknown;Total age;147;2012 February;10;5
5169;Total male and female, including unknown;Total age;147;2012 March;5;5
5170;Total male and female, including unknown;Total age;147;2012 1st Quarter;30;20
5171;Total male and female, including unknown;Total age;147;2012 April;5;5
5172;Total male and female, including unknown;Total age;147;2012 May;10;10
5173;Total male and female, including unknown;Total age;147;2012 June;5;5
5174;Total male and female, including unknown;Total age;147;2012 2nd Quarter;20;15
5175;Total male and female, including unknown;Total age;147;2012 July;10;10
5176;Total male and female, including unknown;Total age;147;2012 August;10;5
5177;Total male and female, including unknown;Total age;147;2012 September;5;5
5178;Total male and female, including unknown;Total age;147;2012 3rd Quarter;25;15
5179;Total male and female, including unknown;Total age;147;2012 October;15;10
5180;Total male and female, including unknown;Total age;147;2012 November;20;15
5181;Total male and female, including unknown;Total age;147;2012 December;15;15
5182;Total male and female, including unknown;Total age;147;2012 4th Quarter;50;40
5183;Total male and female, including unknown;Total age;147;2012;120;95
5184;Total male and female, including unknown;Total age;147;2013 January;10;10
5185;Total male and female, including unknown;Total age;147;2013 February;5;0
5186;Total male and female, including unknown;Total age;147;2013 March;15;10
5187;Total male and female, including unknown;Total age;147;2013 1st Quarter;30;20
5188;Total male and female, including unknown;Total age;147;2013 April;5;5
5189;Total male and female, including unknown;Total age;147;2013 May;10;5
5190;Total male and female, including unknown;Total age;147;2013 June;10;5
5191;Total male and female, including unknown;Total age;147;2013 2nd Quarter;25;15
5192;Total male and female, including unknown;Total age;147;2013 July;10;10
5193;Total male and female, including unknown;Total age;147;2013 August;10;5
5194;Total male and female, including unknown;Total age;147;2013 September;5;5
5195;Total male and female, including unknown;Total age;147;2013 3rd Quarter;25;25
5196;Total male and female, including unknown;Total age;147;2013 October;10;5
5197;Total male and female, including unknown;Total age;147;2013 November;10;10
5198;Total male and female, including unknown;Total age;147;2013 December;5;5
5199;Total male and female, including unknown;Total age;147;2013 4th Quarter;25;20
5200;Total male and female, including unknown;Total age;147;2013;105;80
5201;Total male and female, including unknown;Total age;147;2014 January;20;20
5202;Total male and female, including unknown;Total age;147;2014 February;15;10
5203;Total male and female, including unknown;Total age;147;2014 March;10;10
5204;Total male and female, including unknown;Total age;147;2014 1st Quarter;45;40
5205;Total male and female, including unknown;Total age;147;2014 April;10;10
5206;Total male and female, including unknown;Total age;147;2014 May;10;5
5207;Total male and female, including unknown;Total age;147;2014 June;5;5
5208;Total male and female, including unknown;Total age;147;2014 2nd Quarter;30;20
5209;Total male and female, including unknown;Total age;147;2014 July;10;5
5210;Total male and female, including unknown;Total age;147;2014 August;10;5
5211;Total male and female, including unknown;Total age;147;2014 September;10;10
5212;Total male and female, including unknown;Total age;147;2014 3rd Quarter;30;15
5213;Total male and female, including unknown;Total age;147;2014 October;5;0
5214;Total male and female, including unknown;Total age;147;2014 November;10;0
5215;Total male and female, including unknown;Total age;147;2014 December;5;0
5216;Total male and female, including unknown;Total age;147;2014 4th Quarter;25;5
5217;Total male and female, including unknown;Total age;147;2014;125;80
5218;Total male and female, including unknown;Total age;147;2015 January;0;0
5219;Total male and female, including unknown;Total age;147;2015 February;10;0
5220;Total male and female, including unknown;Total age;147;2015 March;10;5
5221;Total male and female, including unknown;Total age;147;2015 1st Quarter;20;5
5222;Total male and female, including unknown;Total age;147;2015 April;10;5
5223;Total male and female, including unknown;Total age;147;2015 May;10;5
5224;Total male and female, including unknown;Total age;147;2015 June;5;5
5225;Total male and female, including unknown;Total age;147;2015 2nd Quarter;25;15
5226;Total male and female, including unknown;Total age;147;2015 July;5;0
5227;Total male and female, including unknown;Total age;147;2015 August;5;0
5228;Total male and female, including unknown;Total age;147;2015 September;10;5
5229;Total male and female, including unknown;Total age;147;2015 3rd Quarter;20;5
5230;Total male and female, including unknown;Total age;147;2015 October;10;5
5231;Total male and female, including unknown;Total age;147;2015 November;10;5
5232;Total male and female, including unknown;Total age;147;2015 December;5;5
5233;Total male and female, including unknown;Total age;147;2015 4th Quarter;25;10
5234;Total male and female, including unknown;Total age;147;2015;90;40
5235;Total male and female, including unknown;Total age;147;2016 January;5;5
5236;Total male and female, including unknown;Total age;148;2007 January;15;15
5237;Total male and female, including unknown;Total age;148;2007 February;15;5
5238;Total male and female, including unknown;Total age;148;2007 March;5;5
5239;Total male and female, including unknown;Total age;148;2007 1st Quarter;35;25
5240;Total male and female, including unknown;Total age;148;2007 April;15;10
5241;Total male and female, including unknown;Total age;148;2007 May;5;0
5242;Total male and female, including unknown;Total age;148;2007 June;10;5
5243;Total male and female, including unknown;Total age;148;2007 2nd Quarter;30;15
5244;Total male and female, including unknown;Total age;148;2007 July;5;5
5245;Total male and female, including unknown;Total age;148;2007 August;5;0
5246;Total male and female, including unknown;Total age;148;2007 September;10;10
5247;Total male and female, including unknown;Total age;148;2007 3rd Quarter;20;15
5248;Total male and female, including unknown;Total age;148;2007 October;5;5
5249;Total male and female, including unknown;Total age;148;2007 November;5;5
5250;Total male and female, including unknown;Total age;148;2007 December;0;0
5251;Total male and female, including unknown;Total age;148;2007 4th Quarter;10;10
5252;Total male and female, including unknown;Total age;148;2007;100;65
5253;Total male and female, including unknown;Total age;148;2008 January;5;5
5254;Total male and female, including unknown;Total age;148;2008 February;5;0
5255;Total male and female, including unknown;Total age;148;2008 March;5;0
5256;Total male and female, including unknown;Total age;148;2008 1st Quarter;15;5
5257;Total male and female, including unknown;Total age;148;2008 April;15;5
5258;Total male and female, including unknown;Total age;148;2008 May;5;5
5259;Total male and female, including unknown;Total age;148;2008 June;5;5
5260;Total male and female, including unknown;Total age;148;2008 2nd Quarter;25;15
5261;Total male and female, including unknown;Total age;148;2008 July;5;5
5262;Total male and female, including unknown;Total age;148;2008 August;10;5
5263;Total male and female, including unknown;Total age;148;2008 September;15;5
5264;Total male and female, including unknown;Total age;148;2008 3rd Quarter;30;15
5265;Total male and female, including unknown;Total age;148;2008 October;5;0
5266;Total male and female, including unknown;Total age;148;2008 November;15;10
5267;Total male and female, including unknown;Total age;148;2008 December;5;5
5268;Total male and female, including unknown;Total age;148;2008 4th Quarter;25;20
5269;Total male and female, including unknown;Total age;148;2008;100;55
5270;Total male and female, including unknown;Total age;148;2009 January;10;10
5271;Total male and female, including unknown;Total age;148;2009 February;5;5
5272;Total male and female, including unknown;Total age;148;2009 March;15;10
5273;Total male and female, including unknown;Total age;148;2009 1st Quarter;30;25
5274;Total male and female, including unknown;Total age;148;2009 April;10;5
5275;Total male and female, including unknown;Total age;148;2009 May;5;5
5276;Total male and female, including unknown;Total age;148;2009 June;5;5
5277;Total male and female, including unknown;Total age;148;2009 2nd Quarter;20;15
5278;Total male and female, including unknown;Total age;148;2009 July;10;10
5279;Total male and female, including unknown;Total age;148;2009 August;5;5
5280;Total male and female, including unknown;Total age;148;2009 September;20;15
5281;Total male and female, including unknown;Total age;148;2009 3rd Quarter;35;30
5282;Total male and female, including unknown;Total age;148;2009 October;10;10
5283;Total male and female, including unknown;Total age;148;2009 November;20;20
5284;Total male and female, including unknown;Total age;148;2009 December;20;20
5285;Total male and female, including unknown;Total age;148;2009 4th Quarter;50;50
5286;Total male and female, including unknown;Total age;148;2009;140;115
5287;Total male and female, including unknown;Total age;148;2010 January;10;5
5288;Total male and female, including unknown;Total age;148;2010 February;15;15
5289;Total male and female, including unknown;Total age;148;2010 March;20;15
5290;Total male and female, including unknown;Total age;148;2010 1st Quarter;45;35
5291;Total male and female, including unknown;Total age;148;2010 April;15;15
5292;Total male and female, including unknown;Total age;148;2010 May;10;10
5293;Total male and female, including unknown;Total age;148;2010 June;15;10
5294;Total male and female, including unknown;Total age;148;2010 2nd Quarter;40;30
5295;Total male and female, including unknown;Total age;148;2010 July;5;5
5296;Total male and female, including unknown;Total age;148;2010 August;10;10
5297;Total male and female, including unknown;Total age;148;2010 September;20;20
5298;Total male and female, including unknown;Total age;148;2010 3rd Quarter;35;30
5299;Total male and female, including unknown;Total age;148;2010 October;15;15
5300;Total male and female, including unknown;Total age;148;2010 November;15;15
5301;Total male and female, including unknown;Total age;148;2010 December;40;40
5302;Total male and female, including unknown;Total age;148;2010 4th Quarter;75;65
5303;Total male and female, including unknown;Total age;148;2010;190;165
5304;Total male and female, including unknown;Total age;148;2011 January;10;5
5305;Total male and female, including unknown;Total age;148;2011 February;15;15
5306;Total male and female, including unknown;Total age;148;2011 March;10;10
5307;Total male and female, including unknown;Total age;148;2011 1st Quarter;35;30
5308;Total male and female, including unknown;Total age;148;2011 April;5;5
5309;Total male and female, including unknown;Total age;148;2011 May;10;10
5310;Total male and female, including unknown;Total age;148;2011 June;10;10
5311;Total male and female, including unknown;Total age;148;2011 2nd Quarter;25;20
5312;Total male and female, including unknown;Total age;148;2011 July;15;15
5313;Total male and female, including unknown;Total age;148;2011 August;25;20
5314;Total male and female, including unknown;Total age;148;2011 September;30;25
5315;Total male and female, including unknown;Total age;148;2011 3rd Quarter;70;60
5316;Total male and female, including unknown;Total age;148;2011 October;15;15
5317;Total male and female, including unknown;Total age;148;2011 November;20;15
5318;Total male and female, including unknown;Total age;148;2011 December;25;25
5319;Total male and female, including unknown;Total age;148;2011 4th Quarter;60;50
5320;Total male and female, including unknown;Total age;148;2011;190;160
5321;Total male and female, including unknown;Total age;148;2012 January;25;10
5322;Total male and female, including unknown;Total age;148;2012 February;15;10
5323;Total male and female, including unknown;Total age;148;2012 March;15;10
5324;Total male and female, including unknown;Total age;148;2012 1st Quarter;55;30
5325;Total male and female, including unknown;Total age;148;2012 April;5;5
5326;Total male and female, including unknown;Total age;148;2012 May;15;10
5327;Total male and female, including unknown;Total age;148;2012 June;5;5
5328;Total male and female, including unknown;Total age;148;2012 2nd Quarter;25;20
5329;Total male and female, including unknown;Total age;148;2012 July;30;25
5330;Total male and female, including unknown;Total age;148;2012 August;15;10
5331;Total male and female, including unknown;Total age;148;2012 September;15;10
5332;Total male and female, including unknown;Total age;148;2012 3rd Quarter;60;45
5333;Total male and female, including unknown;Total age;148;2012 October;20;10
5334;Total male and female, including unknown;Total age;148;2012 November;15;10
5335;Total male and female, including unknown;Total age;148;2012 December;10;5
5336;Total male and female, including unknown;Total age;148;2012 4th Quarter;40;25
5337;Total male and female, including unknown;Total age;148;2012;180;120
5338;Total male and female, including unknown;Total age;148;2013 January;15;10
5339;Total male and female, including unknown;Total age;148;2013 February;15;10
5340;Total male and female, including unknown;Total age;148;2013 March;10;10
5341;Total male and female, including unknown;Total age;148;2013 1st Quarter;40;30
5342;Total male and female, including unknown;Total age;148;2013 April;15;10
5343;Total male and female, including unknown;Total age;148;2013 May;10;10
5344;Total male and female, including unknown;Total age;148;2013 June;15;10
5345;Total male and female, including unknown;Total age;148;2013 2nd Quarter;40;30
5346;Total male and female, including unknown;Total age;148;2013 July;10;5
5347;Total male and female, including unknown;Total age;148;2013 August;10;5
5348;Total male and female, including unknown;Total age;148;2013 September;20;15
5349;Total male and female, including unknown;Total age;148;2013 3rd Quarter;35;25
5350;Total male and female, including unknown;Total age;148;2013 October;10;5
5351;Total male and female, including unknown;Total age;148;2013 November;15;15
5352;Total male and female, including unknown;Total age;148;2013 December;10;10
5353;Total male and female, including unknown;Total age;148;2013 4th Quarter;35;25
5354;Total male and female, including unknown;Total age;148;2013;155;115
5355;Total male and female, including unknown;Total age;148;2014 January;15;15
5356;Total male and female, including unknown;Total age;148;2014 February;20;15
5357;Total male and female, including unknown;Total age;148;2014 March;10;5
5358;Total male and female, including unknown;Total age;148;2014 1st Quarter;45;30
5359;Total male and female, including unknown;Total age;148;2014 April;5;5
5360;Total male and female, including unknown;Total age;148;2014 May;20;15
5361;Total male and female, including unknown;Total age;148;2014 June;30;20
5362;Total male and female, including unknown;Total age;148;2014 2nd Quarter;55;40
5363;Total male and female, including unknown;Total age;148;2014 July;20;20
5364;Total male and female, including unknown;Total age;148;2014 August;35;35
5365;Total male and female, including unknown;Total age;148;2014 September;25;20
5366;Total male and female, including unknown;Total age;148;2014 3rd Quarter;80;75
5367;Total male and female, including unknown;Total age;148;2014 October;15;10
5368;Total male and female, including unknown;Total age;148;2014 November;15;15
5369;Total male and female, including unknown;Total age;148;2014 December;15;10
5370;Total male and female, including unknown;Total age;148;2014 4th Quarter;45;35
5371;Total male and female, including unknown;Total age;148;2014;225;180
5372;Total male and female, including unknown;Total age;148;2015 January;5;5
5373;Total male and female, including unknown;Total age;148;2015 February;5;5
5374;Total male and female, including unknown;Total age;148;2015 March;5;5
5375;Total male and female, including unknown;Total age;148;2015 1st Quarter;20;15
5376;Total male and female, including unknown;Total age;148;2015 April;15;10
5377;Total male and female, including unknown;Total age;148;2015 May;45;45
5378;Total male and female, including unknown;Total age;148;2015 June;35;30
5379;Total male and female, including unknown;Total age;148;2015 2nd Quarter;95;85
5380;Total male and female, including unknown;Total age;148;2015 July;35;30
5381;Total male and female, including unknown;Total age;148;2015 August;35;35
5382;Total male and female, including unknown;Total age;148;2015 September;30;30
5383;Total male and female, including unknown;Total age;148;2015 3rd Quarter;105;95
5384;Total male and female, including unknown;Total age;148;2015 October;20;15
5385;Total male and female, including unknown;Total age;148;2015 November;15;10
5386;Total male and female, including unknown;Total age;148;2015 December;20;10
5387;Total male and female, including unknown;Total age;148;2015 4th Quarter;55;35
5388;Total male and female, including unknown;Total age;148;2015;270;235
5389;Total male and female, including unknown;Total age;148;2016 January;30;25
5390;Total male and female, including unknown;Total age;149;2007 January;175;170
5391;Total male and female, including unknown;Total age;149;2007 February;160;150
5392;Total male and female, including unknown;Total age;149;2007 March;235;215
5393;Total male and female, including unknown;Total age;149;2007 1st Quarter;570;535
5394;Total male and female, including unknown;Total age;149;2007 April;175;165
5395;Total male and female, including unknown;Total age;149;2007 May;100;90
5396;Total male and female, including unknown;Total age;149;2007 June;130;120
5397;Total male and female, including unknown;Total age;149;2007 2nd Quarter;405;380
5398;Total male and female, including unknown;Total age;149;2007 July;140;130
5399;Total male and female, including unknown;Total age;149;2007 August;210;200
5400;Total male and female, including unknown;Total age;149;2007 September;175;170
5401;Total male and female, including unknown;Total age;149;2007 3rd Quarter;530;505
5402;Total male and female, including unknown;Total age;149;2007 October;225;215
5403;Total male and female, including unknown;Total age;149;2007 November;155;150
5404;Total male and female, including unknown;Total age;149;2007 December;120;115
5405;Total male and female, including unknown;Total age;149;2007 4th Quarter;500;480
5406;Total male and female, including unknown;Total age;149;2007;2005;1900
5407;Total male and female, including unknown;Total age;149;2008 January;230;225
5408;Total male and female, including unknown;Total age;149;2008 February;235;220
5409;Total male and female, including unknown;Total age;149;2008 March;315;310
5410;Total male and female, including unknown;Total age;149;2008 1st Quarter;780;755
5411;Total male and female, including unknown;Total age;149;2008 April;200;190
5412;Total male and female, including unknown;Total age;149;2008 May;195;185
5413;Total male and female, including unknown;Total age;149;2008 June;270;260
5414;Total male and female, including unknown;Total age;149;2008 2nd Quarter;665;635
5415;Total male and female, including unknown;Total age;149;2008 July;405;395
5416;Total male and female, including unknown;Total age;149;2008 August;420;405
5417;Total male and female, including unknown;Total age;149;2008 September;435;430
5418;Total male and female, including unknown;Total age;149;2008 3rd Quarter;1260;1230
5419;Total male and female, including unknown;Total age;149;2008 October;415;395
5420;Total male and female, including unknown;Total age;149;2008 November;410;400
5421;Total male and female, including unknown;Total age;149;2008 December;430;425
5422;Total male and female, including unknown;Total age;149;2008 4th Quarter;1255;1220
5423;Total male and female, including unknown;Total age;149;2008;3960;3840
5424;Total male and female, including unknown;Total age;149;2009 January;465;455
5425;Total male and female, including unknown;Total age;149;2009 February;390;385
5426;Total male and female, including unknown;Total age;149;2009 March;575;570
5427;Total male and female, including unknown;Total age;149;2009 1st Quarter;1435;1410
5428;Total male and female, including unknown;Total age;149;2009 April;640;625
5429;Total male and female, including unknown;Total age;149;2009 May;475;465
5430;Total male and female, including unknown;Total age;149;2009 June;580;565
5431;Total male and female, including unknown;Total age;149;2009 2nd Quarter;1695;1660
5432;Total male and female, including unknown;Total age;149;2009 July;555;545
5433;Total male and female, including unknown;Total age;149;2009 August;475;455
5434;Total male and female, including unknown;Total age;149;2009 September;585;575
5435;Total male and female, including unknown;Total age;149;2009 3rd Quarter;1610;1580
5436;Total male and female, including unknown;Total age;149;2009 October;650;640
5437;Total male and female, including unknown;Total age;149;2009 November;365;340
5438;Total male and female, including unknown;Total age;149;2009 December;275;260
5439;Total male and female, including unknown;Total age;149;2009 4th Quarter;1285;1240
5440;Total male and female, including unknown;Total age;149;2009;6025;5890
5441;Total male and female, including unknown;Total age;149;2010 January;220;200
5442;Total male and female, including unknown;Total age;149;2010 February;200;180
5443;Total male and female, including unknown;Total age;149;2010 March;325;295
5444;Total male and female, including unknown;Total age;149;2010 1st Quarter;740;675
5445;Total male and female, including unknown;Total age;149;2010 April;255;215
5446;Total male and female, including unknown;Total age;149;2010 May;200;170
5447;Total male and female, including unknown;Total age;149;2010 June;305;260
5448;Total male and female, including unknown;Total age;149;2010 2nd Quarter;760;640
5449;Total male and female, including unknown;Total age;149;2010 July;225;220
5450;Total male and female, including unknown;Total age;149;2010 August;380;365
5451;Total male and female, including unknown;Total age;149;2010 September;375;345
5452;Total male and female, including unknown;Total age;149;2010 3rd Quarter;980;935
5453;Total male and female, including unknown;Total age;149;2010 October;460;440
5454;Total male and female, including unknown;Total age;149;2010 November;410;385
5455;Total male and female, including unknown;Total age;149;2010 December;320;300
5456;Total male and female, including unknown;Total age;149;2010 4th Quarter;1190;1125
5457;Total male and female, including unknown;Total age;149;2010;3670;3370
5458;Total male and female, including unknown;Total age;149;2011 January;295;255
5459;Total male and female, including unknown;Total age;149;2011 February;170;130
5460;Total male and female, including unknown;Total age;149;2011 March;175;115
5461;Total male and female, including unknown;Total age;149;2011 1st Quarter;640;500
5462;Total male and female, including unknown;Total age;149;2011 April;170;125
5463;Total male and female, including unknown;Total age;149;2011 May;265;210
5464;Total male and female, including unknown;Total age;149;2011 June;110;80
5465;Total male and female, including unknown;Total age;149;2011 2nd Quarter;545;410
5466;Total male and female, including unknown;Total age;149;2011 July;140;105
5467;Total male and female, including unknown;Total age;149;2011 August;145;95
5468;Total male and female, including unknown;Total age;149;2011 September;110;70
5469;Total male and female, including unknown;Total age;149;2011 3rd Quarter;395;265
5470;Total male and female, including unknown;Total age;149;2011 October;115;85
5471;Total male and female, including unknown;Total age;149;2011 November;135;80
5472;Total male and female, including unknown;Total age;149;2011 December;155;70
5473;Total male and female, including unknown;Total age;149;2011 4th Quarter;405;240
5474;Total male and female, including unknown;Total age;149;2011;1985;1415
5475;Total male and female, including unknown;Total age;149;2012 January;225;110
5476;Total male and female, including unknown;Total age;149;2012 February;185;95
5477;Total male and female, including unknown;Total age;149;2012 March;130;75
5478;Total male and female, including unknown;Total age;149;2012 1st Quarter;540;275
5479;Total male and female, including unknown;Total age;149;2012 April;105;65
5480;Total male and female, including unknown;Total age;149;2012 May;80;50
5481;Total male and female, including unknown;Total age;149;2012 June;100;70
5482;Total male and female, including unknown;Total age;149;2012 2nd Quarter;285;180
5483;Total male and female, including unknown;Total age;149;2012 July;85;50
5484;Total male and female, including unknown;Total age;149;2012 August;85;65
5485;Total male and female, including unknown;Total age;149;2012 September;110;70
5486;Total male and female, including unknown;Total age;149;2012 3rd Quarter;275;185
5487;Total male and female, including unknown;Total age;149;2012 October;120;70
5488;Total male and female, including unknown;Total age;149;2012 November;80;55
5489;Total male and female, including unknown;Total age;149;2012 December;125;110
5490;Total male and female, including unknown;Total age;149;2012 4th Quarter;325;235
5491;Total male and female, including unknown;Total age;149;2012;1425;880
5492;Total male and female, including unknown;Total age;149;2013 January;85;60
5493;Total male and female, including unknown;Total age;149;2013 February;85;60
5494;Total male and female, including unknown;Total age;149;2013 March;75;55
5495;Total male and female, including unknown;Total age;149;2013 1st Quarter;240;175
5496;Total male and female, including unknown;Total age;149;2013 April;65;45
5497;Total male and female, including unknown;Total age;149;2013 May;70;55
5498;Total male and female, including unknown;Total age;149;2013 June;150;120
5499;Total male and female, including unknown;Total age;149;2013 2nd Quarter;280;215
5500;Total male and female, including unknown;Total age;149;2013 July;90;65
5501;Total male and female, including unknown;Total age;149;2013 August;85;60
5502;Total male and female, including unknown;Total age;149;2013 September;105;90
5503;Total male and female, including unknown;Total age;149;2013 3rd Quarter;275;215
5504;Total male and female, including unknown;Total age;149;2013 October;120;95
5505;Total male and female, including unknown;Total age;149;2013 November;160;145
5506;Total male and female, including unknown;Total age;149;2013 December;135;115
5507;Total male and female, including unknown;Total age;149;2013 4th Quarter;415;355
5508;Total male and female, including unknown;Total age;149;2013;1215;965
5509;Total male and female, including unknown;Total age;149;2014 January;85;75
5510;Total male and female, including unknown;Total age;149;2014 February;100;90
5511;Total male and female, including unknown;Total age;149;2014 March;55;35
5512;Total male and female, including unknown;Total age;149;2014 1st Quarter;240;195
5513;Total male and female, including unknown;Total age;149;2014 April;55;35
5514;Total male and female, including unknown;Total age;149;2014 May;35;15
5515;Total male and female, including unknown;Total age;149;2014 June;30;20
5516;Total male and female, including unknown;Total age;149;2014 2nd Quarter;120;70
5517;Total male and female, including unknown;Total age;149;2014 July;40;10
5518;Total male and female, including unknown;Total age;149;2014 August;35;10
5519;Total male and female, including unknown;Total age;149;2014 September;45;20
5520;Total male and female, including unknown;Total age;149;2014 3rd Quarter;120;40
5521;Total male and female, including unknown;Total age;149;2014 October;40;10
5522;Total male and female, including unknown;Total age;149;2014 November;30;10
5523;Total male and female, including unknown;Total age;149;2014 December;40;25
5524;Total male and female, including unknown;Total age;149;2014 4th Quarter;115;45
5525;Total male and female, including unknown;Total age;149;2014;595;350
5526;Total male and female, including unknown;Total age;149;2015 January;35;20
5527;Total male and female, including unknown;Total age;149;2015 February;35;15
5528;Total male and female, including unknown;Total age;149;2015 March;35;20
5529;Total male and female, including unknown;Total age;149;2015 1st Quarter;105;55
5530;Total male and female, including unknown;Total age;149;2015 April;25;10
5531;Total male and female, including unknown;Total age;149;2015 May;35;25
5532;Total male and female, including unknown;Total age;149;2015 June;25;10
5533;Total male and female, including unknown;Total age;149;2015 2nd Quarter;85;40
5534;Total male and female, including unknown;Total age;149;2015 July;25;10
5535;Total male and female, including unknown;Total age;149;2015 August;25;20
5536;Total male and female, including unknown;Total age;149;2015 September;35;10
5537;Total male and female, including unknown;Total age;149;2015 3rd Quarter;85;40
5538;Total male and female, including unknown;Total age;149;2015 October;55;40
5539;Total male and female, including unknown;Total age;149;2015 November;65;50
5540;Total male and female, including unknown;Total age;149;2015 December;50;35
5541;Total male and female, including unknown;Total age;149;2015 4th Quarter;165;125
5542;Total male and female, including unknown;Total age;149;2015;445;265
5543;Total male and female, including unknown;Total age;149;2016 January;25;20
5544;Total male and female, including unknown;Total age;306;2007 January;10;10
5545;Total male and female, including unknown;Total age;306;2007 February;15;5
5546;Total male and female, including unknown;Total age;306;2007 March;10;10
5547;Total male and female, including unknown;Total age;306;2007 1st Quarter;35;25
5548;Total male and female, including unknown;Total age;306;2007 April;20;15
5549;Total male and female, including unknown;Total age;306;2007 May;25;15
5550;Total male and female, including unknown;Total age;306;2007 June;20;5
5551;Total male and female, including unknown;Total age;306;2007 2nd Quarter;65;35
5552;Total male and female, including unknown;Total age;306;2007 July;15;5
5553;Total male and female, including unknown;Total age;306;2007 August;10;10
5554;Total male and female, including unknown;Total age;306;2007 September;15;10
5555;Total male and female, including unknown;Total age;306;2007 3rd Quarter;35;25
5556;Total male and female, including unknown;Total age;306;2007 October;5;5
5557;Total male and female, including unknown;Total age;306;2007 November;5;5
5558;Total male and female, including unknown;Total age;306;2007 December;10;10
5559;Total male and female, including unknown;Total age;306;2007 4th Quarter;25;20
5560;Total male and female, including unknown;Total age;306;2007;160;105
5561;Total male and female, including unknown;Total age;306;2008 January;20;20
5562;Total male and female, including unknown;Total age;306;2008 February;15;15
5563;Total male and female, including unknown;Total age;306;2008 March;25;25
5564;Total male and female, including unknown;Total age;306;2008 1st Quarter;60;55
5565;Total male and female, including unknown;Total age;306;2008 April;10;10
5566;Total male and female, including unknown;Total age;306;2008 May;15;15
5567;Total male and female, including unknown;Total age;306;2008 June;15;15
5568;Total male and female, including unknown;Total age;306;2008 2nd Quarter;40;40
5569;Total male and female, including unknown;Total age;306;2008 July;15;15
5570;Total male and female, including unknown;Total age;306;2008 August;10;10
5571;Total male and female, including unknown;Total age;306;2008 September;40;40
5572;Total male and female, including unknown;Total age;306;2008 3rd Quarter;65;65
5573;Total male and female, including unknown;Total age;306;2008 October;15;15
5574;Total male and female, including unknown;Total age;306;2008 November;25;25
5575;Total male and female, including unknown;Total age;306;2008 December;20;20
5576;Total male and female, including unknown;Total age;306;2008 4th Quarter;60;55
5577;Total male and female, including unknown;Total age;306;2008;225;215
5578;Total male and female, including unknown;Total age;306;2009 January;25;25
5579;Total male and female, including unknown;Total age;306;2009 February;30;25
5580;Total male and female, including unknown;Total age;306;2009 March;20;20
5581;Total male and female, including unknown;Total age;306;2009 1st Quarter;75;65
5582;Total male and female, including unknown;Total age;306;2009 April;10;10
5583;Total male and female, including unknown;Total age;306;2009 May;15;10
5584;Total male and female, including unknown;Total age;306;2009 June;10;10
5585;Total male and female, including unknown;Total age;306;2009 2nd Quarter;35;30
5586;Total male and female, including unknown;Total age;306;2009 July;20;20
5587;Total male and female, including unknown;Total age;306;2009 August;5;5
5588;Total male and female, including unknown;Total age;306;2009 September;10;10
5589;Total male and female, including unknown;Total age;306;2009 3rd Quarter;35;35
5590;Total male and female, including unknown;Total age;306;2009 October;25;20
5591;Total male and female, including unknown;Total age;306;2009 November;25;25
5592;Total male and female, including unknown;Total age;306;2009 December;20;20
5593;Total male and female, including unknown;Total age;306;2009 4th Quarter;75;60
5594;Total male and female, including unknown;Total age;306;2009;220;195
5595;Total male and female, including unknown;Total age;306;2010 January;25;25
