ID;WijkenEnGemeenten;BewoondeHuizen_1;OnbewoondeWoonhuizen_2;WoonhuizenInAanbouw_3;OverigeOnbewoondeGebouwen_4;PermanentAanwezig_5;TijdelijkAanwezig_6;PermanentAanwezig_7;TijdelijkAanwezig_8;Mannen_9;Vrouwen_10;TotaleBevolking_11;Mannen_12;Vrouwen_13;Pagina_14
4699;B, Totaal;876;7;2;79;0;0;0;0;2604;2241;4845;38;33;GE011
4700;B, B, Esveld, Huizen;151;1;0;16;0;0;0;0;422;373;795;7;9;GE011
4701;B, B, Kallenbroek, Huizen;106;0;0;6;0;0;0;0;306;257;563;7;2;GE011
4702;B, B, Glind, Huizen;138;3;1;10;0;0;0;0;379;352;731;2;6;GE011
4703;B, B, Voorthuizen, Huizen;39;1;0;3;0;0;0;0;74;81;155;1;0;GE011
4704;B, V, Zeumeren, Huizen;46;0;0;3;0;0;0;0;133;121;254;4;3;GE011
4705;B, V, Harselaar, Huizen;70;0;1;3;0;0;0;0;210;176;386;3;2;GE011
4706;B, V, Zwartebroek, Huizen;141;1;0;3;0;0;0;0;449;345;794;3;4;GE011
4707;B, G, Stroe, Huizen;31;0;0;9;0;0;0;0;123;105;228;3;3;GE011
4708;B, G, Garderbroek, Huizen;60;0;0;9;0;0;0;0;196;171;367;3;1;GE011
4709;B, G, Essen, Huizen;45;0;0;11;0;0;0;0;144;123;267;3;1;GE011
4710;B, G, Kootwijkerbroek, Huizen;49;1;0;6;0;0;0;0;168;137;305;2;2;GE011
4711;K, Totaal;608;21;4;41;0;0;0;0;1453;1548;3001;69;58;GE011
4712;K, Barneveld, Westerveldsstichting;1;0;0;0;0;0;0;0;5;7;12;0;0;GE011
4713;K, Barneveld, Gods- tevens Proveniers...;1;0;0;0;0;0;0;0;15;17;32;0;0;GE011
4714;K, Barneveld, Overige huizen;399;10;2;15;0;0;0;0;927;1013;1940;64;48;GE011
4715;K, Voorthuizen, Huizen;122;8;0;11;0;0;0;0;280;315;595;4;7;GE011
4716;K, Garderen, Huizen;65;2;0;8;0;0;0;0;165;144;309;1;2;GE011
4717;K, G, Kootwijk, Huizen;20;1;2;7;0;0;0;0;61;52;113;0;1;GE011
4718;Algemeen totaal;119;6;0;8;0;0;0;0;281;291;572;10;6;GE011
4719;B, Totaal;39;0;0;0;0;0;0;0;101;80;181;2;0;GE011
4720;B, Lienden, Huizen;14;0;0;0;0;0;0;0;31;27;58;0;0;GE011
4721;B, De Hoef, Huizen;5;0;0;0;0;0;0;0;21;17;38;2;0;GE011
4722;B, Den Ham, Huizen;11;0;0;0;0;0;0;0;22;18;40;0;0;GE011
4723;B, De Laak, Huizen;9;0;0;0;0;0;0;0;27;18;45;0;0;GE011
4724;K, Totaal;80;6;0;8;0;0;0;0;180;211;391;8;6;GE011
4725;K, Dorp, Huizen;80;6;0;8;0;0;0;0;180;211;391;8;6;GE011
4726;Algemeen totaal;519;25;0;33;0;3;0;1;1242;1160;2402;48;47;GE012
4727;B, Totaal;74;2;0;4;0;2;0;0;220;190;410;13;8;GE012
4728;B, A, dorp Acquoy, Huizen;17;0;0;1;0;0;0;0;55;42;97;4;1;GE012
4729;B, B, dorp Beesd, Huizen;21;0;0;1;0;0;0;0;65;52;117;1;0;GE012
4730;B, R, dorp Rhenoy, Huizen;16;1;0;0;0;0;0;0;46;42;88;1;0;GE012
4731;B, M, gehucht Marienwaerd, Huizen;20;1;0;2;0;0;0;0;54;54;108;4;4;GE012
4732;B, M, geh. Marienwaerd, Tijd. aanw. sch.;0;0;0;0;0;2;0;0;0;0;0;3;3;GE012
4733;K, Totaal;445;23;0;29;0;1;0;1;1022;970;1992;35;39;GE012
4734;K, A, dorp Acquoy, Huizen;81;6;0;7;0;0;0;0;176;175;351;4;8;GE012
4735;K, B, dorp Beesd, Huizen;297;16;0;16;0;0;0;0;689;636;1325;24;20;GE012
4736;K, B, dorp Beesd, Tijd. aanw. sch.;0;0;0;0;0;1;0;0;0;0;0;1;5;GE012
4737;K, B, dorp Beesd, Tijd. aanw. woonw.;0;0;0;0;0;0;0;1;0;0;0;4;4;GE012
4738;K, R, dorp Rhenoy, Huizen;67;1;0;6;0;0;0;0;157;159;316;2;2;GE012
4739;Algemeen totaal;801;24;0;58;41;0;0;0;3012;2741;5753;71;53;GE013
4740;B, Totaal;537;13;0;25;41;0;0;0;2116;1832;3948;51;36;GE013
4741;B, A, Bemmel, Huizen;157;8;0;10;0;0;0;0;579;538;1117;9;11;GE012
4742;B, A, Bemmel, Schepen;0;0;0;0;9;0;0;0;20;17;37;0;0;GE012
4743;B, B, Ressen, Huizen;41;0;0;0;0;0;0;0;155;119;274;2;3;GE012
4744;B, C, Angeren, Huizen;129;1;0;3;0;0;0;0;498;394;892;5;9;GE012
4745;B, C, Angeren, Schepen;0;0;0;0;1;0;0;0;4;4;8;0;0;GE012
4746;B, D, Doornenburg, Klooster;1;0;0;0;0;0;0;0;0;8;8;0;0;GE012
4747;B, D, Doornenburg, Huizen;208;4;0;12;0;0;0;0;764;662;1426;9;13;GE012
4748;B, D, Doornenburg, Schepen;0;0;0;0;31;0;0;0;96;90;186;0;0;GE013
4749;B, D, Doornenburg, Fort Pannerden;1;0;0;0;0;0;0;0;0;0;0;26;0;GE013
4750;K, Totaal;264;11;0;33;0;0;0;0;890;907;1797;20;17;GE012
4751;K, A, Bemmel, Franciscanessenklooster;1;0;0;0;0;0;0;0;0;42;42;0;0;GE012
4752;K, A, Bemmel, Overige huizen;187;6;0;14;0;0;0;0;648;612;1260;14;12;GE012
4753;K, B, Ressen, Huizen;15;0;0;2;0;0;0;0;41;59;100;1;0;GE012
4754;K, C, Angeren, Huizen;44;4;0;8;0;0;0;0;146;137;283;4;4;GE012
4755;K, D, Doornenburg, Huizen;17;1;0;9;0;0;0;0;55;57;112;1;1;GE012
4756;Onbekend;0;0;0;0;0;0;0;0;6;2;8;0;0;GE013
4757;Algemeen totaal;1211;26;2;73;0;0;0;0;3556;3304;6860;71;58;GE013
4758;B, Totaal;845;18;2;28;0;0;0;0;2490;2268;4758;47;38;GE013
4759;B, 's-Heerenberg, Huizen;65;3;0;1;0;0;0;0;181;165;346;0;2;GE013
4760;B, Stokkum, Huizen;92;0;0;5;0;0;0;0;289;237;526;2;6;GE013
4761;B, Lengel, Huizen;70;0;0;1;0;0;0;0;211;188;399;1;0;GE013
4762;B, Beek, Huizen;110;1;1;4;0;0;0;0;343;333;676;13;3;GE013
4763;B, Loerbeek, Huizen;42;1;1;1;0;0;0;0;116;108;224;4;1;GE013
4764;B, Zeddam, Huizen;19;1;0;1;0;0;0;0;37;38;75;0;1;GE013
4765;B, Vinkwijk, St. Josepgesticht;1;0;0;0;0;0;0;0;0;8;8;0;0;GE013
4766;B, Vinkwijk, Overige huizen;35;0;0;3;0;0;0;0;111;89;200;7;4;GE013
4767;B, Velthuizen, Huizen;22;0;0;0;0;0;0;0;75;71;146;0;1;GE013
4768;B, Braamt, Huizen;88;1;0;1;0;0;0;0;255;220;475;4;5;GE013
4769;B, Kilder, Huizen;128;6;0;3;0;0;0;0;389;337;726;5;7;GE013
4770;B, Wijnbergen, Huizen;81;2;0;3;0;0;0;0;219;218;437;2;1;GE013
4771;B, Groot Azewijn, Huizen;75;3;0;5;0;0;0;0;208;215;423;9;6;GE013
4772;B, Klein Azewijn, Huizen;17;0;0;0;0;0;0;0;56;41;97;0;1;GE013
4773;K, Totaal;366;8;0;45;0;0;0;0;1064;1033;2097;24;20;GE013
4774;K, 's-Heerenberg, St. Geertrudis Gasth.;1;0;0;0;0;0;0;0;8;11;19;0;0;GE013
4775;K, 's-Heerenberg, Kazerne Kon. Mar.;1;0;0;0;0;0;0;0;6;1;7;0;0;GE013
4776;K, 's-Heerenberg, Francisc. Kl.;1;0;0;0;0;0;0;0;0;8;8;0;0;GE013
4777;K, 's-Heerenberg, Overige huizen;284;8;0;38;0;0;0;0;826;785;1611;14;13;GE013
4778;K, Zeddam, Huizen;79;0;0;7;0;0;0;0;224;228;452;10;7;GE013
4779;Onbekend;0;0;0;0;0;0;0;0;2;3;5;0;0;GE013
4780;Algemeen totaal;313;4;0;7;0;0;0;0;796;719;1515;17;14;GE014
4781;B, Totaal;281;2;0;1;0;0;0;0;731;641;1372;12;14;GE014
4782;B, A, dorp Bergharen, Huizen;160;0;0;0;0;0;0;0;392;337;729;8;7;GE014
4783;B, B, dorp Hernen, Huizen;76;0;0;0;0;0;0;0;214;199;413;0;4;GE014
4784;B, C, dorp Leur, Huizen;45;2;0;1;0;0;0;0;125;105;230;4;3;GE014
4785;K, Totaal;32;2;0;6;0;0;0;0;65;78;143;5;0;GE014
4786;K, A, dorp Bergharen, Huizen;16;0;0;4;0;0;0;0;36;44;80;3;0;GE014
4787;K, B, dorp Hernen, Huizen;16;2;0;2;0;0;0;0;29;34;63;2;0;GE014
4788;Algemeen totaal;469;7;0;16;3;0;0;0;1236;1100;2236;21;17;GE014
4789;K, Totaal;469;7;0;16;3;0;0;0;1235;1100;2335;21;17;GE014
4790;K, Beuningen, Liefdegesticht;1;0;0;0;0;0;0;0;0;7;7;0;0;GE014
4791;K, Beuningen, Overige huizen;283;4;0;10;0;0;0;0;726;663;1389;11;7;GE014
4792;K, Beuningen, Schepen;0;0;0;0;3;0;0;0;7;5;12;0;0;GE014
4793;K, Weurt, Huizen;185;3;0;6;0;0;0;0;502;425;927;10;10;GE014
4794;Onbekend;0;0;0;0;0;0;0;0;1;0;1;0;0;GE014
4795;Algemeen totaal;334;7;0;7;6;0;0;0;924;799;1723;35;32;GE014
4796;B, Totaal;186;3;0;2;6;0;0;0;530;442;972;12;13;GE014
4797;B, Beusichem, Huizen;106;0;0;1;0;0;0;0;307;245;552;8;6;GE014
4798;B, Beusichem, Schepen;0;0;0;0;6;0;0;0;17;12;29;0;0;GE014
4799;B, Zoelmond, Huizen;80;3;0;1;0;0;0;0;206;185;391;4;7;GE014
4800;K, Totaal;148;4;0;5;0;0;0;0;394;357;751;23;19;GE014
4801;K, Dorp Beusichem, Huizen;94;2;0;3;0;0;0;0;272;242;514;11;9;GE014
4802;K, Dorp Zoelmond, Huizen;54;2;0;2;0;0;0;0;122;115;237;12;10;GE014
4803;Algemeen totaal;753;13;3;98;0;0;0;2;2163;1997;4160;97;65;GE015
4804;B, Totaal;440;5;2;7;0;0;0;2;1234;1083;2317;24;15;GE015
4805;B, D, Buurts. Schependom, Het Leo-Gest.;2;0;0;1;0;0;0;0;86;1;87;0;0;GE015
4806;B, C, Stad Borculo, Huizen;1;0;0;0;0;0;0;0;2;2;4;0;1;GE015
4807;B, D, Buurtsch. Schependom, Huizen;67;0;1;0;0;0;0;0;156;174;330;6;4;GE015
4808;B, E, Dorp Geesteren, Huizen;12;0;0;0;0;0;0;0;18;15;33;0;0;GE015
4809;B, F, Buurtsch. Lemperhoek, Huizen;84;1;1;0;0;0;0;0;210;204;414;4;2;GE015
4810;B, G, Buurtsch. Nederbiel, Huizen;23;1;0;2;0;0;0;0;64;64;128;1;0;GE015
4811;B, H, Buurtsch. Respelhoek, Huizen;24;0;0;0;0;0;0;0;80;58;138;1;0;GE015
4812;B, I, Buurtsch. Kulsdom, Huizen;25;0;0;0;0;0;0;0;65;62;127;0;2;GE015
4813;B, K, Buurtsch. Overbiel, Huizen;20;1;0;0;0;0;0;0;64;62;126;2;0;GE015
4814;B, L, Buurtsch. Heure, Huizen;21;1;0;0;0;0;0;0;68;58;126;0;0;GE015
4815;B, M, Buurtsch. Haarlo, Huizen;71;0;0;3;0;0;0;0;185;172;357;4;0;GE015
4816;B, N, Dorp Gelselaar, Huizen;15;0;0;1;0;0;0;0;45;41;86;1;1;GE015
4817;B, O, Buurtsch. Omtrek Gelselaar, Huizen;75;1;0;0;0;0;0;0;191;170;361;2;1;GE015
4818;B, D, Buurts. Schependom, Td. aw. woonw.;0;0;0;0;0;0;0;2;0;0;0;3;4;GE015
4819;K, Totaal;313;8;1;91;0;0;0;0;927;912;1839;73;50;GE015
4820;K, A, Stad Borculo, Huizen;65;3;0;4;0;0;0;0;185;205;390;22;15;GE015
4821;K, B, Stad Borculo, Huizen;91;0;1;33;0;0;0;0;288;304;592;23;17;GE015
4822;K, C, Stad Borculo, Huizen;67;2;0;23;0;0;0;0;214;204;418;19;9;GE015
4823;K, E, Dorp Geesteren, Huizen;65;2;0;19;0;0;0;0;173;141;314;7;6;GE015
4824;K, N, Dorp Gelselaar, Huizen;25;1;0;12;0;0;0;0;67;58;125;2;3;GE015
4825;Onbekend;0;0;0;0;0;0;0;0;2;2;4;0;0;GE015
4826;Algemeen totaal;289;3;0;19;3;0;0;0;783;677;1460;7;4;GE015
4827;B, Totaal;1;0;0;0;1;0;0;0;12;6;18;0;0;GE015
4828;B, A, Huizen;1;0;0;0;0;0;0;0;8;5;13;0;0;GE015
4829;B, A, Schepen;0;0;0;0;1;0;0;0;4;1;5;0;0;GE015
4830;K, Totaal;288;3;0;19;2;0;0;0;771;671;1442;7;4;GE015
4831;K, A, Huizen;111;3;0;13;0;0;0;0;294;274;568;4;3;GE015
4832;K, B, Huizen;177;0;0;6;0;0;0;0;473;393;866;3;1;GE015
4833;K, B, Schepen;0;0;0;0;2;0;0;0;4;4;8;0;0;GE015
4834;Algemeen totaal;1513;86;2;15;2;3;0;0;3681;3623;7304;110;113;GE016
4835;B, Totaal;1172;52;0;8;0;3;0;0;3094;2842;5936;65;85;GE016
4836;B, A, Brummen, Huizen;103;0;0;0;0;0;0;0;300;274;574;2;7;GE016
4837;B, B, Leuvenheim, Huizen;149;20;0;1;0;3;0;0;373;331;704;10;7;GE016
4838;B, B, Leuvenheim, Schepen;0;0;0;0;0;0;0;0;0;0;0;10;10;GE016
4839;B, C, Cortenoever, Huizen;45;2;0;0;0;0;0;0;127;130;257;5;7;GE016
4840;B, D, Rhienderen, Huizen;214;10;0;0;0;0;0;0;568;487;1055;10;11;GE016
4841;B, E, Oeken, Huizen;129;6;0;1;0;0;0;0;339;293;632;5;12;GE016
4842;B, F, Voorstonden, Huizen;51;6;0;0;0;0;0;0;131;134;265;4;2;GE016
4843;B, G, Tonden, Huizen;74;0;0;0;0;0;0;0;213;174;387;1;2;GE016
4844;B, H, Empe, Huizen;125;3;0;1;0;0;0;0;321;311;632;2;4;GE016
4845;B, I, Hall, Huizen;71;2;0;3;0;0;0;0;188;173;361;3;4;GE016
4846;B, K, Eerbeek, Huizen;211;3;0;2;0;0;0;0;534;535;1069;13;19;GE016
4847;K, Totaal;341;34;2;7;2;0;0;0;587;781;1368;45;28;GE016
4848;K, A, Brummen, Louise Inrichting;1;0;0;0;0;0;0;0;0;15;15;0;0;GE016
4849;K, A, Brummen, Overige huizen;314;30;2;7;2;0;0;0;540;695;1235;44;24;GE016
4850;K, A, Brummen, Schepen;0;0;0;0;0;0;0;0;5;3;8;0;0;GE016
4851;K, A, Rhienderen, Huizen;26;4;0;0;0;0;0;0;42;68;110;1;4;GE016
4852;Algemeen totaal;414;26;0;66;1;0;0;1;980;916;1896;26;32;GE016
4853;B, Totaal;128;14;0;11;1;0;0;1;337;299;636;12;15;GE016
4854;B, A, Asch, Huizen;60;0;0;1;0;0;0;0;148;125;273;4;3;GE016
4855;B, B, Buren, Huizen;13;7;0;7;0;0;0;0;42;45;87;2;5;GE016
4856;B, B, Buren, Bewoonde schepen;0;0;0;0;1;0;0;0;2;0;2;0;0;GE016
4857;B, B, Buren, Tijdel. aanw. woonw.;0;0;0;0;0;0;0;1;0;0;0;3;1;GE016
4858;B, E, Erichem, Huizen;55;7;0;3;0;0;0;0;145;129;274;3;6;GE016
4859;K, Totaal;286;12;0;55;0;0;0;0;643;617;1260;14;17;GE016
4860;K, A, Asch, Huizen;19;1;0;5;0;0;0;0;39;39;78;1;2;GE016
4861;K, B, Buren, Weeshuis Buren;1;0;0;0;0;0;0;0;4;10;14;0;0;GE016
4862;K, B, Buren, Gasthuis;1;0;0;0;0;0;0;0;3;2;5;0;0;GE016
4863;K, B, Buren, Overige huizen;225;9;0;42;0;0;0;0;506;482;988;13;14;GE016
4864;K, E, Erichem, Huizen;40;2;0;8;0;0;0;0;91;84;175;0;1;GE016
4865;Algemeen totaal;384;16;0;96;2;11;0;0;1011;881;1892;49;51;GE017
4866;B, Totaal;191;8;0;29;2;11;0;0;553;458;1011;34;32;GE017
4867;B, B, Huizen;69;0;0;10;0;0;0;0;212;163;375;7;2;GE017
4868;B, T, Huizen;122;8;0;19;0;0;0;0;339;290;629;11;6;GE017
4869;B, T, Schepen;0;0;0;0;2;0;0;0;2;5;7;0;1;GE017
4870;B, T, Tijdel. aanw. schepen;0;0;0;0;0;11;0;0;0;0;0;16;23;GE017
4871;K, Totaal;193;8;0;67;0;0;0;0;458;423;881;15;19;GE016
4872;K, B, Huizen;76;3;0;30;0;0;0;0;189;170;359;8;6;GE016
4873;K, T, Huizen;117;5;0;37;0;0;0;0;269;253;522;7;13;GE016
4874;Algemeen totaal;1571;30;28;185;15;7;0;0;4191;4089;8280;101;86;GE017
4875;B, Totaal;282;4;21;20;15;7;0;0;785;771;1556;29;26;GE017
4876;B, F, Huizen;209;2;21;9;0;0;0;0;561;531;1092;8;15;GE017
4877;"B, G, Ziekenhuis ""Barbara Gesticht""";1;0;0;0;0;0;0;0;3;18;21;0;0;GE017
4878;B, G, Overige huizen;72;2;0;11;0;0;0;0;186;191;377;5;2;GE017
4879;B, G, Bewoonde schepen;0;0;0;0;15;0;0;0;32;29;61;0;1;GE017
4880;B, G, Tijdel. aanw. schepen;0;0;0;0;0;7;0;0;0;0;0;16;8;GE017
4881;B, Personen zonder woning;0;0;0;0;0;0;0;0;3;2;5;0;0;GE017
4882;K, Totaal;1289;26;7;165;0;0;0;0;3404;3318;6722;72;60;GE017
4883;"K, A, R.K. pensionaat ""Maria Kroon""";1;0;0;0;0;0;0;0;0;164;164;0;0;GE017
4884;K, A, Aartsbissch. Sem. van Utrecht;1;0;0;0;0;0;0;0;258;0;258;0;0;GE017
4885;K, A, Overige huizen;198;7;4;59;0;0;0;0;428;502;930;16;17;GE017
4886;K, B, Huizen;471;1;3;17;0;0;0;0;1151;1096;2247;14;10;GE017
4887;K, C, Elisabeths Weeshuis;1;0;0;0;0;0;0;0;17;21;38;0;1;GE017
4888;K, C, Overige huizen;275;5;0;39;0;0;0;0;650;683;1333;23;17;GE017
4889;K, D, Ziekenhuis;1;0;0;0;0;0;0;0;1;2;3;0;0;GE017
4890;K, D, Oude Mannen-en Vrouwenhuis;1;0;0;0;0;0;0;0;10;9;19;0;0;GE017
4891;K, D, Overige huizen;266;10;0;35;0;0;0;0;649;628;1277;15;12;GE017
4892;K, E, Huizen;74;3;0;15;0;0;0;0;240;213;453;4;3;GE017
4893;Onbekend;0;0;0;0;0;0;0;0;2;0;2;0;0;GE017
4894;Algemeen totaal;506;8;0;57;1;2;0;0;1247;1091;2338;41;32;GE018
4895;B, Totaal;271;6;0;23;1;0;0;0;683;564;1247;12;9;GE018
4896;B, D, Deil, Huizen;104;0;0;12;0;0;0;0;275;214;489;10;3;GE018
4897;B, P, Enspijk, Huizen;21;1;0;3;0;0;0;0;71;56;127;0;0;GE018
4898;B, R, Rumpt, Huizen;105;2;0;3;0;0;0;0;241;210;451;1;3;GE018
4899;B, R, Rumpt, Schepen;0;0;0;0;1;0;0;0;3;3;6;0;0;GE018
4900;B, G, Gellicum, Huizen;41;3;0;5;0;0;0;0;93;81;174;1;3;GE018
4901;K, Totaal;235;2;0;34;0;2;0;0;564;527;1091;29;23;GE018
4902;K, D, Deil, Huizen;102;0;0;14;0;0;0;0;288;244;532;7;6;GE018
4903;"K, D, Deil, Schip ""Jacob""";0;0;0;0;0;1;0;0;0;0;0;2;0;GE018
4904;K, E, Enspijk, Huizen;42;0;0;7;0;0;0;0;83;89;172;6;5;GE018
4905;K, R, Rumpt, Huizen;62;1;0;9;0;0;0;0;128;144;272;7;7;GE018
4906;K, G, Gellicum, Huizen;29;1;0;4;0;0;0;0;65;50;115;2;1;GE018
4907;"K, G, Gellicum, Schip ""Eben Haezer""";0;0;0;0;0;1;0;0;0;0;0;5;4;GE018
4908;Algemeen totaal;706;7;0;7;0;0;0;0;2171;1992;4163;25;32;GE018
4909;B, Totaal;545;3;0;0;0;0;0;0;1721;1495;3216;15;20;GE018
4910;B, A, Dorp, Huizen;25;0;0;0;0;0;0;0;86;71;157;1;0;GE018
4911;B, B, Buurtsch. Dijk, Huizen;157;1;0;0;0;0;0;0;486;441;927;3;5;GE018
4912;B, C, Buurtsch. Greffelkamp, Huizen;102;0;0;0;0;0;0;0;326;283;609;3;4;GE018
4913;B, D, Buurtsch. Loil, Huizen;125;2;0;0;0;0;0;0;362;337;699;5;8;GE018
4914;B, E, Buurtsch. Holthuizen, Huizen;136;0;0;0;0;0;0;0;461;363;824;3;3;GE018
4915;K, Totaal;161;4;0;7;0;0;0;0;450;497;947;10;12;GE018
4916;K, A, R.K. Piusgesticht;1;0;0;0;0;0;0;0;0;11;11;0;0;GE018
4917;K, A, Dorp, St. Albertusgesticht;1;0;0;0;0;0;0;0;9;13;22;3;1;GE018
4918;K, A, Dorp, Overige huizen;148;3;0;7;0;0;0;0;414;450;864;7;11;GE018
4919;K, C, Buurts. Greffelkamp, Huizen;11;1;0;0;0;0;0;0;27;23;50;0;0;GE018
4920;Algemeen totaal;497;8;0;30;0;0;0;0;1353;1274;2627;23;12;GE019
4921;B, Totaal;20;0;0;0;0;0;0;0;56;51;107;0;0;GE019
4922;B, A, het Dorp, Huizen;20;0;0;0;0;0;0;0;56;51;107;0;0;GE019
4923;K, Totaal;477;8;0;30;0;0;0;0;1297;1223;2520;23;12;GE018
4924;K, A, het Dorp, Huizen;183;6;0;24;0;0;0;0;474;479;953;17;7;GE018
4925;K, B, het Beggelder, Huizen;53;1;0;1;0;0;0;0;164;136;300;1;2;GE018
4926;K, C, de Heurne, Huizen;241;1;0;5;0;0;0;0;659;608;1267;5;3;GE018
4927;Algemeen totaal;369;9;0;15;4;2;0;0;1055;872;1927;30;42;GE019
4928;G, Totaal;369;9;0;15;4;2;0;0;1055;871;1926;30;42;GE019
4929;G, A, dorp Dodewaard, Huizen;207;4;0;5;0;0;0;0;573;455;1028;15;27;GE019
4930;G, B, dorp Hien, Huizen;162;5;0;10;0;0;0;0;465;407;872;11;11;GE019
4931;G, B, dorp Hien, Bewoonde schepen;0;0;0;0;4;0;0;0;17;9;26;0;0;GE019
4932;G, B, dorp Hien, Tijdel. aanw. schepen;0;0;0;0;0;2;0;0;0;0;0;4;4;GE019
4933;Onbekend;0;0;0;0;0;0;0;0;0;1;1;0;0;GE019
4934;Algemeen totaal;906;60;0;194;21;24;4;0;2093;2349;4442;201;125;GE019
4935;G, A, Weduwenhuis;1;0;0;0;0;0;0;0;0;7;7;0;0;GE019
4936;G, A, Overige huizen;194;10;0;44;0;0;0;0;401;505;906;36;22;GE019
4937;G, B, Huizen;289;20;0;57;0;0;0;0;655;654;1309;22;11;GE019
4938;G, C, Mauritskazerne;1;0;0;0;0;0;0;0;65;4;69;37;0;GE019
4939;G, C, R.K. Gest. gen. Kl. oude vrouwen;1;0;0;0;0;0;0;0;0;20;20;0;0;GE019
4940;G, C, R.K. Meisjesschool;1;0;0;0;0;0;0;0;0;9;9;0;0;GE019
4941;G, C, R.K. Wijkverpleging;1;0;0;0;0;0;0;0;1;3;4;0;0;GE019
4942;G, C, Overige huizen;224;17;0;53;0;0;0;0;507;577;1084;25;20;GE019
4943;G, D, Meisjeskostschool Mej. Spit;1;0;0;0;0;0;0;0;0;15;15;0;0;GE019
4944;G, D, Overige huizen;193;13;0;40;0;0;0;0;408;505;913;23;17;GE019
4945;G, D, Bewoonde schepen;0;0;0;0;21;0;0;0;47;42;89;0;0;GE019
4946;G, D, Bewoonde wagens;0;0;0;0;0;0;4;0;9;8;17;0;0;GE019
4947;G, D, Tijdel. aanw. schepen;0;0;0;0;0;24;0;0;0;0;0;58;55;GE019
4948;Algemeen totaal;613;8;1;21;0;0;0;0;1755;1657;3412;15;13;GE021
4949;B, Totaal;382;5;0;9;0;0;0;0;1091;1045;2136;4;6;GE021
4950;B, A, Hooge Bijssel, Huizen;5;0;0;0;0;0;0;0;11;11;22;0;0;GE021
4951;B, B, Lage Bijssel, Huizen;20;0;0;0;0;0;0;0;65;42;107;0;0;GE021
4952;B, C, Horst, Huizen;12;0;0;0;0;0;0;0;25;36;61;0;0;GE021
4953;B, D, Werfhorst, Huizen;28;1;0;0;0;0;0;0;71;69;140;1;0;GE021
4954;B, E, Heusbeek, Huizen;75;0;0;1;0;0;0;0;230;197;427;0;1;GE021
4955;B, F, Wessingen, Huizen;71;0;0;1;0;0;0;0;199;216;415;0;1;GE021
4956;B, G, Aperloo, Huizen;72;1;0;4;0;0;0;0;209;211;420;3;3;GE021
4957;B, H, Oostendorp, Huizen;43;2;0;1;0;0;0;0;122;118;240;0;1;GE021
4958;B, I, Zuiderrot, Huizen;10;0;0;0;0;0;0;0;16;24;40;0;0;GE021
4959;B, J, Hoogerot, Huizen;41;1;0;1;0;0;0;0;128;104;232;0;0;GE021
4960;B, K, Noorderrot, Huizen;5;0;0;1;0;0;0;0;15;17;32;0;0;GE021
4961;K, Totaal;231;3;1;12;0;0;0;0;664;612;1276;11;7;GE020
4962;K, D, Werfhorst, Huizen;48;1;1;3;0;0;0;0;122;114;236;2;2;GE020
4963;K, E, Heusbeek, Huizen;28;0;0;2;0;0;0;0;88;78;166;1;2;GE020
4964;K, H, Oostendorp, Huizen;61;2;0;3;0;0;0;0;167;161;328;3;1;GE020
4965;K, I, Zuiderrot, Huizen;71;0;0;2;0;0;0;0;199;191;390;4;1;GE020
4966;K, K, Noorderrot, Huizen;23;0;0;2;0;0;0;0;88;68;156;1;1;GE020
4967;Algemeen totaal;421;13;0;30;0;17;0;0;1164;1024;2188;11;13;GE022
4968;G, Totaal;421;13;0;30;0;17;0;0;1164;1023;2187;11;13;GE022
4969;G, Waalbandijk, Huizen;114;4;0;8;0;0;0;0;309;270;579;1;4;GE021
4970;G, Waalbandijk, Schepen;0;0;0;0;0;17;0;0;36;33;69;0;0;GE021
4971;G, de Kop, Huizen;13;2;0;0;0;0;0;0;36;31;67;0;0;GE021
4972;G, Bandijk, Huizen;38;2;0;0;0;0;0;0;108;85;193;1;1;GE021
4973;G, Oudendijk, Huizen;10;1;0;2;0;0;0;0;24;30;54;0;0;GE021
4974;G, Boezemkade, Huizen;23;1;0;1;0;0;0;0;62;43;105;0;1;GE021
4975;G, Oude Maasdijk, Huizen;48;2;0;3;0;0;0;0;128;121;249;0;2;GE021
4976;G, Rooysche straat, Huizen;33;0;0;8;0;0;0;0;75;93;168;3;2;GE021
4977;G, Hooge weg, Huizen;11;1;0;1;0;0;0;0;31;26;57;0;0;GE021
4978;G, Dorp, Huizen;56;0;0;3;0;0;0;0;150;131;281;2;3;GE021
4979;G, Velgert, Huizen;21;0;0;0;0;0;0;0;72;41;113;2;0;GE021
4980;G, Molen en Achterstraat, Huizen;32;0;0;2;0;0;0;0;73;66;139;2;0;GE022
4981;G, Lage weg, Huizen;22;0;0;2;0;0;0;0;60;53;113;0;0;GE022
4982;Onbekend;0;0;0;0;0;0;0;0;0;1;1;0;0;GE022
4983;Algemeen totaal;653;15;1;19;37;0;0;0;2337;2222;4559;34;30;GE023
4984;B, Totaal;269;5;0;0;0;0;0;0;605;508;1113;6;7;GE023
4985;B, A, dorp Deest, Huizen;53;0;0;0;0;0;0;0;140;111;251;0;1;GE023
4986;B, B, dorp Afferden, Huizen;66;2;0;0;0;0;0;0;147;127;274;5;2;GE023
4987;B, C, dorp Druten, Huizen;80;1;0;0;0;0;0;0;196;183;379;0;2;GE023
