ID;StarRating;Regions;Periods;BusinessRelatedOvernightStays_1
1200;3 star accommodations;Nederland;2022 3rd quarter;1090
1201;3 star accommodations;Nederland;2022 October;440
1202;3 star accommodations;Nederland;2022 November;370
1203;3 star accommodations;Nederland;2022 December;280
1204;3 star accommodations;Nederland;2022 4th quarter;1090
1205;3 star accommodations;Nederland;2022;3960
1206;3 star accommodations;Nederland;2023 January;230
1207;3 star accommodations;Nederland;2023 February;270
1208;3 star accommodations;Nederland;2023 March;330
1209;3 star accommodations;Nederland;2023 1st quarter;840
1210;3 star accommodations;Nederland;2023 April;360
1211;3 star accommodations;Nederland;2023 May;380
1212;3 star accommodations;Nederland;2023 June;360
1213;3 star accommodations;Nederland;2023 2nd quarter;1100
1214;3 star accommodations;Nederland;2023 July;320
1215;3 star accommodations;Nederland;2023 August;310
1216;3 star accommodations;Nederland;2023 September;350
1217;3 star accommodations;Nederland;2023 3rd quarter;980
1218;3 star accommodations;Nederland;2023 October;350
1219;3 star accommodations;Nederland;2023 November;320
1220;3 star accommodations;Nederland;2023 December;230
1221;3 star accommodations;Nederland;2023 4th quarter;900
1222;3 star accommodations;Nederland;2023;3820
1223;3 star accommodations;Nederland;2024 January;290
1224;3 star accommodations;Nederland;2024 February;290
1225;3 star accommodations;Nederland;2024 March;370
1226;3 star accommodations;Nederland;2024 1st quarter;950
1227;3 star accommodations;Nederland;2024 April;370
1228;3 star accommodations;Nederland;2024 May;420
1229;3 star accommodations;Nederland;2024 June;410
1230;3 star accommodations;Nederland;2024 2nd quarter;1200
1231;3 star accommodations;Nederland;2024 July;340
1232;3 star accommodations;Nederland;2024 August;360
1233;3 star accommodations;Nederland;2024 September;420
1234;3 star accommodations;Nederland;2024 3rd quarter;1140
1235;3 star accommodations;Nederland;2024 October;380
1236;3 star accommodations;Nederland;2024 November;400
1237;3 star accommodations;Nederland;2024 December;280
1238;3 star accommodations;Nederland;2024 4th quarter;1060
1239;3 star accommodations;Nederland;2024;4350
1240;3 star accommodations;Nederland;2025 January;270
1241;3 star accommodations;Nederland;2025 February;270
1242;3 star accommodations;Amsterdam;2017 January;90
1243;3 star accommodations;Amsterdam;2017 February;100
1244;3 star accommodations;Amsterdam;2017 March;90
1245;3 star accommodations;Amsterdam;2017 1st quarter;280
1246;3 star accommodations;Amsterdam;2017 April;110
1247;3 star accommodations;Amsterdam;2017 May;100
1248;3 star accommodations;Amsterdam;2017 June;120
1249;3 star accommodations;Amsterdam;2017 2nd quarter;330
1250;3 star accommodations;Amsterdam;2017 July;120
1251;3 star accommodations;Amsterdam;2017 August;130
1252;3 star accommodations;Amsterdam;2017 September;140
1253;3 star accommodations;Amsterdam;2017 3rd quarter;390
1254;3 star accommodations;Amsterdam;2017 October;130
1255;3 star accommodations;Amsterdam;2017 November;110
1256;3 star accommodations;Amsterdam;2017 December;100
1257;3 star accommodations;Amsterdam;2017 4th quarter;330
1258;3 star accommodations;Amsterdam;2017;1340
1259;3 star accommodations;Amsterdam;2018 January;110
1260;3 star accommodations;Amsterdam;2018 February;100
1261;3 star accommodations;Amsterdam;2018 March;110
1262;3 star accommodations;Amsterdam;2018 1st quarter;320
1263;3 star accommodations;Amsterdam;2018 April;120
1264;3 star accommodations;Amsterdam;2018 May;140
1265;3 star accommodations;Amsterdam;2018 June;130
1266;3 star accommodations;Amsterdam;2018 2nd quarter;390
1267;3 star accommodations;Amsterdam;2018 July;140
1268;3 star accommodations;Amsterdam;2018 August;140
1269;3 star accommodations;Amsterdam;2018 September;150
1270;3 star accommodations;Amsterdam;2018 3rd quarter;430
1271;3 star accommodations;Amsterdam;2018 October;130
1272;3 star accommodations;Amsterdam;2018 November;100
1273;3 star accommodations;Amsterdam;2018 December;100
1274;3 star accommodations;Amsterdam;2018 4th quarter;340
1275;3 star accommodations;Amsterdam;2018;1470
1276;3 star accommodations;Amsterdam;2019 January;130
1277;3 star accommodations;Amsterdam;2019 February;120
1278;3 star accommodations;Amsterdam;2019 March;140
1279;3 star accommodations;Amsterdam;2019 1st quarter;380
1280;3 star accommodations;Amsterdam;2019 April;150
1281;3 star accommodations;Amsterdam;2019 May;170
1282;3 star accommodations;Amsterdam;2019 June;150
1283;3 star accommodations;Amsterdam;2019 2nd quarter;470
1284;3 star accommodations;Amsterdam;2019 July;140
1285;3 star accommodations;Amsterdam;2019 August;130
1286;3 star accommodations;Amsterdam;2019 September;160
1287;3 star accommodations;Amsterdam;2019 3rd quarter;430
1288;3 star accommodations;Amsterdam;2019 October;160
1289;3 star accommodations;Amsterdam;2019 November;140
1290;3 star accommodations;Amsterdam;2019 December;110
1291;3 star accommodations;Amsterdam;2019 4th quarter;410
1292;3 star accommodations;Amsterdam;2019;1680
1293;3 star accommodations;Amsterdam;2020 January;90
1294;3 star accommodations;Amsterdam;2020 February;100
1295;3 star accommodations;Amsterdam;2020 March;30
1296;3 star accommodations;Amsterdam;2020 1st quarter;220
1297;3 star accommodations;Amsterdam;2020 April;0
1298;3 star accommodations;Amsterdam;2020 May;0
1299;3 star accommodations;Amsterdam;2020 June;10
1300;3 star accommodations;Amsterdam;2020 2nd quarter;20
1301;3 star accommodations;Amsterdam;2020 July;20
1302;3 star accommodations;Amsterdam;2020 August;20
1303;3 star accommodations;Amsterdam;2020 September;10
1304;3 star accommodations;Amsterdam;2020 3rd quarter;60
1305;3 star accommodations;Amsterdam;2020 October;10
1306;3 star accommodations;Amsterdam;2020 November;0
1307;3 star accommodations;Amsterdam;2020 December;10
1308;3 star accommodations;Amsterdam;2020 4th quarter;20
1309;3 star accommodations;Amsterdam;2020;310
1310;3 star accommodations;Amsterdam;2021 January;10
1311;3 star accommodations;Amsterdam;2021 February;10
1312;3 star accommodations;Amsterdam;2021 March;10
1313;3 star accommodations;Amsterdam;2021 1th quarter;30
1314;3 star accommodations;Amsterdam;2021 April;10
1315;3 star accommodations;Amsterdam;2021 May;10
1316;3 star accommodations;Amsterdam;2021 June;20
1317;3 star accommodations;Amsterdam;2021 2nd quarter;40
1318;3 star accommodations;Amsterdam;2021 July;30
1319;3 star accommodations;Amsterdam;2021 August;30
1320;3 star accommodations;Amsterdam;2021 September;60
1321;3 star accommodations;Amsterdam;2021 3rd quarter;120
1322;3 star accommodations;Amsterdam;2021 October;80
1323;3 star accommodations;Amsterdam;2021 November;50
1324;3 star accommodations;Amsterdam;2021 December;20
1325;3 star accommodations;Amsterdam;2021 4th quarter;150
1326;3 star accommodations;Amsterdam;2021;340
1327;3 star accommodations;Amsterdam;2022 January;10
1328;3 star accommodations;Amsterdam;2022 February;30
1329;3 star accommodations;Amsterdam;2022 March;60
1330;3 star accommodations;Amsterdam;2022 1th quarter;100
1331;3 star accommodations;Amsterdam;2022 April;70
1332;3 star accommodations;Amsterdam;2022 May;80
1333;3 star accommodations;Amsterdam;2022 June;80
1334;3 star accommodations;Amsterdam;2022 2nd quarter;230
1335;3 star accommodations;Amsterdam;2022 July;70
1336;3 star accommodations;Amsterdam;2022 August;80
1337;3 star accommodations;Amsterdam;2022 September;80
1338;3 star accommodations;Amsterdam;2022 3rd quarter;230
1339;3 star accommodations;Amsterdam;2022 October;90
1340;3 star accommodations;Amsterdam;2022 November;80
1341;3 star accommodations;Amsterdam;2022 December;70
1342;3 star accommodations;Amsterdam;2022 4th quarter;230
1343;3 star accommodations;Amsterdam;2022;800
1344;3 star accommodations;Amsterdam;2023 January;40
1345;3 star accommodations;Amsterdam;2023 February;50
1346;3 star accommodations;Amsterdam;2023 March;60
1347;3 star accommodations;Amsterdam;2023 1st quarter;160
1348;3 star accommodations;Amsterdam;2023 April;70
1349;3 star accommodations;Amsterdam;2023 May;70
1350;3 star accommodations;Amsterdam;2023 June;70
1351;3 star accommodations;Amsterdam;2023 2nd quarter;210
1352;3 star accommodations;Amsterdam;2023 July;60
1353;3 star accommodations;Amsterdam;2023 August;60
1354;3 star accommodations;Amsterdam;2023 September;60
1355;3 star accommodations;Amsterdam;2023 3rd quarter;190
1356;3 star accommodations;Amsterdam;2023 October;60
1357;3 star accommodations;Amsterdam;2023 November;60
1358;3 star accommodations;Amsterdam;2023 December;40
1359;3 star accommodations;Amsterdam;2023 4th quarter;160
1360;3 star accommodations;Amsterdam;2023;720
1361;3 star accommodations;Amsterdam;2024 January;40
1362;3 star accommodations;Amsterdam;2024 February;50
1363;3 star accommodations;Amsterdam;2024 March;60
1364;3 star accommodations;Amsterdam;2024 1st quarter;150
1365;3 star accommodations;Amsterdam;2024 April;60
1366;3 star accommodations;Amsterdam;2024 May;70
1367;3 star accommodations;Amsterdam;2024 June;60
1368;3 star accommodations;Amsterdam;2024 2nd quarter;190
1369;3 star accommodations;Amsterdam;2024 July;70
1370;3 star accommodations;Amsterdam;2024 August;70
1371;3 star accommodations;Amsterdam;2024 September;80
1372;3 star accommodations;Amsterdam;2024 3rd quarter;220
1373;3 star accommodations;Amsterdam;2024 October;60
1374;3 star accommodations;Amsterdam;2024 November;90
1375;3 star accommodations;Amsterdam;2024 December;60
1376;3 star accommodations;Amsterdam;2024 4th quarter;210
1377;3 star accommodations;Amsterdam;2024;770
1378;3 star accommodations;Amsterdam;2025 January;50
1379;3 star accommodations;Amsterdam;2025 February;60
1380;4 star accommodations;Nederland;2017 January;740
1381;4 star accommodations;Nederland;2017 February;760
1382;4 star accommodations;Nederland;2017 March;900
1383;4 star accommodations;Nederland;2017 1st quarter;2400
1384;4 star accommodations;Nederland;2017 April;990
1385;4 star accommodations;Nederland;2017 May;1040
1386;4 star accommodations;Nederland;2017 June;1040
1387;4 star accommodations;Nederland;2017 2nd quarter;3070
1388;4 star accommodations;Nederland;2017 July;900
1389;4 star accommodations;Nederland;2017 August;890
1390;4 star accommodations;Nederland;2017 September;1040
1391;4 star accommodations;Nederland;2017 3rd quarter;2830
1392;4 star accommodations;Nederland;2017 October;1060
1393;4 star accommodations;Nederland;2017 November;930
1394;4 star accommodations;Nederland;2017 December;770
1395;4 star accommodations;Nederland;2017 4th quarter;2750
1396;4 star accommodations;Nederland;2017;11060
1397;4 star accommodations;Nederland;2018 January;830
1398;4 star accommodations;Nederland;2018 February;820
1399;4 star accommodations;Nederland;2018 March;990
1400;4 star accommodations;Nederland;2018 1st quarter;2640
1401;4 star accommodations;Nederland;2018 April;1040
1402;4 star accommodations;Nederland;2018 May;1070
1403;4 star accommodations;Nederland;2018 June;1070
1404;4 star accommodations;Nederland;2018 2nd quarter;3180
1405;4 star accommodations;Nederland;2018 July;920
1406;4 star accommodations;Nederland;2018 August;920
1407;4 star accommodations;Nederland;2018 September;1090
1408;4 star accommodations;Nederland;2018 3rd quarter;2930
1409;4 star accommodations;Nederland;2018 October;1110
1410;4 star accommodations;Nederland;2018 November;940
1411;4 star accommodations;Nederland;2018 December;740
1412;4 star accommodations;Nederland;2018 4th quarter;2790
1413;4 star accommodations;Nederland;2018;11550
1414;4 star accommodations;Nederland;2019 January;790
1415;4 star accommodations;Nederland;2019 February;810
1416;4 star accommodations;Nederland;2019 March;980
1417;4 star accommodations;Nederland;2019 1st quarter;2590
1418;4 star accommodations;Nederland;2019 April;1060
1419;4 star accommodations;Nederland;2019 May;1070
1420;4 star accommodations;Nederland;2019 June;1140
1421;4 star accommodations;Nederland;2019 2nd quarter;3270
1422;4 star accommodations;Nederland;2019 July;940
1423;4 star accommodations;Nederland;2019 August;990
1424;4 star accommodations;Nederland;2019 September;1120
1425;4 star accommodations;Nederland;2019 3rd quarter;3050
1426;4 star accommodations;Nederland;2019 October;1140
1427;4 star accommodations;Nederland;2019 November;1000
1428;4 star accommodations;Nederland;2019 December;790
1429;4 star accommodations;Nederland;2019 4th quarter;2930
1430;4 star accommodations;Nederland;2019;11840
1431;4 star accommodations;Nederland;2020 January;930
1432;4 star accommodations;Nederland;2020 February;920
1433;4 star accommodations;Nederland;2020 March;440
1434;4 star accommodations;Nederland;2020 1st quarter;2280
1435;4 star accommodations;Nederland;2020 April;110
1436;4 star accommodations;Nederland;2020 May;150
1437;4 star accommodations;Nederland;2020 June;290
1438;4 star accommodations;Nederland;2020 2nd quarter;550
1439;4 star accommodations;Nederland;2020 July;340
1440;4 star accommodations;Nederland;2020 August;390
1441;4 star accommodations;Nederland;2020 September;450
1442;4 star accommodations;Nederland;2020 3rd quarter;1180
1443;4 star accommodations;Nederland;2020 October;310
1444;4 star accommodations;Nederland;2020 November;250
1445;4 star accommodations;Nederland;2020 December;210
1446;4 star accommodations;Nederland;2020 4th quarter;770
1447;4 star accommodations;Nederland;2020;4770
1448;4 star accommodations;Nederland;2021 January;170
1449;4 star accommodations;Nederland;2021 February;200
1450;4 star accommodations;Nederland;2021 March;230
1451;4 star accommodations;Nederland;2021 1th quarter;600
1452;4 star accommodations;Nederland;2021 April;260
1453;4 star accommodations;Nederland;2021 May;390
1454;4 star accommodations;Nederland;2021 June;430
1455;4 star accommodations;Nederland;2021 2nd quarter;1090
1456;4 star accommodations;Nederland;2021 July;470
1457;4 star accommodations;Nederland;2021 August;530
1458;4 star accommodations;Nederland;2021 September;640
1459;4 star accommodations;Nederland;2021 3rd quarter;1630
1460;4 star accommodations;Nederland;2021 October;740
1461;4 star accommodations;Nederland;2021 November;580
1462;4 star accommodations;Nederland;2021 December;300
1463;4 star accommodations;Nederland;2021 4th quarter;1620
1464;4 star accommodations;Nederland;2021;4950
1465;4 star accommodations;Nederland;2022 January;290
1466;4 star accommodations;Nederland;2022 February;480
1467;4 star accommodations;Nederland;2022 March;720
1468;4 star accommodations;Nederland;2022 1th quarter;1500
1469;4 star accommodations;Nederland;2022 April;930
1470;4 star accommodations;Nederland;2022 May;1030
1471;4 star accommodations;Nederland;2022 June;1080
1472;4 star accommodations;Nederland;2022 2nd quarter;3040
1473;4 star accommodations;Nederland;2022 July;890
1474;4 star accommodations;Nederland;2022 August;860
1475;4 star accommodations;Nederland;2022 September;1110
1476;4 star accommodations;Nederland;2022 3rd quarter;2860
1477;4 star accommodations;Nederland;2022 October;1120
1478;4 star accommodations;Nederland;2022 November;970
1479;4 star accommodations;Nederland;2022 December;750
1480;4 star accommodations;Nederland;2022 4th quarter;2840
1481;4 star accommodations;Nederland;2022;10230
1482;4 star accommodations;Nederland;2023 January;740
1483;4 star accommodations;Nederland;2023 February;790
1484;4 star accommodations;Nederland;2023 March;1000
1485;4 star accommodations;Nederland;2023 1st quarter;2530
1486;4 star accommodations;Nederland;2023 April;1050
1487;4 star accommodations;Nederland;2023 May;1030
1488;4 star accommodations;Nederland;2023 June;1050
1489;4 star accommodations;Nederland;2023 2nd quarter;3130
1490;4 star accommodations;Nederland;2023 July;920
1491;4 star accommodations;Nederland;2023 August;890
1492;4 star accommodations;Nederland;2023 September;980
1493;4 star accommodations;Nederland;2023 3rd quarter;2790
1494;4 star accommodations;Nederland;2023 October;1080
1495;4 star accommodations;Nederland;2023 November;910
1496;4 star accommodations;Nederland;2023 December;730
1497;4 star accommodations;Nederland;2023 4th quarter;2720
1498;4 star accommodations;Nederland;2023;11170
1499;4 star accommodations;Nederland;2024 January;770
1500;4 star accommodations;Nederland;2024 February;780
1501;4 star accommodations;Nederland;2024 March;940
1502;4 star accommodations;Nederland;2024 1st quarter;2490
1503;4 star accommodations;Nederland;2024 April;970
1504;4 star accommodations;Nederland;2024 May;1050
1505;4 star accommodations;Nederland;2024 June;1020
1506;4 star accommodations;Nederland;2024 2nd quarter;3040
1507;4 star accommodations;Nederland;2024 July;870
1508;4 star accommodations;Nederland;2024 August;850
1509;4 star accommodations;Nederland;2024 September;1050
1510;4 star accommodations;Nederland;2024 3rd quarter;2790
1511;4 star accommodations;Nederland;2024 October;1010
1512;4 star accommodations;Nederland;2024 November;940
1513;4 star accommodations;Nederland;2024 December;750
1514;4 star accommodations;Nederland;2024 4th quarter;2690
1515;4 star accommodations;Nederland;2024;11030
1516;4 star accommodations;Nederland;2025 January;770
1517;4 star accommodations;Nederland;2025 February;750
1518;4 star accommodations;Amsterdam;2017 January;180
1519;4 star accommodations;Amsterdam;2017 February;200
1520;4 star accommodations;Amsterdam;2017 March;210
1521;4 star accommodations;Amsterdam;2017 1st quarter;590
1522;4 star accommodations;Amsterdam;2017 April;240
1523;4 star accommodations;Amsterdam;2017 May;250
1524;4 star accommodations;Amsterdam;2017 June;250
1525;4 star accommodations;Amsterdam;2017 2nd quarter;730
1526;4 star accommodations;Amsterdam;2017 July;210
1527;4 star accommodations;Amsterdam;2017 August;190
1528;4 star accommodations;Amsterdam;2017 September;230
1529;4 star accommodations;Amsterdam;2017 3rd quarter;640
1530;4 star accommodations;Amsterdam;2017 October;240
1531;4 star accommodations;Amsterdam;2017 November;220
1532;4 star accommodations;Amsterdam;2017 December;180
1533;4 star accommodations;Amsterdam;2017 4th quarter;640
1534;4 star accommodations;Amsterdam;2017;2590
1535;4 star accommodations;Amsterdam;2018 January;200
1536;4 star accommodations;Amsterdam;2018 February;200
1537;4 star accommodations;Amsterdam;2018 March;240
1538;4 star accommodations;Amsterdam;2018 1st quarter;640
1539;4 star accommodations;Amsterdam;2018 April;240
1540;4 star accommodations;Amsterdam;2018 May;240
1541;4 star accommodations;Amsterdam;2018 June;250
1542;4 star accommodations;Amsterdam;2018 2nd quarter;730
1543;4 star accommodations;Amsterdam;2018 July;220
1544;4 star accommodations;Amsterdam;2018 August;220
1545;4 star accommodations;Amsterdam;2018 September;250
1546;4 star accommodations;Amsterdam;2018 3rd quarter;690
1547;4 star accommodations;Amsterdam;2018 October;260
1548;4 star accommodations;Amsterdam;2018 November;220
1549;4 star accommodations;Amsterdam;2018 December;180
1550;4 star accommodations;Amsterdam;2018 4th quarter;650
1551;4 star accommodations;Amsterdam;2018;2710
1552;4 star accommodations;Amsterdam;2019 January;180
1553;4 star accommodations;Amsterdam;2019 February;210
1554;4 star accommodations;Amsterdam;2019 March;240
1555;4 star accommodations;Amsterdam;2019 1st quarter;630
1556;4 star accommodations;Amsterdam;2019 April;270
1557;4 star accommodations;Amsterdam;2019 May;280
1558;4 star accommodations;Amsterdam;2019 June;260
1559;4 star accommodations;Amsterdam;2019 2nd quarter;800
1560;4 star accommodations;Amsterdam;2019 July;240
1561;4 star accommodations;Amsterdam;2019 August;260
1562;4 star accommodations;Amsterdam;2019 September;260
1563;4 star accommodations;Amsterdam;2019 3rd quarter;770
1564;4 star accommodations;Amsterdam;2019 October;280
1565;4 star accommodations;Amsterdam;2019 November;230
1566;4 star accommodations;Amsterdam;2019 December;200
1567;4 star accommodations;Amsterdam;2019 4th quarter;700
1568;4 star accommodations;Amsterdam;2019;2910
1569;4 star accommodations;Amsterdam;2020 January;210
1570;4 star accommodations;Amsterdam;2020 February;210
1571;4 star accommodations;Amsterdam;2020 March;80
1572;4 star accommodations;Amsterdam;2020 1st quarter;500
1573;4 star accommodations;Amsterdam;2020 April;10
1574;4 star accommodations;Amsterdam;2020 May;10
1575;4 star accommodations;Amsterdam;2020 June;20
1576;4 star accommodations;Amsterdam;2020 2nd quarter;30
1577;4 star accommodations;Amsterdam;2020 July;40
1578;4 star accommodations;Amsterdam;2020 August;40
1579;4 star accommodations;Amsterdam;2020 September;30
1580;4 star accommodations;Amsterdam;2020 3rd quarter;120
1581;4 star accommodations;Amsterdam;2020 October;20
1582;4 star accommodations;Amsterdam;2020 November;20
1583;4 star accommodations;Amsterdam;2020 December;10
1584;4 star accommodations;Amsterdam;2020 4th quarter;50
1585;4 star accommodations;Amsterdam;2020;700
1586;4 star accommodations;Amsterdam;2021 January;10
1587;4 star accommodations;Amsterdam;2021 February;10
1588;4 star accommodations;Amsterdam;2021 March;10
1589;4 star accommodations;Amsterdam;2021 1th quarter;40
1590;4 star accommodations;Amsterdam;2021 April;10
1591;4 star accommodations;Amsterdam;2021 May;20
1592;4 star accommodations;Amsterdam;2021 June;30
1593;4 star accommodations;Amsterdam;2021 2nd quarter;70
1594;4 star accommodations;Amsterdam;2021 July;50
1595;4 star accommodations;Amsterdam;2021 August;60
1596;4 star accommodations;Amsterdam;2021 September;70
1597;4 star accommodations;Amsterdam;2021 3rd quarter;180
1598;4 star accommodations;Amsterdam;2021 October;110
1599;4 star accommodations;Amsterdam;2021 November;90
1600;4 star accommodations;Amsterdam;2021 December;30
1601;4 star accommodations;Amsterdam;2021 4th quarter;230
1602;4 star accommodations;Amsterdam;2021;510
1603;4 star accommodations;Amsterdam;2022 January;30
1604;4 star accommodations;Amsterdam;2022 February;80
1605;4 star accommodations;Amsterdam;2022 March;120
1606;4 star accommodations;Amsterdam;2022 1th quarter;230
1607;4 star accommodations;Amsterdam;2022 April;190
1608;4 star accommodations;Amsterdam;2022 May;210
1609;4 star accommodations;Amsterdam;2022 June;220
1610;4 star accommodations;Amsterdam;2022 2nd quarter;620
1611;4 star accommodations;Amsterdam;2022 July;180
1612;4 star accommodations;Amsterdam;2022 August;190
1613;4 star accommodations;Amsterdam;2022 September;230
1614;4 star accommodations;Amsterdam;2022 3rd quarter;610
1615;4 star accommodations;Amsterdam;2022 October;230
1616;4 star accommodations;Amsterdam;2022 November;190
1617;4 star accommodations;Amsterdam;2022 December;130
1618;4 star accommodations;Amsterdam;2022 4th quarter;550
1619;4 star accommodations;Amsterdam;2022;2010
1620;4 star accommodations;Amsterdam;2023 January;140
1621;4 star accommodations;Amsterdam;2023 February;140
1622;4 star accommodations;Amsterdam;2023 March;200
1623;4 star accommodations;Amsterdam;2023 1st quarter;480
1624;4 star accommodations;Amsterdam;2023 April;220
1625;4 star accommodations;Amsterdam;2023 May;180
1626;4 star accommodations;Amsterdam;2023 June;230
1627;4 star accommodations;Amsterdam;2023 2nd quarter;630
1628;4 star accommodations;Amsterdam;2023 July;240
1629;4 star accommodations;Amsterdam;2023 August;180
1630;4 star accommodations;Amsterdam;2023 September;190
1631;4 star accommodations;Amsterdam;2023 3rd quarter;610
1632;4 star accommodations;Amsterdam;2023 October;240
1633;4 star accommodations;Amsterdam;2023 November;180
1634;4 star accommodations;Amsterdam;2023 December;140
1635;4 star accommodations;Amsterdam;2023 4th quarter;570
1636;4 star accommodations;Amsterdam;2023;2290
1637;4 star accommodations;Amsterdam;2024 January;140
1638;4 star accommodations;Amsterdam;2024 February;150
1639;4 star accommodations;Amsterdam;2024 March;200
1640;4 star accommodations;Amsterdam;2024 1st quarter;490
1641;4 star accommodations;Amsterdam;2024 April;220
1642;4 star accommodations;Amsterdam;2024 May;210
1643;4 star accommodations;Amsterdam;2024 June;180
1644;4 star accommodations;Amsterdam;2024 2nd quarter;610
1645;4 star accommodations;Amsterdam;2024 July;170
1646;4 star accommodations;Amsterdam;2024 August;160
1647;4 star accommodations;Amsterdam;2024 September;220
1648;4 star accommodations;Amsterdam;2024 3rd quarter;560
1649;4 star accommodations;Amsterdam;2024 October;190
1650;4 star accommodations;Amsterdam;2024 November;170
1651;4 star accommodations;Amsterdam;2024 December;130
1652;4 star accommodations;Amsterdam;2024 4th quarter;490
1653;4 star accommodations;Amsterdam;2024;2160
1654;4 star accommodations;Amsterdam;2025 January;140
1655;4 star accommodations;Amsterdam;2025 February;150
1656;5 star accommodations;Nederland;2017 January;80
1657;5 star accommodations;Nederland;2017 February;80
1658;5 star accommodations;Nederland;2017 March;100
1659;5 star accommodations;Nederland;2017 1st quarter;260
1660;5 star accommodations;Nederland;2017 April;110
1661;5 star accommodations;Nederland;2017 May;110
1662;5 star accommodations;Nederland;2017 June;120
1663;5 star accommodations;Nederland;2017 2nd quarter;350
1664;5 star accommodations;Nederland;2017 July;90
1665;5 star accommodations;Nederland;2017 August;90
1666;5 star accommodations;Nederland;2017 September;120
1667;5 star accommodations;Nederland;2017 3rd quarter;300
1668;5 star accommodations;Nederland;2017 October;120
1669;5 star accommodations;Nederland;2017 November;110
1670;5 star accommodations;Nederland;2017 December;80
1671;5 star accommodations;Nederland;2017 4th quarter;310
1672;5 star accommodations;Nederland;2017;1210
1673;5 star accommodations;Nederland;2018 January;80
1674;5 star accommodations;Nederland;2018 February;80
1675;5 star accommodations;Nederland;2018 March;100
1676;5 star accommodations;Nederland;2018 1st quarter;270
1677;5 star accommodations;Nederland;2018 April;120
1678;5 star accommodations;Nederland;2018 May;120
1679;5 star accommodations;Nederland;2018 June;110
1680;5 star accommodations;Nederland;2018 2nd quarter;350
1681;5 star accommodations;Nederland;2018 July;100
1682;5 star accommodations;Nederland;2018 August;80
1683;5 star accommodations;Nederland;2018 September;120
1684;5 star accommodations;Nederland;2018 3rd quarter;300
1685;5 star accommodations;Nederland;2018 October;110
1686;5 star accommodations;Nederland;2018 November;100
1687;5 star accommodations;Nederland;2018 December;80
1688;5 star accommodations;Nederland;2018 4th quarter;280
1689;5 star accommodations;Nederland;2018;1190
1690;5 star accommodations;Nederland;2019 January;80
1691;5 star accommodations;Nederland;2019 February;80
1692;5 star accommodations;Nederland;2019 March;100
1693;5 star accommodations;Nederland;2019 1st quarter;260
1694;5 star accommodations;Nederland;2019 April;110
1695;5 star accommodations;Nederland;2019 May;100
1696;5 star accommodations;Nederland;2019 June;120
1697;5 star accommodations;Nederland;2019 2nd quarter;330
1698;5 star accommodations;Nederland;2019 July;100
1699;5 star accommodations;Nederland;2019 August;100
1700;5 star accommodations;Nederland;2019 September;120
1701;5 star accommodations;Nederland;2019 3rd quarter;320
1702;5 star accommodations;Nederland;2019 October;130
1703;5 star accommodations;Nederland;2019 November;110
1704;5 star accommodations;Nederland;2019 December;80
1705;5 star accommodations;Nederland;2019 4th quarter;320
1706;5 star accommodations;Nederland;2019;1220
1707;5 star accommodations;Nederland;2020 January;80
1708;5 star accommodations;Nederland;2020 February;60
1709;5 star accommodations;Nederland;2020 March;30
1710;5 star accommodations;Nederland;2020 1st quarter;170
1711;5 star accommodations;Nederland;2020 April;0
1712;5 star accommodations;Nederland;2020 May;0
1713;5 star accommodations;Nederland;2020 June;20
1714;5 star accommodations;Nederland;2020 2nd quarter;30
1715;5 star accommodations;Nederland;2020 July;10
1716;5 star accommodations;Nederland;2020 August;10
1717;5 star accommodations;Nederland;2020 September;10
1718;5 star accommodations;Nederland;2020 3rd quarter;30
1719;5 star accommodations;Nederland;2020 October;10
1720;5 star accommodations;Nederland;2020 November;0
1721;5 star accommodations;Nederland;2020 December;10
1722;5 star accommodations;Nederland;2020 4th quarter;20
1723;5 star accommodations;Nederland;2020;250
1724;5 star accommodations;Nederland;2021 January;0
1725;5 star accommodations;Nederland;2021 February;0
1726;5 star accommodations;Nederland;2021 March;0
1727;5 star accommodations;Nederland;2021 1th quarter;10
1728;5 star accommodations;Nederland;2021 April;10
1729;5 star accommodations;Nederland;2021 May;20
1730;5 star accommodations;Nederland;2021 June;20
1731;5 star accommodations;Nederland;2021 2nd quarter;50
1732;5 star accommodations;Nederland;2021 July;30
1733;5 star accommodations;Nederland;2021 August;40
1734;5 star accommodations;Nederland;2021 September;40
1735;5 star accommodations;Nederland;2021 3rd quarter;110
1736;5 star accommodations;Nederland;2021 October;50
1737;5 star accommodations;Nederland;2021 November;40
1738;5 star accommodations;Nederland;2021 December;20
1739;5 star accommodations;Nederland;2021 4th quarter;110
1740;5 star accommodations;Nederland;2021;280
1741;5 star accommodations;Nederland;2022 January;20
1742;5 star accommodations;Nederland;2022 February;20
1743;5 star accommodations;Nederland;2022 March;60
1744;5 star accommodations;Nederland;2022 1th quarter;100
1745;5 star accommodations;Nederland;2022 April;80
1746;5 star accommodations;Nederland;2022 May;90
1747;5 star accommodations;Nederland;2022 June;100
1748;5 star accommodations;Nederland;2022 2nd quarter;270
1749;5 star accommodations;Nederland;2022 July;80
1750;5 star accommodations;Nederland;2022 August;70
1751;5 star accommodations;Nederland;2022 September;100
1752;5 star accommodations;Nederland;2022 3rd quarter;250
1753;5 star accommodations;Nederland;2022 October;90
1754;5 star accommodations;Nederland;2022 November;80
1755;5 star accommodations;Nederland;2022 December;60
