ID;GoodsAndServices;Periods;VolumeChanges_1;VolumeChangesShoppingdayAdjusted_2;Indices2000100_3;ValueChanges_4;ValueIndices_5;ShareInDomesticConsOfHouseholds_6;AbsoluteValueInEuroS_7
262;8000;2010 2nd quarter;0.9;0.9;109.5;2.5;131.0;;
263;8000;2010 July;0.5;0.5;110.9;2.2;131.2;;
264;8000;2010 August;1.0;2.0;106.7;2.5;126.9;;
265;8000;2010 September;2.2;1.9;109.7;3.8;131.0;;
266;8000;2010 3rd quarter;1.2;1.4;109.1;2.8;129.7;;
267;8000;2010 October;0.3;1.5;112.6;1.8;134.6;;
268;8000;2010 November;3.5;2.9;110.6;4.9;132.6;;
269;8000;2010 December;1.7;1.2;117.4;3.6;141.1;;
270;8000;2010 4th quarter;1.8;1.9;113.5;3.4;136.1;;
271;8000;2010;0.8;1.0;110.1;2.2;131.7;100.0;275666.0
272;8000;2011 January;-0.6;0.1;110.4;1.5;133.9;;
273;8000;2011 February;0.6;0.6;104.0;2.9;128.0;;
274;8000;2011 March;0.6;0.1;110.5;2.9;137.3;;
275;8000;2011 1st quarter;0.2;0.3;108.3;2.4;133.1;;
276;8000;2011 April;0.8;0.6;109.3;3.4;135.0;;
277;8000;2011 May;-0.2;0.4;108.7;2.4;133.7;;
278;8000;2011 June;-0.5;-0.8;110.5;2.0;134.6;;
279;8000;2011 2nd quarter;0.0;0.0;109.5;2.6;134.4;;
280;8000;2011 July;-1.0;0.1;109.7;1.3;132.8;;
281;8000;2011 August;-0.1;-1.1;106.6;2.2;129.6;;
282;8000;2011 September;-1.6;-2.0;107.9;0.6;131.8;;
283;8000;2011 3rd quarter;-0.9;-1.0;108.1;1.3;131.4;;
284;8000;2011 October;-2.6;-1.8;109.6;-0.3;134.2;;
285;8000;2011 November;-1.1;-1.6;109.3;1.2;134.2;;
286;8000;2011 December;-1.7;-1.6;115.4;0.5;141.7;;
287;8000;2011 4th quarter;-1.8;-1.7;111.5;0.5;136.7;;
288;8000;2011;-0.6;-0.6;109.3;1.7;133.9;100.0;280573.0
289;8000;2012 January;-1.6;-1.6;108.7;0.5;134.6;;
290;8000;2012 February;0.6;-1.3;104.6;2.7;131.5;;
291;8000;2012 March;-0.7;-1.8;109.7;1.3;139.0;;
292;8000;2012 1st quarter;-0.6;-1.5;107.7;1.5;135.1;;
293;8000;2012 April;-4.1;-2.0;104.9;-2.3;131.9;;
294;8000;2012 May;-0.4;-1.7;108.3;1.1;135.2;;
295;8000;2012 June;0.3;-0.6;110.8;1.8;137.0;;
296;8000;2012 2nd quarter;-1.4;-1.4;108.0;0.2;134.7;;
297;8000;2012 July;-3.2;-1.7;106.2;-1.2;131.2;;
298;8000;2012 August;-0.9;-2.1;105.7;1.1;131.0;;
299;8000;2012 September;-1.4;-0.4;106.4;0.6;132.6;;
300;8000;2012 3rd quarter;-1.9;-1.4;106.1;0.2;131.6;;
301;8000;2012 October;-2.1;-2.3;107.3;0.7;135.1;;
302;8000;2012 November;-2.3;-3.0;106.8;0.6;135.0;;
303;8000;2012 December;-2.8;-1.0;112.1;0.2;142.0;;
304;8000;2012 4th quarter;-2.4;-2.1;108.8;0.5;137.4;;
305;8000;2012;-1.6;-1.6;107.6;0.6;134.7;100.0;282666.0
306;8000;2013 January;-1.0;-1.9;107.6;2.2;137.5;;
307;8000;2013 February;-3.9;-2.3;100.5;-0.7;130.6;;
308;8000;2013 March;-1.5;-0.8;108.0;1.4;141.0;;
309;8000;2013 1st quarter;-2.1;-1.6;105.4;1.0;136.4;;
310;8000;2013 April;-1.3;-2.1;103.5;1.1;133.3;;
311;8000;2013 May;-1.4;-2.0;106.8;1.2;136.8;;
312;8000;2013 June;-3.7;-2.5;106.7;-1.1;135.4;;
313;8000;2013 2nd quarter;-2.1;-2.2;105.7;0.4;135.2;;
314;8000;2013 July;-0.9;-1.8;105.3;1.9;133.7;;
315;8000;2013 August;-1.2;-1.7;104.5;1.4;132.8;;
316;8000;2013 September;-3.0;-2.2;103.1;-0.9;131.5;;
317;8000;2013 3rd quarter;-1.7;-1.9;104.3;0.8;132.7;;
318;8000;2013 October;-0.6;-1.2;106.6;0.0;135.1;;
319;8000;2013 November;0.3;0.0;107.2;0.8;136.1;;
320;8000;2013 December;-0.3;0.3;111.8;0.3;142.5;;
321;8000;2013 4th quarter;-0.2;-0.3;108.5;0.4;137.9;;
322;8000;2013;-1.5;-1.5;106.0;0.6;135.5;100.0;284441.0
323;8000;2014 January;-0.8;-1.4;106.8;0.2;137.9;;
324;8000;2014 February;-0.8;-0.8;99.7;-0.1;130.5;;
325;8000;2014 March;-3.2;-2.4;104.6;-2.5;137.5;;
326;8000;2014 1st quarter;-1.6;-1.6;103.7;-0.8;135.3;;
327;8000;2014 April;0.5;-0.2;104.1;1.9;135.8;;
328;8000;2014 May;0.5;0.1;107.3;1.3;138.6;;
329;8000;2014 June;-0.8;0.0;105.8;0.2;135.7;;
330;8000;2014 2nd quarter;0.1;0.0;105.7;1.1;136.7;;
331;8000;2014 July;0.8;0.3;106.2;1.7;136.0;;
332;8000;2014 August;0.5;1.5;104.9;1.4;134.7;;
333;8000;2014 September;0.2;-0.5;103.3;1.0;132.8;;
334;8000;2014 3rd quarter;0.5;0.4;104.8;1.4;134.5;;
335;8000;2014 October;1.0;0.3;107.7;2.0;137.8;;
336;8000;2014 November;-0.5;0.7;106.6;0.4;136.6;;
337;8000;2014 December;1.6;0.6;113.5;2.1;145.4;;
