ID;Landen;Perioden;KapitaalgoederenvoorraadTotaal_1;ICTKapitaalgoederenvoorraad_2;InvesteringsquoteBedrijvensector_3;ICTInvesteringenTotaal_4;ITApparatuur_5;Communicatiemiddelen_6;Software_7;GeinvesteerdDurfkapitaalTotaal_8;GeinvesteerdDurfkapitaalVroegeFase_9;GeinvesteerdDurfkapitaalVervolgfase_10;DBIInkomend_11;DBIUitgaand_12;DBISaldoUitgaandInkomend_13;DBIInkomendVoorraad_14;DBIUitgaandVoorraad_15;DBISaldoUitgaandInkomendVoorraad_16
234;Japan;2004;243.0;7.46;14.5;14.6;33.9;13.0;53.0;;;;0.2;0.7;0.5;2.1;8.0;5.9
235;Japan;2005;242.0;8.0;15.5;14.3;34.4;12.5;53.1;;;;0.1;1.0;0.9;2.2;8.5;6.2
236;Japan;2006;;;15.5;13.4;28.2;13.5;58.3;;;;;1.2;;2.5;10.3;7.8
237;Japan;2007;;;15.6;13.2;28.9;12.9;58.2;;;;0.5;1.7;1.2;3.0;12.5;9.4
238;Japan;2008;;;15.5;;;;;;;;0.5;2.6;2.1;4.2;14.0;9.8
239;Japan;2009;;;13.8;;;;;;;;0.2;1.5;1.2;4.0;14.7;10.7
240;Japan;2010;;;13.5;;;;;;;;;1.0;;3.9;15.1;11.2
241;Japan;2011;;;13.6;;;;;;;;;1.9;;3.8;16.4;12.6
242;Nederland;1990;229.0;3.11;11.1;14.7;40.5;25.2;34.3;0.07;0.01;0.07;3.6;4.6;1.1;23.3;35.6;12.3
243;Nederland;1991;228.0;3.37;11.2;15.3;38.2;28.3;33.6;0.07;0.01;0.07;1.9;4.2;2.3;23.9;38.0;14.1
244;Nederland;1992;230.0;3.67;10.8;15.1;37.4;25.6;37.0;0.06;0.01;0.05;1.8;3.8;1.9;22.1;35.4;13.4
245;Nederland;1993;231.0;3.91;10.4;15.7;38.1;26.2;35.7;0.05;0.01;0.05;2.0;3.1;1.1;22.7;36.0;13.2
246;Nederland;1994;228.0;4.14;10.0;16.4;39.6;27.5;32.9;0.09;0.01;0.07;2.0;5.0;3.0;26.6;40.7;14.1
247;Nederland;1995;225.0;4.4;10.6;15.7;38.5;29.3;32.2;0.11;0.02;0.09;2.9;4.8;1.9;27.6;41.1;13.5
