ID;Sex;Age;Nationality;CaribbeanNetherlands;Periods;PopulationOnJanuary1st_1
3990;Total male and female;5 to 9 years;Chinese;St. Eustatius;2023;1
3991;Total male and female;5 to 9 years;Chinese;Saba;2011;1
3992;Total male and female;5 to 9 years;Chinese;Saba;2012;1
3993;Total male and female;5 to 9 years;Chinese;Saba;2013;1
3994;Total male and female;5 to 9 years;Chinese;Saba;2014;1
3995;Total male and female;5 to 9 years;Chinese;Saba;2015;0
3996;Total male and female;5 to 9 years;Chinese;Saba;2016;0
3997;Total male and female;5 to 9 years;Chinese;Saba;2017;0
3998;Total male and female;5 to 9 years;Chinese;Saba;2018;0
3999;Total male and female;5 to 9 years;Chinese;Saba;2019;0
4000;Total male and female;5 to 9 years;Chinese;Saba;2020;0
4001;Total male and female;5 to 9 years;Chinese;Saba;2021;0
4002;Total male and female;5 to 9 years;Chinese;Saba;2022;0
4003;Total male and female;5 to 9 years;Chinese;Saba;2023;0
4004;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Caribbean Netherlands;2011;1
4005;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Caribbean Netherlands;2012;1
4006;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Caribbean Netherlands;2013;0
4007;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Caribbean Netherlands;2014;0
4008;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Caribbean Netherlands;2015;0
4009;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Caribbean Netherlands;2016;0
4010;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Caribbean Netherlands;2017;0
4011;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Caribbean Netherlands;2018;0
4012;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Caribbean Netherlands;2019;0
4013;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Caribbean Netherlands;2020;0
4014;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Caribbean Netherlands;2021;0
4015;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Caribbean Netherlands;2022;0
4016;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Caribbean Netherlands;2023;2
4017;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Bonaire;2011;0
4018;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Bonaire;2012;0
4019;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Bonaire;2013;0
4020;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Bonaire;2014;0
4021;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Bonaire;2015;0
4022;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Bonaire;2016;0
4023;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Bonaire;2017;0
4024;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Bonaire;2018;0
4025;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Bonaire;2019;0
4026;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Bonaire;2020;0
4027;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Bonaire;2021;0
4028;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Bonaire;2022;0
4029;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Bonaire;2023;0
4030;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;St. Eustatius;2011;1
4031;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;St. Eustatius;2012;1
4032;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;St. Eustatius;2013;0
4033;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;St. Eustatius;2014;0
4034;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;St. Eustatius;2015;0
4035;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;St. Eustatius;2016;0
4036;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;St. Eustatius;2017;0
4037;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;St. Eustatius;2018;0
4038;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;St. Eustatius;2019;0
4039;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;St. Eustatius;2020;0
4040;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;St. Eustatius;2021;0
4041;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;St. Eustatius;2022;0
4042;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;St. Eustatius;2023;2
4043;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Saba;2011;0
4044;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Saba;2012;0
4045;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Saba;2013;0
4046;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Saba;2014;0
4047;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Saba;2015;0
4048;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Saba;2016;0
4049;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Saba;2017;0
4050;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Saba;2018;0
4051;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Saba;2019;0
4052;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Saba;2020;0
4053;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Saba;2021;0
4054;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Saba;2022;0
4055;Total male and female;5 to 9 years;Citizen of Saint Kitts-Nevis;Saba;2023;0
4056;Total male and female;5 to 9 years;Colombian;Caribbean Netherlands;2011;26
4057;Total male and female;5 to 9 years;Colombian;Caribbean Netherlands;2012;22
4058;Total male and female;5 to 9 years;Colombian;Caribbean Netherlands;2013;23
4059;Total male and female;5 to 9 years;Colombian;Caribbean Netherlands;2014;24
4060;Total male and female;5 to 9 years;Colombian;Caribbean Netherlands;2015;23
4061;Total male and female;5 to 9 years;Colombian;Caribbean Netherlands;2016;25
4062;Total male and female;5 to 9 years;Colombian;Caribbean Netherlands;2017;23
4063;Total male and female;5 to 9 years;Colombian;Caribbean Netherlands;2018;24
4064;Total male and female;5 to 9 years;Colombian;Caribbean Netherlands;2019;29
4065;Total male and female;5 to 9 years;Colombian;Caribbean Netherlands;2020;23
4066;Total male and female;5 to 9 years;Colombian;Caribbean Netherlands;2021;22
4067;Total male and female;5 to 9 years;Colombian;Caribbean Netherlands;2022;23
4068;Total male and female;5 to 9 years;Colombian;Caribbean Netherlands;2023;21
4069;Total male and female;5 to 9 years;Colombian;Bonaire;2011;22
4070;Total male and female;5 to 9 years;Colombian;Bonaire;2012;18
4071;Total male and female;5 to 9 years;Colombian;Bonaire;2013;21
4072;Total male and female;5 to 9 years;Colombian;Bonaire;2014;21
4073;Total male and female;5 to 9 years;Colombian;Bonaire;2015;19
4074;Total male and female;5 to 9 years;Colombian;Bonaire;2016;21
4075;Total male and female;5 to 9 years;Colombian;Bonaire;2017;19
4076;Total male and female;5 to 9 years;Colombian;Bonaire;2018;19
4077;Total male and female;5 to 9 years;Colombian;Bonaire;2019;25
4078;Total male and female;5 to 9 years;Colombian;Bonaire;2020;20
4079;Total male and female;5 to 9 years;Colombian;Bonaire;2021;20
4080;Total male and female;5 to 9 years;Colombian;Bonaire;2022;20
4081;Total male and female;5 to 9 years;Colombian;Bonaire;2023;18
4082;Total male and female;5 to 9 years;Colombian;St. Eustatius;2011;0
4083;Total male and female;5 to 9 years;Colombian;St. Eustatius;2012;0
4084;Total male and female;5 to 9 years;Colombian;St. Eustatius;2013;0
4085;Total male and female;5 to 9 years;Colombian;St. Eustatius;2014;0
4086;Total male and female;5 to 9 years;Colombian;St. Eustatius;2015;0
4087;Total male and female;5 to 9 years;Colombian;St. Eustatius;2016;0
4088;Total male and female;5 to 9 years;Colombian;St. Eustatius;2017;0
4089;Total male and female;5 to 9 years;Colombian;St. Eustatius;2018;0
4090;Total male and female;5 to 9 years;Colombian;St. Eustatius;2019;0
4091;Total male and female;5 to 9 years;Colombian;St. Eustatius;2020;0
4092;Total male and female;5 to 9 years;Colombian;St. Eustatius;2021;0
4093;Total male and female;5 to 9 years;Colombian;St. Eustatius;2022;0
4094;Total male and female;5 to 9 years;Colombian;St. Eustatius;2023;0
4095;Total male and female;5 to 9 years;Colombian;Saba;2011;4
4096;Total male and female;5 to 9 years;Colombian;Saba;2012;4
4097;Total male and female;5 to 9 years;Colombian;Saba;2013;2
4098;Total male and female;5 to 9 years;Colombian;Saba;2014;3
4099;Total male and female;5 to 9 years;Colombian;Saba;2015;4
4100;Total male and female;5 to 9 years;Colombian;Saba;2016;4
4101;Total male and female;5 to 9 years;Colombian;Saba;2017;4
4102;Total male and female;5 to 9 years;Colombian;Saba;2018;5
4103;Total male and female;5 to 9 years;Colombian;Saba;2019;4
4104;Total male and female;5 to 9 years;Colombian;Saba;2020;3
4105;Total male and female;5 to 9 years;Colombian;Saba;2021;2
4106;Total male and female;5 to 9 years;Colombian;Saba;2022;3
4107;Total male and female;5 to 9 years;Colombian;Saba;2023;3
4108;Total male and female;5 to 9 years;Dominican (from Republic);Caribbean Netherlands;2011;25
4109;Total male and female;5 to 9 years;Dominican (from Republic);Caribbean Netherlands;2012;20
4110;Total male and female;5 to 9 years;Dominican (from Republic);Caribbean Netherlands;2013;16
4111;Total male and female;5 to 9 years;Dominican (from Republic);Caribbean Netherlands;2014;20
4112;Total male and female;5 to 9 years;Dominican (from Republic);Caribbean Netherlands;2015;17
4113;Total male and female;5 to 9 years;Dominican (from Republic);Caribbean Netherlands;2016;24
4114;Total male and female;5 to 9 years;Dominican (from Republic);Caribbean Netherlands;2017;30
4115;Total male and female;5 to 9 years;Dominican (from Republic);Caribbean Netherlands;2018;32
4116;Total male and female;5 to 9 years;Dominican (from Republic);Caribbean Netherlands;2019;41
4117;Total male and female;5 to 9 years;Dominican (from Republic);Caribbean Netherlands;2020;52
4118;Total male and female;5 to 9 years;Dominican (from Republic);Caribbean Netherlands;2021;44
4119;Total male and female;5 to 9 years;Dominican (from Republic);Caribbean Netherlands;2022;37
4120;Total male and female;5 to 9 years;Dominican (from Republic);Caribbean Netherlands;2023;41
4121;Total male and female;5 to 9 years;Dominican (from Republic);Bonaire;2011;10
4122;Total male and female;5 to 9 years;Dominican (from Republic);Bonaire;2012;8
4123;Total male and female;5 to 9 years;Dominican (from Republic);Bonaire;2013;7
4124;Total male and female;5 to 9 years;Dominican (from Republic);Bonaire;2014;11
4125;Total male and female;5 to 9 years;Dominican (from Republic);Bonaire;2015;11
4126;Total male and female;5 to 9 years;Dominican (from Republic);Bonaire;2016;17
4127;Total male and female;5 to 9 years;Dominican (from Republic);Bonaire;2017;21
4128;Total male and female;5 to 9 years;Dominican (from Republic);Bonaire;2018;23
4129;Total male and female;5 to 9 years;Dominican (from Republic);Bonaire;2019;33
4130;Total male and female;5 to 9 years;Dominican (from Republic);Bonaire;2020;38
4131;Total male and female;5 to 9 years;Dominican (from Republic);Bonaire;2021;30
4132;Total male and female;5 to 9 years;Dominican (from Republic);Bonaire;2022;25
4133;Total male and female;5 to 9 years;Dominican (from Republic);Bonaire;2023;29
4134;Total male and female;5 to 9 years;Dominican (from Republic);St. Eustatius;2011;13
4135;Total male and female;5 to 9 years;Dominican (from Republic);St. Eustatius;2012;9
4136;Total male and female;5 to 9 years;Dominican (from Republic);St. Eustatius;2013;7
4137;Total male and female;5 to 9 years;Dominican (from Republic);St. Eustatius;2014;5
4138;Total male and female;5 to 9 years;Dominican (from Republic);St. Eustatius;2015;3
4139;Total male and female;5 to 9 years;Dominican (from Republic);St. Eustatius;2016;5
4140;Total male and female;5 to 9 years;Dominican (from Republic);St. Eustatius;2017;5
4141;Total male and female;5 to 9 years;Dominican (from Republic);St. Eustatius;2018;7
4142;Total male and female;5 to 9 years;Dominican (from Republic);St. Eustatius;2019;5
4143;Total male and female;5 to 9 years;Dominican (from Republic);St. Eustatius;2020;8
4144;Total male and female;5 to 9 years;Dominican (from Republic);St. Eustatius;2021;8
4145;Total male and female;5 to 9 years;Dominican (from Republic);St. Eustatius;2022;8
4146;Total male and female;5 to 9 years;Dominican (from Republic);St. Eustatius;2023;7
4147;Total male and female;5 to 9 years;Dominican (from Republic);Saba;2011;2
4148;Total male and female;5 to 9 years;Dominican (from Republic);Saba;2012;3
4149;Total male and female;5 to 9 years;Dominican (from Republic);Saba;2013;2
4150;Total male and female;5 to 9 years;Dominican (from Republic);Saba;2014;4
4151;Total male and female;5 to 9 years;Dominican (from Republic);Saba;2015;3
4152;Total male and female;5 to 9 years;Dominican (from Republic);Saba;2016;2
4153;Total male and female;5 to 9 years;Dominican (from Republic);Saba;2017;4
4154;Total male and female;5 to 9 years;Dominican (from Republic);Saba;2018;2
4155;Total male and female;5 to 9 years;Dominican (from Republic);Saba;2019;3
4156;Total male and female;5 to 9 years;Dominican (from Republic);Saba;2020;6
4157;Total male and female;5 to 9 years;Dominican (from Republic);Saba;2021;6
4158;Total male and female;5 to 9 years;Dominican (from Republic);Saba;2022;4
4159;Total male and female;5 to 9 years;Dominican (from Republic);Saba;2023;5
4160;Total male and female;5 to 9 years;Dutch;Caribbean Netherlands;2011;1188
4161;Total male and female;5 to 9 years;Dutch;Caribbean Netherlands;2012;1217
4162;Total male and female;5 to 9 years;Dutch;Caribbean Netherlands;2013;1212
4163;Total male and female;5 to 9 years;Dutch;Caribbean Netherlands;2014;1259
4164;Total male and female;5 to 9 years;Dutch;Caribbean Netherlands;2015;1358
4165;Total male and female;5 to 9 years;Dutch;Caribbean Netherlands;2016;1369
4166;Total male and female;5 to 9 years;Dutch;Caribbean Netherlands;2017;1362
4167;Total male and female;5 to 9 years;Dutch;Caribbean Netherlands;2018;1373
4168;Total male and female;5 to 9 years;Dutch;Caribbean Netherlands;2019;1365
4169;Total male and female;5 to 9 years;Dutch;Caribbean Netherlands;2020;1346
4170;Total male and female;5 to 9 years;Dutch;Caribbean Netherlands;2021;1322
4171;Total male and female;5 to 9 years;Dutch;Caribbean Netherlands;2022;1325
4172;Total male and female;5 to 9 years;Dutch;Caribbean Netherlands;2023;1310
4173;Total male and female;5 to 9 years;Dutch;Bonaire;2011;908
4174;Total male and female;5 to 9 years;Dutch;Bonaire;2012;937
4175;Total male and female;5 to 9 years;Dutch;Bonaire;2013;942
4176;Total male and female;5 to 9 years;Dutch;Bonaire;2014;988
4177;Total male and female;5 to 9 years;Dutch;Bonaire;2015;1063
4178;Total male and female;5 to 9 years;Dutch;Bonaire;2016;1068
4179;Total male and female;5 to 9 years;Dutch;Bonaire;2017;1089
4180;Total male and female;5 to 9 years;Dutch;Bonaire;2018;1098
4181;Total male and female;5 to 9 years;Dutch;Bonaire;2019;1092
4182;Total male and female;5 to 9 years;Dutch;Bonaire;2020;1086
4183;Total male and female;5 to 9 years;Dutch;Bonaire;2021;1072
4184;Total male and female;5 to 9 years;Dutch;Bonaire;2022;1079
4185;Total male and female;5 to 9 years;Dutch;Bonaire;2023;1069
4186;Total male and female;5 to 9 years;Dutch;St. Eustatius;2011;205
4187;Total male and female;5 to 9 years;Dutch;St. Eustatius;2012;203
4188;Total male and female;5 to 9 years;Dutch;St. Eustatius;2013;193
4189;Total male and female;5 to 9 years;Dutch;St. Eustatius;2014;192
4190;Total male and female;5 to 9 years;Dutch;St. Eustatius;2015;203
4191;Total male and female;5 to 9 years;Dutch;St. Eustatius;2016;210
4192;Total male and female;5 to 9 years;Dutch;St. Eustatius;2017;197
4193;Total male and female;5 to 9 years;Dutch;St. Eustatius;2018;196
4194;Total male and female;5 to 9 years;Dutch;St. Eustatius;2019;198
4195;Total male and female;5 to 9 years;Dutch;St. Eustatius;2020;191
4196;Total male and female;5 to 9 years;Dutch;St. Eustatius;2021;170
4197;Total male and female;5 to 9 years;Dutch;St. Eustatius;2022;164
4198;Total male and female;5 to 9 years;Dutch;St. Eustatius;2023;162
4199;Total male and female;5 to 9 years;Dutch;Saba;2011;75
4200;Total male and female;5 to 9 years;Dutch;Saba;2012;77
4201;Total male and female;5 to 9 years;Dutch;Saba;2013;77
4202;Total male and female;5 to 9 years;Dutch;Saba;2014;79
4203;Total male and female;5 to 9 years;Dutch;Saba;2015;92
4204;Total male and female;5 to 9 years;Dutch;Saba;2016;91
4205;Total male and female;5 to 9 years;Dutch;Saba;2017;76
4206;Total male and female;5 to 9 years;Dutch;Saba;2018;79
4207;Total male and female;5 to 9 years;Dutch;Saba;2019;75
4208;Total male and female;5 to 9 years;Dutch;Saba;2020;69
4209;Total male and female;5 to 9 years;Dutch;Saba;2021;80
4210;Total male and female;5 to 9 years;Dutch;Saba;2022;82
4211;Total male and female;5 to 9 years;Dutch;Saba;2023;79
4212;Total male and female;5 to 9 years;Ecuadorian;Caribbean Netherlands;2011;0
4213;Total male and female;5 to 9 years;Ecuadorian;Caribbean Netherlands;2012;0
4214;Total male and female;5 to 9 years;Ecuadorian;Caribbean Netherlands;2013;0
4215;Total male and female;5 to 9 years;Ecuadorian;Caribbean Netherlands;2014;0
4216;Total male and female;5 to 9 years;Ecuadorian;Caribbean Netherlands;2015;0
4217;Total male and female;5 to 9 years;Ecuadorian;Caribbean Netherlands;2016;0
4218;Total male and female;5 to 9 years;Ecuadorian;Caribbean Netherlands;2017;1
4219;Total male and female;5 to 9 years;Ecuadorian;Caribbean Netherlands;2018;4
4220;Total male and female;5 to 9 years;Ecuadorian;Caribbean Netherlands;2019;5
4221;Total male and female;5 to 9 years;Ecuadorian;Caribbean Netherlands;2020;6
4222;Total male and female;5 to 9 years;Ecuadorian;Caribbean Netherlands;2021;7
4223;Total male and female;5 to 9 years;Ecuadorian;Caribbean Netherlands;2022;5
4224;Total male and female;5 to 9 years;Ecuadorian;Caribbean Netherlands;2023;5
4225;Total male and female;5 to 9 years;Ecuadorian;Bonaire;2011;0
4226;Total male and female;5 to 9 years;Ecuadorian;Bonaire;2012;0
4227;Total male and female;5 to 9 years;Ecuadorian;Bonaire;2013;0
4228;Total male and female;5 to 9 years;Ecuadorian;Bonaire;2014;0
4229;Total male and female;5 to 9 years;Ecuadorian;Bonaire;2015;0
4230;Total male and female;5 to 9 years;Ecuadorian;Bonaire;2016;0
4231;Total male and female;5 to 9 years;Ecuadorian;Bonaire;2017;1
4232;Total male and female;5 to 9 years;Ecuadorian;Bonaire;2018;4
4233;Total male and female;5 to 9 years;Ecuadorian;Bonaire;2019;5
4234;Total male and female;5 to 9 years;Ecuadorian;Bonaire;2020;6
4235;Total male and female;5 to 9 years;Ecuadorian;Bonaire;2021;7
4236;Total male and female;5 to 9 years;Ecuadorian;Bonaire;2022;5
4237;Total male and female;5 to 9 years;Ecuadorian;Bonaire;2023;5
4238;Total male and female;5 to 9 years;Ecuadorian;St. Eustatius;2011;0
4239;Total male and female;5 to 9 years;Ecuadorian;St. Eustatius;2012;0
4240;Total male and female;5 to 9 years;Ecuadorian;St. Eustatius;2013;0
4241;Total male and female;5 to 9 years;Ecuadorian;St. Eustatius;2014;0
4242;Total male and female;5 to 9 years;Ecuadorian;St. Eustatius;2015;0
4243;Total male and female;5 to 9 years;Ecuadorian;St. Eustatius;2016;0
4244;Total male and female;5 to 9 years;Ecuadorian;St. Eustatius;2017;0
4245;Total male and female;5 to 9 years;Ecuadorian;St. Eustatius;2018;0
4246;Total male and female;5 to 9 years;Ecuadorian;St. Eustatius;2019;0
4247;Total male and female;5 to 9 years;Ecuadorian;St. Eustatius;2020;0
4248;Total male and female;5 to 9 years;Ecuadorian;St. Eustatius;2021;0
4249;Total male and female;5 to 9 years;Ecuadorian;St. Eustatius;2022;0
4250;Total male and female;5 to 9 years;Ecuadorian;St. Eustatius;2023;0
4251;Total male and female;5 to 9 years;Ecuadorian;Saba;2011;0
4252;Total male and female;5 to 9 years;Ecuadorian;Saba;2012;0
4253;Total male and female;5 to 9 years;Ecuadorian;Saba;2013;0
4254;Total male and female;5 to 9 years;Ecuadorian;Saba;2014;0
4255;Total male and female;5 to 9 years;Ecuadorian;Saba;2015;0
4256;Total male and female;5 to 9 years;Ecuadorian;Saba;2016;0
4257;Total male and female;5 to 9 years;Ecuadorian;Saba;2017;0
4258;Total male and female;5 to 9 years;Ecuadorian;Saba;2018;0
4259;Total male and female;5 to 9 years;Ecuadorian;Saba;2019;0
4260;Total male and female;5 to 9 years;Ecuadorian;Saba;2020;0
4261;Total male and female;5 to 9 years;Ecuadorian;Saba;2021;0
4262;Total male and female;5 to 9 years;Ecuadorian;Saba;2022;0
4263;Total male and female;5 to 9 years;Ecuadorian;Saba;2023;0
4264;Total male and female;5 to 9 years;Guyanese;Caribbean Netherlands;2011;9
4265;Total male and female;5 to 9 years;Guyanese;Caribbean Netherlands;2012;7
4266;Total male and female;5 to 9 years;Guyanese;Caribbean Netherlands;2013;5
4267;Total male and female;5 to 9 years;Guyanese;Caribbean Netherlands;2014;5
4268;Total male and female;5 to 9 years;Guyanese;Caribbean Netherlands;2015;4
4269;Total male and female;5 to 9 years;Guyanese;Caribbean Netherlands;2016;1
4270;Total male and female;5 to 9 years;Guyanese;Caribbean Netherlands;2017;1
4271;Total male and female;5 to 9 years;Guyanese;Caribbean Netherlands;2018;1
4272;Total male and female;5 to 9 years;Guyanese;Caribbean Netherlands;2019;2
4273;Total male and female;5 to 9 years;Guyanese;Caribbean Netherlands;2020;3
4274;Total male and female;5 to 9 years;Guyanese;Caribbean Netherlands;2021;2
4275;Total male and female;5 to 9 years;Guyanese;Caribbean Netherlands;2022;2
4276;Total male and female;5 to 9 years;Guyanese;Caribbean Netherlands;2023;2
4277;Total male and female;5 to 9 years;Guyanese;Bonaire;2011;0
4278;Total male and female;5 to 9 years;Guyanese;Bonaire;2012;0
4279;Total male and female;5 to 9 years;Guyanese;Bonaire;2013;0
4280;Total male and female;5 to 9 years;Guyanese;Bonaire;2014;0
4281;Total male and female;5 to 9 years;Guyanese;Bonaire;2015;0
4282;Total male and female;5 to 9 years;Guyanese;Bonaire;2016;0
4283;Total male and female;5 to 9 years;Guyanese;Bonaire;2017;0
4284;Total male and female;5 to 9 years;Guyanese;Bonaire;2018;0
4285;Total male and female;5 to 9 years;Guyanese;Bonaire;2019;0
4286;Total male and female;5 to 9 years;Guyanese;Bonaire;2020;0
4287;Total male and female;5 to 9 years;Guyanese;Bonaire;2021;0
4288;Total male and female;5 to 9 years;Guyanese;Bonaire;2022;0
4289;Total male and female;5 to 9 years;Guyanese;Bonaire;2023;0
4290;Total male and female;5 to 9 years;Guyanese;St. Eustatius;2011;4
4291;Total male and female;5 to 9 years;Guyanese;St. Eustatius;2012;4
4292;Total male and female;5 to 9 years;Guyanese;St. Eustatius;2013;3
4293;Total male and female;5 to 9 years;Guyanese;St. Eustatius;2014;2
4294;Total male and female;5 to 9 years;Guyanese;St. Eustatius;2015;2
4295;Total male and female;5 to 9 years;Guyanese;St. Eustatius;2016;1
4296;Total male and female;5 to 9 years;Guyanese;St. Eustatius;2017;1
4297;Total male and female;5 to 9 years;Guyanese;St. Eustatius;2018;1
4298;Total male and female;5 to 9 years;Guyanese;St. Eustatius;2019;2
4299;Total male and female;5 to 9 years;Guyanese;St. Eustatius;2020;3
4300;Total male and female;5 to 9 years;Guyanese;St. Eustatius;2021;2
4301;Total male and female;5 to 9 years;Guyanese;St. Eustatius;2022;2
4302;Total male and female;5 to 9 years;Guyanese;St. Eustatius;2023;2
4303;Total male and female;5 to 9 years;Guyanese;Saba;2011;5
4304;Total male and female;5 to 9 years;Guyanese;Saba;2012;3
4305;Total male and female;5 to 9 years;Guyanese;Saba;2013;2
4306;Total male and female;5 to 9 years;Guyanese;Saba;2014;3
4307;Total male and female;5 to 9 years;Guyanese;Saba;2015;2
4308;Total male and female;5 to 9 years;Guyanese;Saba;2016;0
4309;Total male and female;5 to 9 years;Guyanese;Saba;2017;0
4310;Total male and female;5 to 9 years;Guyanese;Saba;2018;0
4311;Total male and female;5 to 9 years;Guyanese;Saba;2019;0
4312;Total male and female;5 to 9 years;Guyanese;Saba;2020;0
4313;Total male and female;5 to 9 years;Guyanese;Saba;2021;0
4314;Total male and female;5 to 9 years;Guyanese;Saba;2022;0
4315;Total male and female;5 to 9 years;Guyanese;Saba;2023;0
4316;Total male and female;5 to 9 years;Haitian;Caribbean Netherlands;2011;4
4317;Total male and female;5 to 9 years;Haitian;Caribbean Netherlands;2012;5
4318;Total male and female;5 to 9 years;Haitian;Caribbean Netherlands;2013;6
4319;Total male and female;5 to 9 years;Haitian;Caribbean Netherlands;2014;7
4320;Total male and female;5 to 9 years;Haitian;Caribbean Netherlands;2015;4
4321;Total male and female;5 to 9 years;Haitian;Caribbean Netherlands;2016;5
4322;Total male and female;5 to 9 years;Haitian;Caribbean Netherlands;2017;4
4323;Total male and female;5 to 9 years;Haitian;Caribbean Netherlands;2018;4
4324;Total male and female;5 to 9 years;Haitian;Caribbean Netherlands;2019;3
4325;Total male and female;5 to 9 years;Haitian;Caribbean Netherlands;2020;3
4326;Total male and female;5 to 9 years;Haitian;Caribbean Netherlands;2021;4
4327;Total male and female;5 to 9 years;Haitian;Caribbean Netherlands;2022;4
4328;Total male and female;5 to 9 years;Haitian;Caribbean Netherlands;2023;5
4329;Total male and female;5 to 9 years;Haitian;Bonaire;2011;1
4330;Total male and female;5 to 9 years;Haitian;Bonaire;2012;1
4331;Total male and female;5 to 9 years;Haitian;Bonaire;2013;2
4332;Total male and female;5 to 9 years;Haitian;Bonaire;2014;1
4333;Total male and female;5 to 9 years;Haitian;Bonaire;2015;2
4334;Total male and female;5 to 9 years;Haitian;Bonaire;2016;3
4335;Total male and female;5 to 9 years;Haitian;Bonaire;2017;3
4336;Total male and female;5 to 9 years;Haitian;Bonaire;2018;4
4337;Total male and female;5 to 9 years;Haitian;Bonaire;2019;3
4338;Total male and female;5 to 9 years;Haitian;Bonaire;2020;3
4339;Total male and female;5 to 9 years;Haitian;Bonaire;2021;4
4340;Total male and female;5 to 9 years;Haitian;Bonaire;2022;4
4341;Total male and female;5 to 9 years;Haitian;Bonaire;2023;5
4342;Total male and female;5 to 9 years;Haitian;St. Eustatius;2011;0
4343;Total male and female;5 to 9 years;Haitian;St. Eustatius;2012;0
4344;Total male and female;5 to 9 years;Haitian;St. Eustatius;2013;0
4345;Total male and female;5 to 9 years;Haitian;St. Eustatius;2014;1
4346;Total male and female;5 to 9 years;Haitian;St. Eustatius;2015;1
4347;Total male and female;5 to 9 years;Haitian;St. Eustatius;2016;1
4348;Total male and female;5 to 9 years;Haitian;St. Eustatius;2017;1
4349;Total male and female;5 to 9 years;Haitian;St. Eustatius;2018;0
4350;Total male and female;5 to 9 years;Haitian;St. Eustatius;2019;0
4351;Total male and female;5 to 9 years;Haitian;St. Eustatius;2020;0
4352;Total male and female;5 to 9 years;Haitian;St. Eustatius;2021;0
4353;Total male and female;5 to 9 years;Haitian;St. Eustatius;2022;0
4354;Total male and female;5 to 9 years;Haitian;St. Eustatius;2023;0
4355;Total male and female;5 to 9 years;Haitian;Saba;2011;3
4356;Total male and female;5 to 9 years;Haitian;Saba;2012;4
4357;Total male and female;5 to 9 years;Haitian;Saba;2013;4
4358;Total male and female;5 to 9 years;Haitian;Saba;2014;5
4359;Total male and female;5 to 9 years;Haitian;Saba;2015;1
4360;Total male and female;5 to 9 years;Haitian;Saba;2016;1
4361;Total male and female;5 to 9 years;Haitian;Saba;2017;0
4362;Total male and female;5 to 9 years;Haitian;Saba;2018;0
4363;Total male and female;5 to 9 years;Haitian;Saba;2019;0
