ID;Landen;SITC;Perioden;TotaleInvoerwaarde_1;TotaleUitvoerwaarde_2
234;Totaal landen;0 Voeding en levende dieren;2022;52474.0;81694.0
235;Totaal landen;0 Voeding en levende dieren;2023 januari;4481.0;6966.0
236;Totaal landen;0 Voeding en levende dieren;2023 februari;4402.0;6897.0
237;Totaal landen;0 Voeding en levende dieren;2023 maart;5007.0;7926.0
238;Totaal landen;0 Voeding en levende dieren;2023 april;4492.0;6635.0
239;Totaal landen;0 Voeding en levende dieren;2023 mei;4680.0;7484.0
240;Totaal landen;0 Voeding en levende dieren;2023 juni;4626.0;7427.0
241;Totaal landen;0 Voeding en levende dieren;2023 juli;4110.0;6764.0
242;Totaal landen;0 Voeding en levende dieren;2023 augustus;4240.0;7001.0
243;Totaal landen;0 Voeding en levende dieren;2023 september;4035.0;6982.0
244;Totaal landen;0 Voeding en levende dieren;2023 oktober;4463.0;7195.0
245;Totaal landen;0 Voeding en levende dieren;2023 november;4591.0;7258.0
246;Totaal landen;0 Voeding en levende dieren;2023 december;4278.0;6718.0
247;Totaal landen;0 Voeding en levende dieren;2023;53402.0;85254.0
248;Totaal landen;0 Voeding en levende dieren;2024 januari;4443.0;7064.0
249;Totaal landen;0 Voeding en levende dieren;2024 februari;4436.0;7122.0
250;Totaal landen;0 Voeding en levende dieren;2024 maart;4583.0;7476.0
251;Totaal landen;0 Voeding en levende dieren;2024 april;4733.0;7451.0
252;Totaal landen;0 Voeding en levende dieren;2024 mei;4683.0;7709.0
253;Totaal landen;0 Voeding en levende dieren;2024 juni;4326.0;7245.0
254;Totaal landen;0 Voeding en levende dieren;2024 juli;4841.0;7972.0
255;Totaal landen;0 Voeding en levende dieren;2024 augustus;4581.0;7392.0
256;Totaal landen;0 Voeding en levende dieren;2024 september;4535.0;7721.0
257;Totaal landen;0 Voeding en levende dieren;2024 oktober;5322.0;8444.0
258;Totaal landen;0 Voeding en levende dieren;2024 november;5051.0;8082.0
259;Totaal landen;0 Voeding en levende dieren;2024 december;5111.0;7526.0
260;Totaal landen;0 Voeding en levende dieren;2024;56645.0;91205.0
261;Totaal landen;0 Voeding en levende dieren;2025 januari;5282.0;8255.0
262;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2015 januari;74.0;149.0
263;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2015 februari;69.0;146.0
264;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2015 maart;91.0;158.0
265;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2015 april;95.0;154.0
266;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2015 mei;89.0;157.0
267;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2015 juni;116.0;157.0
268;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2015 juli;97.0;159.0
269;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2015 augustus;89.0;145.0
270;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2015 september;96.0;178.0
271;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2015 oktober;90.0;158.0
272;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2015 november;87.0;161.0
273;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2015 december;93.0;185.0
274;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2015 ;1086.0;1907.0
275;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2016 januari;82.0;157.0
276;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2016 februari;84.0;146.0
277;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2016 maart;91.0;163.0
278;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2016 april;99.0;147.0
279;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2016 mei;92.0;151.0
280;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2016 juni;104.0;164.0
281;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2016 juli;94.0;165.0
282;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2016 augustus;102.0;186.0
283;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2016 september;106.0;186.0
284;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2016 oktober;103.0;174.0
285;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2016 november;99.0;190.0
286;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2016 december;103.0;203.0
287;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2016;1159.0;2032.0
288;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2017 januari;103.0;184.0
289;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2017 februari;95.0;172.0
290;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2017 maart;116.0;196.0
291;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2017 april;95.0;170.0
292;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2017 mei;109.0;193.0
293;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2017 juni;107.0;198.0
294;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2017 juli;95.0;185.0
295;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2017 augustus;103.0;203.0
296;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2017 september;103.0;187.0
297;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2017 oktober;107.0;178.0
298;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2017 november;101.0;191.0
299;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2017 december;97.0;195.0
300;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2017;1229.0;2253.0
301;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2018 januari;84.0;181.0
302;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2018 februari;86.0;145.0
303;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2018 maart;104.0;172.0
304;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2018 april;97.0;168.0
305;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2018 mei;106.0;170.0
306;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2018 juni;111.0;155.0
307;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2018 juli;97.0;153.0
308;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2018 augustus;97.0;156.0
309;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2018 september;92.0;156.0
310;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2018 oktober;102.0;158.0
311;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2018 november;103.0;175.0
312;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2018 december;97.0;171.0
