ID;EconomicActivitiesNaceRev2;Periods;CompensationOfEmployees_1;WagesAndSalaries_2;EmployersSocialContributions_3;CompensationOfEmployeesPerFte_4;WagesPerFte_5;CompensationPerHoursWorked_6;WagesPerHoursWorked_7;FullTimeEquivalentFte_8;HoursWorked_9;HoursPaid_10;HoursAgreed_11;PaidExtraHours_12;TotalMaleAndFemale_13;Male_14;Female_15;TotalMaleAndFemale_16;Male_17;Female_18;TotalMaleAndFemale_19;Male_20;Female_21
3611;P Education;1972;3341.0;2593.0;748.0;13.9;10.8;7.7;6.0;240;432;463;462;1;307;178;129;;;;;;
3612;P Education;1973;3820.0;2906.0;914.0;15.4;11.7;8.7;6.6;248;439;470;468;1;320;184;136;;;;;;
3613;P Education;1974;4555.0;3445.0;1110.0;17.8;13.4;10.3;7.8;256;441;478;477;1;332;189;143;;;;;;
3614;P Education;1975;5375.0;4066.0;1309.0;20.3;15.4;12.3;9.3;265;439;478;477;1;345;197;148;;;;;;
3615;P Education;1976;6069.0;4577.0;1492.0;21.8;16.5;13.2;9.9;278;460;503;503;1;365;206;159;;;;;;
3616;P Education;1977;6645.0;5028.0;1617.0;23.2;17.6;14.0;10.6;286;476;517;516;1;377;215;162;;;;;;
3617;P Education;1978;7214.0;5458.0;1756.0;24.9;18.8;15.2;11.5;290;475;520;520;1;383;217;166;;;;;;
3618;P Education;1979;7795.0;5867.0;1928.0;26.6;20.0;16.1;12.1;294;484;524;523;1;393;222;170;;;;;;
3619;P Education;1980;8162.0;6125.0;2037.0;27.6;20.7;16.9;12.7;296;482;522;521;1;394;224;170;;;;;;
3620;P Education;1981;8353.0;6274.0;2079.0;27.9;20.9;17.0;12.8;300;490;527;526;1;400;226;174;;;;;;
3621;P Education;1982;8557.0;6454.0;2103.0;28.5;21.5;17.5;13.2;300;489;526;525;1;400;225;175;;;;;;
3622;P Education;1983;8426.0;6273.0;2153.0;28.3;21.1;17.4;12.9;298;485;521;520;1;399;225;174;;;;;;
3623;P Education;1984;8214.0;6133.0;2081.0;28.0;20.9;17.2;12.9;293;477;513;512;1;393;221;172;;;;;;
3624;P Education;1985;8329.0;6240.0;2089.0;28.2;21.1;17.4;13.0;296;479;516;515;1;397;222;174;;;;;;
3625;P Education;1986;8461.0;6342.0;2119.0;28.5;21.4;17.5;13.1;297;483;516;515;1;400;222;178;;;;;;
3626;P Education;1987;8625.0;6503.0;2122.0;28.9;21.8;17.8;13.4;299;485;518;518;1;408;227;181;;;;;;
3627;P Education;1988;8499.0;6472.0;2027.0;28.6;21.8;17.7;13.5;297;481;514;514;1;407;226;180;;;;;;
3628;P Education;1989;8485.0;6566.0;1919.0;28.7;22.2;17.7;13.7;296;480;513;513;1;409;227;182;;;;;;
3629;P Education;1990;8919.0;7533.0;1386.0;30.0;25.3;18.4;15.6;298;484;517;517;1;412;230;183;;;;;;
3630;P Education;1991;9278.0;7846.0;1432.0;31.3;26.4;19.3;16.3;297;481;515;514;1;411;230;181;;;;;;
3631;P Education;1992;9891.0;8399.0;1492.0;33.1;28.1;20.2;17.2;299;490;520;519;1;409;222;187;;;;;;
3632;P Education;1993;10159.0;8611.0;1548.0;34.0;28.8;21.1;17.9;299;482;520;520;1;412;219;194;;;;;;
3633;P Education;1994;10479.0;8849.0;1630.0;35.1;29.7;21.8;18.4;298;480;522;521;1;405;214;191;;;;;;
3634;P Education;1995;10877.0;8768.0;2109.0;36.3;29.2;22.2;17.9;300;490;525;525;1;408;194;215;;;;;;
3635;P Education;1996;10963.0;8797.0;2166.0;35.8;28.8;22.3;17.9;306;492;528;527;0;414;196;218;;;;;;
3636;P Education;1997;11395.0;9220.0;2175.0;36.7;29.7;22.7;18.4;310;501;537;536;0;417;198;219;;;;;;
3637;P Education;1998;12109.0;9310.0;2799.0;38.0;29.2;23.8;18.3;319;510;546;545;1;424;201;223;;;;;;
3638;P Education;1999;13102.0;10090.0;3012.0;40.4;31.1;25.4;19.5;324;516;553;553;1;429;196;232;;;;;;
3639;P Education;2000;14085.0;10879.0;3206.0;42.7;33.0;26.8;20.7;330;526;564;563;1;438;200;238;;;;;;
3640;P Education;2001;15211.0;11586.0;3625.0;45.1;34.4;28.2;21.4;337;540;581;581;0;449;201;248;210.0;137.0;73.0;239.0;64.0;175.0
3641;P Education;2002;16391.0;12488.0;3903.0;47.0;35.8;29.1;22.2;349;563;601;601;0;466;202;264;213.0;137.0;76.0;253.0;65.0;188.0
3642;P Education;2003;17436.0;13251.0;4185.0;48.8;37.1;29.8;22.7;358;584;617;617;0;481;210;271;221.0;139.0;82.0;259.0;71.0;188.0
3643;P Education;2004;17991.0;13382.0;4609.0;50.7;37.7;31.4;23.4;355;572;613;612;0;478;201;277;216.0;129.0;87.0;261.0;71.0;190.0
3644;P Education;2005;18476.0;13546.0;4930.0;52.5;38.5;32.6;23.9;352;567;607;606;0;477;197;280;203.0;124.0;79.0;275.0;74.0;201.0
3645;P Education;2006;18843.0;14043.0;4800.0;53.4;39.8;33.0;24.6;353;571;608;608;0;478;202;276;204.0;127.0;77.0;274.0;75.0;199.0
3646;P Education;2007;19852.0;14764.0;5088.0;55.5;41.3;34.3;25.5;358;579;617;617;0;491;205;286;200.0;123.0;76.0;291.0;82.0;209.0
3647;P Education;2008;20999.0;15676.0;5323.0;56.4;42.1;34.5;25.8;372;608;641;640;0;503;210;293;214.0;130.0;84.0;289.0;80.0;209.0
3648;P Education;2009;22304.0;16663.0;5641.0;59.3;44.3;36.4;27.2;376;612;647;647;0;509;210;299;210.0;128.0;83.0;299.0;83.0;216.0
3649;P Education;2010;22798.0;16855.0;5943.0;60.8;44.9;37.7;27.9;375;605;639;638;0;510;209;301;206.0;125.0;81.0;304.0;83.0;220.0
3650;P Education;2011;22905.0;16966.0;5939.0;61.7;45.7;38.1;28.2;371;601;632;632;0;505;205;300;204.0;123.0;81.0;301.0;82.0;219.0
3651;P Education;2012;22651.0;16602.0;6049.0;61.9;45.3;38.4;28.1;366;590;623;623;0;498;200;298;201.0;120.0;80.0;297.0;80.0;217.0
3652;85 Education;1969;2175.0;1719.0;456.0;10.2;8.1;5.4;4.3;213;400;424;423;1;271;159;112;;;;;;
3653;85 Education;1970;2468.0;1946.0;522.0;11.2;8.8;6.1;4.8;221;406;430;429;1;282;165;117;;;;;;
3654;85 Education;1971;2868.0;2241.0;627.0;12.4;9.7;6.9;5.4;230;413;440;439;1;294;171;123;;;;;;
3655;85 Education;1972;3341.0;2593.0;748.0;13.9;10.8;7.7;6.0;240;432;463;462;1;307;178;129;;;;;;
3656;85 Education;1973;3820.0;2906.0;914.0;15.4;11.7;8.7;6.6;248;439;470;468;1;320;184;136;;;;;;
3657;85 Education;1974;4555.0;3445.0;1110.0;17.8;13.4;10.3;7.8;256;441;478;477;1;332;189;143;;;;;;
3658;85 Education;1975;5375.0;4066.0;1309.0;20.3;15.4;12.3;9.3;265;439;478;477;1;345;197;148;;;;;;
3659;85 Education;1976;6069.0;4577.0;1492.0;21.8;16.5;13.2;9.9;278;460;503;503;1;365;206;159;;;;;;
3660;85 Education;1977;6645.0;5028.0;1617.0;23.2;17.6;14.0;10.6;286;476;517;516;1;377;215;162;;;;;;
3661;85 Education;1978;7214.0;5458.0;1756.0;24.9;18.8;15.2;11.5;290;475;520;520;1;383;217;166;;;;;;
3662;85 Education;1979;7795.0;5867.0;1928.0;26.6;20.0;16.1;12.1;294;484;524;523;1;393;222;170;;;;;;
3663;85 Education;1980;8162.0;6125.0;2037.0;27.6;20.7;16.9;12.7;296;482;522;521;1;394;224;170;;;;;;
3664;85 Education;1981;8353.0;6274.0;2079.0;27.9;20.9;17.0;12.8;300;490;527;526;1;400;226;174;;;;;;
3665;85 Education;1982;8557.0;6454.0;2103.0;28.5;21.5;17.5;13.2;300;489;526;525;1;400;225;175;;;;;;
3666;85 Education;1983;8426.0;6273.0;2153.0;28.3;21.1;17.4;12.9;298;485;521;520;1;399;225;174;;;;;;
3667;85 Education;1984;8214.0;6133.0;2081.0;28.0;20.9;17.2;12.9;293;477;513;512;1;393;221;172;;;;;;
3668;85 Education;1985;8329.0;6240.0;2089.0;28.2;21.1;17.4;13.0;296;479;516;515;1;397;222;174;;;;;;
3669;85 Education;1986;8461.0;6342.0;2119.0;28.5;21.4;17.5;13.1;297;483;516;515;1;400;222;178;;;;;;
3670;85 Education;1987;8625.0;6503.0;2122.0;28.9;21.8;17.8;13.4;299;485;518;518;1;408;227;181;;;;;;
3671;85 Education;1988;8499.0;6472.0;2027.0;28.6;21.8;17.7;13.5;297;481;514;514;1;407;226;180;;;;;;
3672;85 Education;1989;8485.0;6566.0;1919.0;28.7;22.2;17.7;13.7;296;480;513;513;1;409;227;182;;;;;;
3673;85 Education;1990;8919.0;7533.0;1386.0;30.0;25.3;18.4;15.6;298;484;517;517;1;412;230;183;;;;;;
3674;85 Education;1991;9278.0;7846.0;1432.0;31.3;26.4;19.3;16.3;297;481;515;514;1;411;230;181;;;;;;
3675;85 Education;1992;9891.0;8399.0;1492.0;33.1;28.1;20.2;17.2;299;490;520;519;1;409;222;187;;;;;;
3676;85 Education;1993;10159.0;8611.0;1548.0;34.0;28.8;21.1;17.9;299;482;520;520;1;412;219;194;;;;;;
3677;85 Education;1994;10479.0;8849.0;1630.0;35.1;29.7;21.8;18.4;298;480;522;521;1;405;214;191;;;;;;
3678;85 Education;1995;10877.0;8768.0;2109.0;36.3;29.2;22.2;17.9;300;490;525;525;1;408;194;215;;;;;;
3679;85 Education;1996;10963.0;8797.0;2166.0;35.8;28.8;22.3;17.9;306;492;528;527;0;414;196;218;;;;;;
3680;85 Education;1997;11395.0;9220.0;2175.0;36.7;29.7;22.7;18.4;310;501;537;536;0;417;198;219;;;;;;
3681;85 Education;1998;12109.0;9310.0;2799.0;38.0;29.2;23.8;18.3;319;510;546;545;1;424;201;223;;;;;;
3682;85 Education;1999;13102.0;10090.0;3012.0;40.4;31.1;25.4;19.5;324;516;553;553;1;429;196;232;;;;;;
3683;85 Education;2000;14085.0;10879.0;3206.0;42.7;33.0;26.8;20.7;330;526;564;563;1;438;200;238;;;;;;
3684;85 Education;2001;15211.0;11586.0;3625.0;45.1;34.4;28.2;21.4;337;540;581;581;0;449;201;248;210.0;137.0;73.0;239.0;64.0;175.0
3685;85 Education;2002;16391.0;12488.0;3903.0;47.0;35.8;29.1;22.2;349;563;601;601;0;466;202;264;213.0;137.0;76.0;253.0;65.0;188.0
3686;85 Education;2003;17436.0;13251.0;4185.0;48.8;37.1;29.8;22.7;358;584;617;617;0;481;210;271;221.0;139.0;82.0;259.0;71.0;188.0
3687;85 Education;2004;17991.0;13382.0;4609.0;50.7;37.7;31.4;23.4;355;572;613;612;0;478;201;277;216.0;129.0;87.0;261.0;71.0;190.0
3688;85 Education;2005;18476.0;13546.0;4930.0;52.5;38.5;32.6;23.9;352;567;607;606;0;477;197;280;203.0;124.0;79.0;275.0;74.0;201.0
3689;85 Education;2006;18843.0;14043.0;4800.0;53.4;39.8;33.0;24.6;353;571;608;608;0;478;202;276;204.0;127.0;77.0;274.0;75.0;199.0
3690;85 Education;2007;19852.0;14764.0;5088.0;55.5;41.3;34.3;25.5;358;579;617;617;0;491;205;286;200.0;123.0;76.0;291.0;82.0;209.0
3691;85 Education;2008;20999.0;15676.0;5323.0;56.4;42.1;34.5;25.8;372;608;641;640;0;503;210;293;214.0;130.0;84.0;289.0;80.0;209.0
3692;85 Education;2009;22304.0;16663.0;5641.0;59.3;44.3;36.4;27.2;376;612;647;647;0;509;210;299;210.0;128.0;83.0;299.0;83.0;216.0
3693;85 Education;2010;22798.0;16855.0;5943.0;60.8;44.9;37.7;27.9;375;605;639;638;0;510;209;301;206.0;125.0;81.0;304.0;83.0;220.0
3694;85 Education;2011;22905.0;16966.0;5939.0;61.7;45.7;38.1;28.2;371;601;632;632;0;505;205;300;204.0;123.0;81.0;301.0;82.0;219.0
3695;85 Education;2012;22651.0;16602.0;6049.0;61.9;45.3;38.4;28.1;366;590;623;623;0;498;200;298;201.0;120.0;80.0;297.0;80.0;217.0
3696;Q Health and social work activities;1969;1791.0;1490.0;301.0;6.4;5.3;3.3;2.7;281;546;575;572;3;357;73;284;;;;;;
3697;Q Health and social work activities;1970;2133.0;1770.0;363.0;7.1;5.9;3.7;3.1;301;572;603;600;3;382;77;305;;;;;;
3698;Q Health and social work activities;1971;2577.0;2117.0;460.0;7.8;6.4;4.2;3.5;329;613;649;645;4;419;83;335;;;;;;
3699;Q Health and social work activities;1972;3094.0;2526.0;568.0;8.8;7.2;4.7;3.8;351;661;705;700;4;446;88;358;;;;;;
3700;Q Health and social work activities;1973;3704.0;2962.0;742.0;10.0;8.0;5.3;4.3;370;695;729;721;8;472;92;380;;;;;;
3701;Q Health and social work activities;1974;4517.0;3595.0;922.0;11.6;9.3;6.3;5.0;389;720;760;754;6;499;99;400;;;;;;
3702;Q Health and social work activities;1975;5524.0;4405.0;1119.0;13.7;10.9;7.8;6.2;404;710;756;751;4;521;104;417;;;;;;
3703;Q Health and social work activities;1976;6218.0;4946.0;1272.0;15.0;11.9;8.5;6.8;415;733;780;775;5;540;110;430;;;;;;
3704;Q Health and social work activities;1977;6935.0;5538.0;1397.0;16.4;13.1;9.3;7.4;422;744;800;795;4;551;106;445;;;;;;
3705;Q Health and social work activities;1978;7590.0;6063.0;1527.0;17.7;14.1;10.2;8.1;429;747;809;804;4;562;109;453;;;;;;
3706;Q Health and social work activities;1979;8263.0;6569.0;1694.0;19.0;15.1;11.0;8.8;436;750;818;814;4;574;113;461;;;;;;
3707;Q Health and social work activities;1980;8883.0;7045.0;1838.0;19.9;15.8;11.6;9.2;447;767;836;832;3;593;113;479;;;;;;
3708;Q Health and social work activities;1981;9361.0;7437.0;1924.0;20.6;16.3;11.9;9.5;455;784;852;848;3;611;114;497;;;;;;
3709;Q Health and social work activities;1982;9875.0;7878.0;1997.0;21.5;17.1;12.5;9.9;460;792;859;855;3;625;117;508;;;;;;
3710;Q Health and social work activities;1983;9988.0;7882.0;2106.0;21.8;17.2;12.8;10.1;459;778;844;841;3;633;120;513;;;;;;
3711;Q Health and social work activities;1984;9854.0;7798.0;2056.0;21.4;17.0;12.7;10.0;460;776;841;837;4;639;122;516;;;;;;
3712;Q Health and social work activities;1985;10039.0;7964.0;2075.0;21.5;17.1;12.9;10.2;466;780;846;843;3;646;124;522;;;;;;
3713;Q Health and social work activities;1986;10298.0;8175.0;2123.0;21.7;17.2;13.1;10.4;475;785;844;841;3;661;126;535;;;;;;
3714;Q Health and social work activities;1987;10616.0;8470.0;2146.0;22.1;17.6;13.4;10.7;480;794;854;850;3;675;129;546;;;;;;
3715;Q Health and social work activities;1988;10837.0;8695.0;2142.0;22.4;18.0;13.6;10.9;483;798;857;853;4;682;131;551;;;;;;
3716;Q Health and social work activities;1989;11092.0;9024.0;2068.0;22.7;18.4;13.8;11.2;489;806;867;862;5;696;130;566;;;;;;
3717;Q Health and social work activities;1990;11927.0;10419.0;1508.0;23.8;20.8;14.5;12.7;502;823;888;884;4;724;134;590;;;;;;
3718;Q Health and social work activities;1991;12896.0;11219.0;1677.0;25.3;22.0;15.5;13.5;509;833;898;894;4;742;134;609;;;;;;
3719;Q Health and social work activities;1992;13690.0;11927.0;1763.0;26.1;22.7;15.9;13.8;524;863;922;918;5;769;135;634;;;;;;
3720;Q Health and social work activities;1993;14351.0;12574.0;1777.0;27.0;23.6;16.5;14.5;532;868;936;931;5;784;139;645;;;;;;
3721;Q Health and social work activities;1994;14812.0;12989.0;1823.0;27.9;24.5;17.0;14.9;530;872;932;927;5;799;141;658;;;;;;
3722;Q Health and social work activities;1995;15342.0;13445.0;1897.0;28.4;24.9;17.3;15.1;540;889;949;944;5;818;144;674;;;;;;
3723;Q Health and social work activities;1996;16076.0;13943.0;2133.0;29.1;25.3;17.7;15.4;551;908;969;964;5;841;151;691;;;;;;
3724;Q Health and social work activities;1997;16681.0;14412.0;2269.0;29.1;25.1;17.7;15.3;574;941;1005;999;6;869;158;710;;;;;;
3725;Q Health and social work activities;1998;18144.0;14767.0;3377.0;30.0;24.4;18.9;15.4;605;958;1024;1018;6;906;167;739;;;;;;
3726;Q Health and social work activities;1999;19293.0;15682.0;3611.0;31.1;25.3;19.7;16.0;620;979;1046;1039;7;929;171;757;;;;;;
3727;Q Health and social work activities;2000;20578.0;16714.0;3864.0;32.4;26.3;20.6;16.7;635;1000;1069;1062;7;948;173;775;;;;;;
3728;Q Health and social work activities;2001;22840.0;18576.0;4264.0;34.1;27.8;21.7;17.6;669;1054;1124;1119;5;992;181;811;262.0;115.0;146.0;731.0;66.0;664.0
3729;Q Health and social work activities;2002;25428.0;20504.0;4924.0;35.6;28.7;22.6;18.2;713;1126;1197;1192;5;1057;189;868;269.0;118.0;151.0;788.0;71.0;717.0
3730;Q Health and social work activities;2003;27740.0;22334.0;5406.0;37.1;29.9;23.4;18.9;748;1184;1254;1250;4;1111;195;916;268.0;120.0;148.0;843.0;75.0;768.0
3731;Q Health and social work activities;2004;28966.0;23095.0;5871.0;38.4;30.6;24.2;19.3;754;1199;1267;1264;3;1129;196;933;247.0;114.0;133.0;882.0;82.0;800.0
3732;Q Health and social work activities;2005;29925.0;23958.0;5967.0;39.1;31.3;24.7;19.8;766;1210;1287;1284;3;1151;193;958;238.0;111.0;127.0;913.0;82.0;830.0
3733;Q Health and social work activities;2006;31245.0;24987.0;6258.0;39.9;31.9;25.3;20.2;782;1234;1314;1311;3;1172;209;963;251.0;120.0;131.0;921.0;89.0;832.0
3734;Q Health and social work activities;2007;32929.0;26411.0;6518.0;41.5;33.3;26.3;21.1;793;1254;1328;1325;3;1194;211;983;253.0;120.0;133.0;941.0;91.0;850.0
3735;Q Health and social work activities;2008;35042.0;28002.0;7040.0;42.9;34.3;27.1;21.7;817;1292;1364;1361;4;1226;214;1012;274.0;124.0;149.0;952.0;90.0;862.0
3736;Q Health and social work activities;2009;36908.0;29457.0;7451.0;44.1;35.2;27.7;22.1;837;1334;1412;1409;3;1259;218;1041;274.0;124.0;150.0;985.0;94.0;891.0
3737;Q Health and social work activities;2010;38718.0;30829.0;7889.0;44.5;35.4;28.3;22.6;871;1366;1446;1442;4;1324;228;1096;277.0;127.0;150.0;1047.0;101.0;946.0
3738;Q Health and social work activities;2011;40279.0;31996.0;8283.0;45.2;35.9;28.8;22.9;892;1399;1480;1476;4;1356;231;1125;283.0;128.0;154.0;1074.0;103.0;971.0
3739;Q Health and social work activities;2012;41697.0;32920.0;8777.0;46.4;36.6;29.5;23.3;898;1412;1491;1487;4;1367;232;1136;284.0;128.0;156.0;1083.0;103.0;980.0
3740;86 Human health activities;1969;827.0;692.0;135.0;7.7;6.5;3.8;3.1;107;220;232;231;1;134;38;96;;;;;;
3741;86 Human health activities;1970;985.0;822.0;163.0;8.6;7.2;4.3;3.6;114;231;243;242;1;143;41;103;;;;;;
3742;86 Human health activities;1971;1189.0;983.0;206.0;9.5;7.9;4.8;4.0;125;247;262;260;2;157;44;113;;;;;;
3743;86 Human health activities;1972;1428.0;1173.0;255.0;10.7;8.8;5.4;4.4;133;266;284;282;2;167;46;120;;;;;;
3744;86 Human health activities;1973;1709.0;1376.0;333.0;12.2;9.8;6.1;4.9;140;280;294;291;3;176;49;128;;;;;;
3745;86 Human health activities;1974;2084.0;1670.0;414.0;14.1;11.3;7.2;5.7;148;291;306;304;3;187;52;135;;;;;;
3746;86 Human health activities;1975;2548.0;2046.0;502.0;16.6;13.3;8.9;7.1;154;288;306;304;2;195;55;140;;;;;;
3747;86 Human health activities;1976;2868.0;2297.0;571.0;18.1;14.5;9.6;7.7;158;298;317;314;2;202;58;145;;;;;;
3748;86 Human health activities;1977;3199.0;2572.0;627.0;19.9;16.0;10.6;8.5;160;302;325;323;2;205;56;150;;;;;;
3749;86 Human health activities;1978;3501.0;2816.0;685.0;21.4;17.2;11.5;9.3;163;304;329;327;2;210;57;152;;;;;;
3750;86 Human health activities;1979;3811.0;3051.0;760.0;23.0;18.4;12.4;10.0;166;307;333;331;2;214;59;155;;;;;;
3751;86 Human health activities;1980;4097.0;3272.0;825.0;24.1;19.3;13.1;10.5;170;313;340;338;1;221;60;161;;;;;;
3752;86 Human health activities;1981;4317.0;3454.0;863.0;25.0;20.0;13.5;10.8;173;319;346;344;1;227;60;167;;;;;;
3753;86 Human health activities;1982;4555.0;3659.0;896.0;26.0;20.9;14.1;11.3;175;323;349;348;1;233;62;171;;;;;;
3754;86 Human health activities;1983;4606.0;3661.0;945.0;26.4;20.9;14.5;11.5;175;317;344;343;1;236;63;173;;;;;;
3755;86 Human health activities;1984;4545.0;3622.0;923.0;25.9;20.6;14.3;11.4;175;317;343;341;2;238;64;174;;;;;;
3756;86 Human health activities;1985;4630.0;3699.0;931.0;26.0;20.8;14.5;11.6;178;319;345;344;1;241;65;176;;;;;;
3757;86 Human health activities;1986;4750.0;3797.0;953.0;26.2;21.0;14.8;11.8;181;321;344;343;1;246;66;180;;;;;;
3758;86 Human health activities;1987;4897.0;3934.0;963.0;26.7;21.4;15.1;12.1;183;325;348;347;1;251;68;184;;;;;;
3759;86 Human health activities;1988;4979.0;4032.0;947.0;27.0;21.8;15.3;12.4;185;326;350;348;2;254;69;185;;;;;;
3760;86 Human health activities;1989;5111.0;4206.0;905.0;27.4;22.5;15.5;12.8;187;329;353;351;2;259;69;190;;;;;;
3761;86 Human health activities;1990;5431.0;4759.0;672.0;28.4;24.9;16.2;14.2;191;336;361;360;2;269;70;199;;;;;;
3762;86 Human health activities;1991;5942.0;5184.0;758.0;30.7;26.8;17.5;15.3;193;339;365;363;2;275;70;205;;;;;;
3763;86 Human health activities;1992;6311.0;5510.0;801.0;31.7;27.7;18.0;15.7;199;351;374;372;2;285;71;213;;;;;;
3764;86 Human health activities;1993;6575.0;5768.0;807.0;32.6;28.6;18.7;16.4;202;353;380;378;2;290;73;217;;;;;;
3765;86 Human health activities;1994;6748.0;5913.0;835.0;33.5;29.4;19.0;16.7;201;354;379;377;2;295;74;221;;;;;;
3766;86 Human health activities;1995;6994.0;6123.0;871.0;34.2;29.9;19.4;17.0;205;361;385;383;2;303;76;227;;;;;;
3767;86 Human health activities;1996;7277.0;6308.0;969.0;34.7;30.1;19.7;17.1;210;369;394;392;2;312;79;232;;;;;;
3768;86 Human health activities;1997;7553.0;6516.0;1037.0;34.5;29.8;19.7;17.0;219;383;410;407;3;322;83;239;;;;;;
3769;86 Human health activities;1998;8382.0;6796.0;1586.0;36.3;29.5;21.5;17.4;231;390;417;415;3;337;88;249;;;;;;
3770;86 Human health activities;1999;8905.0;7229.0;1676.0;37.7;30.6;22.4;18.2;236;398;426;423;3;345;90;255;;;;;;
3771;86 Human health activities;2000;9474.0;7681.0;1793.0;39.2;31.8;23.3;18.9;242;407;435;432;3;352;91;261;;;;;;
3772;86 Human health activities;2001;10581.0;8651.0;1930.0;38.9;31.8;24.7;20.2;272;428;458;456;2;368;95;273;137.0;68.0;69.0;231.0;28.0;204.0
3773;86 Human health activities;2002;11827.0;9590.0;2237.0;40.9;33.2;25.8;20.9;289;458;487;484;3;384;98;285;140.0;69.0;71.0;243.0;29.0;214.0
3774;86 Human health activities;2003;13022.0;10526.0;2496.0;42.9;34.7;26.9;21.8;303;484;511;509;2;404;103;301;146.0;72.0;74.0;259.0;31.0;227.0
3775;86 Human health activities;2004;13748.0;10969.0;2779.0;44.8;35.7;28.2;22.5;307;488;517;515;1;411;103;308;135.0;69.0;66.0;276.0;34.0;242.0
3776;86 Human health activities;2005;14385.0;11541.0;2844.0;45.8;36.8;28.9;23.2;314;497;529;527;2;421;102;318;135.0;69.0;66.0;286.0;34.0;252.0
3777;86 Human health activities;2006;14987.0;12000.0;2987.0;46.9;37.6;29.6;23.7;319;505;539;537;2;427;110;316;142.0;74.0;68.0;285.0;36.0;248.0
3778;86 Human health activities;2007;15871.0;12729.0;3142.0;48.9;39.2;30.8;24.7;325;515;546;544;2;436;112;324;144.0;75.0;69.0;292.0;37.0;254.0
3779;86 Human health activities;2008;16821.0;13490.0;3331.0;50.5;40.5;31.8;25.5;333;529;558;556;2;446;114;332;152.0;76.0;75.0;295.0;38.0;257.0
3780;86 Human health activities;2009;17822.0;14253.0;3569.0;52.0;41.6;32.4;25.9;343;550;581;579;2;458;117;341;155.0;78.0;77.0;303.0;39.0;264.0
3781;86 Human health activities;2010;18357.0;14664.0;3693.0;52.6;42.0;32.8;26.2;349;559;591;589;2;469;118;352;156.0;78.0;78.0;313.0;40.0;273.0
3782;86 Human health activities;2011;19212.0;15312.0;3900.0;53.6;42.8;33.5;26.7;358;574;607;605;2;482;120;362;160.0;79.0;81.0;322.0;41.0;282.0
3783;86 Human health activities;2012;19934.0;15791.0;4143.0;55.0;43.6;34.3;27.1;362;582;614;612;2;488;120;368;161.0;79.0;82.0;327.0;41.0;286.0
3784;87-88 Care and social work;1969;964.0;798.0;166.0;5.5;4.6;3.0;2.5;174;326;343;341;2;223;34;189;;;;;;
3785;87-88 Care and social work;1970;1148.0;948.0;200.0;6.1;5.1;3.4;2.8;187;341;360;358;2;239;36;203;;;;;;
3786;87-88 Care and social work;1971;1388.0;1134.0;254.0;6.8;5.5;3.8;3.1;204;366;387;385;3;262;39;222;;;;;;
3787;87-88 Care and social work;1972;1666.0;1353.0;313.0;7.6;6.2;4.2;3.4;218;394;421;419;3;279;42;237;;;;;;
3788;87-88 Care and social work;1973;1995.0;1586.0;409.0;8.7;6.9;4.8;3.8;230;415;436;431;5;296;44;252;;;;;;
3789;87-88 Care and social work;1974;2433.0;1925.0;508.0;10.1;8.0;5.7;4.5;241;429;454;450;4;312;47;265;;;;;;
3790;87-88 Care and social work;1975;2976.0;2359.0;617.0;11.9;9.4;7.0;5.6;250;423;450;447;3;326;49;277;;;;;;
3791;87-88 Care and social work;1976;3350.0;2649.0;701.0;13.1;10.3;7.7;6.1;256;435;464;460;3;337;52;285;;;;;;
3792;87-88 Care and social work;1977;3736.0;2966.0;770.0;14.3;11.3;8.5;6.7;262;442;475;472;3;345;50;295;;;;;;
3793;87-88 Care and social work;1978;4089.0;3247.0;842.0;15.4;12.2;9.2;7.3;266;443;480;477;3;352;52;300;;;;;;
3794;87-88 Care and social work;1979;4452.0;3518.0;934.0;16.5;13.1;10.0;7.9;270;444;485;483;3;359;53;306;;;;;;
3795;87-88 Care and social work;1980;4786.0;3773.0;1013.0;17.3;13.6;10.5;8.3;277;454;496;494;2;372;54;318;;;;;;
3796;87-88 Care and social work;1981;5044.0;3983.0;1061.0;17.9;14.1;10.9;8.6;282;465;506;504;2;384;54;330;;;;;;
3797;87-88 Care and social work;1982;5320.0;4219.0;1101.0;18.7;14.8;11.3;9.0;285;469;510;508;2;393;56;337;;;;;;
3798;87-88 Care and social work;1983;5382.0;4221.0;1161.0;19.0;14.9;11.7;9.2;284;460;500;499;1;397;57;340;;;;;;
3799;87-88 Care and social work;1984;5309.0;4176.0;1133.0;18.7;14.7;11.6;9.1;284;459;498;496;2;401;58;343;;;;;;
3800;87-88 Care and social work;1985;5409.0;4265.0;1144.0;18.8;14.8;11.7;9.2;288;461;501;499;2;405;59;347;;;;;;
3801;87-88 Care and social work;1986;5548.0;4378.0;1170.0;18.9;14.9;11.9;9.4;294;464;500;498;2;414;60;355;;;;;;
3802;87-88 Care and social work;1987;5719.0;4536.0;1183.0;19.3;15.3;12.2;9.7;297;469;506;504;2;423;61;363;;;;;;
3803;87-88 Care and social work;1988;5858.0;4663.0;1195.0;19.6;15.6;12.4;9.9;298;471;507;505;3;428;62;365;;;;;;
3804;87-88 Care and social work;1989;5981.0;4818.0;1163.0;19.8;15.9;12.6;10.1;303;476;514;511;3;437;62;375;;;;;;
