ID;Bedrijfsgrootte;RegioS;Perioden;BoomteeltEnVastePlantenTotaal_1;GewassenTotaal_2;BosEnHaagplantsoen_3;LaanEnParkbomenTotaal_4;Onderstammen_5;Spillen_6;Opzetters_7;Rozenstruiken_8;Sierconiferen_9;SierheestersEnKlimplantenTotaal_10;Buxus_11;Ericaceae_12;TrekEnBesheester_13;OverigeSierheestersEnKlimplanten_14;VastePlanten_15;VruchtbomenTotaal_16;Moerbomen_17;Onderstammen_18;OverigeVruchtbomen_19;TeeltwijzeTotaal_20;TeeltInDeVolleGrond_21;TeeltInPottenEnContainers_22;OnderGlasTotaal_23;Vermeerdering_24;VolledigeTeeltOnderGlas_25;BoomteeltEnVastePlantenTotaal_26;GewassenTotaal_27;BosEnHaagplantsoen_28;LaanEnParkbomenTotaal_29;Onderstammen_30;Spillen_31;Opzetters_32;Rozenstruiken_33;Sierconiferen_34;SierheestersEnKlimplantenTotaal_35;Buxus_36;Ericaceae_37;TrekEnBesheester_38;OverigeSierheestersEnKlimplanten_39;VastePlanten_40;VruchtbomenTotaal_41;Moerbomen_42;Onderstammen_43;OverigeVruchtbomen_44;TeeltwijzeTotaal_45;TeeltInDeVolleGrond_46;TeeltInPottenEnContainers_47;OnderGlasTotaal_48;Vermeerdering_49;VolledigeTeeltOnderGlas_50
67;Alle bedrijfsgroottes;Friesland (PV);2007;164;158;34;11;8.0;0.0;2.0;0;51;48;27.0;0.0;2.0;19.0;11;3;1.0;0.0;2.0;158;150;8;6;3;3;50;45;12;7;3.0;1.0;4.0;0;18;24;12.0;2.0;2.0;21.0;8;5;2.0;0.0;3.0;45;39;13;18;14;11
68;Alle bedrijfsgroottes;Friesland (PV);2008;103;99;25;7;0.0;5.0;1.0;0;28;26;6.0;0.0;6.0;14.0;12;0;0.0;0.0;0.0;99;90;9;4;1;3;37;35;11;7;2.0;2.0;4.0;0;11;18;7.0;3.0;4.0;12.0;7;1;0.0;0.0;1.0;35;31;11;12;9;8
69;Alle bedrijfsgroottes;Friesland (PV);2009;70;66;12;7;1.0;3.0;3.0;0;11;22;10.0;0.0;2.0;10.0;14;0;0.0;0.0;0.0;66;58;9;3;1;3;36;33;9;7;3.0;2.0;3.0;0;14;20;8.0;2.0;2.0;16.0;7;0;0.0;0.0;0.0;33;31;10;10;7;8
70;Alle bedrijfsgroottes;Drenthe (PV);2000;217;209;43;10;;;;3;65;45;;;;;39;3;;;;209;188;21;8;4;4;126;123;21;14;;;;4;56;61;;;;;39;7;;;;123;107;45;35;28;17
71;Alle bedrijfsgroottes;Drenthe (PV);2001;284;279;41;11;;;;4;75;91;;;;;53;4;;;;279;256;23;4;2;3;117;115;20;12;;;;3;59;63;;;;;30;9;;;;115;102;45;30;25;14
72;Alle bedrijfsgroottes;Drenthe (PV);2002;272;266;40;9;;;;0;78;78;;;;;58;4;;;;266;243;23;6;4;2;110;109;19;11;;;;1;56;49;;;;;34;7;;;;109;93;42;27;22;13
73;Alle bedrijfsgroottes;Drenthe (PV);2003;211;208;47;20;;;;0;57;35;;;;;46;3;;;;208;194;14;3;2;2;101;98;22;12;;;;3;50;50;;;;;32;9;;;;98;90;32;30;20;14
74;Alle bedrijfsgroottes;Drenthe (PV);2004;256;246;56;8;;;;0;59;51;;;;;69;3;;;;246;227;19;10;8;2;109;104;18;11;;;;2;46;55;;;;;34;10;;;;104;94;32;30;20;14
75;Alle bedrijfsgroottes;Drenthe (PV);2005;293;289;78;5;;;;0;66;53;;;;;84;2;;;;289;267;22;4;2;2;102;95;18;10;;;;2;47;51;;;;;30;9;;;;95;86;30;33;25;13
76;Alle bedrijfsgroottes;Drenthe (PV);2006;372;365;48;10;0.0;2.0;7.0;0;75;93;47.0;3.0;3.0;41.0;127;11;2.0;2.0;8.0;365;329;36;7;5;2;104;100;19;10;3.0;4.0;5.0;1;45;51;20.0;2.0;4.0;36.0;30;9;2.0;1.0;8.0;100;87;29;25;19;10
