ID;Households;Regions;Periods;MixedIncomeNet_1;TotalCompensationOfEmployees_2;TotalPropertyIncome_3;TotalPropertyIncome_4;PrimaryIncomeNet_5;PrimaryIncomeNet_6;TotalSocialBenefits_7;TotalOtherCurrentTransfers_8;TotalCurrentTaxesOnIncomeAndWealth_9;TotalSocialContributions_10;TotalOtherCurrentTransfers_11;DisposableIncomeNet_12;MixedIncomeNet_13;TotalCompensationOfEmployees_14;TotalPropertyIncome_15;TotalPropertyIncome_16;PrimaryIncomeNet_17;PrimaryIncomeNet_18;TotalSocialBenefits_19;TotalOtherCurrentTransfers_20;TotalCurrentTaxesOnIncomeAndWealth_21;TotalSocialContributions_22;TotalOtherCurrentTransfers_23;DisposableIncomeNet_24;MixedIncomeNet_25;TotalCompensationOfEmployees_26;TotalPropertyIncome_27;TotalPropertyIncome_28;PrimaryIncomeNet_29;PrimaryIncomeNet_30;TotalSocialBenefits_31;TotalOtherCurrentTransfers_32;TotalCurrentTaxesOnIncomeAndWealth_33;TotalSocialContributions_34;TotalOtherCurrentTransfers_35;DisposableIncomeNet_36
2216;Pension, total;Zeeland;2006;;;;;729.0;729.0;;;;;;1651.0;;;;;9392.0;9392.0;;;;;;21263.0;;;;;14871.0;14871.0;;;;;;33666.0
2217;Pension, total;Zeeland;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2218;Pension, total;Zeeland;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2219;Pension, total;Zeeland;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2220;Pension, total;Noord-Brabant;1995;;;;;1882.0;1882.0;;;;;;3549.0;;;;;5971.0;5971.0;;;;;;11257.0;;;;;9282.0;9282.0;;;;;;17498.0
2221;Pension, total;Noord-Brabant;1996;;;;;1883.0;1883.0;;;;;;3548.0;;;;;5812.0;5812.0;;;;;;10955.0;;;;;8978.0;8978.0;;;;;;16922.0
2222;Pension, total;Noord-Brabant;1997;;;;;2217.0;2217.0;;;;;;3951.0;;;;;6525.0;6525.0;;;;;;11626.0;;;;;10094.0;10094.0;;;;;;17985.0
2223;Pension, total;Noord-Brabant;1998;;;;;2329.0;2329.0;;;;;;4229.0;;;;;6663.0;6663.0;;;;;;12097.0;;;;;10446.0;10446.0;;;;;;18965.0
2224;Pension, total;Noord-Brabant;1999;;;;;2151.0;2151.0;;;;;;4335.0;;;;;6298.0;6298.0;;;;;;12697.0;;;;;9808.0;9808.0;;;;;;19772.0
2225;Pension, total;Noord-Brabant;2000;;;;;2460.0;2460.0;;;;;;5093.0;;;;;6805.0;6805.0;;;;;;14090.0;;;;;10649.0;10649.0;;;;;;22051.0
2226;Pension, total;Noord-Brabant;2001;;;;;2217.0;2217.0;;;;;;5106.0;;;;;6037.0;6037.0;;;;;;13899.0;;;;;9586.0;9586.0;;;;;;22072.0
2227;Pension, total;Noord-Brabant;2002;;;;;2399.0;2399.0;;;;;;5993.0;;;;;6315.0;6315.0;;;;;;15775.0;;;;;10124.0;10124.0;;;;;;25290.0
2228;Pension, total;Noord-Brabant;2003;;;;;2484.0;2484.0;;;;;;6040.0;;;;;6423.0;6423.0;;;;;;15619.0;;;;;10241.0;10241.0;;;;;;24903.0
2229;Pension, total;Noord-Brabant;2004;;;;;2869.0;2869.0;;;;;;7184.0;;;;;7394.0;7394.0;;;;;;18513.0;;;;;11713.0;11713.0;;;;;;29326.0
2230;Pension, total;Noord-Brabant;2005;;;;;3095.0;3095.0;;;;;;7540.0;;;;;7741.0;7741.0;;;;;;18855.0;;;;;12326.0;12326.0;;;;;;30026.0
2231;Pension, total;Noord-Brabant;2006;;;;;3716.0;3716.0;;;;;;8576.0;;;;;9025.0;9025.0;;;;;;20828.0;;;;;14323.0;14323.0;;;;;;33055.0
2232;Pension, total;Noord-Brabant;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2233;Pension, total;Noord-Brabant;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2234;Pension, total;Noord-Brabant;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2235;Pension, total;Limburg;1995;;;;;1002.0;1002.0;;;;;;1986.0;;;;;5615.0;5615.0;;;;;;11129.0;;;;;8907.0;8907.0;;;;;;17655.0
2236;Pension, total;Limburg;1996;;;;;983.0;983.0;;;;;;1927.0;;;;;5558.0;5558.0;;;;;;10896.0;;;;;8720.0;8720.0;;;;;;17093.0
2237;Pension, total;Limburg;1997;;;;;1096.0;1096.0;;;;;;2064.0;;;;;6122.0;6122.0;;;;;;11529.0;;;;;9564.0;9564.0;;;;;;18010.0
2238;Pension, total;Limburg;1998;;;;;1063.0;1063.0;;;;;;2107.0;;;;;5845.0;5845.0;;;;;;11587.0;;;;;9177.0;9177.0;;;;;;18190.0
2239;Pension, total;Limburg;1999;;;;;1167.0;1167.0;;;;;;2381.0;;;;;6265.0;6265.0;;;;;;12785.0;;;;;9745.0;9745.0;;;;;;19887.0
2240;Pension, total;Limburg;2000;;;;;1191.0;1191.0;;;;;;2586.0;;;;;6305.0;6305.0;;;;;;13696.0;;;;;9911.0;9911.0;;;;;;21530.0
2241;Pension, total;Limburg;2001;;;;;1308.0;1308.0;;;;;;3086.0;;;;;6712.0;6712.0;;;;;;15834.0;;;;;10510.0;10510.0;;;;;;24793.0
2242;Pension, total;Limburg;2002;;;;;1175.0;1175.0;;;;;;3267.0;;;;;5936.0;5936.0;;;;;;16501.0;;;;;9298.0;9298.0;;;;;;25847.0
2243;Pension, total;Limburg;2003;;;;;1203.0;1203.0;;;;;;3277.0;;;;;5987.0;5987.0;;;;;;16312.0;;;;;9400.0;9400.0;;;;;;25609.0
2244;Pension, total;Limburg;2004;;;;;1060.0;1060.0;;;;;;3474.0;;;;;5206.0;5206.0;;;;;;17063.0;;;;;8235.0;8235.0;;;;;;26993.0
2245;Pension, total;Limburg;2005;;;;;1275.0;1275.0;;;;;;3824.0;;;;;6027.0;6027.0;;;;;;18072.0;;;;;9441.0;9441.0;;;;;;28309.0
2246;Pension, total;Limburg;2006;;;;;1378.0;1378.0;;;;;;4374.0;;;;;6453.0;6453.0;;;;;;20484.0;;;;;10203.0;10203.0;;;;;;32388.0
2247;Pension, total;Limburg;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2248;Pension, total;Limburg;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2249;Pension, total;Limburg;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2250;Pension, total;Agglomeration of Utrecht;1995;;;;;691.0;691.0;;;;;;1078.0;;;;;9376.0;9376.0;;;;;;14636.0;;;;;14035.0;14035.0;;;;;;21909.0
2251;Pension, total;Agglomeration of Utrecht;1996;;;;;638.0;638.0;;;;;;1005.0;;;;;8789.0;8789.0;;;;;;13847.0;;;;;12917.0;12917.0;;;;;;20349.0
2252;Pension, total;Agglomeration of Utrecht;1997;;;;;772.0;772.0;;;;;;1125.0;;;;;10411.0;10411.0;;;;;;15170.0;;;;;15591.0;15591.0;;;;;;22718.0
2253;Pension, total;Agglomeration of Utrecht;1998;;;;;797.0;797.0;;;;;;1181.0;;;;;10290.0;10290.0;;;;;;15242.0;;;;;15734.0;15734.0;;;;;;23307.0
2254;Pension, total;Agglomeration of Utrecht;1999;;;;;833.0;833.0;;;;;;1319.0;;;;;11065.0;11065.0;;;;;;17509.0;;;;;17056.0;17056.0;;;;;;26990.0
2255;Pension, total;Agglomeration of Utrecht;2000;;;;;648.0;648.0;;;;;;1239.0;;;;;8459.0;8459.0;;;;;;16174.0;;;;;12973.0;12973.0;;;;;;24806.0
2256;Pension, total;Agglomeration of Utrecht;2001;;;;;657.0;657.0;;;;;;1291.0;;;;;8685.0;8685.0;;;;;;17058.0;;;;;13109.0;13109.0;;;;;;25747.0
2257;Pension, total;Agglomeration of Utrecht;2002;;;;;635.0;635.0;;;;;;1491.0;;;;;7916.0;7916.0;;;;;;18594.0;;;;;11972.0;11972.0;;;;;;28122.0
2258;Pension, total;Agglomeration of Utrecht;2003;;;;;633.0;633.0;;;;;;1471.0;;;;;7808.0;7808.0;;;;;;18129.0;;;;;11929.0;11929.0;;;;;;27696.0
2259;Pension, total;Agglomeration of Utrecht;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2260;Pension, total;Agglomeration of Utrecht;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2261;Pension, total;Agglomeration of Utrecht;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2262;Pension, total;Agglomeration of Utrecht;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2263;Pension, total;Agglomeration of Utrecht;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2264;Pension, total;Agglomeration of Utrecht;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2265;Pension, total;Agglomeration of Amsterdam;1995;;;;;1167.0;1167.0;;;;;;2130.0;;;;;6883.0;6883.0;;;;;;12564.0;;;;;10001.0;10001.0;;;;;;18255.0
2266;Pension, total;Agglomeration of Amsterdam;1996;;;;;1060.0;1060.0;;;;;;1968.0;;;;;6249.0;6249.0;;;;;;11606.0;;;;;9041.0;9041.0;;;;;;16792.0
2267;Pension, total;Agglomeration of Amsterdam;1997;;;;;1154.0;1154.0;;;;;;2085.0;;;;;6792.0;6792.0;;;;;;12268.0;;;;;9866.0;9866.0;;;;;;17821.0
2268;Pension, total;Agglomeration of Amsterdam;1998;;;;;1231.0;1231.0;;;;;;2227.0;;;;;7020.0;7020.0;;;;;;12697.0;;;;;10332.0;10332.0;;;;;;18687.0
2269;Pension, total;Agglomeration of Amsterdam;1999;;;;;1215.0;1215.0;;;;;;2333.0;;;;;7140.0;7140.0;;;;;;13712.0;;;;;10348.0;10348.0;;;;;;19873.0
2270;Pension, total;Agglomeration of Amsterdam;2000;;;;;1301.0;1301.0;;;;;;2607.0;;;;;7673.0;7673.0;;;;;;15381.0;;;;;11143.0;11143.0;;;;;;22339.0
2271;Pension, total;Agglomeration of Amsterdam;2001;;;;;1213.0;1213.0;;;;;;2540.0;;;;;7220.0;7220.0;;;;;;15122.0;;;;;10690.0;10690.0;;;;;;22389.0
2272;Pension, total;Agglomeration of Amsterdam;2002;;;;;1199.0;1199.0;;;;;;2851.0;;;;;7163.0;7163.0;;;;;;17029.0;;;;;10491.0;10491.0;;;;;;24941.0
2273;Pension, total;Agglomeration of Amsterdam;2003;;;;;1204.0;1204.0;;;;;;2766.0;;;;;7061.0;7061.0;;;;;;16225.0;;;;;10412.0;10412.0;;;;;;23926.0
2274;Pension, total;Agglomeration of Amsterdam;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2275;Pension, total;Agglomeration of Amsterdam;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2276;Pension, total;Agglomeration of Amsterdam;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2277;Pension, total;Agglomeration of Amsterdam;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2278;Pension, total;Agglomeration of Amsterdam;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2279;Pension, total;Agglomeration of Amsterdam;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2280;Pension, total;Agglomeration of 's-Gravenhage;1995;;;;;1111.0;1111.0;;;;;;1805.0;;;;;8569.0;8569.0;;;;;;13917.0;;;;;12322.0;12322.0;;;;;;20013.0
2281;Pension, total;Agglomeration of 's-Gravenhage;1996;;;;;1140.0;1140.0;;;;;;1763.0;;;;;8582.0;8582.0;;;;;;13277.0;;;;;12486.0;12486.0;;;;;;19317.0
2282;Pension, total;Agglomeration of 's-Gravenhage;1997;;;;;1071.0;1071.0;;;;;;1738.0;;;;;8085.0;8085.0;;;;;;13121.0;;;;;11773.0;11773.0;;;;;;19106.0
2283;Pension, total;Agglomeration of 's-Gravenhage;1998;;;;;1090.0;1090.0;;;;;;1765.0;;;;;8356.0;8356.0;;;;;;13536.0;;;;;12581.0;12581.0;;;;;;20382.0
2284;Pension, total;Agglomeration of 's-Gravenhage;1999;;;;;1013.0;1013.0;;;;;;1847.0;;;;;8047.0;8047.0;;;;;;14677.0;;;;;11857.0;11857.0;;;;;;21628.0
2285;Pension, total;Agglomeration of 's-Gravenhage;2000;;;;;1118.0;1118.0;;;;;;2118.0;;;;;8666.0;8666.0;;;;;;16422.0;;;;;12865.0;12865.0;;;;;;24380.0
2286;Pension, total;Agglomeration of 's-Gravenhage;2001;;;;;1039.0;1039.0;;;;;;2308.0;;;;;8027.0;8027.0;;;;;;17840.0;;;;;11661.0;11661.0;;;;;;25916.0
2287;Pension, total;Agglomeration of 's-Gravenhage;2002;;;;;1168.0;1168.0;;;;;;2634.0;;;;;9145.0;9145.0;;;;;;20625.0;;;;;13490.0;13490.0;;;;;;30427.0
2288;Pension, total;Agglomeration of 's-Gravenhage;2003;;;;;1220.0;1220.0;;;;;;2492.0;;;;;9374.0;9374.0;;;;;;19148.0;;;;;13905.0;13905.0;;;;;;28404.0
2289;Pension, total;Agglomeration of 's-Gravenhage;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2290;Pension, total;Agglomeration of 's-Gravenhage;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2291;Pension, total;Agglomeration of 's-Gravenhage;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2292;Pension, total;Agglomeration of 's-Gravenhage;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2293;Pension, total;Agglomeration of 's-Gravenhage;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2294;Pension, total;Agglomeration of 's-Gravenhage;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2295;Pension, total;Rijnmond;1995;;;;;1087.0;1087.0;;;;;;2203.0;;;;;5636.0;5636.0;;;;;;11425.0;;;;;8535.0;8535.0;;;;;;17304.0
2296;Pension, total;Rijnmond;1996;;;;;1083.0;1083.0;;;;;;2134.0;;;;;5511.0;5511.0;;;;;;10861.0;;;;;8371.0;8371.0;;;;;;16498.0
2297;Pension, total;Rijnmond;1997;;;;;1172.0;1172.0;;;;;;2247.0;;;;;5906.0;5906.0;;;;;;11319.0;;;;;8876.0;8876.0;;;;;;17013.0
2298;Pension, total;Rijnmond;1998;;;;;1269.0;1269.0;;;;;;2401.0;;;;;6462.0;6462.0;;;;;;12229.0;;;;;9715.0;9715.0;;;;;;18383.0
2299;Pension, total;Rijnmond;1999;;;;;1188.0;1188.0;;;;;;2475.0;;;;;6129.0;6129.0;;;;;;12772.0;;;;;9058.0;9058.0;;;;;;18876.0
2300;Pension, total;Rijnmond;2000;;;;;1073.0;1073.0;;;;;;2560.0;;;;;5511.0;5511.0;;;;;;13151.0;;;;;8161.0;8161.0;;;;;;19475.0
2301;Pension, total;Rijnmond;2001;;;;;1209.0;1209.0;;;;;;2748.0;;;;;6407.0;6407.0;;;;;;14557.0;;;;;9558.0;9558.0;;;;;;21717.0
2302;Pension, total;Rijnmond;2002;;;;;1162.0;1162.0;;;;;;3031.0;;;;;6115.0;6115.0;;;;;;15945.0;;;;;9105.0;9105.0;;;;;;23745.0
2303;Pension, total;Rijnmond;2003;;;;;1153.0;1153.0;;;;;;2947.0;;;;;5999.0;5999.0;;;;;;15335.0;;;;;8949.0;8949.0;;;;;;22876.0
2304;Pension, total;Rijnmond;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2305;Pension, total;Rijnmond;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2306;Pension, total;Rijnmond;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2307;Pension, total;Rijnmond;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2308;Pension, total;Rijnmond;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2309;Pension, total;Rijnmond;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2310;Pension, single person;Netherlands;1995;605.0;137.0;5174.0;168.0;5748.0;5748.0;10845.0;;1552.0;3626.0;;11380.0;766.0;173.0;6543.0;213.0;7268.0;7268.0;13714.0;;1963.0;4586.0;;14389.0;766.0;173.0;6543.0;213.0;7268.0;7268.0;13714.0;;1963.0;4586.0;;14389.0
2311;Pension, single person;Netherlands;1996;631.0;192.0;4742.0;248.0;5317.0;5317.0;11113.0;;1696.0;3738.0;;10889.0;779.0;237.0;5853.0;306.0;6564.0;6564.0;13718.0;;2093.0;4615.0;;13441.0;779.0;237.0;5853.0;306.0;6564.0;6564.0;13718.0;;2093.0;4615.0;;13441.0
2312;Pension, single person;Netherlands;1997;673.0;189.0;5055.0;189.0;5727.0;5727.0;11616.0;;1568.0;4063.0;;11589.0;818.0;229.0;6149.0;230.0;6966.0;6966.0;14130.0;;1908.0;4942.0;;14099.0;818.0;229.0;6149.0;230.0;6966.0;6966.0;14130.0;;1908.0;4942.0;;14099.0
2313;Pension, single person;Netherlands;1998;726.0;190.0;5007.0;194.0;5728.0;5728.0;11615.0;;1611.0;3997.0;;11640.0;925.0;242.0;6384.0;248.0;7303.0;7303.0;14810.0;;2054.0;5096.0;;14841.0;925.0;242.0;6384.0;248.0;7303.0;7303.0;14810.0;;2054.0;5096.0;;14841.0
2314;Pension, single person;Netherlands;1999;765.0;221.0;4952.0;260.0;5678.0;5678.0;12700.0;;1024.0;4472.0;;12788.0;954.0;276.0;6179.0;324.0;7085.0;7085.0;15845.0;;1278.0;5580.0;;15956.0;954.0;276.0;6179.0;324.0;7085.0;7085.0;15845.0;;1278.0;5580.0;;15956.0
2315;Pension, single person;Netherlands;2000;864.0;231.0;4994.0;341.0;5749.0;5749.0;13614.0;;1083.0;4402.0;;13749.0;1062.0;283.0;6134.0;419.0;7061.0;7061.0;16722.0;;1330.0;5407.0;;16887.0;1062.0;283.0;6134.0;419.0;7061.0;7061.0;16722.0;;1330.0;5407.0;;16887.0
2316;Pension, single person;Netherlands;2001;931.0;282.0;4554.0;353.0;5414.0;5414.0;14350.0;;1659.0;4051.0;;14168.0;1140.0;345.0;5577.0;432.0;6630.0;6630.0;17575.0;;2031.0;4961.0;;17352.0;1140.0;345.0;5577.0;432.0;6630.0;6630.0;17575.0;;2031.0;4961.0;;17352.0
2317;Pension, single person;Netherlands;2002;939.0;273.0;4948.0;356.0;5804.0;5804.0;15276.0;;1778.0;3543.0;;16071.0;1142.0;333.0;6017.0;433.0;7058.0;7058.0;18577.0;;2162.0;4309.0;;19543.0;1142.0;333.0;6017.0;433.0;7058.0;7058.0;18577.0;;2162.0;4309.0;;19543.0
2318;Pension, single person;Netherlands;2003;998.0;283.0;4864.0;348.0;5797.0;5797.0;15747.0;;1930.0;4105.0;;15815.0;1198.0;340.0;5841.0;418.0;6961.0;6961.0;18910.0;;2318.0;4930.0;;18991.0;1198.0;340.0;5841.0;418.0;6961.0;6961.0;18910.0;;2318.0;4930.0;;18991.0
2319;Pension, single person;Netherlands;2004;804.0;287.0;6846.0;383.0;7554.0;7554.0;16059.0;;1553.0;2795.0;;19123.0;962.0;343.0;8187.0;458.0;9034.0;9034.0;19206.0;;1858.0;3343.0;;22871.0;962.0;343.0;8187.0;458.0;9034.0;9034.0;19206.0;;1858.0;3343.0;;22871.0
2320;Pension, single person;Netherlands;2005;775.0;323.0;8247.0;421.0;8924.0;8924.0;16479.0;;1781.0;2803.0;;20777.0;909.0;379.0;9674.0;494.0;10468.0;10468.0;19331.0;;2089.0;3288.0;;24372.0;909.0;379.0;9674.0;494.0;10468.0;10468.0;19331.0;;2089.0;3288.0;;24372.0
2321;Pension, single person;Netherlands;2006;965.0;275.0;9816.0;555.0;10502.0;10502.0;17961.0;;1289.0;3351.0;;23738.0;1119.0;319.0;11383.0;644.0;12178.0;12178.0;20828.0;;1495.0;3886.0;;27526.0;1119.0;319.0;11383.0;644.0;12178.0;12178.0;20828.0;;1495.0;3886.0;;27526.0
2322;Pension, single person;Netherlands;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2323;Pension, single person;Netherlands;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2324;Pension, single person;Netherlands;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2325;Pension, single person;Extra-regio;1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2326;Pension, single person;Extra-regio;1996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2327;Pension, single person;Extra-regio;1997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2328;Pension, single person;Extra-regio;1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2329;Pension, single person;Extra-regio;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2330;Pension, single person;Extra-regio;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2331;Pension, single person;Extra-regio;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2332;Pension, single person;Extra-regio;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2333;Pension, single person;Extra-regio;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2334;Pension, single person;Extra-regio;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2335;Pension, single person;Extra-regio;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2336;Pension, single person;Extra-regio;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2337;Pension, single person;Extra-regio;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2338;Pension, single person;Extra-regio;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2339;Pension, single person;Extra-regio;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2340;Pension, single person;North-Netherlands;1995;65.0;11.0;507.0;14.0;568.0;568.0;1118.0;;155.0;357.0;;1170.0;765.0;124.0;5998.0;163.0;6724.0;6724.0;13223.0;;1837.0;4222.0;;13846.0;765.0;124.0;5998.0;163.0;6724.0;6724.0;13223.0;;1837.0;4222.0;;13846.0
2341;Pension, single person;North-Netherlands;1996;67.0;16.0;482.0;15.0;550.0;550.0;1134.0;;156.0;363.0;;1154.0;765.0;184.0;5507.0;175.0;6281.0;6281.0;12949.0;;1783.0;4141.0;;13172.0;765.0;184.0;5507.0;175.0;6281.0;6281.0;12949.0;;1783.0;4141.0;;13172.0
2342;Pension, single person;North-Netherlands;1997;47.0;13.0;520.0;17.0;562.0;562.0;1189.0;;135.0;397.0;;1207.0;523.0;141.0;5813.0;189.0;6287.0;6287.0;13294.0;;1504.0;4440.0;;13487.0;523.0;141.0;5813.0;189.0;6287.0;6287.0;13294.0;;1504.0;4440.0;;13487.0
2343;Pension, single person;North-Netherlands;1998;77.0;11.0;501.0;17.0;571.0;571.0;1256.0;;142.0;414.0;;1260.0;872.0;123.0;5709.0;199.0;6506.0;6506.0;14319.0;;1620.0;4717.0;;14366.0;872.0;123.0;5709.0;199.0;6506.0;6506.0;14319.0;;1620.0;4717.0;;14366.0
2344;Pension, single person;North-Netherlands;1999;78.0;18.0;492.0;25.0;562.0;562.0;1354.0;;82.0;463.0;;1361.0;862.0;194.0;5453.0;277.0;6232.0;6232.0;15012.0;;905.0;5131.0;;15092.0;862.0;194.0;5453.0;277.0;6232.0;6232.0;15012.0;;905.0;5131.0;;15092.0
2345;Pension, single person;North-Netherlands;2000;91.0;15.0;544.0;37.0;613.0;613.0;1428.0;;81.0;446.0;;1499.0;984.0;167.0;5908.0;397.0;6661.0;6661.0;15513.0;;884.0;4846.0;;16287.0;984.0;167.0;5908.0;397.0;6661.0;6661.0;15513.0;;884.0;4846.0;;16287.0
2346;Pension, single person;North-Netherlands;2001;94.0;19.0;485.0;36.0;563.0;563.0;1481.0;;150.0;414.0;;1475.0;1069.0;219.0;5515.0;409.0;6394.0;6394.0;16827.0;;1700.0;4706.0;;16766.0;1069.0;219.0;5515.0;409.0;6394.0;6394.0;16827.0;;1700.0;4706.0;;16766.0
2347;Pension, single person;North-Netherlands;2002;101.0;30.0;583.0;38.0;676.0;676.0;1620.0;;178.0;373.0;;1782.0;1116.0;335.0;6430.0;422.0;7459.0;7459.0;17863.0;;1966.0;4117.0;;19654.0;1116.0;335.0;6430.0;422.0;7459.0;7459.0;17863.0;;1966.0;4117.0;;19654.0
2348;Pension, single person;North-Netherlands;2003;107.0;17.0;518.0;38.0;605.0;605.0;1662.0;;185.0;430.0;;1688.0;1166.0;182.0;5621.0;412.0;6557.0;6557.0;18016.0;;2005.0;4657.0;;18302.0;1166.0;182.0;5621.0;412.0;6557.0;6557.0;18016.0;;2005.0;4657.0;;18302.0
2349;Pension, single person;North-Netherlands;2004;69.0;17.0;901.0;35.0;953.0;953.0;1724.0;;156.0;294.0;;2184.0;737.0;184.0;9610.0;376.0;10155.0;10155.0;18379.0;;1668.0;3135.0;;23282.0;737.0;184.0;9610.0;376.0;10155.0;10155.0;18379.0;;1668.0;3135.0;;23282.0
2350;Pension, single person;North-Netherlands;2005;65.0;31.0;1344.0;36.0;1404.0;1404.0;1696.0;;170.0;285.0;;2619.0;705.0;338.0;14630.0;394.0;15279.0;15279.0;18462.0;;1846.0;3102.0;;28501.0;705.0;338.0;14630.0;394.0;15279.0;15279.0;18462.0;;1846.0;3102.0;;28501.0
2351;Pension, single person;North-Netherlands;2006;89.0;13.0;1535.0;45.0;1592.0;1592.0;1844.0;;104.0;352.0;;2962.0;933.0;141.0;16160.0;476.0;16758.0;16758.0;19411.0;;1095.0;3701.0;;31187.0;933.0;141.0;16160.0;476.0;16758.0;16758.0;19411.0;;1095.0;3701.0;;31187.0
2352;Pension, single person;North-Netherlands;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2353;Pension, single person;North-Netherlands;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2354;Pension, single person;North-Netherlands;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2355;Pension, single person;East-Netherlands;1995;114.0;27.0;849.0;35.0;956.0;956.0;1974.0;;262.0;629.0;;2032.0;772.0;180.0;5726.0;233.0;6444.0;6444.0;13312.0;;1766.0;4243.0;;13701.0;772.0;180.0;5726.0;233.0;6444.0;6444.0;13312.0;;1766.0;4243.0;;13701.0
2356;Pension, single person;East-Netherlands;1996;106.0;40.0;809.0;35.0;919.0;919.0;2033.0;;273.0;661.0;;1998.0;695.0;265.0;5329.0;231.0;6058.0;6058.0;13400.0;;1801.0;4357.0;;13167.0;695.0;265.0;5329.0;231.0;6058.0;6058.0;13400.0;;1801.0;4357.0;;13167.0
2357;Pension, single person;East-Netherlands;1997;136.0;38.0;861.0;41.0;994.0;994.0;2095.0;;243.0;710.0;;2113.0;893.0;250.0;5659.0;268.0;6534.0;6534.0;13762.0;;1599.0;4663.0;;13884.0;893.0;250.0;5659.0;268.0;6534.0;6534.0;13762.0;;1599.0;4663.0;;13884.0
