ID;ParticipatieEnVertrouwen;Persoonskenmerken;Perioden;NietZoGelukkig_1;Gelukkig_2;NietZoTevredenMetHetLeven_3;TevredenMetHetLeven_4
853;234;Leeftijd: 50 tot 65 jaar;2006;;;;
854;234;Leeftijd: 50 tot 65 jaar;2007;;;;
855;234;Leeftijd: 50 tot 65 jaar;2008;;;;
856;234;Leeftijd: 50 tot 65 jaar;2009;12.0;88.0;14.0;86.0
857;234;Leeftijd: 50 tot 65 jaar;2010 oude methode;14.0;86.0;16.0;84.0
858;234;Leeftijd: 50 tot 65 jaar;2010 nieuwe methode;19.0;81.0;17.0;83.0
859;234;Leeftijd: 50 tot 65 jaar;2012;19.0;81.0;19.0;81.0
860;234;Leeftijd: 65 jaar of ouder;2003;;;;
861;234;Leeftijd: 65 jaar of ouder;2004;;;;
862;234;Leeftijd: 65 jaar of ouder;2005;;;;
863;234;Leeftijd: 65 jaar of ouder;2006;;;;
864;234;Leeftijd: 65 jaar of ouder;2007;;;;
865;234;Leeftijd: 65 jaar of ouder;2008;;;;
866;234;Leeftijd: 65 jaar of ouder;2009;17.0;83.0;13.0;87.0
867;234;Leeftijd: 65 jaar of ouder;2010 oude methode;20.0;80.0;14.0;86.0
868;234;Leeftijd: 65 jaar of ouder;2010 nieuwe methode;21.0;79.0;16.0;84.0
869;234;Leeftijd: 65 jaar of ouder;2012;19.0;81.0;15.0;85.0
870;234;Herkomst: autochtoon;2003;;;;
871;234;Herkomst: autochtoon;2004;;;;
872;234;Herkomst: autochtoon;2005;;;;
873;234;Herkomst: autochtoon;2006;;;;
874;234;Herkomst: autochtoon;2007;;;;
875;234;Herkomst: autochtoon;2008;;;;
876;234;Herkomst: autochtoon;2009;11.0;89.0;11.0;89.0
877;234;Herkomst: autochtoon;2010 oude methode;12.0;88.0;12.0;88.0
878;234;Herkomst: autochtoon;2010 nieuwe methode;15.0;85.0;14.0;86.0
879;234;Herkomst: autochtoon;2012;16.0;84.0;15.0;85.0
880;234;Herkomst: westerse allochtoon;2003;;;;
881;234;Herkomst: westerse allochtoon;2004;;;;
882;234;Herkomst: westerse allochtoon;2005;;;;
883;234;Herkomst: westerse allochtoon;2006;;;;
884;234;Herkomst: westerse allochtoon;2007;;;;
885;234;Herkomst: westerse allochtoon;2008;;;;
886;234;Herkomst: westerse allochtoon;2009;13.0;87.0;18.0;82.0
887;234;Herkomst: westerse allochtoon;2010 oude methode;18.0;82.0;18.0;82.0
888;234;Herkomst: westerse allochtoon;2010 nieuwe methode;22.0;78.0;19.0;81.0
889;234;Herkomst: westerse allochtoon;2012;18.0;82.0;18.0;82.0
890;234;Herkomst: niet-westerse allochtoon;2003;;;;
891;234;Herkomst: niet-westerse allochtoon;2004;;;;
892;234;Herkomst: niet-westerse allochtoon;2005;;;;
893;234;Herkomst: niet-westerse allochtoon;2006;;;;
894;234;Herkomst: niet-westerse allochtoon;2007;;;;
895;234;Herkomst: niet-westerse allochtoon;2008;;;;
896;234;Herkomst: niet-westerse allochtoon;2009;23.0;77.0;25.0;75.0
897;234;Herkomst: niet-westerse allochtoon;2010 oude methode;23.0;77.0;24.0;76.0
898;234;Herkomst: niet-westerse allochtoon;2010 nieuwe methode;27.0;73.0;20.0;80.0
899;234;Herkomst: niet-westerse allochtoon;2012;;;;
900;567;Totaal persoonskenmerken;2003;;;;
901;567;Totaal persoonskenmerken;2004;;;;
902;567;Totaal persoonskenmerken;2005;;;;
903;567;Totaal persoonskenmerken;2006;;;;
904;567;Totaal persoonskenmerken;2007;;;;
905;567;Totaal persoonskenmerken;2008;;;;
906;567;Totaal persoonskenmerken;2009;9.0;91.0;12.0;88.0
907;567;Totaal persoonskenmerken;2010 oude methode;10.0;90.0;13.0;87.0
908;567;Totaal persoonskenmerken;2010 nieuwe methode;15.0;85.0;15.0;85.0
909;567;Totaal persoonskenmerken;2012;17.0;83.0;18.0;82.0
910;567;Geslacht: mannen;2003;;;;
911;567;Geslacht: mannen;2004;;;;
912;567;Geslacht: mannen;2005;;;;
913;567;Geslacht: mannen;2006;;;;
914;567;Geslacht: mannen;2007;;;;
915;567;Geslacht: mannen;2008;;;;
916;567;Geslacht: mannen;2009;8.0;92.0;11.0;89.0
917;567;Geslacht: mannen;2010 oude methode;10.0;90.0;13.0;87.0
918;567;Geslacht: mannen;2010 nieuwe methode;12.0;88.0;14.0;86.0
919;567;Geslacht: mannen;2012;18.0;82.0;19.0;81.0
920;567;Geslacht: vrouwen;2003;;;;
921;567;Geslacht: vrouwen;2004;;;;
922;567;Geslacht: vrouwen;2005;;;;
923;567;Geslacht: vrouwen;2006;;;;
924;567;Geslacht: vrouwen;2007;;;;
925;567;Geslacht: vrouwen;2008;;;;
926;567;Geslacht: vrouwen;2009;11.0;89.0;12.0;88.0
927;567;Geslacht: vrouwen;2010 oude methode;10.0;90.0;12.0;88.0
928;567;Geslacht: vrouwen;2010 nieuwe methode;17.0;83.0;16.0;84.0
929;567;Geslacht: vrouwen;2012;15.0;85.0;17.0;83.0
930;567;Leeftijd: 18 tot 35 jaar;2003;;;;
931;567;Leeftijd: 18 tot 35 jaar;2004;;;;
932;567;Leeftijd: 18 tot 35 jaar;2005;;;;
933;567;Leeftijd: 18 tot 35 jaar;2006;;;;
934;567;Leeftijd: 18 tot 35 jaar;2007;;;;
935;567;Leeftijd: 18 tot 35 jaar;2008;;;;
936;567;Leeftijd: 18 tot 35 jaar;2009;10.0;90.0;11.0;89.0
937;567;Leeftijd: 18 tot 35 jaar;2010 oude methode;7.0;93.0;10.0;90.0
938;567;Leeftijd: 18 tot 35 jaar;2010 nieuwe methode;14.0;86.0;15.0;85.0
939;567;Leeftijd: 18 tot 35 jaar;2012;12.0;88.0;16.0;84.0
940;567;Leeftijd: 35 tot 50 jaar;2003;;;;
941;567;Leeftijd: 35 tot 50 jaar;2004;;;;
942;567;Leeftijd: 35 tot 50 jaar;2005;;;;
943;567;Leeftijd: 35 tot 50 jaar;2006;;;;
944;567;Leeftijd: 35 tot 50 jaar;2007;;;;
945;567;Leeftijd: 35 tot 50 jaar;2008;;;;
946;567;Leeftijd: 35 tot 50 jaar;2009;9.0;91.0;13.0;87.0
947;567;Leeftijd: 35 tot 50 jaar;2010 oude methode;11.0;89.0;13.0;87.0
948;567;Leeftijd: 35 tot 50 jaar;2010 nieuwe methode;15.0;85.0;16.0;84.0
949;567;Leeftijd: 35 tot 50 jaar;2012;15.0;85.0;17.0;83.0
950;567;Leeftijd: 50 tot 65 jaar;2003;;;;
951;567;Leeftijd: 50 tot 65 jaar;2004;;;;
952;567;Leeftijd: 50 tot 65 jaar;2005;;;;
953;567;Leeftijd: 50 tot 65 jaar;2006;;;;
954;567;Leeftijd: 50 tot 65 jaar;2007;;;;
955;567;Leeftijd: 50 tot 65 jaar;2008;;;;
956;567;Leeftijd: 50 tot 65 jaar;2009;9.0;91.0;10.0;90.0
957;567;Leeftijd: 50 tot 65 jaar;2010 oude methode;13.0;87.0;12.0;88.0
958;567;Leeftijd: 50 tot 65 jaar;2010 nieuwe methode;14.0;86.0;15.0;85.0
959;567;Leeftijd: 50 tot 65 jaar;2012;25.0;75.0;24.0;76.0
960;567;Leeftijd: 65 jaar of ouder;2003;;;;
961;567;Leeftijd: 65 jaar of ouder;2004;;;;
962;567;Leeftijd: 65 jaar of ouder;2005;;;;
963;567;Leeftijd: 65 jaar of ouder;2006;;;;
964;567;Leeftijd: 65 jaar of ouder;2007;;;;
965;567;Leeftijd: 65 jaar of ouder;2008;;;;
966;567;Leeftijd: 65 jaar of ouder;2009;10.0;90.0;11.0;89.0
967;567;Leeftijd: 65 jaar of ouder;2010 oude methode;11.0;89.0;13.0;87.0
968;567;Leeftijd: 65 jaar of ouder;2010 nieuwe methode;17.0;83.0;15.0;85.0
969;567;Leeftijd: 65 jaar of ouder;2012;;;;
970;567;Herkomst: autochtoon;2003;;;;
971;567;Herkomst: autochtoon;2004;;;;
972;567;Herkomst: autochtoon;2005;;;;
973;567;Herkomst: autochtoon;2006;;;;
974;567;Herkomst: autochtoon;2007;;;;
975;567;Herkomst: autochtoon;2008;;;;
976;567;Herkomst: autochtoon;2009;8.0;92.0;10.0;90.0
977;567;Herkomst: autochtoon;2010 oude methode;9.0;91.0;12.0;88.0
978;567;Herkomst: autochtoon;2010 nieuwe methode;14.0;86.0;15.0;85.0
979;567;Herkomst: autochtoon;2012;15.0;85.0;17.0;83.0
980;567;Herkomst: westerse allochtoon;2003;;;;
981;567;Herkomst: westerse allochtoon;2004;;;;
982;567;Herkomst: westerse allochtoon;2005;;;;
983;567;Herkomst: westerse allochtoon;2006;;;;
984;567;Herkomst: westerse allochtoon;2007;;;;
985;567;Herkomst: westerse allochtoon;2008;;;;
986;567;Herkomst: westerse allochtoon;2009;10.0;90.0;13.0;87.0
987;567;Herkomst: westerse allochtoon;2010 oude methode;;;;
988;567;Herkomst: westerse allochtoon;2010 nieuwe methode;16.0;84.0;16.0;84.0
989;567;Herkomst: westerse allochtoon;2012;;;;
