ID;AirportsCaribbeanNetherlands;Periods;AircraftMovements_1;TotalPassengerTransport_2;PassengerArrivals_3;PassengerDepartures_4
761;Juancho E. Yrausquin Airport (Saba);2017 November;210;1840;930;910
762;Juancho E. Yrausquin Airport (Saba);2017 December;250;2390;1060;1340
763;Juancho E. Yrausquin Airport (Saba);2017 4th quarter;640;5100;2430;2670
764;Juancho E. Yrausquin Airport (Saba);2017;2590;26570;12930;13630
765;Juancho E. Yrausquin Airport (Saba);2018 January;240;2250;1240;1020
766;Juancho E. Yrausquin Airport (Saba);2018 February;210;2110;1060;1050
767;Juancho E. Yrausquin Airport (Saba);2018 March;250;2440;1220;1220
768;Juancho E. Yrausquin Airport (Saba);2018 1st quarter;700;6800;3510;3280
769;Juancho E. Yrausquin Airport (Saba);2018 April;260;2730;1240;1490
770;Juancho E. Yrausquin Airport (Saba);2018 May;250;2580;1360;1220
771;Juancho E. Yrausquin Airport (Saba);2018 June;250;2540;1240;1290
772;Juancho E. Yrausquin Airport (Saba);2018 2nd quarter;760;7840;3840;4000
773;Juancho E. Yrausquin Airport (Saba);2018 July;270;2730;1320;1420
774;Juancho E. Yrausquin Airport (Saba);2018 August;300;2810;1320;1490
775;Juancho E. Yrausquin Airport (Saba);2018 September;80;800;440;360
776;Juancho E. Yrausquin Airport (Saba);2018 3rd quarter;660;6350;3080;3270
777;Juancho E. Yrausquin Airport (Saba);2018 October;190;1890;940;950
778;Juancho E. Yrausquin Airport (Saba);2018 November;260;2480;1240;1240
779;Juancho E. Yrausquin Airport (Saba);2018 December;320;2900;1310;1590
780;Juancho E. Yrausquin Airport (Saba);2018 4th quarter;770;7270;3490;3780
781;Juancho E. Yrausquin Airport (Saba);2018;2890;28260;13920;14340
782;Juancho E. Yrausquin Airport (Saba);2019 January;290;2740;1460;1280
783;Juancho E. Yrausquin Airport (Saba);2019 February;240;2460;1210;1250
784;Juancho E. Yrausquin Airport (Saba);2019 March;310;2780;1360;1420
785;Juancho E. Yrausquin Airport (Saba);2019 1st quarter;840;7970;4020;3950
786;Juancho E. Yrausquin Airport (Saba);2019 April;300;2620;1170;1450
787;Juancho E. Yrausquin Airport (Saba);2019 May;290;2580;1290;1290
788;Juancho E. Yrausquin Airport (Saba);2019 June;280;2500;1250;1250
789;Juancho E. Yrausquin Airport (Saba);2019 2nd quarter;860;7700;3700;4000
790;Juancho E. Yrausquin Airport (Saba);2019 July;320;2560;1230;1320
791;Juancho E. Yrausquin Airport (Saba);2019 August;310;2810;1270;1540
792;Juancho E. Yrausquin Airport (Saba);2019 September;270;1860;1000;860
793;Juancho E. Yrausquin Airport (Saba);2019 3rd quarter;910;7220;3500;3720
794;Juancho E. Yrausquin Airport (Saba);2019 October;340;2260;1080;1180
795;Juancho E. Yrausquin Airport (Saba);2019 November;280;2560;1270;1280
796;Juancho E. Yrausquin Airport (Saba);2019 December;310;2960;1300;1660
797;Juancho E. Yrausquin Airport (Saba);2019 4th quarter;920;7780;3660;4120
798;Juancho E. Yrausquin Airport (Saba);2019;3530;30670;14880;15790
799;Juancho E. Yrausquin Airport (Saba);2020 January;280;2530;1380;1150
800;Juancho E. Yrausquin Airport (Saba);2020 February;270;2630;1270;1360
801;Juancho E. Yrausquin Airport (Saba);2020 March;210;1590;710;880
802;Juancho E. Yrausquin Airport (Saba);2020 1st quarter;760;6750;3360;3390
803;Juancho E. Yrausquin Airport (Saba);2020 April;50;90;20;70
804;Juancho E. Yrausquin Airport (Saba);2020 May;60;70;30;50
805;Juancho E. Yrausquin Airport (Saba);2020 June;110;180;100;80
806;Juancho E. Yrausquin Airport (Saba);2020 2nd quarter;220;340;150;190
807;Juancho E. Yrausquin Airport (Saba);2020 July;190;420;210;210
808;Juancho E. Yrausquin Airport (Saba);2020 August;120;270;130;130
809;Juancho E. Yrausquin Airport (Saba);2020 September;120;200;110;90
810;Juancho E. Yrausquin Airport (Saba);2020 3rd quarter;430;890;450;440
811;Juancho E. Yrausquin Airport (Saba);2020 October;120;190;100;90
812;Juancho E. Yrausquin Airport (Saba);2020 November;140;290;150;140
813;Juancho E. Yrausquin Airport (Saba);2020 December;190;580;290;290
814;Juancho E. Yrausquin Airport (Saba);2020 4th quarter;450;1060;540;520
815;Juancho E. Yrausquin Airport (Saba);2020;1860;9040;4500;4540
816;Juancho E. Yrausquin Airport (Saba);2021 January;170;560;330;230
817;Juancho E. Yrausquin Airport (Saba);2021 February;210;540;280;260
818;Juancho E. Yrausquin Airport (Saba);2021 March;190;560;290;270
819;Juancho E. Yrausquin Airport (Saba);2021 1st quarter;570;1660;890;760
820;Juancho E. Yrausquin Airport (Saba);2021 April;210;820;380;450
821;Juancho E. Yrausquin Airport (Saba);2021 May;280;1260;640;620
822;Juancho E. Yrausquin Airport (Saba);2021 June;290;1390;690;700
823;Juancho E. Yrausquin Airport (Saba);2021 2nd quarter;780;3470;1700;1770
824;Juancho E. Yrausquin Airport (Saba);2021 July;350;2040;1010;1030
825;Juancho E. Yrausquin Airport (Saba);2021 August;280;1680;840;840
826;Juancho E. Yrausquin Airport (Saba);2021 September;270;1000;510;500
827;Juancho E. Yrausquin Airport (Saba);2021 3rd quarter;910;4720;2360;2360
828;Juancho E. Yrausquin Airport (Saba);2021 October;280;1450;740;720
829;Juancho E. Yrausquin Airport (Saba);2021 November;350;1920;940;990
830;Juancho E. Yrausquin Airport (Saba);2021 December;330;2030;890;1140
831;Juancho E. Yrausquin Airport (Saba);2021 4th quarter;970;5410;2570;2840
832;Juancho E. Yrausquin Airport (Saba);2021;3230;15260;7520;7730
833;Juancho E. Yrausquin Airport (Saba);2022 January;280;1310;720;600
834;Juancho E. Yrausquin Airport (Saba);2022 February;280;1330;660;670
835;Juancho E. Yrausquin Airport (Saba);2022 March;340;1830;870;960
836;Juancho E. Yrausquin Airport (Saba);2022 1st quarter;900;4470;2250;2230
837;Juancho E. Yrausquin Airport (Saba);2022 April;310;1770;840;930
838;Juancho E. Yrausquin Airport (Saba);2022 May;350;1710;850;870
839;Juancho E. Yrausquin Airport (Saba);2022 June;360;1790;850;940
840;Juancho E. Yrausquin Airport (Saba);2022 2nd quarter;1030;5270;2530;2740
841;Juancho E. Yrausquin Airport (Saba);2022 July;330;1950;900;1050
842;Juancho E. Yrausquin Airport (Saba);2022 August;320;2110;1060;1050
843;Juancho E. Yrausquin Airport (Saba);2022 September;300;1470;730;730
844;Juancho E. Yrausquin Airport (Saba);2022 3rd quarter;960;5530;2690;2840
845;Juancho E. Yrausquin Airport (Saba);2022 October;380;2060;1020;1040
846;Juancho E. Yrausquin Airport (Saba);2022 November;320;1970;990;980
847;Juancho E. Yrausquin Airport (Saba);2022 December;330;1960;910;1050
848;Juancho E. Yrausquin Airport (Saba);2022 4th quarter;1030;5980;2920;3070
849;Juancho E. Yrausquin Airport (Saba);2022;3900;21260;10380;10880
850;Juancho E. Yrausquin Airport (Saba);2023 January;320;1920;1000;920
851;Juancho E. Yrausquin Airport (Saba);2023 February;290;1930;940;990
852;Juancho E. Yrausquin Airport (Saba);2023 March;330;2010;970;1040
853;Juancho E. Yrausquin Airport (Saba);2023 1st quarter;940;5860;2910;2950
854;Juancho E. Yrausquin Airport (Saba);2023 April;320;2200;1090;1110
855;Juancho E. Yrausquin Airport (Saba);2023 May;310;2110;1060;1050
856;Juancho E. Yrausquin Airport (Saba);2023 June;290;1980;960;1020
857;Juancho E. Yrausquin Airport (Saba);2023 2nd quarter;920;6280;3100;3180
858;Juancho E. Yrausquin Airport (Saba);2023 July;320;2240;1030;1200
859;Juancho E. Yrausquin Airport (Saba);2023 August;330;2250;1090;1150
860;Juancho E. Yrausquin Airport (Saba);2023 September;270;1700;840;860
861;Juancho E. Yrausquin Airport (Saba);2023 3rd quarter;920;6190;2970;3220
862;Juancho E. Yrausquin Airport (Saba);2023 October;290;1820;860;950
863;Juancho E. Yrausquin Airport (Saba);2023 November;310;2370;1170;1200
864;Juancho E. Yrausquin Airport (Saba);2023 December;280;2280;1020;1260
865;Juancho E. Yrausquin Airport (Saba);2023 4th quarter;870;6460;3050;3410
866;Juancho E. Yrausquin Airport (Saba);2023;3640;24790;12030;12750
867;Juancho E. Yrausquin Airport (Saba);2024 January;280;2140;1100;1040
868;Juancho E. Yrausquin Airport (Saba);2024 February;240;1860;890;970
869;Juancho E. Yrausquin Airport (Saba);2024 March;280;2240;1090;1150
870;Juancho E. Yrausquin Airport (Saba);2024 1st quarter;810;6250;3090;3160
871;Juancho E. Yrausquin Airport (Saba);2024 April;360;2690;1250;1440
872;Juancho E. Yrausquin Airport (Saba);2025 May;300;2550;1200;1350
873;Juancho E. Yrausquin Airport (Saba);2024 June;340;2600;1240;1360
874;Juancho E. Yrausquin Airport (Saba);2024 2nd quarter;990;7840;3690;4140
875;Juancho E. Yrausquin Airport (Saba);2024 July;310;2400;1090;1300
876;Juancho E. Yrausquin Airport (Saba);2024 August;330;2430;1170;1260
877;Juancho E. Yrausquin Airport (Saba);2024 September;300;1880;950;920
878;Juancho E. Yrausquin Airport (Saba);2024 3rd quarter;940;6700;3210;3490
879;Juancho E. Yrausquin Airport (Saba);2024 October;320;2340;1120;1220
880;Juancho E. Yrausquin Airport (Saba);2024 November;310;2530;1260;1280
881;Juancho E. Yrausquin Airport (Saba);2024 December;300;2600;1200;1400
882;Juancho E. Yrausquin Airport (Saba);2024 4th quarter;930;7470;3580;3890
883;Juancho E. Yrausquin Airport (Saba);2024;3670;28250;13570;14690
