ID;RegioS;Perioden;RijksmonumentenTotaal_1;OpenbareGebouwen_2;Verdedigingswerken_3;KerkelijkeGebouwen_4;ObjectInDelenVanKerkelijkeGebouwen_5;GebouwenWoonhuizen_6;DelenVanGebouwenWoonhuizen_7;LiefdadigeInstellingen_8;AgrarischeGebouwen_9;Molens_10;WegEnWaterwerken_11;HorecaInstellingen_12;Kastelen_13;LosseObjectenNietEerderGenoemd_14
1013;Twenterand;2015;25;0;0;2;1;5;0;0;15;1;0;0;0;1
1014;Tynaarlo;2013;81;6;0;9;0;26;0;3;12;4;0;1;5;15
1015;Tynaarlo;2014;81;6;0;9;0;27;0;3;11;4;0;1;5;15
1016;Tynaarlo;2015;81;6;0;9;0;27;0;3;11;4;0;1;5;15
1017;Tytsjerksteradiel;2013;160;1;0;20;0;49;1;1;42;6;1;1;4;34
1018;Tytsjerksteradiel;2014;161;1;0;20;0;50;1;1;42;6;1;1;4;34
1019;Tytsjerksteradiel;2015;161;1;0;20;0;50;1;1;42;6;1;1;4;34
1020;Uden;2013;23;4;1;8;0;4;0;0;3;2;0;0;0;1
1021;Uden;2014;23;4;1;8;0;4;0;0;3;2;0;0;0;1
1022;Uden;2015;24;4;1;9;0;4;0;0;3;2;0;0;0;1
1023;Uitgeest;2013;16;1;0;5;0;3;0;0;2;4;0;0;0;1
1024;Uitgeest;2014;16;1;0;5;0;3;0;0;2;4;0;0;0;1
1025;Uitgeest;2015;16;1;0;5;0;3;0;0;2;4;0;0;0;1
1026;Uithoorn;2013;11;0;0;1;0;3;0;0;4;0;1;0;0;2
1027;Uithoorn;2014;11;0;0;1;0;3;0;0;4;0;1;0;0;2
1028;Uithoorn;2015;11;0;0;1;0;3;0;0;4;0;1;0;0;2
1029;Urk;2013;33;1;0;4;0;23;0;0;0;0;5;0;0;0
1030;Urk;2014;33;1;0;4;0;23;0;0;0;0;5;0;0;0
1031;Urk;2015;33;1;0;4;0;23;0;0;0;0;5;0;0;0
1032;Utrecht (gemeente);2013;1506;55;25;41;6;1123;1;15;48;6;59;3;24;100
1033;Utrecht (gemeente);2014;1506;55;25;41;6;1123;1;15;48;6;59;3;24;100
1034;Utrecht (gemeente);2015;1508;52;32;41;6;1122;1;15;48;6;58;3;24;100
1035;Utrechtse Heuvelrug;2013;472;2;14;9;0;166;0;0;69;1;2;4;24;181
1036;Utrechtse Heuvelrug;2014;472;2;14;9;0;166;0;0;69;1;2;4;24;181
1037;Utrechtse Heuvelrug;2015;468;2;14;9;0;165;0;0;68;1;2;4;24;179
1038;Vaals;2013;158;3;0;14;0;51;1;0;57;3;2;2;3;22
1039;Vaals;2014;158;3;0;14;0;51;1;0;57;3;2;2;3;22
1040;Vaals;2015;158;3;0;14;0;51;1;0;57;3;2;2;3;22
1041;Valkenburg aan de Geul;2013;171;3;4;25;0;42;3;0;56;4;2;2;8;22
1042;Valkenburg aan de Geul;2014;171;3;4;25;0;42;3;0;56;4;2;2;8;22
1043;Valkenburg aan de Geul;2015;171;3;4;25;0;42;3;0;56;4;2;2;8;22
1044;Valkenswaard;2013;21;1;1;3;0;6;0;0;6;3;0;0;0;1
1045;Valkenswaard;2014;21;1;1;3;0;6;0;0;6;3;0;0;0;1
1046;Valkenswaard;2015;21;1;1;3;0;6;0;0;6;3;0;0;0;1
1047;Veendam;2013;76;4;0;4;0;43;0;0;18;0;3;0;0;4
1048;Veendam;2014;76;4;0;4;0;43;0;0;18;0;3;0;0;4
1049;Veendam;2015;76;4;0;4;0;43;0;0;18;0;3;0;0;4
1050;Veenendaal;2013;19;0;3;1;0;13;0;0;0;2;0;0;0;0
1051;Veenendaal;2014;19;0;3;1;0;13;0;0;0;2;0;0;0;0
1052;Veenendaal;2015;19;0;3;1;0;13;0;0;0;2;0;0;0;0
1053;Veere;2013;332;15;44;21;1;157;1;0;39;11;9;1;12;21
1054;Veere;2014;332;15;44;21;1;157;1;0;39;11;9;1;12;21
1055;Veere;2015;332;15;44;21;1;157;1;0;39;11;9;1;12;21
1056;Veghel;2013;50;2;0;11;0;13;0;0;8;1;2;0;0;13
1057;Veghel;2014;50;2;0;11;0;13;0;0;8;1;2;0;0;13
1058;Veghel;2015;50;2;0;11;0;13;0;0;8;1;2;0;0;13
1059;Veldhoven;2013;28;0;0;6;1;9;0;0;10;2;0;0;0;0
1060;Veldhoven;2014;28;0;0;6;1;9;0;0;10;2;0;0;0;0
1061;Veldhoven;2015;28;0;0;6;1;9;0;0;10;2;0;0;0;0
1062;Velsen;2013;149;4;2;4;0;61;0;1;7;1;4;0;6;59
1063;Velsen;2014;152;5;2;4;0;62;0;1;7;1;4;0;6;60
1064;Velsen;2015;152;5;2;4;0;62;0;1;7;1;4;0;6;60
1065;Venlo;2013;202;13;16;80;1;49;0;1;9;6;7;1;3;16
1066;Venlo;2014;202;13;16;80;1;49;0;1;9;6;7;1;3;16
1067;Venlo;2015;202;13;16;80;1;49;0;1;9;6;7;1;3;16
1068;Venray;2013;98;6;32;24;0;8;0;0;10;4;5;0;1;8
1069;Venray;2014;98;6;32;24;0;8;0;0;10;4;5;0;1;8
1070;Venray;2015;97;6;32;24;0;8;0;0;10;4;4;0;1;8
1071;Vianen;2013;179;2;44;11;1;103;1;0;12;0;1;0;0;4
1072;Vianen;2014;184;2;49;11;1;103;1;0;12;0;1;0;0;4
1073;Vianen;2015;184;2;48;11;1;103;1;0;12;0;2;0;0;4
1074;Vlaardingen;2013;57;3;0;2;0;44;0;0;2;1;0;0;0;5
1075;Vlaardingen;2014;57;3;0;2;0;44;0;0;2;1;0;0;0;5
1076;Vlaardingen;2015;57;3;0;2;0;44;0;0;2;1;0;0;0;5
1077;Vlagtwedde;2013;52;2;4;4;1;16;1;0;19;1;3;0;0;1
1078;Vlagtwedde;2014;52;2;4;4;1;16;1;0;19;1;3;0;0;1
1079;Vlagtwedde;2015;52;2;4;4;1;16;1;0;19;1;3;0;0;1
1080;Vlieland;2013;40;1;0;1;0;35;0;1;0;0;1;0;0;1
1081;Vlieland;2014;40;1;0;1;0;35;0;1;0;0;1;0;0;1
1082;Vlieland;2015;40;1;0;1;0;35;0;1;0;0;1;0;0;1
1083;Vlissingen;2013;312;9;20;6;0;262;2;2;2;2;3;0;0;4
1084;Vlissingen;2014;311;9;20;6;0;261;2;2;2;2;3;0;0;4
1085;Vlissingen;2015;310;9;20;6;0;260;2;2;2;2;3;0;0;4
1086;Voerendaal;2013;98;0;0;7;0;21;0;0;48;4;1;0;5;12
1087;Voerendaal;2014;98;0;0;7;0;21;0;0;48;4;1;0;5;12
1088;Voerendaal;2015;98;0;0;7;0;21;0;0;48;4;1;0;5;12
1089;Voorschoten;2013;102;0;0;3;0;33;0;0;21;1;0;2;4;38
1090;Voorschoten;2014;102;0;0;3;0;33;0;0;21;1;0;2;4;38
1091;Voorschoten;2015;102;0;0;3;0;33;0;0;21;1;0;2;4;38
1092;Voorst;2013;166;2;2;13;0;49;0;0;63;4;0;0;12;21
1093;Voorst;2014;166;2;2;13;0;48;0;0;63;4;0;0;13;21
1094;Voorst;2015;166;2;2;13;0;48;0;0;63;4;0;0;13;21
1095;Vught;2013;117;12;7;10;0;41;0;1;8;0;2;0;3;33
1096;Vught;2014;117;12;7;10;0;41;0;1;8;0;2;0;3;33
1097;Vught;2015;117;12;7;10;0;41;0;1;8;0;2;0;3;33
1098;Waalre;2013;27;1;0;4;0;13;0;0;7;1;0;0;1;0
1099;Waalre;2014;27;1;0;4;0;13;0;0;7;1;0;0;1;0
1100;Waalre;2015;27;1;0;4;0;13;0;0;7;1;0;0;1;0
1101;Waalwijk;2013;114;5;1;17;0;52;0;0;25;1;6;1;1;5
1102;Waalwijk;2014;114;5;1;17;0;52;0;0;25;1;6;1;1;5
1103;Waalwijk;2015;114;5;1;17;0;52;0;0;25;1;6;1;1;5
1104;Waddinxveen;2013;6;1;0;2;0;2;0;0;0;0;1;0;0;0
1105;Waddinxveen;2014;6;1;0;2;0;2;0;0;0;0;1;0;0;0
1106;Waddinxveen;2015;6;1;0;2;0;2;0;0;0;0;1;0;0;0
1107;Wageningen;2013;51;8;5;2;0;25;1;0;1;1;1;0;2;5
1108;Wageningen;2014;51;8;5;2;0;25;1;0;1;1;1;0;2;5
1109;Wageningen;2015;52;9;5;2;0;25;1;0;1;1;1;0;2;5
1110;Wassenaar;2013;336;5;1;6;0;108;0;3;24;2;8;1;46;132
1111;Wassenaar;2014;337;5;1;6;0;109;0;3;24;2;8;1;46;132
1112;Wassenaar;2015;338;5;2;6;0;109;0;3;24;2;8;1;46;132
1113;Waterland;2013;317;4;1;12;0;283;0;2;9;1;4;0;0;1
1114;Waterland;2014;317;4;1;12;0;283;0;2;9;1;4;0;0;1
1115;Waterland;2015;318;4;1;12;0;284;0;2;9;1;4;0;0;1
1116;Weert;2013;96;13;12;14;0;32;1;0;6;9;6;0;1;2
1117;Weert;2014;96;13;12;14;0;32;1;0;6;9;6;0;1;2
1118;Weert;2015;96;13;12;14;0;32;1;0;6;9;6;0;1;2
1119;Weesp;2013;225;2;35;6;0;159;0;1;11;3;5;0;0;3
1120;Weesp;2014;197;2;11;6;0;158;0;1;11;3;2;0;0;3
1121;Weesp;2015;197;2;11;6;0;158;0;1;11;3;2;0;0;3
1122;Werkendam;2013;40;0;2;1;0;9;0;0;18;5;1;0;1;3
1123;Werkendam;2014;40;0;2;1;0;9;0;0;18;5;1;0;1;3
1124;Werkendam;2015;63;8;17;1;0;9;0;0;18;5;1;0;1;3
1125;West Maas en Waal;2013;53;2;0;19;0;12;0;0;10;4;2;0;2;2
1126;West Maas en Waal;2014;53;2;0;19;0;12;0;0;10;4;2;0;2;2
1127;West Maas en Waal;2015;53;2;0;19;0;12;0;0;10;4;2;0;2;2
1128;Westerveld;2013;181;7;0;12;0;33;0;10;96;3;1;1;5;13
1129;Westerveld;2014;181;7;0;12;0;32;0;11;96;3;1;1;5;13
1130;Westerveld;2015;181;7;0;12;0;32;0;11;97;3;1;1;5;12
1131;Westervoort;2013;5;0;1;1;1;0;0;0;2;0;0;0;0;0
1132;Westervoort;2014;5;0;1;1;1;0;0;0;2;0;0;0;0;0
1133;Westervoort;2015;5;0;1;1;1;0;0;0;2;0;0;0;0;0
1134;Westland;2013;78;3;0;15;1;25;0;1;16;4;3;0;0;10
1135;Westland;2014;78;3;0;15;1;25;0;1;16;4;3;0;0;10
1136;Westland;2015;78;3;0;15;1;25;0;1;16;4;3;0;0;10
1137;Weststellingwerf;2013;39;2;0;14;1;5;0;0;2;6;6;0;1;2
1138;Weststellingwerf;2014;39;2;0;14;1;5;0;0;2;6;6;0;1;2
1139;Weststellingwerf;2015;39;2;0;14;1;5;0;0;2;6;6;0;1;2
1140;Westvoorne;2013;33;0;3;3;0;6;0;0;7;2;3;0;2;7
1141;Westvoorne;2014;33;0;3;3;0;6;0;0;7;2;3;0;2;7
1142;Westvoorne;2015;33;0;3;3;0;6;0;0;7;2;3;0;2;7
1143;Wierden;2013;30;0;0;2;0;5;0;0;18;0;1;0;2;2
1144;Wierden;2014;30;0;0;2;0;5;0;0;18;0;1;0;2;2
1145;Wierden;2015;29;0;0;2;0;5;0;0;17;0;1;0;2;2
1146;Wijchen;2013;96;0;0;15;1;12;0;0;49;5;3;0;4;7
1147;Wijchen;2014;96;0;0;15;1;12;0;0;49;5;3;0;4;7
1148;Wijchen;2015;96;0;0;15;1;12;0;0;49;5;3;0;4;7
1149;Wijdemeren;2013;292;14;23;12;0;105;0;0;50;3;2;0;15;68
1150;Wijdemeren;2014;289;11;24;12;0;104;0;0;50;3;2;0;15;68
1151;Wijdemeren;2015;291;11;26;12;0;104;0;0;50;3;2;0;15;68
1152;Wijk bij Duurstede;2013;162;1;3;4;0;80;0;2;36;3;0;2;9;22
1153;Wijk bij Duurstede;2014;162;1;3;4;0;80;0;2;36;3;0;2;9;22
1154;Wijk bij Duurstede;2015;162;1;3;4;0;80;0;2;36;3;0;2;9;22
1155;Winsum;2013;154;3;0;17;1;72;0;1;24;7;12;2;2;13
1156;Winsum;2014;154;3;0;17;1;72;0;1;24;7;12;2;2;13
1157;Winsum;2015;154;3;0;17;1;72;0;1;24;7;12;2;2;13
1158;Winterswijk;2013;80;2;0;4;0;17;0;0;43;8;0;1;0;5
1159;Winterswijk;2014;80;2;0;4;0;17;0;0;43;8;0;1;0;5
1160;Winterswijk;2015;80;2;0;4;0;17;0;0;43;8;0;1;0;5
1161;Woensdrecht;2013;47;0;0;2;0;13;1;0;10;1;0;0;1;19
1162;Woensdrecht;2014;47;0;0;2;0;13;1;0;10;1;0;0;1;19
1163;Woensdrecht;2015;47;0;0;2;0;13;1;0;10;1;0;0;1;19
1164;Woerden;2013;109;5;3;10;0;36;0;1;40;2;3;0;3;6
1165;Woerden;2014;109;5;3;10;0;36;0;1;40;2;3;0;3;6
1166;Woerden;2015;109;5;3;10;0;36;0;1;40;2;3;0;3;6
1167;De Wolden;2013;127;1;0;5;2;15;0;0;78;3;0;0;3;20
1168;De Wolden;2014;127;1;0;5;2;15;0;0;78;3;0;0;3;20
1169;De Wolden;2015;122;1;0;5;2;14;0;0;76;3;0;0;3;18
1170;Wormerland;2013;33;2;0;3;0;23;0;0;2;2;0;0;0;1
1171;Wormerland;2014;33;2;0;3;0;23;0;0;2;2;0;0;0;1
1172;Wormerland;2015;33;2;0;3;0;23;0;0;2;2;0;0;0;1
1173;Woudenberg;2013;55;1;29;1;0;11;0;0;3;0;0;0;2;8
1174;Woudenberg;2014;55;1;29;1;0;11;0;0;3;0;0;0;2;8
1175;Woudenberg;2015;55;1;29;1;0;11;0;0;3;0;0;0;2;8
1176;Woudrichem;2013;107;13;3;5;0;39;0;0;40;2;1;0;1;3
1177;Woudrichem;2014;107;13;3;5;0;39;0;0;40;2;1;0;1;3
1178;Woudrichem;2015;116;13;11;5;0;39;0;0;40;2;1;0;1;4
1179;Zaanstad;2013;276;17;3;24;0;190;2;7;9;14;4;1;0;5
1180;Zaanstad;2014;276;17;3;24;0;190;2;7;9;14;4;1;0;5
1181;Zaanstad;2015;276;17;3;24;0;190;2;7;9;14;4;1;0;5
1182;Zaltbommel;2013;236;4;16;17;2;140;1;1;30;6;3;1;3;12
1183;Zaltbommel;2014;236;4;16;17;1;142;1;1;29;6;3;1;3;12
1184;Zaltbommel;2015;246;4;27;17;1;142;1;1;29;6;3;1;3;11
1185;Zandvoort;2013;12;1;1;1;1;5;0;1;0;0;0;1;1;0
1186;Zandvoort;2014;12;1;1;1;1;5;0;1;0;0;0;1;1;0
1187;Zandvoort;2015;12;1;1;1;1;5;0;1;0;0;0;1;1;0
1188;Zederik;2013;104;1;0;9;0;43;4;0;42;4;0;0;0;1
1189;Zederik;2014;104;1;0;9;0;43;4;0;42;4;0;0;0;1
1190;Zederik;2015;102;1;0;9;0;43;4;0;40;4;0;0;0;1
1191;Zeevang;2013;23;0;0;9;0;6;0;0;3;1;2;0;0;2
1192;Zeevang;2014;23;0;0;9;0;6;0;0;3;1;2;0;0;2
1193;Zeevang;2015;23;0;0;9;0;6;0;0;3;1;2;0;0;2
1194;Zeewolde;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1195;Zeewolde;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1196;Zeewolde;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1197;Zeist;2013;178;9;0;4;0;81;0;1;4;0;3;0;22;54
1198;Zeist;2014;178;9;0;4;0;81;0;1;4;0;3;0;22;54
1199;Zeist;2015;182;9;0;4;0;84;0;1;4;0;3;0;22;55
1200;Zevenaar;2013;73;0;1;8;0;23;0;0;9;3;0;0;4;25
1201;Zevenaar;2014;73;0;1;8;0;23;0;0;9;3;0;0;4;25
1202;Zevenaar;2015;73;0;1;8;0;23;0;0;9;3;0;0;4;25
1203;Zoetermeer;2013;16;0;0;2;0;5;0;0;8;1;0;0;0;0
1204;Zoetermeer;2014;16;0;0;2;0;5;0;0;8;1;0;0;0;0
1205;Zoetermeer;2015;16;0;0;2;0;5;0;0;8;1;0;0;0;0
1206;Zoeterwoude;2013;47;0;0;3;0;2;0;0;35;5;1;0;1;0
1207;Zoeterwoude;2014;47;0;0;3;0;2;0;0;35;5;1;0;1;0
1208;Zoeterwoude;2015;47;0;0;3;0;2;0;0;35;5;1;0;1;0
1209;Zuidhorn;2013;106;5;0;19;0;44;1;0;24;8;2;1;1;1
1210;Zuidhorn;2014;106;5;0;19;0;44;1;0;24;8;2;1;1;1
1211;Zuidhorn;2015;106;5;0;19;0;44;1;0;24;8;2;1;1;1
1212;Zuidplas;2013;59;1;0;9;0;19;0;0;17;8;2;0;0;3
1213;Zuidplas;2014;59;1;0;9;0;19;0;0;17;8;2;0;0;3
1214;Zuidplas;2015;59;1;0;9;0;19;0;0;17;8;2;0;0;3
1215;Zundert;2013;50;2;0;8;0;19;0;0;5;1;0;1;2;12
1216;Zundert;2014;50;2;0;8;0;19;0;0;5;1;0;1;2;12
1217;Zundert;2015;50;2;0;8;0;19;0;0;5;1;0;1;2;12
1218;Zutphen;2013;439;5;20;19;0;351;0;4;3;2;2;0;5;28
1219;Zutphen;2014;437;5;20;19;0;350;0;4;3;2;2;0;5;27
1220;Zutphen;2015;436;5;20;18;0;351;0;4;3;2;2;0;5;26
1221;Zwartewaterland;2013;92;1;3;8;1;71;1;0;2;1;3;0;0;1
1222;Zwartewaterland;2014;92;1;3;8;1;71;1;0;2;1;3;0;0;1
1223;Zwartewaterland;2015;92;1;3;8;1;71;1;0;2;1;3;0;0;1
1224;Zwijndrecht;2013;13;1;0;5;0;2;0;0;3;1;0;0;0;1
1225;Zwijndrecht;2014;13;1;0;5;0;2;0;0;3;1;0;0;0;1
1226;Zwijndrecht;2015;13;1;0;5;0;2;0;0;3;1;0;0;0;1
1227;Zwolle;2013;482;15;26;16;0;348;2;2;14;3;7;0;5;44
1228;Zwolle;2014;482;15;26;16;0;348;2;3;14;3;7;0;5;43
1229;Zwolle;2015;481;15;26;16;0;348;2;3;13;3;7;0;5;43
