ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudens_1;GemiddBesteedbInkomenPerHuishouden_2
791;Epe;Meerpers. huishouden z. minderj. kind.;5.9;36.2
792;Ermelo;Totaal particulier huishouden;10.6;31.5
793;Ermelo;Eenpersoonshuishouden;3.6;17.0
794;Ermelo;Meerpers. huishouden met minderj. kind.;2.9;39.6
795;Ermelo;Meerpers. huishouden z. minderj. kind.;4.1;38.3
796;Geldermalsen;Totaal particulier huishouden;9.8;33.6
797;Geldermalsen;Eenpersoonshuishouden;2.5;17.3
798;Geldermalsen;Meerpers. huishouden met minderj. kind.;3.2;40.2
799;Geldermalsen;Meerpers. huishouden z. minderj. kind.;4.1;38.2
800;Gendringen;Totaal particulier huishouden;8.0;29.5
801;Gendringen;Eenpersoonshuishouden;1.9;16.1
802;Gendringen;Meerpers. huishouden met minderj. kind.;2.6;34.3
803;Gendringen;Meerpers. huishouden z. minderj. kind.;3.5;33.1
804;Gorssel;Totaal particulier huishouden;5.4;34.5
805;Gorssel;Eenpersoonshuishouden;1.3;22.1
806;Gorssel;Meerpers. huishouden met minderj. kind.;1.4;39.3
807;Gorssel;Meerpers. huishouden z. minderj. kind.;2.6;38.4
808;Groenlo;Totaal particulier huishouden;3.9;29.6
809;Groenlo;Eenpersoonshuishouden;1.1;17.8
810;Groenlo;Meerpers. huishouden met minderj. kind.;1.0;35.1
811;Groenlo;Meerpers. huishouden z. minderj. kind.;1.7;33.8
812;Groesbeek;Totaal particulier huishouden;7.2;31.0
813;Groesbeek;Eenpersoonshuishouden;1.8;17.8
814;Groesbeek;Meerpers. huishouden met minderj. kind.;2.1;37.2
815;Groesbeek;Meerpers. huishouden z. minderj. kind.;3.3;34.2
816;Harderwijk;Totaal particulier huishouden;15.8;31.4
817;Harderwijk;Eenpersoonshuishouden;4.5;18.6
818;Harderwijk;Meerpers. huishouden met minderj. kind.;5.2;37.5
819;Harderwijk;Meerpers. huishouden z. minderj. kind.;6.2;35.5
820;Hattem;Totaal particulier huishouden;4.6;32.7
821;Hattem;Eenpersoonshuishouden;1.1;18.6
822;Hattem;Meerpers. huishouden met minderj. kind.;1.4;38.8
823;Hattem;Meerpers. huishouden z. minderj. kind.;2.1;36.4
824;Heerde;Totaal particulier huishouden;7.0;31.9
825;Heerde;Eenpersoonshuishouden;1.6;17.5
826;Heerde;Meerpers. huishouden met minderj. kind.;2.1;37.4
827;Heerde;Meerpers. huishouden z. minderj. kind.;3.2;35.4
828;Hengelo (Gld.);Totaal particulier huishouden;3.2;31.6
829;Hengelo (Gld.);Eenpersoonshuishouden;0.7;16.9
830;Hengelo (Gld.);Meerpers. huishouden met minderj. kind.;1.0;36.6
831;Hengelo (Gld.);Meerpers. huishouden z. minderj. kind.;1.6;34.8
832;Heumen;Totaal particulier huishouden;6.2;34.8
833;Heumen;Eenpersoonshuishouden;1.4;19.4
834;Heumen;Meerpers. huishouden met minderj. kind.;2.2;40.4
835;Heumen;Meerpers. huishouden z. minderj. kind.;2.6;38.2
836;Hummelo en Keppel;Totaal particulier huishouden;1.8;33.6
837;Hummelo en Keppel;Eenpersoonshuishouden;0.5;20.2
838;Hummelo en Keppel;Meerpers. huishouden met minderj. kind.;0.5;39.6
839;Hummelo en Keppel;Meerpers. huishouden z. minderj. kind.;0.9;37.4
840;Kesteren;Totaal particulier huishouden;7.5;33.3
841;Kesteren;Eenpersoonshuishouden;1.5;16.7
842;Kesteren;Meerpers. huishouden met minderj. kind.;2.8;38.7
843;Kesteren;Meerpers. huishouden z. minderj. kind.;3.2;36.4
844;Lichtenvoorde;Totaal particulier huishouden;7.1;31.8
845;Lichtenvoorde;Eenpersoonshuishouden;1.6;17.3
846;Lichtenvoorde;Meerpers. huishouden met minderj. kind.;2.3;37.4
847;Lichtenvoorde;Meerpers. huishouden z. minderj. kind.;3.2;34.7
848;Lochem;Totaal particulier huishouden;7.6;32.7
849;Lochem;Eenpersoonshuishouden;2.0;18.5
850;Lochem;Meerpers. huishouden met minderj. kind.;2.1;38.1
851;Lochem;Meerpers. huishouden z. minderj. kind.;3.5;37.5
852;Maasdriel;Totaal particulier huishouden;8.7;33.6
853;Maasdriel;Eenpersoonshuishouden;1.9;18.7
854;Maasdriel;Meerpers. huishouden met minderj. kind.;2.9;38.4
855;Maasdriel;Meerpers. huishouden z. minderj. kind.;3.9;37.5
856;Millingen aan de Rijn;Totaal particulier huishouden;2.3;31.1
857;Millingen aan de Rijn;Eenpersoonshuishouden;0.5;18.0
858;Millingen aan de Rijn;Meerpers. huishouden met minderj. kind.;0.8;34.2
859;Millingen aan de Rijn;Meerpers. huishouden z. minderj. kind.;1.0;35.2
860;Neede;Totaal particulier huishouden;4.4;29.9
861;Neede;Eenpersoonshuishouden;1.1;16.6
862;Neede;Meerpers. huishouden met minderj. kind.;1.2;36.5
863;Neede;Meerpers. huishouden z. minderj. kind.;2.1;32.7
864;Nijkerk;Totaal particulier huishouden;14.1;33.8
865;Nijkerk;Eenpersoonshuishouden;3.3;18.0
866;Nijkerk;Meerpers. huishouden met minderj. kind.;4.8;38.4
867;Nijkerk;Meerpers. huishouden z. minderj. kind.;6.0;38.8
868;Nijmegen;Totaal particulier huishouden;69.1;26.8
869;Nijmegen;Eenpersoonshuishouden;30.7;17.4
870;Nijmegen;Meerpers. huishouden met minderj. kind.;15.6;34.5
871;Nijmegen;Meerpers. huishouden z. minderj. kind.;22.9;34.1
872;Oldebroek;Totaal particulier huishouden;7.5;34.1
873;Oldebroek;Eenpersoonshuishouden;1.3;18.1
874;Oldebroek;Meerpers. huishouden met minderj. kind.;3.0;38.4
875;Oldebroek;Meerpers. huishouden z. minderj. kind.;3.2;36.6
876;Putten;Totaal particulier huishouden;8.4;33.9
877;Putten;Eenpersoonshuishouden;2.0;18.6
878;Putten;Meerpers. huishouden met minderj. kind.;2.8;39.5
879;Putten;Meerpers. huishouden z. minderj. kind.;3.6;37.8
880;Renkum;Totaal particulier huishouden;13.8;32.6
881;Renkum;Eenpersoonshuishouden;4.8;21.0
882;Renkum;Meerpers. huishouden met minderj. kind.;3.3;39.4
883;Renkum;Meerpers. huishouden z. minderj. kind.;5.8;38.3
884;Rheden;Totaal particulier huishouden;19.3;30.4
885;Rheden;Eenpersoonshuishouden;6.4;19.4
886;Rheden;Meerpers. huishouden met minderj. kind.;4.5;36.8
887;Rheden;Meerpers. huishouden z. minderj. kind.;8.4;35.4
888;Rozendaal;Totaal particulier huishouden;0.6;42.8
889;Rozendaal;Eenpersoonshuishouden;0.1;23.7
890;Rozendaal;Meerpers. huishouden met minderj. kind.;0.2;44.1
891;Rozendaal;Meerpers. huishouden z. minderj. kind.;0.3;49.2
892;Ruurlo;Totaal particulier huishouden;3.3;30.8
893;Ruurlo;Eenpersoonshuishouden;0.7;16.9
894;Ruurlo;Meerpers. huishouden met minderj. kind.;1.0;36.3
895;Ruurlo;Meerpers. huishouden z. minderj. kind.;1.6;33.6
896;Scherpenzeel;Totaal particulier huishouden;3.3;33.8
897;Scherpenzeel;Eenpersoonshuishouden;0.7;19.9
898;Scherpenzeel;Meerpers. huishouden met minderj. kind.;1.1;38.7
899;Scherpenzeel;Meerpers. huishouden z. minderj. kind.;1.5;37.1
900;Steenderen;Totaal particulier huishouden;1.9;30.3
901;Steenderen;Eenpersoonshuishouden;0.4;12.7
902;Steenderen;Meerpers. huishouden met minderj. kind.;0.6;36.6
903;Steenderen;Meerpers. huishouden z. minderj. kind.;0.9;34.5
904;Tiel;Totaal particulier huishouden;16.2;30.0
905;Tiel;Eenpersoonshuishouden;4.6;17.2
906;Tiel;Meerpers. huishouden met minderj. kind.;5.3;35.4
907;Tiel;Meerpers. huishouden z. minderj. kind.;6.3;34.7
908;Ubbergen;Totaal particulier huishouden;3.9;30.9
909;Ubbergen;Eenpersoonshuishouden;1.2;19.1
910;Ubbergen;Meerpers. huishouden met minderj. kind.;1.0;38.2
911;Ubbergen;Meerpers. huishouden z. minderj. kind.;1.7;35.0
912;Voorst;Totaal particulier huishouden;8.7;32.3
913;Voorst;Eenpersoonshuishouden;2.0;17.1
914;Voorst;Meerpers. huishouden met minderj. kind.;2.6;37.8
915;Voorst;Meerpers. huishouden z. minderj. kind.;4.2;36.1
916;Vorden;Totaal particulier huishouden;3.3;31.4
917;Vorden;Eenpersoonshuishouden;0.8;18.6
918;Vorden;Meerpers. huishouden met minderj. kind.;0.9;36.8
919;Vorden;Meerpers. huishouden z. minderj. kind.;1.6;34.6
920;Wageningen;Totaal particulier huishouden;13.4;29.2
921;Wageningen;Eenpersoonshuishouden;5.6;18.4
922;Wageningen;Meerpers. huishouden met minderj. kind.;3.1;38.2
923;Wageningen;Meerpers. huishouden z. minderj. kind.;4.7;36.1
924;Warnsveld;Totaal particulier huishouden;3.4;33.4
925;Warnsveld;Eenpersoonshuishouden;0.7;20.0
926;Warnsveld;Meerpers. huishouden met minderj. kind.;1.1;38.2
927;Warnsveld;Meerpers. huishouden z. minderj. kind.;1.5;36.3
928;Wehl;Totaal particulier huishouden;2.3;31.6
929;Wehl;Eenpersoonshuishouden;0.4;16.7
930;Wehl;Meerpers. huishouden met minderj. kind.;0.8;35.8
931;Wehl;Meerpers. huishouden z. minderj. kind.;1.1;34.3
932;Westervoort;Totaal particulier huishouden;6.1;31.3
933;Westervoort;Eenpersoonshuishouden;1.4;18.4
934;Westervoort;Meerpers. huishouden met minderj. kind.;2.3;34.9
935;Westervoort;Meerpers. huishouden z. minderj. kind.;2.5;35.2
936;Winterswijk;Totaal particulier huishouden;11.7;28.6
937;Winterswijk;Eenpersoonshuishouden;3.4;16.4
938;Winterswijk;Meerpers. huishouden met minderj. kind.;3.3;35.4
939;Winterswijk;Meerpers. huishouden z. minderj. kind.;5.0;32.2
940;Wisch;Totaal particulier huishouden;7.6;30.0
941;Wisch;Eenpersoonshuishouden;1.9;16.5
942;Wisch;Meerpers. huishouden met minderj. kind.;2.2;35.9
943;Wisch;Meerpers. huishouden z. minderj. kind.;3.5;34.0
944;Wijchen;Totaal particulier huishouden;15.2;32.1
945;Wijchen;Eenpersoonshuishouden;3.6;17.1
946;Wijchen;Meerpers. huishouden met minderj. kind.;5.1;37.1
947;Wijchen;Meerpers. huishouden z. minderj. kind.;6.6;36.3
948;Zaltbommel;Totaal particulier huishouden;9.5;32.8
949;Zaltbommel;Eenpersoonshuishouden;2.1;17.7
950;Zaltbommel;Meerpers. huishouden met minderj. kind.;3.3;37.2
951;Zaltbommel;Meerpers. huishouden z. minderj. kind.;4.1;37.0
952;Zelhem;Totaal particulier huishouden;4.3;30.9
953;Zelhem;Eenpersoonshuishouden;0.9;16.9
954;Zelhem;Meerpers. huishouden met minderj. kind.;1.3;36.0
955;Zelhem;Meerpers. huishouden z. minderj. kind.;2.1;34.2
956;Zevenaar;Totaal particulier huishouden;10.9;30.2
957;Zevenaar;Eenpersoonshuishouden;3.1;18.6
958;Zevenaar;Meerpers. huishouden met minderj. kind.;2.9;35.5
959;Zevenaar;Meerpers. huishouden z. minderj. kind.;4.8;34.4
960;Zutphen;Totaal particulier huishouden;16.0;27.6
961;Zutphen;Eenpersoonshuishouden;5.7;17.5
962;Zutphen;Meerpers. huishouden met minderj. kind.;4.4;33.5
963;Zutphen;Meerpers. huishouden z. minderj. kind.;5.9;32.9
964;Nunspeet;Totaal particulier huishouden;9.5;32.1
965;Nunspeet;Eenpersoonshuishouden;2.4;18.1
966;Nunspeet;Meerpers. huishouden met minderj. kind.;3.2;37.0
967;Nunspeet;Meerpers. huishouden z. minderj. kind.;4.0;36.5
968;Dronten;Totaal particulier huishouden;13.7;31.3
969;Dronten;Eenpersoonshuishouden;3.1;18.0
970;Dronten;Meerpers. huishouden met minderj. kind.;5.0;35.9
971;Dronten;Meerpers. huishouden z. minderj. kind.;5.7;34.5
972;Neerijnen;Totaal particulier huishouden;4.1;34.1
973;Neerijnen;Eenpersoonshuishouden;0.9;17.2
974;Neerijnen;Meerpers. huishouden met minderj. kind.;1.4;40.7
975;Neerijnen;Meerpers. huishouden z. minderj. kind.;1.8;37.1
976;Abcoude;Totaal particulier huishouden;3.3;42.8
977;Abcoude;Eenpersoonshuishouden;0.9;25.4
978;Abcoude;Meerpers. huishouden met minderj. kind.;1.1;49.0
979;Abcoude;Meerpers. huishouden z. minderj. kind.;1.3;48.9
980;Amerongen;Totaal particulier huishouden;2.8;34.8
981;Amerongen;Eenpersoonshuishouden;0.7;21.5
982;Amerongen;Meerpers. huishouden met minderj. kind.;0.8;38.9
983;Amerongen;Meerpers. huishouden z. minderj. kind.;1.2;39.7
984;Amersfoort;Totaal particulier huishouden;54.9;31.9
985;Amersfoort;Eenpersoonshuishouden;18.8;19.6
986;Amersfoort;Meerpers. huishouden met minderj. kind.;16.5;38.9
987;Amersfoort;Meerpers. huishouden z. minderj. kind.;19.6;37.8
988;Baarn;Totaal particulier huishouden;10.4;33.2
989;Baarn;Eenpersoonshuishouden;3.7;21.0
990;Baarn;Meerpers. huishouden met minderj. kind.;2.7;40.6
991;Baarn;Meerpers. huishouden z. minderj. kind.;4.0;39.4
992;De Bilt;Totaal particulier huishouden;18.0;36.4
993;De Bilt;Eenpersoonshuishouden;6.3;22.4
994;De Bilt;Meerpers. huishouden met minderj. kind.;4.6;45.6
995;De Bilt;Meerpers. huishouden z. minderj. kind.;7.1;42.7
996;Breukelen;Totaal particulier huishouden;5.7;34.8
997;Breukelen;Eenpersoonshuishouden;1.6;19.5
998;Breukelen;Meerpers. huishouden met minderj. kind.;1.7;44.0
999;Breukelen;Meerpers. huishouden z. minderj. kind.;2.3;38.9
1000;Bunnik;Totaal particulier huishouden;5.6;37.1
1001;Bunnik;Eenpersoonshuishouden;1.4;22.6
1002;Bunnik;Meerpers. huishouden met minderj. kind.;1.7;44.5
1003;Bunnik;Meerpers. huishouden z. minderj. kind.;2.5;40.3
1004;Bunschoten;Totaal particulier huishouden;6.6;34.5
1005;Bunschoten;Eenpersoonshuishouden;1.3;17.0
1006;Bunschoten;Meerpers. huishouden met minderj. kind.;2.6;40.0
1007;Bunschoten;Meerpers. huishouden z. minderj. kind.;2.7;37.6
1008;Doorn;Totaal particulier huishouden;4.3;35.7
1009;Doorn;Eenpersoonshuishouden;1.6;22.6
1010;Doorn;Meerpers. huishouden met minderj. kind.;1.0;42.8
1011;Doorn;Meerpers. huishouden z. minderj. kind.;1.7;43.7
1012;Driebergen-Rijsenburg;Totaal particulier huishouden;7.6;36.0
1013;Driebergen-Rijsenburg;Eenpersoonshuishouden;2.6;21.3
1014;Driebergen-Rijsenburg;Meerpers. huishouden met minderj. kind.;2.1;46.0
1015;Driebergen-Rijsenburg;Meerpers. huishouden z. minderj. kind.;2.9;41.9
1016;Eemnes;Totaal particulier huishouden;3.4;34.9
1017;Eemnes;Eenpersoonshuishouden;0.9;21.2
1018;Eemnes;Meerpers. huishouden met minderj. kind.;1.2;39.4
1019;Eemnes;Meerpers. huishouden z. minderj. kind.;1.3;39.9
1020;Houten;Totaal particulier huishouden;15.2;36.0
1021;Houten;Eenpersoonshuishouden;3.7;19.0
1022;Houten;Meerpers. huishouden met minderj. kind.;6.2;42.5
1023;Houten;Meerpers. huishouden z. minderj. kind.;5.4;40.1
1024;Leersum;Totaal particulier huishouden;2.9;35.0
1025;Leersum;Eenpersoonshuishouden;0.8;18.6
1026;Leersum;Meerpers. huishouden met minderj. kind.;0.8;41.0
1027;Leersum;Meerpers. huishouden z. minderj. kind.;1.3;41.0
1028;Leusden;Totaal particulier huishouden;11.3;36.9
1029;Leusden;Eenpersoonshuishouden;2.9;21.3
1030;Leusden;Meerpers. huishouden met minderj. kind.;3.7;43.1
1031;Leusden;Meerpers. huishouden z. minderj. kind.;4.7;41.7
1032;Loenen;Totaal particulier huishouden;3.4;37.2
1033;Loenen;Eenpersoonshuishouden;1.0;20.2
1034;Loenen;Meerpers. huishouden met minderj. kind.;1.0;48.4
1035;Loenen;Meerpers. huishouden z. minderj. kind.;1.4;41.1
1036;Lopik;Totaal particulier huishouden;4.9;35.3
1037;Lopik;Eenpersoonshuishouden;1.0;18.1
1038;Lopik;Meerpers. huishouden met minderj. kind.;1.8;39.1
1039;Lopik;Meerpers. huishouden z. minderj. kind.;2.1;40.4
1040;Maarn;Totaal particulier huishouden;2.4;39.9
1041;Maarn;Eenpersoonshuishouden;0.7;23.7
1042;Maarn;Meerpers. huishouden met minderj. kind.;0.6;45.3
1043;Maarn;Meerpers. huishouden z. minderj. kind.;1.1;46.4
1044;Maarssen;Totaal particulier huishouden;15.6;35.5
1045;Maarssen;Eenpersoonshuishouden;4.1;19.7
1046;Maarssen;Meerpers. huishouden met minderj. kind.;5.1;41.4
1047;Maarssen;Meerpers. huishouden z. minderj. kind.;6.3;40.9
1048;Montfoort;Totaal particulier huishouden;4.9;36.1
1049;Montfoort;Eenpersoonshuishouden;1.1;21.4
1050;Montfoort;Meerpers. huishouden met minderj. kind.;1.7;40.8
1051;Montfoort;Meerpers. huishouden z. minderj. kind.;2.1;40.0
1052;Renswoude;Totaal particulier huishouden;1.5;33.2
1053;Renswoude;Eenpersoonshuishouden;0.3;18.3
1054;Renswoude;Meerpers. huishouden met minderj. kind.;0.6;38.0
1055;Renswoude;Meerpers. huishouden z. minderj. kind.;0.6;36.6
1056;Rhenen;Totaal particulier huishouden;6.9;31.9
1057;Rhenen;Eenpersoonshuishouden;1.8;19.3
1058;Rhenen;Meerpers. huishouden met minderj. kind.;2.0;37.2
1059;Rhenen;Meerpers. huishouden z. minderj. kind.;3.1;35.9
1060;Soest;Totaal particulier huishouden;18.9;33.3
1061;Soest;Eenpersoonshuishouden;6.1;19.7
1062;Soest;Meerpers. huishouden met minderj. kind.;5.2;41.1
1063;Soest;Meerpers. huishouden z. minderj. kind.;7.6;39.1
1064;Utrecht (gemeente);Totaal particulier huishouden;118.5;28.6
1065;Utrecht (gemeente);Eenpersoonshuishouden;55.1;19.1
1066;Utrecht (gemeente);Meerpers. huishouden met minderj. kind.;25.7;37.1
1067;Utrecht (gemeente);Meerpers. huishouden z. minderj. kind.;37.7;36.7
1068;Veenendaal;Totaal particulier huishouden;23.1;31.8
1069;Veenendaal;Eenpersoonshuishouden;6.0;18.0
1070;Veenendaal;Meerpers. huishouden met minderj. kind.;7.9;37.4
1071;Veenendaal;Meerpers. huishouden z. minderj. kind.;9.2;36.0
1072;Woudenberg;Totaal particulier huishouden;4.2;33.9
1073;Woudenberg;Eenpersoonshuishouden;1.1;18.1
1074;Woudenberg;Meerpers. huishouden met minderj. kind.;1.3;39.0
1075;Woudenberg;Meerpers. huishouden z. minderj. kind.;1.7;39.5
1076;Wijk bij Duurstede;Totaal particulier huishouden;8.8;34.3
1077;Wijk bij Duurstede;Eenpersoonshuishouden;2.1;18.8
1078;Wijk bij Duurstede;Meerpers. huishouden met minderj. kind.;3.2;39.7
1079;Wijk bij Duurstede;Meerpers. huishouden z. minderj. kind.;3.5;38.6
1080;IJsselstein;Totaal particulier huishouden;13.2;34.1
1081;IJsselstein;Eenpersoonshuishouden;3.5;20.2
1082;IJsselstein;Meerpers. huishouden met minderj. kind.;4.5;39.9
1083;IJsselstein;Meerpers. huishouden z. minderj. kind.;5.2;38.4
1084;Zeist;Totaal particulier huishouden;25.7;33.2
1085;Zeist;Eenpersoonshuishouden;10.0;20.5
1086;Zeist;Meerpers. huishouden met minderj. kind.;6.1;43.1
1087;Zeist;Meerpers. huishouden z. minderj. kind.;9.5;40.2
1088;Nieuwegein;Totaal particulier huishouden;26.0;32.6
1089;Nieuwegein;Eenpersoonshuishouden;8.1;19.4
1090;Nieuwegein;Meerpers. huishouden met minderj. kind.;7.6;38.4
1091;Nieuwegein;Meerpers. huishouden z. minderj. kind.;10.4;38.7
1092;Aalsmeer;Totaal particulier huishouden;9.2;35.0
1093;Aalsmeer;Eenpersoonshuishouden;2.5;20.3
1094;Aalsmeer;Meerpers. huishouden met minderj. kind.;2.7;41.8
1095;Aalsmeer;Meerpers. huishouden z. minderj. kind.;4.1;39.6
1096;Alkmaar;Totaal particulier huishouden;41.0;28.7
1097;Alkmaar;Eenpersoonshuishouden;15.2;17.8
1098;Alkmaar;Meerpers. huishouden met minderj. kind.;10.9;34.9
1099;Alkmaar;Meerpers. huishouden z. minderj. kind.;14.9;35.2
1100;Amstelveen;Totaal particulier huishouden;35.0;35.8
1101;Amstelveen;Eenpersoonshuishouden;14.4;23.1
1102;Amstelveen;Meerpers. huishouden met minderj. kind.;8.4;48.6
1103;Amstelveen;Meerpers. huishouden z. minderj. kind.;12.2;41.9
1104;Amsterdam;Totaal particulier huishouden;372.0;26.3
1105;Amsterdam;Eenpersoonshuishouden;197.1;19.1
1106;Amsterdam;Meerpers. huishouden met minderj. kind.;77.9;32.4
1107;Amsterdam;Meerpers. huishouden z. minderj. kind.;97.0;36.2
1108;Andijk;Totaal particulier huishouden;2.5;31.4
1109;Andijk;Eenpersoonshuishouden;0.6;17.2
1110;Andijk;Meerpers. huishouden met minderj. kind.;0.8;37.7
1111;Andijk;Meerpers. huishouden z. minderj. kind.;1.1;34.9
1112;Graft-De Rijp;Totaal particulier huishouden;2.5;32.8
1113;Graft-De Rijp;Eenpersoonshuishouden;0.6;17.3
1114;Graft-De Rijp;Meerpers. huishouden met minderj. kind.;0.8;39.9
1115;Graft-De Rijp;Meerpers. huishouden z. minderj. kind.;1.0;36.4
1116;Anna Paulowna;Totaal particulier huishouden;5.4;29.9
1117;Anna Paulowna;Eenpersoonshuishouden;1.3;16.7
1118;Anna Paulowna;Meerpers. huishouden met minderj. kind.;1.8;36.3
1119;Anna Paulowna;Meerpers. huishouden z. minderj. kind.;2.3;32.8
1120;Beemster;Totaal particulier huishouden;3.3;35.9
1121;Beemster;Eenpersoonshuishouden;0.8;19.9
1122;Beemster;Meerpers. huishouden met minderj. kind.;1.0;45.7
1123;Beemster;Meerpers. huishouden z. minderj. kind.;1.5;38.4
1124;Bennebroek;Totaal particulier huishouden;2.1;40.6
1125;Bennebroek;Eenpersoonshuishouden;0.6;30.1
1126;Bennebroek;Meerpers. huishouden met minderj. kind.;0.5;45.9
1127;Bennebroek;Meerpers. huishouden z. minderj. kind.;1.0;44.3
1128;Bergen (NH.);Totaal particulier huishouden;13.2;33.8
1129;Bergen (NH.);Eenpersoonshuishouden;4.2;20.4
1130;Bergen (NH.);Meerpers. huishouden met minderj. kind.;3.2;40.9
1131;Bergen (NH.);Meerpers. huishouden z. minderj. kind.;5.7;39.6
1132;Beverwijk;Totaal particulier huishouden;16.2;29.5
1133;Beverwijk;Eenpersoonshuishouden;5.6;18.7
1134;Beverwijk;Meerpers. huishouden met minderj. kind.;4.2;34.4
1135;Beverwijk;Meerpers. huishouden z. minderj. kind.;6.4;35.6
1136;Blaricum;Totaal particulier huishouden;3.8;43.6
1137;Blaricum;Eenpersoonshuishouden;1.0;22.4
1138;Blaricum;Meerpers. huishouden met minderj. kind.;0.9;58.1
1139;Blaricum;Meerpers. huishouden z. minderj. kind.;1.8;48.0
1140;Bloemendaal;Totaal particulier huishouden;6.7;46.9
1141;Bloemendaal;Eenpersoonshuishouden;2.0;28.2
1142;Bloemendaal;Meerpers. huishouden met minderj. kind.;1.9;58.7
1143;Bloemendaal;Meerpers. huishouden z. minderj. kind.;2.8;52.6
1144;Bussum;Totaal particulier huishouden;14.3;34.9
1145;Bussum;Eenpersoonshuishouden;5.9;21.4
1146;Bussum;Meerpers. huishouden met minderj. kind.;3.4;49.6
1147;Bussum;Meerpers. huishouden z. minderj. kind.;5.0;40.9
1148;Castricum;Totaal particulier huishouden;14.1;35.0
1149;Castricum;Eenpersoonshuishouden;3.9;20.4
1150;Castricum;Meerpers. huishouden met minderj. kind.;4.2;41.7
1151;Castricum;Meerpers. huishouden z. minderj. kind.;6.1;39.9
1152;Diemen;Totaal particulier huishouden;10.3;33.1
1153;Diemen;Eenpersoonshuishouden;3.7;21.7
1154;Diemen;Meerpers. huishouden met minderj. kind.;3.0;39.7
1155;Diemen;Meerpers. huishouden z. minderj. kind.;3.6;39.3
1156;Edam-Volendam;Totaal particulier huishouden;10.6;34.9
1157;Edam-Volendam;Eenpersoonshuishouden;2.6;18.1
1158;Edam-Volendam;Meerpers. huishouden met minderj. kind.;3.5;40.0
1159;Edam-Volendam;Meerpers. huishouden z. minderj. kind.;4.6;40.5
1160;Enkhuizen;Totaal particulier huishouden;7.3;28.9
1161;Enkhuizen;Eenpersoonshuishouden;2.4;17.7
1162;Enkhuizen;Meerpers. huishouden met minderj. kind.;2.0;35.7
1163;Enkhuizen;Meerpers. huishouden z. minderj. kind.;2.9;33.6
1164;Haarlem;Totaal particulier huishouden;68.0;29.1
1165;Haarlem;Eenpersoonshuishouden;29.0;18.5
1166;Haarlem;Meerpers. huishouden met minderj. kind.;15.6;38.2
1167;Haarlem;Meerpers. huishouden z. minderj. kind.;23.4;36.1
1168;Haarlemmerliede en Spaarnwoude;Totaal particulier huishouden;2.2;36.2
1169;Haarlemmerliede en Spaarnwoude;Eenpersoonshuishouden;0.6;20.7
1170;Haarlemmerliede en Spaarnwoude;Meerpers. huishouden met minderj. kind.;0.7;44.7
1171;Haarlemmerliede en Spaarnwoude;Meerpers. huishouden z. minderj. kind.;0.9;39.7
1172;Haarlemmermeer;Totaal particulier huishouden;48.5;34.8
1173;Haarlemmermeer;Eenpersoonshuishouden;12.9;19.2
1174;Haarlemmermeer;Meerpers. huishouden met minderj. kind.;15.9;40.7
1175;Haarlemmermeer;Meerpers. huishouden z. minderj. kind.;19.7;40.3
1176;Harenkarspel;Totaal particulier huishouden;6.0;33.0
1177;Harenkarspel;Eenpersoonshuishouden;1.6;18.0
1178;Harenkarspel;Meerpers. huishouden met minderj. kind.;1.9;39.6
1179;Harenkarspel;Meerpers. huishouden z. minderj. kind.;2.6;37.1
1180;Heemskerk;Totaal particulier huishouden;14.9;31.4
1181;Heemskerk;Eenpersoonshuishouden;4.4;19.0
1182;Heemskerk;Meerpers. huishouden met minderj. kind.;4.4;37.1
1183;Heemskerk;Meerpers. huishouden z. minderj. kind.;6.1;36.2
1184;Heemstede;Totaal particulier huishouden;10.9;40.1
1185;Heemstede;Eenpersoonshuishouden;3.7;23.7
1186;Heemstede;Meerpers. huishouden met minderj. kind.;2.8;52.0
1187;Heemstede;Meerpers. huishouden z. minderj. kind.;4.3;46.3
1188;Heerhugowaard;Totaal particulier huishouden;18.3;32.0
1189;Heerhugowaard;Eenpersoonshuishouden;4.7;19.2
1190;Heerhugowaard;Meerpers. huishouden met minderj. kind.;5.9;36.0
1191;Heerhugowaard;Meerpers. huishouden z. minderj. kind.;7.7;36.6
1192;Heiloo;Totaal particulier huishouden;9.0;35.1
1193;Heiloo;Eenpersoonshuishouden;2.6;20.5
1194;Heiloo;Meerpers. huishouden met minderj. kind.;2.5;41.6
1195;Heiloo;Meerpers. huishouden z. minderj. kind.;4.0;40.5
1196;Den Helder;Totaal particulier huishouden;26.3;27.3
1197;Den Helder;Eenpersoonshuishouden;9.1;17.5
1198;Den Helder;Meerpers. huishouden met minderj. kind.;7.2;32.5
1199;Den Helder;Meerpers. huishouden z. minderj. kind.;10.1;32.4
1200;Hilversum;Totaal particulier huishouden;38.0;31.9
1201;Hilversum;Eenpersoonshuishouden;15.1;19.8
1202;Hilversum;Meerpers. huishouden met minderj. kind.;8.7;42.1
1203;Hilversum;Meerpers. huishouden z. minderj. kind.;14.3;38.4
1204;Hoorn;Totaal particulier huishouden;28.3;30.5
1205;Hoorn;Eenpersoonshuishouden;9.0;17.5
1206;Hoorn;Meerpers. huishouden met minderj. kind.;8.4;36.8
1207;Hoorn;Meerpers. huishouden z. minderj. kind.;10.9;36.5
1208;Huizen;Totaal particulier huishouden;16.9;34.8
1209;Huizen;Eenpersoonshuishouden;4.9;20.7
