ID;Geslacht;Leerweg;OpleidingsrichtingEnSector;Herkomstgroepering;Regiokenmerken;Perioden;TotaalDeelnemers_1;EntreeopleidingNiveau1_2;BasisberoepsopleidingNiveau2_3;VakopleidingNiveau3_4;MiddenkaderopleidingNiveau4a_5;SpecialistenopleidingNiveau4b_6;KorteOpleiding_7;LangeOpleiding_8;PrimaireOpleiding_9;VoortgezetteOpleiding_10
101;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);2010/'11;235291.0;10479.0;62164.0;64344.0;96686.0;1618.0;;;;
102;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);2011/'12;231620.0;10342.0;58419.0;64008.0;97754.0;1097.0;;;;
103;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);2012/'13;227638.0;10503.0;54908.0;61868.0;99702.0;657.0;;;;
104;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);2013/'14;222989.0;9726.0;50911.0;60296.0;101799.0;257.0;;;;
105;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);2014/'15;214461.0;7206.0;45581.0;56945.0;104689.0;40.0;;;;
106;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);2015/'16;211021.0;6608.0;41535.0;56726.0;106143.0;9.0;;;;
107;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;West-Nederland (LD);2016/'17;214055.0;6642.0;39813.0;56564.0;111004.0;32.0;;;;
108;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Zuid-Nederland (LD);1990/'91;;;;;;;;;;
109;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Zuid-Nederland (LD);1991/'92;;;;;;;;;;
110;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Zuid-Nederland (LD);1992/'93;;;;;;;;;;
111;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Zuid-Nederland (LD);1993/'94;;;;;;;;;;
112;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Zuid-Nederland (LD);1994/'95;;;;;;;;;;
113;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Zuid-Nederland (LD);1995/'96;;;;;;;;;;
114;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Zuid-Nederland (LD);1996/'97;;;;;;;;;;
115;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Zuid-Nederland (LD);1997/'98;;;;;;;;;;
116;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Zuid-Nederland (LD);1998/'99;;;;;;;;;;
117;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Zuid-Nederland (LD);1999/'00;;;;;;;;;;
118;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Zuid-Nederland (LD);2000/'01;;;;;;;;;;
119;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Zuid-Nederland (LD);2001/'02;;;;;;;;;;
120;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Zuid-Nederland (LD);2002/'03;;;;;;;;;;
121;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Zuid-Nederland (LD);2003/'04;;;;;;;;;;
122;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Zuid-Nederland (LD);2004/'05;;;;;;;;;;
123;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Zuid-Nederland (LD);2005/'06;102352.0;4595.0;24918.0;25797.0;45428.0;1614.0;;;;
