ID;EconomicActivitySBI2008;Periods;EnterprisesTotal_1;SingleOwnerCompanies_2;OtherLegalPersons_3
5911;32 Manufacture of other products;2000 January;1;1;0
5912;32 Manufacture of other products;2000 February;1;0;1
5913;32 Manufacture of other products;2000 March;0;0;0
5914;32 Manufacture of other products;2000 1st quarter;2;1;1
5915;32 Manufacture of other products;2000 April;0;0;0
5916;32 Manufacture of other products;2000 May;1;0;1
5917;32 Manufacture of other products;2000 June;0;0;0
5918;32 Manufacture of other products;2000 2nd quarter;1;0;1
5919;32 Manufacture of other products;2000 July;2;0;2
5920;32 Manufacture of other products;2000 August;0;0;0
5921;32 Manufacture of other products;2000 September;0;0;0
5922;32 Manufacture of other products;2000 3rd quarter;2;0;2
5923;32 Manufacture of other products;2000 October;2;1;1
5924;32 Manufacture of other products;2000 November;0;0;0
5925;32 Manufacture of other products;2000 December;0;0;0
5926;32 Manufacture of other products;2000 4th quarter;2;1;1
5927;32 Manufacture of other products;2000;7;2;5
5928;32 Manufacture of other products;2001 January;0;0;0
5929;32 Manufacture of other products;2001 February;0;0;0
5930;32 Manufacture of other products;2001 March;0;0;0
5931;32 Manufacture of other products;2001 1st quarter;0;0;0
5932;32 Manufacture of other products;2001 April;4;1;3
5933;32 Manufacture of other products;2001 May;0;0;0
5934;32 Manufacture of other products;2001 June;0;0;0
5935;32 Manufacture of other products;2001 2nd quarter;4;1;3
5936;32 Manufacture of other products;2001 July;1;1;0
5937;32 Manufacture of other products;2001 August;0;0;0
5938;32 Manufacture of other products;2001 September;2;0;2
5939;32 Manufacture of other products;2001 3rd quarter;3;1;2
5940;32 Manufacture of other products;2001 October;1;0;1
5941;32 Manufacture of other products;2001 November;1;0;1
5942;32 Manufacture of other products;2001 December;0;0;0
5943;32 Manufacture of other products;2001 4th quarter;2;0;2
5944;32 Manufacture of other products;2001;9;2;7
5945;32 Manufacture of other products;2002 January;1;0;1
5946;32 Manufacture of other products;2002 February;0;0;0
5947;32 Manufacture of other products;2002 March;2;1;1
5948;32 Manufacture of other products;2002 1st quarter;3;1;2
5949;32 Manufacture of other products;2002 April;1;0;1
5950;32 Manufacture of other products;2002 May;0;0;0
5951;32 Manufacture of other products;2002 June;2;0;2
5952;32 Manufacture of other products;2002 2nd quarter;3;0;3
5953;32 Manufacture of other products;2002 July;7;0;7
5954;32 Manufacture of other products;2002 August;0;0;0
5955;32 Manufacture of other products;2002 September;1;1;0
5956;32 Manufacture of other products;2002 3rd quarter;8;1;7
5957;32 Manufacture of other products;2002 October;1;0;1
5958;32 Manufacture of other products;2002 November;1;0;1
5959;32 Manufacture of other products;2002 December;0;0;0
5960;32 Manufacture of other products;2002 4th quarter;2;0;2
5961;32 Manufacture of other products;2002;16;2;14
5962;32 Manufacture of other products;2003 January;1;0;1
5963;32 Manufacture of other products;2003 February;1;0;1
5964;32 Manufacture of other products;2003 March;1;0;1
5965;32 Manufacture of other products;2003 1st quarter;3;0;3
5966;32 Manufacture of other products;2003 April;0;0;0
5967;32 Manufacture of other products;2003 May;6;1;5
5968;32 Manufacture of other products;2003 June;2;1;1
5969;32 Manufacture of other products;2003 2nd quarter;8;2;6
5970;32 Manufacture of other products;2003 July;2;0;2
5971;32 Manufacture of other products;2003 August;2;0;2
5972;32 Manufacture of other products;2003 September;1;0;1
5973;32 Manufacture of other products;2003 3rd quarter;5;0;5
5974;32 Manufacture of other products;2003 October;2;0;2
5975;32 Manufacture of other products;2003 November;0;0;0
5976;32 Manufacture of other products;2003 December;2;0;2
5977;32 Manufacture of other products;2003 4th quarter;4;0;4
5978;32 Manufacture of other products;2003;20;2;18
5979;32 Manufacture of other products;2004 January;1;0;1
5980;32 Manufacture of other products;2004 February;0;0;0
5981;32 Manufacture of other products;2004 March;2;0;2
5982;32 Manufacture of other products;2004 1st quarter;3;0;3
5983;32 Manufacture of other products;2004 April;1;1;0
5984;32 Manufacture of other products;2004 May;1;0;1
5985;32 Manufacture of other products;2004 June;2;0;2
5986;32 Manufacture of other products;2004 2nd quarter;4;1;3
5987;32 Manufacture of other products;2004 July;0;0;0
5988;32 Manufacture of other products;2004 August;0;0;0
5989;32 Manufacture of other products;2004 September;2;0;2
5990;32 Manufacture of other products;2004 3rd quarter;2;0;2
5991;32 Manufacture of other products;2004 October;0;0;0
5992;32 Manufacture of other products;2004 November;1;0;1
5993;32 Manufacture of other products;2004 December;1;0;1
5994;32 Manufacture of other products;2004 4th quarter;2;0;2
5995;32 Manufacture of other products;2004;11;1;10
5996;32 Manufacture of other products;2005 January;1;1;0
5997;32 Manufacture of other products;2005 February;2;1;1
5998;32 Manufacture of other products;2005 March;2;2;0
5999;32 Manufacture of other products;2005 1st quarter;5;4;1
6000;32 Manufacture of other products;2005 April;1;0;1
6001;32 Manufacture of other products;2005 May;2;0;2
6002;32 Manufacture of other products;2005 June;1;1;0
6003;32 Manufacture of other products;2005 2nd quarter;4;1;3
6004;32 Manufacture of other products;2005 July;3;0;3
6005;32 Manufacture of other products;2005 August;0;0;0
6006;32 Manufacture of other products;2005 September;2;0;2
6007;32 Manufacture of other products;2005 3rd quarter;5;0;5
6008;32 Manufacture of other products;2005 October;1;0;1
6009;32 Manufacture of other products;2005 November;0;0;0
6010;32 Manufacture of other products;2005 December;0;0;0
6011;32 Manufacture of other products;2005 4th quarter;1;0;1
6012;32 Manufacture of other products;2005;15;5;10
6013;32 Manufacture of other products;2006 January;3;0;3
6014;32 Manufacture of other products;2006 February;1;1;0
6015;32 Manufacture of other products;2006 March;0;0;0
6016;32 Manufacture of other products;2006 1st quarter;4;1;3
6017;32 Manufacture of other products;2006 April;0;0;0
6018;32 Manufacture of other products;2006 May;2;1;1
6019;32 Manufacture of other products;2006 June;1;0;1
6020;32 Manufacture of other products;2006 2nd quarter;3;1;2
6021;32 Manufacture of other products;2006 July;0;0;0
6022;32 Manufacture of other products;2006 August;2;1;1
6023;32 Manufacture of other products;2006 September;0;0;0
6024;32 Manufacture of other products;2006 3rd quarter;2;1;1
6025;32 Manufacture of other products;2006 October;2;1;1
6026;32 Manufacture of other products;2006 November;0;0;0
6027;32 Manufacture of other products;2006 December;2;0;2
6028;32 Manufacture of other products;2006 4th quarter;4;1;3
6029;32 Manufacture of other products;2006;13;4;9
6030;32 Manufacture of other products;2007 January;0;0;0
6031;32 Manufacture of other products;2007 February;0;0;0
6032;32 Manufacture of other products;2007 March;1;0;1
6033;32 Manufacture of other products;2007 1st quarter;1;0;1
6034;32 Manufacture of other products;2007 April;2;0;2
6035;32 Manufacture of other products;2007 May;3;0;3
6036;32 Manufacture of other products;2007 June;0;0;0
6037;32 Manufacture of other products;2007 2nd quarter;5;0;5
6038;32 Manufacture of other products;2007 July;0;0;0
6039;32 Manufacture of other products;2007 August;0;0;0
6040;32 Manufacture of other products;2007 September;1;0;1
6041;32 Manufacture of other products;2007 3rd quarter;1;0;1
6042;32 Manufacture of other products;2007 October;1;0;1
6043;32 Manufacture of other products;2007 November;1;1;0
6044;32 Manufacture of other products;2007 December;0;0;0
6045;32 Manufacture of other products;2007 4th quarter;2;1;1
6046;32 Manufacture of other products;2007;9;1;8
6047;32 Manufacture of other products;2008 January;0;0;0
6048;32 Manufacture of other products;2008 February;0;0;0
6049;32 Manufacture of other products;2008 March;1;0;1
6050;32 Manufacture of other products;2008 1st quarter;1;0;1
6051;32 Manufacture of other products;2008 April;0;0;0
6052;32 Manufacture of other products;2008 May;0;0;0
6053;32 Manufacture of other products;2008 June;2;0;2
6054;32 Manufacture of other products;2008 2nd quarter;2;0;2
6055;32 Manufacture of other products;2008 July;0;0;0
6056;32 Manufacture of other products;2008 August;3;0;3
6057;32 Manufacture of other products;2008 September;2;0;2
6058;32 Manufacture of other products;2008 3rd quarter;5;0;5
6059;32 Manufacture of other products;2008 October;0;0;0
6060;32 Manufacture of other products;2008 November;0;0;0
6061;32 Manufacture of other products;2008 December;2;0;2
6062;32 Manufacture of other products;2008 4th quarter;2;0;2
6063;32 Manufacture of other products;2008;10;0;10
6064;32 Manufacture of other products;2009 January;0;0;0
6065;32 Manufacture of other products;2009 February;1;1;0
6066;32 Manufacture of other products;2009 March;2;2;0
6067;32 Manufacture of other products;2009 1st quarter;3;3;0
6068;32 Manufacture of other products;2009 April;2;0;2
6069;32 Manufacture of other products;2009 May;1;0;1
6070;32 Manufacture of other products;2009 June;5;0;5
6071;32 Manufacture of other products;2009 2nd quarter;8;0;8
6072;32 Manufacture of other products;2009 July;3;0;3
6073;32 Manufacture of other products;2009 August;0;0;0
6074;32 Manufacture of other products;2009 September;0;0;0
6075;32 Manufacture of other products;2009 3rd quarter;3;0;3
6076;32 Manufacture of other products;2009 October;4;0;4
6077;32 Manufacture of other products;2009 November;1;0;1
6078;32 Manufacture of other products;2009 December;3;0;3
6079;32 Manufacture of other products;2009 4th quarter;8;0;8
6080;32 Manufacture of other products;2009;22;3;19
6081;32 Manufacture of other products;2010 January;3;0;3
6082;32 Manufacture of other products;2010 February;0;0;0
6083;32 Manufacture of other products;2010 March;6;0;6
6084;32 Manufacture of other products;2010 1st quarter;9;0;9
6085;32 Manufacture of other products;2010 April;4;0;4
6086;32 Manufacture of other products;2010 May;1;0;1
6087;32 Manufacture of other products;2010 June;2;0;2
6088;32 Manufacture of other products;2010 2nd quarter;7;0;7
6089;32 Manufacture of other products;2010 July;1;0;1
6090;32 Manufacture of other products;2010 August;0;0;0
6091;32 Manufacture of other products;2010 September;0;0;0
6092;32 Manufacture of other products;2010 3rd quarter;1;0;1
6093;32 Manufacture of other products;2010 October;2;0;2
6094;32 Manufacture of other products;2010 November;3;0;3
6095;32 Manufacture of other products;2010 December;0;0;0
6096;32 Manufacture of other products;2010 4th quarter;5;0;5
6097;32 Manufacture of other products;2010;22;0;22
6098;32 Manufacture of other products;2011 January;0;0;0
6099;32 Manufacture of other products;2011 February;0;0;0
6100;32 Manufacture of other products;2011 March;4;0;4
6101;32 Manufacture of other products;2011 1st quarter;4;0;4
6102;32 Manufacture of other products;2011 April;3;0;3
6103;32 Manufacture of other products;2011 May;1;0;1
6104;32 Manufacture of other products;2011 June;1;0;1
6105;32 Manufacture of other products;2011 2nd quarter;5;0;5
6106;32 Manufacture of other products;2011 July;0;0;0
6107;32 Manufacture of other products;2011 August;2;0;2
6108;32 Manufacture of other products;2011 September;0;0;0
6109;32 Manufacture of other products;2011 3rd quarter;2;0;2
6110;32 Manufacture of other products;2011 October;2;0;2
6111;32 Manufacture of other products;2011 November;2;1;1
6112;32 Manufacture of other products;2011 December;3;0;3
6113;32 Manufacture of other products;2011 4th quarter;7;1;6
6114;32 Manufacture of other products;2011;18;1;17
6115;32 Manufacture of other products;2012 January;4;1;3
6116;32 Manufacture of other products;2012 February;3;0;3
6117;32 Manufacture of other products;2012 March;1;0;1
6118;32 Manufacture of other products;2012 1st quarter;8;1;7
6119;32 Manufacture of other products;2012 April;3;0;3
6120;32 Manufacture of other products;2012 May;5;0;5
6121;32 Manufacture of other products;2012 June;1;0;1
6122;32 Manufacture of other products;2012 2nd quarter;9;0;9
6123;32 Manufacture of other products;2012 July ;5;0;5
6124;32 Manufacture of other products;2012 August;3;0;3
6125;32 Manufacture of other products;2012 September;1;0;1
6126;32 Manufacture of other products;2012 3rd quarter;9;0;9
6127;32 Manufacture of other products;2012 October;6;0;6
6128;32 Manufacture of other products;2012 November;7;0;7
6129;32 Manufacture of other products;2012 December;2;0;2
6130;32 Manufacture of other products;2012 4th quarter;15;0;15
6131;32 Manufacture of other products;2012;41;1;40
6132;32 Manufacture of other products;2013 January;1;0;1
6133;32 Manufacture of other products;2013 February;1;0;1
6134;32 Manufacture of other products;2013 March;3;0;3
6135;32 Manufacture of other products;2013 1st quarter;5;0;5
6136;32 Manufacture of other products;2013 April;1;1;0
6137;32 Manufacture of other products;2013 May;2;0;2
6138;32 Manufacture of other products;2013 June;3;0;3
6139;32 Manufacture of other products;2013 2nd quarter;6;1;5
6140;32 Manufacture of other products;2013 July;3;1;2
6141;32 Manufacture of other products;2013 August;0;0;0
6142;32 Manufacture of other products;2013 September;1;0;1
6143;32 Manufacture of other products;2013 3rd quarter;4;1;3
6144;32 Manufacture of other products;2013 October;0;0;0
6145;32 Manufacture of other products;2013 November;1;0;1
6146;32 Manufacture of other products;2013 December;6;0;6
6147;32 Manufacture of other products;2013 4th quarter;7;0;7
6148;32 Manufacture of other products;2013;22;2;20
6149;32 Manufacture of other products;2014 January;3;0;3
6150;32 Manufacture of other products;2014 February;1;0;1
6151;32 Manufacture of other products;2014 March;2;0;2
6152;32 Manufacture of other products;2014 1st quarter;6;0;6
6153;32 Manufacture of other products;2014 April;1;0;1
6154;33 Repair and installation of machinery;1993 January;0;0;0
6155;33 Repair and installation of machinery;1993 February;0;0;0
6156;33 Repair and installation of machinery;1993 March;0;0;0
6157;33 Repair and installation of machinery;1993 1st quarter;0;0;0
6158;33 Repair and installation of machinery;1993 April;0;0;0
6159;33 Repair and installation of machinery;1993 May;0;0;0
6160;33 Repair and installation of machinery;1993 June;0;0;0
6161;33 Repair and installation of machinery;1993 2nd quarter;0;0;0
6162;33 Repair and installation of machinery;1993 July;0;0;0
6163;33 Repair and installation of machinery;1993 August;0;0;0
6164;33 Repair and installation of machinery;1993 September;0;0;0
6165;33 Repair and installation of machinery;1993 3rd quarter;0;0;0
6166;33 Repair and installation of machinery;1993 October;0;0;0
6167;33 Repair and installation of machinery;1993 November;0;0;0
6168;33 Repair and installation of machinery;1993 December;0;0;0
6169;33 Repair and installation of machinery;1993 4th quarter;0;0;0
6170;33 Repair and installation of machinery;1993;0;0;0
6171;33 Repair and installation of machinery;1994 January;0;0;0
6172;33 Repair and installation of machinery;1994 February;0;0;0
6173;33 Repair and installation of machinery;1994 March;0;0;0
6174;33 Repair and installation of machinery;1994 1st quarter;0;0;0
6175;33 Repair and installation of machinery;1994 April;0;0;0
6176;33 Repair and installation of machinery;1994 May;0;0;0
6177;33 Repair and installation of machinery;1994 June;0;0;0
6178;33 Repair and installation of machinery;1994 2nd quarter;0;0;0
6179;33 Repair and installation of machinery;1994 July;1;0;1
6180;33 Repair and installation of machinery;1994 August;0;0;0
6181;33 Repair and installation of machinery;1994 September;0;0;0
6182;33 Repair and installation of machinery;1994 3rd quarter;1;0;1
6183;33 Repair and installation of machinery;1994 October;0;0;0
6184;33 Repair and installation of machinery;1994 November;0;0;0
6185;33 Repair and installation of machinery;1994 December;0;0;0
6186;33 Repair and installation of machinery;1994 4th quarter;0;0;0
6187;33 Repair and installation of machinery;1994;1;0;1
6188;33 Repair and installation of machinery;1995 January;0;0;0
6189;33 Repair and installation of machinery;1995 February;0;0;0
6190;33 Repair and installation of machinery;1995 March;0;0;0
6191;33 Repair and installation of machinery;1995 1st quarter;0;0;0
6192;33 Repair and installation of machinery;1995 April;0;0;0
6193;33 Repair and installation of machinery;1995 May;0;0;0
6194;33 Repair and installation of machinery;1995 June;0;0;0
6195;33 Repair and installation of machinery;1995 2nd quarter;0;0;0
6196;33 Repair and installation of machinery;1995 July;0;0;0
6197;33 Repair and installation of machinery;1995 August;0;0;0
6198;33 Repair and installation of machinery;1995 September;0;0;0
6199;33 Repair and installation of machinery;1995 3rd quarter;0;0;0
6200;33 Repair and installation of machinery;1995 October;0;0;0
6201;33 Repair and installation of machinery;1995 November;0;0;0
6202;33 Repair and installation of machinery;1995 December;0;0;0
6203;33 Repair and installation of machinery;1995 4th quarter;0;0;0
6204;33 Repair and installation of machinery;1995;0;0;0
6205;33 Repair and installation of machinery;1996 January;0;0;0
6206;33 Repair and installation of machinery;1996 February;0;0;0
6207;33 Repair and installation of machinery;1996 March;0;0;0
6208;33 Repair and installation of machinery;1996 1st quarter;0;0;0
6209;33 Repair and installation of machinery;1996 April;0;0;0
6210;33 Repair and installation of machinery;1996 May;0;0;0
6211;33 Repair and installation of machinery;1996 June;0;0;0
6212;33 Repair and installation of machinery;1996 2nd quarter;0;0;0
6213;33 Repair and installation of machinery;1996 July;0;0;0
6214;33 Repair and installation of machinery;1996 August;0;0;0
6215;33 Repair and installation of machinery;1996 September;0;0;0
6216;33 Repair and installation of machinery;1996 3rd quarter;0;0;0
6217;33 Repair and installation of machinery;1996 October;0;0;0
6218;33 Repair and installation of machinery;1996 November;0;0;0
6219;33 Repair and installation of machinery;1996 December;0;0;0
6220;33 Repair and installation of machinery;1996 4th quarter;0;0;0
6221;33 Repair and installation of machinery;1996;0;0;0
6222;33 Repair and installation of machinery;1997 January;0;0;0
6223;33 Repair and installation of machinery;1997 February;0;0;0
6224;33 Repair and installation of machinery;1997 March;0;0;0
6225;33 Repair and installation of machinery;1997 1st quarter;0;0;0
6226;33 Repair and installation of machinery;1997 April;0;0;0
6227;33 Repair and installation of machinery;1997 May;0;0;0
6228;33 Repair and installation of machinery;1997 June;0;0;0
6229;33 Repair and installation of machinery;1997 2nd quarter;0;0;0
6230;33 Repair and installation of machinery;1997 July;0;0;0
6231;33 Repair and installation of machinery;1997 August;0;0;0
6232;33 Repair and installation of machinery;1997 September;0;0;0
6233;33 Repair and installation of machinery;1997 3rd quarter;0;0;0
6234;33 Repair and installation of machinery;1997 October;0;0;0
6235;33 Repair and installation of machinery;1997 November;0;0;0
6236;33 Repair and installation of machinery;1997 December;0;0;0
6237;33 Repair and installation of machinery;1997 4th quarter;0;0;0
6238;33 Repair and installation of machinery;1997;0;0;0
6239;33 Repair and installation of machinery;1998 January;0;0;0
6240;33 Repair and installation of machinery;1998 February;0;0;0
6241;33 Repair and installation of machinery;1998 March;0;0;0
6242;33 Repair and installation of machinery;1998 1st quarter;0;0;0
6243;33 Repair and installation of machinery;1998 April;0;0;0
6244;33 Repair and installation of machinery;1998 May;0;0;0
6245;33 Repair and installation of machinery;1998 June;0;0;0
6246;33 Repair and installation of machinery;1998 2nd quarter;0;0;0
6247;33 Repair and installation of machinery;1998 July;0;0;0
6248;33 Repair and installation of machinery;1998 August;0;0;0
6249;33 Repair and installation of machinery;1998 September;0;0;0
6250;33 Repair and installation of machinery;1998 3rd quarter;0;0;0
6251;33 Repair and installation of machinery;1998 October;0;0;0
6252;33 Repair and installation of machinery;1998 November;0;0;0
6253;33 Repair and installation of machinery;1998 December;0;0;0
6254;33 Repair and installation of machinery;1998 4th quarter;0;0;0
6255;33 Repair and installation of machinery;1998;0;0;0
6256;33 Repair and installation of machinery;1999 January;0;0;0
6257;33 Repair and installation of machinery;1999 February;0;0;0
6258;33 Repair and installation of machinery;1999 March;0;0;0
6259;33 Repair and installation of machinery;1999 1st quarter;0;0;0
6260;33 Repair and installation of machinery;1999 April;0;0;0
6261;33 Repair and installation of machinery;1999 May;0;0;0
6262;33 Repair and installation of machinery;1999 June;0;0;0
6263;33 Repair and installation of machinery;1999 2nd quarter;0;0;0
6264;33 Repair and installation of machinery;1999 July;0;0;0
6265;33 Repair and installation of machinery;1999 August;0;0;0
6266;33 Repair and installation of machinery;1999 September;0;0;0
6267;33 Repair and installation of machinery;1999 3rd quarter;0;0;0
6268;33 Repair and installation of machinery;1999 October;0;0;0
6269;33 Repair and installation of machinery;1999 November;0;0;0
6270;33 Repair and installation of machinery;1999 December;0;0;0
6271;33 Repair and installation of machinery;1999 4th quarter;0;0;0
6272;33 Repair and installation of machinery;1999;0;0;0
6273;33 Repair and installation of machinery;2000 January;0;0;0
6274;33 Repair and installation of machinery;2000 February;0;0;0
6275;33 Repair and installation of machinery;2000 March;0;0;0
6276;33 Repair and installation of machinery;2000 1st quarter;0;0;0
6277;33 Repair and installation of machinery;2000 April;0;0;0
6278;33 Repair and installation of machinery;2000 May;1;0;1
6279;33 Repair and installation of machinery;2000 June;0;0;0
6280;33 Repair and installation of machinery;2000 2nd quarter;1;0;1
6281;33 Repair and installation of machinery;2000 July;0;0;0
6282;33 Repair and installation of machinery;2000 August;0;0;0
6283;33 Repair and installation of machinery;2000 September;0;0;0
6284;33 Repair and installation of machinery;2000 3rd quarter;0;0;0
6285;33 Repair and installation of machinery;2000 October;2;0;2
6286;33 Repair and installation of machinery;2000 November;0;0;0
6287;33 Repair and installation of machinery;2000 December;0;0;0
6288;33 Repair and installation of machinery;2000 4th quarter;2;0;2
6289;33 Repair and installation of machinery;2000;3;0;3
6290;33 Repair and installation of machinery;2001 January;0;0;0
6291;33 Repair and installation of machinery;2001 February;0;0;0
6292;33 Repair and installation of machinery;2001 March;0;0;0
6293;33 Repair and installation of machinery;2001 1st quarter;0;0;0
6294;33 Repair and installation of machinery;2001 April;0;0;0
6295;33 Repair and installation of machinery;2001 May;0;0;0
6296;33 Repair and installation of machinery;2001 June;0;0;0
6297;33 Repair and installation of machinery;2001 2nd quarter;0;0;0
6298;33 Repair and installation of machinery;2001 July;0;0;0
6299;33 Repair and installation of machinery;2001 August;0;0;0
6300;33 Repair and installation of machinery;2001 September;0;0;0
6301;33 Repair and installation of machinery;2001 3rd quarter;0;0;0
6302;33 Repair and installation of machinery;2001 October;0;0;0
6303;33 Repair and installation of machinery;2001 November;0;0;0
6304;33 Repair and installation of machinery;2001 December;0;0;0
6305;33 Repair and installation of machinery;2001 4th quarter;0;0;0
6306;33 Repair and installation of machinery;2001;0;0;0
6307;33 Repair and installation of machinery;2002 January;0;0;0
6308;33 Repair and installation of machinery;2002 February;0;0;0
6309;33 Repair and installation of machinery;2002 March;0;0;0
6310;33 Repair and installation of machinery;2002 1st quarter;0;0;0
6311;33 Repair and installation of machinery;2002 April;1;0;1
6312;33 Repair and installation of machinery;2002 May;0;0;0
6313;33 Repair and installation of machinery;2002 June;0;0;0
6314;33 Repair and installation of machinery;2002 2nd quarter;1;0;1
6315;33 Repair and installation of machinery;2002 July;0;0;0
6316;33 Repair and installation of machinery;2002 August;0;0;0
6317;33 Repair and installation of machinery;2002 September;0;0;0
6318;33 Repair and installation of machinery;2002 3rd quarter;0;0;0
6319;33 Repair and installation of machinery;2002 October;0;0;0
6320;33 Repair and installation of machinery;2002 November;0;0;0
6321;33 Repair and installation of machinery;2002 December;0;0;0
6322;33 Repair and installation of machinery;2002 4th quarter;0;0;0
6323;33 Repair and installation of machinery;2002;1;0;1
6324;33 Repair and installation of machinery;2003 January;0;0;0
6325;33 Repair and installation of machinery;2003 February;0;0;0
6326;33 Repair and installation of machinery;2003 March;0;0;0
6327;33 Repair and installation of machinery;2003 1st quarter;0;0;0
6328;33 Repair and installation of machinery;2003 April;0;0;0
6329;33 Repair and installation of machinery;2003 May;0;0;0
6330;33 Repair and installation of machinery;2003 June;0;0;0
6331;33 Repair and installation of machinery;2003 2nd quarter;0;0;0
6332;33 Repair and installation of machinery;2003 July;0;0;0
6333;33 Repair and installation of machinery;2003 August;0;0;0
6334;33 Repair and installation of machinery;2003 September;0;0;0
6335;33 Repair and installation of machinery;2003 3rd quarter;0;0;0
6336;33 Repair and installation of machinery;2003 October;0;0;0
6337;33 Repair and installation of machinery;2003 November;0;0;0
6338;33 Repair and installation of machinery;2003 December;0;0;0
6339;33 Repair and installation of machinery;2003 4th quarter;0;0;0
6340;33 Repair and installation of machinery;2003;0;0;0
6341;33 Repair and installation of machinery;2004 January;0;0;0
6342;33 Repair and installation of machinery;2004 February;0;0;0
6343;33 Repair and installation of machinery;2004 March;0;0;0
6344;33 Repair and installation of machinery;2004 1st quarter;0;0;0
6345;33 Repair and installation of machinery;2004 April;0;0;0
6346;33 Repair and installation of machinery;2004 May;0;0;0
6347;33 Repair and installation of machinery;2004 June;0;0;0
6348;33 Repair and installation of machinery;2004 2nd quarter;0;0;0
6349;33 Repair and installation of machinery;2004 July;0;0;0
6350;33 Repair and installation of machinery;2004 August;0;0;0
6351;33 Repair and installation of machinery;2004 September;0;0;0
6352;33 Repair and installation of machinery;2004 3rd quarter;0;0;0
6353;33 Repair and installation of machinery;2004 October;1;0;1
6354;33 Repair and installation of machinery;2004 November;0;0;0
6355;33 Repair and installation of machinery;2004 December;0;0;0
6356;33 Repair and installation of machinery;2004 4th quarter;1;0;1
6357;33 Repair and installation of machinery;2004;1;0;1
6358;33 Repair and installation of machinery;2005 January;0;0;0
6359;33 Repair and installation of machinery;2005 February;0;0;0
6360;33 Repair and installation of machinery;2005 March;0;0;0
6361;33 Repair and installation of machinery;2005 1st quarter;0;0;0
6362;33 Repair and installation of machinery;2005 April;0;0;0
6363;33 Repair and installation of machinery;2005 May;0;0;0
6364;33 Repair and installation of machinery;2005 June;0;0;0
6365;33 Repair and installation of machinery;2005 2nd quarter;0;0;0
6366;33 Repair and installation of machinery;2005 July;1;0;1
6367;33 Repair and installation of machinery;2005 August;0;0;0
6368;33 Repair and installation of machinery;2005 September;0;0;0
6369;33 Repair and installation of machinery;2005 3rd quarter;1;0;1
6370;33 Repair and installation of machinery;2005 October;0;0;0
6371;33 Repair and installation of machinery;2005 November;1;1;0
6372;33 Repair and installation of machinery;2005 December;0;0;0
6373;33 Repair and installation of machinery;2005 4th quarter;1;1;0
6374;33 Repair and installation of machinery;2005;2;1;1
6375;33 Repair and installation of machinery;2006 January;0;0;0
6376;33 Repair and installation of machinery;2006 February;0;0;0
6377;33 Repair and installation of machinery;2006 March;1;1;0
6378;33 Repair and installation of machinery;2006 1st quarter;1;1;0
6379;33 Repair and installation of machinery;2006 April;0;0;0
6380;33 Repair and installation of machinery;2006 May;0;0;0
6381;33 Repair and installation of machinery;2006 June;0;0;0
6382;33 Repair and installation of machinery;2006 2nd quarter;0;0;0
6383;33 Repair and installation of machinery;2006 July;0;0;0
6384;33 Repair and installation of machinery;2006 August;0;0;0
6385;33 Repair and installation of machinery;2006 September;0;0;0
6386;33 Repair and installation of machinery;2006 3rd quarter;0;0;0
6387;33 Repair and installation of machinery;2006 October;0;0;0
6388;33 Repair and installation of machinery;2006 November;0;0;0
6389;33 Repair and installation of machinery;2006 December;0;0;0
6390;33 Repair and installation of machinery;2006 4th quarter;0;0;0
6391;33 Repair and installation of machinery;2006;1;1;0
6392;33 Repair and installation of machinery;2007 January;0;0;0
6393;33 Repair and installation of machinery;2007 February;0;0;0
6394;33 Repair and installation of machinery;2007 March;0;0;0
6395;33 Repair and installation of machinery;2007 1st quarter;0;0;0
6396;33 Repair and installation of machinery;2007 April;0;0;0
6397;33 Repair and installation of machinery;2007 May;0;0;0
6398;33 Repair and installation of machinery;2007 June;0;0;0
6399;33 Repair and installation of machinery;2007 2nd quarter;0;0;0
6400;33 Repair and installation of machinery;2007 July;0;0;0
6401;33 Repair and installation of machinery;2007 August;0;0;0
6402;33 Repair and installation of machinery;2007 September;0;0;0
6403;33 Repair and installation of machinery;2007 3rd quarter;0;0;0
6404;33 Repair and installation of machinery;2007 October;0;0;0
6405;33 Repair and installation of machinery;2007 November;0;0;0
6406;33 Repair and installation of machinery;2007 December;0;0;0
6407;33 Repair and installation of machinery;2007 4th quarter;0;0;0
6408;33 Repair and installation of machinery;2007;0;0;0
6409;33 Repair and installation of machinery;2008 January;0;0;0
6410;33 Repair and installation of machinery;2008 February;0;0;0
6411;33 Repair and installation of machinery;2008 March;0;0;0
6412;33 Repair and installation of machinery;2008 1st quarter;0;0;0
6413;33 Repair and installation of machinery;2008 April;1;0;1
6414;33 Repair and installation of machinery;2008 May;0;0;0
6415;33 Repair and installation of machinery;2008 June;0;0;0
6416;33 Repair and installation of machinery;2008 2nd quarter;1;0;1
6417;33 Repair and installation of machinery;2008 July;0;0;0
6418;33 Repair and installation of machinery;2008 August;0;0;0
6419;33 Repair and installation of machinery;2008 September;0;0;0
6420;33 Repair and installation of machinery;2008 3rd quarter;0;0;0
6421;33 Repair and installation of machinery;2008 October;0;0;0
6422;33 Repair and installation of machinery;2008 November;0;0;0
6423;33 Repair and installation of machinery;2008 December;1;0;1
6424;33 Repair and installation of machinery;2008 4th quarter;1;0;1
6425;33 Repair and installation of machinery;2008;2;0;2
6426;33 Repair and installation of machinery;2009 January;0;0;0
