ID;CommodityFlows;OriginDestinationLoadingUnloading;ContinentsAndCountryGroups;CommodityGroups;TransportModes;Containerization;Periods;Estimate_1;LowerBound95ConfidenceInterval_2;UpperBound95ConfidenceInterval_3;ConfidenceInterval_4;ShareInCommodityFlow_5;GrowthIndication_6;Estimate_7;LowerBound95ConfidenceInterval_8;UpperBound95ConfidenceInterval_9;ConfidenceInterval_10;ShareInCommodityFlow_11;GrowthIndication_12
6109;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Total;Non-containerized goods;2013;10834174.0;10130270.0;11538078.0;6.0;2.0;9.0;717929.0;660944.0;774914.0;8.0;0.0;2.0
6110;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Total;Non-containerized goods;2014;11527598.0;10813602.0;12241594.0;6.0;2.0;4.0;733789.0;677603.0;789975.0;8.0;0.0;9.0
6111;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Total;Non-containerized goods;2015;11037819.0;10338009.0;11737630.0;6.0;2.0;9.0;613462.0;571315.0;655610.0;7.0;0.0;1.0
6112;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Total;Non-containerized goods;2016;11896216.0;11213625.0;12578808.0;6.0;2.0;4.0;731730.0;687015.0;776445.0;6.0;0.0;5.0
6113;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Total;Non-containerized goods;2017;16200302.0;14634587.0;17766018.0;10.0;2.0;5.0;1333460.0;1280338.0;1386582.0;4.0;0.0;5.0
6114;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Total;Non-containerized goods;2018;12722064.0;11895706.0;13548422.0;6.0;2.0;1.0;654029.0;606503.0;701555.0;7.0;0.0;1.0
6115;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Total;Non-containerized goods;2019;11728666.0;11237324.0;12220008.0;4.0;2.0;2.0;465103.0;348848.0;581358.0;25.0;0.0;1.0
6116;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Total;Non-containerized goods;2020;14636163.0;14162512.0;15109814.0;3.0;2.0;5.0;533055.0;404308.0;661801.0;24.0;0.0;9.0
6117;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Total;Non-containerized goods;2021;14737944.0;12778971.0;16696918.0;13.0;1.0;9.0;782563.0;720701.0;844425.0;8.0;0.0;5.0
6118;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Total;Non-containerized goods;2022;19715099.0;18186559.0;21243639.0;8.0;2.0;5.0;807723.0;738441.0;877004.0;9.0;0.0;9.0
6119;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Total;Non-containerized goods;2023;21157359.0;19265916.0;23048801.0;9.0;2.0;9.0;646941.0;595340.0;698542.0;8.0;0.0;1.0
6120;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Total;2007;14982750.0;11840269.0;18125231.0;21.0;3.0;;2815202.0;2672975.0;2957430.0;5.0;0.0;
6121;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Total;2008;17054540.0;13539562.0;20569519.0;21.0;3.0;9.0;2832927.0;2726520.0;2939333.0;4.0;0.0;9.0
6122;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Total;2009;13621116.0;10554650.0;16687582.0;23.0;3.0;1.0;2312032.0;2188739.0;2435326.0;5.0;0.0;1.0
6123;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Total;2010;13296504.0;10873773.0;15719234.0;18.0;2.0;9.0;2697026.0;2602125.0;2791926.0;4.0;0.0;5.0
6124;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Total;2011;19090232.0;15028768.0;23151697.0;21.0;3.0;5.0;3121700.0;2975184.0;3268215.0;5.0;1.0;5.0
6125;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Total;2012;14937932.0;11727622.0;18148243.0;21.0;2.0;1.0;2308900.0;2117390.0;2500410.0;8.0;0.0;1.0
6126;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Total;2013;18296278.0;14245936.0;22346620.0;22.0;3.0;9.0;2416266.0;2223199.0;2609333.0;8.0;0.0;9.0
6127;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Total;2014;26899639.0;21769485.0;32029793.0;19.0;4.0;5.0;3052943.0;2885802.0;3220083.0;5.0;1.0;5.0
6128;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Total;2015;20971468.0;15917086.0;26025850.0;24.0;3.0;1.0;2997594.0;2802257.0;3192930.0;7.0;0.0;9.0
6129;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Total;2016;18615963.0;13413363.0;23818562.0;28.0;3.0;9.0;3366279.0;3150241.0;3582316.0;6.0;1.0;5.0
6130;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Total;2017;24899368.0;18760208.0;31038529.0;25.0;3.0;5.0;3895914.0;3724699.0;4067128.0;4.0;1.0;5.0
6131;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Total;2018;21413607.0;18837612.0;23989602.0;12.0;3.0;9.0;2293494.0;2079395.0;2507592.0;9.0;0.0;1.0
6132;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Total;2019;24864381.0;22715294.0;27013467.0;9.0;3.0;5.0;2362425.0;2196277.0;2528573.0;7.0;0.0;9.0
6133;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Total;2020;22370886.0;19824020.0;24917753.0;11.0;3.0;1.0;2080323.0;1901375.0;2259272.0;9.0;0.0;1.0
6134;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Total;2021;26261043.0;23129832.0;29392254.0;12.0;3.0;5.0;2780185.0;2544255.0;3016115.0;8.0;0.0;5.0
6135;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Total;2022;19892380.0;18409830.0;21374930.0;7.0;2.0;1.0;2644418.0;2401265.0;2887571.0;9.0;0.0;9.0
6136;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Total;2023;20169347.0;17827669.0;22511024.0;12.0;2.0;9.0;2226354.0;2032044.0;2420665.0;9.0;0.0;1.0
6137;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Containerized goods;2007;14982538.0;11840057.0;18125019.0;21.0;3.0;;2815194.0;2672967.0;2957421.0;5.0;0.0;
6138;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Containerized goods;2008;17032272.0;13517295.0;20547250.0;21.0;3.0;9.0;2829419.0;2723013.0;2935824.0;4.0;0.0;9.0
6139;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Containerized goods;2009;13617145.0;10550679.0;16683611.0;23.0;3.0;1.0;2311403.0;2188109.0;2434696.0;5.0;0.0;1.0
6140;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Containerized goods;2010;13274821.0;10852092.0;15697550.0;18.0;2.0;9.0;2694558.0;2599658.0;2789457.0;4.0;0.0;5.0
6141;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Containerized goods;2011;18944374.0;14883133.0;23005616.0;21.0;3.0;5.0;3102230.0;2955758.0;3248701.0;5.0;1.0;5.0
6142;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Containerized goods;2012;14763636.0;11553440.0;17973833.0;22.0;2.0;1.0;2292099.0;2100600.0;2483598.0;8.0;0.0;1.0
6143;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Containerized goods;2013;18155191.0;14104930.0;22205453.0;22.0;3.0;9.0;2400453.0;2207400.0;2593506.0;8.0;0.0;9.0
6144;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Containerized goods;2014;26659172.0;21529345.0;31788999.0;19.0;4.0;5.0;3027995.0;2860904.0;3195086.0;6.0;1.0;5.0
6145;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Containerized goods;2015;20565060.0;15511388.0;25618733.0;25.0;3.0;1.0;2955032.0;2759736.0;3150328.0;7.0;0.0;9.0
6146;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Containerized goods;2016;18006090.0;12804904.0;23207276.0;29.0;3.0;9.0;3312325.0;3096387.0;3528262.0;7.0;1.0;5.0
6147;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Containerized goods;2017;23420866.0;17288510.0;29553223.0;26.0;3.0;9.0;3791915.0;3621019.0;3962812.0;5.0;1.0;5.0
6148;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Containerized goods;2018;19900451.0;17340326.0;22460575.0;13.0;2.0;9.0;2186698.0;1973177.0;2400219.0;10.0;0.0;1.0
6149;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Containerized goods;2019;23905317.0;21758196.0;26052439.0;9.0;3.0;5.0;2294920.0;2143821.0;2446019.0;7.0;0.0;9.0
6150;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Containerized goods;2020;21487243.0;18941923.0;24032562.0;12.0;3.0;1.0;2002234.0;1850767.0;2153700.0;8.0;0.0;1.0
6151;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Containerized goods;2021;24749029.0;21644998.0;27853061.0;13.0;2.0;5.0;2608479.0;2375425.0;2841532.0;9.0;0.0;5.0
6152;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Containerized goods;2022;19273724.0;17799209.0;20748240.0;8.0;2.0;1.0;2576081.0;2333291.0;2818871.0;9.0;0.0;9.0
6153;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Containerized goods;2023;19982957.0;17641629.0;22324286.0;12.0;2.0;9.0;2193152.0;1998951.0;2387353.0;9.0;0.0;1.0
6154;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Non-containerized goods;2007;212.0;197.0;226.0;7.0;0.0;;8.0;7.0;10.0;14.0;0.0;
6155;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Non-containerized goods;2008;22268.0;19584.0;24952.0;12.0;0.0;5.0;3508.0;3022.0;3994.0;14.0;0.0;5.0
6156;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Non-containerized goods;2009;3971.0;3239.0;4703.0;18.0;0.0;1.0;629.0;570.0;689.0;9.0;0.0;1.0
6157;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Non-containerized goods;2010;21682.0;19009.0;24355.0;12.0;0.0;5.0;2468.0;2151.0;2785.0;13.0;0.0;5.0
6158;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Non-containerized goods;2011;145858.0;103279.0;188437.0;29.0;0.0;5.0;19470.0;15886.0;23054.0;18.0;0.0;5.0
6159;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Non-containerized goods;2012;174296.0;147256.0;201337.0;16.0;0.0;9.0;16801.0;14794.0;18807.0;12.0;0.0;1.0
6160;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Non-containerized goods;2013;141087.0;115525.0;166649.0;18.0;0.0;1.0;15813.0;13516.0;18110.0;15.0;0.0;9.0
6161;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Non-containerized goods;2014;240467.0;182580.0;298354.0;24.0;0.0;5.0;24948.0;20874.0;29022.0;16.0;0.0;5.0
6162;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Non-containerized goods;2015;406408.0;321731.0;491085.0;21.0;0.0;5.0;42562.0;38601.0;46522.0;9.0;0.0;5.0
6163;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Non-containerized goods;2016;609873.0;488616.0;731130.0;20.0;0.0;5.0;53954.0;47388.0;60520.0;12.0;0.0;5.0
6164;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Non-containerized goods;2017;1478502.0;1189548.0;1767456.0;20.0;0.0;5.0;103998.0;93560.0;114437.0;10.0;0.0;5.0
6165;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Non-containerized goods;2018;1513157.0;1227654.0;1798660.0;19.0;0.0;9.0;106796.0;91072.0;122519.0;15.0;0.0;9.0
6166;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Non-containerized goods;2019;959063.0;867185.0;1050942.0;10.0;0.0;1.0;67505.0;0.0;136601.0;;0.0;9.0
6167;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Non-containerized goods;2020;883643.0;794886.0;972401.0;10.0;0.0;9.0;78090.0;0.0;173382.0;;0.0;9.0
6168;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Non-containerized goods;2021;1512014.0;1100347.0;1923680.0;27.0;0.0;5.0;171706.0;134979.0;208434.0;21.0;0.0;9.0
6169;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Non-containerized goods;2022;618656.0;464522.0;772789.0;25.0;0.0;1.0;68337.0;55060.0;81614.0;19.0;0.0;1.0
6170;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Maritime transport;Non-containerized goods;2023;186389.0;145996.0;226782.0;22.0;0.0;1.0;33202.0;26676.0;39728.0;20.0;0.0;1.0
6171;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Total;2007;1017117.0;875303.0;1158930.0;14.0;0.0;;203022.0;157832.0;248213.0;22.0;0.0;
6172;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Total;2008;1262841.0;951484.0;1574198.0;25.0;0.0;5.0;246925.0;220883.0;272967.0;11.0;0.0;5.0
6173;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Total;2009;771975.0;548113.0;995837.0;29.0;0.0;1.0;151278.0;115032.0;187524.0;24.0;0.0;1.0
6174;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Total;2010;679904.0;528467.0;831341.0;22.0;0.0;9.0;224945.0;206310.0;243579.0;8.0;0.0;5.0
6175;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Total;2011;1004534.0;783317.0;1225751.0;22.0;0.0;5.0;238009.0;219519.0;256498.0;8.0;0.0;9.0
6176;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Total;2012;1274821.0;1019202.0;1530439.0;20.0;0.0;5.0;228315.0;212724.0;243906.0;7.0;0.0;9.0
6177;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Total;2013;913536.0;755648.0;1071424.0;17.0;0.0;1.0;209903.0;193884.0;225922.0;8.0;0.0;2.0
6178;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Total;2014;1467735.0;1149245.0;1786225.0;22.0;0.0;5.0;207683.0;188937.0;226428.0;9.0;0.0;9.0
6179;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Total;2015;1155747.0;1020562.0;1290933.0;12.0;0.0;1.0;167343.0;137460.0;197226.0;18.0;0.0;1.0
6180;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Total;2016;1254126.0;1087777.0;1420476.0;13.0;0.0;9.0;153761.0;127350.0;180172.0;17.0;0.0;9.0
6181;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Total;2017;1678101.0;1503809.0;1852393.0;10.0;0.0;5.0;188983.0;151624.0;226342.0;20.0;0.0;5.0
6182;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Total;2018;1566790.0;1332911.0;1800668.0;15.0;0.0;9.0;117023.0;87735.0;146311.0;25.0;0.0;1.0
6183;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Total;2019;729163.0;662143.0;796182.0;9.0;0.0;1.0;44798.0;19551.0;70045.0;56.0;0.0;1.0
6184;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Total;2020;624466.0;460596.0;788335.0;26.0;0.0;9.0;22309.0;5729.0;38889.0;74.0;0.0;1.0
6185;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Total;2021;1124646.0;899194.0;1350097.0;20.0;0.0;5.0;85049.0;72623.0;97476.0;15.0;0.0;5.0
6186;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Total;2022;1739995.0;1571416.0;1908574.0;10.0;0.0;5.0;156409.0;135130.0;177689.0;14.0;0.0;5.0
6187;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Total;2023;448185.0;412029.0;484341.0;8.0;0.0;1.0;36434.0;30912.0;41957.0;15.0;0.0;1.0
6188;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Containerized goods;2007;966663.0;825162.0;1108164.0;15.0;0.0;;192520.0;147398.0;237641.0;23.0;0.0;
6189;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Containerized goods;2008;1140940.0;830940.0;1450941.0;27.0;0.0;9.0;221821.0;195871.0;247770.0;12.0;0.0;9.0
6190;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Containerized goods;2009;744796.0;521051.0;968541.0;30.0;0.0;1.0;148535.0;112299.0;184771.0;24.0;0.0;1.0
6191;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Containerized goods;2010;659300.0;507936.0;810665.0;23.0;0.0;9.0;217563.0;198938.0;236189.0;9.0;0.0;5.0
6192;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Containerized goods;2011;953034.0;732217.0;1173851.0;23.0;0.0;5.0;225476.0;207018.0;243934.0;8.0;0.0;9.0
6193;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Containerized goods;2012;1160057.0;905781.0;1414333.0;22.0;0.0;9.0;207415.0;191908.0;222922.0;7.0;0.0;2.0
6194;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Containerized goods;2013;827411.0;671749.0;983073.0;19.0;0.0;1.0;184509.0;168695.0;200322.0;9.0;0.0;1.0
6195;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Containerized goods;2014;1335527.0;1018386.0;1652667.0;24.0;0.0;5.0;188597.0;169917.0;207278.0;10.0;0.0;9.0
6196;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Containerized goods;2015;1069686.0;935504.0;1203867.0;13.0;0.0;1.0;152185.0;122366.0;182005.0;20.0;0.0;1.0
6197;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Containerized goods;2016;1169267.0;1003638.0;1334897.0;14.0;0.0;9.0;140886.0;114558.0;167213.0;19.0;0.0;9.0
6198;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Containerized goods;2017;1540289.0;1367884.0;1712695.0;11.0;0.0;5.0;171476.0;134320.0;208631.0;22.0;0.0;9.0
6199;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Containerized goods;2018;1379263.0;1148702.0;1609825.0;17.0;0.0;9.0;92199.0;64256.0;120142.0;30.0;0.0;1.0
6200;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Containerized goods;2019;374949.0;317945.0;431953.0;15.0;0.0;1.0;7418.0;0.0;18649.0;;0.0;1.0
6201;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Containerized goods;2020;477717.0;315595.0;639840.0;34.0;0.0;9.0;7391.0;0.0;16587.0;;0.0;9.0
6202;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Containerized goods;2021;925131.0;700505.0;1149757.0;24.0;0.0;5.0;56595.0;44872.0;68317.0;21.0;0.0;5.0
6203;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Containerized goods;2022;1480621.0;1312620.0;1648623.0;11.0;0.0;5.0;116288.0;95529.0;137046.0;18.0;0.0;5.0
6204;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Containerized goods;2023;238289.0;206682.0;269895.0;13.0;0.0;1.0;14303.0;9775.0;18831.0;32.0;0.0;1.0
6205;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Non-containerized goods;2007;50453.0;41039.0;59868.0;19.0;0.0;;10503.0;8004.0;13001.0;24.0;0.0;
6206;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Non-containerized goods;2008;121901.0;92864.0;150937.0;24.0;0.0;5.0;25105.0;22916.0;27293.0;9.0;0.0;5.0
6207;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Non-containerized goods;2009;27180.0;19935.0;34424.0;27.0;0.0;1.0;2743.0;1895.0;3591.0;31.0;0.0;1.0
6208;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Non-containerized goods;2010;20604.0;15920.0;25288.0;23.0;0.0;1.0;7381.0;6807.0;7956.0;8.0;0.0;5.0
6209;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Non-containerized goods;2011;51500.0;38210.0;64789.0;26.0;0.0;5.0;12532.0;11450.0;13615.0;9.0;0.0;5.0
6210;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Non-containerized goods;2012;114764.0;88598.0;140929.0;23.0;0.0;5.0;20900.0;19284.0;22517.0;8.0;0.0;5.0
6211;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Non-containerized goods;2013;86125.0;59706.0;112544.0;31.0;0.0;1.0;25394.0;22839.0;27950.0;10.0;0.0;5.0
6212;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Non-containerized goods;2014;132208.0;102918.0;161499.0;22.0;0.0;5.0;19085.0;17527.0;20644.0;8.0;0.0;1.0
6213;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Non-containerized goods;2015;86062.0;69618.0;102506.0;19.0;0.0;1.0;15158.0;13216.0;17100.0;13.0;0.0;1.0
6214;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Non-containerized goods;2016;84859.0;69390.0;100327.0;18.0;0.0;9.0;12875.0;10780.0;14971.0;16.0;0.0;1.0
6215;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Non-containerized goods;2017;137812.0;112240.0;163384.0;19.0;0.0;5.0;17507.0;13612.0;21402.0;22.0;0.0;5.0
6216;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Non-containerized goods;2018;187527.0;148277.0;226776.0;21.0;0.0;5.0;24824.0;16050.0;33599.0;35.0;0.0;5.0
6217;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Non-containerized goods;2019;354214.0;318969.0;389458.0;10.0;0.0;5.0;37379.0;14768.0;59991.0;60.0;0.0;9.0
6218;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Non-containerized goods;2020;146748.0;122884.0;170612.0;16.0;0.0;1.0;14919.0;1123.0;28714.0;92.0;0.0;1.0
6219;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Non-containerized goods;2021;199515.0;180239.0;218790.0;10.0;0.0;5.0;28455.0;24331.0;32578.0;14.0;0.0;9.0
6220;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Non-containerized goods;2022;259374.0;245435.0;273313.0;5.0;0.0;5.0;40122.0;35442.0;44801.0;12.0;0.0;5.0
6221;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Inland shipping;Non-containerized goods;2023;209896.0;192339.0;227454.0;8.0;0.0;1.0;22131.0;18970.0;25292.0;14.0;0.0;1.0
6222;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Road transport;Total;2007;9476559.0;8953371.0;9999748.0;6.0;2.0;;930903.0;879528.0;982277.0;6.0;0.0;
6223;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Road transport;Total;2008;10321107.0;9637749.0;11004466.0;7.0;2.0;4.0;1015241.0;964940.0;1065542.0;5.0;0.0;4.0
6224;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Road transport;Total;2009;9550827.0;8854504.0;10247150.0;7.0;2.0;2.0;923461.0;872973.0;973948.0;5.0;0.0;2.0
6225;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Road transport;Total;2010;10200677.0;9632536.0;10768818.0;6.0;2.0;4.0;900523.0;854615.0;946430.0;5.0;0.0;9.0
6226;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Road transport;Total;2011;10600708.0;9942057.0;11259358.0;6.0;2.0;9.0;820495.0;762620.0;878370.0;7.0;0.0;2.0
6227;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Road transport;Total;2012;9803866.0;9235092.0;10372640.0;6.0;2.0;2.0;760950.0;707088.0;814812.0;7.0;0.0;2.0
6228;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Road transport;Total;2013;8630499.0;8071057.0;9189941.0;6.0;1.0;1.0;615536.0;561226.0;669845.0;9.0;0.0;1.0
6229;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Road transport;Total;2014;9251360.0;8701688.0;9801032.0;6.0;1.0;4.0;624697.0;573019.0;676376.0;8.0;0.0;9.0
6230;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Road transport;Total;2015;9413819.0;8964027.0;9863610.0;5.0;1.0;9.0;574786.0;535159.0;614413.0;7.0;0.0;2.0
6231;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Road transport;Total;2016;9923054.0;9463898.0;10382209.0;5.0;1.0;4.0;636106.0;594914.0;677299.0;6.0;0.0;5.0
6232;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Road transport;Total;2017;12831164.0;11389884.0;14272444.0;11.0;2.0;5.0;1183222.0;1132835.0;1233608.0;4.0;0.0;5.0
6233;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Road transport;Total;2018;10045564.0;9518358.0;10572771.0;5.0;1.0;1.0;520433.0;478304.0;562561.0;8.0;0.0;1.0
6234;"Inbound transport; total";Origin or destination;Total;17 Textiles leather and products thereof;Road transport;Total;2019;7686834.0;7246079.0;8127590.0;6.0;1.0;1.0;270603.0;202858.0;338349.0;25.0;0.0;1.0
