ID;Persoonskenmerken;Cijfersoort;Perioden;VertrouwenInAndereMensen_1;Kerken_2;Leger_3;Rechters_4;Pers_5;Politie_6;TweedeKamer_7;Ambtenaren_8;Banken_9;GroteBedrijven_10;EuropeseUnie_11
79;Geslacht: vrouwen;Ondergrens 95%-interval;2021;62.3;28.5;71.1;78.4;41.4;79.1;40.3;43.7;49.0;37.0;54.6
80;Geslacht: vrouwen;Bovengrens 95%-interval;2012;57.4;33.7;59.8;68.8;32.0;70.3;36.9;46.1;47.7;46.3;42.8
81;Geslacht: vrouwen;Bovengrens 95%-interval;2013;57.4;31.8;63.8;70.9;33.7;71.8;33.7;42.8;38.2;40.3;37.9
82;Geslacht: vrouwen;Bovengrens 95%-interval;2014;55.9;31.7;65.2;69.6;32.5;71.7;36.1;43.0;41.9;40.7;39.7
83;Geslacht: vrouwen;Bovengrens 95%-interval;2015;58.0;33.4;68.6;70.9;30.6;71.9;36.1;44.2;41.5;40.6;39.6
84;Geslacht: vrouwen;Bovengrens 95%-interval;2016;58.7;33.1;68.0;72.8;31.2;72.1;38.5;43.3;39.9;38.9;38.8
85;Geslacht: vrouwen;Bovengrens 95%-interval;2017;61.2;34.8;68.4;74.5;31.4;77.8;44.2;47.5;45.7;40.7;47.4
86;Geslacht: vrouwen;Bovengrens 95%-interval;2018;61.7;32.5;67.4;75.1;36.3;78.8;44.5;48.6;46.8;41.6;50.2
87;Geslacht: vrouwen;Bovengrens 95%-interval;2019;61.4;31.0;70.5;74.5;35.0;77.7;41.2;46.3;46.5;38.1;50.1
88;Geslacht: vrouwen;Bovengrens 95%-interval;2020;62.0;33.6;74.0;78.2;37.5;80.1;54.5;50.9;50.9;41.6;52.3
89;Geslacht: vrouwen;Bovengrens 95%-interval;2021;65.9;32.1;74.3;81.2;45.0;81.9;43.9;47.3;52.6;40.6;58.2
90;Leeftijd: 15 tot 25 jaar;Waarde;2012;59.0;37.9;74.8;78.6;31.3;68.8;46.9;55.3;57.5;64.3;57.3
91;Leeftijd: 15 tot 25 jaar;Waarde;2013;60.5;33.3;77.1;80.1;30.6;69.2;41.3;53.4;49.3;61.1;55.0
