ID;Sectoren;Milieudomeinen;Perioden;TotaleAanbodMilieudiensten_1;Productie_2;IntermediaireConsumptie_3;Import_4;Export_5;BelastingSubsidies_6;TotaleVerbruikMilieudiensten_7;FinaleBestedingen_8;Investeringen_9;BetaaldeOverdrachten_10;OntvangenOverdrachten_11;BetalingenBuitenland_12;OntvangstenBuitenland_13;UitgavenMilieubescherming_14
151;"Overheid; totaal";Natuur en landschap;2020;960;960.0;;;;;960.0;721.0;142.0;207.0;;;33.0;897.0
152;"Overheid; totaal";Natuur en landschap;2021;1031;1031.0;;;;;1031.0;781.0;113.0;192.0;;;32.0;926.0
153;"Overheid; totaal";Straling;2013    ;0;0.0;;;;;0.0;0.0;0.0;;;;;0.0
154;"Overheid; totaal";Straling;2014    ;0;0.0;;;;;0.0;0.0;0.0;;;;;0.0
155;"Overheid; totaal";Straling;2015    ;0;0.0;;;;;0.0;;0.0;;;;;0.0
156;"Overheid; totaal";Straling;2016    ;0;0.0;;;;;0.0;;0.0;;;;;0.0
157;"Overheid; totaal";Straling;2017    ;0;0.0;;;;;0.0;;0.0;;;;;0.0
158;"Overheid; totaal";Straling;2018    ;0;0.0;;;;;0.0;;0.0;;;;;0.0
159;"Overheid; totaal";Straling;2019;0;0.0;;;;;0.0;;0.0;;;;;0.0
160;"Overheid; totaal";Straling;2020;0;0.0;;;;;0.0;;0.0;;;;;0.0
161;"Overheid; totaal";Straling;2021;0;0.0;;;;;0.0;;0.0;;;;;0.0
162;"Overheid; totaal";Milieu onderzoek;2013    ;54;54.0;;;;;54.0;53.0;2.0;;;;;55.0
163;"Overheid; totaal";Milieu onderzoek;2014    ;46;46.0;;;;;46.0;46.0;1.0;;;;;47.0
164;"Overheid; totaal";Milieu onderzoek;2015    ;27;27.0;;;;;27.0;27.0;2.0;;;;;29.0
165;"Overheid; totaal";Milieu onderzoek;2016    ;51;51.0;;;;;51.0;50.0;1.0;;;;;51.0
166;"Overheid; totaal";Milieu onderzoek;2017    ;60;60.0;;;;;60.0;60.0;1.0;;;;;61.0
167;"Overheid; totaal";Milieu onderzoek;2018    ;82;82.0;;;;;82.0;82.0;3.0;;;;;86.0
168;"Overheid; totaal";Milieu onderzoek;2019;89;89.0;;;;;89.0;89.0;2.0;;;;;90.0
169;"Overheid; totaal";Milieu onderzoek;2020;101;101.0;;;;;101.0;101.0;1.0;;;;;103.0
170;"Overheid; totaal";Milieu onderzoek;2021;137;137.0;;;;;137.0;137.0;1.0;;;;;138.0
171;"Overheid; totaal";Overige milieubescherming;2013    ;1047;1047.0;;;;;1046.0;882.0;116.0;69.0;;;15.0;1013.0
172;"Overheid; totaal";Overige milieubescherming;2014    ;1040;1040.0;;;;;1040.0;881.0;138.0;101.0;;;12.0;1031.0
173;"Overheid; totaal";Overige milieubescherming;2015    ;924;924.0;;;;;924.0;775.0;74.0;119.0;;;11.0;860.0
174;"Overheid; totaal";Overige milieubescherming;2016    ;1031;1031.0;;;;;1031.0;854.0;64.0;47.0;;;13.0;931.0
175;"Overheid; totaal";Overige milieubescherming;2017    ;1151;1151.0;;;;;1151.0;950.0;75.0;55.0;;;13.0;1038.0
176;"Overheid; totaal";Overige milieubescherming;2018    ;1229;1229.0;;;;;1229.0;1034.0;72.0;80.0;;;16.0;1122.0
177;"Overheid; totaal";Overige milieubescherming;2019;1324;1324.0;;;;;1324.0;1126.0;70.0;73.0;;;15.0;1211.0
178;"Overheid; totaal";Overige milieubescherming;2020;1456;1456.0;;;;;1456.0;1246.0;83.0;79.0;;;16.0;1345.0
179;"Overheid; totaal";Overige milieubescherming;2021;1596;1596.0;;;;;1596.0;1407.0;78.0;115.0;;;14.0;1499.0
