ID;Mestsoorten;HoeveelheidMestEnMineralenInDeMest;Perioden;TotaalGetransporteerdMestaanbod_1;MestafvoerDoorLandbouwbedrijven_2;MestafvoerDoorMestverwerkers_3;MestaanvoerUitHetBuitenland_4;TotaalGetransporteerdeMestafzet_5;MestaanvoerDoorLandbouwbedrijven_6;MestaanvoerDoorMestverwerkers_7;MestafvoerNaarHetBuitenland_8;TotaalMesttransportsaldo_9;SaldoMesttransportMestverwerkers_10;SaldoMesttransportBuitenland_11;Balansverschil_12
87;Dunne mest rundvee;Hoeveelheid getransporteerde mest;2001;1957.7;1936.8;0.0;20.8;1998.1;1929.4;28.8;39.9;7.5;28.8;19.1;-40.4
88;Dunne mest rundvee;Hoeveelheid getransporteerde mest;2002;1968.0;1918.0;0.0;50.0;1958.5;1934.5;17.3;6.8;-16.5;17.3;-43.3;9.5
89;Dunne mest rundvee;Hoeveelheid getransporteerde mest;2003;1994.2;1958.6;0.0;35.6;1715.8;1663.8;10.3;41.7;294.8;10.3;6.1;278.3
90;Dunne mest rundvee;Hoeveelheid getransporteerde mest;2004;1607.2;1570.3;0.0;36.9;1305.6;1256.9;11.4;37.3;313.4;11.4;0.4;301.7
91;Dunne mest rundvee;Hoeveelheid getransporteerde mest;2005;1564.0;1531.9;0.0;32.1;1350.7;1332.9;14.2;3.7;199.0;14.2;-28.5;213.3
92;Dunne mest rundvee;Hoeveelheid getransporteerde mest;2006;3849.2;3818.2;0.0;31.0;3591.5;3539.0;12.2;40.3;279.2;12.2;9.3;257.7
93;Dunne mest rundvee;Hoeveelheid getransporteerde mest;2007;4144.0;4113.3;0.0;30.8;3796.8;3740.6;13.1;43.1;372.6;13.1;12.3;347.2
94;Dunne mest rundvee;Hoeveelheid getransporteerde mest;2008;4733.4;4697.2;0.0;36.2;4466.6;4376.8;33.8;56.0;320.3;33.8;19.7;266.8
95;Dunne mest rundvee;Hoeveelheid getransporteerde mest;2009;5310.9;5272.2;0.0;38.7;4904.8;4786.3;44.0;74.5;485.8;44.0;35.8;406.1
96;Dunne mest rundvee;Hoeveelheid getransporteerde mest;2010;5661.6;5619.2;0.0;42.4;5143.7;5056.0;7.3;80.4;563.2;7.3;38.0;517.9
97;Dunne mest rundvee;Hoeveelheid getransporteerde mest;2011;5712.2;5672.7;0.0;39.5;5297.1;5164.3;11.4;121.5;508.5;11.4;81.9;415.2
98;Dunne mest rundvee;Hoeveelheid getransporteerde mest;2012;6136.3;6066.0;0.0;70.2;5456.4;5311.9;11.6;132.9;754.1;11.6;62.7;679.9
99;Dunne mest rundvee;Hoeveelheid getransporteerde mest;2013;6524.3;6432.3;0.0;92.0;5774.5;5608.6;14.7;151.2;823.7;14.7;59.2;749.8
100;Dunne mest rundvee;Stikstof in getransporteerde mest;1994;;;0.0;;;;;;;;;
101;Dunne mest rundvee;Stikstof in getransporteerde mest;1995;;;0.0;;;;;;;;;
102;Dunne mest rundvee;Stikstof in getransporteerde mest;1996;;;0.0;;;;;;;;;
103;Dunne mest rundvee;Stikstof in getransporteerde mest;1997;;;;;;;;;;;;
104;Dunne mest rundvee;Stikstof in getransporteerde mest;1998;;;0.0;;;;;;;;;
105;Dunne mest rundvee;Stikstof in getransporteerde mest;1999;10.1;10.0;0.0;0.1;10.6;10.0;0.5;0.2;0.0;0.5;0.1;-0.6
106;Dunne mest rundvee;Stikstof in getransporteerde mest;2000;6.8;6.7;0.0;0.1;6.8;6.7;0.0;0.1;0.0;0.0;-0.1;0.0
107;Dunne mest rundvee;Stikstof in getransporteerde mest;2001;7.5;7.4;0.0;0.1;7.6;7.3;0.1;0.2;0.1;0.1;0.1;-0.1
108;Dunne mest rundvee;Stikstof in getransporteerde mest;2002;7.3;7.1;0.0;0.2;7.3;7.2;0.1;0.0;-0.1;0.1;-0.1;0.0
109;Dunne mest rundvee;Stikstof in getransporteerde mest;2003;7.3;7.2;0.0;0.1;6.5;6.3;0.0;0.1;0.9;0.0;0.0;0.9
110;Dunne mest rundvee;Stikstof in getransporteerde mest;2004;6.3;6.2;0.0;0.1;5.2;5.0;0.0;0.1;1.2;0.0;0.0;1.1
111;Dunne mest rundvee;Stikstof in getransporteerde mest;2005;6.3;6.2;0.0;0.1;5.6;5.5;0.0;0.0;0.7;0.0;-0.1;0.7
112;Dunne mest rundvee;Stikstof in getransporteerde mest;2006;15.6;15.5;0.0;0.1;14.3;14.2;0.0;0.1;1.3;0.0;0.0;1.2
113;Dunne mest rundvee;Stikstof in getransporteerde mest;2007;17.5;17.4;0.0;0.1;16.0;15.8;0.0;0.2;1.6;0.0;0.1;1.5
114;Dunne mest rundvee;Stikstof in getransporteerde mest;2008;19.7;19.6;0.0;0.1;18.6;18.1;0.1;0.3;1.5;0.1;0.2;1.2
115;Dunne mest rundvee;Stikstof in getransporteerde mest;2009;26.7;26.5;0.0;0.2;24.2;23.4;0.1;0.7;3.1;0.1;0.5;2.5
116;Dunne mest rundvee;Stikstof in getransporteerde mest;2010;25.4;25.3;0.0;0.2;22.9;22.2;0.1;0.7;3.1;0.1;0.5;2.5
117;Dunne mest rundvee;Stikstof in getransporteerde mest;2011;28.1;27.9;0.0;0.2;25.5;24.2;0.1;1.2;3.7;0.1;1.0;2.6
118;Dunne mest rundvee;Stikstof in getransporteerde mest;2012;30.0;29.6;0.0;0.4;26.2;24.6;0.1;1.5;5.0;0.1;1.1;3.7
119;Dunne mest rundvee;Stikstof in getransporteerde mest;2013;32.0;31.5;0.0;0.5;27.7;25.9;0.2;1.7;5.7;0.2;1.2;4.3
120;Dunne mest rundvee;Fosfaat in getransporteerde mest;1994;;;0.0;;;;;;;;;
121;Dunne mest rundvee;Fosfaat in getransporteerde mest;1995;;;0.0;;;;;;;;;
122;Dunne mest rundvee;Fosfaat in getransporteerde mest;1996;;;0.0;;;;;;;;;
123;Dunne mest rundvee;Fosfaat in getransporteerde mest;1997;;;;;;;;;;;;
124;Dunne mest rundvee;Fosfaat in getransporteerde mest;1998;;;0.0;;;;;;;;;
125;Dunne mest rundvee;Fosfaat in getransporteerde mest;1999;4.4;4.3;0.0;0.0;4.7;4.4;0.3;0.1;0.0;0.3;0.0;-0.3
126;Dunne mest rundvee;Fosfaat in getransporteerde mest;2000;3.0;2.9;0.0;0.1;3.1;3.0;0.1;0.0;0.0;0.1;0.0;-0.1
127;Dunne mest rundvee;Fosfaat in getransporteerde mest;2001;3.2;3.2;0.0;0.0;3.3;3.2;0.1;0.1;0.0;0.1;0.1;-0.1
128;Dunne mest rundvee;Fosfaat in getransporteerde mest;2002;3.2;3.2;0.0;0.1;3.3;3.2;0.1;0.0;-0.1;0.1;0.0;-0.1
129;Dunne mest rundvee;Fosfaat in getransporteerde mest;2003;3.2;3.2;0.0;0.0;2.8;2.7;0.0;0.1;0.5;0.0;0.0;0.4
130;Dunne mest rundvee;Fosfaat in getransporteerde mest;2004;2.8;2.7;0.0;0.1;2.3;2.2;0.0;0.1;0.6;0.0;0.0;0.5
131;Dunne mest rundvee;Fosfaat in getransporteerde mest;2005;2.9;2.8;0.0;0.1;2.5;2.5;0.0;0.0;0.3;0.0;0.0;0.3
132;Dunne mest rundvee;Fosfaat in getransporteerde mest;2006;6.8;6.8;0.0;0.1;6.2;6.1;0.0;0.0;0.7;0.0;0.0;0.7
133;Dunne mest rundvee;Fosfaat in getransporteerde mest;2007;7.7;7.7;0.0;0.1;6.9;6.8;0.0;0.1;0.8;0.0;0.0;0.8
134;Dunne mest rundvee;Fosfaat in getransporteerde mest;2008;8.5;8.4;0.0;0.1;8.0;7.7;0.3;0.0;0.7;0.3;-0.1;0.5
135;Dunne mest rundvee;Fosfaat in getransporteerde mest;2009;9.6;9.5;0.0;0.1;9.1;8.5;0.3;0.4;1.0;0.3;0.3;0.5
136;Dunne mest rundvee;Fosfaat in getransporteerde mest;2010;9.4;9.3;0.0;0.1;8.7;8.3;0.1;0.3;1.0;0.1;0.2;0.7
137;Dunne mest rundvee;Fosfaat in getransporteerde mest;2011;10.2;10.1;0.0;0.1;9.5;8.8;0.1;0.6;1.3;0.1;0.5;0.7
138;Dunne mest rundvee;Fosfaat in getransporteerde mest;2012;10.9;10.8;0.0;0.1;9.6;8.7;0.2;0.8;2.1;0.2;0.6;1.3
139;Dunne mest rundvee;Fosfaat in getransporteerde mest;2013;11.8;11.7;0.0;0.2;10.3;9.3;0.2;0.9;2.4;0.2;0.7;1.5
140;Dunne mest rundvee;Kali in getransporteerde mest;1994;;;0.0;;;;;;;;;
141;Dunne mest rundvee;Kali in getransporteerde mest;1995;;;0.0;;;;;;;;;
142;Dunne mest rundvee;Kali in getransporteerde mest;1996;;;0.0;;;;;;;;;
143;Dunne mest rundvee;Kali in getransporteerde mest;1997;;;;;;;;;;;;
144;Dunne mest rundvee;Kali in getransporteerde mest;1998;;;0.0;;;;;;;;;
145;Dunne mest rundvee;Kali in getransporteerde mest;1999;18.6;18.4;0.0;0.2;19.2;18.5;0.4;0.2;-0.1;0.4;0.1;-0.6
146;Dunne mest rundvee;Kali in getransporteerde mest;2000;11.5;11.2;0.0;0.3;11.5;11.4;0.1;0.0;-0.2;0.1;-0.2;-0.1
147;Dunne mest rundvee;Kali in getransporteerde mest;2001;13.7;13.6;0.0;0.1;14.0;13.5;0.2;0.3;0.1;0.2;0.1;-0.3
