ID;Vakantiekenmerken;Marges;RegioS;Perioden;TotaalNederlanders_1;PercentageNederlanders_2;TotaalVakanties_3;GemiddeldPerDeelnemer_4;TotaalVakantiedagen_5;GemiddeldPerDeelnemer_6;GemiddeldPerVakantie_7;TotaalOvernachtingen_8;GemiddeldPerDeelnemer_9;GemiddeldPerVakantie_10;TotaalVakantieUitgaven_11;GemiddeldPerDeelnemer_12;GemiddeldPerPersoonPerVakantie_13;GemiddeldPerPersoonPerVakantiedag_14
325;Totaal vakanties;Ondergrens 95%-interval;Zuidwest-Friesland (CR);2022;223.0;1.5;262.0;1.1;1469.0;5.9;;1193.0;4.8;;55.0;217.0;;
326;Totaal vakanties;Ondergrens 95%-interval;Zuidwest-Friesland (CR);2023;216.0;1.5;250.0;1.1;1455.0;6.1;;1188.0;5.0;;48.0;216.0;;
327;Totaal vakanties;Ondergrens 95%-interval;Zuidoost-Friesland (CR);2021;123.0;0.9;149.0;1.1;893.0;6.3;;732.0;5.1;;39.0;282.0;;
328;Totaal vakanties;Ondergrens 95%-interval;Zuidoost-Friesland (CR);2022;110.0;0.8;123.0;1.1;648.0;5.3;;520.0;4.2;;27.0;214.0;;
329;Totaal vakanties;Ondergrens 95%-interval;Zuidoost-Friesland (CR);2023;111.0;0.8;118.0;1.0;553.0;4.3;;426.0;3.3;;24.0;168.0;;
330;Totaal vakanties;Ondergrens 95%-interval;Noord-Drenthe (CR);2021;425.0;3.0;487.0;1.1;3025.0;6.5;;2516.0;5.4;;129.0;276.0;;
331;Totaal vakanties;Ondergrens 95%-interval;Noord-Drenthe (CR);2022;351.0;2.4;390.0;1.1;2196.0;5.9;;1795.0;4.8;;97.0;253.0;;
332;Totaal vakanties;Ondergrens 95%-interval;Noord-Drenthe (CR);2023;315.0;2.2;344.0;1.0;2017.0;5.7;;1647.0;4.6;;84.0;239.0;;
333;Totaal vakanties;Ondergrens 95%-interval;Zuidoost-Drenthe (CR);2021;336.0;2.3;372.0;1.1;2082.0;5.8;;1701.0;4.7;;102.0;282.0;;
334;Totaal vakanties;Ondergrens 95%-interval;Zuidoost-Drenthe (CR);2022;311.0;2.1;333.0;1.0;1899.0;5.7;;1555.0;4.6;;83.0;243.0;;
335;Totaal vakanties;Ondergrens 95%-interval;Zuidoost-Drenthe (CR);2023;225.0;1.5;240.0;1.0;1439.0;5.5;;1181.0;4.5;;66.0;248.0;;
336;Totaal vakanties;Ondergrens 95%-interval;Zuidwest-Drenthe (CR);2021;233.0;1.6;275.0;1.1;1802.0;7.0;;1518.0;5.8;;73.0;285.0;;
337;Totaal vakanties;Ondergrens 95%-interval;Zuidwest-Drenthe (CR);2022;222.0;1.5;255.0;1.1;1379.0;5.4;;1112.0;4.3;;57.0;224.0;;
338;Totaal vakanties;Ondergrens 95%-interval;Zuidwest-Drenthe (CR);2023;167.0;1.2;174.0;1.0;1044.0;5.5;;853.0;4.5;;49.0;258.0;;
339;Totaal vakanties;Ondergrens 95%-interval;Noord-Overijssel (CR);2021;520.0;3.6;633.0;1.1;3669.0;6.5;;2999.0;5.3;;141.0;251.0;;
340;Totaal vakanties;Ondergrens 95%-interval;Noord-Overijssel (CR);2022;390.0;2.7;449.0;1.1;2585.0;6.1;;2118.0;5.0;;103.0;241.0;;
341;Totaal vakanties;Ondergrens 95%-interval;Noord-Overijssel (CR);2023;404.0;2.8;445.0;1.0;2738.0;6.3;;2249.0;5.1;;118.0;267.0;;
342;Totaal vakanties;Ondergrens 95%-interval;Zuidwest-Overijssel (CR);2021;111.0;0.8;120.0;1.0;544.0;4.3;;417.0;3.2;;25.0;198.0;;
343;Totaal vakanties;Ondergrens 95%-interval;Zuidwest-Overijssel (CR);2022;116.0;0.8;125.0;1.0;582.0;4.3;;449.0;3.3;;26.0;201.0;;
344;Totaal vakanties;Ondergrens 95%-interval;Zuidwest-Overijssel (CR);2023;93.0;0.7;97.0;1.0;512.0;4.3;;397.0;3.3;;24.0;223.0;;
345;Totaal vakanties;Ondergrens 95%-interval;Twente (CR);2021;536.0;3.7;656.0;1.1;4018.0;7.0;;3327.0;5.8;;169.0;291.0;;
346;Totaal vakanties;Ondergrens 95%-interval;Twente (CR);2022;587.0;4.0;655.0;1.1;3522.0;5.6;;2837.0;4.5;;165.0;263.0;;
347;Totaal vakanties;Ondergrens 95%-interval;Twente (CR);2023;509.0;3.5;567.0;1.1;3059.0;5.4;;2460.0;4.3;;159.0;279.0;;
348;Totaal vakanties;Ondergrens 95%-interval;Veluwe (CR);2021;1194.0;8.2;1593.0;1.3;8781.0;7.0;;7138.0;5.6;;389.0;308.0;;
349;Totaal vakanties;Ondergrens 95%-interval;Veluwe (CR);2022;954.0;6.5;1229.0;1.2;7131.0;7.1;;5853.0;5.8;;280.0;277.0;;
350;Totaal vakanties;Ondergrens 95%-interval;Veluwe (CR);2023;1044.0;7.1;1299.0;1.2;7732.0;6.9;;6381.0;5.7;;335.0;299.0;;
351;Totaal vakanties;Ondergrens 95%-interval;Achterhoek (CR);2021;563.0;3.9;659.0;1.1;4098.0;6.8;;3395.0;5.6;;159.0;263.0;;
352;Totaal vakanties;Ondergrens 95%-interval;Achterhoek (CR);2022;482.0;3.3;547.0;1.1;3292.0;6.4;;2726.0;5.3;;136.0;264.0;;
353;Totaal vakanties;Ondergrens 95%-interval;Achterhoek (CR);2023;509.0;3.5;562.0;1.1;3025.0;5.3;;2437.0;4.2;;138.0;240.0;;
