ID;Geslacht;Leeftijd;Perioden;TotaalSlachtoffersMoordEnDoodslag_1;SlachtoffersMoordEnDoodslagRelatief_2;OphangenVerwurgenOfVerstikken_3;SlaanOfSchoppen_4;Vuurwapen_5;SteekOfSlagwapen_6;OverigeOfOnbekendeWijze_7;WoningVanHetSlachtofferOfAnderen_8;LocatieVoorHandelEnDienstverlening_9;OpenbareWeg_10;OverigeOfOnbekendeLocatie_11
287;Mannen;50 tot 60 jaar;2007;20;17.7;1.0;3.0;4.0;10.0;2.0;9.0;3.0;5.0;3.0
288;Mannen;50 tot 60 jaar;2008;14;12.4;2.0;1.0;3.0;6.0;2.0;8.0;0.0;3.0;3.0
289;Mannen;50 tot 60 jaar;2009;24;21.2;3.0;3.0;7.0;9.0;2.0;13.0;3.0;7.0;1.0
290;Mannen;50 tot 60 jaar;2010;13;11.4;1.0;2.0;2.0;6.0;2.0;5.0;1.0;4.0;3.0
291;Mannen;50 tot 60 jaar;2011;19;16.4;0.0;2.0;4.0;12.0;1.0;13.0;2.0;2.0;2.0
292;Mannen;50 tot 60 jaar;2012;12;10.2;1.0;1.0;6.0;3.0;1.0;7.0;1.0;1.0;3.0
293;Mannen;50 tot 60 jaar;2013;9;7.6;0.0;1.0;1.0;6.0;1.0;6.0;1.0;0.0;2.0
294;Mannen;50 tot 60 jaar;2014;14;11.6;;;;;;;;;
295;Mannen;50 tot 60 jaar;2015;12;9.8;;;;;;;;;
296;Mannen;50 tot 60 jaar;2016;8;7.3;;;;;;;;;
297;Mannen;50 tot 60 jaar;2017;18;14.5;;;;;;;;;
298;Mannen;50 tot 60 jaar;2018;13;10.4;;;;;;;;;
299;Mannen;60 jaar of ouder;1996;19;16.2;3.0;5.0;2.0;6.0;3.0;12.0;0.0;3.0;4.0
300;Mannen;60 jaar of ouder;1997;12;10.1;3.0;1.0;0.0;4.0;4.0;2.0;0.0;3.0;7.0
301;Mannen;60 jaar of ouder;1998;16;13.3;2.0;2.0;1.0;5.0;6.0;4.0;0.0;0.0;12.0
302;Mannen;60 jaar of ouder;1999;12;9.8;0.0;4.0;1.0;6.0;1.0;6.0;0.0;2.0;4.0
303;Mannen;60 jaar of ouder;2000;7;5.6;1.0;1.0;2.0;2.0;1.0;4.0;1.0;0.0;2.0
304;Mannen;60 jaar of ouder;2001;17;13.4;1.0;1.0;3.0;10.0;2.0;13.0;0.0;3.0;1.0
305;Mannen;60 jaar of ouder;2002;11;8.5;0.0;7.0;1.0;2.0;1.0;5.0;1.0;3.0;2.0
306;Mannen;60 jaar of ouder;2003;21;29.6;2.0;5.0;1.0;9.0;4.0;9.0;3.0;5.0;4.0
307;Mannen;60 jaar of ouder;2004;22;16.2;2.0;5.0;2.0;12.0;1.0;17.0;0.0;3.0;2.0
308;Mannen;60 jaar of ouder;2005;17;12.2;3.0;1.0;1.0;8.0;4.0;13.0;1.0;1.0;2.0
309;Mannen;60 jaar of ouder;2006;12;8.3;1.0;1.0;0.0;7.0;3.0;10.0;0.0;0.0;2.0
310;Mannen;60 jaar of ouder;2007;9;6.0;0.0;2.0;2.0;4.0;1.0;3.0;2.0;3.0;1.0
311;Mannen;60 jaar of ouder;2008;12;7.7;1.0;3.0;0.0;6.0;2.0;7.0;1.0;1.0;3.0
312;Mannen;60 jaar of ouder;2009;11;7.7;0.0;1.0;2.0;4.0;4.0;7.0;0.0;2.0;2.0
313;Mannen;60 jaar of ouder;2010;13;7.8;0.0;0.0;4.0;8.0;1.0;11.0;1.0;1.0;0.0
314;Mannen;60 jaar of ouder;2011;11;6.4;2.0;5.0;2.0;1.0;1.0;7.0;1.0;2.0;1.0
315;Mannen;60 jaar of ouder;2012;13;7.4;1.0;4.0;1.0;5.0;2.0;8.0;0.0;1.0;4.0
316;Mannen;60 jaar of ouder;2013;10;5.5;2.0;0.0;0.0;6.0;2.0;8.0;0.0;0.0;2.0
317;Mannen;60 jaar of ouder;2014;13;7.0;;;;;;;;;
318;Mannen;60 jaar of ouder;2015;5;2.6;;;;;;;;;
319;Mannen;60 jaar of ouder;2016;11;6.1;;;;;;;;;
320;Mannen;60 jaar of ouder;2017;13;6.5;;;;;;;;;
321;Mannen;60 jaar of ouder;2018;12;5.8;;;;;;;;;
322;Vrouwen;Totaal alle leeftijden;1996;69;8.8;16.0;1.0;13.0;26.0;13.0;39.0;0.0;2.0;28.0
323;Vrouwen;Totaal alle leeftijden;1997;67;8.5;20.0;1.0;11.0;21.0;14.0;33.0;1.0;5.0;28.0
324;Vrouwen;Totaal alle leeftijden;1998;50;6.3;14.0;1.0;11.0;17.0;7.0;22.0;1.0;3.0;24.0
325;Vrouwen;Totaal alle leeftijden;1999;62;7.8;14.0;7.0;10.0;23.0;8.0;30.0;0.0;8.0;24.0
326;Vrouwen;Totaal alle leeftijden;2000;70;8.7;20.0;1.0;7.0;25.0;17.0;47.0;1.0;4.0;18.0
327;Vrouwen;Totaal alle leeftijden;2001;86;10.6;9.0;2.0;13.0;38.0;24.0;65.0;1.0;7.0;13.0
328;Vrouwen;Totaal alle leeftijden;2002;65;8.0;13.0;4.0;11.0;21.0;16.0;44.0;1.0;9.0;11.0
329;Vrouwen;Totaal alle leeftijden;2003;88;10.7;11.0;5.0;18.0;35.0;19.0;54.0;1.0;11.0;22.0
330;Vrouwen;Totaal alle leeftijden;2004;59;7.2;15.0;3.0;12.0;17.0;12.0;39.0;1.0;10.0;9.0
331;Vrouwen;Totaal alle leeftijden;2005;67;8.1;16.0;0.0;10.0;26.0;15.0;52.0;2.0;5.0;8.0
332;Vrouwen;Totaal alle leeftijden;2006;56;6.8;6.0;4.0;7.0;23.0;16.0;34.0;4.0;6.0;12.0
333;Vrouwen;Totaal alle leeftijden;2007;51;6.2;11.0;5.0;8.0;20.0;7.0;39.0;4.0;3.0;5.0
334;Vrouwen;Totaal alle leeftijden;2008;50;6.0;7.0;7.0;8.0;21.0;7.0;44.0;0.0;4.0;2.0
335;Vrouwen;Totaal alle leeftijden;2009;49;5.9;8.0;6.0;6.0;21.0;8.0;36.0;2.0;5.0;6.0
336;Vrouwen;Totaal alle leeftijden;2010;57;6.8;8.0;10.0;7.0;28.0;4.0;51.0;2.0;2.0;2.0
337;Vrouwen;Totaal alle leeftijden;2011;54;6.4;9.0;5.0;15.0;21.0;4.0;42.0;8.0;1.0;3.0
338;Vrouwen;Totaal alle leeftijden;2012;53;6.3;11.0;6.0;6.0;27.0;3.0;44.0;1.0;3.0;5.0
339;Vrouwen;Totaal alle leeftijden;2013;58;6.8;14.0;3.0;5.0;25.0;11.0;49.0;2.0;5.0;2.0
340;Vrouwen;Totaal alle leeftijden;2014;31;3.6;6.0;4.0;1.0;18.0;2.0;25.0;0.0;5.0;1.0
341;Vrouwen;Totaal alle leeftijden;2015;43;5.0;11.0;4.0;5.0;22.0;1.0;36.0;0.0;3.0;4.0
342;Vrouwen;Totaal alle leeftijden;2016;34;4.0;7.0;6.0;3.0;16.0;2.0;26.0;0.0;4.0;4.0
343;Vrouwen;Totaal alle leeftijden;2017;46;5.3;7.0;10.0;4.0;21.0;4.0;33.0;1.0;3.0;9.0
344;Vrouwen;Totaal alle leeftijden;2018;43;5.0;13.0;3.0;7.0;20.0;0.0;41.0;0.0;1.0;1.0
345;Vrouwen;Jonger dan 20 jaar;1996;13;7.0;2.0;0.0;1.0;4.0;6.0;8.0;0.0;1.0;4.0
346;Vrouwen;Jonger dan 20 jaar;1997;13;7.0;7.0;0.0;0.0;1.0;5.0;7.0;0.0;0.0;6.0
347;Vrouwen;Jonger dan 20 jaar;1998;8;4.3;1.0;0.0;1.0;3.0;3.0;2.0;0.0;1.0;5.0
348;Vrouwen;Jonger dan 20 jaar;1999;11;5.8;6.0;0.0;1.0;2.0;2.0;4.0;0.0;0.0;7.0
349;Vrouwen;Jonger dan 20 jaar;2000;12;6.3;3.0;0.0;0.0;5.0;4.0;5.0;0.0;2.0;5.0
350;Vrouwen;Jonger dan 20 jaar;2001;13;6.8;2.0;0.0;2.0;5.0;4.0;9.0;0.0;1.0;3.0
351;Vrouwen;Jonger dan 20 jaar;2002;12;6.2;2.0;0.0;0.0;2.0;8.0;10.0;0.0;0.0;2.0
352;Vrouwen;Jonger dan 20 jaar;2003;8;4.1;1.0;2.0;0.0;4.0;1.0;7.0;0.0;0.0;1.0
353;Vrouwen;Jonger dan 20 jaar;2004;5;2.6;1.0;0.0;1.0;1.0;2.0;3.0;0.0;0.0;2.0
354;Vrouwen;Jonger dan 20 jaar;2005;13;6.7;6.0;0.0;0.0;4.0;3.0;12.0;0.0;0.0;1.0
355;Vrouwen;Jonger dan 20 jaar;2006;12;6.2;3.0;0.0;0.0;2.0;7.0;8.0;0.0;1.0;3.0
356;Vrouwen;Jonger dan 20 jaar;2007;11;5.7;3.0;3.0;0.0;1.0;4.0;6.0;2.0;1.0;2.0
357;Vrouwen;Jonger dan 20 jaar;2008;9;4.7;3.0;4.0;0.0;0.0;2.0;9.0;0.0;0.0;0.0
358;Vrouwen;Jonger dan 20 jaar;2009;9;4.7;1.0;1.0;1.0;4.0;2.0;8.0;1.0;0.0;0.0
