ID;BedrijfstakkenBranchesSBI2008;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2
234;4621 Groothandel in akkerbouwproducten;2012;139.2;19.1
235;4621 Groothandel in akkerbouwproducten;2013 1e kwartaal;144.5;15.2
236;4621 Groothandel in akkerbouwproducten;2013 2e kwartaal;145.0;1.7
237;4621 Groothandel in akkerbouwproducten;2013 3e kwartaal;129.5;-11.1
238;4621 Groothandel in akkerbouwproducten;2013 4e kwartaal;129.2;-9.7
239;4621 Groothandel in akkerbouwproducten;2013;137.0;-1.5
240;4621 Groothandel in akkerbouwproducten;2014 1e kwartaal;122.8;-15.1
241;4621 Groothandel in akkerbouwproducten;2014 2e kwartaal;131.2;-9.5
242;4621 Groothandel in akkerbouwproducten;2014 3e kwartaal;121.3;-6.3
243;4621 Groothandel in akkerbouwproducten;2014 4e kwartaal;130.3;0.9
244;4621 Groothandel in akkerbouwproducten;2014;126.4;-7.8
245;4621 Groothandel in akkerbouwproducten;2015 1e kwartaal;132.1;7.6
246;4621 Groothandel in akkerbouwproducten;2015 2e kwartaal;130.1;-0.8
247;4621 Groothandel in akkerbouwproducten;2015 3e kwartaal;127.4;5.0
248;4621 Groothandel in akkerbouwproducten;2015 4e kwartaal;141.2;8.3
249;4621 Groothandel in akkerbouwproducten;2015;132.7;5.0
250;4621 Groothandel in akkerbouwproducten;2016 1e kwartaal;128.1;-3.0
251;4621 Groothandel in akkerbouwproducten;2016 2e kwartaal;132.6;1.9
252;4621 Groothandel in akkerbouwproducten;2016 3e kwartaal;130.1;2.1
253;4621 Groothandel in akkerbouwproducten;2016 4e kwartaal;151.7;7.5
254;4621 Groothandel in akkerbouwproducten;2016;135.6;2.2
255;4621 Groothandel in akkerbouwproducten;2017 1e kwartaal;136.9;6.8
256;4621 Groothandel in akkerbouwproducten;2017 2e kwartaal;130.7;-1.4
257;4621 Groothandel in akkerbouwproducten;2017 3e kwartaal;118.7;-8.8
258;4621 Groothandel in akkerbouwproducten;2017 4e kwartaal;118.2;-22.1
259;4621 Groothandel in akkerbouwproducten;2017;126.1;-7.0
260;4622 Groothandel in bloemen en planten;2005 1e kwartaal;;
261;4622 Groothandel in bloemen en planten;2005 2e kwartaal;;
262;4622 Groothandel in bloemen en planten;2005 3e kwartaal;;
263;4622 Groothandel in bloemen en planten;2005 4e kwartaal;;
264;4622 Groothandel in bloemen en planten;2005;;
265;4622 Groothandel in bloemen en planten;2006 1e kwartaal;;
266;4622 Groothandel in bloemen en planten;2006 2e kwartaal;;
267;4622 Groothandel in bloemen en planten;2006 3e kwartaal;;
268;4622 Groothandel in bloemen en planten;2006 4e kwartaal;;
269;4622 Groothandel in bloemen en planten;2006;;
270;4622 Groothandel in bloemen en planten;2007 1e kwartaal;106.6;
271;4622 Groothandel in bloemen en planten;2007 2e kwartaal;97.4;
272;4622 Groothandel in bloemen en planten;2007 3e kwartaal;85.8;
273;4622 Groothandel in bloemen en planten;2007 4e kwartaal;98.3;
274;4622 Groothandel in bloemen en planten;2007;97.0;
275;4622 Groothandel in bloemen en planten;2008 1e kwartaal;125.8;18.0
276;4622 Groothandel in bloemen en planten;2008 2e kwartaal;107.5;10.4
277;4622 Groothandel in bloemen en planten;2008 3e kwartaal;87.4;1.9
278;4622 Groothandel in bloemen en planten;2008 4e kwartaal;100.7;2.4
279;4622 Groothandel in bloemen en planten;2008;105.4;8.6
280;4622 Groothandel in bloemen en planten;2009 1e kwartaal;119.0;-5.4
281;4622 Groothandel in bloemen en planten;2009 2e kwartaal;113.0;5.1
282;4622 Groothandel in bloemen en planten;2009 3e kwartaal;83.9;-4.1
283;4622 Groothandel in bloemen en planten;2009 4e kwartaal;95.4;-5.2
284;4622 Groothandel in bloemen en planten;2009;102.8;-2.4
285;4622 Groothandel in bloemen en planten;2010 1e kwartaal;116.4;-2.2
286;4622 Groothandel in bloemen en planten;2010 2e kwartaal;110.5;-2.2
287;4622 Groothandel in bloemen en planten;2010 3e kwartaal;84.3;0.6
288;4622 Groothandel in bloemen en planten;2010 4e kwartaal;88.8;-6.9
289;4622 Groothandel in bloemen en planten;2010;100.0;-2.7
290;4622 Groothandel in bloemen en planten;2011 1e kwartaal;113.6;-2.4
291;4622 Groothandel in bloemen en planten;2011 2e kwartaal;110.8;0.3
292;4622 Groothandel in bloemen en planten;2011 3e kwartaal;90.0;6.7
293;4622 Groothandel in bloemen en planten;2011 4e kwartaal;94.9;6.9
294;4622 Groothandel in bloemen en planten;2011;102.3;2.3
295;4622 Groothandel in bloemen en planten;2012 1e kwartaal;117.6;3.5
296;4622 Groothandel in bloemen en planten;2012 2e kwartaal;111.7;0.8
297;4622 Groothandel in bloemen en planten;2012 3e kwartaal;89.0;-1.1
298;4622 Groothandel in bloemen en planten;2012 4e kwartaal;93.7;-1.3
299;4622 Groothandel in bloemen en planten;2012;103.0;0.6
300;4622 Groothandel in bloemen en planten;2013 1e kwartaal;119.4;1.5
301;4622 Groothandel in bloemen en planten;2013 2e kwartaal;116.1;4.0
302;4622 Groothandel in bloemen en planten;2013 3e kwartaal;87.2;-2.1
303;4622 Groothandel in bloemen en planten;2013 4e kwartaal;95.3;1.8
304;4622 Groothandel in bloemen en planten;2013;104.5;1.4
305;4622 Groothandel in bloemen en planten;2014 1e kwartaal;117.3;-1.8
306;4622 Groothandel in bloemen en planten;2014 2e kwartaal;110.4;-4.9
307;4622 Groothandel in bloemen en planten;2014 3e kwartaal;89.3;2.5
308;4622 Groothandel in bloemen en planten;2014 4e kwartaal;99.2;4.1
309;4622 Groothandel in bloemen en planten;2014;104.1;-0.4
310;4622 Groothandel in bloemen en planten;2015 1e kwartaal;124.4;6.1
311;4622 Groothandel in bloemen en planten;2015 2e kwartaal;114.8;4.0
312;4622 Groothandel in bloemen en planten;2015 3e kwartaal;91.6;2.5
313;4622 Groothandel in bloemen en planten;2015 4e kwartaal;101.6;2.4
314;4622 Groothandel in bloemen en planten;2015;108.1;3.9
315;4622 Groothandel in bloemen en planten;2016 1e kwartaal;127.0;2.1
316;4622 Groothandel in bloemen en planten;2016 2e kwartaal;121.5;5.8
317;4622 Groothandel in bloemen en planten;2016 3e kwartaal;96.0;4.8
318;4622 Groothandel in bloemen en planten;2016 4e kwartaal;106.6;4.8
319;4622 Groothandel in bloemen en planten;2016;112.8;4.3
320;4622 Groothandel in bloemen en planten;2017 1e kwartaal;132.4;4.3
