ID;TechnologyArea;Periods;Applicants_1;Applications_2;ApplicantsWithForeignCooperation_3;ApplicationsWithForeignCooperation_4;PatentApplicants_5;PatentApplications_6;ApplicantsWithForeignCooperation_7;ApplicationsWithForeignCooperation_8
586;31 Mechanical elements;2014;40.0;75.0;5.0;5.0;50.0;65.0;0.0;0.0
587;31 Mechanical elements;2015;30.0;70.0;0.0;5.0;45.0;65.0;0.0;0.0
588;31 Mechanical elements;2016;25.0;60.0;0.0;0.0;25.0;45.0;0.0;0.0
589;31 Mechanical elements;2017;25.0;55.0;0.0;0.0;30.0;55.0;0.0;0.0
590;31 Mechanical elements;2018;25.0;55.0;0.0;5.0;40.0;55.0;0.0;0.0
591;31 Mechanical elements;2019;25.0;65.0;5.0;5.0;35.0;50.0;0.0;0.0
592;31 Mechanical elements;2020;30.0;50.0;5.0;5.0;30.0;40.0;0.0;0.0
593;31 Mechanical elements;2021;25.0;50.0;0.0;5.0;35.0;60.0;0.0;0.0
594;32 Transport;2013;55.0;115.0;0.0;5.0;95.0;130.0;0.0;0.0
595;32 Transport;2014;50.0;110.0;0.0;5.0;90.0;110.0;0.0;0.0
596;32 Transport;2015;60.0;120.0;0.0;5.0;90.0;120.0;0.0;0.0
597;32 Transport;2016;75.0;120.0;5.0;5.0;105.0;135.0;0.0;0.0
598;32 Transport;2017;55.0;110.0;0.0;5.0;80.0;125.0;0.0;0.0
599;32 Transport;2018;50.0;95.0;0.0;5.0;85.0;120.0;0.0;0.0
600;32 Transport;2019;55.0;135.0;5.0;5.0;70.0;120.0;0.0;0.0
601;32 Transport;2020;55.0;155.0;5.0;5.0;80.0;140.0;0.0;0.0
602;32 Transport;2021;55.0;125.0;0.0;0.0;80.0;135.0;0.0;0.0
603;V Other fields;2013;145.0;370.0;5.0;90.0;275.0;320.0;0.0;0.0
604;V Other fields;2014;145.0;385.0;10.0;70.0;305.0;385.0;0.0;0.0
605;V Other fields;2015;135.0;400.0;5.0;60.0;270.0;335.0;0.0;0.0
606;V Other fields;2016;145.0;370.0;5.0;60.0;270.0;365.0;0.0;0.0
607;V Other fields;2017;130.0;305.0;5.0;40.0;240.0;310.0;5.0;5.0
608;V Other fields;2018;135.0;300.0;5.0;25.0;245.0;295.0;0.0;0.0
609;V Other fields;2019;120.0;330.0;0.0;55.0;250.0;310.0;0.0;0.0
610;V Other fields;2020;135.0;325.0;5.0;65.0;240.0;285.0;5.0;5.0
611;V Other fields;2021;105.0;220.0;5.0;45.0;240.0;295.0;5.0;0.0
612;33 Furniture, games;2013;30.0;90.0;0.0;5.0;65.0;65.0;0.0;0.0
613;33 Furniture, games;2014;30.0;90.0;0.0;5.0;85.0;95.0;0.0;0.0
614;33 Furniture, games;2015;30.0;75.0;0.0;5.0;80.0;90.0;0.0;0.0
615;33 Furniture, games;2016;40.0;95.0;0.0;5.0;75.0;100.0;0.0;0.0
616;33 Furniture, games;2017;25.0;70.0;0.0;5.0;65.0;75.0;5.0;5.0
617;33 Furniture, games;2018;45.0;100.0;0.0;5.0;80.0;85.0;0.0;0.0
618;33 Furniture, games;2019;30.0;95.0;0.0;0.0;65.0;80.0;0.0;0.0
619;33 Furniture, games;2020;35.0;90.0;0.0;0.0;65.0;80.0;0.0;0.0
620;33 Furniture, games;2021;25.0;55.0;0.0;0.0;65.0;75.0;0.0;0.0
621;34 Other consumer goods;2013;25.0;65.0;0.0;5.0;40.0;40.0;0.0;0.0
622;34 Other consumer goods;2014;25.0;75.0;0.0;5.0;45.0;50.0;0.0;0.0
623;34 Other consumer goods;2015;20.0;120.0;0.0;10.0;40.0;45.0;0.0;0.0
624;34 Other consumer goods;2016;25.0;90.0;0.0;10.0;50.0;65.0;0.0;0.0
625;34 Other consumer goods;2017;30.0;85.0;0.0;5.0;50.0;55.0;0.0;0.0
626;34 Other consumer goods;2018;20.0;80.0;0.0;5.0;40.0;45.0;0.0;0.0
627;34 Other consumer goods;2019;20.0;80.0;0.0;5.0;40.0;40.0;0.0;0.0
628;34 Other consumer goods;2020;20.0;65.0;0.0;5.0;55.0;55.0;0.0;0.0
629;34 Other consumer goods;2021;15.0;45.0;0.0;5.0;40.0;45.0;0.0;0.0
630;35 Civil engineering;2013;85.0;215.0;0.0;85.0;165.0;215.0;0.0;0.0
631;35 Civil engineering;2014;95.0;220.0;5.0;60.0;175.0;240.0;0.0;0.0
632;35 Civil engineering;2015;85.0;205.0;5.0;50.0;150.0;195.0;0.0;0.0
633;35 Civil engineering;2016;80.0;190.0;0.0;45.0;140.0;200.0;0.0;0.0
634;35 Civil engineering;2017;75.0;150.0;0.0;30.0;130.0;180.0;5.0;0.0
635;35 Civil engineering;2018;70.0;120.0;0.0;20.0;125.0;160.0;0.0;0.0
636;35 Civil engineering;2019;70.0;155.0;0.0;45.0;140.0;195.0;0.0;0.0
637;35 Civil engineering;2020;75.0;170.0;5.0;60.0;120.0;150.0;0.0;0.0
638;35 Civil engineering;2021;65.0;120.0;5.0;40.0;135.0;175.0;5.0;0.0
