ID;SIC2008;PersonsEmployed;Periods;Total_1;Births_2;Deaths_3;NewlyBornEnterprisesSurvivingYear1_4;NewlyBornEnterprisesSurvivingYear2_5;NewlyBornEnterprisesSurvivingYear3_6;NewlyBornEnterprisesSurvivingYear4_7;NewlyBornEnterprisesSurvivingYear5_8;PersonsEmployed_9;Employees_10;PersonsEmployed_11;Employees_12;PersonsEmployed_13;Employees_14;k_1Year_15;k_2Years_16;k_3Years_17;k_4Years_18;k_5Years_19;k_1Year_20;k_2Years_21;k_3Years_22;k_4Years_23;k_5Years_24
93;300002;1 to 4 employees;2012;8881.0;348.0;156.0;404.0;265.0;292.0;362.0;360.0;28205.0;;779.0;663.0;363.0;;1494.0;895.0;1878.0;3825.0;3095.0;903.0;549.0;681.0;883.0;944.0
94;300002;1 to 4 employees;2013;8764.0;379.0;196.0;344.0;359.0;226.0;260.0;330.0;27847.0;;814.0;705.0;477.0;362.0;1347.0;1482.0;857.0;1792.0;3703.0;772.0;818.0;466.0;608.0;806.0
95;300002;1 to 4 employees;2014;8635.0;340.0;153.0;372.0;304.0;321.0;196.0;224.0;27192.0;;681.0;;356.0;275.0;1329.0;1432.0;1514.0;831.0;1645.0;803.0;699.0;743.0;405.0;538.0
96;300002;1 to 4 employees;2015;8576.0;298.0;110.0;332.0;344.0;272.0;289.0;183.0;26870.0;17853.0;611.0;484.0;244.0;179.0;1341.0;1418.0;1485.0;1538.0;792.0;670.0;759.0;629.0;684.0;369.0
97;300002;1 to 4 employees;2016;8767.0;296.0;129.0;298.0;299.0;310.0;248.0;269.0;27117.0;18021.0;594.0;487.0;329.0;240.0;1402.0;1435.0;1442.0;1607.0;1550.0;611.0;616.0;690.0;580.0;636.0
98;300002;1 to 4 employees;2017;8892.0;321.0;109.0;289.0;274.0;274.0;275.0;229.0;26923.0;18026.0;578.0;459.0;255.0;192.0;1393.0;1427.0;1600.0;1521.0;1706.0;580.0;569.0;567.0;612.0;539.0
99;300002;1 to 4 employees;2018;8856.0;291.0;89.0;317.0;274.0;252.0;254.0;261.0;26667.0;17907.0;565.0;452.0;180.0;133.0;1297.0;1515.0;1463.0;1604.0;1606.0;568.0;548.0;518.0;534.0;580.0
100;300002;1 to 4 employees;2019;10133.0;266.0;137.0;289.0;297.0;244.0;226.0;237.0;28548.0;19827.0;490.0;414.0;245.0;195.0;1204.0;1322.0;1508.0;1594.0;1578.0;562.0;533.0;497.0;467.0;502.0
101;300002;1 to 4 employees;2020;10193.0;251.0;;264.0;258.0;257.0;223.0;220.0;28527.0;19831.0;467.0;385.0;;;1178.0;1240.0;1257.0;1541.0;1780.0;488.0;509.0;474.0;454.0;453.0
102;300002;1 to 4 employees;2021;;;;;;;;;;;;;;;;;;;;;;;;
103;300002;1 to 4 employees;2022;;;;;;;;;;;;;;;;;;;;;;;;
104;300002;5 to 9 employees;2010;4444.0;68.0;38.0;100.0;115.0;112.0;102.0;61.0;34753.0;;448.0;;268.0;;1932.0;1957.0;1814.0;1011.0;398.0;723.0;852.0;893.0;718.0;411.0
105;300002;5 to 9 employees;2011;4293.0;89.0;25.0;68.0;93.0;100.0;103.0;95.0;33475.0;;615.0;;183.0;168.0;783.0;1657.0;1954.0;1741.0;957.0;448.0;671.0;749.0;829.0;668.0
106;300002;5 to 9 employees;2012;4205.0;80.0;41.0;87.0;65.0;78.0;92.0;94.0;32594.0;;551.0;519.0;288.0;;791.0;733.0;1592.0;1897.0;1671.0;604.0;430.0;564.0;680.0;757.0
107;300002;5 to 9 employees;2013;4147.0;72.0;46.0;79.0;77.0;60.0;72.0;81.0;32264.0;;493.0;467.0;342.0;316.0;766.0;745.0;660.0;1520.0;1757.0;542.0;539.0;402.0;527.0;605.0
108;300002;5 to 9 employees;2014;4114.0;66.0;30.0;69.0;73.0;67.0;52.0;67.0;31844.0;;466.0;;207.0;197.0;773.0;770.0;;;1430.0;471.0;503.0;470.0;348.0;497.0
109;300002;5 to 9 employees;2015;4056.0;40.0;16.0;65.0;62.0;65.0;58.0;48.0;31263.0;27053.0;286.0;265.0;110.0;104.0;626.0;821.0;716.0;;;460.0;423.0;449.0;401.0;318.0
110;300002;5 to 9 employees;2016;4082.0;50.0;28.0;40.0;62.0;58.0;60.0;53.0;31559.0;27375.0;324.0;309.0;195.0;176.0;555.0;607.0;936.0;699.0;;286.0;439.0;392.0;414.0;368.0
111;300002;5 to 9 employees;2017;4121.0;53.0;16.0;50.0;36.0;55.0;54.0;51.0;31610.0;27555.0;359.0;340.0;114.0;99.0;712.0;524.0;538.0;1044.0;709.0;324.0;264.0;390.0;362.0;359.0
