ID;Sex;PersonalCharacteristics;Periods;TotalPopulationAged15YearsAndOlder_1;TotalLabourForceAccToInternatDef_2;EmpLabourForceAccToInternatDef_3;UnempLabourForceAccToInternatDef_4;PeopleNotIncludedInTheLabourForce_5;GrossLabourParticipation_6;NetLabourParticipation_7;UnemploymentAsAPercentage_8;TotalEmployees_9;EmployeesPermanentJobs_10;EmployeesFlexibleJobs_11;SelfEmployed_12;FamilyWorkers_13;k_0119HrsPerWeek_14;k_2034HrsPerWeek_15;k_35HrsPerWeek_16;WorkingHoursUnknown_17;AverageWorkingHours_18;Military_19;LegislatorsSeniorOfficialsManagers_20;ScientistsScholars_21;TechniciansSkilledWorkers_22;OfficeWorkers_23;ServiceShopAndMarketSalesWorkers_24;SkilledWorkersAgricultureAndFishery_25;Craftsmen_26;FactoryWorkersMachineOperatorsEtc_27;ElementaryOccupations_28;NotClassifiable_29
112;Total sex;17;2006;952.0;11.0;11.0;;941.0;1.2;1.2;;3.0;;2.0;8.0;;6.0;2.0;2.0;;18.1;;3.0;2.0;;;;;;;2.0;
113;Total sex;17;2007;977.0;14.0;14.0;;963.0;1.4;1.4;;4.0;;3.0;10.0;;9.0;3.0;2.0;;14.9;;4.0;4.0;3.0;;2.0;;;;;
114;Total sex;17;2008;1000.0;13.0;13.0;;987.0;1.3;1.3;;5.0;;4.0;9.0;;8.0;3.0;2.0;;15.3;;3.0;3.0;2.0;;2.0;;;;2.0;
115;Total sex;17;2009;1022.0;14.0;14.0;;1007.0;1.4;1.4;;6.0;;5.0;8.0;;10.0;3.0;;;14.8;;3.0;2.0;2.0;;2.0;;;;2.0;
116;Total sex;17;2010;1044.0;12.0;12.0;;1032.0;1.2;1.2;;5.0;;4.0;7.0;;8.0;2.0;2.0;;15.4;;2.0;3.0;2.0;;2.0;;;;;
117;Total sex;17;2011;1069.0;12.0;12.0;;1057.0;1.1;1.1;;4.0;;3.0;7.0;;6.0;3.0;2.0;;15.5;;3.0;4.0;2.0;;;;;;2.0;
118;Total sex;17;2012;1091.0;15.0;15.0;;1076.0;1.4;1.4;;6.0;2.0;4.0;9.0;;10.0;4.0;;;12.9;;;;;;;;;;;
119;Total sex;17;2013;1115.0;19.0;19.0;;1096.0;1.7;1.7;;8.0;;7.0;11.0;;12.0;3.0;2.0;;14.7;;;;;;;;;;;
120;Total sex;15 - 20 yrs;2000;921.0;558.0;508.0;51.0;362.0;60.6;55.1;9.1;492.0;224.0;268.0;12.0;3.0;352.0;61.0;94.0;;16.3;;4.0;2.0;19.0;76.0;138.0;23.0;44.0;19.0;138.0;43.0
121;Total sex;15 - 20 yrs;2001 before revision;928.0;572.0;524.0;48.0;356.0;61.6;56.4;8.4;507.0;239.0;268.0;15.0;2.0;350.0;75.0;99.0;;16.8;3.0;2.0;3.0;23.0;78.0;145.0;27.0;45.0;23.0;168.0;7.0
122;Total sex;15 - 20 yrs;2001 after revision;928.0;604.0;565.0;39.0;324.0;65.1;60.8;6.5;545.0;249.0;296.0;17.0;3.0;394.0;75.0;94.0;;15.8;2.0;3.0;3.0;21.0;80.0;153.0;24.0;48.0;19.0;167.0;46.0
123;Total sex;15 - 20 yrs;2002;942.0;606.0;561.0;45.0;336.0;64.3;59.5;7.4;542.0;248.0;294.0;16.0;3.0;395.0;78.0;85.0;4.0;15.4;4.0;2.0;3.0;24.0;78.0;162.0;26.0;47.0;18.0;186.0;11.0
124;Total sex;15 - 20 yrs;2003;957.0;566.0;510.0;55.0;391.0;59.1;53.3;9.8;492.0;219.0;273.0;15.0;3.0;355.0;77.0;74.0;4.0;15.3;3.0;2.0;3.0;16.0;70.0;146.0;27.0;42.0;15.0;180.0;5.0
125;Total sex;15 - 20 yrs;2004;967.0;551.0;489.0;62.0;415.0;57.0;50.6;11.3;474.0;203.0;270.0;13.0;2.0;345.0;68.0;69.0;6.0;14.9;3.0;3.0;2.0;16.0;60.0;154.0;23.0;36.0;15.0;174.0;3.0
126;Total sex;15 - 20 yrs;2005;976.0;558.0;491.0;67.0;418.0;57.1;50.3;12.0;473.0;188.0;285.0;15.0;2.0;360.0;61.0;63.0;7.0;14.1;2.0;3.0;3.0;18.0;58.0;145.0;24.0;37.0;14.0;182.0;4.0
