ID;MunicipalTasks;Regions;Periods;Revenues_1;Expenditures_2;Balance_3;Revenues_4;Expenditures_5;Balance_6
4052;Balance of the accounts;5,000 to 9,999 inhabitants;2023;0;8;-8;4;136;-131
4053;Balance of the accounts;10,000 to 19,999 inhabitants;2017;10;116;-106;7;82;-75
4054;Balance of the accounts;10,000 to 19,999 inhabitants;2018;34;74;-40;25;56;-30
4055;Balance of the accounts;10,000 to 19,999 inhabitants;2019;15;57;-42;15;57;-42
4056;Balance of the accounts;10,000 to 19,999 inhabitants;2020;-2;85;-88;-2;84;-86
4057;Balance of the accounts;10,000 to 19,999 inhabitants;2021;1;123;-121;1;124;-123
4058;Balance of the accounts;10,000 to 19,999 inhabitants;2022;-4;212;-216;-5;228;-233
4059;Balance of the accounts;10,000 to 19,999 inhabitants;2023;3;175;-172;4;212;-208
4060;Balance of the accounts;20,000 to 49,999 inhabitants;2017;45;439;-394;7;73;-66
4061;Balance of the accounts;20,000 to 49,999 inhabitants;2018;72;284;-212;12;47;-35
4062;Balance of the accounts;20,000 to 49,999 inhabitants;2019;125;198;-73;20;32;-12
4063;Balance of the accounts;20,000 to 49,999 inhabitants;2020;-8;382;-390;-1;64;-65
4064;Balance of the accounts;20,000 to 49,999 inhabitants;2021;15;730;-715;3;121;-118
4065;Balance of the accounts;20,000 to 49,999 inhabitants;2022;-23;1209;-1232;-4;203;-207
4066;Balance of the accounts;20,000 to 49,999 inhabitants;2023;5;905;-900;1;151;-150
4067;Balance of the accounts;50,000 to 99,999 inhabitants;2017;18;236;-219;5;72;-67
4068;Balance of the accounts;50,000 to 99,999 inhabitants;2018;38;188;-150;11;56;-45
4069;Balance of the accounts;50,000 to 99,999 inhabitants;2019;75;148;-73;20;40;-20
4070;Balance of the accounts;50,000 to 99,999 inhabitants;2020;-3;396;-400;-1;105;-106
4071;Balance of the accounts;50,000 to 99,999 inhabitants;2021;-5;546;-552;-1;145;-146
4072;Balance of the accounts;50,000 to 99,999 inhabitants;2022;-7;850;-857;-2;213;-215
4073;Balance of the accounts;50,000 to 99,999 inhabitants;2023;3;640;-637;1;154;-153
4074;Balance of the accounts;100,000 to 149,999 inhabitants;2017;42;78;-36;26;48;-22
4075;Balance of the accounts;100,000 to 149,999 inhabitants;2018;-5;66;-71;-3;40;-44
4076;Balance of the accounts;100,000 to 149,999 inhabitants;2019;13;62;-49;9;41;-33
4077;Balance of the accounts;100,000 to 149,999 inhabitants;2020;6;166;-161;4;104;-100
4078;Balance of the accounts;100,000 to 149,999 inhabitants;2021;13;222;-209;8;138;-130
4079;Balance of the accounts;100,000 to 149,999 inhabitants;2022;-20;235;-255;-12;145;-157
4080;Balance of the accounts;100,000 to 149,999 inhabitants;2023;-6;201;-207;-4;122;-126
4081;Balance of the accounts;150,000 to 249,999 inhabitants;2017;11;89;-77;5;39;-34
4082;Balance of the accounts;150,000 to 249,999 inhabitants;2018;-38;145;-183;-17;63;-79
4083;Balance of the accounts;150,000 to 249,999 inhabitants;2019;-47;86;-133;-19;34;-53
4084;Balance of the accounts;150,000 to 249,999 inhabitants;2020;-75;89;-164;-30;35;-65
4085;Balance of the accounts;150,000 to 249,999 inhabitants;2021;0;257;-257;0;101;-101
4086;Balance of the accounts;150,000 to 249,999 inhabitants;2022;28;332;-304;11;130;-119
4087;Balance of the accounts;150,000 to 249,999 inhabitants;2023;-53;113;-166;-20;44;-64
4088;Balance of the accounts;250,000 inhabitants or more;2017;14;210;-197;6;90;-84
4089;Balance of the accounts;250,000 inhabitants or more;2018;0;56;-56;0;24;-24
4090;Balance of the accounts;250,000 inhabitants or more;2019;0;25;-25;0;10;-10
4091;Balance of the accounts;250,000 inhabitants or more;2020;0;387;-387;0;159;-159
4092;Balance of the accounts;250,000 inhabitants or more;2021;27;205;-178;11;84;-73
4093;Balance of the accounts;250,000 inhabitants or more;2022;0;286;-286;0;116;-116
4094;Balance of the accounts;250,000 inhabitants or more;2023;59;153;-95;23;61;-38
4095;Total public safety;The Netherlands;2017;120;1768;-1648;7;104;-97
4096;Total public safety;The Netherlands;2018;125;1818;-1693;7;106;-99
4097;Total public safety;The Netherlands;2019;124;1922;-1797;7;111;-104
4098;Total public safety;The Netherlands;2020;143;2068;-1924;8;119;-111
4099;Total public safety;The Netherlands;2021;204;2219;-2015;12;127;-115
4100;Total public safety;The Netherlands;2022;301;2383;-2081;17;135;-118
4101;Total public safety;The Netherlands;2023;286;2554;-2268;16;143;-127
4102;Total public safety;Noord-Nederland (LD);2017;14;137;-123;8;79;-71
4103;Total public safety;Noord-Nederland (LD);2018;16;146;-131;9;85;-76
4104;Total public safety;Noord-Nederland (LD);2019;11;152;-141;6;88;-82
4105;Total public safety;Noord-Nederland (LD);2020;12;158;-146;7;91;-85
4106;Total public safety;Noord-Nederland (LD);2021;22;174;-152;13;100;-88
4107;Total public safety;Noord-Nederland (LD);2022;42;205;-163;24;117;-93
4108;Total public safety;Noord-Nederland (LD);2023;38;214;-176;22;122;-100
4109;Total public safety;Oost-Nederland (LD);2017;17;305;-287;5;85;-80
4110;Total public safety;Oost-Nederland (LD);2018;24;326;-303;7;90;-84
4111;Total public safety;Oost-Nederland (LD);2019;20;340;-320;6;93;-88
4112;Total public safety;Oost-Nederland (LD);2020;19;357;-338;5;97;-92
4113;Total public safety;Oost-Nederland (LD);2021;28;378;-350;8;102;-95
4114;Total public safety;Oost-Nederland (LD);2022;53;421;-368;14;113;-99
4115;Total public safety;Oost-Nederland (LD);2023;33;443;-410;9;118;-109
4116;Total public safety;West-Nederland (LD);2017;54;986;-932;7;121;-115
4117;Total public safety;West-Nederland (LD);2018;57;993;-937;7;121;-114
4118;Total public safety;West-Nederland (LD);2019;63;1058;-994;8;128;-120
4119;Total public safety;West-Nederland (LD);2020;74;1149;-1075;9;138;-129
4120;Total public safety;West-Nederland (LD);2021;112;1230;-1118;13;147;-134
4121;Total public safety;West-Nederland (LD);2022;157;1308;-1151;19;155;-137
4122;Total public safety;West-Nederland (LD);2023;156;1407;-1251;18;165;-146
4123;Total public safety;Zuid-Nederland (LD);2017;34;341;-307;9;94;-85
4124;Total public safety;Zuid-Nederland (LD);2018;29;352;-323;8;97;-89
4125;Total public safety;Zuid-Nederland (LD);2019;29;372;-343;8;102;-94
4126;Total public safety;Zuid-Nederland (LD);2020;38;403;-365;10;110;-99
4127;Total public safety;Zuid-Nederland (LD);2021;41;436;-395;11;118;-107
4128;Total public safety;Zuid-Nederland (LD);2022;50;450;-400;13;121;-108
4129;Total public safety;Zuid-Nederland (LD);2023;59;490;-432;16;131;-115
4130;Total public safety;Groningen (PV);2017;5;50;-45;8;86;-78
4131;Total public safety;Groningen (PV);2018;7;53;-47;12;92;-80
4132;Total public safety;Groningen (PV);2019;8;60;-52;14;103;-90
4133;Total public safety;Groningen (PV);2020;9;65;-56;15;111;-96
4134;Total public safety;Groningen (PV);2021;17;74;-57;29;126;-97
4135;Total public safety;Groningen (PV);2022;32;93;-61;54;157;-104
4136;Total public safety;Groningen (PV);2023;30;94;-64;50;158;-108
4137;Total public safety;Fryslân (PV);2017;9;53;-44;14;82;-68
4138;Total public safety;Fryslân (PV);2018;8;58;-50;12;90;-78
4139;Total public safety;Fryslân (PV);2019;2;53;-51;4;82;-78
4140;Total public safety;Fryslân (PV);2020;2;54;-52;3;83;-80
4141;Total public safety;Fryslân (PV);2021;3;60;-57;5;92;-87
4142;Total public safety;Fryslân (PV);2022;9;69;-60;14;106;-92
4143;Total public safety;Fryslân (PV);2023;7;72;-65;11;109;-98
4144;Total public safety;Drenthe (PV);2017;1;34;-33;2;69;-68
4145;Total public safety;Drenthe (PV);2018;1;35;-34;1;71;-69
4146;Total public safety;Drenthe (PV);2019;1;38;-38;1;78;-76
4147;Total public safety;Drenthe (PV);2020;1;39;-38;1;78;-77
4148;Total public safety;Drenthe (PV);2021;2;40;-39;3;81;-78
4149;Total public safety;Drenthe (PV);2022;1;43;-42;2;86;-84
4150;Total public safety;Drenthe (PV);2023;1;48;-46;2;95;-93
4151;Total public safety;Overijssel (PV);2017;6;101;-96;5;88;-83
4152;Total public safety;Overijssel (PV);2018;6;105;-99;5;91;-86
4153;Total public safety;Overijssel (PV);2019;9;114;-105;8;99;-91
4154;Total public safety;Overijssel (PV);2020;10;123;-113;8;106;-97
4155;Total public safety;Overijssel (PV);2021;11;125;-114;9;107;-98
4156;Total public safety;Overijssel (PV);2022;16;137;-121;14;117;-103
4157;Total public safety;Overijssel (PV);2023;14;140;-127;11;118;-107
4158;Total public safety;Flevoland (PV);2017;1;34;-33;3;83;-80
4159;Total public safety;Flevoland (PV);2018;1;35;-33;3;84;-81
4160;Total public safety;Flevoland (PV);2019;2;38;-37;4;92;-88
4161;Total public safety;Flevoland (PV);2020;1;41;-40;3;98;-95
4162;Total public safety;Flevoland (PV);2021;2;43;-41;4;99;-96
4163;Total public safety;Flevoland (PV);2022;2;47;-45;5;107;-102
4164;Total public safety;Flevoland (PV);2023;4;55;-51;9;124;-115
4165;Total public safety;Gelderland (PV);2017;10;169;-159;5;83;-78
4166;Total public safety;Gelderland (PV);2018;16;187;-171;8;91;-83
4167;Total public safety;Gelderland (PV);2019;9;188;-179;4;91;-86
4168;Total public safety;Gelderland (PV);2020;9;193;-184;4;92;-88
4169;Total public safety;Gelderland (PV);2021;16;211;-195;8;100;-93
4170;Total public safety;Gelderland (PV);2022;35;237;-202;16;112;-96
4171;Total public safety;Gelderland (PV);2023;16;248;-232;7;116;-109
4172;Total public safety;Utrecht (PV);2017;4;120;-116;3;93;-90
4173;Total public safety;Utrecht (PV);2018;4;127;-123;3;98;-95
4174;Total public safety;Utrecht (PV);2019;4;140;-135;3;104;-101
4175;Total public safety;Utrecht (PV);2020;5;149;-144;4;110;-106
4176;Total public safety;Utrecht (PV);2021;7;154;-147;5;113;-108
4177;Total public safety;Utrecht (PV);2022;15;167;-151;11;122;-110
4178;Total public safety;Utrecht (PV);2023;18;186;-168;13;134;-121
4179;Total public safety;Noord-Holland (PV);2017;24;372;-348;9;132;-124
4180;Total public safety;Noord-Holland (PV);2018;25;377;-351;9;133;-124
4181;Total public safety;Noord-Holland (PV);2019;32;412;-380;11;144;-133
4182;Total public safety;Noord-Holland (PV);2020;31;437;-406;11;152;-141
4183;Total public safety;Noord-Holland (PV);2021;50;478;-428;17;166;-148
4184;Total public safety;Noord-Holland (PV);2022;41;487;-446;14;167;-153
4185;Total public safety;Noord-Holland (PV);2023;40;528;-488;13;178;-165
4186;Total public safety;Zuid-Holland (PV);2017;25;453;-428;7;124;-117
4187;Total public safety;Zuid-Holland (PV);2018;27;449;-422;7;122;-115
4188;Total public safety;Zuid-Holland (PV);2019;26;465;-439;7;127;-119
4189;Total public safety;Zuid-Holland (PV);2020;37;518;-481;10;140;-130
4190;Total public safety;Zuid-Holland (PV);2021;54;552;-498;14;148;-134
4191;Total public safety;Zuid-Holland (PV);2022;92;602;-509;25;160;-136
4192;Total public safety;Zuid-Holland (PV);2023;85;635;-551;22;167;-145
4193;Total public safety;Zeeland (PV);2017;1;41;-40;2;107;-105
4194;Total public safety;Zeeland (PV);2018;1;40;-40;2;106;-104
4195;Total public safety;Zeeland (PV);2019;1;41;-41;2;108;-106
4196;Total public safety;Zeeland (PV);2020;1;45;-44;3;117;-114
4197;Total public safety;Zeeland (PV);2021;2;46;-45;4;120;-116
4198;Total public safety;Zeeland (PV);2022;8;53;-44;21;136;-115
4199;Total public safety;Zeeland (PV);2023;13;57;-44;33;147;-114
4200;Total public safety;Noord-Brabant (PV);2017;28;234;-206;11;93;-82
4201;Total public safety;Noord-Brabant (PV);2018;22;238;-216;9;94;-86
4202;Total public safety;Noord-Brabant (PV);2019;20;251;-231;8;99;-91
4203;Total public safety;Noord-Brabant (PV);2020;24;273;-249;9;107;-97
4204;Total public safety;Noord-Brabant (PV);2021;27;294;-267;10;114;-104
4205;Total public safety;Noord-Brabant (PV);2022;29;297;-268;11;115;-103
4206;Total public safety;Noord-Brabant (PV);2023;37;325;-288;14;124;-110
4207;Total public safety;Limburg (PV);2017;6;107;-101;6;96;-90
4208;Total public safety;Limburg (PV);2018;8;114;-107;7;102;-96
4209;Total public safety;Limburg (PV);2019;9;121;-112;8;108;-100
4210;Total public safety;Limburg (PV);2020;14;130;-116;13;117;-104
4211;Total public safety;Limburg (PV);2021;15;143;-128;13;128;-115
4212;Total public safety;Limburg (PV);2022;20;152;-132;18;136;-118
4213;Total public safety;Limburg (PV);2023;22;165;-144;19;146;-127
4214;Total public safety;Oost-Groningen (CR);2017;0;12;-11;2;79;-77
4215;Total public safety;Oost-Groningen (CR);2018;0;10;-10;1;76;-74
4216;Total public safety;Oost-Groningen (CR);2019;0;12;-12;1;88;-86
4217;Total public safety;Oost-Groningen (CR);2020;0;13;-12;3;94;-91
4218;Total public safety;Oost-Groningen (CR);2021;1;13;-12;7;95;-87
4219;Total public safety;Oost-Groningen (CR);2022;2;14;-13;12;104;-93
4220;Total public safety;Oost-Groningen (CR);2023;3;14;-11;22;102;-79
4221;Total public safety;Delfzijl en omgeving (CR);2017;2;5;-3;37;108;-71
4222;Total public safety;Delfzijl en omgeving (CR);2018;3;5;-2;63;110;-46
4223;Total public safety;Delfzijl en omgeving (CR);2019;2;6;-5;37;136;-99
4224;Total public safety;Delfzijl en omgeving (CR);2020;1;6;-5;24;140;-116
4225;Total public safety;Delfzijl en omgeving (CR);2021;4;10;-6;93;230;-137
4226;Total public safety;Delfzijl en omgeving (CR);2022;9;14;-5;202;319;-117
4227;Total public safety;Delfzijl en omgeving (CR);2023;13;17;-4;281;368;-86
4228;Total public safety;Overig Groningen (CR);2017;3;33;-31;7;85;-79
4229;Total public safety;Overig Groningen (CR);2018;4;38;-34;9;95;-86
4230;Total public safety;Overig Groningen (CR);2019;6;42;-36;15;105;-90
4231;Total public safety;Overig Groningen (CR);2020;7;46;-38;18;113;-95
4232;Total public safety;Overig Groningen (CR);2021;12;51;-39;29;125;-96
4233;Total public safety;Overig Groningen (CR);2022;21;64;-43;51;157;-106
4234;Total public safety;Overig Groningen (CR);2023;14;64;-50;34;154;-120
4235;Total public safety;Noord-Friesland (CR);2017;8;30;-22;26;94;-68
4236;Total public safety;Noord-Friesland (CR);2018;8;34;-26;24;107;-83
4237;Total public safety;Noord-Friesland (CR);2019;2;29;-27;7;90;-83
4238;Total public safety;Noord-Friesland (CR);2020;2;29;-27;6;91;-85
4239;Total public safety;Noord-Friesland (CR);2021;3;33;-30;9;101;-92
4240;Total public safety;Noord-Friesland (CR);2022;7;38;-32;20;118;-98
4241;Total public safety;Noord-Friesland (CR);2023;4;38;-34;11;116;-105
4242;Total public safety;Zuidwest-Friesland (CR);2017;0;9;-9;1;70;-68
4243;Total public safety;Zuidwest-Friesland (CR);2018;0;10;-10;1;72;-71
4244;Total public safety;Zuidwest-Friesland (CR);2019;0;11;-11;1;78;-77
4245;Total public safety;Zuidwest-Friesland (CR);2020;0;11;-11;1;80;-79
4246;Total public safety;Zuidwest-Friesland (CR);2021;0;12;-12;1;87;-86
4247;Total public safety;Zuidwest-Friesland (CR);2022;2;15;-13;16;109;-93
4248;Total public safety;Zuidwest-Friesland (CR);2023;3;18;-14;22;123;-101
4249;Total public safety;Zuidoost-Friesland (CR);2017;0;13;-13;1;69;-68
4250;Total public safety;Zuidoost-Friesland (CR);2018;0;14;-14;1;74;-73
4251;Total public safety;Zuidoost-Friesland (CR);2019;0;13;-13;1;71;-70
4252;Total public safety;Zuidoost-Friesland (CR);2020;0;14;-14;0;74;-73
4253;Total public safety;Zuidoost-Friesland (CR);2021;0;15;-15;1;80;-78
4254;Total public safety;Zuidoost-Friesland (CR);2022;0;16;-15;2;83;-80
4255;Total public safety;Zuidoost-Friesland (CR);2023;1;17;-16;4;88;-85
4256;Total public safety;Noord-Drenthe (CR);2017;0;13;-13;1;67;-66
4257;Total public safety;Noord-Drenthe (CR);2018;0;13;-13;1;69;-67
4258;Total public safety;Noord-Drenthe (CR);2019;0;15;-15;2;80;-78
4259;Total public safety;Noord-Drenthe (CR);2020;0;15;-15;2;80;-78
4260;Total public safety;Noord-Drenthe (CR);2021;0;15;-15;2;79;-77
4261;Total public safety;Noord-Drenthe (CR);2022;0;16;-16;2;84;-82
4262;Total public safety;Noord-Drenthe (CR);2023;0;18;-17;2;91;-89
4263;Total public safety;Zuidoost-Drenthe (CR);2017;0;13;-12;3;75;-72
4264;Total public safety;Zuidoost-Drenthe (CR);2018;0;13;-13;2;78;-76
4265;Total public safety;Zuidoost-Drenthe (CR);2019;0;14;-14;1;82;-81
4266;Total public safety;Zuidoost-Drenthe (CR);2020;0;14;-14;1;82;-81
4267;Total public safety;Zuidoost-Drenthe (CR);2021;1;15;-14;4;87;-83
4268;Total public safety;Zuidoost-Drenthe (CR);2022;1;16;-15;3;92;-89
4269;Total public safety;Zuidoost-Drenthe (CR);2023;1;18;-17;4;106;-102
4270;Total public safety;Zuidwest-Drenthe (CR);2017;0;9;-8;1;65;-64
4271;Total public safety;Zuidwest-Drenthe (CR);2018;0;8;-8;1;64;-63
4272;Total public safety;Zuidwest-Drenthe (CR);2019;0;9;-9;1;69;-69
4273;Total public safety;Zuidwest-Drenthe (CR);2020;0;9;-9;0;71;-71
4274;Total public safety;Zuidwest-Drenthe (CR);2021;1;10;-10;4;77;-73
4275;Total public safety;Zuidwest-Drenthe (CR);2022;0;11;-11;0;81;-80
4276;Total public safety;Zuidwest-Drenthe (CR);2023;0;12;-12;1;87;-86
4277;Total public safety;Noord-Overijssel (CR);2017;2;32;-30;5;88;-83
4278;Total public safety;Noord-Overijssel (CR);2018;2;33;-31;5;90;-85
4279;Total public safety;Noord-Overijssel (CR);2019;2;34;-32;6;92;-86
4280;Total public safety;Noord-Overijssel (CR);2020;2;37;-35;6;100;-94
4281;Total public safety;Noord-Overijssel (CR);2021;3;39;-36;8;103;-96
4282;Total public safety;Noord-Overijssel (CR);2022;4;38;-34;10;99;-90
4283;Total public safety;Noord-Overijssel (CR);2023;2;43;-41;6;111;-106
4284;Total public safety;Zuidwest-Overijssel (CR);2017;1;14;-13;6;93;-87
4285;Total public safety;Zuidwest-Overijssel (CR);2018;1;15;-14;6;94;-88
4286;Total public safety;Zuidwest-Overijssel (CR);2019;1;15;-14;6;96;-90
4287;Total public safety;Zuidwest-Overijssel (CR);2020;1;17;-15;8;105;-97
4288;Total public safety;Zuidwest-Overijssel (CR);2021;1;17;-16;8;107;-99
4289;Total public safety;Zuidwest-Overijssel (CR);2022;2;25;-23;11;157;-146
4290;Total public safety;Zuidwest-Overijssel (CR);2023;2;20;-18;13;123;-110
4291;Total public safety;Twente (CR);2017;3;55;-52;5;87;-82
4292;Total public safety;Twente (CR);2018;3;57;-54;5;91;-86
4293;Total public safety;Twente (CR);2019;6;65;-59;10;103;-93
4294;Total public safety;Twente (CR);2020;6;69;-63;10;109;-100
4295;Total public safety;Twente (CR);2021;7;69;-62;11;109;-99
4296;Total public safety;Twente (CR);2022;10;75;-64;17;118;-101
4297;Total public safety;Twente (CR);2023;9;77;-68;14;121;-107
4298;Total public safety;Veluwe (CR);2017;3;56;-53;4;82;-78
4299;Total public safety;Veluwe (CR);2018;3;63;-60;5;92;-88
4300;Total public safety;Veluwe (CR);2019;3;64;-61;5;93;-88
4301;Total public safety;Veluwe (CR);2020;3;64;-61;4;92;-88
4302;Total public safety;Veluwe (CR);2021;5;70;-66;6;100;-94
4303;Total public safety;Veluwe (CR);2022;6;76;-70;9;108;-99
4304;Total public safety;Veluwe (CR);2023;4;83;-79;5;115;-110
4305;Total public safety;Achterhoek (CR);2017;1;28;-27;2;70;-68
4306;Total public safety;Achterhoek (CR);2018;1;30;-30;2;76;-74
4307;Total public safety;Achterhoek (CR);2019;1;33;-32;4;82;-79
4308;Total public safety;Achterhoek (CR);2020;1;34;-33;2;84;-82
4309;Total public safety;Achterhoek (CR);2021;3;34;-32;7;86;-78
4310;Total public safety;Achterhoek (CR);2022;6;39;-33;14;97;-82
4311;Total public safety;Achterhoek (CR);2023;2;40;-38;5;99;-95
4312;Total public safety;Arnhem/Nijmegen (CR);2017;5;63;-58;7;87;-80
4313;Total public safety;Arnhem/Nijmegen (CR);2018;10;70;-59;14;95;-81
4314;Total public safety;Arnhem/Nijmegen (CR);2019;3;67;-64;4;91;-86
4315;Total public safety;Arnhem/Nijmegen (CR);2020;4;70;-66;5;94;-89
4316;Total public safety;Arnhem/Nijmegen (CR);2021;7;79;-72;9;106;-97
4317;Total public safety;Arnhem/Nijmegen (CR);2022;21;94;-72;28;125;-97
4318;Total public safety;Arnhem/Nijmegen (CR);2023;8;94;-86;11;124;-114
4319;Total public safety;Zuidwest-Gelderland (CR);2017;1;22;-21;6;91;-86
4320;Total public safety;Zuidwest-Gelderland (CR);2018;2;24;-22;7;97;-90
4321;Total public safety;Zuidwest-Gelderland (CR);2019;1;24;-23;5;97;-93
4322;Total public safety;Zuidwest-Gelderland (CR);2020;2;26;-24;6;104;-98
4323;Total public safety;Zuidwest-Gelderland (CR);2021;1;27;-26;6;108;-103
4324;Total public safety;Zuidwest-Gelderland (CR);2022;1;28;-26;6;110;-104
4325;Total public safety;Zuidwest-Gelderland (CR);2023;2;31;-29;6;120;-114
4326;Total public safety;Utrecht (CR);2017;4;120;-116;3;93;-90
4327;Total public safety;Utrecht (CR);2018;4;127;-123;3;98;-95
4328;Total public safety;Utrecht (CR);2019;4;140;-135;3;104;-101
4329;Total public safety;Utrecht (CR);2020;5;149;-144;4;110;-106
4330;Total public safety;Utrecht (CR);2021;7;154;-147;5;113;-108
4331;Total public safety;Utrecht (CR);2022;15;167;-151;11;122;-110
4332;Total public safety;Utrecht (CR);2023;18;186;-168;13;134;-121
4333;Total public safety;Kop van Noord-Holland (CR);2017;1;31;-31;2;84;-82
4334;Total public safety;Kop van Noord-Holland (CR);2018;1;36;-35;3;96;-93
4335;Total public safety;Kop van Noord-Holland (CR);2019;1;38;-36;3;100;-97
4336;Total public safety;Kop van Noord-Holland (CR);2020;1;38;-38;1;101;-100
4337;Total public safety;Kop van Noord-Holland (CR);2021;3;39;-37;7;104;-97
4338;Total public safety;Kop van Noord-Holland (CR);2022;1;39;-38;3;103;-100
4339;Total public safety;Kop van Noord-Holland (CR);2023;1;45;-44;2;117;-115
4340;Total public safety;Alkmaar en omgeving (CR);2017;0;24;-24;2;100;-98
4341;Total public safety;Alkmaar en omgeving (CR);2018;0;26;-25;2;105;-103
4342;Total public safety;Alkmaar en omgeving (CR);2019;1;28;-27;2;112;-110
4343;Total public safety;Alkmaar en omgeving (CR);2020;0;29;-28;2;115;-113
4344;Total public safety;Alkmaar en omgeving (CR);2021;1;30;-29;3;119;-116
4345;Total public safety;Alkmaar en omgeving (CR);2022;1;31;-30;4;123;-119
4346;Total public safety;Alkmaar en omgeving (CR);2023;1;33;-33;2;130;-127
4347;Total public safety;IJmond (CR);2017;2;19;-17;8;97;-89
4348;Total public safety;IJmond (CR);2018;1;20;-19;3;100;-98
4349;Total public safety;IJmond (CR);2019;0;20;-20;2;103;-102
4350;Total public safety;IJmond (CR);2020;0;22;-22;2;111;-108
4351;Total public safety;IJmond (CR);2021;2;24;-22;11;123;-112
4352;Total public safety;IJmond (CR);2022;1;24;-24;3;122;-119
4353;Total public safety;IJmond (CR);2023;0;27;-27;2;136;-134
4354;Total public safety;Agglomeratie Haarlem (CR);2017;2;26;-25;7;114;-108
4355;Total public safety;Agglomeratie Haarlem (CR);2018;2;28;-26;10;122;-113
4356;Total public safety;Agglomeratie Haarlem (CR);2019;3;31;-28;13;134;-121
4357;Total public safety;Agglomeratie Haarlem (CR);2020;4;34;-30;19;147;-128
4358;Total public safety;Agglomeratie Haarlem (CR);2021;8;41;-33;36;179;-143
4359;Total public safety;Agglomeratie Haarlem (CR);2022;8;42;-34;36;181;-145
4360;Total public safety;Agglomeratie Haarlem (CR);2023;8;46;-38;34;197;-163
4361;Total public safety;Zaanstreek (CR);2017;1;19;-19;4;113;-109
4362;Total public safety;Zaanstreek (CR);2018;3;21;-19;15;124;-109
4363;Total public safety;Zaanstreek (CR);2019;2;18;-16;10;102;-92
4364;Total public safety;Zaanstreek (CR);2020;2;18;-17;10;107;-96
4365;Total public safety;Zaanstreek (CR);2021;3;24;-21;17;138;-121
4366;Total public safety;Zaanstreek (CR);2022;3;24;-21;18;141;-123
4367;Total public safety;Zaanstreek (CR);2023;3;27;-24;17;155;-137
4368;Total public safety;Groot-Amsterdam (CR);2017;19;225;-206;14;167;-154
4369;Total public safety;Groot-Amsterdam (CR);2018;16;216;-200;12;159;-147
4370;Total public safety;Groot-Amsterdam (CR);2019;25;247;-222;18;180;-161
4371;Total public safety;Groot-Amsterdam (CR);2020;22;264;-241;16;189;-173
4372;Total public safety;Groot-Amsterdam (CR);2021;32;286;-254;23;205;-182
4373;Total public safety;Groot-Amsterdam (CR);2022;24;295;-271;17;206;-190
4374;Total public safety;Groot-Amsterdam (CR);2023;24;313;-289;16;215;-198
4375;Total public safety;Het Gooi en Vechtstreek (CR);2017;1;27;-26;4;106;-103
4376;Total public safety;Het Gooi en Vechtstreek (CR);2018;2;29;-27;8;115;-107
4377;Total public safety;Het Gooi en Vechtstreek (CR);2019;1;31;-30;2;120;-118
4378;Total public safety;Het Gooi en Vechtstreek (CR);2020;1;32;-31;2;124;-122
4379;Total public safety;Het Gooi en Vechtstreek (CR);2021;1;33;-32;5;128;-123
4380;Total public safety;Het Gooi en Vechtstreek (CR);2022;3;31;-28;14;129;-115
4381;Total public safety;Het Gooi en Vechtstreek (CR);2023;3;36;-32;14;146;-132
4382;Total public safety;Agglomeratie Leiden en Bollenstreek (CR);2017;3;38;-35;7;89;-82
4383;Total public safety;Agglomeratie Leiden en Bollenstreek (CR);2018;3;37;-34;6;86;-80
4384;Total public safety;Agglomeratie Leiden en Bollenstreek (CR);2019;3;39;-36;7;92;-85
4385;Total public safety;Agglomeratie Leiden en Bollenstreek (CR);2020;3;42;-38;7;96;-89
4386;Total public safety;Agglomeratie Leiden en Bollenstreek (CR);2021;4;43;-39;9;100;-91
4387;Total public safety;Agglomeratie Leiden en Bollenstreek (CR);2022;3;45;-42;7;103;-97
4388;Total public safety;Agglomeratie Leiden en Bollenstreek (CR);2023;3;48;-46;7;110;-103
4389;Total public safety;Agglomeratie 's-Gravenhage (CR);2017;5;115;-110;6;135;-129
4390;Total public safety;Agglomeratie 's-Gravenhage (CR);2018;5;113;-108;6;131;-125
4391;Total public safety;Agglomeratie 's-Gravenhage (CR);2019;8;118;-109;10;135;-125
4392;Total public safety;Agglomeratie 's-Gravenhage (CR);2020;18;129;-111;20;146;-126
4393;Total public safety;Agglomeratie 's-Gravenhage (CR);2021;14;140;-126;15;158;-142
4394;Total public safety;Agglomeratie 's-Gravenhage (CR);2022;12;137;-126;13;153;-140
4395;Total public safety;Agglomeratie 's-Gravenhage (CR);2023;11;141;-130;12;155;-143
4396;Total public safety;Delft en Westland (CR);2017;0;23;-23;1;102;-101
4397;Total public safety;Delft en Westland (CR);2018;0;23;-23;0;101;-101
4398;Total public safety;Delft en Westland (CR);2019;1;24;-23;6;105;-99
4399;Total public safety;Delft en Westland (CR);2020;1;28;-26;6;119;-112
4400;Total public safety;Delft en Westland (CR);2021;2;28;-26;9;121;-112
4401;Total public safety;Delft en Westland (CR);2022;3;29;-26;11;121;-109
4402;Total public safety;Delft en Westland (CR);2023;2;32;-30;10;133;-123
4403;Total public safety;Oost-Zuid-Holland (CR);2017;2;29;-27;5;89;-84
4404;Total public safety;Oost-Zuid-Holland (CR);2018;2;29;-28;6;90;-84
4405;Total public safety;Oost-Zuid-Holland (CR);2019;2;31;-29;5;94;-89
4406;Total public safety;Oost-Zuid-Holland (CR);2020;1;33;-31;4;97;-93
