ID;Geslacht;Niveau;Leerweg;Studierichting;Regio;Perioden;MboStudenten_1
165;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Brabant (PV);2020/'21;72910.0
166;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Brabant (PV);2021/'22;71810.0
167;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Brabant (PV);2022/'23;69440.0
168;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Brabant (PV);2023/'24;67290.0
169;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Brabant (PV);2024/'25;68120.0
170;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Limburg (PV);2015/'16;28860.0
171;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Limburg (PV);2016/'17;28520.0
172;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Limburg (PV);2017/'18;28310.0
173;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Limburg (PV);2018/'19;28420.0
174;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Limburg (PV);2019/'20;28660.0
175;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Limburg (PV);2020/'21;28850.0
176;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Limburg (PV);2021/'22;28600.0
177;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Limburg (PV);2022/'23;27600.0
178;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Limburg (PV);2023/'24;26780.0
179;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Limburg (PV);2024/'25;26620.0
180;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (PV);2015/'16;1360.0
181;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (PV);2016/'17;1190.0
182;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (PV);2017/'18;1640.0
183;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (PV);2018/'19;1670.0
184;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (PV);2019/'20;1740.0
185;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (PV);2020/'21;1900.0
186;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (PV);2021/'22;1770.0
187;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (PV);2022/'23;1900.0
188;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (PV);2023/'24;1890.0
189;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (PV);2024/'25;2040.0
190;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Amsterdam;2015/'16;17080.0
191;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Amsterdam;2016/'17;17180.0
192;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Amsterdam;2017/'18;17070.0
193;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Amsterdam;2018/'19;17420.0
194;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Amsterdam;2019/'20;17370.0
195;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Amsterdam;2020/'21;18100.0
196;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Amsterdam;2021/'22;18200.0
197;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Amsterdam;2022/'23;17210.0
198;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Amsterdam;2023/'24;16950.0
199;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Amsterdam;2024/'25;16740.0
200;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;'s-Gravenhage (gemeente);2015/'16;12700.0
201;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;'s-Gravenhage (gemeente);2016/'17;12960.0
202;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;'s-Gravenhage (gemeente);2017/'18;13380.0
203;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;'s-Gravenhage (gemeente);2018/'19;13810.0
204;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;'s-Gravenhage (gemeente);2019/'20;13980.0
205;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;'s-Gravenhage (gemeente);2020/'21;14420.0
206;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;'s-Gravenhage (gemeente);2021/'22;14460.0
207;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;'s-Gravenhage (gemeente);2022/'23;13930.0
208;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;'s-Gravenhage (gemeente);2023/'24;13490.0
209;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;'s-Gravenhage (gemeente);2024/'25;13410.0
210;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Rotterdam;2015/'16;21470.0
211;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Rotterdam;2016/'17;21250.0
212;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Rotterdam;2017/'18;20720.0
213;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Rotterdam;2018/'19;20460.0
214;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Rotterdam;2019/'20;20530.0
215;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Rotterdam;2020/'21;20820.0
216;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Rotterdam;2021/'22;20610.0
217;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Rotterdam;2022/'23;19400.0
218;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Rotterdam;2023/'24;18780.0
219;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Rotterdam;2024/'25;18630.0
220;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Utrecht (gemeente);2015/'16;6290.0
221;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Utrecht (gemeente);2016/'17;6600.0
