ID;Dimensions;Periods;Total_1;GrossDomesticProduct_2;Total_3;ImportsOfGoods_4;ImportsOfServices_5;Total_6;Total_7;Total_8;ConsumptionByHouseholds_9;ConsumptionByGeneralGovernment_10;Total_11;ByEnterprisesAndHouseholds_12;ByGovernment_13;ChangesInInventories_14;Total_15;ExportsOfGoods_16;ExportsOfServices_17;Total_18;AFAgricultureAndIndustry_19;AAgricultureForestryAndFishing_20;Total_21;BMiningAndQuarrying_22;Total_23;k_1012ManufactureOfFoodAndBeverages_24;k_1315ManOfTextileLeatherproducts_25;k_1618ManOfWoodPaperPrinting_26;k_19ManufactureOfCokeAndPetroleum_27;k_2021ManOfChemicalsPharmaceuticals_28;k_2223ManOfRubberPlasticsMinerals_29;k_2425ManOfBasicMetalsAndProducts_30;k_2627ManOfElectricElectronicProd_31;k_28ManOfOtherMachineryAndEquipment_32;k_2930ManOfTransportEquipment_33;k_3133ManOfOtherProductsAndRepair_34;DElectricityAndGasSupply_35;EWaterSupplyAndWasteManagement_36;FConstruction_37;GNCommercialServices_38;Total_39;GWholesaleAndRetailTrade_40;HTransportationAndStorage_41;IAccommodationAndFoodServing_42;JInformationAndCommunication_43;KFinancialInstitutions_44;LRentingBuyingSellingRealEstate_45;Total_46;MSpecialisedBusinessServices_47;Total_48;k_77RentingAndLeasingOfTangibleGoods_49;k_78EmploymentActivities_50;k_79TravelAgenciesTourOperatorsEtc_51;k_8082SecurityAndOtherServices_52;OUNoncommercialServices_53;Total_54;Total_55;OPublicAdministrationAndServices_56;PEducation_57;QHealthAndSocialWorkActivities_58;RUCultureRecreationOtherServices_59;TaxesLessSubsidiesOnProducts_60;TaxesOnProducts_61;SubsidiesOnProducts_62;DifferenceImputedAndPaidVAT_63;GrossDomesticProduct_64;CompensationOfEmployees_65;OperatingSurplusNet_66;TaxesLessSubsidies_67;TaxesOnProductionAndImports_68;Subsidies_69;NetDomesticProduct_70;ConsumptionOfFixedCapital_71;GrossDomesticProduct_72;GrossDomesticProduct_73;NetPrimaryIncomeAbroad_74;PrimaryIncomeAbroadReceived_75;PrimaryIncomeAbroadPaid_76;GrossNationalIncome_77;NetCurrentTransfersAbroad_78;CurrentTransfersAbroadReceived_79;CurrentTransfersAbroadPaid_80;GrossDisposableNationalIncome_81;FinalConsumptionExpenditure_82;AdjustmentForEquityPensionFunds_83;GrossNationalSaving_84;GrossFixedCapitalFormation_85;SurplusOfTheNationOnIncome_86;NetExportsOfGoods_87;NetExportsOfServices_88;NetPrimaryIncomeAbroad_89;NetCurrentTransfersAbroad_90;AdjustmentForEquityPensionFunds_91;SurplusOfNationOnCurrentTransaction_92;NetCapitalTransfersAbroad_93;CapitalTransfersAbroadReceived_94;CapitalTransfersAbroadPaid_95;NationalNetLendingOrNetBorrowing_96;TotalConsumptionExpenditure_97;Total_98;Total_99;Total_100;Food_101;BeveragesAndTobacco_102;Total_103;ClothingAndFootwear_104;VehiclesAndParts_105;HomeFurnishingAndOtherDurableGoods_106;Total_107;EnergyAndWater_108;MotorFuelAndOtherGoods_109;Total_110;Housing_111;HotelsAndRestaurantsServices_112;RecreationalAndCulturalServices_113;TransportAndCommunicationServices_114;MedicalServicesAndWelfare_115;FinancialAndBusinessServices_116;OtherServices_117;DomesticConsumption_118;ConsumptionByResidentsAbroad_119;ConsumptionForeignerInTheNetherlands_120;Total_121;IndividualConsumptionByGovernment_122;CollectiveConsumptionByGovernment_123;TotalConsumptionExpenditure_124;ActualIndividualConsumption_125;ActualCollectiveFinalConsumption_126;TotalGrossFixedCapitalFormation_127;Total_128;Dwellings_129;Total_130;NonResidentialBuildings_131;CivilEngineeringWorks_132;TransportEquipment_133;Total_134;MachineryAndEquipment_135;Computers_136;CultivatedAssetsTreesAndLivestock_137;Total_138;OtherTangibleFixedAssets_139;IntangibleFixedAssets_140;TransfersCostsOfGround_141;SalesOfExistingFixedAssets_142;TotalGrossFixedCapitalFormation_143;Total_144;AAgricultureForestryAndFishing_145;BFIndustryAndEnergy_146;GNCommercialServices_147;OUNoncommercialServices_148;SalesOfExistingFixedAssets_149;TotalExports_150;ProductsOfAgricultureAndFishing_151;CrudeOilGasAndOtherMinerals_152;FoodBeveragesAndTobaccoProducts_153;TextilesWearingApparelAndLeather_154;PaperPrintedMatterAndRecordedMedia_155;CokePetroleumProductsAndOtherFuel_156;ChemicalProductsAndManMadeFibres_157;RubberEnPlasticProducts_158;BasicMetalsAndMetalProducts_159;MachineryAndEquipmentIE_160;ElectricalMachineryOpticalEquipment_161;TransportEquipment_162;OtherManufacturedProductsIE_163;TransportAndCommunicationServices_164;FinancialAndBusinessServices_165;OtherProducts_166;ConsumptionForeignerInTheNetherlands_167;ExportsOfUsedFixedCapitalGoods_168;CifFobAdjustment_169;Total_170;ExportsOfGoodsFromProduction_171;ReExports_172;ExportsOfUsedFixedCapitalGoods_173;Total_174;ConsumptionForeignerInTheNetherlands_175;OtherExportsOfServices_176;CifFobAdjustment_177;Total_178;ProductsOfAgricultureAndFishing_179;CrudeOilGasAndOtherMinerals_180;FoodBeveragesAndTobaccoProducts_181;TextilesWearingApparelAndLeather_182;PaperPrintedMatterAndRecordedMedia_183;CokePetroleumProductsAndOtherFuel_184;ChemicalProductsAndManMadeFibres_185;RubberEnPlasticProducts_186;BasicMetalsAndMetalProducts_187;MachineryAndEquipmentIE_188;ElectricalMachineryOpticalEquipment_189;TransportEquipment_190;OtherManufacturedProductsIE_191;OtherProducts_192;ConsumptionByResidentsAbroad_193;CifFobAdjustment_194;Total_195;ImportOfGoodsCif_196;CifFobAdjustmentAndReclassification_197;Total_198;ImportsOfServicesCif_199;CifFobReclassification_200;TotalTaxesOnProductionAndImports_201;TaxesOnProducts_202;OtherTaxesOnProduction_203;TotalSubsidies_204;SubsidiesOnProducts_205;OtherSubsidiesOnProduction_206
423;Current prices, seasonally adjusted;1994 1st quarter;106742;71090;35754;27385;8469;106742;66783;52360;35387;17020;14559;12297;2278;-315;40233;31389;8826;64913;19654;2264;13812;1768;10476;;;;;;;;;;;;998;540;3569;30305;13324;;;;2049;3811;5051;6027;;;;;;;14986;13420;;;;;1572;;;;;71090;;16670.0;6512.0;;;;10741.0;71090;71090;;;;;;;;;52360;;;14243;;;;;;;;;;;;52360;35387;;;;;;;;;;;;;;;;;;;;;;;17020;8982;8058;52360;44267;8058;14559;14841;3732;3996;;;1571;3541;;;86;1700;;;;240;14559;14841;580;3025;8370;2800;240;40233;;;;;;;;;;;;;;;;;;;;31389;;;;8826;;;;35754;;;;;;;;;;;;;;;;;27385;;;8469;;;;;;;;
424;Current prices, seasonally adjusted;1994 2nd quarter;108645;72077;36762;28262;8466;108645;67671;53267;35900;17284;14585;12230;2353;-94;41033;32107;8893;65785;20032;2358;13928;1875;10532;;;;;;;;;;;;1001;551;3768;30615;13492;;;;2093;3793;5115;6102;;;;;;;15053;13458;;;;;1594;;;;;72077;;16962.0;6561.0;;;;10856.0;72077;72077;;;;;;;;;53267;;;14491;;;;;;;;;;;;53267;35900;;;;;;;;;;;;;;;;;;;;;;;17284;9085;8180;53267;45053;8180;14585;14802;4146;4290;;;1570;3195;;;85;1575;;;;218;14585;14802;568;2778;8591;2876;218;41033;;;;;;;;;;;;;;;;;;;;32107;;;;8893;;;;36762;;;;;;;;;;;;;;;;;28262;;;8466;;;;;;;;
425;Current prices, seasonally adjusted;1994 3rd quarter;110761;72990;37419;28721;8629;110761;68924;53692;36261;17411;15195;12929;2264;176;41466;32382;9115;66517;20275;2393;14114;1846;10639;;;;;;;;;;;;990;567;3804;31190;13622;;;;2128;3852;5219;6378;;;;;;;15131;13519;;;;;1610;;;;;72990;;17617.0;6729.0;;;;10965.0;72990;72990;;;;;;;;;53692;;;15371;;;;;;;;;;;;53692;36261;;;;;;;;;;;;;;;;;;;;;;;17411;9193;8207;53692;45516;8207;15195;15363;4246;4151;;;1567;3658;;;98;1639;;;;241;15195;15363;568;3339;8731;2831;241;41466;;;;;;;;;;;;;;;;;;;;32382;;;;9115;;;;37419;;;;;;;;;;;;;;;;;28721;;;8629;;;;;;;;
426;Current prices, seasonally adjusted;1994 4th quarter;112277;74058;38441;29654;8791;112277;70338;54018;36536;17538;15310;12962;2337;963;41977;32892;9105;67378;20444;2092;14483;1644;11373;;;;;;;;;;;;968;570;3818;31614;13852;;;;2156;3938;5328;6395;;;;;;;15183;13573;;;;;1607;;;;;74058;;17836.0;6923.0;;;;11074.0;74058;74058;;;;;;;;;54018;;;16273;;;;;;;;;;;;54018;36536;;;;;;;;;;;;;;;;;;;;;;;17538;9295;8255;54018;45802;8255;15310;15594;4418;4321;;;1701;3553;;;98;1665;;;;252;15310;15594;588;3053;9040;2862;252;41977;;;;;;;;;;;;;;;;;;;;32892;;;;9105;;;;38441;;;;;;;;;;;;;;;;;29654;;;8791;;;;;;;;
427;Current prices, seasonally adjusted;1994;438425;290048;148377;114022;34355;438425;273716;213338;144084;69254;59649;50418;9231;729;164709;128770;35939;264481;80404;9107;56338;7133;43021;8514.0;1378.0;4252.0;950.0;6891.0;3375.0;5135.0;3667.0;2622.0;1531.0;4706.0;3957;2227;14959;123724;54290;34277.0;15022.0;4991.0;8427;15394;20712;24901;;;;4062.0;479.0;;60353;53970;34294.0;;;19676.0;6383;24086.0;30740.0;6654.0;1481.0;290048;;69085.0;26724.0;34018.0;7294.0;246412.0;43636.0;290048;290048;1960.0;50594.0;48634.0;292008.0;-3163.0;2701.0;5864.0;288845.0;213338;112.0;75619.0;60378;15241.0;14748.0;1584.0;1960.0;-3163.0;112.0;15241.0;-1049.0;763.0;1812.0;14192.0;213338;144084;74695.0;24070.0;;;31020.0;;;;19605.0;;;68017.0;;;;;;;;142712.0;6551.0;5179.0;69254;36554;32700;213338;180638;32700;59649;60600;16542;16758;9906.0;6852.0;6408;13946;11181.0;2765.0;367;6579;3195.0;2731.0;653.0;951;59649;60600;2304;12194;34732;11370;951;164709;;;;;;;;;;;;;;;;;;;;128770;;;;35939;;;;148377;;;;;;;;;;;;;;;;;114022;;;34355;;;34018.0;30740.0;3278.0;7294.0;6654.0;640.0
428;Current prices, seasonally adjusted;1995 1st quarter;115339;74960;40273;31383;8955;115339;70829;54875;37092;17810;15780;13389;2399;-9;44252;35223;9003;67858;20831;2273;14711;1749;11430;;;;;;;;;;;;1000;577;3781;31673;13745;;;;2174;4231;4950;6495;;;;;;;15246;13633;;;;;1619;;;;;74960;37661.0;18016.0;7682.0;;;;11133.0;74960;74960;;;;;;;;;54875;;;15771;;;;;;;;;;;;54875;37092;;;;;;;;;;;;;;;;;;;;;;;17810;9395;8446;54875;46393;8446;15780;16040;4224;4307;;;1753;3687;;;100;1747;;;;220;15780;16040;582;3408;9112;2912;220;44252;;;;;;;;;;;;;;;;;;;;35223;;;;9003;;;;40273;;;;;;;;;;;;;;;;;31383;;;8955;;;;;;;;
429;Current prices, seasonally adjusted;1995 2nd quarter;116825;75909;41375;32144;9190;116825;70988;55657;37522;18063;15946;13603;2340;-540;46101;36875;9159;68482;20809;2256;14919;1914;11389;;;;;;;;;;;;1068;588;3710;32080;13815;;;;2219;4274;5085;6702;;;;;;;15388;13736;;;;;1647;;;;;75909;38760.0;18058.0;7690.0;;;;11242.0;75909;75909;;;;;;;;;55657;;;15406;;;;;;;;;;;;55657;37522;;;;;;;;;;;;;;;;;;;;;;;18063;9435;8614;55657;47018;8614;15946;16105;4086;4272;;;1923;3943;;;107;1838;;;;164;15946;16105;570;3547;9099;2840;164;46101;;;;;;;;;;;;;;;;;;;;36875;;;;9159;;;;41375;;;;;;;;;;;;;;;;;32144;;;9190;;;;;;;;
430;Current prices, seasonally adjusted;1995 3rd quarter;117845;77122;40542;31105;9387;117845;72520;56470;38137;18321;15485;13072;2404;689;44998;35915;9232;69621;21441;2368;15140;1795;11516;;;;;;;;;;;;1078;615;3930;32700;14046;;;;2255;4371;5128;6925;;;;;;;15489;13827;;;;;1663;;;;;77122;39351.0;18560.0;7760.0;;;;11362.0;77122;77122;;;;;;;;;56470;;;16174;;;;;;;;;;;;56470;38137;;;;;;;;;;;;;;;;;;;;;;;18321;9568;8731;56470;47770;8731;15485;15578;4328;4377;;;1885;3137;;;103;1718;;;;147;15485;15578;565;3087;9221;2846;147;44998;;;;;;;;;;;;;;;;;;;;35915;;;;9232;;;;40542;;;;;;;;;;;;;;;;;31105;;;9387;;;;;;;;
431;Current prices, seasonally adjusted;1995 4th quarter;119128;77887;41685;32235;9477;119128;73581;56743;38307;18493;16290;13804;2488;533;45868;36354;9459;70176;21027;2364;14860;1910;11379;;;;;;;;;;;;1006;617;3795;33337;14195;;;;2330;4508;5273;7069;;;;;;;15666;13974;;;;;1690;;;;;77887;40065.0;18529.0;7903.0;;;;11489.0;77887;77887;;;;;;;;;56743;;;16823;;;;;;;;;;;;56743;38307;;;;;;;;;;;;;;;;;;;;;;;18493;9701;8798;56743;47977;8798;16290;16486;4316;4533;;;1887;3920;;;104;1918;;;;180;16290;16486;591;3437;9431;2962;180;45868;;;;;;;;;;;;;;;;;;;;36354;;;;9459;;;;41685;;;;;;;;;;;;;;;;;32235;;;9477;;;;;;;;
432;Current prices, seasonally adjusted;1995;469137;305261;163876;126867;37009;469137;287918;223745;151058;72687;63500;53868;9632;673;181219;144366;36853;275686;84108;9261;59630;7367;45714;8939.0;1304.0;4412.0;668.0;8261.0;3431.0;5598.0;3655.0;2610.0;1773.0;5063.0;4152;2397;15217;129790;55801;35494.0;15194.0;5113.0;8978;17384;20436;27191;;;;5030.0;497.0;;61788;55170;34846.0;;;20324.0;6618;28558.0;32666.0;4108.0;1017.0;305261;155837.0;73163.0;31035.0;35973.0;4938.0;260035.0;45226.0;305261;305261;4535.0;53829.0;49294.0;309796.0;-3088.0;2946.0;6034.0;306708.0;223745;54.0;83017.0;64173;18844.0;17499.0;-156.0;4535.0;-3088.0;54.0;18844.0;-1102.0;826.0;1928.0;17742.0;223745;151058;77017.0;24708.0;15581.0;9127.0;31653.0;9667.0;6502.0;15484.0;20656.0;6166.0;14490.0;72416.0;23526.0;8318.0;4164.0;7508.0;6960.0;12511.0;9429.0;149433.0;7106.0;5481.0;72687;38099;34588;223745;189157;34588;63500;64210;16954;17488;10367.0;7121.0;7447;14687;11950.0;2737.0;414;7220;3352.0;3035.0;833.0;710;63500;64210;2308;13478;36864;11560;710;181219;11253.0;3850.0;23548.0;5857.0;5196.0;6581.0;25716.0;4559.0;10658.0;9086.0;22296.0;7398.0;4756.0;12195.0;15539.0;8372.0;5481.0;283.0;-1405.0;144366;96707.0;47376.0;283.0;36853;5481.0;32777.0;-1405.0;163876;7623.0;7515.0;11173.0;7740.0;5899.0;2497.0;16751.0;4712.0;10875.0;10286.0;23508.0;11752.0;7328.0;30516.0;7106.0;-1405.0;126867;131332.0;4465.0;37009;33949.0;3060.0;35973.0;32666.0;3307.0;4938.0;4108.0;830.0
433;Current prices, seasonally adjusted;1996 1st quarter;119817;77892;42044;32369;9780;119817;73602;57300;39354;17777;15814;13436;2377;307;46396;36673;9687;70130;20869;2268;15111;2068;11220;;;;;;;;;;;;1101;628;3360;33781;14055;;;;2456;4429;5392;7353;;;;;;;15467;13764;;;;;1699;;;;;77892;39323.0;18423.0;8088.0;;;;11589.0;77892;77892;;;;;;;;;57300;;;16121;;;;;;;;;;;;57300;39354;;;;;;;;;;;;;;;;;;;;;;;17777;9318;8511;57300;48720;8511;15814;16041;3721;3726;;;1945;4002;;;90;2211;;;;196;15814;16041;570;3452;9149;2870;196;46396;;;;;;;;;;;;;;;;;;;;36673;;;;9687;;;;42044;;;;;;;;;;;;;;;;;32369;;;9780;;;;;;;;
434;Current prices, seasonally adjusted;1996 2nd quarter;122296;79847;42661;32564;10027;122296;75584;58013;39911;18142;17295;14605;2707;360;46852;36957;9868;71593;21383;2348;15140;2016;11453;;;;;;;;;;;;1090;647;4002;34437;14428;;;;2526;4469;5520;7537;;;;;;;15648;13924;;;;;1724;;;;;79847;40256.0;19720.0;8369.0;;;;11709.0;79847;79847;;;;;;;;;58013;;;17655;;;;;;;;;;;;58013;39911;;;;;;;;;;;;;;;;;;;;;;;18142;9391;8740;58013;49282;8740;17295;17493;4697;4811;;;1790;4078;;;91;2169;;;;202;17295;17493;573;3646;9974;3232;202;46852;;;;;;;;;;;;;;;;;;;;36957;;;;9868;;;;42661;;;;;;;;;;;;;;;;;32564;;;10027;;;;;;;;
435;Current prices, seasonally adjusted;1996 3rd quarter;124583;80587;43633;33479;10100;124583;76013;58678;40324;18383;17721;14911;2786;-182;48055;38138;10042;72280;21658;2254;15278;2059;11488;;;;;;;;;;;;1099;649;4135;34897;14426;;;;2589;4624;5608;7691;;;;;;;15736;13984;;;;;1754;;;;;80587;40804.0;19464.0;8465.0;;;;11849.0;80587;80587;;;;;;;;;58678;;;17539;;;;;;;;;;;;58678;40324;;;;;;;;;;;;;;;;;;;;;;;18383;9521;8829;58678;49896;8829;17721;17887;4951;4820;;;1810;3884;;;102;2253;;;;206;17721;17887;594;3822;10351;3231;206;48055;;;;;;;;;;;;;;;;;;;;38138;;;;10042;;;;43633;;;;;;;;;;;;;;;;;33479;;;10100;;;;;;;;
436;Current prices, seasonally adjusted;1996 4th quarter;126848;81677;45452;35049;10420;126848;77671;59497;41069;18528;18320;15542;2786;-252;49371;39131;10178;73290;21723;2225;15362;2064;11571;;;;;;;;;;;;1076;660;4151;35563;14688;;;;2633;4713;5730;7811;;;;;;;15918;14140;;;;;1778;;;;;81677;41437.0;19797.0;8460.0;;;;12003.0;81677;81677;;;;;;;;;59497;;;18068;;;;;;;;;;;;59497;41069;;;;;;;;;;;;;;;;;;;;;;;18528;9647;8872;59497;50638;8872;18320;18526;4952;4777;;;2042;4532;;;106;2390;;;;195;18320;18526;608;4010;10611;3256;195;49371;;;;;;;;;;;;;;;;;;;;39131;;;;10178;;;;45452;;;;;;;;;;;;;;;;;35049;;;10420;;;;;;;;
437;Current prices, seasonally adjusted;1996;493544;319755;173789;133461;40328;493544;302870;233488;160658;72830;69149;58494;10655;233;190674;150899;39775;287079;85633;9095;60890;8207;45732;8987.0;1210.0;4482.0;728.0;7982.0;3530.0;5538.0;3491.0;2830.0;1739.0;5215.0;4367;2584;15648;138678;57596;36812.0;15449.0;5335.0;10204;18235;22251;30392;;;;6230.0;507.0;;62768;55813;34987.0;;;20826.0;6955;31524.0;35010.0;3486.0;1152.0;319755;161820.0;77403.0;33382.0;38435.0;5053.0;272605.0;47150.0;319755;319755;2855.0;55495.0;52640.0;322610.0;-3917.0;3093.0;7010.0;318693.0;233488;85.0;85290.0;69382;15908.0;17438.0;-553.0;2855.0;-3917.0;85.0;15908.0;-1801.0;1245.0;3046.0;14107.0;233488;160658;81629.0;25524.0;16072.0;9452.0;33254.0;9937.0;6721.0;16596.0;22851.0;7067.0;15784.0;77451.0;25083.0;8790.0;4549.0;8460.0;7700.0;13119.0;9750.0;159080.0;7400.0;5822.0;72830;37878;34952;233488;198536;34952;69149;69948;18321;18133;10470.0;7663.0;7587;16496;13341.0;3155.0;388;9023;3669.0;4375.0;979.0;799;69149;69948;2345;14929;40085;12589;799;190674;11432.0;4340.0;23806.0;6096.0;4902.0;7901.0;25838.0;4585.0;10020.0;9708.0;25229.0;8052.0;4894.0;12705.0;17404.0;9094.0;5822.0;324.0;-1478.0;150899;100328.0;50247.0;324.0;39775;5822.0;35431.0;-1478.0;173789;8064.0;9381.0;11287.0;7991.0;5578.0;2983.0;16730.0;4761.0;10326.0;11053.0;25991.0;12482.0;7662.0;33578.0;7400.0;-1478.0;133461;138158.0;4697.0;40328;37109.0;3219.0;38435.0;35010.0;3425.0;5053.0;3486.0;1567.0
438;Current prices, seasonally adjusted;1997 1st quarter;128865;83116;46311;35696;10690;128865;78309;60204;41602;18654;18371;15982;2356;-355;51441;40606;10765;74488;21694;2501;15234;2164;11228;;;;;;;;;;;;997;681;3839;36652;15289;;;;2868;4631;5929;7904;;;;;;;16148;14315;;;;;1835;;;;;83116;41718.0;19806.0;8701.0;;;;12092.0;83116;83116;;;;;;;;;60204;;;18016;;;;;;;;;;;;60204;41602;;;;;;;;;;;;;;;;;;;;;;;18654;9929;8766;60204;51371;8766;18371;18570;4676;4177;;;1863;4838;;;104;2562;;;;184;18371;18570;654;4177;10833;2902;184;51441;;;;;;;;;;;;;;;;;;;;40606;;;;10765;;;;46311;;;;;;;;;;;;;;;;;35696;;;10690;;;;;;;;
439;Current prices, seasonally adjusted;1997 2nd quarter;133934;84885;49017;37773;11170;133934;80323;61160;42156;18974;19052;16532;2511;162;53236;42151;11123;76086;22152;2523;15627;2160;11935;;;;;;;;;;;;976;696;4112;37474;15689;;;;2970;4679;6043;8107;;;;;;;16305;14446;;;;;1862;;;;;84885;42394.0;22042.0;8909.0;;;;12232.0;84885;84885;;;;;;;;;61160;;;19213;;;;;;;;;;;;61160;42156;;;;;;;;;;;;;;;;;;;;;;;18974;10063;8899;61160;52296;8899;19052;19234;5068;4639;;;1798;4960;;;262;2652;;;;190;19052;19234;760;4489;10978;2900;190;53236;;;;;;;;;;;;;;;;;;;;42151;;;;11123;;;;49017;;;;;;;;;;;;;;;;;37773;;;11170;;;;;;;;
440;Current prices, seasonally adjusted;1997 3rd quarter;137401;86387;50688;39112;11567;137401;81266;62146;42788;19318;18885;16289;2596;387;55413;43749;11773;77357;22338;2646;15502;2097;11829;;;;;;;;;;;;928;710;4173;38343;15995;;;;3115;4773;6186;8318;;;;;;;16558;14660;;;;;1896;;;;;86387;43128.0;21547.0;9139.0;;;;12396.0;86387;86387;;;;;;;;;62146;;;19271;;;;;;;;;;;;62146;42788;;;;;;;;;;;;;;;;;;;;;;;19318;10232;9061;62146;53131;9061;18885;19077;5060;4679;;;2012;4252;;;254;2738;;;;207;18885;19077;805;3844;11442;3071;207;55413;;;;;;;;;;;;;;;;;;;;43749;;;;11773;;;;50688;;;;;;;;;;;;;;;;;39112;;;11567;;;;;;;;
441;Current prices, seasonally adjusted;1997 4th quarter;139322;88356;51268;39271;12005;139322;82932;63142;43634;19525;18811;16285;2566;867;56602;44429;12096;79014;22721;2580;15844;1994;12087;;;;;;;;;;;;1006;721;4323;39409;16436;;;;3203;4892;6322;8529;;;;;;;16746;14812;;;;;1931;;;;;88356;43982.0;22181.0;9381.0;;;;12589.0;88356;88356;;;;;;;;;63142;;;19678;;;;;;;;;;;;63142;43634;;;;;;;;;;;;;;;;;;;;;;;19525;10386;9136;63142;53992;9136;18811;19006;5124;4722;;;1863;4565;;;191;2827;;;;189;18811;19006;758;3848;11416;3012;189;56602;;;;;;;;;;;;;;;;;;;;44429;;;;12096;;;;51268;;;;;;;;;;;;;;;;;39271;;;12005;;;;;;;;
442;Current prices, seasonally adjusted;1997;539521;342237;197284;151852;45432;539521;322830;246651;170179;76472;75118;65088;10030;1061;216691;170935;45756;306539;88904;10250;62207;8415;47078;9016.0;1209.0;4547.0;627.0;8349.0;3497.0;5726.0;3477.0;3164.0;2041.0;5425.0;3906;2808;16447;151878;63409;40410.0;17151.0;5848.0;12156;18975;24480;32858;;;;7110.0;526.0;;65757;58233;36243.0;;;21990.0;7524;34723.0;38263.0;3540.0;975.0;342237;171222.0;85575.0;36131.0;41702.0;5571.0;292928.0;49309.0;342237;342237;4563.0;77398.0;72835.0;346800.0;-4100.0;3591.0;7691.0;342700.0;246651;106.0;96155.0;76179;19976.0;19083.0;324.0;4563.0;-4100.0;106.0;19976.0;-1002.0;1673.0;2675.0;18974.0;246651;170179;85989.0;26706.0;16729.0;9977.0;35330.0;10482.0;6871.0;17977.0;23953.0;7029.0;16924.0;83031.0;26486.0;9398.0;5082.0;9534.0;7737.0;14436.0;10358.0;169020.0;7867.0;6708.0;76472;40610;35862;246651;210789;35862;75118;75888;19928;18218;10861.0;7357.0;7536;18615;15032.0;3583.0;811;10780;4387.0;5381.0;1012.0;770;75118;75888;2977;16358;44669;11884;770;216691;11770.0;4625.0;25224.0;6754.0;5152.0;8659.0;28751.0;4860.0;11312.0;10074.0;34542.0;8923.0;5180.0;14231.0;20575.0;10628.0;6708.0;405.0;-1682.0;170935;108585.0;61945.0;405.0;45756;6708.0;40730.0;-1682.0;197284;8846.0;10175.0;11851.0;8972.0;5672.0;3491.0;18674.0;5057.0;12043.0;10938.0;34508.0;13680.0;8766.0;38426.0;7867.0;-1682.0;151852;157196.0;5344.0;45432;41770.0;3662.0;41702.0;38263.0;3439.0;5571.0;3540.0;2031.0
443;Current prices, seasonally adjusted;1998 1st quarter;141165;89163;52436;40148;12382;141165;85578;63987;44340;19691;20140;17455;2649;1448;56268;44265;12014;79850;22743;2437;15876;1776;12311;;;;;;;;;;;;1079;707;4347;40116;16833;;;;3314;4835;6457;8645;;;;;;;16962;15000;;;;;1962;;;;;89163;44848.0;21766.0;9214.0;;;;12811.0;89163;89163;;;;;;;;;63987;;;21588;;;;;;;;;;;;63987;44340;;;;;;;;;;;;;;;;;;;;;;;19691;10552;9159;63987;54784;9159;20140;20354;5359;4799;;;2002;4668;;;72;3168;;;;212;20140;20354;660;3708;12784;3178;212;56268;;;;;;;;;;;;;;;;;;;;44265;;;;12014;;;;52436;;;;;;;;;;;;;;;;;40148;;;12382;;;;;;;;
444;Current prices, seasonally adjusted;1998 2nd quarter;142169;90074;52211;39796;12367;142169;85343;65153;45216;19918;19541;16923;2613;670;56666;44421;12261;80590;22615;2381;16000;1786;12444;;;;;;;;;;;;1044;723;4319;40687;16977;;;;3433;4844;6592;8828;;;;;;;17200;15195;;;;;2008;;;;;90074;45597.0;22224.0;9377.0;;;;12988.0;90074;90074;;;;;;;;;65153;;;20212;;;;;;;;;;;;65153;45216;;;;;;;;;;;;;;;;;;;;;;;19918;10728;9175;65153;56002;9175;19541;19744;5139;4818;;;2028;4619;;;80;3266;;;;213;19541;19744;639;3888;12194;3078;213;56666;;;;;;;;;;;;;;;;;;;;44421;;;;12261;;;;52211;;;;;;;;;;;;;;;;;39796;;;12367;;;;;;;;
445;Current prices, seasonally adjusted;1998 3rd quarter;144234;91259;52636;39957;12636;144234;86918;66526;46188;20328;20460;17772;2703;60;56699;44367;12376;81523;22595;2248;15918;1783;12335;;;;;;;;;;;;1029;733;4439;41357;17315;;;;3590;4839;6711;8987;;;;;;;17431;15397;;;;;2031;;;;;91259;46346.0;21913.0;9709.0;;;;13175.0;91259;91259;;;;;;;;;66526;;;20520;;;;;;;;;;;;66526;46188;;;;;;;;;;;;;;;;;;;;;;;20328;10933;9383;66526;57190;9383;20460;20658;5292;4989;;;2288;4596;;;80;3334;;;;207;20460;20658;632;3976;12790;3217;207;56699;;;;;;;;;;;;;;;;;;;;44367;;;;12376;;;;52636;;;;;;;;;;;;;;;;;39957;;;12636;;;;;;;;
446;Current prices, seasonally adjusted;1998 4th quarter;144698;92346;52519;39924;12591;144698;87661;67364;46796;20553;20320;17577;2769;-169;57134;44486;12575;82395;22503;2186;15855;1735;12346;;;;;;;;;;;;1071;748;4447;42169;17467;;;;3703;4959;6827;9173;;;;;;;17650;15589;;;;;2062;;;;;92346;47263.0;21891.0;9934.0;;;;13409.0;92346;92346;;;;;;;;;67364;;;20151;;;;;;;;;;;;67364;46796;;;;;;;;;;;;;;;;;;;;;;;20553;11081;9478;67364;57859;9478;20320;20537;5363;5079;;;2332;4386;;;104;3431;;;;199;20320;20537;684;3590;12998;3275;199;57134;;;;;;;;;;;;;;;;;;;;44486;;;;12575;;;;52519;;;;;;;;;;;;;;;;;39924;;;12591;;;;;;;;
