ID;VorderingenEnSchulden;BalansstandenEnTransacties;Perioden;Totaal_1;ChartaalGeldEnDepositoS_2;TotaalEffectenBehalveAandelen_3;KortlopendeEffecten_4;LanglopendeEffecten_5;FinancieleDerivaten_6;TotaalLeningen_7;KortlopendeLeningen_8;LanglopendeLeningen_9;TotaalAandelenEnOverigeDeelnemingen_10;BeursgenoteerdeAandelen_11;OverigeAandelenEnDeelnemingen_12;HandelskredietenTransitorischePosten_13
130;Vorderingen;Overige mutaties;2000 2e kwartaal;-3960;-29;0;0;0;0.0;-90;0;-90;-3962.0;-4355.0;393.0;121
131;Vorderingen;Overige mutaties;2000 3e kwartaal;-9164;-30;0;0;0;0.0;-90;0;-90;-9165.0;-9553.0;388.0;121
132;Vorderingen;Overige mutaties;2000 4e kwartaal;-3779;36;0;0;0;0.0;-91;0;-91;-3845.0;-5146.0;1301.0;121
133;Vorderingen;Overige mutaties;2000;-12800;-62;0;0;0;0.0;-361;0;-361;-12861.0;-15336.0;2475.0;484
134;Vorderingen;Overige mutaties;2001 1e kwartaal;-1468;10;0;0;0;0.0;54;0;54;-1466.0;-1099.0;-367.0;-66
135;Vorderingen;Overige mutaties;2001 2e kwartaal;-129;16;0;0;0;0.0;54;0;54;-133.0;-1690.0;1557.0;-66
136;Vorderingen;Overige mutaties;2001 3e kwartaal;-2859;16;88;0;0;88.0;54;0;54;-2863.0;-2303.0;-560.0;-154
137;Vorderingen;Overige mutaties;2001 4e kwartaal;3146;17;43;0;0;43.0;55;0;55;3139.0;2035.0;1104.0;-108
138;Vorderingen;Overige mutaties;2001;-1310;59;131;0;0;131.0;217;0;217;-1323.0;-3057.0;1734.0;-394
139;Vorderingen;Overige mutaties;2002 1e kwartaal;519;0;-17;0;0;-17.0;0;0;0;449.0;57.0;392.0;87
140;Vorderingen;Overige mutaties;2002 2e kwartaal;-1577;0;84;0;0;84.0;0;0;0;-1648.0;-1257.0;-391.0;-13
141;Vorderingen;Overige mutaties;2002 3e kwartaal;-539;0;163;0;0;163.0;0;0;0;-610.0;-610.0;0.0;-92
142;Vorderingen;Overige mutaties;2002 4e kwartaal;1091;10;89;0;0;89.0;726;1;725;285.0;499.0;-214.0;-19
143;Vorderingen;Overige mutaties;2002;-506;10;319;0;0;319.0;726;1;725;-1524.0;-1311.0;-213.0;-37
144;Vorderingen;Overige mutaties;2003 1e kwartaal;-269;0;104;0;0;104.0;0;0;0;-347.0;-507.0;160.0;-26
145;Vorderingen;Overige mutaties;2003 2e kwartaal;370;0;149;0;0;149.0;0;0;0;370.0;440.0;-70.0;-149
146;Vorderingen;Overige mutaties;2003 3e kwartaal;429;0;-47;0;0;-47.0;0;0;0;429.0;498.0;-69.0;47
147;Vorderingen;Overige mutaties;2003 4e kwartaal;374;0;-18;0;0;-18.0;-166;-1;-165;500.0;279.0;221.0;58
148;Vorderingen;Overige mutaties;2003;904;0;188;0;0;188.0;-166;-1;-165;952.0;710.0;242.0;-70
149;Vorderingen;Overige mutaties;2004 1e kwartaal;-698;0;187;0;0;187.0;66;-50;116;-764.0;-170.0;-594.0;-187
150;Vorderingen;Overige mutaties;2004 2e kwartaal;172;0;-92;0;0;-92.0;-43;0;-43;215.0;216.0;-1.0;92
151;Vorderingen;Overige mutaties;2004 3e kwartaal;-40;0;103;0;0;103.0;-31;0;-31;-9.0;35.0;-44.0;-103
152;Vorderingen;Overige mutaties;2004 4e kwartaal;-890;0;178;0;0;178.0;64;51;13;-335.0;255.0;-590.0;-797
153;Vorderingen;Overige mutaties;2004;-1456;0;376;0;0;376.0;56;1;55;-893.0;336.0;-1229.0;-995
154;Vorderingen;Overige mutaties;2005 1e kwartaal;1659;0;69;0;0;69.0;0;0;0;739.0;411.0;328.0;851
155;Vorderingen;Overige mutaties;2005 2e kwartaal;1604;0;148;0;0;148.0;0;0;0;1361.0;-76.0;1437.0;95
156;Vorderingen;Overige mutaties;2005 3e kwartaal;3915;0;71;0;0;71.0;0;0;0;3866.0;156.0;3710.0;-22
157;Vorderingen;Overige mutaties;2005 4e kwartaal;-2031;0;-14;0;0;-14.0;0;0;0;-1712.0;550.0;-2262.0;-305
158;Vorderingen;Overige mutaties;2005;5147;0;274;0;0;274.0;0;0;0;4254.0;1041.0;3213.0;619
159;Vorderingen;Overige mutaties;2006 1e kwartaal;4159;0;-81;0;0;-81.0;0;0;0;3539.0;238.0;3301.0;701
160;Vorderingen;Overige mutaties;2006 2e kwartaal;429;0;-140;0;0;-140.0;0;0;0;-112.0;-112.0;0.0;681
161;Vorderingen;Overige mutaties;2006 3e kwartaal;1621;0;-24;0;0;-24.0;0;0;0;1645.0;196.0;1449.0;0
162;Vorderingen;Overige mutaties;2006 4e kwartaal;-3589;0;-116;0;0;-116.0;0;0;0;-2091.0;-21.0;-2070.0;-1382
163;Vorderingen;Overige mutaties;2006;2620;0;-361;0;0;-361.0;0;0;0;2981.0;301.0;2680.0;0
164;Vorderingen;Overige mutaties;2007 1e kwartaal;340;0;-1102;0;0;-1102.0;0;0;0;1354.0;0.0;1354.0;88
165;Vorderingen;Overige mutaties;2007 2e kwartaal;-827;0;-61;0;0;-61.0;0;0;0;0.0;0.0;0.0;-766
166;Vorderingen;Overige mutaties;2007 3e kwartaal;0;0;93;0;0;93.0;0;0;0;0.0;0.0;0.0;-93
167;Vorderingen;Overige mutaties;2007 4e kwartaal;7359;0;-58;0;0;-58.0;-14;-14;0;6716.0;0.0;6716.0;715
168;Vorderingen;Overige mutaties;2007;6872;0;-1128;0;0;-1128.0;-14;-14;0;8070.0;0.0;8070.0;-56
169;Vorderingen;Overige mutaties;2008 1e kwartaal*;3226;2;268;0;0;268.0;-800;0;-800;2710.0;0.0;2710.0;1046
170;Vorderingen;Overige mutaties;2008 2e kwartaal*;5103;0;-277;0;0;-277.0;0;0;0;5380.0;0.0;5380.0;0
171;Vorderingen;Overige mutaties;2008 3e kwartaal*;952;0;1110;0;0;1110.0;0;0;0;-158.0;0.0;-158.0;0
172;Vorderingen;Overige mutaties;2008 4e kwartaal*;-4008;-2;1936;0;0;1936.0;800;0;800;-5690.0;0.0;-5690.0;-1052
173;Vorderingen;Overige mutaties;2008*;5273;0;3037;0;0;3037.0;0;0;0;2242.0;0.0;2242.0;-6
174;Vorderingen;Overige mutaties;2009 1e kwartaal*;6189;0;-1219;0;16;-1235.0;-5;0;-5;6542.0;0.0;6542.0;871
175;Vorderingen;Overige mutaties;2009 2e kwartaal*;-637;0;-2733;0;-1243;-1490.0;0;0;0;-83.0;0.0;-83.0;2179
176;Vorderingen;Overige mutaties;2009 3e kwartaal*;-4106;0;243;0;-483;726.0;0;0;0;-499.0;0.0;-499.0;-3850
177;Vorderingen;Overige mutaties;2009 4e kwartaal*;-1404;0;-851;0;-623;-228.0;5;0;5;-1358.0;0.0;-1358.0;800
178;Vorderingen;Overige mutaties;2009*;42;0;-4560;0;-2333;-2227.0;0;0;0;4602.0;0.0;4602.0;0
179;Vorderingen;Overige mutaties;2010 1e kwartaal*;-3362;1140;1227;0;1142;85.0;-335;0;-335;-1381.0;0.0;-1381.0;-4013
180;Vorderingen;Overige mutaties;2010 2e kwartaal*;8234;-2;3488;0;1506;1982.0;507;-16;523;-387.0;0.0;-387.0;4628
181;Vorderingen;Overige mutaties;2010 3e kwartaal*;1313;0;2315;0;-1632;3947.0;0;0;0;-1002.0;0.0;-1002.0;0
182;Vorderingen;Overige mutaties;2010 4e kwartaal*;-2114;-376;-4031;0;286;-4317.0;0;0;0;2532.0;0.0;2532.0;-239
183;Vorderingen;Overige mutaties;2010*;4071;762;2999;0;1302;1697.0;172;-16;188;-238.0;0.0;-238.0;376
184;Vorderingen;Overige mutaties;2011 1e kwartaal*;-3853;0;-1849;0;-777;-1072.0;0;0;0;-2004.0;0.0;-2004.0;0
185;Vorderingen;Overige mutaties;2011 2e kwartaal*;2794;0;-610;0;-200;-410.0;0;0;0;3404.0;0.0;3404.0;0
186;Vorderingen;Eindbalans;1999 1e kwartaal;56508;872;0;0;0;0.0;8969;2060;6909;36368.0;13776.0;22592.0;10299
