ID;Landen;Perioden;Totaal_1;PlantaardigeProducten_2;Totaal_3;Dieren_4;DierlijkeProducten_5;Landbouwdiensten_6;NietTotDeLandbouwBehorendeNevena_7;IntermediairVerbruik_8;BrutoToegevoegdeWaardeBasisprijzen_9;BrutoToegevoegdeWaardeBasisprijzen_10;VerbruikVanVasteActiva_11;NietProductgebondenBelastingen_12;NietProductgebondenSubsidies_13;Landbouwinkomen_14;Arbeidsvolume_15;Inkomensindex2021100_16;MutatieTOVVoorafgaandJaar_17
207;Finland;1999;3484.0;1180.0;1996.0;735.0;1262.0;64.0;244.0;2005.0;1480.0;1480.0;770.0;0.0;1091.0;1801.0;118.0;84.1;25.6
208;Finland;2000;3805.0;1356.0;2131.0;770.0;1361.0;62.0;256.0;2188.0;1617.0;1617.0;810.0;0.0;1214.0;2021.0;111.0;97.4;15.8
209;Finland;2001;3880.0;1330.0;2229.0;844.0;1386.0;54.0;267.0;2209.0;1671.0;1671.0;838.0;0.0;1216.0;2049.0;109.0;97.5;0.1
210;Finland;2002;3951.0;1429.0;2159.0;870.0;1289.0;56.0;308.0;2317.0;1634.0;1634.0;885.0;0.0;1226.0;1975.0;107.0;95.1;-2.5
211;Finland;2003;3847.0;1310.0;2150.0;835.0;1315.0;67.0;320.0;2284.0;1563.0;1563.0;917.0;0.0;1256.0;1902.0;106.0;91.7;-3.7
212;Finland;2004;3922.0;1351.0;2164.0;855.0;1309.0;75.0;332.0;2361.0;1562.0;1562.0;936.0;0.0;1188.0;1814.0;101.0;91.2;-0.4
213;Finland;2005;3979.0;1392.0;2159.0;857.0;1302.0;63.0;364.0;2446.0;1533.0;1533.0;977.0;0.0;1326.0;1882.0;96.0;98.8;8.2
214;Finland;2006;3613.0;1122.0;2013.0;807.0;1207.0;80.0;398.0;2548.0;1065.0;1065.0;1022.0;0.0;1771.0;1814.0;93.0;97.5;-1.3
215;Finland;2007;4067.0;1494.0;2074.0;838.0;1236.0;84.0;416.0;2654.0;1413.0;1413.0;1082.0;0.0;1767.0;2098.0;91.0;112.4;15.3
216;Finland;2008;4203.0;1389.0;2222.0;893.0;1329.0;91.0;501.0;3001.0;1203.0;1203.0;1125.0;0.0;1762.0;1839.0;89.0;98.0;-12.8
217;Finland;2009;4006.0;1302.0;2141.0;786.0;1356.0;88.0;475.0;2661.0;1345.0;1345.0;1132.0;0.0;1864.0;2077.0;87.0;111.0;13.3
218;Finland;2010;4214.0;1386.0;2257.0;786.0;1471.0;86.0;485.0;2769.0;1445.0;1445.0;1110.0;0.0;1832.0;2167.0;82.0;122.1;10.0
