ID;Sex;Age;CountryOfBirth;CaribbeanNetherlands;Periods;Immigration_1;EmigrationIncludingAdministrative_2;NetMigrationIncludingAdministrativ_3
4456;Total male and female;5 to 9 years;Born outside Kingdom of the Netherlands;St Eustatius;2021;3;3;0
4457;Total male and female;5 to 9 years;Born outside Kingdom of the Netherlands;St Eustatius;2022;4;2;2
4458;Total male and female;5 to 9 years;Born outside Kingdom of the Netherlands;St Eustatius;2023;4;3;1
4459;Total male and female;5 to 9 years;Born outside Kingdom of the Netherlands;Saba;2011;1;2;-1
4460;Total male and female;5 to 9 years;Born outside Kingdom of the Netherlands;Saba;2012;2;6;-4
4461;Total male and female;5 to 9 years;Born outside Kingdom of the Netherlands;Saba;2013;4;2;2
4462;Total male and female;5 to 9 years;Born outside Kingdom of the Netherlands;Saba;2014;3;0;3
4463;Total male and female;5 to 9 years;Born outside Kingdom of the Netherlands;Saba;2015;3;0;3
4464;Total male and female;5 to 9 years;Born outside Kingdom of the Netherlands;Saba;2016;5;1;4
4465;Total male and female;5 to 9 years;Born outside Kingdom of the Netherlands;Saba;2017;1;1;0
4466;Total male and female;5 to 9 years;Born outside Kingdom of the Netherlands;Saba;2018;4;5;-1
4467;Total male and female;5 to 9 years;Born outside Kingdom of the Netherlands;Saba;2019;6;6;0
4468;Total male and female;5 to 9 years;Born outside Kingdom of the Netherlands;Saba;2020;2;0;2
4469;Total male and female;5 to 9 years;Born outside Kingdom of the Netherlands;Saba;2021;6;8;-2
4470;Total male and female;5 to 9 years;Born outside Kingdom of the Netherlands;Saba;2022;5;2;3
4471;Total male and female;5 to 9 years;Born outside Kingdom of the Netherlands;Saba;2023;5;8;-3
4472;Total male and female;5 to 9 years;Africa;Caribbean Netherlands;2011;0;0;0
4473;Total male and female;5 to 9 years;Africa;Caribbean Netherlands;2012;0;0;0
4474;Total male and female;5 to 9 years;Africa;Caribbean Netherlands;2013;0;0;0
4475;Total male and female;5 to 9 years;Africa;Caribbean Netherlands;2014;0;1;-1
4476;Total male and female;5 to 9 years;Africa;Caribbean Netherlands;2015;0;0;0
4477;Total male and female;5 to 9 years;Africa;Caribbean Netherlands;2016;1;0;1
4478;Total male and female;5 to 9 years;Africa;Caribbean Netherlands;2017;0;0;0
4479;Total male and female;5 to 9 years;Africa;Caribbean Netherlands;2018;0;0;0
4480;Total male and female;5 to 9 years;Africa;Caribbean Netherlands;2019;0;0;0
4481;Total male and female;5 to 9 years;Africa;Caribbean Netherlands;2020;1;0;1
4482;Total male and female;5 to 9 years;Africa;Caribbean Netherlands;2021;0;1;-1
4483;Total male and female;5 to 9 years;Africa;Caribbean Netherlands;2022;1;0;1
4484;Total male and female;5 to 9 years;Africa;Caribbean Netherlands;2023;2;1;1
4485;Total male and female;5 to 9 years;Africa;Bonaire;2011;0;0;0
4486;Total male and female;5 to 9 years;Africa;Bonaire;2012;0;0;0
4487;Total male and female;5 to 9 years;Africa;Bonaire;2013;0;0;0
4488;Total male and female;5 to 9 years;Africa;Bonaire;2014;0;1;-1
4489;Total male and female;5 to 9 years;Africa;Bonaire;2015;0;0;0
4490;Total male and female;5 to 9 years;Africa;Bonaire;2016;1;0;1
4491;Total male and female;5 to 9 years;Africa;Bonaire;2017;0;0;0
4492;Total male and female;5 to 9 years;Africa;Bonaire;2018;0;0;0
4493;Total male and female;5 to 9 years;Africa;Bonaire;2019;0;0;0
4494;Total male and female;5 to 9 years;Africa;Bonaire;2020;0;0;0
4495;Total male and female;5 to 9 years;Africa;Bonaire;2021;0;0;0
4496;Total male and female;5 to 9 years;Africa;Bonaire;2022;0;0;0
4497;Total male and female;5 to 9 years;Africa;Bonaire;2023;2;0;2
4498;Total male and female;5 to 9 years;Africa;St Eustatius;2011;0;0;0
4499;Total male and female;5 to 9 years;Africa;St Eustatius;2012;0;0;0
4500;Total male and female;5 to 9 years;Africa;St Eustatius;2013;0;0;0
4501;Total male and female;5 to 9 years;Africa;St Eustatius;2014;0;0;0
4502;Total male and female;5 to 9 years;Africa;St Eustatius;2015;0;0;0
4503;Total male and female;5 to 9 years;Africa;St Eustatius;2016;0;0;0
4504;Total male and female;5 to 9 years;Africa;St Eustatius;2017;0;0;0
4505;Total male and female;5 to 9 years;Africa;St Eustatius;2018;0;0;0
4506;Total male and female;5 to 9 years;Africa;St Eustatius;2019;0;0;0
4507;Total male and female;5 to 9 years;Africa;St Eustatius;2020;1;0;1
4508;Total male and female;5 to 9 years;Africa;St Eustatius;2021;0;1;-1
4509;Total male and female;5 to 9 years;Africa;St Eustatius;2022;0;0;0
4510;Total male and female;5 to 9 years;Africa;St Eustatius;2023;0;0;0
4511;Total male and female;5 to 9 years;Africa;Saba;2011;0;0;0
4512;Total male and female;5 to 9 years;Africa;Saba;2012;0;0;0
4513;Total male and female;5 to 9 years;Africa;Saba;2013;0;0;0
4514;Total male and female;5 to 9 years;Africa;Saba;2014;0;0;0
4515;Total male and female;5 to 9 years;Africa;Saba;2015;0;0;0
4516;Total male and female;5 to 9 years;Africa;Saba;2016;0;0;0
4517;Total male and female;5 to 9 years;Africa;Saba;2017;0;0;0
4518;Total male and female;5 to 9 years;Africa;Saba;2018;0;0;0
4519;Total male and female;5 to 9 years;Africa;Saba;2019;0;0;0
4520;Total male and female;5 to 9 years;Africa;Saba;2020;0;0;0
4521;Total male and female;5 to 9 years;Africa;Saba;2021;0;0;0
4522;Total male and female;5 to 9 years;Africa;Saba;2022;1;0;1
4523;Total male and female;5 to 9 years;Africa;Saba;2023;0;1;-1
4524;Total male and female;5 to 9 years;America;Caribbean Netherlands;2011;39;25;14
4525;Total male and female;5 to 9 years;America;Caribbean Netherlands;2012;56;42;14
4526;Total male and female;5 to 9 years;America;Caribbean Netherlands;2013;64;45;19
4527;Total male and female;5 to 9 years;America;Caribbean Netherlands;2014;60;48;12
4528;Total male and female;5 to 9 years;America;Caribbean Netherlands;2015;51;36;15
4529;Total male and female;5 to 9 years;America;Caribbean Netherlands;2016;55;43;12
4530;Total male and female;5 to 9 years;America;Caribbean Netherlands;2017;66;51;15
4531;Total male and female;5 to 9 years;America;Caribbean Netherlands;2018;54;46;8
4532;Total male and female;5 to 9 years;America;Caribbean Netherlands;2019;63;32;31
4533;Total male and female;5 to 9 years;America;Caribbean Netherlands;2020;56;27;29
4534;Total male and female;5 to 9 years;America;Caribbean Netherlands;2021;62;43;19
4535;Total male and female;5 to 9 years;America;Caribbean Netherlands;2022;67;40;27
4536;Total male and female;5 to 9 years;America;Caribbean Netherlands;2023;87;42;45
4537;Total male and female;5 to 9 years;America;Bonaire;2011;29;17;12
4538;Total male and female;5 to 9 years;America;Bonaire;2012;44;25;19
4539;Total male and female;5 to 9 years;America;Bonaire;2013;44;21;23
4540;Total male and female;5 to 9 years;America;Bonaire;2014;49;39;10
4541;Total male and female;5 to 9 years;America;Bonaire;2015;36;27;9
4542;Total male and female;5 to 9 years;America;Bonaire;2016;44;35;9
4543;Total male and female;5 to 9 years;America;Bonaire;2017;55;45;10
4544;Total male and female;5 to 9 years;America;Bonaire;2018;42;28;14
4545;Total male and female;5 to 9 years;America;Bonaire;2019;45;22;23
4546;Total male and female;5 to 9 years;America;Bonaire;2020;50;19;31
4547;Total male and female;5 to 9 years;America;Bonaire;2021;50;27;23
4548;Total male and female;5 to 9 years;America;Bonaire;2022;56;32;24
4549;Total male and female;5 to 9 years;America;Bonaire;2023;77;30;47
4550;Total male and female;5 to 9 years;America;St Eustatius;2011;9;4;5
4551;Total male and female;5 to 9 years;America;St Eustatius;2012;10;9;1
4552;Total male and female;5 to 9 years;America;St Eustatius;2013;16;21;-5
4553;Total male and female;5 to 9 years;America;St Eustatius;2014;6;6;0
4554;Total male and female;5 to 9 years;America;St Eustatius;2015;13;9;4
4555;Total male and female;5 to 9 years;America;St Eustatius;2016;3;6;-3
4556;Total male and female;5 to 9 years;America;St Eustatius;2017;8;5;3
4557;Total male and female;5 to 9 years;America;St Eustatius;2018;6;7;-1
4558;Total male and female;5 to 9 years;America;St Eustatius;2019;9;3;6
4559;Total male and female;5 to 9 years;America;St Eustatius;2020;4;7;-3
4560;Total male and female;5 to 9 years;America;St Eustatius;2021;8;4;4
4561;Total male and female;5 to 9 years;America;St Eustatius;2022;5;7;-2
4562;Total male and female;5 to 9 years;America;St Eustatius;2023;5;7;-2
4563;Total male and female;5 to 9 years;America;Saba;2011;1;4;-3
4564;Total male and female;5 to 9 years;America;Saba;2012;2;8;-6
4565;Total male and female;5 to 9 years;America;Saba;2013;4;3;1
4566;Total male and female;5 to 9 years;America;Saba;2014;5;3;2
4567;Total male and female;5 to 9 years;America;Saba;2015;2;0;2
4568;Total male and female;5 to 9 years;America;Saba;2016;8;2;6
4569;Total male and female;5 to 9 years;America;Saba;2017;3;1;2
4570;Total male and female;5 to 9 years;America;Saba;2018;6;11;-5
4571;Total male and female;5 to 9 years;America;Saba;2019;9;7;2
4572;Total male and female;5 to 9 years;America;Saba;2020;2;1;1
4573;Total male and female;5 to 9 years;America;Saba;2021;4;12;-8
4574;Total male and female;5 to 9 years;America;Saba;2022;6;1;5
4575;Total male and female;5 to 9 years;America;Saba;2023;5;5;0
4576;Total male and female;5 to 9 years;Asia;Caribbean Netherlands;2011;3;3;0
4577;Total male and female;5 to 9 years;Asia;Caribbean Netherlands;2012;2;1;1
4578;Total male and female;5 to 9 years;Asia;Caribbean Netherlands;2013;2;0;2
4579;Total male and female;5 to 9 years;Asia;Caribbean Netherlands;2014;0;1;-1
4580;Total male and female;5 to 9 years;Asia;Caribbean Netherlands;2015;0;1;-1
4581;Total male and female;5 to 9 years;Asia;Caribbean Netherlands;2016;0;1;-1
4582;Total male and female;5 to 9 years;Asia;Caribbean Netherlands;2017;1;0;1
4583;Total male and female;5 to 9 years;Asia;Caribbean Netherlands;2018;3;3;0
4584;Total male and female;5 to 9 years;Asia;Caribbean Netherlands;2019;0;0;0
4585;Total male and female;5 to 9 years;Asia;Caribbean Netherlands;2020;0;0;0
4586;Total male and female;5 to 9 years;Asia;Caribbean Netherlands;2021;0;0;0
4587;Total male and female;5 to 9 years;Asia;Caribbean Netherlands;2022;2;1;1
4588;Total male and female;5 to 9 years;Asia;Caribbean Netherlands;2023;2;3;-1
4589;Total male and female;5 to 9 years;Asia;Bonaire;2011;1;3;-2
4590;Total male and female;5 to 9 years;Asia;Bonaire;2012;1;0;1
4591;Total male and female;5 to 9 years;Asia;Bonaire;2013;1;0;1
4592;Total male and female;5 to 9 years;Asia;Bonaire;2014;0;0;0
4593;Total male and female;5 to 9 years;Asia;Bonaire;2015;0;0;0
4594;Total male and female;5 to 9 years;Asia;Bonaire;2016;0;0;0
4595;Total male and female;5 to 9 years;Asia;Bonaire;2017;1;0;1
4596;Total male and female;5 to 9 years;Asia;Bonaire;2018;1;3;-2
4597;Total male and female;5 to 9 years;Asia;Bonaire;2019;0;0;0
4598;Total male and female;5 to 9 years;Asia;Bonaire;2020;0;0;0
4599;Total male and female;5 to 9 years;Asia;Bonaire;2021;0;0;0
4600;Total male and female;5 to 9 years;Asia;Bonaire;2022;1;0;1
4601;Total male and female;5 to 9 years;Asia;Bonaire;2023;1;1;0
4602;Total male and female;5 to 9 years;Asia;St Eustatius;2011;2;0;2
4603;Total male and female;5 to 9 years;Asia;St Eustatius;2012;0;0;0
4604;Total male and female;5 to 9 years;Asia;St Eustatius;2013;0;0;0
4605;Total male and female;5 to 9 years;Asia;St Eustatius;2014;0;1;-1
4606;Total male and female;5 to 9 years;Asia;St Eustatius;2015;0;1;-1
4607;Total male and female;5 to 9 years;Asia;St Eustatius;2016;0;0;0
4608;Total male and female;5 to 9 years;Asia;St Eustatius;2017;0;0;0
4609;Total male and female;5 to 9 years;Asia;St Eustatius;2018;0;0;0
4610;Total male and female;5 to 9 years;Asia;St Eustatius;2019;0;0;0
4611;Total male and female;5 to 9 years;Asia;St Eustatius;2020;0;0;0
4612;Total male and female;5 to 9 years;Asia;St Eustatius;2021;0;0;0
4613;Total male and female;5 to 9 years;Asia;St Eustatius;2022;0;0;0
4614;Total male and female;5 to 9 years;Asia;St Eustatius;2023;0;1;-1
4615;Total male and female;5 to 9 years;Asia;Saba;2011;0;0;0
4616;Total male and female;5 to 9 years;Asia;Saba;2012;1;1;0
4617;Total male and female;5 to 9 years;Asia;Saba;2013;1;0;1
4618;Total male and female;5 to 9 years;Asia;Saba;2014;0;0;0
4619;Total male and female;5 to 9 years;Asia;Saba;2015;0;0;0
4620;Total male and female;5 to 9 years;Asia;Saba;2016;0;1;-1
4621;Total male and female;5 to 9 years;Asia;Saba;2017;0;0;0
4622;Total male and female;5 to 9 years;Asia;Saba;2018;2;0;2
4623;Total male and female;5 to 9 years;Asia;Saba;2019;0;0;0
4624;Total male and female;5 to 9 years;Asia;Saba;2020;0;0;0
4625;Total male and female;5 to 9 years;Asia;Saba;2021;0;0;0
4626;Total male and female;5 to 9 years;Asia;Saba;2022;1;1;0
4627;Total male and female;5 to 9 years;Asia;Saba;2023;1;1;0
4628;Total male and female;5 to 9 years;Europe (including the Netherlands);Caribbean Netherlands;2011;60;15;45
4629;Total male and female;5 to 9 years;Europe (including the Netherlands);Caribbean Netherlands;2012;41;22;19
4630;Total male and female;5 to 9 years;Europe (including the Netherlands);Caribbean Netherlands;2013;58;26;32
4631;Total male and female;5 to 9 years;Europe (including the Netherlands);Caribbean Netherlands;2014;42;24;18
4632;Total male and female;5 to 9 years;Europe (including the Netherlands);Caribbean Netherlands;2015;44;37;7
4633;Total male and female;5 to 9 years;Europe (including the Netherlands);Caribbean Netherlands;2016;44;35;9
4634;Total male and female;5 to 9 years;Europe (including the Netherlands);Caribbean Netherlands;2017;45;43;2
4635;Total male and female;5 to 9 years;Europe (including the Netherlands);Caribbean Netherlands;2018;40;39;1
4636;Total male and female;5 to 9 years;Europe (including the Netherlands);Caribbean Netherlands;2019;41;20;21
4637;Total male and female;5 to 9 years;Europe (including the Netherlands);Caribbean Netherlands;2020;59;32;27
4638;Total male and female;5 to 9 years;Europe (including the Netherlands);Caribbean Netherlands;2021;48;29;19
4639;Total male and female;5 to 9 years;Europe (including the Netherlands);Caribbean Netherlands;2022;68;47;21
4640;Total male and female;5 to 9 years;Europe (including the Netherlands);Caribbean Netherlands;2023;47;40;7
4641;Total male and female;5 to 9 years;Europe (including the Netherlands);Bonaire;2011;54;12;42
4642;Total male and female;5 to 9 years;Europe (including the Netherlands);Bonaire;2012;36;19;17
4643;Total male and female;5 to 9 years;Europe (including the Netherlands);Bonaire;2013;49;24;25
4644;Total male and female;5 to 9 years;Europe (including the Netherlands);Bonaire;2014;34;24;10
4645;Total male and female;5 to 9 years;Europe (including the Netherlands);Bonaire;2015;36;29;7
4646;Total male and female;5 to 9 years;Europe (including the Netherlands);Bonaire;2016;41;28;13
4647;Total male and female;5 to 9 years;Europe (including the Netherlands);Bonaire;2017;41;39;2
4648;Total male and female;5 to 9 years;Europe (including the Netherlands);Bonaire;2018;32;35;-3
4649;Total male and female;5 to 9 years;Europe (including the Netherlands);Bonaire;2019;41;15;26
4650;Total male and female;5 to 9 years;Europe (including the Netherlands);Bonaire;2020;54;31;23
4651;Total male and female;5 to 9 years;Europe (including the Netherlands);Bonaire;2021;44;26;18
4652;Total male and female;5 to 9 years;Europe (including the Netherlands);Bonaire;2022;63;38;25
4653;Total male and female;5 to 9 years;Europe (including the Netherlands);Bonaire;2023;44;35;9
4654;Total male and female;5 to 9 years;Europe (including the Netherlands);St Eustatius;2011;6;3;3
4655;Total male and female;5 to 9 years;Europe (including the Netherlands);St Eustatius;2012;4;2;2
4656;Total male and female;5 to 9 years;Europe (including the Netherlands);St Eustatius;2013;9;1;8
4657;Total male and female;5 to 9 years;Europe (including the Netherlands);St Eustatius;2014;4;0;4
4658;Total male and female;5 to 9 years;Europe (including the Netherlands);St Eustatius;2015;3;6;-3
4659;Total male and female;5 to 9 years;Europe (including the Netherlands);St Eustatius;2016;2;5;-3
4660;Total male and female;5 to 9 years;Europe (including the Netherlands);St Eustatius;2017;4;3;1
4661;Total male and female;5 to 9 years;Europe (including the Netherlands);St Eustatius;2018;6;4;2
4662;Total male and female;5 to 9 years;Europe (including the Netherlands);St Eustatius;2019;0;1;-1
4663;Total male and female;5 to 9 years;Europe (including the Netherlands);St Eustatius;2020;3;1;2
4664;Total male and female;5 to 9 years;Europe (including the Netherlands);St Eustatius;2021;1;3;-2
4665;Total male and female;5 to 9 years;Europe (including the Netherlands);St Eustatius;2022;3;0;3
4666;Total male and female;5 to 9 years;Europe (including the Netherlands);St Eustatius;2023;3;4;-1
4667;Total male and female;5 to 9 years;Europe (including the Netherlands);Saba;2011;0;0;0
4668;Total male and female;5 to 9 years;Europe (including the Netherlands);Saba;2012;1;1;0
4669;Total male and female;5 to 9 years;Europe (including the Netherlands);Saba;2013;0;1;-1
4670;Total male and female;5 to 9 years;Europe (including the Netherlands);Saba;2014;4;0;4
4671;Total male and female;5 to 9 years;Europe (including the Netherlands);Saba;2015;5;2;3
4672;Total male and female;5 to 9 years;Europe (including the Netherlands);Saba;2016;1;2;-1
4673;Total male and female;5 to 9 years;Europe (including the Netherlands);Saba;2017;0;1;-1
4674;Total male and female;5 to 9 years;Europe (including the Netherlands);Saba;2018;2;0;2
4675;Total male and female;5 to 9 years;Europe (including the Netherlands);Saba;2019;0;4;-4
4676;Total male and female;5 to 9 years;Europe (including the Netherlands);Saba;2020;2;0;2
4677;Total male and female;5 to 9 years;Europe (including the Netherlands);Saba;2021;3;0;3
4678;Total male and female;5 to 9 years;Europe (including the Netherlands);Saba;2022;2;9;-7
4679;Total male and female;5 to 9 years;Europe (including the Netherlands);Saba;2023;0;1;-1
4680;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Caribbean Netherlands;2011;2;0;2
4681;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Caribbean Netherlands;2012;2;1;1
4682;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Caribbean Netherlands;2013;2;1;1
4683;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Caribbean Netherlands;2014;2;1;1
4684;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Caribbean Netherlands;2015;1;2;-1
4685;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Caribbean Netherlands;2016;2;5;-3
4686;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Caribbean Netherlands;2017;3;1;2
4687;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Caribbean Netherlands;2018;4;2;2
4688;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Caribbean Netherlands;2019;1;1;0
4689;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Caribbean Netherlands;2020;2;0;2
4690;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Caribbean Netherlands;2021;4;2;2
4691;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Caribbean Netherlands;2022;5;4;1
4692;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Caribbean Netherlands;2023;2;3;-1
4693;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Bonaire;2011;2;0;2
4694;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Bonaire;2012;2;1;1
4695;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Bonaire;2013;2;1;1
4696;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Bonaire;2014;2;1;1
4697;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Bonaire;2015;0;2;-2
4698;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Bonaire;2016;1;5;-4
4699;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Bonaire;2017;3;1;2
4700;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Bonaire;2018;2;2;0
4701;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Bonaire;2019;1;1;0
4702;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Bonaire;2020;0;0;0
4703;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Bonaire;2021;2;0;2
4704;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Bonaire;2022;5;3;2
4705;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Bonaire;2023;2;2;0
4706;Total male and female;5 to 9 years;Europe (excluding the Netherlands);St Eustatius;2011;0;0;0
4707;Total male and female;5 to 9 years;Europe (excluding the Netherlands);St Eustatius;2012;0;0;0
4708;Total male and female;5 to 9 years;Europe (excluding the Netherlands);St Eustatius;2013;0;0;0
4709;Total male and female;5 to 9 years;Europe (excluding the Netherlands);St Eustatius;2014;0;0;0
4710;Total male and female;5 to 9 years;Europe (excluding the Netherlands);St Eustatius;2015;0;0;0
4711;Total male and female;5 to 9 years;Europe (excluding the Netherlands);St Eustatius;2016;1;0;1
4712;Total male and female;5 to 9 years;Europe (excluding the Netherlands);St Eustatius;2017;0;0;0
4713;Total male and female;5 to 9 years;Europe (excluding the Netherlands);St Eustatius;2018;2;0;2
4714;Total male and female;5 to 9 years;Europe (excluding the Netherlands);St Eustatius;2019;0;0;0
4715;Total male and female;5 to 9 years;Europe (excluding the Netherlands);St Eustatius;2020;2;0;2
4716;Total male and female;5 to 9 years;Europe (excluding the Netherlands);St Eustatius;2021;0;2;-2
4717;Total male and female;5 to 9 years;Europe (excluding the Netherlands);St Eustatius;2022;0;0;0
4718;Total male and female;5 to 9 years;Europe (excluding the Netherlands);St Eustatius;2023;0;0;0
4719;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Saba;2011;0;0;0
4720;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Saba;2012;0;0;0
4721;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Saba;2013;0;0;0
4722;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Saba;2014;0;0;0
4723;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Saba;2015;1;0;1
4724;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Saba;2016;0;0;0
4725;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Saba;2017;0;0;0
4726;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Saba;2018;0;0;0
4727;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Saba;2019;0;0;0
4728;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Saba;2020;0;0;0
4729;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Saba;2021;2;0;2
4730;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Saba;2022;0;1;-1
4731;Total male and female;5 to 9 years;Europe (excluding the Netherlands);Saba;2023;0;1;-1
4732;Total male and female;5 to 9 years;Oceania;Caribbean Netherlands;2011;0;0;0
4733;Total male and female;5 to 9 years;Oceania;Caribbean Netherlands;2012;0;0;0
4734;Total male and female;5 to 9 years;Oceania;Caribbean Netherlands;2013;0;0;0
4735;Total male and female;5 to 9 years;Oceania;Caribbean Netherlands;2014;0;0;0
4736;Total male and female;5 to 9 years;Oceania;Caribbean Netherlands;2015;0;0;0
4737;Total male and female;5 to 9 years;Oceania;Caribbean Netherlands;2016;0;0;0
4738;Total male and female;5 to 9 years;Oceania;Caribbean Netherlands;2017;0;0;0
4739;Total male and female;5 to 9 years;Oceania;Caribbean Netherlands;2018;0;0;0
4740;Total male and female;5 to 9 years;Oceania;Caribbean Netherlands;2019;0;0;0
4741;Total male and female;5 to 9 years;Oceania;Caribbean Netherlands;2020;0;0;0
4742;Total male and female;5 to 9 years;Oceania;Caribbean Netherlands;2021;0;0;0
4743;Total male and female;5 to 9 years;Oceania;Caribbean Netherlands;2022;0;0;0
4744;Total male and female;5 to 9 years;Oceania;Caribbean Netherlands;2023;0;0;0
4745;Total male and female;5 to 9 years;Oceania;Bonaire;2011;0;0;0
4746;Total male and female;5 to 9 years;Oceania;Bonaire;2012;0;0;0
4747;Total male and female;5 to 9 years;Oceania;Bonaire;2013;0;0;0
4748;Total male and female;5 to 9 years;Oceania;Bonaire;2014;0;0;0
4749;Total male and female;5 to 9 years;Oceania;Bonaire;2015;0;0;0
4750;Total male and female;5 to 9 years;Oceania;Bonaire;2016;0;0;0
4751;Total male and female;5 to 9 years;Oceania;Bonaire;2017;0;0;0
4752;Total male and female;5 to 9 years;Oceania;Bonaire;2018;0;0;0
4753;Total male and female;5 to 9 years;Oceania;Bonaire;2019;0;0;0
4754;Total male and female;5 to 9 years;Oceania;Bonaire;2020;0;0;0
4755;Total male and female;5 to 9 years;Oceania;Bonaire;2021;0;0;0
4756;Total male and female;5 to 9 years;Oceania;Bonaire;2022;0;0;0
4757;Total male and female;5 to 9 years;Oceania;Bonaire;2023;0;0;0
4758;Total male and female;5 to 9 years;Oceania;St Eustatius;2011;0;0;0
4759;Total male and female;5 to 9 years;Oceania;St Eustatius;2012;0;0;0
4760;Total male and female;5 to 9 years;Oceania;St Eustatius;2013;0;0;0
4761;Total male and female;5 to 9 years;Oceania;St Eustatius;2014;0;0;0
4762;Total male and female;5 to 9 years;Oceania;St Eustatius;2015;0;0;0
4763;Total male and female;5 to 9 years;Oceania;St Eustatius;2016;0;0;0
4764;Total male and female;5 to 9 years;Oceania;St Eustatius;2017;0;0;0
4765;Total male and female;5 to 9 years;Oceania;St Eustatius;2018;0;0;0
4766;Total male and female;5 to 9 years;Oceania;St Eustatius;2019;0;0;0
4767;Total male and female;5 to 9 years;Oceania;St Eustatius;2020;0;0;0
4768;Total male and female;5 to 9 years;Oceania;St Eustatius;2021;0;0;0
4769;Total male and female;5 to 9 years;Oceania;St Eustatius;2022;0;0;0
4770;Total male and female;5 to 9 years;Oceania;St Eustatius;2023;0;0;0
4771;Total male and female;5 to 9 years;Oceania;Saba;2011;0;0;0
4772;Total male and female;5 to 9 years;Oceania;Saba;2012;0;0;0
4773;Total male and female;5 to 9 years;Oceania;Saba;2013;0;0;0
4774;Total male and female;5 to 9 years;Oceania;Saba;2014;0;0;0
4775;Total male and female;5 to 9 years;Oceania;Saba;2015;0;0;0
4776;Total male and female;5 to 9 years;Oceania;Saba;2016;0;0;0
4777;Total male and female;5 to 9 years;Oceania;Saba;2017;0;0;0
4778;Total male and female;5 to 9 years;Oceania;Saba;2018;0;0;0
4779;Total male and female;5 to 9 years;Oceania;Saba;2019;0;0;0
4780;Total male and female;5 to 9 years;Oceania;Saba;2020;0;0;0
4781;Total male and female;5 to 9 years;Oceania;Saba;2021;0;0;0
4782;Total male and female;5 to 9 years;Oceania;Saba;2022;0;0;0
4783;Total male and female;5 to 9 years;Oceania;Saba;2023;0;0;0
4784;Total male and female;5 to 9 years;Central and South America;Caribbean Netherlands;2011;31;23;8
4785;Total male and female;5 to 9 years;Central and South America;Caribbean Netherlands;2012;50;36;14
4786;Total male and female;5 to 9 years;Central and South America;Caribbean Netherlands;2013;56;37;19
4787;Total male and female;5 to 9 years;Central and South America;Caribbean Netherlands;2014;57;44;13
4788;Total male and female;5 to 9 years;Central and South America;Caribbean Netherlands;2015;50;32;18
4789;Total male and female;5 to 9 years;Central and South America;Caribbean Netherlands;2016;54;41;13
4790;Total male and female;5 to 9 years;Central and South America;Caribbean Netherlands;2017;66;51;15
4791;Total male and female;5 to 9 years;Central and South America;Caribbean Netherlands;2018;54;42;12
4792;Total male and female;5 to 9 years;Central and South America;Caribbean Netherlands;2019;55;29;26
4793;Total male and female;5 to 9 years;Central and South America;Caribbean Netherlands;2020;56;27;29
4794;Total male and female;5 to 9 years;Central and South America;Caribbean Netherlands;2021;60;36;24
4795;Total male and female;5 to 9 years;Central and South America;Caribbean Netherlands;2022;67;39;28
4796;Total male and female;5 to 9 years;Central and South America;Caribbean Netherlands;2023;86;38;48
4797;Total male and female;5 to 9 years;Central and South America;Bonaire;2011;25;17;8
4798;Total male and female;5 to 9 years;Central and South America;Bonaire;2012;41;23;18
4799;Total male and female;5 to 9 years;Central and South America;Bonaire;2013;42;21;21
