ID;SalesAndConsumptionOfForeignProduct;ProductsAccordingToPRODCOMList;Periods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3
4092;Total sales;0893 Salt and pure sodium chlorid...;2002 November;;;
4093;Total sales;0893 Salt and pure sodium chlorid...;2002 December;;;
4094;Total sales;0893 Salt and pure sodium chlorid...;2002;;;
4095;Total sales;0893 Salt and pure sodium chlorid...;2003 January;;;
4096;Total sales;0893 Salt and pure sodium chlorid...;2003 February;;;
4097;Total sales;0893 Salt and pure sodium chlorid...;2003 March;;;
4098;Total sales;0893 Salt and pure sodium chlorid...;2003 April;;;
4099;Total sales;0893 Salt and pure sodium chlorid...;2003 May;;;
4100;Total sales;0893 Salt and pure sodium chlorid...;2003 June;;;
4101;Total sales;0893 Salt and pure sodium chlorid...;2003 July;;;
4102;Total sales;0893 Salt and pure sodium chlorid...;2003 August;;;
4103;Total sales;0893 Salt and pure sodium chlorid...;2003 September;;;
4104;Total sales;0893 Salt and pure sodium chlorid...;2003 October;;;
4105;Total sales;0893 Salt and pure sodium chlorid...;2003 November;;;
4106;Total sales;0893 Salt and pure sodium chlorid...;2003 December;;;
4107;Total sales;0893 Salt and pure sodium chlorid...;2003;;;
4108;Total sales;0893 Salt and pure sodium chlorid...;2004 January;;;
4109;Total sales;0893 Salt and pure sodium chlorid...;2004 February;;;
4110;Total sales;0893 Salt and pure sodium chlorid...;2004 March;;;
4111;Total sales;0893 Salt and pure sodium chlorid...;2004 April;;;
4112;Total sales;0893 Salt and pure sodium chlorid...;2004 May;;;
4113;Total sales;0893 Salt and pure sodium chlorid...;2004 June;;;
4114;Total sales;0893 Salt and pure sodium chlorid...;2004 July;;;
4115;Total sales;0893 Salt and pure sodium chlorid...;2004 August;;;
4116;Total sales;0893 Salt and pure sodium chlorid...;2004 September;;;
4117;Total sales;0893 Salt and pure sodium chlorid...;2004 October;;;
4118;Total sales;0893 Salt and pure sodium chlorid...;2004 November;;;
4119;Total sales;0893 Salt and pure sodium chlorid...;2004 December;;;
4120;Total sales;0893 Salt and pure sodium chlorid...;2004;;;
4121;Total sales;0893 Salt and pure sodium chlorid...;2005 January;;;
4122;Total sales;0893 Salt and pure sodium chlorid...;2005 February;;;
4123;Total sales;0893 Salt and pure sodium chlorid...;2005 March;;;
4124;Total sales;0893 Salt and pure sodium chlorid...;2005 April;;;
4125;Total sales;0893 Salt and pure sodium chlorid...;2005 May;;;
4126;Total sales;0893 Salt and pure sodium chlorid...;2005 June;;;
4127;Total sales;0893 Salt and pure sodium chlorid...;2005 July;;;
4128;Total sales;0893 Salt and pure sodium chlorid...;2005 August;;;
4129;Total sales;0893 Salt and pure sodium chlorid...;2005 September;;;
4130;Total sales;0893 Salt and pure sodium chlorid...;2005 October;;;
4131;Total sales;0893 Salt and pure sodium chlorid...;2005 November;;;
4132;Total sales;0893 Salt and pure sodium chlorid...;2005 December;;;
4133;Total sales;0893 Salt and pure sodium chlorid...;2005;;;
4134;Total sales;0893 Salt and pure sodium chlorid...;2006 January;;;
4135;Total sales;0893 Salt and pure sodium chlorid...;2006 February;102.7;;
4136;Total sales;0893 Salt and pure sodium chlorid...;2006 March;104.6;1.9;
4137;Total sales;0893 Salt and pure sodium chlorid...;2006 April;102.1;-2.5;
4138;Total sales;0893 Salt and pure sodium chlorid...;2006 May;90.5;-11.3;
4139;Total sales;0893 Salt and pure sodium chlorid...;2006 June;90.2;-0.3;
4140;Total sales;0893 Salt and pure sodium chlorid...;2006 July;91.5;1.4;
4141;Total sales;0893 Salt and pure sodium chlorid...;2006 August;93.4;2.1;
4142;Total sales;0893 Salt and pure sodium chlorid...;2006 September;92.5;-0.9;
4143;Total sales;0893 Salt and pure sodium chlorid...;2006 October;93.5;1.0;
4144;Total sales;0893 Salt and pure sodium chlorid...;2006 November;;;
4145;Total sales;0893 Salt and pure sodium chlorid...;2006 December;111.0;;
4146;Total sales;0893 Salt and pure sodium chlorid...;2006;98.9;;
4147;Total sales;0893 Salt and pure sodium chlorid...;2007 January;110.5;-0.4;
4148;Total sales;0893 Salt and pure sodium chlorid...;2007 February;116.8;5.7;13.7
4149;Total sales;0893 Salt and pure sodium chlorid...;2007 March;114.2;-2.2;9.2
4150;Total sales;0893 Salt and pure sodium chlorid...;2007 April;115.8;1.4;13.5
4151;Total sales;0893 Salt and pure sodium chlorid...;2007 May;109.0;-5.9;20.4
4152;Total sales;0893 Salt and pure sodium chlorid...;2007 June;108.4;-0.6;20.1
4153;Total sales;0893 Salt and pure sodium chlorid...;2007 July;108.6;0.2;18.7
4154;Total sales;0893 Salt and pure sodium chlorid...;2007 August;105.9;-2.5;13.4
4155;Total sales;0893 Salt and pure sodium chlorid...;2007 September;106.5;0.6;15.1
4156;Total sales;0893 Salt and pure sodium chlorid...;2007 October;106.5;-0.1;13.9
4157;Total sales;0893 Salt and pure sodium chlorid...;2007 November;115.6;8.6;
4158;Total sales;0893 Salt and pure sodium chlorid...;2007 December;115.6;0.0;4.2
4159;Total sales;0893 Salt and pure sodium chlorid...;2007;111.1;;12.3
4160;Total sales;0893 Salt and pure sodium chlorid...;2008 January;114.2;-1.2;3.3
4161;Total sales;0893 Salt and pure sodium chlorid...;2008 February;123.2;7.9;5.5
4162;Total sales;0893 Salt and pure sodium chlorid...;2008 March;124.4;1.0;8.9
4163;Total sales;0893 Salt and pure sodium chlorid...;2008 April;125.4;0.8;8.3
4164;Total sales;0893 Salt and pure sodium chlorid...;2008 May;122.6;-2.2;12.5
4165;Total sales;0893 Salt and pure sodium chlorid...;2008 June;122.7;0.0;13.2
4166;Total sales;0893 Salt and pure sodium chlorid...;2008 July;121.1;-1.3;11.5
4167;Total sales;0893 Salt and pure sodium chlorid...;2008 August;127.5;5.3;20.4
4168;Total sales;0893 Salt and pure sodium chlorid...;2008 September;127.0;-0.4;19.2
4169;Total sales;0893 Salt and pure sodium chlorid...;2008 October;127.1;0.0;19.4
4170;Total sales;0893 Salt and pure sodium chlorid...;2008 November;121.9;-4.1;5.4
4171;Total sales;0893 Salt and pure sodium chlorid...;2008 December;122.2;0.2;5.7
4172;Total sales;0893 Salt and pure sodium chlorid...;2008;123.3;;10.9
4173;Total sales;0893 Salt and pure sodium chlorid...;2009 January;119.4;-2.2;4.6
4174;Total sales;0893 Salt and pure sodium chlorid...;2009 February;126.3;5.8;2.5
4175;Total sales;0893 Salt and pure sodium chlorid...;2009 March;123.3;-2.4;-0.9
4176;Total sales;0893 Salt and pure sodium chlorid...;2009 April;122.4;-0.7;-2.4
4177;Total sales;0893 Salt and pure sodium chlorid...;2009 May;129.0;5.4;5.2
4178;Total sales;0893 Salt and pure sodium chlorid...;2009 June;128.7;-0.2;4.9
4179;Total sales;0893 Salt and pure sodium chlorid...;2009 July;117.8;-8.5;-2.8
4180;Total sales;0893 Salt and pure sodium chlorid...;2009 August;117.9;0.1;-7.5
4181;Total sales;0893 Salt and pure sodium chlorid...;2009 September;117.7;-0.2;-7.3
4182;Total sales;0893 Salt and pure sodium chlorid...;2009 October;118.9;1.0;-6.4
4183;Total sales;0893 Salt and pure sodium chlorid...;2009 November;118.7;-0.1;-2.6
4184;Total sales;0893 Salt and pure sodium chlorid...;2009 December;119.0;0.3;-2.6
4185;Total sales;0893 Salt and pure sodium chlorid...;2009;121.6;;-1.4
4186;Total sales;0893 Salt and pure sodium chlorid...;2010 January;123.3;3.6;3.2
4187;Total sales;0893 Salt and pure sodium chlorid...;2010 February;123.0;-0.2;-2.7
4188;Total sales;0893 Salt and pure sodium chlorid...;2010 March;123.5;0.4;0.2
4189;Total sales;0893 Salt and pure sodium chlorid...;2010 April;121.0;-2.1;-1.2
4190;Total sales;0893 Salt and pure sodium chlorid...;2010 May;120.7;-0.2;-6.4
4191;Total sales;0893 Salt and pure sodium chlorid...;2010 June;121.0;0.2;-6.0
4192;Total sales;0893 Salt and pure sodium chlorid...;2010 July;124.5;2.9;5.7
4193;Total sales;0893 Salt and pure sodium chlorid...;2010 August;125.3;0.7;6.3
4194;Total sales;0893 Salt and pure sodium chlorid...;2010 September;125.3;0.0;6.4
4195;Total sales;0893 Salt and pure sodium chlorid...;2010 October;124.0;-1.0;4.3
4196;Total sales;0893 Salt and pure sodium chlorid...;2010 November;124.4;0.3;4.8
4197;Total sales;0893 Salt and pure sodium chlorid...;2010 December;125.1;0.5;5.1
4198;Total sales;0893 Salt and pure sodium chlorid...;2010;123.4;;1.5
4199;Total sales;0893 Salt and pure sodium chlorid...;2011 January;122.3;-2.2;-0.8
4200;Total sales;0893 Salt and pure sodium chlorid...;2011 February;122.4;0.0;-0.5
4201;Total sales;0893 Salt and pure sodium chlorid...;2011 March;124.0;1.4;0.4
4202;Total sales;0893 Salt and pure sodium chlorid...;2011 April;123.2;-0.7;1.8
4203;Total sales;0893 Salt and pure sodium chlorid...;2011 May;124.7;1.3;3.3
4204;Total sales;0893 Salt and pure sodium chlorid...;2011 June;124.4;-0.2;2.8
4205;Total sales;0893 Salt and pure sodium chlorid...;2011 July;130.9;5.2;5.1
4206;Total sales;0893 Salt and pure sodium chlorid...;2011 August;130.0;-0.6;3.8
4207;Total sales;0893 Salt and pure sodium chlorid...;2011 September;129.3;-0.6;3.2
4208;Total sales;0893 Salt and pure sodium chlorid...;2011 October;129.5;0.1;4.4
4209;Total sales;0893 Salt and pure sodium chlorid...;2011 November;129.2;-0.2;3.9
4210;Total sales;0893 Salt and pure sodium chlorid...;2011 December;128.5;-0.6;2.7
4211;Total sales;0893 Salt and pure sodium chlorid...;2011;126.5;;2.5
4212;Total sales;0893 Salt and pure sodium chlorid...;2012 January;138.8;8.0;13.4
4213;Total sales;0893 Salt and pure sodium chlorid...;2012 February;133.7;-3.6;9.3
4214;Total sales;0893 Salt and pure sodium chlorid...;2012 March;141.6;5.9;14.2
4215;Total sales;0893 Salt and pure sodium chlorid...;2012 April;139.8;-1.3;13.5
4216;Total sales;0893 Salt and pure sodium chlorid...;2012 May;140.8;0.8;12.9
4217;Total sales;0893 Salt and pure sodium chlorid...;2012 June;148.8;5.6;19.6
4218;Total sales;0893 Salt and pure sodium chlorid...;2012 July;137.9;-7.3;5.3
4219;Total sales;0893 Salt and pure sodium chlorid...;2012 August;142.5;3.4;9.6
4220;Total sales;0893 Salt and pure sodium chlorid...;2012 September;139.3;-2.3;7.7
4221;Total sales;0893 Salt and pure sodium chlorid...;2012 October;144.1;3.5;11.3
4222;Total sales;0893 Salt and pure sodium chlorid...;2012 November;141.0;-2.1;9.1
4223;Total sales;0893 Salt and pure sodium chlorid...;2012 December;141.3;0.2;10.0
4224;Total sales;0893 Salt and pure sodium chlorid...;2012;140.8;;11.3
4225;Total sales;0899 Other mining and quarrying p...;2000 January;;;
4226;Total sales;0899 Other mining and quarrying p...;2000 February;;;
4227;Total sales;0899 Other mining and quarrying p...;2000 March;;;
4228;Total sales;0899 Other mining and quarrying p...;2000 April;;;
4229;Total sales;0899 Other mining and quarrying p...;2000 May;;;
4230;Total sales;0899 Other mining and quarrying p...;2000 June;;;
4231;Total sales;0899 Other mining and quarrying p...;2000 July;;;
4232;Total sales;0899 Other mining and quarrying p...;2000 August;;;
4233;Total sales;0899 Other mining and quarrying p...;2000 September;;;
4234;Total sales;0899 Other mining and quarrying p...;2000 October;;;
4235;Total sales;0899 Other mining and quarrying p...;2000 November;;;
4236;Total sales;0899 Other mining and quarrying p...;2000 December;;;
4237;Total sales;0899 Other mining and quarrying p...;2000;;;
4238;Total sales;0899 Other mining and quarrying p...;2001 January;;;
4239;Total sales;0899 Other mining and quarrying p...;2001 February;;;
4240;Total sales;0899 Other mining and quarrying p...;2001 March;;;
4241;Total sales;0899 Other mining and quarrying p...;2001 April;;;
4242;Total sales;0899 Other mining and quarrying p...;2001 May;;;
4243;Total sales;0899 Other mining and quarrying p...;2001 June;;;
4244;Total sales;0899 Other mining and quarrying p...;2001 July;;;
4245;Total sales;0899 Other mining and quarrying p...;2001 August;;;
4246;Total sales;0899 Other mining and quarrying p...;2001 September;;;
4247;Total sales;0899 Other mining and quarrying p...;2001 October;;;
4248;Total sales;0899 Other mining and quarrying p...;2001 November;;;
4249;Total sales;0899 Other mining and quarrying p...;2001 December;;;
4250;Total sales;0899 Other mining and quarrying p...;2001;;;
4251;Total sales;0899 Other mining and quarrying p...;2002 January;;;
4252;Total sales;0899 Other mining and quarrying p...;2002 February;;;
4253;Total sales;0899 Other mining and quarrying p...;2002 March;;;
4254;Total sales;0899 Other mining and quarrying p...;2002 April;;;
4255;Total sales;0899 Other mining and quarrying p...;2002 May;;;
4256;Total sales;0899 Other mining and quarrying p...;2002 June;;;
4257;Total sales;0899 Other mining and quarrying p...;2002 July;;;
4258;Total sales;0899 Other mining and quarrying p...;2002 August;;;
4259;Total sales;0899 Other mining and quarrying p...;2002 September;;;
4260;Total sales;0899 Other mining and quarrying p...;2002 October;;;
4261;Total sales;0899 Other mining and quarrying p...;2002 November;;;
4262;Total sales;0899 Other mining and quarrying p...;2002 December;;;
4263;Total sales;0899 Other mining and quarrying p...;2002;;;
4264;Total sales;0899 Other mining and quarrying p...;2003 January;;;
4265;Total sales;0899 Other mining and quarrying p...;2003 February;;;
4266;Total sales;0899 Other mining and quarrying p...;2003 March;;;
4267;Total sales;0899 Other mining and quarrying p...;2003 April;;;
4268;Total sales;0899 Other mining and quarrying p...;2003 May;;;
4269;Total sales;0899 Other mining and quarrying p...;2003 June;;;
4270;Total sales;0899 Other mining and quarrying p...;2003 July;;;
4271;Total sales;0899 Other mining and quarrying p...;2003 August;;;
4272;Total sales;0899 Other mining and quarrying p...;2003 September;;;
4273;Total sales;0899 Other mining and quarrying p...;2003 October;;;
4274;Total sales;0899 Other mining and quarrying p...;2003 November;;;
4275;Total sales;0899 Other mining and quarrying p...;2003 December;;;
4276;Total sales;0899 Other mining and quarrying p...;2003;;;
4277;Total sales;0899 Other mining and quarrying p...;2004 January;;;
4278;Total sales;0899 Other mining and quarrying p...;2004 February;;;
4279;Total sales;0899 Other mining and quarrying p...;2004 March;;;
4280;Total sales;0899 Other mining and quarrying p...;2004 April;;;
4281;Total sales;0899 Other mining and quarrying p...;2004 May;;;
4282;Total sales;0899 Other mining and quarrying p...;2004 June;;;
4283;Total sales;0899 Other mining and quarrying p...;2004 July;;;
4284;Total sales;0899 Other mining and quarrying p...;2004 August;;;
4285;Total sales;0899 Other mining and quarrying p...;2004 September;;;
4286;Total sales;0899 Other mining and quarrying p...;2004 October;;;
4287;Total sales;0899 Other mining and quarrying p...;2004 November;;;
4288;Total sales;0899 Other mining and quarrying p...;2004 December;;;
4289;Total sales;0899 Other mining and quarrying p...;2004;;;
4290;Total sales;0899 Other mining and quarrying p...;2005 January;;;
4291;Total sales;0899 Other mining and quarrying p...;2005 February;;;
4292;Total sales;0899 Other mining and quarrying p...;2005 March;;;
4293;Total sales;0899 Other mining and quarrying p...;2005 April;;;
4294;Total sales;0899 Other mining and quarrying p...;2005 May;;;
4295;Total sales;0899 Other mining and quarrying p...;2005 June;;;
4296;Total sales;0899 Other mining and quarrying p...;2005 July;;;
4297;Total sales;0899 Other mining and quarrying p...;2005 August;;;
4298;Total sales;0899 Other mining and quarrying p...;2005 September;;;
4299;Total sales;0899 Other mining and quarrying p...;2005 October;;;
4300;Total sales;0899 Other mining and quarrying p...;2005 November;;;
4301;Total sales;0899 Other mining and quarrying p...;2005 December;;;
4302;Total sales;0899 Other mining and quarrying p...;2005;;;
4303;Total sales;0899 Other mining and quarrying p...;2006 January;96.1;;
4304;Total sales;0899 Other mining and quarrying p...;2006 February;96.7;0.6;
4305;Total sales;0899 Other mining and quarrying p...;2006 March;95.7;-1.0;
4306;Total sales;0899 Other mining and quarrying p...;2006 April;98.6;3.1;
4307;Total sales;0899 Other mining and quarrying p...;2006 May;94.9;-3.8;
4308;Total sales;0899 Other mining and quarrying p...;2006 June;98.2;3.5;
4309;Total sales;0899 Other mining and quarrying p...;2006 July;91.9;-6.4;
4310;Total sales;0899 Other mining and quarrying p...;2006 August;94.6;3.0;
4311;Total sales;0899 Other mining and quarrying p...;2006 September;96.9;2.5;
4312;Total sales;0899 Other mining and quarrying p...;2006 October;98.3;1.4;
4313;Total sales;0899 Other mining and quarrying p...;2006 November;92.9;-5.5;
4314;Total sales;0899 Other mining and quarrying p...;2006 December;95.7;3.1;
4315;Total sales;0899 Other mining and quarrying p...;2006;95.9;;
4316;Total sales;0899 Other mining and quarrying p...;2007 January;95.3;-0.5;-0.8
4317;Total sales;0899 Other mining and quarrying p...;2007 February;96.6;1.4;0.0
4318;Total sales;0899 Other mining and quarrying p...;2007 March;96.6;0.0;0.9
4319;Total sales;0899 Other mining and quarrying p...;2007 April;96.3;-0.3;-2.3
4320;Total sales;0899 Other mining and quarrying p...;2007 May;93.3;-3.1;-1.6
4321;Total sales;0899 Other mining and quarrying p...;2007 June;91.6;-1.9;-6.7
4322;Total sales;0899 Other mining and quarrying p...;2007 July;96.6;5.5;5.2
4323;Total sales;0899 Other mining and quarrying p...;2007 August;95.3;-1.4;0.7
4324;Total sales;0899 Other mining and quarrying p...;2007 September;96.5;1.3;-0.5
4325;Total sales;0899 Other mining and quarrying p...;2007 October;96.2;-0.3;-2.2
4326;Total sales;0899 Other mining and quarrying p...;2007 November;100.9;4.9;8.6
4327;Total sales;0899 Other mining and quarrying p...;2007 December;97.0;-3.8;1.3
4328;Total sales;0899 Other mining and quarrying p...;2007;96.0;;0.1
4329;Total sales;0899 Other mining and quarrying p...;2008 January;116.8;20.4;22.6
4330;Total sales;0899 Other mining and quarrying p...;2008 February;117.4;0.5;21.5
4331;Total sales;0899 Other mining and quarrying p...;2008 March;127.2;8.4;31.8
4332;Total sales;0899 Other mining and quarrying p...;2008 April;118.0;-7.2;22.5
4333;Total sales;0899 Other mining and quarrying p...;2008 May;120.0;1.6;28.6
4334;Total sales;0899 Other mining and quarrying p...;2008 June;118.7;-1.0;29.6
4335;Total sales;0899 Other mining and quarrying p...;2008 July;123.8;4.3;28.1
4336;Total sales;0899 Other mining and quarrying p...;2008 August;118.6;-4.2;24.5
4337;Total sales;0899 Other mining and quarrying p...;2008 September;121.0;2.0;25.4
4338;Total sales;0899 Other mining and quarrying p...;2008 October;131.6;8.8;36.9
4339;Total sales;0899 Other mining and quarrying p...;2008 November;134.5;2.2;33.3
4340;Total sales;0899 Other mining and quarrying p...;2008 December;129.6;-3.6;33.6
4341;Total sales;0899 Other mining and quarrying p...;2008;123.1;;28.2
4342;Total sales;0899 Other mining and quarrying p...;2009 January;133.9;3.3;14.6
4343;Total sales;0899 Other mining and quarrying p...;2009 February;130.7;-2.4;11.3
4344;Total sales;0899 Other mining and quarrying p...;2009 March;131.2;0.4;3.1
4345;Total sales;0899 Other mining and quarrying p...;2009 April;125.8;-4.1;6.5
4346;Total sales;0899 Other mining and quarrying p...;2009 May;130.7;4.0;9.0
4347;Total sales;0899 Other mining and quarrying p...;2009 June;128.4;-1.8;8.1
4348;Total sales;0899 Other mining and quarrying p...;2009 July;125.8;-2.0;1.6
4349;Total sales;0899 Other mining and quarrying p...;2009 August;128.4;2.0;8.2
4350;Total sales;0899 Other mining and quarrying p...;2009 September;128.6;0.2;6.3
4351;Total sales;0899 Other mining and quarrying p...;2009 October;123.3;-4.2;-6.3
4352;Total sales;0899 Other mining and quarrying p...;2009 November;124.1;0.7;-7.7
4353;Total sales;0899 Other mining and quarrying p...;2009 December;120.3;-3.0;-7.2
4354;Total sales;0899 Other mining and quarrying p...;2009;127.6;;3.6
4355;Total sales;0899 Other mining and quarrying p...;2010 January;118.0;-1.9;-11.9
4356;Total sales;0899 Other mining and quarrying p...;2010 February;117.1;-0.8;-10.4
4357;Total sales;0899 Other mining and quarrying p...;2010 March;110.9;-5.3;-15.5
4358;Total sales;0899 Other mining and quarrying p...;2010 April;117.6;6.1;-6.5
4359;Total sales;0899 Other mining and quarrying p...;2010 May;116.7;-0.8;-10.8
4360;Total sales;0899 Other mining and quarrying p...;2010 June;115.0;-1.4;-10.4
4361;Total sales;0899 Other mining and quarrying p...;2010 July;122.3;6.3;-2.8
4362;Total sales;0899 Other mining and quarrying p...;2010 August;122.7;0.3;-4.4
4363;Total sales;0899 Other mining and quarrying p...;2010 September;120.5;-1.8;-6.3
4364;Total sales;0899 Other mining and quarrying p...;2010 October;123.8;2.8;0.4
4365;Total sales;0899 Other mining and quarrying p...;2010 November;127.1;2.7;2.4
4366;Total sales;0899 Other mining and quarrying p...;2010 December;124.6;-1.9;3.6
4367;Total sales;0899 Other mining and quarrying p...;2010;119.7;;-6.2
4368;Total sales;0899 Other mining and quarrying p...;2011 January;129.3;3.8;9.5
4369;Total sales;0899 Other mining and quarrying p...;2011 February;130.3;0.8;11.3
4370;Total sales;0899 Other mining and quarrying p...;2011 March;129.0;-1.0;16.3
4371;Total sales;0899 Other mining and quarrying p...;2011 April;121.8;-5.5;3.6
4372;Total sales;0899 Other mining and quarrying p...;2011 May;128.5;5.5;10.1
4373;Total sales;0899 Other mining and quarrying p...;2011 June;131.2;2.1;14.1
4374;Total sales;0899 Other mining and quarrying p...;2011 July;134.0;2.1;9.6
4375;Total sales;0899 Other mining and quarrying p...;2011 August;123.6;-7.7;0.8
4376;Total sales;0899 Other mining and quarrying p...;2011 September;129.7;4.9;7.7
4377;Total sales;0899 Other mining and quarrying p...;2011 October;;;
4378;Total sales;0899 Other mining and quarrying p...;2011 November;;;
4379;Total sales;0899 Other mining and quarrying p...;2011 December;;;
4380;Total sales;0899 Other mining and quarrying p...;2011;128.8;;7.7
4381;Total sales;0899 Other mining and quarrying p...;2012 January;129.6;;0.2
4382;Total sales;0899 Other mining and quarrying p...;2012 February;131.3;1.3;0.7
4383;Total sales;0899 Other mining and quarrying p...;2012 March;;;
4384;Total sales;0899 Other mining and quarrying p...;2012 April;;;
4385;Total sales;0899 Other mining and quarrying p...;2012 May;;;
4386;Total sales;0899 Other mining and quarrying p...;2012 June;;;
4387;Total sales;0899 Other mining and quarrying p...;2012 July;;;
4388;Total sales;0899 Other mining and quarrying p...;2012 August;;;
4389;Total sales;0899 Other mining and quarrying p...;2012 September;;;
4390;Total sales;0899 Other mining and quarrying p...;2012 October;;;
4391;Total sales;0899 Other mining and quarrying p...;2012 November;;;
4392;Total sales;0899 Other mining and quarrying p...;2012 December;;;
4393;Total sales;0899 Other mining and quarrying p...;2012;123.0;;-4.5
4394;Total sales;C Manufactured products;2000 January;84.9;;
4395;Total sales;C Manufactured products;2000 February;85.9;1.2;
4396;Total sales;C Manufactured products;2000 March;86.8;1.0;
4397;Total sales;C Manufactured products;2000 April;87.3;0.5;
4398;Total sales;C Manufactured products;2000 May;88.8;1.7;
4399;Total sales;C Manufactured products;2000 June;89.2;0.4;
4400;Total sales;C Manufactured products;2000 July;89.8;0.7;
4401;Total sales;C Manufactured products;2000 August;90.5;0.8;
4402;Total sales;C Manufactured products;2000 September;92.4;2.1;
4403;Total sales;C Manufactured products;2000 October;93.0;0.7;
4404;Total sales;C Manufactured products;2000 November;92.9;-0.1;
4405;Total sales;C Manufactured products;2000 December;90.9;-2.1;
4406;Total sales;C Manufactured products;2000;89.4;;
4407;Total sales;C Manufactured products;2001 January;90.4;-0.6;6.5
4408;Total sales;C Manufactured products;2001 February;90.9;0.6;5.8
4409;Total sales;C Manufactured products;2001 March;90.9;0.1;4.8
4410;Total sales;C Manufactured products;2001 April;91.3;0.4;4.6
4411;Total sales;C Manufactured products;2001 May;92.1;0.9;3.7
4412;Total sales;C Manufactured products;2001 June;91.6;-0.6;2.7
4413;Total sales;C Manufactured products;2001 July;90.1;-1.6;0.3
4414;Total sales;C Manufactured products;2001 August;89.6;-0.6;-1.1
4415;Total sales;C Manufactured products;2001 September;89.7;0.2;-2.9
4416;Total sales;C Manufactured products;2001 October;88.3;-1.6;-5.1
4417;Total sales;C Manufactured products;2001 November;87.3;-1.1;-6.1
4418;Total sales;C Manufactured products;2001 December;86.7;-0.7;-4.7
4419;Total sales;C Manufactured products;2001;89.9;;0.6
4420;Total sales;C Manufactured products;2002 January;86.5;-0.2;-4.3
4421;Total sales;C Manufactured products;2002 February;86.6;0.1;-4.7
4422;Total sales;C Manufactured products;2002 March;87.7;1.2;-3.6
4423;Total sales;C Manufactured products;2002 April;89.1;1.7;-2.4
4424;Total sales;C Manufactured products;2002 May;88.9;-0.3;-3.5
4425;Total sales;C Manufactured products;2002 June;88.4;-0.5;-3.4
4426;Total sales;C Manufactured products;2002 July;89.1;0.7;-1.2
4427;Total sales;C Manufactured products;2002 August;89.6;0.6;0.0
4428;Total sales;C Manufactured products;2002 September;90.4;1.0;0.8
4429;Total sales;C Manufactured products;2002 October;90.3;-0.1;2.3
4430;Total sales;C Manufactured products;2002 November;89.0;-1.5;1.9
4431;Total sales;C Manufactured products;2002 December;89.7;0.8;3.5
4432;Total sales;C Manufactured products;2002;88.8;;-1.3
4433;Total sales;C Manufactured products;2003 January;91.0;1.5;5.2
4434;Total sales;C Manufactured products;2003 February;92.4;1.5;6.7
4435;Total sales;C Manufactured products;2003 March;91.9;-0.5;4.8
4436;Total sales;C Manufactured products;2003 April;89.7;-2.4;0.6
4437;Total sales;C Manufactured products;2003 May;88.4;-1.4;-0.6
4438;Total sales;C Manufactured products;2003 June;88.3;0.0;-0.1
4439;Total sales;C Manufactured products;2003 July;88.2;-0.1;-0.9
4440;Total sales;C Manufactured products;2003 August;88.8;0.7;-0.8
4441;Total sales;C Manufactured products;2003 September;88.7;-0.1;-1.9
4442;Total sales;C Manufactured products;2003 October;89.0;0.3;-1.4
4443;Total sales;C Manufactured products;2003 November;89.3;0.3;0.3
4444;Total sales;C Manufactured products;2003 December;88.6;-0.7;-1.2
4445;Total sales;C Manufactured products;2003;89.5;;0.9
4446;Total sales;C Manufactured products;2004 January;89.4;0.8;-1.8
4447;Total sales;C Manufactured products;2004 February;89.4;0.0;-3.2
4448;Total sales;C Manufactured products;2004 March;90.9;1.6;-1.1
4449;Total sales;C Manufactured products;2004 April;92.2;1.5;2.8
4450;Total sales;C Manufactured products;2004 May;93.4;1.4;5.7
4451;Total sales;C Manufactured products;2004 June;93.0;-0.4;5.3
4452;Total sales;C Manufactured products;2004 July;94.7;1.8;7.3
4453;Total sales;C Manufactured products;2004 August;95.9;1.3;7.9
4454;Total sales;C Manufactured products;2004 September;96.6;0.7;8.8
4455;Total sales;C Manufactured products;2004 October;98.6;2.1;10.8
4456;Total sales;C Manufactured products;2004 November;97.2;-1.4;8.9
4457;Total sales;C Manufactured products;2004 December;95.4;-1.9;7.6
4458;Total sales;C Manufactured products;2004;93.9;;4.9
4459;Total sales;C Manufactured products;2005 January;96.2;0.8;7.6
4460;Total sales;C Manufactured products;2005 February;97.0;0.8;8.4
4461;Total sales;C Manufactured products;2005 March;98.4;1.5;8.3
4462;Total sales;C Manufactured products;2005 April;99.0;0.6;7.4
4463;Total sales;C Manufactured products;2005 May;98.4;-0.6;5.3
4464;Total sales;C Manufactured products;2005 June;99.7;1.3;7.1
4465;Total sales;C Manufactured products;2005 July;100.6;0.9;6.2
4466;Total sales;C Manufactured products;2005 August;101.4;0.8;5.7
4467;Total sales;C Manufactured products;2005 September;102.6;1.2;6.2
4468;Total sales;C Manufactured products;2005 October;103.2;0.6;4.6
4469;Total sales;C Manufactured products;2005 November;102.0;-1.2;4.9
4470;Total sales;C Manufactured products;2005 December;101.8;-0.2;6.7
4471;Total sales;C Manufactured products;2005;100.0;;6.5
4472;Total sales;C Manufactured products;2006 January;103.1;1.3;7.2
4473;Total sales;C Manufactured products;2006 February;103.3;0.2;6.5
4474;Total sales;C Manufactured products;2006 March;103.8;0.5;5.5
4475;Total sales;C Manufactured products;2006 April;105.6;1.8;6.7
4476;Total sales;C Manufactured products;2006 May;105.5;-0.1;7.3
