ID;BedrijfstakkenBranchesSBI2008;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2;Indexcijfers_3;OntwikkelingTOVEenPeriodeEerder_4
229;58 Uitgeverijen;2012;115.1;-4.0;;
230;58 Uitgeverijen;2013 1e kwartaal;102.1;-6.5;111.8;
231;58 Uitgeverijen;2013 2e kwartaal;110.9;-7.1;108.7;-2.8
232;58 Uitgeverijen;2013 3e kwartaal;105.2;-5.7;106.0;-2.4
233;58 Uitgeverijen;2013 4e kwartaal;110.8;-8.0;103.0;-2.8
234;58 Uitgeverijen;2013;107.2;-6.9;107.4;
235;58 Uitgeverijen;2014 1e kwartaal;92.4;-9.5;101.7;-1.3
236;58 Uitgeverijen;2014 2e kwartaal;103.7;-6.5;101.5;-0.2
237;58 Uitgeverijen;2014 3e kwartaal;103.7;-1.4;103.8;2.3
238;58 Uitgeverijen;2014 4e kwartaal;106.4;-4.0;99.1;-4.5
239;58 Uitgeverijen;2014;101.5;-5.3;101.5;-5.4
240;58 Uitgeverijen;2015 1e kwartaal;89.8;-2.8;99.4;0.3
241;58 Uitgeverijen;2015 2e kwartaal;102.2;-1.5;100.0;0.6
242;58 Uitgeverijen;2015 3e kwartaal;102.0;-1.6;101.6;1.6
243;58 Uitgeverijen;2015 4e kwartaal;106.0;-0.4;98.9;-2.7
244;58 Uitgeverijen;2015;100.0;-1.5;100.0;-1.5
245;58 Uitgeverijen;2016 1e kwartaal;89.3;-0.5;99.1;0.2
246;58 Uitgeverijen;2016 2e kwartaal;101.7;-0.5;99.5;0.4
247;58 Uitgeverijen;2016 3e kwartaal;98.3;-3.6;97.7;-1.8
248;58 Uitgeverijen;2016 4e kwartaal;104.1;-1.8;97.3;-0.4
249;58 Uitgeverijen;2016;98.4;-1.6;98.4;-1.6
250;58 Uitgeverijen;2017 1e kwartaal;86.3;-3.4;95.6;-1.7
251;58 Uitgeverijen;2017 2e kwartaal;96.5;-5.1;94.6;-1.1
252;58 Uitgeverijen;2017 3e kwartaal;97.1;-1.2;96.3;1.8
253;58 Uitgeverijen;2017 4e kwartaal;102.3;-1.7;95.9;-0.4
254;58 Uitgeverijen;2017;95.6;-2.8;95.6;-2.8
255;58 Uitgeverijen;2018 1e kwartaal;86.0;-0.4;95.1;-0.8
256;58 Uitgeverijen;2018 2e kwartaal;94.9;-1.7;92.9;-2.2
257;58 Uitgeverijen;2018 3e kwartaal;94.3;-2.9;93.5;0.6
258;58 Uitgeverijen;2018 4e kwartaal;101.6;-0.7;95.5;2.2
259;58 Uitgeverijen;2018;94.2;-1.4;94.3;-1.4
260;58 Uitgeverijen;2019 1e kwartaal;84.6;-1.6;93.3;-2.4
261;58 Uitgeverijen;2019 2e kwartaal;97.0;2.1;94.6;1.4
262;58 Uitgeverijen;2019 3e kwartaal;95.2;1.0;94.4;-0.3
263;58 Uitgeverijen;2019 4e kwartaal;100.7;-0.9;95.2;0.9
264;58 Uitgeverijen;2019;94.4;0.2;94.4;0.1
265;58 Uitgeverijen;2020 1e kwartaal;85.9;1.6;94.5;-0.8
266;58 Uitgeverijen;2020 2e kwartaal;87.4;-9.9;85.0;-10.1
267;58 Uitgeverijen;2020 3e kwartaal;93.5;-1.8;92.7;9.1
268;58 Uitgeverijen;2020 4e kwartaal;95.5;-5.2;90.8;-2.0
269;58 Uitgeverijen;2020;90.6;-4.0;90.8;-3.8
270;58 Uitgeverijen;2021 1e kwartaal;83.6;-2.7;92.6;2.0
271;58 Uitgeverijen;2021 2e kwartaal;97.0;10.9;94.4;1.9
272;58 Uitgeverijen;2021 3e kwartaal;97.5;4.3;95.7;1.4
273;58 Uitgeverijen;2021 4e kwartaal;98.9;3.6;94.4;-1.4
274;58 Uitgeverijen;2021;94.3;4.1;94.3;3.9
275;58 Uitgeverijen;2022 1e kwartaal;86.0;2.8;94.7;0.4
276;58 Uitgeverijen;2022 2e kwartaal;96.2;-0.8;94.0;-0.8
277;58 Uitgeverijen;2022 3e kwartaal;96.6;-1.0;94.5;0.5
278;58 Uitgeverijen;2022 4e kwartaal;99.3;0.4;95.5;1.1
279;58 Uitgeverijen;2022;94.5;0.2;94.7;0.4
280;58 Uitgeverijen;2023 1e kwartaal;92.7;7.9;101.0;5.8
281;58 Uitgeverijen;2023 2e kwartaal;103.0;7.1;100.2;-0.8
282;58 Uitgeverijen;2023 3e kwartaal;101.8;5.4;100.7;0.5
283;58 Uitgeverijen;2023 4e kwartaal;107.7;8.5;103.3;2.5
284;58 Uitgeverijen;2023;101.3;7.2;101.3;7.0
285;"59 Film- en tv-productie; geluidsopname";2005 1e kwartaal;76.5;;;
286;"59 Film- en tv-productie; geluidsopname";2005 2e kwartaal;77.7;;;
287;"59 Film- en tv-productie; geluidsopname";2005 3e kwartaal;76.0;;;
288;"59 Film- en tv-productie; geluidsopname";2005 4e kwartaal;100.6;;;
289;"59 Film- en tv-productie; geluidsopname";2005;82.7;;;
290;"59 Film- en tv-productie; geluidsopname";2006 1e kwartaal;80.7;5.6;;
291;"59 Film- en tv-productie; geluidsopname";2006 2e kwartaal;82.0;5.6;;
292;"59 Film- en tv-productie; geluidsopname";2006 3e kwartaal;80.3;5.6;;
293;"59 Film- en tv-productie; geluidsopname";2006 4e kwartaal;106.2;5.6;;
294;"59 Film- en tv-productie; geluidsopname";2006;87.3;5.6;;
295;"59 Film- en tv-productie; geluidsopname";2007 1e kwartaal;85.2;5.5;;
296;"59 Film- en tv-productie; geluidsopname";2007 2e kwartaal;86.6;5.5;;
297;"59 Film- en tv-productie; geluidsopname";2007 3e kwartaal;84.7;5.5;;
298;"59 Film- en tv-productie; geluidsopname";2007 4e kwartaal;112.1;5.5;;
299;"59 Film- en tv-productie; geluidsopname";2007;92.2;5.5;;
300;"59 Film- en tv-productie; geluidsopname";2008 1e kwartaal;86.5;1.5;;
301;"59 Film- en tv-productie; geluidsopname";2008 2e kwartaal;87.9;1.5;;
302;"59 Film- en tv-productie; geluidsopname";2008 3e kwartaal;86.0;1.5;;
