ID;RegioS;Kiesgerechtigden_1;Opkomstpercentage_2;TotaalStemmen_3;GeldigeStemmen_4;OngeldigeStemmen_5;CDA_6;CD_7;EP_8;D66_9;EVPN_10;GL_11;LijstSala_12;PvdA_13;SP_14;SGPGPVRPF_15;VVD_16;CDA_17;CD_18;EP_19;D66_20;EVPN_21;GL_22;LijstSala_23;PvdA_24;SP_25;SGPGPVRPF_26;VVD_27;Gemeente_28;Landsdeel_29;Provincie_30;COROPGebied_31;Kamerkieskring_32
264;Leusden;20941;37.5;7863;7848;15;1765;21;48;535;21;985;22;1226;272;935;2018;22.5;0.3;0.6;6.8;0.3;12.6;0.3;15.6;3.5;11.9;25.7;0327;3;26;17;08
265;Lichtenvoorde;14069;32.6;4590;4575;15;2494;13;24;132;5;337;10;693;149;32;686;54.5;0.3;0.5;2.9;0.1;7.4;0.2;15.1;3.3;0.7;15.0;0260;2;25;14;07
266;Liemeer;4959;30.3;1505;1497;8;567;14;14;56;6;116;8;148;46;125;397;37.9;0.9;0.9;3.7;0.4;7.7;0.5;9.9;3.1;8.4;26.5;1673;3;28;28;15
267;De Lier;8155;31.1;2538;2516;22;1285;8;11;73;6;115;6;203;41;186;582;51.1;0.3;0.4;2.9;0.2;4.6;0.2;8.1;1.6;7.4;23.1;0552;3;28;27;14
268;Liesveld;6824;45.0;3072;3066;6;696;7;15;73;8;102;0;432;53;1233;447;22.7;0.2;0.5;2.4;0.3;3.3;0.0;14.1;1.7;40.2;14.6;0694;3;28;30;14
269;Limmen;4825;27.3;1317;1313;4;392;2;8;115;9;149;6;224;55;16;337;29.9;0.2;0.6;8.8;0.7;11.3;0.5;17.1;4.2;1.2;25.7;0418;3;27;19;11
270;Lingewaal;7938;33.7;2673;2669;4;795;9;4;91;5;122;5;566;41;521;510;29.8;0.3;0.1;3.4;0.2;4.6;0.2;21.2;1.5;19.5;19.1;0733;2;25;16;06
271;Lisse;16215;34.0;5519;5514;5;1632;25;45;286;25;464;25;725;161;875;1251;29.6;0.5;0.8;5.2;0.5;8.4;0.5;13.1;2.9;15.9;22.7;0553;3;28;25;15
272;Lith;4904;29.8;1462;1456;6;694;8;8;53;4;94;2;199;134;5;255;47.7;0.5;0.5;3.6;0.3;6.5;0.1;13.7;9.2;0.3;17.5;0808;4;30;35;18
273;Littenseradiel;7640;39.0;2980;2975;5;1142;4;29;117;9;305;2;650;123;63;531;38.4;0.1;1.0;3.9;0.3;10.3;0.1;21.8;4.1;2.1;17.8;0140;1;21;04;02
274;Lochem;14915;36.6;5453;5438;15;1263;20;28;335;27;589;9;1390;204;107;1466;23.2;0.4;0.5;6.2;0.5;10.8;0.2;25.6;3.8;2.0;27.0;0262;2;25;14;07
275;Loenen;6466;38.6;2497;2480;17;613;8;11;176;11;230;11;415;48;192;765;24.7;0.3;0.4;7.1;0.4;9.3;0.4;16.7;1.9;7.7;30.8;0329;3;26;17;08
276;Loon op Zand;17243;25.2;4342;4328;14;1683;23;18;209;16;373;3;721;189;100;993;38.9;0.5;0.4;4.8;0.4;8.6;0.1;16.7;4.4;2.3;22.9;0809;4;30;34;17
277;Loosdrecht;6958;33.2;2310;2305;5;505;12;16;161;14;180;10;300;58;154;895;21.9;0.5;0.7;7.0;0.6;7.8;0.4;13.0;2.5;6.7;38.8;0330;3;26;17;08
278;Lopik;9782;36.7;3589;3585;4;1249;7;10;87;6;164;8;374;78;1009;593;34.8;0.2;0.3;2.4;0.2;4.6;0.2;10.4;2.2;28.1;16.5;0331;3;26;17;08
279;Loppersum;8189;41.9;3435;3429;6;1195;13;30;92;4;401;1;722;107;474;390;34.8;0.4;0.9;2.7;0.1;11.7;0.0;21.1;3.1;13.8;11.4;0024;1;20;02;01
280;Losser;16905;27.2;4602;4597;5;2344;16;31;148;13;339;5;876;127;43;655;51.0;0.3;0.7;3.2;0.3;7.4;0.1;19.1;2.8;0.9;14.2;0168;2;23;12;04
281;Maarn;4546;47.6;2162;2148;14;450;6;21;125;6;251;6;348;48;176;711;20.9;0.3;1.0;5.8;0.3;11.7;0.3;16.2;2.2;8.2;33.1;0332;3;26;17;08
282;Maarssen;30049;28.9;8683;8620;63;1677;49;53;693;37;1123;26;1805;319;483;2355;19.5;0.6;0.6;8.0;0.4;13.0;0.3;20.9;3.7;5.6;27.3;0333;3;26;17;08
283;Maartensdijk;7168;42.7;3062;3051;11;659;7;11;185;7;280;7;406;104;671;714;21.6;0.2;0.4;6.1;0.2;9.2;0.2;13.3;3.4;22.0;23.4;0334;3;26;17;08
284;Maasbracht;10692;32.9;3517;3517;0;2312;21;18;93;15;193;3;371;79;54;358;65.7;0.6;0.5;2.6;0.4;5.5;0.1;10.5;2.2;1.5;10.2;0933;4;31;38;19
285;Maasbree;9508;28.5;2707;2690;17;1522;25;14;94;6;206;6;303;72;19;423;56.6;0.9;0.5;3.5;0.2;7.7;0.2;11.3;2.7;0.7;15.7;0934;4;31;37;19
286;Maasdonk;8504;27.7;2355;2346;9;1300;13;15;49;7;99;9;318;209;7;320;55.4;0.6;0.6;2.1;0.3;4.2;0.4;13.6;8.9;0.3;13.6;1671;4;30;35;18
287;Maasdriel;17378;29.2;5066;5059;7;1948;29;40;196;14;371;17;844;180;322;1098;38.5;0.6;0.8;3.9;0.3;7.3;0.3;16.7;3.6;6.4;21.7;0263;2;25;16;06
288;Maasland;4955;39.4;1952;1945;7;871;2;13;69;3;127;4;172;33;188;463;44.8;0.1;0.7;3.5;0.2;6.5;0.2;8.8;1.7;9.7;23.8;0555;3;28;27;14
289;Maassluis;24500;27.2;6675;6650;25;1706;43;44;366;34;561;7;1364;420;643;1462;25.7;0.6;0.7;5.5;0.5;8.4;0.1;20.5;6.3;9.7;22.0;0556;3;28;29;14
290;Maastricht;95556;24.9;23764;23667;97;7670;176;126;1589;307;3762;59;4911;1500;203;3364;32.4;0.7;0.5;6.7;1.3;15.9;0.2;20.8;6.3;0.9;14.2;0935;4;31;39;19
291;Margraten;10391;34.8;3616;3567;49;1919;14;7;147;26;448;6;394;102;20;484;53.8;0.4;0.2;4.1;0.7;12.6;0.2;11.0;2.9;0.6;13.6;0936;4;31;39;19
292;Markelo;5554;38.0;2111;2096;15;648;11;6;67;9;119;3;442;62;67;662;30.9;0.5;0.3;3.2;0.4;5.7;0.1;21.1;3.0;3.2;31.6;0169;2;23;12;04
293;De Marne;8356;39.3;3281;3275;6;908;11;20;100;5;304;8;792;128;543;456;27.7;0.3;0.6;3.1;0.2;9.3;0.2;24.2;3.9;16.6;13.9;1663;1;20;03;01
294;Marum;7272;35.1;2551;2533;18;815;16;23;66;7;163;4;611;63;256;509;32.2;0.6;0.9;2.6;0.3;6.4;0.2;24.1;2.5;10.1;20.1;0025;1;20;03;01
295;Medemblik;5661;21.8;1232;1230;2;323;5;10;67;7;172;1;240;69;51;285;26.3;0.4;0.8;5.4;0.6;14.0;0.1;19.5;5.6;4.1;23.2;0420;3;27;18;11
296;Meerlo-Wanssum;5634;30.5;1719;1710;9;1012;3;6;57;1;119;1;225;55;4;227;59.2;0.2;0.4;3.3;0.1;7.0;0.1;13.2;3.2;0.2;13.3;0993;4;31;37;19
297;Meerssen;15938;27.9;4441;4407;34;2215;17;32;227;38;467;12;537;201;25;636;50.3;0.4;0.7;5.2;0.9;10.6;0.3;12.2;4.6;0.6;14.4;0938;4;31;39;19
298;Meijel;4376;25.7;1123;1114;9;649;3;6;22;8;71;2;152;26;8;167;58.3;0.3;0.5;2.0;0.7;6.4;0.2;13.6;2.3;0.7;15.0;0941;4;31;37;19
299;Menaldumadeel;10366;36.1;3740;3718;22;1240;9;34;120;3;370;2;1065;148;107;620;33.4;0.2;0.9;3.2;0.1;10.0;0.1;28.6;4.0;2.9;16.7;0083;1;21;04;02
300;Menterwolde;9659;28.8;2783;2775;8;429;18;29;87;3;253;7;1145;282;141;381;15.5;0.6;1.0;3.1;0.1;9.1;0.3;41.3;10.2;5.1;13.7;1987;1;20;01;01
301;Meppel;22448;35.2;7892;7859;33;1797;16;49;387;13;713;13;2166;447;773;1485;22.9;0.2;0.6;4.9;0.2;9.1;0.2;27.6;5.7;9.8;18.9;0119;1;22;09;03
302;Middelburg;33624;33.7;11330;11304;26;2241;53;34;717;52;1433;18;1900;589;2798;1469;19.8;0.5;0.3;6.3;0.5;12.7;0.2;16.8;5.2;24.8;13.0;0687;3;29;32;16
303;Middelharnis;12605;34.1;4304;4297;7;846;10;13;122;7;223;10;702;69;1723;572;19.7;0.2;0.3;2.8;0.2;5.2;0.2;16.3;1.6;40.1;13.3;0559;3;28;29;14
304;Middenveld;24424;37.4;9145;9122;23;2925;31;65;364;9;776;14;2604;283;472;1579;32.1;0.3;0.7;4.0;0.1;8.5;0.2;28.5;3.1;5.2;17.3;1697;1;22;07;03
305;Mierlo;7667;30.6;2345;2332;13;870;12;19;137;5;210;10;341;165;22;541;37.3;0.5;0.8;5.9;0.2;9.0;0.4;14.6;7.1;0.9;23.2;0814;4;30;36;18
306;Mill en Sint Hubert;8499;31.1;2642;2623;19;1388;7;11;63;5;164;4;413;162;13;393;52.9;0.3;0.4;2.4;0.2;6.3;0.2;15.7;6.2;0.5;15.0;0815;4;30;35;18
307;Millingen aan de Rijn;4484;23.3;1046;1046;0;330;2;6;43;1;106;0;333;72;2;151;31.5;0.2;0.6;4.1;0.1;10.1;0.0;31.8;6.9;0.2;14.4;0265;2;25;15;06
308;Moerdijk;28038;26.2;7344;7324;20;2476;36;150;620;25;592;16;1207;254;429;1519;33.8;0.5;2.0;8.5;0.3;8.1;0.2;16.5;3.5;5.9;20.7;1709;4;30;33;17
309;Monster;15229;28.8;4380;4348;32;1673;22;25;176;15;222;7;494;88;627;999;38.5;0.5;0.6;4.0;0.3;5.1;0.2;11.4;2.0;14.4;23.0;0562;3;28;27;14
310;Montfoort;9823;34.5;3390;3378;12;911;9;19;160;7;428;8;434;102;601;699;27.0;0.3;0.6;4.7;0.2;12.7;0.2;12.8;3.0;17.8;20.7;0335;3;26;17;08
311;Mook en Middelaar;5835;35.4;2063;2058;5;610;4;7;134;7;302;3;436;102;4;449;29.6;0.2;0.3;6.5;0.3;14.7;0.1;21.2;5.0;0.2;21.8;0944;4;31;37;19
312;Moordrecht;5518;31.9;1760;1750;10;379;12;11;97;3;133;4;351;97;258;405;21.7;0.7;0.6;5.5;0.2;7.6;0.2;20.1;5.5;14.7;23.1;0563;3;28;28;15
313;Muiden;5194;40.8;2121;2110;11;416;4;19;227;6;246;21;459;72;55;585;19.7;0.2;0.9;10.8;0.3;11.7;1.0;21.8;3.4;2.6;27.7;0424;3;27;24;10
314;Naaldwijk;21288;31.4;6688;6616;72;3001;40;46;212;45;325;9;740;131;424;1643;45.4;0.6;0.7;3.2;0.7;4.9;0.1;11.2;2.0;6.4;24.8;0565;3;28;27;14
315;Naarden;12649;39.3;4977;4962;15;767;11;19;408;27;582;17;732;119;178;2102;15.5;0.2;0.4;8.2;0.5;11.7;0.3;14.8;2.4;3.6;42.4;0425;3;27;24;10
316;Nederhorst den Berg;3987;35.6;1420;1414;6;425;3;5;111;7;124;1;253;53;32;400;30.1;0.2;0.4;7.9;0.5;8.8;0.1;17.9;3.7;2.3;28.3;0426;3;27;24;10
317;Nederlek;11224;38.8;4360;4343;17;688;18;46;200;14;271;10;1219;197;711;969;15.8;0.4;1.1;4.6;0.3;6.2;0.2;28.1;4.5;16.4;22.3;0643;3;28;29;15
318;Nederweert;12199;28.7;3501;3468;33;2133;19;14;118;8;161;5;448;91;15;456;61.5;0.5;0.4;3.4;0.2;4.6;0.1;12.9;2.6;0.4;13.1;0946;4;31;38;19
319;Neede;8682;35.2;3059;3056;3;1106;10;11;129;4;176;5;857;90;130;538;36.2;0.3;0.4;4.2;0.1;5.8;0.2;28.0;2.9;4.3;17.6;0266;2;25;14;07
320;Neerijnen;8340;36.3;3028;3017;11;689;20;19;91;6;184;2;718;71;569;648;22.8;0.7;0.6;3.0;0.2;6.1;0.1;23.8;2.4;18.9;21.5;0304;2;25;16;06
321;Niedorp;8510;26.6;2266;2264;2;502;11;17;102;8;287;14;613;92;19;599;22.2;0.5;0.8;4.5;0.4;12.7;0.6;27.1;4.1;0.8;26.5;0412;3;27;18;11
322;Nieuwegein;47662;26.2;12498;12453;45;2596;71;92;882;52;1856;43;2746;750;640;2725;20.8;0.6;0.7;7.1;0.4;14.9;0.3;22.1;6.0;5.1;21.9;0356;3;26;17;08
323;Nieuwerkerk aan den IJssel;15086;32.9;4966;4953;13;994;21;43;365;9;397;6;750;138;877;1353;20.1;0.4;0.9;7.4;0.2;8.0;0.1;15.1;2.8;17.7;27.3;0567;3;28;29;15
324;Nieuwkoop;8219;30.7;2526;2522;4;772;13;14;154;11;253;8;369;96;245;587;30.6;0.5;0.6;6.1;0.4;10.0;0.3;14.6;3.8;9.7;23.3;0569;3;28;28;15
325;Nieuw-Lekkerland;6418;46.2;2966;2958;8;333;14;13;55;2;117;5;541;75;1542;261;11.3;0.5;0.4;1.9;0.1;4.0;0.2;18.3;2.5;52.1;8.8;0571;3;28;30;14
326;Nieuwleusen;6215;39.5;2455;2447;8;1070;3;10;45;0;63;0;363;83;486;324;43.7;0.1;0.4;1.8;0.0;2.6;0.0;14.8;3.4;19.9;13.2;0170;2;23;10;04
327;Nijefurd;8164;36.5;2976;2966;10;1306;5;24;80;13;260;3;599;125;110;441;44.0;0.2;0.8;2.7;0.4;8.8;0.1;20.2;4.2;3.7;14.9;0104;1;21;05;02
328;Nijkerk;20192;34.1;6883;6869;14;2218;41;31;184;12;427;11;701;120;2051;1073;32.3;0.6;0.5;2.7;0.2;6.2;0.2;10.2;1.7;29.9;15.6;0267;2;25;13;07
329;Nijmegen;118687;31.5;37361;37045;316;8067;136;206;2428;70;9506;75;8109;3712;424;4312;21.8;0.4;0.6;6.6;0.2;25.7;0.2;21.9;10.0;1.1;11.6;0268;2;25;15;06
330;Noord-Beveland;5430;36.4;1974;1964;10;573;4;9;83;9;146;3;365;98;258;416;29.2;0.2;0.5;4.2;0.5;7.4;0.2;18.6;5.0;13.1;21.2;1695;3;29;32;16
331;Noordenveld;23790;35.5;8448;8426;22;1570;46;99;483;13;1030;16;2433;244;461;2031;18.6;0.5;1.2;5.7;0.2;12.2;0.2;28.9;2.9;5.5;24.1;1699;1;22;07;03
332;Noorder-Koggenland;7761;28.8;2236;2233;3;445;9;25;148;5;256;13;468;98;150;616;19.9;0.4;1.1;6.6;0.2;11.5;0.6;21.0;4.4;6.7;27.6;0529;3;27;18;11
333;Noordoostpolder;30501;39.7;12108;12071;37;4354;41;32;434;22;871;14;1997;316;1870;2120;36.1;0.3;0.3;3.6;0.2;7.2;0.1;16.5;2.6;15.5;17.6;0171;2;24;40;05
334;Noordwijk;18862;29.1;5494;5475;19;1365;28;37;251;25;684;10;835;311;284;1645;24.9;0.5;0.7;4.6;0.5;12.5;0.2;15.3;5.7;5.2;30.0;0575;3;28;25;15
335;Noordwijkerhout;11426;32.7;3738;3718;20;1258;13;33;196;11;409;10;502;125;58;1103;33.8;0.3;0.9;5.3;0.3;11.0;0.3;13.5;3.4;1.6;29.7;0576;3;28;25;15
336;Nootdorp;6982;29.0;2027;1991;36;639;17;33;143;7;215;7;256;97;74;503;32.1;0.9;1.7;7.2;0.4;10.8;0.4;12.9;4.9;3.7;25.3;0577;3;28;26;15
337;Nuenen c.a.;17795;34.5;6138;6107;31;1776;26;30;524;15;834;7;989;259;87;1560;29.1;0.4;0.5;8.6;0.2;13.7;0.1;16.2;4.2;1.4;25.5;0820;4;30;36;18
338;Nunspeet;18940;42.5;8054;8040;14;1591;34;35;153;18;336;6;539;119;4109;1100;19.8;0.4;0.4;1.9;0.2;4.2;0.1;6.7;1.5;51.1;13.7;0302;2;25;13;07
339;Nuth;12993;31.3;4061;4050;11;2180;20;10;134;43;403;3;508;292;23;434;53.8;0.5;0.2;3.3;1.1;10.0;0.1;12.5;7.2;0.6;10.7;0951;4;31;39;19
340;Obdam;4762;27.1;1289;1283;6;467;6;6;61;10;112;7;216;47;9;342;36.4;0.5;0.5;4.8;0.8;8.7;0.5;16.8;3.7;0.7;26.7;0429;3;27;18;11
341;Oegstgeest;14499;43.0;6241;6209;32;1110;21;30;635;39;824;14;1033;154;265;2084;17.9;0.3;0.5;10.2;0.6;13.3;0.2;16.6;2.5;4.3;33.6;0579;3;28;25;15
342;Oirschot;13276;31.0;4122;4095;27;2116;20;18;170;11;301;9;588;121;10;731;51.7;0.5;0.4;4.2;0.3;7.4;0.2;14.4;3.0;0.2;17.9;0823;4;30;36;18
343;Oisterwijk;19224;30.0;5759;5739;20;2176;19;44;320;22;561;8;911;227;59;1392;37.9;0.3;0.8;5.6;0.4;9.8;0.1;15.9;4.0;1.0;24.3;0824;4;30;34;17
344;Oldebroek;16193;34.2;5532;5530;2;1238;16;14;95;6;148;4;515;74;2991;429;22.4;0.3;0.3;1.7;0.1;2.7;0.1;9.3;1.3;54.1;7.8;0269;2;25;13;07
345;Oldenzaal;23618;28.3;6690;6664;26;2676;28;31;231;19;722;10;1426;351;63;1107;40.2;0.4;0.5;3.5;0.3;10.8;0.2;21.4;5.3;0.9;16.6;0173;2;23;12;04
346;Olst;7053;36.9;2603;2594;9;798;10;9;87;3;244;4;770;67;62;540;30.8;0.4;0.3;3.4;0.1;9.4;0.2;29.7;2.6;2.4;20.8;0174;2;23;11;04
347;Ommen;12370;44.5;5501;5492;9;2433;10;30;183;15;278;1;640;102;1092;708;44.3;0.2;0.5;3.3;0.3;5.1;0.0;11.7;1.9;19.9;12.9;0175;2;23;10;04
348;Onderbanken;6498;27.6;1794;1770;24;1025;32;8;44;12;127;1;244;90;8;179;57.9;1.8;0.5;2.5;0.7;7.2;0.1;13.8;5.1;0.5;10.1;0881;4;31;39;19
349;Oostburg;13617;27.6;3761;3751;10;926;20;7;448;41;284;9;853;89;206;868;24.7;0.5;0.2;11.9;1.1;7.6;0.2;22.7;2.4;5.5;23.1;0692;3;29;31;16
350;Oosterhout;39138;26.4;10347;10323;24;3056;45;92;687;45;1106;25;2228;467;134;2438;29.6;0.4;0.9;6.7;0.4;10.7;0.2;21.6;4.5;1.3;23.6;0826;4;30;33;17
351;Oostflakkee;7779;31.9;2483;2473;10;609;10;12;52;5;137;8;607;49;677;307;24.6;0.4;0.5;2.1;0.2;5.5;0.3;24.5;2.0;27.4;12.4;0580;3;28;29;14
352;Ooststellingwerf;19605;35.6;6980;6948;32;1951;26;49;234;10;705;11;2107;250;420;1185;28.1;0.4;0.7;3.4;0.1;10.1;0.2;30.3;3.6;6.0;17.1;0085;1;21;06;02
353;Oostzaan;6801;27.2;1853;1848;5;186;18;16;117;9;233;15;483;68;98;605;10.1;1.0;0.9;6.3;0.5;12.6;0.8;26.1;3.7;5.3;32.7;0431;3;27;23;11
354;Ootmarsum;3482;39.6;1380;1367;13;785;5;7;29;4;96;3;165;25;5;243;57.4;0.4;0.5;2.1;0.3;7.0;0.2;12.1;1.8;0.4;17.8;0176;2;23;12;04
355;Opmeer;8027;29.2;2347;2341;6;832;7;21;103;11;229;15;453;63;36;571;35.5;0.3;0.9;4.4;0.5;9.8;0.6;19.4;2.7;1.5;24.4;0432;3;27;18;11
356;Opsterland;21428;35.6;7628;7611;17;1941;12;43;296;4;781;6;2152;292;899;1185;25.5;0.2;0.6;3.9;0.1;10.3;0.1;28.3;3.8;11.8;15.6;0086;1;21;06;02
357;Oss;49094;28.3;13873;13834;39;4096;95;95;634;42;1030;22;2254;2888;92;2586;29.6;0.7;0.7;4.6;0.3;7.4;0.2;16.3;20.9;0.7;18.7;0828;4;30;35;18
358;Oud-Beijerland;16673;30.9;5144;5129;15;891;25;37;268;15;579;10;866;180;1273;985;17.4;0.5;0.7;5.2;0.3;11.3;0.2;16.9;3.5;24.8;19.2;0584;3;28;29;14
359;Ouder-Amstel;9656;34.6;3342;3330;12;683;14;26;284;15;436;52;655;79;116;970;20.5;0.4;0.8;8.5;0.5;13.1;1.6;19.7;2.4;3.5;29.1;0437;3;27;23;10
360;Ouderkerk;6096;38.5;2348;2336;12;367;12;8;76;3;113;2;409;54;852;440;15.7;0.5;0.3;3.3;0.1;4.8;0.1;17.5;2.3;36.5;18.8;0644;3;28;29;15
361;Oudewater;7458;33.4;2490;2482;8;918;4;6;106;5;166;5;353;53;433;433;37.0;0.2;0.2;4.3;0.2;6.7;0.2;14.2;2.1;17.4;17.4;0589;3;26;17;08
362;Papendrecht;22541;29.4;6634;6613;21;1472;24;35;358;16;528;11;1321;213;1160;1475;22.3;0.4;0.5;5.4;0.2;8.0;0.2;20.0;3.2;17.5;22.3;0590;3;28;30;14
363;Pekela;10415;26.6;2766;2758;8;599;10;23;52;1;398;6;1008;126;204;331;21.7;0.4;0.8;1.9;0.0;14.4;0.2;36.5;4.6;7.4;12.0;0765;1;20;01;01
364;Pijnacker;15889;35.4;5629;5583;46;1784;40;45;410;18;601;12;758;158;477;1280;32.0;0.7;0.8;7.3;0.3;10.8;0.2;13.6;2.8;8.5;22.9;0594;3;28;27;15
365;Purmerend;51583;21.7;11215;11152;63;1459;61;121;721;65;1630;211;3265;638;256;2725;13.1;0.5;1.1;6.5;0.6;14.6;1.9;29.3;5.7;2.3;24.4;0439;3;27;23;11
366;Putten;16576;42.8;7091;7081;10;2237;29;34;146;17;318;4;526;102;2631;1037;31.6;0.4;0.5;2.1;0.2;4.5;0.1;7.4;1.4;37.2;14.6;0273;2;25;13;07
367;Raalte;21059;33.2;6988;6975;13;3920;12;25;264;5;513;3;1052;208;76;897;56.2;0.2;0.4;3.8;0.1;7.4;0.0;15.1;3.0;1.1;12.9;0177;2;23;11;04
368;Ravenstein;6366;34.7;2209;2200;9;915;4;14;97;2;192;6;395;238;7;330;41.6;0.2;0.6;4.4;0.1;8.7;0.3;18.0;10.8;0.3;15.0;0835;4;30;35;18
369;Reeuwijk;9623;37.0;3563;3559;4;798;25;18;194;11;241;3;373;48;860;988;22.4;0.7;0.5;5.5;0.3;6.8;0.1;10.5;1.3;24.2;27.8;0595;3;28;28;15
370;Reiderland;5572;25.1;1400;1379;21;132;18;18;38;3;143;3;607;206;20;191;9.6;1.3;1.3;2.8;0.2;10.4;0.2;44.0;14.9;1.5;13.9;1661;1;20;01;01
371;Reimerswaal;14778;35.7;5276;5267;9;892;19;16;168;30;186;2;622;141;2624;567;16.9;0.4;0.3;3.2;0.6;3.5;0.0;11.8;2.7;49.8;10.8;0703;3;29;32;16
372;Renkum;25361;40.9;10369;10333;36;2466;32;97;761;33;1450;11;1958;320;425;2780;23.9;0.3;0.9;7.4;0.3;14.0;0.1;18.9;3.1;4.1;26.9;0274;2;25;15;07
373;Renswoude;2804;33.7;945;941;4;351;5;1;14;6;16;2;54;24;300;168;37.3;0.5;0.1;1.5;0.6;1.7;0.2;5.7;2.6;31.9;17.9;0339;3;26;17;08
374;Reusel-De Mierden;9075;25.1;2280;2272;8;1244;4;15;104;5;131;6;340;75;11;337;54.8;0.2;0.7;4.6;0.2;5.8;0.3;15.0;3.3;0.5;14.8;1667;4;30;36;18
375;Rheden;35367;34.6;12236;12209;27;2671;41;64;794;34;1678;28;3030;562;518;2789;21.9;0.3;0.5;6.5;0.3;13.7;0.2;24.8;4.6;4.2;22.8;0275;2;25;15;07
376;Rhenen;12938;34.8;4500;4489;11;914;16;29;234;11;405;13;725;111;1193;838;20.4;0.4;0.6;5.2;0.2;9.0;0.3;16.2;2.5;26.6;18.7;0340;3;26;17;08
377;Ridderkerk;36341;29.2;10616;10598;18;2096;42;54;384;36;689;5;2149;407;3058;1678;19.8;0.4;0.5;3.6;0.3;6.5;0.0;20.3;3.8;28.9;15.8;0597;3;28;29;14
378;Rijnsburg;10425;33.3;3468;3459;9;1430;11;9;80;9;146;2;271;50;889;562;41.3;0.3;0.3;2.3;0.3;4.2;0.1;7.8;1.4;25.7;16.2;0602;3;28;25;15
379;Rijnwaarden;8370;24.8;2077;2068;9;770;11;8;86;1;184;4;560;83;25;336;37.2;0.5;0.4;4.2;0.0;8.9;0.2;27.1;4.0;1.2;16.2;0196;2;25;15;07
380;Rijnwoude;14321;34.3;4909;4890;19;1421;10;24;284;18;419;13;687;131;852;1031;29.1;0.2;0.5;5.8;0.4;8.6;0.3;14.0;2.7;17.4;21.1;1672;3;28;28;15
381;Rijssen;18258;47.3;8634;8623;11;1567;9;12;65;8;181;8;656;120;5564;433;18.2;0.1;0.1;0.8;0.1;2.1;0.1;7.6;1.4;64.5;5.0;0178;2;23;12;04
382;Rijswijk;40501;30.1;12174;11973;201;2671;76;135;870;81;1476;18;2223;687;470;3266;22.3;0.6;1.1;7.3;0.7;12.3;0.2;18.6;5.7;3.9;27.3;0603;3;28;26;14
383;Roerdalen;7757;29.6;2299;2288;11;1272;7;10;65;11;135;2;313;69;8;396;55.6;0.3;0.4;2.8;0.5;5.9;0.1;13.7;3.0;0.3;17.3;1669;4;31;38;19
384;Roermond;33376;26.5;8833;8756;77;3858;62;47;385;46;949;27;1307;428;93;1554;44.1;0.7;0.5;4.4;0.5;10.8;0.3;14.9;4.9;1.1;17.7;0957;4;31;38;19
385;Roggel en Neer;6332;30.6;1940;1931;9;1093;11;9;59;7;171;6;236;54;8;277;56.6;0.6;0.5;3.1;0.4;8.9;0.3;12.2;2.8;0.4;14.3;1670;4;31;38;19
386;De Ronde Venen;25193;31.8;8001;7986;15;2291;33;60;468;46;667;19;1025;187;915;2275;28.7;0.4;0.8;5.9;0.6;8.4;0.2;12.8;2.3;11.5;28.5;0736;3;26;17;08
387;Roosendaal;55442;23.9;13262;13235;27;4674;82;94;828;36;1472;15;2167;716;170;2981;35.3;0.6;0.7;6.3;0.3;11.1;0.1;16.4;5.4;1.3;22.5;1674;4;30;33;17
388;Rotterdam;428662;22.4;96005;94835;1170;15649;1122;1100;7056;698;12459;193;25936;7707;5503;17412;16.5;1.2;1.2;7.4;0.7;13.1;0.2;27.3;8.1;5.8;18.4;0599;3;28;29;13
389;Rozenburg;10249;23.4;2397;2390;7;575;33;24;125;7;218;10;579;175;220;424;24.1;1.4;1.0;5.2;0.3;9.1;0.4;24.2;7.3;9.2;17.7;0600;3;28;29;14
390;Rozendaal;1026;54.7;561;561;0;93;0;3;63;4;65;1;51;6;15;260;16.6;0.0;0.5;11.2;0.7;11.6;0.2;9.1;1.1;2.7;46.3;0277;2;25;15;07
391;Rucphen;17847;20.7;3696;3691;5;1501;103;23;161;7;212;6;785;121;25;747;40.7;2.8;0.6;4.4;0.2;5.7;0.2;21.3;3.3;0.7;20.2;0840;4;30;33;17
392;Ruurlo;6134;33.4;2051;2047;4;590;0;10;87;8;154;4;466;45;32;651;28.8;0.0;0.5;4.3;0.4;7.5;0.2;22.8;2.2;1.6;31.8;0278;2;25;14;07
393;Sas van Gent;6186;24.1;1493;1484;9;398;8;11;269;12;149;3;313;30;43;248;26.8;0.5;0.7;18.1;0.8;10.0;0.2;21.1;2.0;2.9;16.7;0704;3;29;31;16
394;Sassenheim;10902;33.8;3681;3658;23;1198;19;27;227;22;321;6;505;173;95;1065;32.8;0.5;0.7;6.2;0.6;8.8;0.2;13.8;4.7;2.6;29.1;0604;3;28;25;15
395;Schagen;13395;25.6;3423;3403;20;567;22;24;243;8;486;9;890;168;82;904;16.7;0.6;0.7;7.1;0.2;14.3;0.3;26.2;4.9;2.4;26.6;0441;3;27;18;11
396;Scheemda;11129;34.6;3850;3811;39;1057;21;22;107;9;315;9;1302;181;302;486;27.7;0.6;0.6;2.8;0.2;8.3;0.2;34.2;4.7;7.9;12.8;0039;1;20;01;01
397;Schermer;3665;34.4;1262;1256;6;380;2;15;68;3;137;11;263;37;18;322;30.3;0.2;1.2;5.4;0.2;10.9;0.9;20.9;2.9;1.4;25.6;0458;3;27;19;11
