ID;Melkvee;GrootveeEenheid;RegioS;Perioden;AlleDieren_1;WeidendeDieren_2;AlleDieren_3;WeidendeDieren_4;BedrijvenZonderWeidegang_5;DierenZonderWeidegang_6;BedrijvenMetWeidegang_7;DierenMetWeidegang_8;UrenBijDagEnNachtWeiden_9;UrenBijBeperktWeiden_10;DagEnNachtWeiden_11;OverdagWeiden_12
1462;Melk- en kalfkoeien (>= 2 jaar);50 tot 100 GVE;Nederland;2016;1512.0;1793.0;145.0;171.0;14.0;16.0;86.0;84.0;19.0;7.0;25.0;75.0
1463;Melk- en kalfkoeien (>= 2 jaar);50 tot 100 GVE;Nederland;2017;1444.0;1705.0;142.0;167.0;14.0;15.0;86.0;85.0;19.0;7.0;24.0;76.0
1464;Melk- en kalfkoeien (>= 2 jaar);50 tot 100 GVE;Nederland;2018;1416.0;1664.0;145.0;170.0;14.0;15.0;86.0;85.0;19.0;7.0;21.0;79.0
1465;Melk- en kalfkoeien (>= 2 jaar);50 tot 100 GVE;Nederland;2019;1418.0;1631.0;147.0;169.0;12.0;13.0;88.0;87.0;18.0;7.0;21.0;79.0
1466;Melk- en kalfkoeien (>= 2 jaar);50 tot 100 GVE;Nederland;2020;1401.0;1600.0;148.0;169.0;11.0;12.0;89.0;88.0;18.0;7.0;21.0;79.0
1467;Melk- en kalfkoeien (>= 2 jaar);50 tot 100 GVE;Nederland;2021;1386.0;1576.0;147.0;167.0;11.0;12.0;89.0;88.0;18.0;7.0;20.0;80.0
1468;Melk- en kalfkoeien (>= 2 jaar);50 tot 100 GVE;Nederland;2022;1479.0;1669.0;156.0;176.0;11.0;11.0;89.0;89.0;18.0;7.0;21.0;79.0
1469;Melk- en kalfkoeien (>= 2 jaar);50 tot 100 GVE;Nederland;2023;1422.0;1607.0;150.0;169.0;11.0;12.0;89.0;88.0;18.0;7.0;21.0;79.0
1470;Melk- en kalfkoeien (>= 2 jaar);50 tot 100 GVE;Groningen (PV);2010;;;155.0;177.0;11.0;12.0;89.0;88.0;;;39.0;61.0
1471;Melk- en kalfkoeien (>= 2 jaar);50 tot 100 GVE;Groningen (PV);2011;;;154.0;176.0;10.0;13.0;90.0;87.0;;;45.0;55.0
1472;Melk- en kalfkoeien (>= 2 jaar);50 tot 100 GVE;Groningen (PV);2012;;;157.0;176.0;9.0;11.0;91.0;89.0;;;45.0;55.0
1473;Melk- en kalfkoeien (>= 2 jaar);50 tot 100 GVE;Groningen (PV);2013;1855.0;2142.0;152.0;175.0;13.0;13.0;87.0;87.0;20.0;8.0;35.0;65.0
1474;Melk- en kalfkoeien (>= 2 jaar);50 tot 100 GVE;Groningen (PV);2014;1949.0;2268.0;161.0;187.0;14.0;14.0;86.0;86.0;20.0;8.0;34.0;66.0
1475;Melk- en kalfkoeien (>= 2 jaar);50 tot 100 GVE;Groningen (PV);2015;;;153.0;178.0;14.0;14.0;86.0;86.0;;;32.0;68.0
1476;Melk- en kalfkoeien (>= 2 jaar);50 tot 100 GVE;Groningen (PV);2016;2015.0;2257.0;160.0;180.0;11.0;11.0;89.0;89.0;20.0;8.0;40.0;60.0
1477;Melk- en kalfkoeien (>= 2 jaar);50 tot 100 GVE;Groningen (PV);2017;1861.0;2091.0;155.0;174.0;11.0;11.0;89.0;89.0;19.0;8.0;35.0;65.0
1478;Melk- en kalfkoeien (>= 2 jaar);50 tot 100 GVE;Groningen (PV);2018;1929.0;2160.0;166.0;186.0;11.0;11.0;89.0;89.0;19.0;8.0;32.0;68.0
1479;Melk- en kalfkoeien (>= 2 jaar);50 tot 100 GVE;Groningen (PV);2019;1853.0;2077.0;163.0;182.0;11.0;11.0;89.0;89.0;19.0;8.0;30.0;70.0
1480;Melk- en kalfkoeien (>= 2 jaar);50 tot 100 GVE;Groningen (PV);2020;1829.0;2048.0;165.0;184.0;11.0;11.0;89.0;89.0;19.0;8.0;29.0;71.0
1481;Melk- en kalfkoeien (>= 2 jaar);50 tot 100 GVE;Groningen (PV);2021;1761.0;1949.0;157.0;174.0;10.0;10.0;90.0;90.0;19.0;8.0;30.0;70.0
