ID;SectorBranchesSIC93;Periods;JobsPersonsEmployed_1;LabourVolumePersonsEmployed_2;EmployeesOnTheCompanyPayroll_3;LabourVolumeEmployeesOnThePayroll_4;TotalBusinessReturns_5;TotalBusinessTurnoverNet_6;DomesticNetTurnover_7;ForeignNetTurnover_8;OtherBusinessReturns_9;TotalBusinessCosts_10;PurchaseValueOfTurnover_11;TotalPersonnelCosts_12;GrossWagesAndSalaries_13;EmployerPaidSocialInsurancePremiums_14;PensionAndEarlyRetirementPremiums_15;OtherSocialInsuranceCosts_16;OtherPersonnelCosts_17;TotalOtherBusinessCosts_18;EnergyCosts_19;HousingCosts_20;EquipmentAndInventoryCosts_21;TransportCosts_22;SalesCosts_23;CommunicationCosts_24;ServicesProvidedByThirdParties_25;BusinessCostsNotElsewhereClassified_26;DepreciationFixedAssets_27;ProfitLoss_28;NetFinancialIncome_29;NetProvisions_30;NetExtraordinaryIncome_31;ProfitLossBeforeTax_32
63;5181a Wholesale of rest machinery;2006;16.2;14.4;14.7;13.3;6575.0;6540.0;4562.0;1978.0;35.0;6184.0;4971.0;670.0;495.0;64.0;43.0;7.0;62.0;458.0;15.0;77.0;19.0;59.0;88.0;21.0;69.0;110.0;85.0;392.0;-16.0;-10.0;5.0;371.0
64;5181a Wholesale of rest machinery;2007;18.0;15.6;16.3;14.4;7562.0;7519.0;5185.0;2334.0;43.0;7101.0;5767.0;726.0;531.0;68.0;44.0;7.0;76.0;518.0;15.0;80.0;23.0;63.0;107.0;22.0;73.0;135.0;90.0;460.0;-30.0;0.0;14.0;444.0
65;5181a Wholesale of rest machinery;2008;18.6;16.2;16.7;14.6;7680.0;7633.0;5339.0;2294.0;47.0;7277.0;5862.0;783.0;570.0;77.0;46.0;8.0;82.0;540.0;18.0;95.0;25.0;66.0;101.0;23.0;87.0;126.0;92.0;404.0;-67.0;-16.0;-39.0;281.0
66;5184a Wholesale of computers, ..;2006;48.2;43.4;43.6;39.1;40596.0;40359.0;16736.0;23623.0;237.0;38966.0;33335.0;2785.0;2002.0;224.0;115.0;24.0;420.0;2638.0;31.0;245.0;42.0;192.0;702.0;108.0;367.0;951.0;208.0;1629.0;81.0;-20.0;836.0;2535.0
67;5184a Wholesale of computers, ..;2007;48.2;44.1;43.4;39.6;43789.0;43567.0;18670.0;24897.0;222.0;41874.0;35786.0;2917.0;2067.0;229.0;111.0;18.0;491.0;2991.0;29.0;219.0;30.0;202.0;592.0;87.0;397.0;1434.0;179.0;1915.0;180.0;-6.0;-22.0;2067.0
68;5184a Wholesale of computers, ..;2008;45.0;40.6;40.2;36.3;44596.0;44512.0;18337.0;26175.0;84.0;42590.0;36342.0;2723.0;1898.0;228.0;112.0;18.0;468.0;3365.0;27.0;202.0;32.0;182.0;579.0;79.0;374.0;1891.0;159.0;2006.0;-111.0;-8.0;65.0;1952.0
69;5186 Wholesale of electric motors etc.;2006;25.3;22.6;23.1;20.9;11191.0;11074.0;7560.0;3514.0;117.0;10531.0;8066.0;1191.0;904.0;106.0;78.0;14.0;89.0;1152.0;19.0;134.0;24.0;91.0;152.0;40.0;202.0;492.0;121.0;660.0;186.0;-4.0;2.0;843.0
70;5186 Wholesale of electric motors etc.;2007;25.8;23.2;23.4;21.3;12731.0;12620.0;9182.0;3438.0;111.0;12012.0;9436.0;1192.0;880.0;100.0;76.0;11.0;125.0;1287.0;19.0;139.0;21.0;100.0;171.0;43.0;181.0;613.0;96.0;719.0;180.0;-8.0;8.0;899.0
71;5186 Wholesale of electric motors etc.;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;5187 Wholesale of other machinery;2006;49.6;44.7;45.3;41.4;17060.0;16882.0;10928.0;5954.0;178.0;15944.0;11975.0;2185.0;1616.0;198.0;139.0;19.0;213.0;1548.0;36.0;221.0;51.0;217.0;305.0;77.0;268.0;373.0;235.0;1116.0;355.0;-16.0;26.0;1482.0
73;5187 Wholesale of other machinery;2007;51.9;47.1;46.9;43.1;19425.0;19231.0;12306.0;6925.0;194.0;18145.0;13821.0;2368.0;1755.0;209.0;146.0;22.0;236.0;1736.0;38.0;228.0;52.0;219.0;292.0;78.0;290.0;539.0;220.0;1280.0;257.0;-8.0;11.0;1540.0
74;5187 Wholesale of other machinery;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
