ID;Sex;Age31December;Periods;Deaths_1
6015;Total male and female;65 to 79 years;1973 week 44;840
6016;Total male and female;65 to 79 years;1973 week 45;843
6017;Total male and female;65 to 79 years;1973 week 46;813
6018;Total male and female;65 to 79 years;1973 week 47;811
6019;Total male and female;65 to 79 years;1973 week 48;884
6020;Total male and female;65 to 79 years;1973 week 49;889
6021;Total male and female;65 to 79 years;1973 week 50;855
6022;Total male and female;65 to 79 years;1973 week 51;942
6023;Total male and female;65 to 79 years;1973 week 52;880
6024;Total male and female;65 to 79 years;1973 week 53 (1 day);141
6025;Total male and female;65 to 79 years;1973;44359
6026;Total male and female;65 to 79 years;1974 week 1 (6 days);800
6027;Total male and female;65 to 79 years;1974 week 2;902
6028;Total male and female;65 to 79 years;1974 week 3;873
6029;Total male and female;65 to 79 years;1974 week 4;884
6030;Total male and female;65 to 79 years;1974 week 5;884
6031;Total male and female;65 to 79 years;1974 week 6;901
6032;Total male and female;65 to 79 years;1974 week 7;877
6033;Total male and female;65 to 79 years;1974 week 8;798
6034;Total male and female;65 to 79 years;1974 week 9;900
6035;Total male and female;65 to 79 years;1974 week 10;889
6036;Total male and female;65 to 79 years;1974 week 11;912
6037;Total male and female;65 to 79 years;1974 week 12;833
6038;Total male and female;65 to 79 years;1974 week 13;852
6039;Total male and female;65 to 79 years;1974 week 14;819
6040;Total male and female;65 to 79 years;1974 week 15;836
6041;Total male and female;65 to 79 years;1974 week 16;823
6042;Total male and female;65 to 79 years;1974 week 17;819
6043;Total male and female;65 to 79 years;1974 week 18;843
6044;Total male and female;65 to 79 years;1974 week 19;791
6045;Total male and female;65 to 79 years;1974 week 20;805
6046;Total male and female;65 to 79 years;1974 week 21;862
6047;Total male and female;65 to 79 years;1974 week 22;846
6048;Total male and female;65 to 79 years;1974 week 23;854
6049;Total male and female;65 to 79 years;1974 week 24;850
6050;Total male and female;65 to 79 years;1974 week 25;797
6051;Total male and female;65 to 79 years;1974 week 26;742
6052;Total male and female;65 to 79 years;1974 week 27;797
6053;Total male and female;65 to 79 years;1974 week 28;761
6054;Total male and female;65 to 79 years;1974 week 29;781
6055;Total male and female;65 to 79 years;1974 week 30;765
6056;Total male and female;65 to 79 years;1974 week 31;810
6057;Total male and female;65 to 79 years;1974 week 32;797
6058;Total male and female;65 to 79 years;1974 week 33;852
6059;Total male and female;65 to 79 years;1974 week 34;827
6060;Total male and female;65 to 79 years;1974 week 35;792
6061;Total male and female;65 to 79 years;1974 week 36;722
6062;Total male and female;65 to 79 years;1974 week 37;897
6063;Total male and female;65 to 79 years;1974 week 38;838
6064;Total male and female;65 to 79 years;1974 week 39;921
6065;Total male and female;65 to 79 years;1974 week 40;878
6066;Total male and female;65 to 79 years;1974 week 41;902
6067;Total male and female;65 to 79 years;1974 week 42;819
6068;Total male and female;65 to 79 years;1974 week 43;885
6069;Total male and female;65 to 79 years;1974 week 44;897
6070;Total male and female;65 to 79 years;1974 week 45;895
6071;Total male and female;65 to 79 years;1974 week 46;856
6072;Total male and female;65 to 79 years;1974 week 47;882
6073;Total male and female;65 to 79 years;1974 week 48;883
6074;Total male and female;65 to 79 years;1974 week 49;851
6075;Total male and female;65 to 79 years;1974 week 50;865
6076;Total male and female;65 to 79 years;1974 week 51;865
6077;Total male and female;65 to 79 years;1974 week 52;952
6078;Total male and female;65 to 79 years;1974 week 53 (2 days);272
6079;Total male and female;65 to 79 years;1974;44254
6080;Total male and female;65 to 79 years;1975 week 1 (5 days);673
6081;Total male and female;65 to 79 years;1975 week 2;936
6082;Total male and female;65 to 79 years;1975 week 3;988
6083;Total male and female;65 to 79 years;1975 week 4;951
6084;Total male and female;65 to 79 years;1975 week 5;954
6085;Total male and female;65 to 79 years;1975 week 6;1000
6086;Total male and female;65 to 79 years;1975 week 7;971
6087;Total male and female;65 to 79 years;1975 week 8;973
6088;Total male and female;65 to 79 years;1975 week 9;907
6089;Total male and female;65 to 79 years;1975 week 10;860
6090;Total male and female;65 to 79 years;1975 week 11;904
6091;Total male and female;65 to 79 years;1975 week 12;873
6092;Total male and female;65 to 79 years;1975 week 13;868
6093;Total male and female;65 to 79 years;1975 week 14;903
6094;Total male and female;65 to 79 years;1975 week 15;848
6095;Total male and female;65 to 79 years;1975 week 16;823
6096;Total male and female;65 to 79 years;1975 week 17;863
6097;Total male and female;65 to 79 years;1975 week 18;807
6098;Total male and female;65 to 79 years;1975 week 19;853
6099;Total male and female;65 to 79 years;1975 week 20;848
6100;Total male and female;65 to 79 years;1975 week 21;843
6101;Total male and female;65 to 79 years;1975 week 22;886
6102;Total male and female;65 to 79 years;1975 week 23;863
6103;Total male and female;65 to 79 years;1975 week 24;928
6104;Total male and female;65 to 79 years;1975 week 25;883
6105;Total male and female;65 to 79 years;1975 week 26;776
6106;Total male and female;65 to 79 years;1975 week 27;786
6107;Total male and female;65 to 79 years;1975 week 28;840
6108;Total male and female;65 to 79 years;1975 week 29;815
6109;Total male and female;65 to 79 years;1975 week 30;772
6110;Total male and female;65 to 79 years;1975 week 31;792
6111;Total male and female;65 to 79 years;1975 week 32;1143
6112;Total male and female;65 to 79 years;1975 week 33;923
6113;Total male and female;65 to 79 years;1975 week 34;827
6114;Total male and female;65 to 79 years;1975 week 35;835
6115;Total male and female;65 to 79 years;1975 week 36;816
6116;Total male and female;65 to 79 years;1975 week 37;809
6117;Total male and female;65 to 79 years;1975 week 38;815
6118;Total male and female;65 to 79 years;1975 week 39;827
6119;Total male and female;65 to 79 years;1975 week 40;850
6120;Total male and female;65 to 79 years;1975 week 41;875
6121;Total male and female;65 to 79 years;1975 week 42;866
6122;Total male and female;65 to 79 years;1975 week 43;950
6123;Total male and female;65 to 79 years;1975 week 44;904
6124;Total male and female;65 to 79 years;1975 week 45;881
6125;Total male and female;65 to 79 years;1975 week 46;869
6126;Total male and female;65 to 79 years;1975 week 47;889
6127;Total male and female;65 to 79 years;1975 week 48;929
6128;Total male and female;65 to 79 years;1975 week 49;862
6129;Total male and female;65 to 79 years;1975 week 50;856
6130;Total male and female;65 to 79 years;1975 week 51;918
6131;Total male and female;65 to 79 years;1975 week 52;910
6132;Total male and female;65 to 79 years;1975 week 53 (3 days);421
6133;Total male and female;65 to 79 years;1975;45962
6134;Total male and female;65 to 79 years;1976 week 1 (4 days);465
6135;Total male and female;65 to 79 years;1976 week 2;869
6136;Total male and female;65 to 79 years;1976 week 3;885
6137;Total male and female;65 to 79 years;1976 week 4;805
6138;Total male and female;65 to 79 years;1976 week 5;896
6139;Total male and female;65 to 79 years;1976 week 6;958
6140;Total male and female;65 to 79 years;1976 week 7;922
6141;Total male and female;65 to 79 years;1976 week 8;1002
6142;Total male and female;65 to 79 years;1976 week 9;909
6143;Total male and female;65 to 79 years;1976 week 10;882
6144;Total male and female;65 to 79 years;1976 week 11;956
6145;Total male and female;65 to 79 years;1976 week 12;1084
6146;Total male and female;65 to 79 years;1976 week 13;1203
6147;Total male and female;65 to 79 years;1976 week 14;1114
6148;Total male and female;65 to 79 years;1976 week 15;992
6149;Total male and female;65 to 79 years;1976 week 16;902
6150;Total male and female;65 to 79 years;1976 week 17;927
6151;Total male and female;65 to 79 years;1976 week 18;823
6152;Total male and female;65 to 79 years;1976 week 19;904
6153;Total male and female;65 to 79 years;1976 week 20;840
6154;Total male and female;65 to 79 years;1976 week 21;798
6155;Total male and female;65 to 79 years;1976 week 22;833
6156;Total male and female;65 to 79 years;1976 week 23;823
6157;Total male and female;65 to 79 years;1976 week 24;897
6158;Total male and female;65 to 79 years;1976 week 25;808
6159;Total male and female;65 to 79 years;1976 week 26;977
6160;Total male and female;65 to 79 years;1976 week 27;1036
6161;Total male and female;65 to 79 years;1976 week 28;999
6162;Total male and female;65 to 79 years;1976 week 29;819
6163;Total male and female;65 to 79 years;1976 week 30;745
6164;Total male and female;65 to 79 years;1976 week 31;758
6165;Total male and female;65 to 79 years;1976 week 32;773
6166;Total male and female;65 to 79 years;1976 week 33;846
6167;Total male and female;65 to 79 years;1976 week 34;788
6168;Total male and female;65 to 79 years;1976 week 35;853
6169;Total male and female;65 to 79 years;1976 week 36;722
6170;Total male and female;65 to 79 years;1976 week 37;791
6171;Total male and female;65 to 79 years;1976 week 38;803
6172;Total male and female;65 to 79 years;1976 week 39;800
6173;Total male and female;65 to 79 years;1976 week 40;866
6174;Total male and female;65 to 79 years;1976 week 41;838
6175;Total male and female;65 to 79 years;1976 week 42;808
6176;Total male and female;65 to 79 years;1976 week 43;882
6177;Total male and female;65 to 79 years;1976 week 44;869
6178;Total male and female;65 to 79 years;1976 week 45;867
6179;Total male and female;65 to 79 years;1976 week 46;890
6180;Total male and female;65 to 79 years;1976 week 47;836
6181;Total male and female;65 to 79 years;1976 week 48;876
6182;Total male and female;65 to 79 years;1976 week 49;913
6183;Total male and female;65 to 79 years;1976 week 50;939
6184;Total male and female;65 to 79 years;1976 week 51;900
6185;Total male and female;65 to 79 years;1976 week 52 ;898
6186;Total male and female;65 to 79 years;1976 week 53 (5 days);695
6187;Total male and female;65 to 79 years;1976;46284
6188;Total male and female;65 to 79 years;1977 week 0 (2 days);261
6189;Total male and female;65 to 79 years;1977 week 1;911
6190;Total male and female;65 to 79 years;1977 week 2;885
6191;Total male and female;65 to 79 years;1977 week 3;862
6192;Total male and female;65 to 79 years;1977 week 4;835
6193;Total male and female;65 to 79 years;1977 week 5;887
6194;Total male and female;65 to 79 years;1977 week 6;898
6195;Total male and female;65 to 79 years;1977 week 7;829
6196;Total male and female;65 to 79 years;1977 week 8;853
6197;Total male and female;65 to 79 years;1977 week 9;918
6198;Total male and female;65 to 79 years;1977 week 10;849
6199;Total male and female;65 to 79 years;1977 week 11;906
6200;Total male and female;65 to 79 years;1977 week12;808
6201;Total male and female;65 to 79 years;1977 week 13;922
6202;Total male and female;65 to 79 years;1977 week 14;894
6203;Total male and female;65 to 79 years;1977 week 15;909
6204;Total male and female;65 to 79 years;1977 week 16;911
6205;Total male and female;65 to 79 years;1977 week 17;836
6206;Total male and female;65 to 79 years;1977 week 18;828
6207;Total male and female;65 to 79 years;1977 week 19;868
6208;Total male and female;65 to 79 years;1977 week 20;841
6209;Total male and female;65 to 79 years;1977 week 21;856
6210;Total male and female;65 to 79 years;1977 week 22;831
6211;Total male and female;65 to 79 years;1977 week 23;844
6212;Total male and female;65 to 79 years;1977 week 24;871
6213;Total male and female;65 to 79 years;1977 week 25;804
6214;Total male and female;65 to 79 years;1977 week 26;810
6215;Total male and female;65 to 79 years;1977 week 27;869
6216;Total male and female;65 to 79 years;1977 week 28;763
6217;Total male and female;65 to 79 years;1977 week 29;783
6218;Total male and female;65 to 79 years;1977 week 30;770
6219;Total male and female;65 to 79 years;1977 week 31;809
6220;Total male and female;65 to 79 years;1977 week 32;822
6221;Total male and female;65 to 79 years;1977 week 33;790
6222;Total male and female;65 to 79 years;1977 week 34;809
6223;Total male and female;65 to 79 years;1977 week 35;830
6224;Total male and female;65 to 79 years;1977 week 36;777
6225;Total male and female;65 to 79 years;1977 week 37;805
6226;Total male and female;65 to 79 years;1977 week 38;862
6227;Total male and female;65 to 79 years;1977 week 39;836
6228;Total male and female;65 to 79 years;1977 week 40;878
6229;Total male and female;65 to 79 years;1977 week 41;886
6230;Total male and female;65 to 79 years;1977 week 42;821
6231;Total male and female;65 to 79 years;1977 week 43;808
6232;Total male and female;65 to 79 years;1977 week 44;897
6233;Total male and female;65 to 79 years;1977 week 45;850
6234;Total male and female;65 to 79 years;1977 week 46;892
6235;Total male and female;65 to 79 years;1977 week 47;971
6236;Total male and female;65 to 79 years;1977 week 48;946
6237;Total male and female;65 to 79 years;1977 week 49;919
6238;Total male and female;65 to 79 years;1977 week 50;922
6239;Total male and female;65 to 79 years;1977 week 51;912
6240;Total male and female;65 to 79 years;1977 week 52 (6 days);757
6241;Total male and female;65 to 79 years;1977;44711
6242;Total male and female;65 to 79 years;1978 week 0 (1 dag);132
6243;Total male and female;65 to 79 years;1978 week 1;901
6244;Total male and female;65 to 79 years;1978 week 2;900
6245;Total male and female;65 to 79 years;1978 week 3;935
6246;Total male and female;65 to 79 years;1978 week 4;963
6247;Total male and female;65 to 79 years;1978 week 5;1004
6248;Total male and female;65 to 79 years;1978 week 6;1055
6249;Total male and female;65 to 79 years;1978 week 7;1150
6250;Total male and female;65 to 79 years;1978 week 8;1188
6251;Total male and female;65 to 79 years;1978 week 9;948
6252;Total male and female;65 to 79 years;1978 week 10;909
6253;Total male and female;65 to 79 years;1978 week 11;860
6254;Total male and female;65 to 79 years;1978 week 12;889
6255;Total male and female;65 to 79 years;1978 week 13;853
6256;Total male and female;65 to 79 years;1978 week 14;848
6257;Total male and female;65 to 79 years;1978 week 15;835
6258;Total male and female;65 to 79 years;1978 week 16;877
6259;Total male and female;65 to 79 years;1978 week 17;866
6260;Total male and female;65 to 79 years;1978 week 18;849
6261;Total male and female;65 to 79 years;1978 week 19;836
6262;Total male and female;65 to 79 years;1978 week 20;834
6263;Total male and female;65 to 79 years;1978 week 21;810
6264;Total male and female;65 to 79 years;1978 week 22;905
6265;Total male and female;65 to 79 years;1978 week 23;779
6266;Total male and female;65 to 79 years;1978 week 24;850
6267;Total male and female;65 to 79 years;1978 week 25;844
6268;Total male and female;65 to 79 years;1978 week 26;805
6269;Total male and female;65 to 79 years;1978 week 27;778
6270;Total male and female;65 to 79 years;1978 week 28;826
6271;Total male and female;65 to 79 years;1978 week 29;775
6272;Total male and female;65 to 79 years;1978 week 30;862
6273;Total male and female;65 to 79 years;1978 week 31;829
6274;Total male and female;65 to 79 years;1978 week 32;769
6275;Total male and female;65 to 79 years;1978 week 33;816
6276;Total male and female;65 to 79 years;1978 week 34;826
6277;Total male and female;65 to 79 years;1978 week 35;775
6278;Total male and female;65 to 79 years;1978 week 36;827
6279;Total male and female;65 to 79 years;1978 week 37;844
6280;Total male and female;65 to 79 years;1978 week 38;887
6281;Total male and female;65 to 79 years;1978 week 39;840
6282;Total male and female;65 to 79 years;1978 week 40;848
6283;Total male and female;65 to 79 years;1978 week 41;873
6284;Total male and female;65 to 79 years;1978 week 42;838
6285;Total male and female;65 to 79 years;1978 week 43;851
6286;Total male and female;65 to 79 years;1978 week 44;839
6287;Total male and female;65 to 79 years;1978 week 45;888
6288;Total male and female;65 to 79 years;1978 week 46;886
6289;Total male and female;65 to 79 years;1978 week 47;892
6290;Total male and female;65 to 79 years;1978 week 48;912
6291;Total male and female;65 to 79 years;1978 week 49;938
6292;Total male and female;65 to 79 years;1978 week 50;902
6293;Total male and female;65 to 79 years;1978 week 51;971
6294;Total male and female;65 to 79 years;1978 week 52;988
6295;Total male and female;65 to 79 years;1978;45905
6296;Total male and female;65 to 79 years;1979 week 1;950
6297;Total male and female;65 to 79 years;1979 week 2;873
6298;Total male and female;65 to 79 years;1979 week 3;879
6299;Total male and female;65 to 79 years;1979 week 4;895
6300;Total male and female;65 to 79 years;1979 week 5;910
6301;Total male and female;65 to 79 years;1979 week 6;853
6302;Total male and female;65 to 79 years;1979 week 7;897
6303;Total male and female;65 to 79 years;1979 week 8;855
6304;Total male and female;65 to 79 years;1979 week 9;934
6305;Total male and female;65 to 79 years;1979 week 10;906
6306;Total male and female;65 to 79 years;1979 week 11;914
6307;Total male and female;65 to 79 years;1979 week 12;858
6308;Total male and female;65 to 79 years;1979 week 13;830
6309;Total male and female;65 to 79 years;1979 week 14;918
6310;Total male and female;65 to 79 years;1979 week 15;909
6311;Total male and female;65 to 79 years;1979 week 16;876
6312;Total male and female;65 to 79 years;1979 week 17;813
6313;Total male and female;65 to 79 years;1979 week 18;830
6314;Total male and female;65 to 79 years;1979 week 19;837
6315;Total male and female;65 to 79 years;1979 week 20;931
6316;Total male and female;65 to 79 years;1979 week 21;877
6317;Total male and female;65 to 79 years;1979 week 22;846
6318;Total male and female;65 to 79 years;1979 week 23;856
6319;Total male and female;65 to 79 years;1979 week 24;787
6320;Total male and female;65 to 79 years;1979 week 25;887
6321;Total male and female;65 to 79 years;1979 week 26;850
6322;Total male and female;65 to 79 years;1979 week 27;771
6323;Total male and female;65 to 79 years;1979 week 28;833
6324;Total male and female;65 to 79 years;1979 week 29;784
6325;Total male and female;65 to 79 years;1979 week 30;840
6326;Total male and female;65 to 79 years;1979 week 31;833
6327;Total male and female;65 to 79 years;1979 week 32;793
6328;Total male and female;65 to 79 years;1979 week 33;802
6329;Total male and female;65 to 79 years;1979 week 34;807
6330;Total male and female;65 to 79 years;1979 week 35;854
6331;Total male and female;65 to 79 years;1979 week 36;887
6332;Total male and female;65 to 79 years;1979 week 37;841
6333;Total male and female;65 to 79 years;1979 week 38;858
6334;Total male and female;65 to 79 years;1979 week 39;865
6335;Total male and female;65 to 79 years;1979 week 40;865
6336;Total male and female;65 to 79 years;1979 week 41;891
6337;Total male and female;65 to 79 years;1979 week 42;834
6338;Total male and female;65 to 79 years;1979 week 43;864
6339;Total male and female;65 to 79 years;1979 week 44;890
6340;Total male and female;65 to 79 years;1979 week 45;936
6341;Total male and female;65 to 79 years;1979 week 46;908
6342;Total male and female;65 to 79 years;1979 week 47;946
6343;Total male and female;65 to 79 years;1979 week 48;918
6344;Total male and female;65 to 79 years;1979 week 49;870
6345;Total male and female;65 to 79 years;1979 week 50;938
6346;Total male and female;65 to 79 years;1979 week 51;966
6347;Total male and female;65 to 79 years;1979 week 52;927
6348;Total male and female;65 to 79 years;1979 week 53 (1 day);139
6349;Total male and female;65 to 79 years;1979;45431
6350;Total male and female;65 to 79 years;1980 week 1 (6 days);826
6351;Total male and female;65 to 79 years;1980 week 2;908
6352;Total male and female;65 to 79 years;1980 week 3;984
6353;Total male and female;65 to 79 years;1080 week 4;1007
6354;Total male and female;65 to 79 years;1980 week 5;923
6355;Total male and female;65 to 79 years;1980 week 6;849
6356;Total male and female;65 to 79 years;1980 week 7;884
6357;Total male and female;65 to 79 years;1980 week 8;870
6358;Total male and female;65 to 79 years;1980 week 9;894
6359;Total male and female;65 to 79 years;1980 week 10;933
6360;Total male and female;65 to 79 years;1980 week 11;927
6361;Total male and female;65 to 79 years;1980 week 12;847
6362;Total male and female;65 to 79 years;1980 week 13;863
6363;Total male and female;65 to 79 years;1980 week 14;852
6364;Total male and female;65 to 79 years;1980 week 15;866
6365;Total male and female;65 to 79 years;1980 week 16;864
6366;Total male and female;65 to 79 years;1980 week 17;884
6367;Total male and female;65 to 79 years;1980 week 18;833
6368;Total male and female;65 to 79 years;1980 week 19;893
6369;Total male and female;65 to 79 years;1980 week 20;902
6370;Total male and female;65 to 79 years;1980 week 21;878
6371;Total male and female;65 to 79 years;1980 week 22;876
6372;Total male and female;65 to 79 years;1980 week 23;870
6373;Total male and female;65 to 79 years;1980 week 24;892
6374;Total male and female;65 to 79 years;1980 week 25;762
6375;Total male and female;65 to 79 years;1980 week 26;810
6376;Total male and female;65 to 79 years;1980 week 27;839
6377;Total male and female;65 to 79 years;1980 week 28;776
6378;Total male and female;65 to 79 years;1980 week 29;797
6379;Total male and female;65 to 79 years;1980 week 30;948
6380;Total male and female;65 to 79 years;1980 week 31;886
6381;Total male and female;65 to 79 years;1980 week 32;769
6382;Total male and female;65 to 79 years;1980 week 33;823
6383;Total male and female;65 to 79 years;1980 week 34;753
6384;Total male and female;65 to 79 years;1980 week 35;816
6385;Total male and female;65 to 79 years;1980 week 36;840
6386;Total male and female;65 to 79 years;1980 week 37;818
6387;Total male and female;65 to 79 years;1980 week 38;908
6388;Total male and female;65 to 79 years;1980 week 39;787
6389;Total male and female;65 to 79 years;1980 week 40;804
6390;Total male and female;65 to 79 years;1980 week 41;887
6391;Total male and female;65 to 79 years;1980 week 42;898
6392;Total male and female;65 to 79 years;1980 week 43;932
6393;Total male and female;65 to 79 years;1980 week 44;863
6394;Total male and female;65 to 79 years;1980 week 45;932
6395;Total male and female;65 to 79 years;1980 week 46;915
6396;Total male and female;65 to 79 years;1980 week 47;924
6397;Total male and female;65 to 79 years;1980 week 48;823
6398;Total male and female;65 to 79 years;1980 week 49;952
6399;Total male and female;65 to 79 years;1980 week 50;896
6400;Total male and female;65 to 79 years;1980 week 51;935
6401;Total male and female;65 to 79 years;1980 week 52;954
6402;Total male and female;65 to 79 years;1980 week 53 (3 days);363
6403;Total male and female;65 to 79 years;1980;45735
6404;Total male and female;65 to 79 years;1981 week 1 (4 days);531
6405;Total male and female;65 to 79 years;1981 week 2;897
6406;Total male and female;65 to 79 years;1981 week 3;927
6407;Total male and female;65 to 79 years;1981 week 4;901
6408;Total male and female;65 to 79 years;1981 week 5;893
6409;Total male and female;65 to 79 years;1981 week 6;863
6410;Total male and female;65 to 79 years;1981 week 7;910
6411;Total male and female;65 to 79 years;1981 week 8;928
6412;Total male and female;65 to 79 years;1981 week 9;948
6413;Total male and female;65 to 79 years;1981 week 10;910
6414;Total male and female;65 to 79 years;1981 week 11;912
6415;Total male and female;65 to 79 years;1981 week 12;861
6416;Total male and female;65 to 79 years;1981 week 13;925
6417;Total male and female;65 to 79 years;1981 week 14;865
6418;Total male and female;65 to 79 years;1981 week 15;904
6419;Total male and female;65 to 79 years;1981 week 16;872
6420;Total male and female;65 to 79 years;1981 week 17;918
6421;Total male and female;65 to 79 years;1981 week 18;822
6422;Total male and female;65 to 79 years;1981 week 19;966
6423;Total male and female;65 to 79 years;1981 week 20;842
6424;Total male and female;65 to 79 years;1981 week 21;863
6425;Total male and female;65 to 79 years;1981 week 22;855
6426;Total male and female;65 to 79 years;1981 week 23;892
6427;Total male and female;65 to 79 years;1981 week 24;811
6428;Total male and female;65 to 79 years;1981 week 25;845
6429;Total male and female;65 to 79 years;1981 week 26;905
6430;Total male and female;65 to 79 years;1981 week 27;776
6431;Total male and female;65 to 79 years;1981 week 28;933
6432;Total male and female;65 to 79 years;1981 week 29;792
6433;Total male and female;65 to 79 years;1981 week 30;766
6434;Total male and female;65 to 79 years;1981 week 31;782
6435;Total male and female;65 to 79 years;1981 week 32;941
6436;Total male and female;65 to 79 years;1981 week 33;841
6437;Total male and female;65 to 79 years;1981 week 34;763
6438;Total male and female;65 to 79 years;1981 week 35;807
6439;Total male and female;65 to 79 years;1981 week 36;829
6440;Total male and female;65 to 79 years;1981 week 37;869
6441;Total male and female;65 to 79 years;1981 week 38;823
6442;Total male and female;65 to 79 years;1981 week 39;842
6443;Total male and female;65 to 79 years;1981 week 40;899
6444;Total male and female;65 to 79 years;1981 week 41;839
6445;Total male and female;65 to 79 years;1981 week 42;840
6446;Total male and female;65 to 79 years;1981 week 43;931
6447;Total male and female;65 to 79 years;1981 week 44;944
6448;Total male and female;65 to 79 years;1981 week 45;847
6449;Total male and female;65 to 79 years;1981 week 46;857
6450;Total male and female;65 to 79 years;1981 week 47;849
6451;Total male and female;65 to 79 years;1981 week 48;914
6452;Total male and female;65 to 79 years;1981 week 49;855
6453;Total male and female;65 to 79 years;1981 week 50;996
6454;Total male and female;65 to 79 years;1981 week 51;998
6455;Total male and female;65 to 79 years;1981 week 52;1019
6456;Total male and female;65 to 79 years;1981 week 53 (4 days);576
6457;Total male and female;65 to 79 years;1981;45894
6458;Total male and female;65 to 79 years;1982 week 0  (3 days);394
6459;Total male and female;65 to 79 years;1982 week 1;941
6460;Total male and female;65 to 79 years;1982 week 2;898
6461;Total male and female;65 to 79 years;1982 week 3;910
6462;Total male and female;65 to 79 years;1982 week 4;890
6463;Total male and female;65 to 79 years;1982 week 5;869
6464;Total male and female;65 to 79 years;1982 week 6;881
6465;Total male and female;65 to 79 years;1982 week 7;797
6466;Total male and female;65 to 79 years;1982 week 8;891
6467;Total male and female;65 to 79 years;1982 week 9;966
6468;Total male and female;65 to 79 years;1982 week 10;909
6469;Total male and female;65 to 79 years;1982 week 11;885
6470;Total male and female;65 to 79 years;1982 week 12;890
6471;Total male and female;65 to 79 years;1982 week 13;918
6472;Total male and female;65 to 79 years;1982 week 14;845
6473;Total male and female;65 to 79 years;1982 week 15;870
6474;Total male and female;65 to 79 years;1982 week 16;895
6475;Total male and female;65 to 79 years;1982 week 17;924
6476;Total male and female;65 to 79 years;1982 week 18;831
6477;Total male and female;65 to 79 years;1982 week 19;874
6478;Total male and female;65 to 79 years;1982 week 20;871
6479;Total male and female;65 to 79 years;1982 week 21;748
6480;Total male and female;65 to 79 years;1982 week 22;1007
6481;Total male and female;65 to 79 years;1982 week 23;879
6482;Total male and female;65 to 79 years;1982 week 24;829
6483;Total male and female;65 to 79 years;1982 week 25;829
6484;Total male and female;65 to 79 years;1982 week 26;870
6485;Total male and female;65 to 79 years;1982 week 27;869
6486;Total male and female;65 to 79 years;1982 week 28;917
6487;Total male and female;65 to 79 years;1982 week 29;821
6488;Total male and female;65 to 79 years;1982 week 30;865
6489;Total male and female;65 to 79 years;1982 week 31;908
6490;Total male and female;65 to 79 years;1982 week 32;786
6491;Total male and female;65 to 79 years;1982 week 33;765
6492;Total male and female;65 to 79 years;1982 week 34;761
6493;Total male and female;65 to 79 years;1982 week 35;841
6494;Total male and female;65 to 79 years;1982 week 36;829
6495;Total male and female;65 to 79 years;1982 week 37;846
6496;Total male and female;65 to 79 years;1982 week 38;826
6497;Total male and female;65 to 79 years;1982 week 39;746
6498;Total male and female;65 to 79 years;1982 week 40;836
6499;Total male and female;65 to 79 years;1982 week 41;822
6500;Total male and female;65 to 79 years;1982 week 42;845
6501;Total male and female;65 to 79 years;1982 week 43;839
6502;Total male and female;65 to 79 years;1982 week 44;859
6503;Total male and female;65 to 79 years;1982 week 45;859
6504;Total male and female;65 to 79 years;1982 week 46;874
6505;Total male and female;65 to 79 years;1982 week 47;904
6506;Total male and female;65 to 79 years;1982 week 48;930
6507;Total male and female;65 to 79 years;1982 week 49;972
6508;Total male and female;65 to 79 years;1982 week 50;981
6509;Total male and female;65 to 79 years;1982 week 51;1094
6510;Total male and female;65 to 79 years;1982 week 52  (5 days);759
6511;Total male and female;65 to 79 years;1982;45665
6512;Total male and female;65 to 79 years;1983 week 0 (2 days);281
6513;Total male and female;65 to 79 years;1983 week 1;955
6514;Total male and female;65 to 79 years;1983 week 2;1012
6515;Total male and female;65 to 79 years;1983 week 3;886
6516;Total male and female;65 to 79 years;1983 week 4;851
6517;Total male and female;65 to 79 years;1983 week 5;883
6518;Total male and female;65 to 79 years;1983 week 6;898
6519;Total male and female;65 to 79 years;1983 week 7;905
6520;Total male and female;65 to 79 years;1983 week 8;944
6521;Total male and female;65 to 79 years;1983 week 9;887
6522;Total male and female;65 to 79 years;1983 week 10;907
6523;Total male and female;65 to 79 years;1983 week 11;855
6524;Total male and female;65 to 79 years;1982 week 12;854
6525;Total male and female;65 to 79 years;1983 week 13;854
6526;Total male and female;65 to 79 years;1983 week 14;866
6527;Total male and female;65 to 79 years;1983 week 15;828
6528;Total male and female;65 to 79 years;1983 week 16;869
6529;Total male and female;65 to 79 years;1983 week 17;887
6530;Total male and female;65 to 79 years;1983 week 18;838
6531;Total male and female;65 to 79 years;1983 week 19;869
6532;Total male and female;65 to 79 years;1983 week 20;894
6533;Total male and female;65 to 79 years;1983 week 21;817
6534;Total male and female;65 to 79 years;1983 week 22;895
6535;Total male and female;65 to 79 years;1983 week 23;890
6536;Total male and female;65 to 79 years;1983 week 24;839
6537;Total male and female;65 to 79 years;1983 week 25;892
6538;Total male and female;65 to 79 years;1983 week 26;815
6539;Total male and female;65 to 79 years;1983 week 27;855
6540;Total male and female;65 to 79 years;1983 week 28;899
6541;Total male and female;65 to 79 years;1983 week 29;785
6542;Total male and female;65 to 79 years;1983 week 30;764
6543;Total male and female;65 to 79 years;1983 week 31;784
6544;Total male and female;65 to 79 years;1983 week 32;792
6545;Total male and female;65 to 79 years;1983 week 33;862
6546;Total male and female;65 to 79 years;1983 week 34;823
6547;Total male and female;65 to 79 years;1983 week 35;787
6548;Total male and female;65 to 79 years;1983 week 36;801
