ID;SBI93;Perioden;IndexcijfersOmzet_1;Omzetontwikkeling_2;CumulatieveOmzetontwikkeling_3
788;642 Telecommunicatie;2004 4e kwartaal;101;-1.9;-0.8
789;642 Telecommunicatie;2004;99;-0.8;-0.8
790;642 Telecommunicatie;2005 1e kwartaal;97;0.6;0.6
791;642 Telecommunicatie;2005 2e kwartaal;100;1.9;1.3
792;642 Telecommunicatie;2005 3e kwartaal;100;-0.5;0.7
793;642 Telecommunicatie;2005 4e kwartaal;101;-0.2;0.5
794;642 Telecommunicatie;2005;100;0.5;0.5
795;642 Telecommunicatie;2006 1e kwartaal;100;2.5;2.5
796;642 Telecommunicatie;2006 2e kwartaal;101;0.5;1.5
797;642 Telecommunicatie;2006 3e kwartaal;103;2.8;1.9
798;642 Telecommunicatie;2006 4e kwartaal;107;6.1;3.0
799;642 Telecommunicatie;2006;103;3.0;3.0
800;642 Telecommunicatie;2007 1e kwartaal;103;2.9;2.9
801;642 Telecommunicatie;2007 2e kwartaal;105;4.7;3.8
802;642 Telecommunicatie;2007 3e kwartaal;103;0.4;2.7
803;642 Telecommunicatie;2007 4e kwartaal;103;-3.1;1.2
804;642 Telecommunicatie;2007;104;1.2;1.2
805;642 Telecommunicatie;2008 1e kwartaal;98;-4.7;-4.7
806;642 Telecommunicatie;2008 2e kwartaal;101;-4.6;-4.7
807;642 Telecommunicatie;2008 3e kwartaal;99;-4.1;-4.5
808;642 Telecommunicatie;2008 4e kwartaal;104;0.8;-3.2
809;642 Telecommunicatie;2008;100;-3.2;-3.2
