ID;Sex;PersonalCharacteristics;Periods;TotalPopulationAged15YearsAndOlder_1;TotalLabourForceAccToInternatDef_2;EmpLabourForceAccToInternatDef_3;UnempLabourForceAccToInternatDef_4;PeopleNotIncludedInTheLabourForce_5;GrossLabourParticipation_6;NetLabourParticipation_7;UnemploymentAsAPercentage_8;TotalEmployees_9;EmployeesPermanentJobs_10;EmployeesFlexibleJobs_11;SelfEmployed_12;FamilyWorkers_13;k_0119HrsPerWeek_14;k_2034HrsPerWeek_15;k_35HrsPerWeek_16;WorkingHoursUnknown_17;Military_18;LegislatorsSeniorOfficialsManagers_19;ScientistsScholars_20;TechniciansSkilledWorkers_21;OfficeWorkers_22;ServiceShopAndMarketSalesWorkers_23;SkilledWorkersAgricultureAndFishery_24;Craftsmen_25;FactoryWorkersMachineOperatorsEtc_26;ElementaryOccupations_27;NotClassifiable_28
222;Total sex;Higher secondary education;2005;4672;3337;3178;159.0;1336.0;71.4;68.0;4.8;2791.0;2429.0;362.0;367.0;20.0;651.0;764.0;1757.0;6.0;19.0;301.0;182.0;735.0;503.0;570.0;43.0;386.0;182.0;233.0;23.0
223;Total sex;Higher secondary education;2006;4736;3379;3242;137.0;1358.0;71.3;68.5;4.0;2827.0;2427.0;401.0;393.0;21.0;652.0;792.0;1785.0;12.0;20.0;336.0;184.0;732.0;508.0;592.0;49.0;375.0;188.0;229.0;30.0
224;Total sex;Post-secondary education;2000;472;350;344;6.0;123.0;74.0;72.7;1.7;306.0;284.0;22.0;35.0;2.0;53.0;93.0;198.0;;;57.0;31.0;136.0;45.0;29.0;3.0;20.0;10.0;7.0;5.0
225;Total sex;Post-secondary education;2001;476;353;346;7.0;124.0;74.1;72.7;1.9;314.0;294.0;20.0;29.0;3.0;51.0;101.0;194.0;;;55.0;36.0;137.0;50.0;29.0;;21.0;6.0;8.0;3.0
226;Total sex;Post-secondary education;2002;487;346;339;6.0;141.0;71.0;69.7;1.9;303.0;280.0;22.0;35.0;2.0;58.0;100.0;180.0;;;42.0;37.0;147.0;44.0;30.0;2.0;18.0;8.0;7.0;3.0
227;Total sex;Post-secondary education;2003;479;333;325;8.0;146.0;69.6;67.9;2.4;291.0;274.0;17.0;32.0;3.0;50.0;98.0;176.0;;;47.0;28.0;131.0;44.0;30.0;2.0;22.0;10.0;8.0;4.0
228;Total sex;Post-secondary education;2004;410;273;263;11.0;136.0;66.8;64.2;3.9;236.0;218.0;18.0;26.0;;42.0;68.0;152.0;;;29.0;23.0;87.0;43.0;29.0;2.0;24.0;16.0;9.0;
229;Total sex;Post-secondary education;2005;408;272;262;11.0;136.0;66.8;64.2;3.9;230.0;213.0;16.0;30.0;2.0;42.0;72.0;148.0;;;33.0;22.0;89.0;47.0;24.0;2.0;23.0;11.0;6.0;3.0
230;Total sex;Post-secondary education;2006;401;278;270;8.0;123.0;69.3;67.3;2.9;238.0;224.0;14.0;30.0;2.0;35.0;72.0;162.0;;;34.0;21.0;93.0;44.0;26.0;2.0;25.0;14.0;8.0;2.0
231;Total sex;College and university educ., 1st stage;2000;2482;1985;1945;41.0;497.0;80.0;78.3;2.1;1681.0;1552.0;129.0;256.0;7.0;174.0;486.0;1285.0;;7.0;317.0;1021.0;335.0;107.0;59.0;3.0;21.0;15.0;14.0;44.0
232;Total sex;College and university educ., 1st stage;2001;2471;1958;1925;34.0;513.0;79.3;77.9;1.7;1669.0;1565.0;104.0;248.0;8.0;167.0;469.0;1289.0;;5.0;317.0;1025.0;329.0;106.0;63.0;3.0;16.0;17.0;14.0;29.0
233;Total sex;College and university educ., 1st stage;2002;2601;2093;2047;46.0;508.0;80.5;78.7;2.2;1792.0;1679.0;113.0;250.0;5.0;192.0;537.0;1315.0;3.0;6.0;331.0;1113.0;339.0;105.0;75.0;3.0;18.0;13.0;16.0;27.0
234;Total sex;College and university educ., 1st stage;2003;2778;2222;2157;65.0;556.0;80.0;77.6;2.9;1874.0;1753.0;121.0;277.0;5.0;209.0;589.0;1355.0;3.0;8.0;348.0;1118.0;390.0;118.0;75.0;4.0;22.0;14.0;19.0;42.0
235;Total sex;College and university educ., 1st stage;2004;3025;2379;2298;80.0;646.0;78.6;76.0;3.4;1981.0;1845.0;137.0;309.0;8.0;234.0;636.0;1424.0;5.0;10.0;269.0;1225.0;457.0;142.0;102.0;6.0;32.0;23.0;28.0;3.0
236;Total sex;College and university educ., 1st stage;2005;2982;2356;2278;77.0;626.0;79.0;76.4;3.3;1967.0;1822.0;145.0;304.0;7.0;243.0;646.0;1385.0;4.0;7.0;285.0;1207.0;427.0;150.0;100.0;5.0;32.0;17.0;21.0;28.0
237;Total sex;College and university educ., 1st stage;2006;3019;2377;2317;60.0;642.0;78.7;76.8;2.5;1977.0;1834.0;143.0;334.0;7.0;238.0;664.0;1411.0;4.0;7.0;320.0;1215.0;428.0;140.0;102.0;4.0;25.0;17.0;23.0;36.0
238;Total sex;College and university educ., 2nd stage;2000;37;31;31;;6.0;84.2;83.3;;27.0;25.0;2.0;4.0;;2.0;6.0;23.0;;;6.0;22.0;;;;;;;;
239;Total sex;College and university educ., 2nd stage;2001;35;30;30;;5.0;86.2;85.0;;26.0;24.0;;4.0;;;6.0;23.0;;;5.0;23.0;;;;;;;;
240;Total sex;College and university educ., 2nd stage;2002;35;30;29;;6.0;83.8;82.5;;25.0;23.0;;5.0;;;6.0;23.0;;;4.0;24.0;;;;;;;;
241;Total sex;College and university educ., 2nd stage;2003;35;29;28;;6.0;83.2;81.7;;25.0;25.0;;3.0;;2.0;6.0;21.0;;;4.0;23.0;;;;;;;;
242;Total sex;College and university educ., 2nd stage;2004;62;53;52;;9.0;85.2;83.9;;43.0;41.0;2.0;9.0;;2.0;9.0;40.0;;;8.0;39.0;4.0;;;;;;;
243;Total sex;College and university educ., 2nd stage;2005;77;66;64;2.0;11.0;85.5;83.2;2.7;52.0;50.0;3.0;12.0;;4.0;10.0;50.0;;;8.0;47.0;6.0;;;;;;;
244;Total sex;College and university educ., 2nd stage;2006;70;62;62;;8.0;89.0;88.5;;50.0;47.0;3.0;12.0;;3.0;14.0;45.0;;;9.0;46.0;4.0;;;;;;;
245;Total sex;Education unknown;2000;52;34;33;;18.0;65.7;63.1;;29.0;26.0;3.0;3.0;;2.0;7.0;24.0;;;4.0;2.0;4.0;3.0;4.0;;6.0;4.0;3.0;3.0
246;Total sex;Education unknown;2001;57;39;38;;18.0;68.1;66.8;;33.0;29.0;5.0;4.0;;2.0;7.0;29.0;;;4.0;3.0;5.0;3.0;5.0;;6.0;4.0;5.0;2.0
247;Total sex;Education unknown;2002;41;27;27;;14.0;65.6;64.6;;23.0;20.0;3.0;3.0;;2.0;4.0;20.0;;;3.0;;3.0;4.0;2.0;;4.0;2.0;4.0;3.0
248;Total sex;Education unknown;2003;43;29;28;;14.0;67.4;64.0;;25.0;22.0;3.0;3.0;;2.0;5.0;21.0;;;4.0;;4.0;3.0;3.0;;4.0;3.0;4.0;
249;Total sex;Education unknown;2004;102;52;46;6.0;50.0;50.8;45.1;11.2;38.0;32.0;6.0;7.0;;6.0;11.0;29.0;;;4.0;;3.0;3.0;5.0;2.0;5.0;7.0;13.0;4.0
250;Total sex;Education unknown;2005;82;39;36;3.0;43.0;47.7;44.4;6.9;30.0;27.0;3.0;6.0;;4.0;7.0;25.0;;;3.0;;2.0;2.0;6.0;;5.0;7.0;8.0;
251;Total sex;Education unknown;2006;88;47;42;5.0;42.0;52.7;47.5;9.9;36.0;29.0;7.0;5.0;;5.0;6.0;30.0;;;4.0;2.0;3.0;2.0;5.0;2.0;6.0;7.0;9.0;2.0
252;Men;Total personal characteristics;2000;6288;4569;4459;111.0;1719.0;72.7;70.9;2.4;3864.0;3461.0;403.0;581.0;13.0;374.0;415.0;3668.0;;33.0;748.0;765.0;653.0;297.0;292.0;98.0;708.0;430.0;324.0;111.0
253;Men;Total personal characteristics;2001;6338;4584;4482;102.0;1755.0;72.3;70.7;2.2;3905.0;3520.0;385.0;567.0;9.0;371.0;422.0;3688.0;;37.0;747.0;766.0;646.0;305.0;295.0;88.0;733.0;434.0;353.0;78.0
254;Men;Total personal characteristics;2002;6381;4617;4486;132.0;1764.0;72.4;70.3;2.8;3880.0;3490.0;389.0;598.0;8.0;408.0;456.0;3614.0;8.0;33.0;732.0;807.0;648.0;269.0;317.0;91.0;723.0;425.0;369.0;72.0
255;Men;Total personal characteristics;2003;6413;4621;4427;195.0;1792.0;72.1;69.0;4.2;3816.0;3432.0;383.0;602.0;9.0;397.0;486.0;3535.0;7.0;32.0;726.0;772.0;671.0;281.0;327.0;92.0;670.0;419.0;359.0;77.0
256;Men;Total personal characteristics;2004;6438;4594;4365;229.0;1844.0;71.4;67.8;5.0;3744.0;3341.0;403.0;612.0;10.0;414.0;464.0;3476.0;10.0;34.0;565.0;803.0;703.0;317.0;327.0;94.0;700.0;447.0;356.0;18.0
257;Men;Total personal characteristics;2005;6460;4560;4338;222.0;1900.0;70.6;67.2;4.9;3697.0;3270.0;427.0;633.0;8.0;429.0;471.0;3431.0;7.0;34.0;580.0;789.0;659.0;305.0;345.0;82.0;697.0;413.0;384.0;51.0
258;Men;Total personal characteristics;2006;6484;4601;4419;182.0;1883.0;71.0;68.2;4.0;3734.0;3274.0;460.0;674.0;11.0;442.0;487.0;3480.0;11.0;33.0;626.0;782.0;656.0;295.0;352.0;92.0;692.0;416.0;414.0;62.0
259;Men;15-24 yrs;2000;952;682;646;36.0;270.0;71.6;67.9;5.2;625.0;410.0;215.0;17.0;5.0;262.0;64.0;320.0;;7.0;16.0;24.0;59.0;55.0;92.0;30.0;128.0;56.0;146.0;34.0
260;Men;15-24 yrs;2001;959;687;648;39.0;272.0;71.6;67.6;5.7;623.0;410.0;213.0;23.0;3.0;252.0;74.0;323.0;;10.0;19.0;27.0;60.0;46.0;100.0;30.0;131.0;58.0;155.0;13.0
261;Men;15-24 yrs;2002;969;696;652;44.0;274.0;71.8;67.2;6.4;628.0;410.0;217.0;21.0;3.0;272.0;78.0;299.0;2.0;8.0;12.0;24.0;63.0;46.0;119.0;30.0;121.0;50.0;166.0;13.0
262;Men;15-24 yrs;2003;976;698;644;55.0;278.0;71.5;65.9;7.8;620.0;408.0;212.0;19.0;4.0;270.0;84.0;288.0;2.0;8.0;17.0;23.0;59.0;57.0;112.0;31.0;109.0;52.0;164.0;12.0
263;Men;15-24 yrs;2004;979;688;622;66.0;292.0;70.2;63.5;9.6;595.0;372.0;223.0;24.0;3.0;271.0;82.0;266.0;3.0;8.0;16.0;22.0;52.0;50.0;109.0;29.0;107.0;53.0;172.0;2.0
264;Men;15-24 yrs;2005;984;676;613;63.0;308.0;68.7;62.3;9.4;590.0;362.0;227.0;21.0;3.0;275.0;72.0;263.0;3.0;9.0;12.0;22.0;50.0;47.0;107.0;27.0;106.0;46.0;179.0;7.0
265;Men;15-24 yrs;2006;991;694;645;49.0;297.0;70.0;65.1;7.0;613.0;361.0;252.0;27.0;4.0;290.0;80.0;270.0;6.0;11.0;18.0;25.0;56.0;45.0;118.0;28.0;104.0;43.0;192.0;7.0
266;Men;25-34 yrs;2000;1242;1177;1152;24.0;66.0;94.7;92.8;2.1;1041.0;967.0;74.0;107.0;4.0;24.0;79.0;1049.0;;9.0;169.0;200.0;199.0;71.0;81.0;22.0;200.0;121.0;54.0;26.0
267;Men;25-34 yrs;2001;1214;1137;1117;20.0;77.0;93.7;92.0;1.7;1013.0;941.0;72.0;102.0;3.0;27.0;70.0;1021.0;;8.0;149.0;197.0;194.0;79.0;76.0;18.0;199.0;114.0;62.0;21.0
268;Men;25-34 yrs;2002;1183;1107;1076;31.0;76.0;93.6;90.9;2.8;965.0;898.0;67.0;108.0;3.0;27.0;82.0;966.0;;8.0;145.0;196.0;189.0;65.0;78.0;17.0;186.0;111.0;62.0;19.0
269;Men;25-34 yrs;2003;1149;1076;1028;48.0;73.0;93.6;89.5;4.4;918.0;856.0;62.0;109.0;;25.0;80.0;923.0;;8.0;131.0;191.0;196.0;58.0;80.0;20.0;174.0;100.0;53.0;16.0
270;Men;25-34 yrs;2004;1110;1038;991;47.0;72.0;93.5;89.3;4.5;889.0;816.0;74.0;99.0;3.0;31.0;82.0;876.0;;8.0;99.0;191.0;193.0;69.0;82.0;18.0;177.0;100.0;49.0;4.0
271;Men;25-34 yrs;2005;1070;990;948;43.0;80.0;92.5;88.5;4.3;856.0;772.0;83.0;90.0;2.0;33.0;83.0;831.0;;11.0;92.0;178.0;176.0;67.0;81.0;13.0;169.0;93.0;58.0;9.0
272;Men;25-34 yrs;2006;1038;962;929;33.0;75.0;92.7;89.6;3.4;834.0;753.0;81.0;93.0;2.0;30.0;78.0;821.0;;9.0;95.0;176.0;171.0;64.0;81.0;18.0;162.0;81.0;57.0;16.0
273;Men;35-44 yrs;2000;1283;1213;1192;22.0;70.0;94.5;92.9;1.8;1025.0;979.0;46.0;163.0;3.0;14.0;102.0;1075.0;;9.0;231.0;222.0;197.0;78.0;57.0;24.0;180.0;115.0;56.0;21.0
274;Men;35-44 yrs;2001;1299;1223;1205;19.0;76.0;94.1;92.7;1.5;1038.0;1003.0;35.0;166.0;;13.0;100.0;1092.0;;10.0;240.0;222.0;184.0;83.0;63.0;18.0;192.0;115.0;58.0;19.0
275;Men;35-44 yrs;2002;1308;1221;1196;25.0;87.0;93.4;91.4;2.1;1026.0;988.0;38.0;169.0;;19.0;117.0;1060.0;;8.0;244.0;234.0;184.0;66.0;56.0;20.0;186.0;117.0;65.0;17.0
276;Men;35-44 yrs;2003;1313;1223;1182;41.0;89.0;93.2;90.0;3.4;1011.0;970.0;42.0;169.0;2.0;14.0;117.0;1050.0;;8.0;236.0;219.0;185.0;66.0;66.0;18.0;176.0;119.0;66.0;22.0
277;Men;35-44 yrs;2004;1317;1220;1170;51.0;97.0;92.7;88.8;4.2;986.0;943.0;43.0;182.0;;15.0;105.0;1048.0;2.0;9.0;182.0;224.0;207.0;81.0;65.0;21.0;188.0;130.0;57.0;6.0
278;Men;35-44 yrs;2005;1319;1215;1165;50.0;104.0;92.1;88.3;4.1;974.0;929.0;45.0;190.0;;20.0;108.0;1036.0;;7.0;192.0;220.0;188.0;81.0;75.0;18.0;185.0;120.0;64.0;15.0
279;Men;35-44 yrs;2006;1313;1213;1176;37.0;100.0;92.4;89.6;3.1;968.0;925.0;43.0;206.0;2.0;15.0;108.0;1052.0;;7.0;201.0;216.0;194.0;75.0;74.0;18.0;185.0;124.0;65.0;17.0
280;Men;45-54 yrs;2000;1160;1045;1026;19.0;115.0;90.1;88.5;1.8;855.0;821.0;34.0;171.0;;20.0;91.0;915.0;;8.0;212.0;229.0;147.0;65.0;43.0;16.0;146.0;99.0;44.0;15.0
281;Men;45-54 yrs;2001;1164;1053;1036;17.0;111.0;90.5;89.0;1.6;881.0;851.0;30.0;154.0;;20.0;99.0;917.0;;9.0;227.0;220.0;146.0;66.0;38.0;12.0;148.0;100.0;51.0;19.0
282;Men;45-54 yrs;2002;1154;1039;1019;20.0;115.0;90.0;88.3;1.9;862.0;832.0;30.0;156.0;;15.0;97.0;906.0;;7.0;206.0;225.0;142.0;62.0;43.0;13.0;157.0;101.0;47.0;15.0
283;Men;45-54 yrs;2003;1151;1040;1006;33.0;111.0;90.4;87.5;3.2;842.0;812.0;30.0;164.0;;18.0;103.0;886.0;;7.0;210.0;213.0;153.0;62.0;44.0;14.0;144.0;95.0;47.0;18.0
284;Men;45-54 yrs;2004;1154;1033;992;41.0;121.0;89.5;86.0;3.9;835.0;807.0;28.0;156.0;;20.0;105.0;867.0;;7.0;160.0;221.0;166.0;75.0;46.0;16.0;150.0;99.0;48.0;4.0
285;Men;45-54 yrs;2005;1164;1041;1003;38.0;123.0;89.4;86.2;3.6;829.0;799.0;30.0;173.0;;19.0;105.0;878.0;;7.0;169.0;224.0;158.0;67.0;50.0;13.0;156.0;97.0;49.0;13.0
286;Men;45-54 yrs;2006;1177;1058;1025;33.0;118.0;89.9;87.1;3.1;844.0;811.0;33.0;180.0;;19.0;106.0;899.0;;6.0;183.0;221.0;157.0;70.0;49.0;16.0;150.0;103.0;55.0;15.0
287;Men;55-64 yrs;2000;797;406;395;10.0;392.0;50.9;49.6;2.5;299.0;279.0;21.0;96.0;;30.0;69.0;296.0;;;105.0;82.0;47.0;25.0;16.0;5.0;50.0;34.0;22.0;8.0
288;Men;55-64 yrs;2001;833;436;429;7.0;397.0;52.4;51.5;1.7;333.0;310.0;23.0;95.0;;36.0;68.0;325.0;;;98.0;89.0;58.0;29.0;15.0;8.0;57.0;42.0;25.0;7.0
289;Men;55-64 yrs;2002;883;500;490;10.0;383.0;56.6;55.5;1.9;379.0;356.0;24.0;111.0;;46.0;72.0;370.0;2.0;;106.0;115.0;63.0;28.0;19.0;9.0;71.0;44.0;27.0;7.0
290;Men;55-64 yrs;2003;923;526;510;16.0;398.0;56.9;55.2;3.0;400.0;376.0;25.0;108.0;;42.0;89.0;376.0;2.0;;114.0;115.0;71.0;35.0;22.0;8.0;63.0;48.0;25.0;8.0
291;Men;55-64 yrs;2004;955;554;530;24.0;401.0;58.0;55.5;4.3;415.0;392.0;23.0;114.0;;46.0;78.0;404.0;2.0;;92.0;129.0;77.0;39.0;23.0;9.0;75.0;58.0;27.0;
292;Men;55-64 yrs;2005;981;568;541;27.0;413.0;57.9;55.1;4.8;420.0;395.0;26.0;120.0;;46.0;89.0;405.0;;;95.0;131.0;77.0;39.0;27.0;8.0;76.0;53.0;29.0;6.0
293;Men;55-64 yrs;2006;1005;597;569;28.0;408.0;59.4;56.6;4.6;444.0;413.0;31.0;124.0;;50.0;97.0;420.0;2.0;;105.0;130.0;71.0;38.0;25.0;9.0;85.0;57.0;41.0;7.0
294;Men;65-74 yrs;2000;544;43;43;;501.0;7.9;7.9;;18.0;6.0;12.0;25.0;;23.0;9.0;11.0;;;13.0;7.0;3.0;2.0;2.0;;3.0;4.0;;6.0
295;Men;65-74 yrs;2001;551;40;40;;511.0;7.3;7.2;;17.0;5.0;12.0;22.0;;20.0;11.0;9.0;;;12.0;9.0;4.0;;2.0;;4.0;5.0;3.0;
296;Men;65-74 yrs;2002;559;47;46;;512.0;8.4;8.2;;17.0;5.0;12.0;28.0;;25.0;8.0;11.0;;;16.0;13.0;6.0;2.0;2.0;;2.0;2.0;;
297;Men;65-74 yrs;2003;568;51;49;2.0;517.0;9.0;8.7;3.6;22.0;11.0;11.0;27.0;;25.0;12.0;12.0;;;16.0;8.0;6.0;2.0;3.0;;2.0;5.0;4.0;
298;Men;65-74 yrs;2004;580;52;51;;527.0;9.0;8.8;;20.0;9.0;11.0;30.0;;26.0;11.0;13.0;;;14.0;14.0;6.0;2.0;2.0;;3.0;6.0;3.0;
299;Men;65-74 yrs;2005;592;62;61;;530.0;10.4;10.3;;26.0;12.0;14.0;34.0;;32.0;12.0;16.0;;;17.0;12.0;7.0;3.0;5.0;2.0;4.0;5.0;5.0;
300;Men;65-74 yrs;2006;603;69;67;2.0;534.0;11.5;11.1;3.3;29.0;10.0;19.0;38.0;;33.0;17.0;17.0;;;20.0;13.0;7.0;3.0;4.0;2.0;5.0;8.0;3.0;
301;Men;75 yrs and older;2000;310;4;4;;305.0;1.3;1.3;;;;;3.0;;;;2.0;;;;;;;;;;;;
302;Men;75 yrs and older;2001;317;7;7;;310.0;2.2;2.2;;;;;6.0;;4.0;;2.0;;;2.0;2.0;;;;;;;;
303;Men;75 yrs and older;2002;325;7;7;;318.0;2.3;2.3;;2.0;;2.0;5.0;;5.0;;;;;3.0;2.0;;;;;;;;
304;Men;75 yrs and older;2003;333;7;7;;325.0;2.2;2.2;;2.0;;2.0;5.0;;4.0;2.0;;;;3.0;2.0;;;;;;;;
305;Men;75 yrs and older;2004;342;9;9;;333.0;2.6;2.6;;3.0;;2.0;6.0;;5.0;2.0;2.0;;;2.0;2.0;3.0;;;;;;;
306;Men;75 yrs and older;2005;350;8;8;;342.0;2.2;2.2;;3.0;;2.0;5.0;;4.0;2.0;;;;2.0;2.0;;;;;;;;
307;Men;75 yrs and older;2006;357;8;8;;349.0;2.1;2.1;;2.0;;2.0;5.0;;5.0;;;;;3.0;;;;;;;;;
308;Men;15 - 19 yrs;2000;471;284;263;21.0;187.0;60.4;56.0;7.3;256.0;133.0;123.0;5.0;2.0;173.0;28.0;62.0;;;2.0;;8.0;19.0;40.0;17.0;41.0;15.0;97.0;22.0
309;Men;15 - 19 yrs;2001;475;292;269;23.0;182.0;61.6;56.6;8.0;260.0;137.0;123.0;8.0;;165.0;38.0;67.0;;2.0;;2.0;8.0;18.0;43.0;18.0;43.0;20.0;108.0;5.0
310;Men;15 - 19 yrs;2002;482;292;265;28.0;190.0;60.6;54.9;9.4;256.0;131.0;125.0;8.0;;178.0;34.0;52.0;;2.0;;2.0;8.0;15.0;48.0;18.0;40.0;13.0;114.0;5.0
311;Men;15 - 19 yrs;2003;490;290;263;27.0;200.0;59.2;53.7;9.4;255.0;139.0;115.0;6.0;3.0;172.0;38.0;53.0;;3.0;2.0;;6.0;19.0;48.0;18.0;36.0;13.0;113.0;3.0
312;Men;15 - 19 yrs;2004;494;288;257;31.0;205.0;58.4;52.1;10.8;249.0;125.0;124.0;7.0;;173.0;35.0;48.0;;2.0;3.0;2.0;6.0;17.0;43.0;17.0;35.0;13.0;117.0;
313;Men;15 - 19 yrs;2005;499;283;254;30.0;216.0;56.8;50.9;10.4;246.0;122.0;124.0;6.0;2.0;178.0;30.0;45.0;;2.0;2.0;;6.0;14.0;41.0;17.0;35.0;12.0;120.0;3.0
314;Men;15 - 19 yrs;2006;505;298;268;30.0;207.0;59.1;53.1;10.1;259.0;117.0;142.0;8.0;2.0;190.0;30.0;46.0;2.0;2.0;2.0;;6.0;14.0;47.0;17.0;34.0;10.0;134.0;2.0
315;Men;20 - 24 yrs;2000;481;398;383;15.0;84.0;82.6;79.6;3.7;369.0;277.0;92.0;12.0;2.0;89.0;36.0;257.0;;6.0;14.0;23.0;51.0;36.0;52.0;13.0;87.0;40.0;49.0;12.0
316;Men;20 - 24 yrs;2001;485;395;379;15.0;90.0;81.5;78.3;3.9;363.0;273.0;91.0;14.0;2.0;87.0;36.0;256.0;;8.0;18.0;25.0;52.0;28.0;56.0;12.0;88.0;37.0;46.0;8.0
317;Men;20 - 24 yrs;2002;487;404;387;17.0;83.0;82.9;79.4;4.2;372.0;280.0;92.0;13.0;2.0;94.0;45.0;247.0;;6.0;11.0;21.0;55.0;31.0;72.0;12.0;81.0;37.0;52.0;9.0
318;Men;20 - 24 yrs;2003;487;408;381;27.0;78.0;83.9;78.3;6.7;366.0;269.0;97.0;14.0;;98.0;47.0;235.0;;6.0;15.0;22.0;52.0;38.0;64.0;13.0;73.0;39.0;51.0;8.0
319;Men;20 - 24 yrs;2004;486;400;365;35.0;86.0;82.3;75.1;8.7;345.0;247.0;99.0;17.0;2.0;98.0;47.0;218.0;2.0;6.0;13.0;20.0;46.0;33.0;66.0;12.0;72.0;40.0;55.0;
320;Men;20 - 24 yrs;2005;485;393;359;34.0;92.0;81.0;74.0;8.6;344.0;240.0;103.0;14.0;;97.0;43.0;217.0;2.0;6.0;11.0;20.0;44.0;33.0;66.0;11.0;71.0;33.0;59.0;4.0
321;Men;20 - 24 yrs;2006;486;395;377;19.0;91.0;81.4;77.5;4.7;354.0;245.0;110.0;20.0;3.0;100.0;50.0;224.0;3.0;9.0;16.0;24.0;50.0;31.0;71.0;12.0;69.0;33.0;57.0;4.0
322;Men;25 - 29 yrs;2000;575;540;527;13.0;35.0;93.9;91.6;2.4;487.0;443.0;43.0;38.0;3.0;17.0;36.0;474.0;;6.0;58.0;89.0;94.0;33.0;43.0;11.0;100.0;55.0;25.0;13.0
323;Men;25 - 29 yrs;2001;548;508;498;9.0;41.0;92.6;90.9;1.8;461.0;418.0;43.0;35.0;2.0;22.0;29.0;447.0;;5.0;49.0;90.0;91.0;36.0;41.0;8.0;93.0;46.0;27.0;11.0
324;Men;25 - 29 yrs;2002;526;486;471;15.0;40.0;92.5;89.6;3.1;431.0;390.0;41.0;39.0;;19.0;36.0;415.0;;5.0;49.0;81.0;90.0;30.0;43.0;8.0;82.0;43.0;30.0;9.0
325;Men;25 - 29 yrs;2003;509;472;451;21.0;37.0;92.7;88.5;4.5;417.0;378.0;39.0;33.0;;19.0;34.0;397.0;;5.0;41.0;79.0;96.0;28.0;39.0;9.0;81.0;43.0;22.0;7.0
326;Men;25 - 29 yrs;2004;499;461;436;25.0;38.0;92.4;87.3;5.5;398.0;353.0;45.0;35.0;2.0;24.0;39.0;372.0;;4.0;34.0;75.0;87.0;33.0;45.0;9.0;81.0;39.0;24.0;2.0
327;Men;25 - 29 yrs;2005;494;449;431;17.0;45.0;90.9;87.4;3.8;399.0;348.0;51.0;31.0;;25.0;38.0;368.0;;6.0;31.0;73.0;84.0;34.0;43.0;7.0;80.0;37.0;31.0;4.0
328;Men;25 - 29 yrs;2006;492;448;429;19.0;44.0;91.0;87.1;4.3;396.0;344.0;52.0;31.0;;23.0;35.0;371.0;;7.0;32.0;75.0;80.0;33.0;46.0;8.0;78.0;37.0;26.0;6.0
329;Men;30 - 34 yrs;2000;667;636;625;11.0;30.0;95.4;93.8;1.7;555.0;524.0;31.0;69.0;;7.0;43.0;575.0;;3.0;111.0;111.0;105.0;39.0;38.0;11.0;99.0;66.0;29.0;12.0
330;Men;30 - 34 yrs;2001;666;630;619;10.0;36.0;94.6;93.0;1.7;552.0;523.0;28.0;66.0;;5.0;41.0;573.0;;3.0;100.0;107.0;103.0;43.0;35.0;10.0;106.0;68.0;34.0;10.0
331;Men;30 - 34 yrs;2002;657;621;605;16.0;36.0;94.5;92.0;2.6;534.0;508.0;26.0;69.0;2.0;7.0;47.0;551.0;;3.0;96.0;115.0;99.0;35.0;35.0;10.0;105.0;68.0;31.0;9.0
332;Men;30 - 34 yrs;2003;640;604;577;26.0;36.0;94.4;90.3;4.4;501.0;478.0;22.0;76.0;;6.0;46.0;526.0;;3.0;90.0;112.0;100.0;30.0;40.0;11.0;94.0;57.0;30.0;9.0
333;Men;30 - 34 yrs;2004;611;577;555;21.0;34.0;94.4;90.9;3.7;491.0;462.0;29.0;63.0;;8.0;44.0;504.0;;4.0;64.0;116.0;106.0;36.0;37.0;9.0;96.0;61.0;25.0;2.0
334;Men;30 - 34 yrs;2005;577;542;516;26.0;35.0;94.0;89.5;4.7;457.0;425.0;32.0;59.0;;8.0;45.0;463.0;;4.0;61.0;105.0;92.0;33.0;38.0;6.0;88.0;56.0;27.0;5.0
335;Men;30 - 34 yrs;2006;545;514;501;14.0;31.0;94.3;91.8;2.6;438.0;410.0;29.0;61.0;;7.0;43.0;450.0;;3.0;63.0;100.0;91.0;31.0;35.0;9.0;85.0;44.0;31.0;9.0
336;Men;35 - 39 yrs;2000;668;636;625;11.0;32.0;95.2;93.6;1.7;541.0;513.0;27.0;83.0;2.0;8.0;49.0;569.0;;5.0;121.0;105.0;106.0;39.0;32.0;14.0;97.0;65.0;30.0;11.0
337;Men;35 - 39 yrs;2001;673;636;627;9.0;37.0;94.4;93.1;1.5;538.0;518.0;20.0;88.0;;7.0;48.0;572.0;;4.0;129.0;108.0;95.0;40.0;33.0;10.0;102.0;63.0;31.0;10.0
338;Men;35 - 39 yrs;2002;672;631;617;14.0;41.0;93.9;91.8;2.2;530.0;507.0;23.0;86.0;;11.0;56.0;549.0;;3.0;120.0;122.0;99.0;30.0;28.0;9.0;96.0;63.0;36.0;9.0
339;Men;35 - 39 yrs;2003;668;626;602;24.0;41.0;93.8;90.2;3.8;513.0;494.0;19.0;88.0;;5.0;60.0;538.0;;3.0;121.0;104.0;96.0;32.0;40.0;9.0;96.0;60.0;30.0;12.0
