ID;SectorBranchesSIC2008;Periods;Employee_1;EmployedPerson_2;Employee_3;EmployedPerson_4;Total_5;Total_6;DomesticNetTurnover_7;ForeignNetTurnover_8;OtherRevenues_9;Total_10;PurchaseValueOfSales_11;Total_12;GrossWagesAndSalaries_13;Total_14;EmployerPaidSocialInsurancePremiums_15;PensionAndEarlyRetirementPremiums_16;OtherSocialInsuranceCosts_17;OtherPersonnelCosts_18;Total_19;CostsOfEnergyUse_20;HousingCosts_21;EquipmentAndInventoryCosts_22;TransportCosts_23;SalesCosts_24;CommunicationCosts_25;CostsOfOtherServices_26;OtherLiabilities_27;DepreciationFixedAssets_28;OperatingResults_29;NetFinancialIncome_30;BalanceOfProvisions_31;NetExtraordinaryIncome_32;PreTaxResults_33
67;4646 Wholesale of medical goods;2011;29.3;33.3;25.6;28.7;29444.0;29067.0;15097.0;13970.0;377.0;28225.0;23751.0;1854.0;1345.0;274.0;161.0;113.0;18.0;217.0;2404.0;23.0;145.0;35.0;165.0;595.0;55.0;407.0;978.0;217.0;1219.0;532.0;-6.0;63.0;1808.0
68;4646 Wholesale of medical goods;2012;28.9;33.0;25.1;28.3;23526.0;22944.0;14491.0;8454.0;582.0;22407.0;17999.0;1856.0;1335.0;288.0;173.0;115.0;20.0;213.0;2319.0;23.0;142.0;33.0;161.0;528.0;51.0;411.0;971.0;233.0;1119.0;508.0;111.0;195.0;1932.0
69;4646 Wholesale of medical goods;2013;27.1;31.3;23.6;27.2;26757.0;26113.0;15875.0;10238.0;644.0;24023.0;19135.0;1887.0;1355.0;304.0;179.0;125.0;16.0;213.0;2742.0;26.0;165.0;46.0;145.0;547.0;47.0;457.0;1310.0;258.0;2734.0;218.0;-25.0;-83.0;2843.0
70;4647 Wholesale of furniture and carpets;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;4647 Wholesale of furniture and carpets;2010;8.7;11.0;7.1;8.9;2776.0;2763.0;2068.0;695.0;13.0;2629.0;1758.0;369.0;271.0;59.0;35.0;25.0;3.0;36.0;457.0;13.0;100.0;8.0;36.0;133.0;13.0;77.0;77.0;45.0;147.0;-16.0;-1.0;-1.0;129.0
72;4647 Wholesale of furniture and carpets;2011;8.5;10.7;7.0;8.8;2850.0;2841.0;2071.0;771.0;9.0;2691.0;1821.0;368.0;274.0;60.0;36.0;23.0;3.0;32.0;458.0;13.0;93.0;7.0;39.0;141.0;14.0;75.0;76.0;44.0;159.0;-23.0;-1.0;4.0;138.0
73;4647 Wholesale of furniture and carpets;2012;8.5;10.7;7.0;8.8;2712.0;2694.0;2025.0;669.0;17.0;2574.0;1714.0;377.0;276.0;63.0;38.0;25.0;3.0;35.0;440.0;12.0;87.0;7.0;38.0;131.0;13.0;74.0;78.0;44.0;138.0;-17.0;-2.0;-10.0;109.0
74;4647 Wholesale of furniture and carpets;2013;8.8;11.5;7.3;9.4;2708.0;2689.0;1929.0;760.0;18.0;2543.0;1719.0;375.0;275.0;62.0;39.0;22.0;4.0;36.0;407.0;14.0;79.0;9.0;34.0;101.0;13.0;78.0;81.0;41.0;165.0;-10.0;-2.0;-8.0;145.0
75;465 Wholesale of ICT-equipment;2009;57.4;67.2;50.8;57.3;50601.0;50385.0;37655.0;12731.0;216.0;49217.0;30846.0;3745.0;2655.0;533.0;328.0;205.0;33.0;525.0;14248.0;86.0;305.0;40.0;243.0;3232.0;102.0;573.0;9667.0;377.0;1384.0;-102.0;-20.0;-23.0;1239.0
76;465 Wholesale of ICT-equipment;2010;55.6;65.0;50.4;56.7;51502.0;51267.0;23613.0;27654.0;235.0;49489.0;30364.0;3979.0;2884.0;545.0;353.0;193.0;23.0;527.0;14796.0;50.0;323.0;42.0;248.0;771.0;110.0;553.0;12702.0;350.0;2013.0;84.0;-81.0;-185.0;1832.0
77;465 Wholesale of ICT-equipment;2011;57.4;66.6;49.9;58.0;59937.0;59607.0;40433.0;19174.0;330.0;57763.0;38463.0;3768.0;2679.0;574.0;344.0;230.0;22.0;493.0;15225.0;40.0;322.0;45.0;263.0;1429.0;121.0;774.0;12231.0;307.0;2174.0;106.0;55.0;-64.0;2271.0
